pXC50,RBN,AMW,H.,SCBO,Si,nH,nCsp2,Se,nBT,Sv,Sp,nC,nSK,nBO,nN,MW,Mi,nCsp3,nAT,Mv,Mp,nHet,C.,nDB
4.432,7,7.123,49.3,50.0,80.058,35,14,70.494,75.0,43.626,47.006,28,36,40,5,505.75,1.128,14,71.0,0.614,0.662,8,39.4,2
4.237,7,7.489,48.6,51.0,80.919,35,15,71.6,76.0,44.959,48.62,29,37,41,4,539.2,1.124,14,72.0,0.624,0.675,8,40.3,2
4.337,7,7.26,48.6,51.0,81.315,35,15,71.789,76.0,44.514,47.699,29,37,41,4,522.75,1.129,14,72.0,0.618,0.662,8,40.3,2
4.167,7,7.04,50.0,47.0,76.56,34,15,67.392,71.0,41.604,45.0,27,34,37,4,478.72,1.126,12,68.0,0.612,0.662,7,39.7,2
4.42,7,7.264,48.0,55.0,84.185,36,15,74.603,79.0,46.846,50.216,31,39,43,4,544.78,1.122,14,75.0,0.625,0.67,8,41.3,2
4.509,7,7.379,47.4,56.0,85.394,36,15,75.93,80.0,47.561,50.671,31,40,44,4,560.78,1.124,14,76.0,0.626,0.667,9,40.8,2
4.347,7,7.26,48.6,51.0,81.315,35,15,71.789,76.0,44.514,47.699,29,37,41,4,522.75,1.129,14,72.0,0.618,0.662,8,40.3,2
4.387,7,7.123,49.3,50.0,80.058,35,14,70.494,75.0,43.626,47.006,28,36,40,5,505.75,1.128,14,71.0,0.614,0.662,8,39.4,2
4.137,7,7.123,49.3,50.0,80.058,35,14,70.494,75.0,43.626,47.006,28,36,40,5,505.75,1.128,14,71.0,0.614,0.662,8,39.4,2
4.444,7,7.011,50.0,50.0,80.975,36,15,71.276,76.0,44.131,47.762,29,36,40,4,504.76,1.125,14,72.0,0.613,0.663,7,40.3,2
4.292,7,7.134,49.3,51.0,82.557,36,13,72.596,77.0,44.647,48.012,28,37,41,6,520.77,1.131,15,73.0,0.612,0.658,9,38.4,2
4.509,8,7.276,48.1,57.0,88.809,38,15,78.814,83.0,49.087,52.432,32,41,45,4,574.81,1.124,15,79.0,0.621,0.664,9,40.5,2
4.0,7,7.17,49.3,48.5,77.769,34,13,68.72,73.0,42.319,45.455,27,35,39,4,494.72,1.127,14,69.0,0.613,0.659,8,39.1,2
4.26,7,7.489,48.6,51.0,80.919,35,15,71.6,76.0,44.959,48.62,29,37,41,4,539.2,1.124,14,72.0,0.624,0.675,8,40.3,2
4.268,10,6.825,50.8,82.0,148.284,66,20,130.377,134.0,76.683,81.012,46,64,68,10,887.22,1.141,26,130.0,0.59,0.623,18,35.4,8
5.495,8,6.98,49.3,91.0,153.028,66,22,134.363,140.0,80.285,84.603,48,68,74,14,935.28,1.142,26,134.0,0.599,0.631,20,35.8,6
4.393,10,6.881,50.0,93.0,159.858,70,22,140.13,146.0,83.339,88.126,50,70,76,14,963.34,1.142,28,140.0,0.595,0.629,20,35.7,6
6.424,7,6.324,54.3,40.0,79.68,38,9,69.41,72.0,40.186,43.33,25,32,34,4,442.67,1.138,16,70.0,0.574,0.619,7,35.7,3
4.0,12,6.141,57.4,62.0,155.706,78,1,136.363,139.0,74.068,79.308,42,58,61,2,835.22,1.145,41,136.0,0.545,0.583,16,30.9,1
6.705,10,6.93,48.9,62.0,99.218,43,22,87.607,92.0,53.975,57.313,36,45,49,5,609.84,1.127,14,88.0,0.613,0.651,9,40.9,4
5.993,10,6.93,48.9,62.0,99.218,43,22,87.607,92.0,53.975,57.313,36,45,49,5,609.84,1.127,14,88.0,0.613,0.651,9,40.9,4
6.903,8,6.751,50.6,56.0,96.218,43,16,84.607,89.0,50.975,54.313,33,42,46,5,573.81,1.132,17,85.0,0.6,0.639,9,38.8,4
5.958,7,6.843,50.0,48.0,81.474,36,15,71.854,75.0,43.374,46.023,28,36,39,4,492.68,1.132,13,72.0,0.602,0.639,8,38.9,3
5.971,7,6.843,50.0,48.0,81.474,36,15,71.854,75.0,43.374,46.023,28,36,39,4,492.68,1.132,13,72.0,0.602,0.639,8,38.9,3
4.699,2,10.454,29.4,37.0,37.545,10,17,34.833,37.0,25.644,26.75,17,24,27,3,355.44,1.104,0,34.0,0.754,0.787,7,50.0,1
4.0,11,7.114,47.8,49.0,76.016,32,16,67.08,70.0,41.121,43.296,26,35,38,6,476.64,1.135,10,67.0,0.614,0.646,9,38.8,0
4.0,2,9.842,40.5,37.5,46.661,17,16,41.898,45.0,28.986,31.353,19,25,28,4,413.37,1.111,3,42.0,0.69,0.746,6,45.2,1
4.0,5,8.463,40.5,36.0,46.95,17,15,42.549,44.0,28.083,29.358,18,25,27,3,355.45,1.118,3,42.0,0.669,0.699,7,42.9,3
4.0,5,10.34,34.1,41.5,45.608,14,15,42.393,43.0,29.286,30.557,17,27,29,3,423.93,1.112,2,41.0,0.714,0.745,10,41.5,4
4.0,5,7.309,46.0,38.0,56.275,23,16,50.123,52.0,31.477,32.995,21,27,29,3,365.47,1.126,5,50.0,0.63,0.66,6,42.0,3
4.0,12,7.719,47.7,47.5,73.357,31,15,65.131,67.0,40.474,43.586,24,34,36,5,501.74,1.129,9,65.0,0.623,0.671,10,36.9,3
5.806,7,8.404,39.3,52.5,62.65,22,21,56.411,60.0,37.959,39.682,25,34,38,6,470.6,1.119,4,56.0,0.678,0.709,9,44.6,1
4.0,7,6.733,51.1,30.0,53.192,24,10,46.905,48.0,27.982,29.75,18,23,24,2,316.44,1.132,8,47.0,0.595,0.633,5,38.3,3
4.0,4,6.83,52.5,38.0,69.145,32,7,60.509,64.0,36.077,39.239,22,29,32,4,416.65,1.134,15,61.0,0.591,0.643,7,36.1,1
6.156,8,8.601,47.1,21.0,38.581,16,4,34.851,34.0,20.964,22.455,10,18,18,2,292.42,1.135,6,34.0,0.617,0.66,8,29.4,3
4.0,2,8.838,39.1,21.5,25.289,9,10,23.04,24.0,16.031,17.154,11,14,15,1,203.28,1.1,1,23.0,0.697,0.746,3,47.8,1
4.699,11,8.169,41.3,54.5,70.318,26,21,63.512,66.0,41.927,43.864,28,37,40,4,514.65,1.116,6,63.0,0.666,0.696,9,44.4,4
4.0,8,8.155,40.3,53.5,70.738,25,20,63.229,65.0,40.614,41.438,26,37,40,7,505.58,1.141,6,62.0,0.655,0.668,11,41.9,2
4.0,4,9.305,35.3,32.5,38.202,12,11,35.0,36.0,23.524,24.08,14,22,24,4,316.37,1.124,3,34.0,0.692,0.708,8,41.2,3
4.0,2,8.496,42.9,28.0,39.372,15,8,36.0,36.0,22.47,23.256,13,20,21,1,297.36,1.125,5,35.0,0.642,0.664,7,37.1,4
4.0,3,7.833,44.4,36.5,50.444,20,13,44.88,48.0,29.202,31.216,19,25,28,4,352.5,1.121,6,45.0,0.649,0.694,6,42.2,3
4.0,7,8.529,38.9,50.5,60.409,21,21,54.603,58.0,36.827,38.37,25,33,37,4,460.57,1.119,4,54.0,0.682,0.711,8,46.3,0
5.389,8,6.313,54.5,37.0,75.265,36,9,65.527,67.0,37.659,40.569,23,30,31,4,416.63,1.14,14,66.0,0.571,0.615,7,34.8,3
4.0,9,6.909,50.0,39.5,68.228,30,13,60.203,61.0,35.793,37.739,22,30,31,4,414.56,1.137,9,60.0,0.597,0.629,8,36.7,3
4.0,5,7.562,44.7,36.0,52.697,21,12,47.574,50.0,29.863,30.892,20,26,29,1,355.42,1.121,8,47.0,0.635,0.657,6,42.6,4
4.754,11,6.482,52.8,44.0,81.68,38,15,71.41,73.0,42.186,45.33,27,34,35,4,466.69,1.134,12,72.0,0.586,0.63,7,37.5,3
4.307,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
4.0,4,6.838,48.6,26.0,39.029,17,13,34.498,36.0,21.951,23.551,16,18,19,1,239.34,1.115,3,35.0,0.627,0.673,2,45.7,1
4.0,8,8.4,43.6,42.5,61.764,24,15,55.734,57.0,35.733,37.716,22,31,33,3,462.01,1.123,7,55.0,0.65,0.686,9,40.0,1
4.0,9,7.748,43.5,36.5,51.78,20,13,46.793,48.0,29.358,30.137,19,26,28,2,356.41,1.126,6,46.0,0.638,0.655,7,41.3,3
5.745,7,6.867,50.0,37.5,63.604,28,13,55.992,57.0,33.552,35.523,21,28,29,4,384.53,1.136,8,56.0,0.599,0.634,7,37.5,3
4.0,6,7.233,51.1,29.0,50.823,23,7,45.207,46.0,26.863,28.847,16,22,23,1,325.47,1.129,9,45.0,0.597,0.641,6,35.6,3
4.058,8,6.726,50.7,44.0,75.849,34,15,66.643,69.0,40.132,42.807,26,33,35,4,450.64,1.132,11,67.0,0.599,0.639,7,38.8,3
5.481,8,6.721,51.9,31.0,59.687,27,9,52.211,52.0,30.046,31.767,17,25,25,5,349.49,1.148,8,52.0,0.578,0.611,8,32.7,3
4.0,15,6.937,49.4,56.5,94.012,41,20,83.05,85.0,50.163,53.006,32,42,44,5,575.78,1.133,12,83.0,0.604,0.639,10,38.6,4
4.0,5,7.675,44.4,27.0,40.369,16,10,36.705,37.0,22.788,23.364,15,20,21,0,276.31,1.121,5,36.0,0.633,0.649,5,41.7,3
4.0,3,7.281,51.4,24.0,41.783,19,6,37.113,38.0,22.094,23.87,13,18,19,1,269.4,1.129,7,37.0,0.597,0.645,5,35.1,2
4.487,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.0,7,7.923,43.9,47.0,63.82,25,18,57.411,60.0,36.905,38.858,24,32,35,3,451.59,1.12,6,57.0,0.647,0.682,8,42.1,6
5.716,10,6.558,52.1,46.0,82.68,38,15,72.41,75.0,43.186,46.33,28,35,37,4,478.7,1.133,13,73.0,0.592,0.635,7,38.4,3
4.0,3,11.905,31.0,32.0,32.0,9,12,29.364,31.0,21.878,23.307,14,20,22,4,345.24,1.103,1,29.0,0.754,0.804,6,48.3,0
5.532,11,6.953,49.3,48.0,80.557,35,16,71.072,73.0,42.868,45.267,27,36,38,5,493.67,1.135,11,71.0,0.604,0.638,9,38.0,4
4.0,5,9.436,36.6,40.0,45.395,15,16,41.771,44.0,28.889,30.21,19,26,29,2,386.88,1.107,3,41.0,0.705,0.737,7,46.3,1
4.979,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.0,6,8.979,40.6,26.0,36.166,13,8,33.444,32.0,20.658,20.949,11,19,19,1,287.32,1.13,3,32.0,0.646,0.655,8,34.4,4
4.0,6,8.141,45.6,43.0,64.179,26,13,57.618,60.0,36.26,38.477,22,31,34,3,464.03,1.126,9,57.0,0.636,0.675,9,38.6,3
4.0,4,7.562,44.7,29.0,42.658,17,10,38.48,40.0,24.095,24.915,16,21,23,1,287.34,1.123,6,38.0,0.634,0.656,5,42.1,3
4.699,7,8.206,39.3,55.5,68.402,24,20,62.207,66.0,40.642,41.364,27,37,42,4,500.55,1.121,7,61.0,0.666,0.678,10,44.3,3
4.0,8,6.726,50.7,44.0,75.849,34,15,66.643,69.0,40.132,42.807,26,33,35,4,450.64,1.132,11,67.0,0.599,0.639,7,38.8,3
4.0,4,9.234,32.3,31.0,34.332,10,15,32.382,32.0,21.923,21.534,15,21,22,0,286.25,1.107,0,31.0,0.707,0.695,6,48.4,3
4.0,6,6.665,51.7,36.0,66.019,30,9,57.876,60.0,34.078,36.285,21,28,30,4,386.55,1.138,12,58.0,0.588,0.626,7,36.2,3
4.0,3,10.626,38.2,32.0,37.459,13,15,34.138,36.0,24.131,26.034,16,21,23,2,361.28,1.102,1,34.0,0.71,0.766,5,47.1,1
4.0,5,8.479,38.2,31.0,38.456,13,13,35.0,35.0,22.731,22.881,15,21,22,2,288.3,1.131,2,34.0,0.669,0.673,6,44.1,3
4.0,8,6.755,50.8,38.5,67.019,30,13,58.876,60.0,35.078,37.285,22,29,30,4,398.56,1.136,9,59.0,0.595,0.632,7,37.3,3
4.0,6,6.461,52.9,31.5,57.896,27,9,50.563,53.0,29.815,32.063,19,24,26,3,329.49,1.135,10,51.0,0.585,0.629,5,37.3,0
4.0,2,9.038,34.2,42.0,42.072,13,18,38.12,42.0,27.401,28.722,19,25,29,5,343.44,1.107,1,38.0,0.721,0.756,6,50.0,0
4.0,4,8.036,41.7,29.0,40.452,15,11,36.924,37.0,23.283,23.608,15,21,22,1,289.31,1.124,4,36.0,0.647,0.656,6,41.7,4
4.0,4,7.411,50.0,27.0,45.282,20,7,40.214,41.0,24.116,25.875,14,20,21,2,296.43,1.132,7,40.0,0.603,0.647,6,35.0,3
4.0,6,6.987,47.7,34.0,49.441,21,14,43.585,46.0,27.52,29.324,19,23,25,3,307.43,1.124,5,44.0,0.625,0.666,4,43.2,1
4.0,1,5.774,58.8,16.0,38.943,20,0,33.483,36.0,18.499,20.319,11,14,16,2,196.33,1.145,11,34.0,0.544,0.598,3,32.4,0
4.301,7,8.945,40.0,38.5,49.996,18,15,45.734,47.0,30.491,32.216,19,27,29,2,402.53,1.111,4,45.0,0.678,0.716,8,42.2,4
4.0,4,9.366,40.0,30.0,39.478,14,10,35.989,36.0,23.384,24.455,13,21,22,3,327.82,1.128,3,35.0,0.668,0.699,8,37.1,2
4.699,4,9.963,34.4,32.0,35.355,11,14,32.676,34.0,23.121,24.233,15,21,23,2,318.8,1.105,1,32.0,0.723,0.757,6,46.9,1
4.0,4,7.87,41.9,36.0,48.156,18,14,43.582,46.0,28.116,28.921,19,25,28,2,338.39,1.12,5,43.0,0.654,0.673,6,44.2,2
4.0,4,11.487,32.0,24.5,27.675,8,10,25.789,26.0,18.707,19.875,11,17,18,2,287.18,1.107,1,25.0,0.748,0.795,6,44.0,1
4.266,13,6.598,52.9,39.0,78.427,36,10,68.167,68.0,38.691,41.069,21,32,32,8,448.65,1.153,11,68.0,0.569,0.604,11,30.9,4
4.0,4,7.804,48.3,21.0,32.827,14,7,29.236,29.0,17.82,19.137,10,15,15,2,226.33,1.132,3,29.0,0.614,0.66,5,34.5,3
4.0,2,7.626,46.2,40.0,58.112,24,14,51.982,55.0,33.169,35.398,22,28,31,2,396.55,1.118,8,52.0,0.638,0.681,6,42.3,3
4.0,3,7.897,45.7,27.0,39.242,16,8,35.12,37.0,22.347,23.898,14,19,21,2,276.39,1.121,6,35.0,0.638,0.683,5,40.0,1
4.452,2,7.879,41.3,40.0,51.492,19,18,46.323,49.0,30.597,31.711,22,27,30,2,362.43,1.119,4,46.0,0.665,0.689,5,47.8,4
4.0,6,9.161,38.3,41.5,52.577,18,14,48.054,50.0,32.007,33.466,19,29,32,4,430.55,1.119,5,47.0,0.681,0.712,10,40.4,4
4.0,13,7.1,49.4,49.0,88.099,38,12,78.04,78.0,45.561,47.398,26,39,40,6,546.7,1.144,14,77.0,0.592,0.616,13,33.8,6
4.963,10,6.646,51.5,42.0,74.849,34,15,65.643,67.0,39.132,41.807,25,32,33,4,438.63,1.134,10,66.0,0.593,0.633,7,37.9,3
4.0,4,8.406,48.3,19.0,32.478,14,7,29.014,29.0,18.438,20.296,11,15,15,1,243.78,1.12,4,29.0,0.636,0.7,4,37.9,1
4.827,9,7.024,47.9,52.0,79.849,34,21,70.643,74.0,44.132,46.807,30,37,40,4,498.68,1.125,9,71.0,0.622,0.659,7,42.3,3
4.0,4,7.5,45.3,40.0,60.03,24,11,53.52,57.0,33.387,34.694,22,29,33,3,397.49,1.133,11,53.0,0.63,0.655,7,41.5,4
4.0,2,7.941,44.2,34.0,48.155,19,14,43.105,45.0,27.895,29.665,18,24,26,3,341.47,1.12,4,43.0,0.649,0.69,6,41.9,2
4.286,11,6.903,50.0,43.5,75.142,33,14,66.189,67.0,39.341,41.506,24,33,34,5,455.62,1.139,10,66.0,0.596,0.629,9,36.4,4
4.0,9,6.609,52.7,32.0,63.102,29,9,55.094,55.0,31.573,33.529,18,26,26,5,363.52,1.147,9,55.0,0.574,0.61,8,32.7,3
4.0,9,6.555,51.9,49.0,87.095,40,15,76.294,80.0,45.712,49.091,30,37,40,4,504.74,1.131,15,77.0,0.594,0.638,7,39.0,3
4.0,6,6.665,54.5,32.0,62.358,30,7,54.632,56.0,31.75,34.682,19,25,26,2,366.58,1.134,12,55.0,0.577,0.631,6,34.5,3
4.0,8,6.782,51.5,40.0,75.687,34,9,66.258,68.0,38.537,40.75,23,32,34,5,447.62,1.147,14,66.0,0.584,0.617,9,34.8,3
4.699,8,8.741,42.4,49.5,66.032,25,18,59.556,61.0,39.081,41.949,23,34,36,5,515.74,1.119,5,59.0,0.662,0.711,11,39.0,5
4.0,1,6.879,53.3,20.0,33.532,16,7,29.305,31.0,18.16,20.364,12,14,15,1,206.36,1.118,5,30.0,0.605,0.679,2,40.0,0
4.0,3,8.93,37.5,31.0,35.724,12,14,32.374,34.0,22.241,23.137,15,20,22,3,285.75,1.116,1,32.0,0.695,0.723,5,46.9,1
4.86,7,6.763,50.8,42.5,73.933,33,12,64.861,67.0,38.627,41.052,24,32,34,5,439.62,1.137,12,65.0,0.594,0.632,8,36.9,3
4.0,3,5.754,58.1,22.5,49.062,25,3,42.025,45.0,23.859,26.393,15,18,20,3,247.43,1.141,12,43.0,0.555,0.614,3,34.9,0
4.599,16,6.845,50.6,50.0,90.095,40,16,79.269,80.0,46.658,49.25,28,39,40,6,540.74,1.14,12,79.0,0.591,0.623,11,35.4,4
4.646,9,6.603,52.5,35.0,67.145,31,9,58.985,60.0,34.299,36.495,21,28,29,3,389.55,1.138,12,59.0,0.581,0.619,7,35.6,3
6.143,7,6.478,53.1,38.0,72.849,34,9,63.643,66.0,37.132,39.807,23,30,32,4,414.61,1.138,14,64.0,0.58,0.622,7,35.9,3
4.0,11,7.198,50.0,43.0,72.564,32,14,64.163,65.0,38.507,41.148,23,32,33,4,460.66,1.134,9,64.0,0.602,0.643,9,35.9,4
4.757,8,6.597,52.4,38.0,71.561,33,9,62.869,65.0,36.825,39.256,23,30,32,3,415.59,1.136,14,63.0,0.585,0.623,7,36.5,3
4.0,2,9.361,37.5,21.5,27.02,9,8,24.716,25.0,16.407,16.824,10,15,16,2,224.66,1.126,2,24.0,0.684,0.701,5,41.7,0
4.0,8,8.683,37.0,43.0,52.239,17,15,47.774,48.0,30.557,30.324,18,29,31,5,399.4,1.136,3,46.0,0.664,0.659,11,39.1,4
4.0,3,6.987,48.9,31.0,50.777,22,9,45.022,47.0,27.455,28.989,18,23,25,2,314.42,1.128,9,45.0,0.61,0.644,5,40.0,3
4.0,5,8.142,40.0,39.5,50.365,18,15,45.909,48.0,29.831,30.375,20,27,30,2,366.4,1.119,5,45.0,0.663,0.675,7,44.4,4
4.0,9,6.555,51.9,49.0,87.095,40,15,76.294,80.0,45.712,49.091,30,37,40,4,504.74,1.131,15,77.0,0.594,0.638,7,39.0,3
4.0,5,7.573,43.6,32.0,43.448,17,14,39.153,41.0,25.38,26.46,18,22,24,1,295.36,1.114,4,39.0,0.651,0.678,4,46.2,2
4.0,3,11.228,30.0,33.5,32.86,9,14,30.869,32.0,22.781,24.119,14,21,23,2,336.84,1.095,0,30.0,0.759,0.804,7,46.7,2
5.468,7,6.763,50.8,42.5,73.933,33,12,64.861,67.0,38.627,41.052,24,32,34,5,439.62,1.137,12,65.0,0.594,0.632,8,36.9,3
4.0,4,8.181,42.6,39.0,52.863,20,13,47.534,50.0,30.632,32.125,19,27,30,4,384.5,1.125,6,47.0,0.652,0.684,8,40.4,1
5.509,8,6.726,50.7,44.0,75.849,34,15,66.643,69.0,40.132,42.807,26,33,35,4,450.64,1.132,11,67.0,0.599,0.639,7,38.8,3
4.0,4,7.79,48.9,32.5,50.407,22,10,44.847,47.0,28.115,30.83,17,23,25,2,350.55,1.12,7,45.0,0.625,0.685,6,37.8,2
4.0,5,8.017,43.9,45.0,64.342,25,15,57.76,60.0,36.567,38.074,23,32,35,4,456.97,1.129,8,57.0,0.642,0.668,9,40.4,4
4.0,4,9.305,35.3,33.0,38.202,12,12,35.0,36.0,23.524,24.08,14,22,24,4,316.37,1.124,2,34.0,0.692,0.708,8,41.2,1
4.0,0,8.267,38.7,28.0,35.073,12,1,31.596,33.0,20.622,20.977,13,19,21,4,256.29,1.131,9,31.0,0.665,0.677,6,41.9,1
4.0,2,11.021,27.3,32.5,38.372,9,10,35.894,35.0,23.535,22.313,13,24,26,3,363.7,1.163,3,33.0,0.713,0.676,11,39.4,1
4.0,5,7.188,46.4,43.0,62.607,26,19,55.789,59.0,35.509,37.512,25,30,33,2,402.53,1.118,6,56.0,0.634,0.67,5,44.6,1
4.0,8,6.323,56.3,34.0,72.766,36,7,62.949,66.0,36.416,40.307,22,28,30,4,404.69,1.137,15,64.0,0.569,0.63,6,34.4,1
4.0,3,7.118,47.8,33.0,52.196,22,13,45.981,48.0,28.43,30.023,19,24,26,3,327.44,1.135,6,46.0,0.618,0.653,5,41.3,1
4.0,5,9.04,38.2,29.5,37.957,13,12,35.116,35.0,22.943,23.494,14,21,22,1,307.35,1.116,2,34.0,0.675,0.691,7,41.2,2
4.0,5,9.984,34.3,33.0,39.541,12,11,36.036,36.0,24.687,25.762,14,23,24,5,349.45,1.13,2,35.0,0.705,0.736,9,40.0,1
4.0,7,9.073,41.0,33.0,43.522,16,13,39.88,40.0,26.11,27.421,16,23,24,1,353.85,1.116,3,39.0,0.669,0.703,7,41.0,3
4.0,4,8.785,38.7,29.0,34.411,12,11,31.353,32.0,21.294,22.375,14,19,20,2,272.35,1.11,2,31.0,0.687,0.722,5,45.2,2
4.627,8,6.706,51.8,34.0,63.73,29,9,56.101,57.0,32.772,34.733,20,27,28,3,375.52,1.138,11,56.0,0.585,0.62,7,35.7,3
4.307,9,7.024,47.9,52.0,79.849,34,21,70.643,74.0,44.132,46.807,30,37,40,4,498.68,1.125,9,71.0,0.622,0.659,7,42.3,3
4.0,3,7.695,42.9,30.0,39.033,15,13,35.269,37.0,22.853,23.699,16,20,22,1,269.32,1.115,3,35.0,0.653,0.677,4,45.7,0
4.0,4,7.308,44.7,40.0,52.441,21,17,46.585,49.0,30.52,32.324,22,26,28,3,343.46,1.116,4,47.0,0.649,0.688,4,46.8,2
4.113,6,6.957,49.1,39.5,64.604,28,13,56.992,59.0,34.552,36.523,22,29,31,4,396.54,1.133,9,57.0,0.606,0.641,7,38.6,3
4.0,5,8.545,40.0,35.5,44.764,16,16,40.469,42.0,27.009,28.114,18,24,26,3,341.82,1.119,2,40.0,0.675,0.703,6,45.0,1
4.0,6,7.719,45.8,39.0,53.697,22,15,48.098,50.0,30.642,32.637,20,26,28,2,370.51,1.119,5,48.0,0.638,0.68,6,41.7,3
4.0,2,8.385,37.5,31.0,36.445,12,12,32.589,34.0,21.424,21.773,13,20,22,6,268.31,1.139,1,32.0,0.669,0.68,7,40.6,1
4.0,4,8.941,40.5,35.5,46.87,17,12,42.625,44.0,28.27,30.006,17,25,27,3,375.51,1.116,5,42.0,0.673,0.714,8,40.5,3
5.681,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.91,9,6.51,53.2,36.0,70.933,33,9,61.861,63.0,35.627,38.052,21,29,30,5,403.59,1.144,12,62.0,0.575,0.614,8,33.9,3
5.515,12,6.417,53.9,43.0,87.175,41,10,75.716,77.0,43.25,46.347,25,35,36,7,487.73,1.147,15,76.0,0.569,0.61,10,32.9,4
4.0,4,8.471,35.9,40.5,43.488,14,19,39.48,42.0,27.149,27.739,19,25,28,4,330.37,1.115,0,39.0,0.696,0.711,6,48.7,2
4.699,7,9.56,35.3,49.0,57.415,18,20,52.669,53.0,35.411,36.409,21,33,35,5,487.58,1.126,1,51.0,0.694,0.714,12,41.2,5
4.0,10,6.714,52.5,35.0,70.272,32,9,61.374,61.0,35.01,36.989,20,29,29,5,409.57,1.152,11,61.0,0.574,0.606,9,32.8,3
4.206,6,6.843,50.0,40.5,68.019,30,13,59.876,62.0,36.078,38.284,23,30,32,4,410.57,1.134,10,60.0,0.601,0.638,7,38.3,3
4.0,6,7.44,44.6,52.0,73.102,29,19,65.094,69.0,41.573,43.529,28,36,40,5,483.62,1.125,9,65.0,0.64,0.67,8,43.1,6
4.0,8,6.889,50.0,38.5,66.102,29,12,58.094,59.0,34.573,36.529,21,29,30,5,399.55,1.14,9,58.0,0.596,0.63,8,36.2,3
4.87,12,6.784,51.6,37.0,71.225,32,10,62.407,62.0,35.836,37.75,20,30,30,6,420.58,1.149,10,62.0,0.578,0.609,10,32.3,4
5.45,9,6.241,55.1,38.0,78.68,38,9,68.41,70.0,39.186,42.33,24,31,32,4,430.66,1.14,15,69.0,0.568,0.613,7,34.8,3
4.0,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
4.72,8,6.706,51.8,34.0,64.102,29,8,56.094,57.0,32.573,34.529,19,27,28,5,375.53,1.145,11,56.0,0.582,0.617,8,33.9,3
4.0,5,10.634,40.7,21.0,30.542,11,7,27.833,27.0,17.846,18.534,10,16,16,2,287.13,1.131,3,27.0,0.661,0.686,6,37.0,2
4.0,10,6.777,51.8,33.0,64.312,29,9,56.421,56.0,32.288,33.983,18,27,27,5,379.52,1.148,9,56.0,0.577,0.607,9,32.1,3
4.0,4,10.213,35.7,39.0,47.2,15,13,43.429,45.0,29.655,31.04,18,27,30,2,428.94,1.124,5,42.0,0.706,0.739,9,42.9,3
4.0,1,7.704,41.7,33.0,39.824,15,15,35.942,39.0,24.139,25.245,18,21,24,1,277.34,1.106,3,36.0,0.671,0.701,3,50.0,1
