pXC50,Mp,Si,nBT,nH,nAT,Sv,X.,Sp,Se,Mv,H.,nBO,nCsp3,AMW,SCBO,nSK,nAB,C.,Me,Mi,MW,N.,nB,nBM,nBR,nC,nCL,nCsp
4.301,0.743,37.913,36,12,34,23.997,0.0,25.273,34.749,0.706,35.3,24,2,9.778,33.0,22,10,41.2,1.022,1.115,332.44,11.8,0,14,0,14,0,0
4.301,0.833,19.798,19,5,18,14.024,5.6,14.989,18.604,0.779,27.8,14,0,14.284,19.5,13,11,44.4,1.034,1.1,257.12,11.1,0,11,1,8,0,0
4.301,0.647,46.369,43,16,41,26.734,0.0,26.523,42.68,0.652,39.0,27,6,8.496,35.0,25,6,39.0,1.041,1.131,348.34,4.9,0,11,0,16,0,0
5.43,0.745,33.485,31,11,30,21.023,3.3,22.335,31.08,0.701,36.7,20,3,10.628,25.0,19,6,36.7,1.036,1.116,318.83,6.7,0,8,0,11,1,0
4.301,0.721,37.828,37,13,34,23.587,2.9,24.517,34.018,0.694,38.2,24,1,8.127,33.5,21,17,52.9,1.001,1.113,276.33,5.9,0,18,0,18,0,0
4.301,0.641,56.398,52,26,50,29.794,0.0,32.057,49.461,0.596,52.0,26,8,6.53,32.0,24,12,40.0,0.989,1.128,326.48,4.0,0,12,0,20,0,0
4.301,0.737,29.183,28,9,26,18.494,3.8,19.165,26.382,0.711,34.6,19,0,9.412,27.0,17,16,46.2,1.015,1.122,244.7,15.4,0,16,0,12,1,0
4.301,0.649,51.773,48,24,46,27.552,0.0,29.841,45.251,0.599,52.2,24,7,6.445,30.0,22,12,41.3,0.984,1.126,296.45,4.3,0,12,0,19,0,0
4.301,0.759,46.171,45,17,42,29.083,0.0,31.887,41.651,0.692,40.5,28,1,8.677,40.0,25,22,47.6,0.992,1.099,364.43,4.8,0,23,0,20,0,0
4.301,0.72,34.933,32,13,31,20.734,3.2,22.335,31.225,0.669,41.9,19,2,9.058,25.5,18,11,38.7,1.007,1.127,280.81,12.9,0,12,0,12,1,0
4.301,0.687,43.611,41,17,39,25.467,0.0,26.801,38.818,0.653,43.6,24,2,7.471,33.5,22,17,46.2,0.995,1.118,291.38,7.7,0,18,0,18,0,0
4.301,0.751,44.328,43,14,40,28.523,0.0,30.034,40.633,0.713,35.0,29,2,9.562,39.5,26,11,45.0,1.016,1.108,382.5,10.0,0,16,0,18,0,0
4.301,0.74,57.577,56,18,52,37.007,0.0,38.466,53.054,0.712,34.6,38,3,9.435,51.0,34,12,46.2,1.02,1.107,490.6,7.7,0,19,0,24,0,0
4.318,0.704,51.448,49,18,46,31.105,0.0,32.364,46.651,0.676,39.1,31,4,8.576,41.5,28,17,43.5,1.014,1.118,394.49,8.7,0,19,0,20,0,0
4.301,0.68,41.823,39,16,37,23.863,0.0,25.148,37.44,0.645,43.2,23,4,8.227,29.5,21,11,37.8,1.012,1.13,304.41,10.8,0,12,0,14,0,0
4.88,0.633,34.571,31,13,30,18.644,0.0,18.983,30.698,0.621,43.3,18,5,7.843,23.0,17,0,33.3,1.023,1.152,235.28,16.7,0,5,0,10,0,0
4.301,0.662,68.482,64,25,60,38.725,1.7,39.745,60.934,0.645,41.7,39,8,7.943,50.5,35,17,40.0,1.016,1.141,476.57,13.3,0,19,0,24,0,1
4.301,0.698,32.408,30,14,29,18.391,0.0,20.228,28.582,0.634,48.3,16,6,7.529,21.0,15,6,41.4,0.986,1.118,218.35,6.9,0,7,0,12,0,1
4.301,0.647,51.694,48,23,46,27.961,0.0,29.745,45.803,0.608,50.0,25,8,6.814,31.5,23,11,41.3,0.996,1.124,313.43,2.2,0,12,0,19,0,0
4.301,0.642,26.448,24,10,23,14.381,0.0,14.761,23.385,0.625,43.5,14,2,7.749,19.0,13,10,34.8,1.017,1.15,178.22,17.4,0,10,0,8,0,0
4.301,0.73,44.83,43,13,40,28.448,0.0,29.188,41.505,0.711,32.5,30,3,10.087,42.0,27,20,40.0,1.038,1.121,403.48,12.5,0,22,0,16,0,0
5.046,0.746,35.914,36,10,33,24.493,0.0,24.625,33.727,0.742,30.3,26,0,9.16,37.5,23,17,57.6,1.022,1.088,302.29,0.0,0,20,0,19,0,0
4.301,0.733,31.858,30,10,28,19.591,7.1,20.512,28.854,0.7,35.7,20,2,10.17,25.5,18,11,39.3,1.031,1.138,284.77,14.3,0,11,0,11,1,0
4.301,0.677,49.124,45,18,43,27.969,4.7,29.091,43.905,0.65,41.9,27,5,8.476,34.0,25,12,39.5,1.021,1.142,364.46,9.3,0,13,0,17,0,0
4.614,0.711,53.365,52,19,48,32.61,0.0,34.12,48.433,0.679,39.6,33,6,8.448,43.0,29,12,45.8,1.009,1.112,405.51,6.3,0,15,0,22,0,1
4.301,0.696,33.495,32,10,30,21.009,0.0,20.875,31.047,0.7,33.3,22,1,9.009,31.0,20,12,46.7,1.035,1.117,270.26,6.7,0,15,0,14,0,0
5.267,0.674,50.887,47,19,45,29.272,2.2,30.335,45.782,0.65,42.2,28,5,8.33,36.5,26,11,40.0,1.017,1.131,374.86,8.9,0,14,0,18,1,0
4.301,0.682,36.069,34,14,32,20.72,0.0,21.83,31.825,0.647,43.8,20,2,7.447,28.0,18,16,43.8,0.995,1.127,238.32,12.5,0,16,0,14,0,0
4.301,0.697,41.112,39,16,37,24.445,0.0,25.796,36.716,0.661,43.2,23,2,7.469,32.5,21,17,48.6,0.992,1.111,276.36,5.4,0,18,0,18,0,0
4.301,0.705,40.408,38,14,36,24.336,0.0,25.387,36.556,0.676,38.9,24,2,8.733,33.0,22,16,41.7,1.015,1.122,314.4,11.1,0,17,0,15,0,0
6.151,0.748,47.375,46,14,43,31.152,0.0,32.148,44.295,0.724,32.6,32,0,9.919,45.0,29,18,46.5,1.03,1.102,426.5,4.7,0,22,0,20,0,0
4.0,0.689,41.405,39,15,37,24.655,0.0,25.495,37.262,0.666,40.5,24,1,7.928,34.0,22,16,45.9,1.007,1.119,293.35,8.1,0,18,0,17,0,0
4.3,0.713,25.87,24,9,23,15.547,0.0,16.404,23.36,0.676,39.1,15,1,9.012,20.5,14,11,39.1,1.016,1.125,207.28,13.0,0,11,0,9,0,0
4.839,0.818,21.087,20,6,19,14.33,5.3,15.54,19.378,0.754,31.6,14,0,13.481,19.5,13,11,42.1,1.02,1.11,256.14,15.8,0,11,1,8,0,0
4.573,0.891,20.694,20,4,19,15.793,5.3,16.932,19.666,0.831,21.1,16,0,13.355,23.0,15,6,47.4,1.035,1.089,253.75,15.8,0,9,0,9,1,1
4.301,0.663,61.983,58,24,55,35.213,0.0,36.455,55.552,0.64,43.6,34,7,7.646,46.0,31,20,41.8,1.01,1.127,420.51,7.3,0,22,0,23,0,0
5.479,0.744,45.537,44,14,41,29.238,0.0,30.489,41.96,0.713,34.1,30,0,9.72,43.0,27,22,43.9,1.023,1.111,398.5,9.8,0,24,0,18,0,0
5.847,0.733,34.574,34,12,31,21.38,0.0,22.716,31.018,0.69,38.7,22,2,8.657,30.0,19,16,45.2,1.001,1.115,268.37,12.9,0,16,0,14,0,0
4.754,0.814,24.236,23,7,22,16.54,4.5,17.903,22.658,0.752,31.8,16,1,11.762,21.0,15,6,40.9,1.03,1.102,258.77,9.1,0,8,0,9,1,0
4.301,0.714,34.514,32,8,30,21.938,10.0,21.432,32.109,0.731,26.7,24,1,10.91,32.0,22,16,43.3,1.07,1.15,327.31,10.0,0,16,0,13,0,0
5.227,0.747,30.704,30,11,28,19.557,0.0,20.915,27.924,0.698,39.3,19,1,8.619,26.0,17,12,50.0,0.997,1.097,241.33,3.6,0,13,0,14,0,0
4.627,0.646,47.863,43,20,42,25.632,0.0,27.125,42.534,0.61,47.6,23,6,7.725,28.0,22,6,33.3,1.013,1.14,324.45,9.5,0,8,0,14,0,0
4.301,0.682,55.856,53,23,50,32.047,0.0,34.086,49.469,0.641,46.0,30,4,7.15,41.0,27,22,46.0,0.989,1.117,357.49,6.0,0,22,0,23,0,0
5.124,0.693,59.325,57,23,53,34.566,0.0,36.744,53.603,0.652,43.4,34,8,8.408,43.0,30,12,39.6,1.011,1.119,445.61,5.7,0,15,0,21,0,0
4.301,0.718,28.87,28,8,26,18.768,0.0,18.659,26.836,0.722,30.8,20,0,9.24,29.0,18,12,50.0,1.032,1.11,240.23,7.7,0,15,0,13,0,0
5.28,0.729,39.956,38,14,36,24.722,0.0,26.239,36.64,0.687,38.9,24,2,9.29,33.0,22,12,41.7,1.018,1.11,334.45,5.6,0,15,0,15,0,0
5.219,0.681,43.578,40,17,39,25.282,0.0,26.563,39.556,0.648,43.6,23,4,8.19,32.0,22,6,41.0,1.014,1.117,319.41,2.6,0,12,0,16,0,0
4.301,0.709,44.451,42,16,40,27.062,0.0,28.352,40.447,0.677,40.0,26,3,8.511,36.0,24,16,45.0,1.011,1.111,340.43,5.0,0,18,0,18,0,0
4.403,0.745,31.079,30,9,28,20.261,0.0,20.858,28.687,0.724,32.1,21,0,9.69,31.0,19,16,46.4,1.025,1.11,271.32,10.7,0,18,0,13,0,0
4.301,0.667,52.486,49,22,47,29.697,0.0,31.364,46.862,0.632,46.8,27,5,7.158,36.0,25,12,44.7,0.997,1.117,336.44,2.1,0,15,0,21,0,0
4.301,0.682,49.235,46,19,44,28.708,0.0,30.017,44.029,0.652,43.2,27,2,7.578,38.0,25,16,45.5,1.001,1.119,333.42,6.8,0,19,0,20,0,0
4.589,0.757,47.162,47,16,43,30.534,0.0,32.546,43.196,0.71,37.2,31,3,9.129,41.5,27,17,48.8,1.005,1.097,392.53,4.7,0,19,0,21,0,0
5.189,0.728,57.457,55,21,52,35.425,0.0,37.835,52.804,0.681,40.4,34,8,9.147,43.0,31,6,42.3,1.015,1.105,475.65,1.9,0,12,0,22,0,0
4.301,0.684,54.567,53,22,49,31.74,0.0,33.534,48.694,0.648,44.9,31,6,7.316,40.5,27,17,46.9,0.994,1.114,358.47,4.1,0,18,0,23,0,0
4.301,0.645,54.701,49,20,48,30.491,0.0,30.943,49.844,0.635,41.7,29,8,8.593,38.0,28,10,33.3,1.038,1.14,412.47,8.3,0,14,0,16,0,0
4.744,0.674,36.824,34,15,33,21.139,0.0,22.245,32.942,0.641,45.5,19,2,7.312,26.0,18,12,45.5,0.998,1.116,241.31,3.0,0,13,0,15,0,0
4.301,0.654,46.076,42,17,41,26.525,0.0,26.824,42.134,0.647,41.5,25,4,8.082,33.0,24,6,41.5,1.028,1.124,331.35,2.4,0,11,0,17,0,0
4.301,0.698,34.412,34,11,31,21.515,0.0,21.631,31.829,0.694,35.5,23,3,8.686,30.5,20,11,48.4,1.027,1.11,269.27,3.2,0,13,0,15,0,0
4.301,0.73,34.544,32,10,31,22.098,0.0,22.625,32.527,0.713,32.3,22,2,10.528,30.0,21,6,38.7,1.049,1.114,326.38,6.5,0,11,0,12,0,0
4.932,0.741,44.668,42,13,40,28.791,2.5,29.648,41.44,0.72,32.5,29,2,11.233,39.5,27,11,42.5,1.036,1.117,449.31,10.0,0,16,1,17,0,0
4.301,0.719,36.491,36,12,33,23.106,0.0,23.727,33.276,0.7,36.4,24,1,8.373,33.5,21,17,51.5,1.008,1.106,276.31,6.1,0,18,0,17,0,0
4.301,0.666,68.683,64,29,61,38.143,0.0,40.62,60.44,0.625,47.5,35,8,7.01,46.0,32,18,42.6,0.991,1.126,427.6,8.2,0,19,0,26,0,1
4.301,0.691,36.614,35,15,33,21.424,0.0,22.79,32.614,0.649,45.5,20,3,7.192,27.5,18,11,48.5,0.988,1.11,237.32,3.0,0,13,0,16,0,0
4.611,0.706,33.584,30,15,30,18.7,0.0,21.188,30.171,0.623,50.0,15,6,8.849,19.0,15,0,30.0,1.006,1.119,265.46,3.3,0,4,0,9,0,0
4.301,0.707,48.866,47,18,44,29.589,0.0,31.114,44.331,0.672,40.9,29,4,8.329,38.5,26,17,45.5,1.008,1.111,366.47,4.5,0,18,0,20,0,0
4.301,0.691,44.907,42,14,40,27.579,0.0,27.648,41.134,0.689,35.0,28,1,8.759,40.5,26,17,45.0,1.028,1.123,350.36,10.0,0,21,0,18,0,0
5.064,0.639,39.369,36,16,35,21.788,0.0,22.364,35.705,0.623,45.7,20,5,7.551,25.0,19,6,40.0,1.02,1.125,264.3,0.0,0,8,0,14,0,0
4.434,0.642,21.961,19,3,19,14.068,0.0,12.199,21.597,0.74,15.8,16,0,12.059,25.0,16,6,31.6,1.137,1.156,229.12,15.8,0,12,0,6,0,0
4.301,0.762,41.088,39,13,37,26.705,5.4,28.199,37.72,0.722,35.1,26,2,12.193,35.0,24,6,45.9,1.019,1.11,451.13,8.1,0,12,2,17,0,0
4.301,0.693,36.993,35,11,33,23.031,0.0,22.881,34.149,0.698,33.3,24,1,9.009,33.5,22,11,45.5,1.035,1.121,297.29,9.1,0,15,0,15,0,0
5.712,0.792,21.189,20,6,19,14.132,5.3,15.046,19.473,0.744,31.6,14,0,11.142,19.5,13,11,42.1,1.025,1.115,211.69,15.8,0,11,0,8,1,0
5.483,0.752,30.707,30,9,28,20.46,0.0,21.063,28.695,0.731,32.1,21,0,9.69,29.0,19,12,50.0,1.025,1.097,271.31,3.6,0,14,0,14,0,0
4.301,0.671,39.028,37,18,35,21.499,0.0,23.478,34.112,0.614,51.4,19,5,6.41,25.5,17,11,45.7,0.975,1.115,224.35,2.9,0,12,0,16,0,0
4.301,0.947,19.453,19,4,18,15.323,11.1,17.04,18.676,0.851,22.2,15,0,17.091,20.0,14,6,44.4,1.038,1.081,307.63,11.1,0,8,1,8,1,0
4.301,0.644,67.651,63,28,60,37.18,0.0,38.637,60.654,0.62,46.7,35,10,7.342,44.5,32,15,40.0,1.011,1.128,440.54,3.3,0,17,0,24,0,0
4.633,0.666,42.445,40,19,38,23.477,0.0,25.313,37.382,0.618,50.0,21,6,6.668,27.5,19,11,44.7,0.984,1.117,253.37,2.6,0,12,0,17,0,0
4.301,0.677,49.452,46,15,44,30.229,0.0,29.767,45.898,0.687,34.1,31,2,9.031,43.0,29,12,43.2,1.043,1.124,397.37,6.8,0,18,0,19,0,0
4.301,0.708,43.534,41,15,39,26.557,0.0,27.597,39.665,0.681,38.5,26,2,8.754,36.5,24,17,43.6,1.017,1.116,341.42,7.7,0,19,0,17,0,0
4.301,0.628,51.358,47,22,45,26.971,0.0,28.239,45.342,0.599,48.9,25,10,7.076,33.0,23,6,35.6,1.008,1.141,318.42,8.9,0,11,0,16,0,0
4.301,0.659,54.983,51,24,49,30.267,0.0,32.296,48.578,0.618,49.0,27,6,6.867,35.0,25,12,42.9,0.991,1.122,336.47,4.1,0,14,0,21,0,0
5.309,0.736,34.123,33,11,31,21.987,0.0,22.824,31.578,0.709,35.5,22,1,9.205,30.0,20,12,48.4,1.019,1.101,285.34,3.2,0,14,0,15,0,0
4.301,0.713,47.657,45,18,43,28.874,0.0,30.659,43.003,0.671,41.9,27,1,8.15,37.0,25,18,46.5,1.0,1.108,350.47,4.7,0,19,0,20,0,0
4.633,0.679,33.532,31,16,30,18.16,0.0,20.364,29.305,0.605,53.3,15,5,6.879,20.0,14,10,40.0,0.977,1.118,206.36,3.3,0,10,0,12,0,0
4.301,0.619,54.153,49,20,47,29.105,0.0,29.091,48.76,0.619,42.6,29,8,8.094,37.0,27,10,31.9,1.037,1.152,380.41,12.8,0,13,0,15,0,0
4.352,0.672,53.86,50,21,48,30.95,0.0,32.233,48.24,0.645,43.8,29,4,7.572,39.5,27,17,43.8,1.005,1.122,363.45,6.3,0,19,0,21,0,0
5.585,0.689,60.534,58,23,54,35.28,0.0,37.199,54.931,0.653,42.6,35,8,8.548,44.0,31,12,38.9,1.017,1.121,461.61,5.6,0,15,0,21,0,0
4.301,0.663,51.943,49,20,46,29.444,0.0,30.478,46.458,0.64,43.5,29,7,7.662,39.0,26,12,41.3,1.01,1.129,352.43,8.7,0,16,0,19,0,0
4.301,0.69,39.325,36,15,35,22.842,0.0,24.142,35.338,0.653,42.9,21,2,8.268,28.0,20,12,40.0,1.01,1.124,289.39,8.6,0,13,0,14,0,0
4.301,0.716,37.12,35,13,33,22.46,3.0,23.637,33.382,0.681,39.4,22,2,10.097,30.0,20,16,42.4,1.012,1.125,333.21,12.1,0,16,1,14,0,0
4.301,0.655,54.567,50,23,48,29.465,0.0,31.438,48.192,0.614,47.9,27,9,7.532,34.0,25,10,35.4,1.004,1.137,361.52,10.4,0,12,0,17,0,0
5.274,0.714,28.079,27,9,25,17.261,0.0,17.858,25.687,0.69,36.0,18,2,9.412,23.5,16,11,40.0,1.027,1.123,235.29,12.0,0,11,0,10,0,0
4.301,0.703,54.582,51,21,49,32.616,4.1,34.46,49.451,0.666,42.9,30,4,8.538,39.0,28,18,44.9,1.009,1.114,418.34,2.0,0,18,0,22,2,0
4.584,0.698,36.747,34,13,33,22.229,0.0,23.04,33.789,0.674,39.4,21,2,8.829,30.0,20,6,42.4,1.024,1.114,291.35,3.0,0,12,0,14,0,0
4.301,0.689,32.575,30,11,29,19.601,0.0,19.972,29.494,0.676,37.9,19,0,8.32,27.0,18,12,44.8,1.017,1.123,241.27,10.3,0,14,0,13,0,0
4.301,0.682,57.986,56,22,52,34.17,0.0,35.443,52.349,0.657,42.3,34,6,7.74,45.5,30,21,46.2,1.007,1.115,402.48,3.8,0,22,0,24,0,0
4.301,0.698,52.607,50,19,47,31.509,0.0,32.813,47.022,0.67,40.4,31,4,7.861,44.5,28,21,46.8,1.0,1.119,369.46,10.6,0,23,0,22,0,1
4.301,0.721,40.632,37,14,36,24.586,5.6,25.966,36.894,0.683,38.9,23,2,9.457,30.0,22,12,41.7,1.025,1.129,340.45,5.6,0,13,0,15,0,0
4.301,0.66,56.275,53,23,50,31.477,0.0,32.995,50.123,0.63,46.0,30,8,7.309,38.5,27,11,42.0,1.002,1.126,365.47,6.0,0,14,0,21,0,0
4.301,0.752,41.538,42,13,38,27.514,0.0,28.585,38.462,0.724,34.2,29,2,9.142,39.5,25,17,52.6,1.012,1.093,347.41,2.6,0,19,0,20,0,0
4.301,0.657,51.817,48,19,45,28.715,2.2,29.552,45.629,0.638,42.2,29,6,7.876,37.5,26,17,37.8,1.014,1.151,354.44,17.8,0,17,0,17,0,0
4.301,0.773,26.521,25,9,24,17.165,4.2,18.563,24.138,0.715,37.5,16,0,9.864,22.0,15,12,45.8,1.006,1.105,236.74,8.3,0,12,0,11,1,0
4.301,0.701,50.657,47,19,45,29.598,0.0,31.563,45.502,0.658,42.2,28,3,8.657,39.0,26,16,37.8,1.011,1.126,389.55,11.1,0,19,0,17,0,0
4.301,0.642,40.817,38,19,36,21.279,0.0,23.108,35.374,0.591,52.8,19,7,6.371,24.0,17,10,38.9,0.983,1.134,229.36,8.3,0,10,0,14,0,0
4.603,0.676,41.239,40,17,37,23.665,0.0,25.006,36.825,0.64,45.9,23,5,7.226,29.0,20,12,45.9,0.995,1.115,267.35,2.7,0,12,0,17,0,0
4.301,0.704,43.83,41,12,39,27.669,0.0,27.443,40.982,0.709,30.8,29,2,9.959,40.5,27,11,41.0,1.051,1.124,388.39,10.3,0,17,0,16,0,0
4.301,0.67,49.445,47,19,44,28.423,0.0,29.472,44.356,0.646,43.2,28,6,7.668,36.5,25,11,43.2,1.008,1.124,337.41,6.8,0,14,0,19,0,0
4.301,0.74,37.748,37,13,34,23.774,2.9,25.165,34.094,0.699,38.2,24,2,8.717,32.5,21,17,50.0,1.003,1.11,296.39,5.9,0,17,0,17,0,0
4.301,0.713,32.119,30,13,29,19.084,0.0,20.676,28.807,0.658,44.8,17,2,7.977,23.5,16,11,44.8,0.993,1.108,231.34,3.4,0,12,0,13,0,0
4.301,0.688,55.913,53,18,50,34.163,0.0,34.386,51.967,0.683,36.0,35,4,9.17,45.5,32,17,42.0,1.039,1.118,458.48,4.0,0,19,0,21,0,0
4.301,0.671,38.29,34,16,34,21.405,2.9,22.813,34.382,0.63,47.1,18,5,9.241,23.0,18,6,38.2,1.011,1.126,314.2,2.9,0,8,1,13,0,0
4.641,0.676,23.661,22,8,21,14.053,0.0,14.205,21.509,0.669,38.1,14,1,8.39,19.0,13,0,42.9,1.024,1.127,176.19,9.5,0,5,0,9,0,0
4.765,0.727,38.072,36,13,34,23.401,0.0,24.722,34.12,0.688,38.2,23,1,8.688,32.5,21,17,44.1,1.004,1.12,295.4,14.7,0,18,0,15,0,0
5.113,0.663,49.737,46,18,44,28.632,0.0,29.171,44.902,0.651,40.9,28,3,8.055,38.0,26,16,40.9,1.02,1.13,354.4,9.1,0,18,0,18,0,0
5.309,0.723,36.699,35,14,33,22.149,0.0,23.853,32.742,0.671,42.4,21,1,8.133,29.5,19,17,45.5,0.992,1.112,268.39,9.1,0,17,0,15,0,0
4.301,0.708,31.073,30,12,28,18.677,0.0,19.818,27.622,0.667,42.9,18,1,7.439,25.5,16,11,50.0,0.986,1.11,208.28,7.1,0,13,0,14,0,0
