pXC50,SM05_EA,SM06_AEA.ed.,SM06_EA,Chi1_EA.dm.,SM05_AEA.ed.,SM06_EA.ri.,SpMin8_Bh.m.,ATS2p,ATS3p,ATS3v,ATS4p,ATS4v,ATSC4i,ATSC4p,ATSC4v,ATS1e,ATS1i,ATS2e,ATS2i,ATS4e,ATS5e,ATS5i,ATS6e,ATS7e,ATSC1p,ATSC1v,ATSC2p,ATSC2v,ATSC5p,CIC0,ISIZ,nAT,nBT,Se,Si,Sp,SpMax7_Bh.e.,SpMax7_Bh.i.,SpMax8_Bh.e.,SpMin4_Bh.m.,SpMin4_Bh.p.,SpMin4_Bh.v.,SpMin7_Bh.p.,SpMin7_Bh.v.,Sv,TIC3,TIC4,TIC5,ATS7i,CIC1,SdsN,SpMin4_Bh.e.,SpMin4_Bh.i.,GGI6,ATS3e,ATSC2i,ATSC3i,ATSC3p,ATSC5i
6.602,7.022,13.169,8.492,30.829,11.305,8.394,1.457,4.304,4.503,4.42,4.497,4.388,2.361,16.573,23.418,4.311,4.427,4.892,5.066,5.344,5.252,5.482,5.219,5.233,7.079,9.358,11.932,16.204,16.007,4.738,421.488,69,73,68.323,77.268,45.557,3.278,3.364,3.25,1.954,1.873,1.912,1.52,1.533,42.616,345.714,363.224,367.224,5.464,2.898,4.917,1.712,1.647,0.971,5.2,1.578,2.108,15.72,2.105
6.301,6.868,13.008,8.336,30.829,11.137,8.205,1.417,4.134,4.323,4.247,4.315,4.211,1.99,13.465,19.844,4.204,4.325,4.789,4.973,5.218,5.106,5.338,5.094,5.148,6.172,8.288,10.058,14.098,13.062,4.503,369.16,62,65,61.658,69.936,40.04,3.25,3.314,3.227,1.952,1.873,1.912,1.435,1.434,37.584,306.896,314.896,314.896,5.385,2.689,4.864,1.712,1.647,0.87,5.087,1.435,1.858,12.917,1.783
6.201,6.929,13.038,8.37,33.771,11.173,8.248,1.417,4.115,4.292,4.226,4.304,4.204,1.954,13.017,19.606,4.215,4.332,4.803,4.987,5.23,5.077,5.3,5.123,5.145,6.2,8.231,10.008,14.034,12.637,4.458,369.16,62,65,61.985,70.145,39.495,3.25,3.314,3.234,1.851,1.805,1.82,1.52,1.532,37.299,302.141,310.141,310.141,5.378,2.676,4.852,1.644,1.603,0.925,5.079,1.421,1.797,12.437,1.737
5.0,6.77,12.875,8.155,23.021,10.971,8.044,1.1,3.624,3.79,3.758,3.813,3.741,1.164,7.359,11.133,3.768,3.887,4.309,4.501,4.733,4.56,4.749,4.631,4.566,3.838,5.099,5.808,8.349,7.916,3.795,212.877,40,41,40.138,45.362,25.228,2.874,3.009,2.874,1.569,1.513,1.53,1.239,1.263,23.928,173.103,173.103,173.103,4.873,2.088,4.437,1.206,1.141,0.487,4.538,0.87,1.079,6.798,1.023
5.0,6.792,12.925,8.223,23.021,11.032,8.116,1.253,3.919,4.131,4.052,4.12,4.006,1.643,10.786,16.757,3.988,4.111,4.578,4.769,5.065,4.898,5.142,4.87,4.843,5.077,6.851,8.288,11.859,10.285,4.194,282.193,50,52,49.789,56.607,31.512,3.0,3.086,2.936,1.846,1.796,1.813,1.239,1.308,29.509,221.928,229.928,229.928,5.093,2.543,4.703,1.636,1.593,0.705,4.909,1.154,1.524,10.72,1.414
5.0,6.594,12.697,7.989,13.167,10.786,7.875,0.657,3.442,3.576,3.535,3.53,3.428,0.814,5.805,7.45,3.506,3.613,4.024,4.185,4.372,4.15,4.369,4.045,3.608,2.737,3.338,4.588,5.769,5.682,3.171,147.207,30,31,30.484,33.851,20.347,2.835,2.862,2.445,1.417,1.451,1.423,1.0,1.02,19.461,124.942,124.942,124.942,3.797,1.335,4.054,1.097,1.016,0.384,4.209,0.639,0.753,5.576,0.636
5.0,6.77,12.875,8.155,22.455,10.971,8.013,1.05,3.655,3.822,3.772,3.847,3.751,1.127,7.89,11.066,3.737,3.856,4.295,4.486,4.694,4.516,4.7,4.573,4.519,3.77,4.963,6.037,8.306,8.201,3.675,206.131,39,40,39.134,44.096,25.631,2.874,3.009,2.874,1.569,1.512,1.53,1.239,1.258,24.041,166.356,166.356,166.356,4.828,2.09,4.489,1.206,1.141,0.487,4.515,0.844,1.04,7.146,0.959
5.699,6.792,12.925,8.223,22.455,11.032,8.087,1.253,3.942,4.154,4.062,4.145,4.014,1.611,11.491,16.858,3.963,4.086,4.567,4.758,5.037,4.868,5.109,4.824,4.808,4.986,6.717,8.463,11.809,10.791,4.098,275.121,49,51,48.785,55.342,31.915,2.993,3.083,2.88,1.841,1.79,1.81,1.239,1.308,29.622,214.856,222.856,222.856,5.057,2.554,4.755,1.636,1.593,0.705,4.893,1.126,1.488,11.202,1.358
5.0,6.594,12.697,7.989,13.214,10.786,7.868,0.653,3.473,3.615,3.552,3.578,3.449,0.854,6.539,7.651,3.503,3.61,4.021,4.182,4.367,4.141,4.36,4.038,3.588,2.782,3.33,4.85,5.831,6.555,3.171,147.207,30,31,30.389,33.748,20.841,2.835,2.859,2.444,1.417,1.45,1.423,0.982,1.012,19.658,124.942,124.942,124.942,3.774,1.335,4.092,1.098,1.016,0.384,4.203,0.648,0.772,6.081,0.675
5.0,6.77,12.875,8.155,22.501,10.971,8.007,1.039,3.68,3.852,3.785,3.882,3.766,1.169,8.652,11.297,3.735,3.854,4.292,4.484,4.691,4.51,4.693,4.569,4.511,3.841,4.97,6.369,8.399,8.959,3.675,206.131,39,40,39.04,43.994,26.125,2.874,3.009,2.871,1.568,1.512,1.53,1.239,1.257,24.239,166.356,166.356,166.356,4.821,2.09,4.527,1.206,1.141,0.487,4.51,0.857,1.066,7.727,0.996
5.602,6.792,12.925,8.223,22.501,11.032,8.081,1.253,3.961,4.176,4.072,4.171,4.025,1.657,12.335,17.138,3.961,4.084,4.565,4.756,5.035,4.863,5.104,4.821,4.802,5.051,6.725,8.772,11.901,11.653,4.098,275.121,49,51,48.691,55.239,32.41,2.993,3.083,2.874,1.837,1.788,1.809,1.239,1.308,29.819,214.856,222.856,222.856,5.051,2.554,4.793,1.637,1.594,0.705,4.89,1.138,1.516,11.85,1.402
5.699,6.909,13.009,8.327,33.173,11.139,8.213,1.417,3.979,4.14,4.097,4.143,4.072,1.654,10.84,14.896,4.063,4.175,4.602,4.778,5.01,4.878,5.067,4.927,5.0,5.177,6.635,8.274,11.023,11.011,4.253,310.764,54,56,54.007,60.69,35.756,3.031,3.122,2.984,1.84,1.784,1.803,1.303,1.308,34.003,260.989,260.989,260.989,5.271,2.34,4.599,1.606,1.543,0.691,4.831,1.182,1.489,9.896,1.446
5.699,6.909,13.009,8.327,35.481,11.139,8.194,1.417,3.984,4.146,4.106,4.18,4.101,1.666,11.414,16.089,4.119,4.231,4.669,4.85,5.049,4.957,5.159,4.99,5.018,5.649,7.315,8.68,11.749,12.194,4.362,332.475,57,59,57.0,64.232,36.728,3.106,3.175,3.019,1.84,1.784,1.803,1.358,1.366,34.75,267.191,271.945,277.945,5.285,2.65,4.616,1.605,1.542,0.691,4.861,1.212,1.493,10.219,1.526
6.081,6.909,13.011,8.332,33.159,11.142,8.202,1.417,4.032,4.196,4.146,4.235,4.146,1.747,12.154,17.332,4.165,4.28,4.721,4.905,5.087,5.035,5.245,5.055,5.037,5.991,7.841,9.248,12.653,13.138,4.454,354.413,60,62,59.883,67.647,38.489,3.196,3.268,3.024,1.842,1.788,1.807,1.461,1.488,36.277,287.129,291.884,297.884,5.304,2.714,4.625,1.607,1.544,0.771,4.925,1.276,1.574,10.964,1.626
6.102,7.004,13.13,8.441,30.829,11.259,8.341,1.417,4.113,4.28,4.226,4.297,4.215,1.857,12.874,17.471,4.156,4.268,4.703,4.874,5.104,5.026,5.219,5.057,5.054,5.858,7.587,9.495,12.657,13.32,4.467,347.076,59,62,58.672,66.022,39.273,3.24,3.284,3.024,1.842,1.787,1.806,1.42,1.431,37.036,291.792,301.302,305.302,5.318,2.636,4.651,1.607,1.544,0.753,4.937,1.3,1.646,11.575,1.668
4.921,6.698,12.797,8.119,20.369,10.911,8.008,1.121,3.789,3.885,3.817,3.82,3.738,1.162,7.963,11.657,3.875,3.993,4.46,4.637,4.741,4.56,4.756,4.673,4.583,4.412,5.802,7.316,10.012,8.16,3.962,240.215,44,46,44.022,49.777,27.989,2.874,3.009,2.869,1.78,1.72,1.74,1.239,1.308,26.455,197.95,197.95,197.95,4.807,2.24,4.189,1.538,1.487,0.602,4.712,0.99,1.175,8.857,1.055
6.387,6.878,13.005,8.328,29.657,11.131,8.196,1.417,4.166,4.339,4.238,4.312,4.198,1.956,13.408,20.551,4.212,4.339,4.843,5.038,5.244,5.089,5.312,5.161,5.212,6.638,9.092,11.099,15.868,13.236,4.599,376.569,63,66,62.323,71.268,39.557,3.25,3.314,3.023,1.86,1.809,1.825,1.52,1.532,36.616,285.284,304.304,304.304,5.459,3.211,4.89,1.644,1.601,0.923,5.178,1.476,1.904,14.091,1.776
5.201,6.686,12.8,8.129,21.542,10.919,8.038,1.181,3.789,3.909,3.863,3.86,3.781,1.25,8.52,11.42,3.877,3.985,4.395,4.553,4.745,4.604,4.817,4.573,4.498,4.229,5.276,6.807,8.71,8.377,3.952,240.215,44,46,44.138,49.362,29.228,2.874,3.009,2.854,1.57,1.565,1.544,1.239,1.308,27.928,205.195,207.95,207.95,4.698,2.092,4.175,1.235,1.181,0.549,4.592,0.94,1.131,8.278,1.076
5.0,6.77,12.884,8.204,23.329,11.002,8.099,1.181,3.836,3.975,3.932,3.953,3.876,1.342,9.264,12.438,3.935,4.046,4.467,4.639,4.825,4.69,4.887,4.777,4.615,4.562,5.821,7.115,9.4,9.346,4.07,261.066,47,49,47.022,52.777,30.989,2.876,3.009,2.874,1.647,1.682,1.668,1.239,1.308,29.455,221.291,224.046,224.046,4.828,2.283,4.411,1.373,1.292,0.611,4.654,1.017,1.219,8.659,1.196
6.0,6.847,12.962,8.275,30.829,11.082,8.157,1.417,3.944,4.091,4.039,4.097,4.019,1.567,10.577,14.916,4.042,4.159,4.59,4.771,4.978,4.852,5.041,4.917,4.974,5.258,6.892,8.238,11.251,10.94,4.284,303.58,53,55,52.789,59.607,34.512,3.022,3.116,2.874,1.84,1.784,1.803,1.298,1.308,32.509,251.05,253.805,253.805,5.248,2.548,4.611,1.605,1.542,0.651,4.81,1.152,1.431,9.788,1.391
6.301,6.868,13.008,8.336,30.829,11.137,8.221,1.417,4.166,4.354,4.269,4.337,4.226,2.06,14.141,20.673,4.214,4.334,4.799,4.982,5.247,5.115,5.348,5.101,5.167,6.48,8.649,10.681,14.772,13.485,4.587,376.569,63,66,62.44,70.853,40.796,3.25,3.314,3.227,1.953,1.873,1.912,1.436,1.434,38.089,303.549,314.304,314.304,5.404,2.85,4.876,1.712,1.647,0.87,5.104,1.432,1.884,13.818,1.808
8.398,6.781,12.927,8.318,34.614,11.16,8.15,1.487,4.44,4.622,4.539,4.621,4.532,2.634,17.837,26.003,4.514,4.637,5.098,5.274,5.477,5.458,5.697,5.408,5.494,8.158,10.736,13.71,18.777,17.52,4.854,529.128,83,88,82.941,93.886,53.796,3.468,3.528,3.291,1.955,1.873,1.912,1.622,1.556,50.943,440.864,462.373,470.373,5.726,2.878,5.091,1.712,1.653,0.9,5.408,1.988,2.49,18.055,2.547
5.0,6.698,12.782,8.119,25.319,10.993,7.854,1.39,4.069,4.221,4.151,4.198,4.13,1.72,11.508,14.301,4.103,4.215,4.659,4.842,5.001,4.856,5.024,4.964,4.979,5.289,6.578,9.227,11.777,11.17,4.053,325.212,56,58,56.509,63.053,38.267,3.102,3.172,3.011,1.789,1.766,1.794,1.336,1.355,36.039,282.192,282.192,282.192,5.165,2.21,0.0,1.577,1.513,1.055,4.896,1.341,1.592,11.558,1.637
4.921,6.217,12.334,7.777,11.954,10.59,7.394,1.181,4.012,4.12,3.968,4.083,3.902,1.391,12.317,12.991,3.974,4.072,4.528,4.683,4.692,4.636,4.851,4.59,4.521,4.835,5.717,8.575,9.816,10.134,3.905,268.078,48,51,48.065,53.491,34.074,3.111,3.201,2.854,1.771,1.758,1.782,1.34,1.343,31.609,231.323,234.078,234.078,4.748,1.968,0.0,1.567,1.511,0.263,4.727,1.213,1.404,11.575,1.231
4.387,6.77,12.868,8.217,26.21,11.063,8.127,1.361,4.026,4.159,4.119,4.175,4.14,1.539,10.968,13.222,4.066,4.164,4.61,4.763,4.931,4.964,5.159,4.913,4.8,4.909,5.981,8.073,10.322,11.774,4.195,296.423,52,56,52.349,57.986,35.443,3.177,3.238,2.932,1.655,1.6,1.619,1.386,1.429,34.17,260.423,260.423,260.423,5.051,2.234,0.0,1.492,1.46,0.469,4.864,1.21,1.48,10.536,1.55
4.268,6.33,12.461,7.871,28.047,10.706,7.689,1.271,4.067,4.205,4.109,4.153,4.051,1.635,11.611,16.213,4.1,4.225,4.675,4.861,4.99,4.943,5.178,4.903,4.863,5.323,7.291,8.831,12.625,11.479,4.378,325.212,56,59,55.563,62.896,37.063,3.111,3.206,3.01,1.822,1.771,1.79,1.376,1.429,34.815,277.602,287.212,287.212,5.103,2.65,4.603,1.617,1.572,0.63,4.985,1.35,1.704,11.759,1.546
4.125,6.447,12.515,7.965,25.286,10.775,7.869,1.364,4.061,4.175,4.074,4.114,3.998,1.593,10.863,15.347,4.062,4.189,4.605,4.78,4.912,4.77,5.021,4.656,4.575,4.535,6.093,7.857,10.847,9.818,4.225,296.423,52,56,51.789,58.438,35.336,3.088,3.167,3.012,1.671,1.757,1.732,1.419,1.427,33.563,264.423,272.423,276.423,4.821,1.999,0.0,1.491,1.422,0.505,4.847,1.326,1.556,10.747,1.369
4.0,6.019,12.024,7.489,19.324,10.303,7.299,0.883,3.726,3.789,3.682,3.69,3.589,0.946,7.857,10.899,3.804,3.919,4.41,4.585,4.553,4.482,4.688,4.529,4.461,4.203,5.561,7.156,9.716,7.492,3.927,219.66,41,43,40.92,46.279,25.983,2.869,2.962,2.803,1.69,1.681,1.664,1.046,1.068,24.434,190.905,190.905,190.905,4.679,2.219,0.0,1.466,1.423,0.399,4.681,0.921,1.071,8.765,0.936
8.398,6.781,12.927,8.318,34.614,11.16,8.15,1.487,4.44,4.622,4.539,4.621,4.532,2.634,17.837,26.003,4.514,4.637,5.098,5.274,5.477,5.458,5.697,5.408,5.494,8.158,10.736,13.71,18.777,17.52,4.854,529.128,83,88,82.941,93.886,53.796,3.468,3.528,3.291,1.955,1.873,1.912,1.622,1.556,50.943,440.864,462.373,470.373,5.726,2.878,5.091,1.712,1.653,0.9,5.408,1.988,2.49,18.055,2.547
