pXC50,Eig05_EA,piPC10,P_VSA_e_2,SM13_AEA.bo.,ATS5i,ATS6p,CATS2D_08_AL,S2K,ATSC6v,nCar,P_VSA_p_3,P_VSA_v_3,ATS7i,CIC0,SpMax8_Bh.i.,ATS3p,ATS4i,ATS4p,ATSC4m,P_VSA_e_1,P_VSA_i_2,P_VSA_m_1,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,ATSC7i,ATSC5v,ATSC6p,ATSC8m,ATSC8p,ATSC8v,ATSC1v,P_VSA_LogP_7,P_VSA_MR_1,Eig05_AEA.ri.,Eig05_EA.ri.,ATSC3v,ATSC4p,ATSC5p,ATS5p,ATSC4v,SpMin3_Bh.p.,NsssN,Chi1_EA.dm.,GGI8,SpMin7_Bh.m.,Hypnotic.80,PHI,ATSC3p,GATS2p,P_VSA_i_3,ATS6m,Eig02_EA.dm.,MATS2p,MATS1s,ATSC3m,SpMin3_Bh.i.,C.006,Eig03_EA.dm.,ATSC2v,Eig04_EA.dm.,Eig04_AEA.dm.
5.0,1.215,4.937,66.126,1.215,4.52,3.356,0,5.171,8.029,6,66.126,66.126,4.375,3.488,2.609,3.671,4.652,3.565,22.348,188.338,60.318,188.338,188.338,188.338,188.338,0.603,8.52,6.124,15.16,4.167,5.185,4.719,188.338,117.711,2.203,1.199,10.443,7.222,6.411,3.488,9.471,1.708,0,16.469,0.094,0.997,1,3.82,7.959,1.178,232.651,3.178,0.0,-0.086,-0.144,24.943,1.439,3,0.0,8.279,0.0,1.93
5.0,1.515,6.159,82.579,1.515,4.37,3.388,2,5.463,6.097,9,82.579,82.579,4.305,3.058,2.51,3.645,4.486,3.54,22.075,129.482,70.725,129.482,129.482,129.482,129.482,0.633,5.763,6.104,16.003,4.328,4.42,3.291,105.94,94.169,2.477,1.452,7.247,6.969,6.46,3.475,6.12,1.719,0,7.897,0.117,1.0,1,4.065,7.832,1.086,218.108,3.651,0.0,-0.031,-0.169,23.819,1.559,1,0.0,5.891,0.0,2.473
5.0,2.006,6.805,80.76,2.006,4.914,3.785,0,5.92,10.966,9,80.76,80.76,4.793,3.51,2.772,3.91,4.854,3.922,24.623,188.338,74.953,188.338,203.298,188.338,188.338,1.128,11.586,9.591,21.138,5.742,7.185,4.763,164.795,167.984,2.962,1.913,11.448,8.93,9.845,3.921,11.101,1.718,0,17.77,0.137,1.157,1,4.132,9.46,1.129,232.651,3.874,0.0,-0.062,-0.084,27.191,1.51,1,0.0,8.878,0.0,2.673
5.77,1.813,6.905,85.231,1.813,4.998,3.913,0,5.935,13.333,9,85.231,85.231,4.951,3.63,2.798,3.906,4.835,3.983,23.955,200.109,79.424,200.109,200.109,200.109,200.109,1.025,13.247,11.1,23.763,6.177,8.721,4.939,176.567,200.109,2.778,1.749,10.989,9.201,10.537,4.028,11.896,1.717,0,18.417,0.148,1.233,1,4.149,8.467,1.079,255.422,3.79,0.68,-0.006,-0.13,22.838,1.517,0,0.0,8.863,0.0,2.531
5.0,1.618,6.687,80.162,1.618,4.693,3.565,0,5.11,9.592,9,80.162,80.162,4.465,3.321,2.649,3.716,4.6,3.736,19.251,153.024,74.355,153.024,153.024,153.024,153.024,0.676,9.009,7.952,14.903,3.779,4.924,3.821,129.482,129.482,2.559,1.518,8.424,7.223,7.403,3.735,8.67,1.71,0,19.569,0.117,0.999,1,3.44,6.971,1.159,208.337,3.524,0.68,-0.103,-0.15,19.295,1.502,1,0.0,6.927,0.0,2.174
5.0,1.903,6.77,69.105,1.903,4.9,3.742,0,5.353,11.352,9,69.105,69.105,4.731,3.482,2.717,3.858,4.781,3.906,22.386,164.795,63.297,164.795,164.795,164.795,164.795,0.836,11.709,9.192,17.92,4.331,5.559,4.383,141.253,164.795,2.869,1.835,10.362,8.691,9.548,3.915,10.97,1.711,0,14.861,0.117,1.06,1,3.675,8.137,1.179,251.792,3.712,0.0,-0.1,-0.15,21.956,1.507,0,0.0,8.221,0.0,2.467
5.0,1.618,6.763,83.65,1.618,4.991,3.855,0,6.331,12.804,9,83.65,83.65,4.819,3.791,2.84,3.981,4.93,3.996,30.172,223.651,77.842,223.651,223.651,223.651,223.651,1.003,12.959,9.926,21.774,6.781,9.312,5.596,200.109,200.109,2.618,1.618,13.316,10.2,10.065,3.978,13.023,1.727,0,14.834,0.17,1.232,1,4.436,10.201,1.146,267.964,3.676,0.0,-0.068,-0.118,28.913,1.522,1,0.0,10.225,0.0,2.173
5.0,1.245,5.509,72.638,1.245,4.446,3.406,0,5.613,8.156,6,72.638,72.638,4.4,3.407,2.661,3.627,4.65,3.535,22.483,176.567,66.831,176.567,176.567,176.567,176.567,0.63,7.705,6.207,16.426,4.338,5.565,4.364,164.795,117.711,2.222,1.216,9.353,6.927,5.903,3.473,9.084,1.692,0,15.953,0.117,1.02,1,4.122,7.224,1.172,220.879,3.246,0.267,-0.09,-0.146,23.476,1.451,2,0.0,7.583,0.0,2.23
5.0,1.618,6.769,86.977,1.618,5.033,3.849,0,5.375,13.573,9,86.977,86.977,4.847,3.652,2.756,3.947,4.884,4.013,25.578,211.88,81.17,211.88,211.88,211.88,211.88,0.94,14.51,10.5,18.758,4.845,6.655,5.044,188.338,211.88,2.618,1.618,11.707,9.786,11.063,4.02,12.659,1.711,1,22.954,0.148,1.226,1,3.7,9.235,1.002,256.193,3.612,0.4,0.049,-0.128,25.59,1.507,0,0.0,9.021,0.0,2.326
5.88,1.618,6.727,81.115,1.618,4.898,3.793,0,5.722,11.993,9,81.115,81.115,4.767,3.652,2.766,3.913,4.845,3.926,25.095,200.109,75.308,200.109,200.109,200.109,200.109,0.923,12.51,9.453,19.719,5.681,7.733,5.048,176.567,164.795,2.618,1.618,12.055,8.892,9.699,3.928,11.551,1.717,0,14.834,0.137,1.158,1,3.939,9.394,1.13,244.422,3.622,0.0,-0.06,-0.124,26.919,1.515,1,0.0,9.288,0.0,2.172
5.0,1.618,6.793,86.977,1.618,4.97,3.851,0,5.375,13.315,9,86.977,86.977,4.833,3.652,2.836,3.927,4.895,3.987,25.547,211.88,81.17,211.88,211.88,211.88,211.88,0.948,13.588,10.339,19.679,5.224,6.939,5.044,188.338,211.88,2.618,1.618,11.511,9.633,10.45,3.989,12.959,1.778,0,15.748,0.191,1.151,1,3.7,8.672,1.051,256.193,3.634,0.0,-0.001,-0.133,22.848,1.543,0,0.0,9.017,0.0,2.388
5.0,1.618,6.766,89.041,1.618,4.953,3.887,0,5.958,12.865,9,89.041,89.041,4.878,3.791,2.843,4.011,5.032,4.0,31.068,223.651,83.233,223.651,223.651,223.651,223.651,1.06,13.374,10.012,23.465,7.25,10.05,5.596,200.109,153.024,2.618,1.618,13.554,9.994,10.211,3.982,13.166,1.724,0,15.173,0.207,1.24,1,4.175,10.78,1.058,267.964,3.707,0.0,0.022,-0.131,31.275,1.522,0,0.0,10.233,0.0,2.187
5.33,1.618,6.687,78.581,1.618,4.84,3.69,0,5.133,11.168,9,78.581,78.581,4.641,3.501,2.66,3.836,4.737,3.873,21.664,176.567,72.773,176.567,176.567,176.567,176.567,0.788,11.623,8.938,15.937,4.105,5.392,4.493,153.024,176.567,2.618,1.618,10.545,8.467,9.189,3.871,11.088,1.71,0,14.834,0.117,1.094,1,3.465,8.057,1.163,220.879,3.528,0.0,-0.104,-0.136,21.759,1.507,0,0.0,8.331,0.0,2.166
5.69,1.68,6.849,86.977,1.68,4.863,3.808,0,5.375,12.386,9,86.977,86.977,4.803,3.652,2.824,3.914,4.875,3.94,25.323,211.88,81.17,211.88,211.88,211.88,211.88,0.942,12.13,9.712,19.792,5.654,7.722,5.044,188.338,211.88,2.637,1.618,11.504,9.291,9.467,3.924,12.525,1.815,0,19.252,0.137,1.179,1,3.7,8.657,1.051,256.193,3.624,0.0,-0.001,-0.137,22.917,1.524,0,0.0,9.017,0.0,2.44
5.0,1.357,6.081,86.093,1.357,4.597,3.356,0,5.024,7.993,9,86.093,86.093,4.253,3.284,2.542,3.581,4.502,3.596,18.099,153.024,80.286,153.024,153.024,153.024,153.024,0.585,8.653,6.186,13.631,3.45,4.233,3.814,129.482,153.024,2.322,1.308,7.697,6.719,6.653,3.546,8.642,1.712,0,17.766,0.117,1.066,1,3.618,6.046,1.176,197.337,3.259,0.0,-0.1,-0.179,17.054,1.487,0,0.0,6.703,0.0,2.156
6.05,2.014,7.248,87.497,2.014,5.309,4.367,6,7.868,20.176,9,87.497,87.497,5.419,4.283,3.132,4.308,5.311,4.325,39.259,317.82,81.69,317.82,317.82,317.82,317.82,1.99,19.899,15.347,50.898,16.147,21.825,7.907,294.278,282.506,2.972,1.925,19.832,14.335,14.589,4.349,19.787,1.886,0,21.163,0.278,1.498,0,5.497,14.579,1.148,362.133,4.201,0.0,-0.056,-0.096,39.603,1.772,1,0.0,14.658,0.0,2.814
5.09,1.414,6.204,84.871,1.414,4.703,3.551,0,5.657,8.654,9,84.871,84.871,4.586,3.454,2.514,3.668,4.634,3.678,20.906,176.567,79.064,176.567,176.567,176.567,176.567,0.766,10.328,6.895,17.541,4.763,6.745,4.364,153.024,141.253,2.414,1.414,8.836,7.178,8.163,3.666,9.089,1.716,0,12.754,0.117,1.071,1,4.151,7.131,1.108,220.879,3.399,0.0,-0.025,-0.157,21.438,1.439,1,0.0,7.631,0.0,2.125
5.7,1.55,6.775,78.581,1.55,4.763,3.586,0,5.133,9.781,9,78.581,78.581,4.525,3.501,2.628,3.806,4.699,3.794,21.612,176.567,72.773,176.567,176.567,176.567,176.567,0.741,10.716,7.931,16.213,4.711,6.49,4.493,153.024,141.253,2.549,1.549,10.48,7.582,8.562,3.775,9.513,1.78,0,15.874,0.117,1.114,1,3.465,8.397,1.112,220.879,3.444,0.0,-0.052,-0.132,24.301,1.592,1,0.0,8.331,0.0,2.171
6.67,2.039,7.787,144.421,2.039,5.148,4.095,0,7.235,14.05,19,144.421,144.421,4.943,4.061,3.067,4.272,5.105,4.263,31.963,223.651,138.613,223.651,223.651,223.651,223.651,1.331,15.469,12.527,23.033,8.647,10.833,5.677,200.109,223.651,2.997,1.949,15.099,12.577,13.259,4.218,14.983,1.795,0,15.173,0.285,1.293,0,4.556,12.258,0.969,267.964,4.051,0.0,-0.019,-0.13,29.284,1.699,0,0.0,10.42,0.0,2.835
5.9,0.772,0.0,51.593,0.772,4.124,2.511,0,4.21,3.84,6,51.593,51.593,3.595,3.145,2.048,3.146,4.262,3.003,12.984,117.711,51.593,117.711,117.711,117.711,117.711,0.2,4.758,2.48,3.265,0.857,1.308,3.107,117.711,117.711,1.685,0.701,6.149,3.966,3.115,2.787,5.913,1.422,0,13.144,0.0,0.582,1,3.225,4.322,1.084,203.078,2.044,0.4,0.002,-0.213,12.705,1.06,1,0.0,4.883,0.0,1.351
9.699,2.256,8.012,160.242,2.256,5.358,4.382,6,7.491,19.532,15,160.242,160.242,5.275,4.338,3.159,4.391,5.308,4.417,43.116,306.049,128.022,306.049,306.049,306.049,306.049,1.908,21.281,14.809,33.017,12.606,17.837,7.101,314.726,282.506,3.183,2.1,17.527,16.73,15.348,4.384,21.96,1.934,2,23.709,0.3,1.503,0,4.853,13.386,0.713,306.049,4.131,0.916,0.232,0.112,34.675,1.682,4,0.8,11.91,0.172,2.898
8.921,2.256,8.012,149.908,2.256,5.299,4.349,8,7.453,18.804,14,149.908,149.908,5.253,4.261,3.132,4.355,5.292,4.375,42.686,294.278,117.689,294.278,294.278,294.278,294.278,1.856,19.876,14.021,32.919,11.159,15.85,6.737,314.726,273.063,3.181,2.095,16.651,15.54,14.333,4.352,20.465,1.93,2,23.709,0.3,1.495,0,4.813,12.776,0.701,294.278,4.149,0.916,0.242,0.103,33.52,1.676,4,0.8,11.335,0.172,2.898
9.143,2.256,8.012,192.337,2.256,5.33,4.434,4,7.756,20.262,16,192.337,192.337,5.252,4.375,3.151,4.436,5.288,4.45,45.279,306.049,128.84,306.049,306.049,306.049,306.049,1.889,21.918,16.26,38.792,15.287,19.217,7.344,369.546,282.506,3.178,2.075,18.302,17.727,16.529,4.424,22.239,1.924,2,22.679,0.3,1.499,0,5.143,14.947,0.707,306.049,4.245,0.916,0.226,0.027,38.999,1.681,4,0.8,12.722,0.172,2.914
8.796,2.236,8.05,170.798,2.236,5.322,4.383,6,7.71,19.695,17,170.798,170.798,5.228,4.356,3.012,4.391,5.278,4.403,42.042,294.278,138.579,294.278,294.278,294.278,294.278,1.828,21.162,14.927,33.727,12.957,17.649,6.922,314.726,270.735,3.15,2.038,17.403,16.248,15.448,4.391,21.106,1.945,2,21.209,0.271,1.493,0,4.939,13.372,0.785,294.278,4.13,0.916,0.15,0.093,34.377,1.736,4,0.8,11.706,0.172,2.823
9.585,2.236,8.05,170.798,2.236,5.338,4.387,5,7.71,19.624,17,170.798,170.798,5.233,4.356,3.009,4.4,5.288,4.413,42.347,294.278,138.579,294.278,294.278,294.278,294.278,1.848,21.358,14.99,33.069,13.164,18.132,6.922,302.955,270.735,3.151,2.039,17.574,16.589,15.578,4.393,21.569,1.945,2,21.209,0.271,1.492,0,4.939,13.507,0.763,294.278,4.123,0.916,0.172,0.118,34.155,1.732,4,0.8,11.701,0.172,2.823
8.721,2.236,8.05,170.798,2.236,5.347,4.389,6,7.71,19.82,17,170.798,170.798,5.223,4.356,2.989,4.403,5.283,4.422,42.125,294.278,138.579,294.278,294.278,294.278,294.278,1.822,21.82,15.12,34.392,13.439,18.438,6.922,302.955,270.735,3.151,2.039,17.568,16.725,15.92,4.403,21.739,1.945,2,21.209,0.271,1.492,0,4.939,13.504,0.763,294.278,4.123,0.916,0.172,0.118,34.177,1.731,4,0.8,11.701,0.172,2.823
9.77,2.236,8.05,160.464,2.236,5.325,4.363,6,7.672,18.758,16,160.464,160.464,5.219,4.271,2.995,4.379,5.28,4.393,42.072,282.506,128.245,282.506,282.506,282.506,282.506,1.845,20.583,14.39,31.636,12.208,17.084,6.557,279.413,258.964,3.15,2.036,16.861,16.181,14.993,4.369,21.017,1.945,2,21.209,0.271,1.491,0,4.897,13.064,0.723,282.506,4.125,0.916,0.212,0.153,32.698,1.701,4,0.8,11.055,0.172,2.823
9.398,2.236,8.05,181.132,2.236,5.35,4.411,5,7.749,20.483,18,181.132,181.132,5.247,4.45,3.015,4.423,5.303,4.435,42.883,306.049,148.912,306.049,306.049,306.049,306.049,1.844,22.129,15.588,34.428,14.115,19.18,7.288,338.268,282.506,3.151,2.042,18.462,17.095,16.16,4.417,22.264,1.946,2,21.209,0.271,1.493,0,4.98,14.095,0.789,306.049,4.12,0.916,0.146,0.068,35.359,1.775,4,0.8,12.403,0.172,2.823
8.31,2.246,8.105,183.667,2.246,5.434,4.471,5,7.986,22.619,18,183.667,183.667,5.302,4.541,3.202,4.475,5.371,4.506,45.368,329.591,151.447,329.591,329.591,329.591,329.591,1.943,24.165,17.069,39.531,15.589,20.712,7.848,361.81,306.049,3.168,2.079,19.448,18.221,17.562,4.489,23.931,1.946,2,22.679,0.401,1.513,0,5.214,14.751,0.766,329.591,4.159,0.916,0.18,0.033,36.846,1.791,4,0.8,13.421,0.172,3.021
9.022,2.26,8.112,183.667,2.26,5.401,4.463,6,7.986,21.798,18,183.667,183.667,5.324,4.541,3.199,4.47,5.376,4.488,45.577,329.591,151.447,329.591,329.591,329.591,329.591,1.968,23.35,16.478,36.067,14.917,20.368,7.848,361.81,306.049,3.216,2.183,19.448,18.233,16.984,4.466,23.935,1.946,2,22.679,0.321,1.513,0,5.214,14.751,0.766,329.591,4.16,0.916,0.18,0.023,36.838,1.795,4,0.8,13.421,0.172,2.885
9.086,2.282,8.12,183.667,2.282,5.406,4.44,5,7.986,20.984,18,183.667,183.667,5.28,4.541,3.194,4.47,5.376,4.484,45.57,329.591,151.447,329.591,329.591,329.591,329.591,1.913,23.355,15.9,37.015,15.216,20.778,7.848,361.81,306.049,3.259,2.231,19.448,18.233,16.996,4.448,23.935,1.946,2,22.679,0.357,1.511,0,5.214,14.751,0.766,329.591,4.153,0.916,0.18,0.023,36.838,1.797,4,0.8,13.421,0.172,2.858
8.921,2.295,8.165,186.201,2.295,5.534,4.52,6,8.224,23.901,18,186.201,186.201,5.375,4.626,3.206,4.523,5.433,4.57,47.851,353.133,153.982,353.133,353.133,353.133,353.133,2.067,26.572,17.938,41.193,16.397,21.922,8.403,385.353,329.591,3.262,2.219,20.453,19.363,19.242,4.549,25.615,1.947,2,23.288,0.451,1.525,0,5.448,15.426,0.746,353.133,4.198,0.916,0.211,0.0,38.366,1.808,4,0.8,14.409,0.172,3.153
8.161,2.25,8.158,186.201,2.25,5.506,4.541,5,8.224,25.878,18,186.201,186.201,5.354,4.626,3.202,4.523,5.434,4.576,47.893,353.133,153.982,353.133,353.133,353.133,353.133,2.044,26.216,19.36,44.588,17.055,22.276,8.403,385.353,329.591,3.173,2.088,20.453,19.362,18.969,4.572,25.611,1.947,2,25.62,0.531,1.513,0,5.448,15.426,0.746,353.133,4.198,0.916,0.211,0.0,38.366,1.803,4,0.8,14.409,0.172,3.165
8.745,2.291,8.221,188.736,2.291,5.542,4.593,5,8.463,28.595,18,188.736,188.736,5.383,4.708,3.206,4.566,5.499,4.626,50.557,376.675,156.516,376.675,376.675,376.675,376.675,2.116,27.508,21.269,47.081,18.136,23.881,8.952,408.895,353.133,3.265,2.231,21.473,20.495,19.842,4.627,27.265,1.947,2,30.032,0.617,1.595,0,5.683,16.115,0.728,376.675,4.231,0.916,0.238,-0.041,39.913,1.818,4,0.8,15.374,0.172,3.187
10.056,2.163,7.526,147.167,2.163,5.181,4.177,5,6.606,16.062,12,147.167,147.167,5.008,4.076,2.912,4.255,5.157,4.259,38.252,247.193,114.947,247.193,247.193,247.193,247.193,1.43,18.085,12.233,23.224,8.71,12.247,5.792,279.413,223.651,3.091,1.978,15.084,14.536,13.284,4.216,18.653,1.926,2,24.684,0.239,1.164,0,4.327,11.767,0.744,247.193,3.917,2.035,0.197,0.121,29.994,1.676,4,0.916,9.946,0.8,3.193
10.409,2.163,7.401,132.671,2.163,5.28,4.245,3,6.888,18.209,12,132.671,132.671,5.169,4.23,2.926,4.295,5.242,4.309,40.989,270.735,100.451,270.735,270.735,270.735,270.735,1.621,19.864,13.744,29.012,10.825,15.55,6.743,302.955,247.193,3.091,1.978,17.094,15.439,14.322,4.272,20.339,1.938,2,29.902,0.239,1.469,0,4.638,12.992,0.77,270.735,3.94,0.916,0.202,-0.107,33.681,1.678,5,0.8,11.582,0.522,2.754
10.092,2.228,7.515,146.201,2.228,5.358,4.35,6,8.155,19.741,12,146.201,146.201,5.288,4.282,3.174,4.353,5.319,4.379,43.954,306.049,113.981,306.049,306.049,306.049,306.049,1.816,21.449,15.013,35.149,12.547,17.567,7.276,338.268,282.506,3.165,2.11,17.673,16.468,15.485,4.36,21.666,1.941,2,31.433,0.319,1.499,0,5.648,13.621,0.79,331.194,4.076,1.909,0.184,-0.014,36.269,1.679,5,0.916,12.416,0.8,3.193
9.509,2.289,7.552,155.026,2.289,5.424,4.431,6,9.011,22.173,12,155.026,155.026,5.35,4.473,3.198,4.436,5.458,4.446,49.908,353.133,122.806,353.133,353.133,353.133,353.133,1.966,23.035,16.583,40.148,14.554,20.565,8.348,385.353,329.591,3.241,2.181,20.286,17.567,16.529,4.426,23.35,1.943,2,34.353,0.409,1.509,0,6.406,15.34,0.813,378.278,4.145,1.909,0.179,-0.024,40.704,1.683,5,0.916,14.298,0.8,3.193
9.284,2.304,7.569,163.851,2.304,5.456,4.469,6,8.84,23.342,12,163.851,163.851,5.38,4.561,3.198,4.499,5.596,4.499,55.846,376.675,131.632,376.675,376.675,376.675,376.675,2.043,23.83,17.346,42.587,15.553,22.045,8.878,408.895,353.133,3.257,2.194,21.734,19.132,17.058,4.458,25.725,1.946,2,38.019,0.504,1.51,0,6.358,16.332,0.778,401.82,4.178,1.909,0.223,-0.043,42.718,1.72,5,0.916,15.227,0.8,3.193
8.959,2.373,8.177,122.432,2.373,5.456,4.367,5,9.222,20.406,14,122.432,122.432,5.417,4.434,3.202,4.364,5.418,4.386,40.449,317.82,122.432,317.82,332.78,317.82,317.82,2.094,21.982,14.111,43.048,14.496,21.556,7.807,306.049,285.695,3.334,2.272,19.393,14.782,14.645,4.369,21.234,1.938,2,39.203,0.361,1.515,0,6.18,13.592,0.964,342.965,4.103,0.8,0.049,-0.031,37.497,1.756,7,0.563,13.756,0.522,2.874
9.046,2.228,7.515,146.201,2.228,5.358,4.35,6,8.155,19.741,12,146.201,146.201,5.288,4.282,3.174,4.353,5.319,4.379,43.954,306.049,113.981,306.049,306.049,306.049,306.049,1.816,21.449,15.013,35.149,12.547,17.567,7.276,338.268,282.506,3.165,2.11,17.673,16.468,15.485,4.36,21.666,1.941,2,31.433,0.319,1.499,0,5.648,13.621,0.79,331.194,4.076,1.909,0.184,-0.014,36.269,1.679,5,0.916,12.416,0.8,3.193
9.377,2.228,7.515,146.201,2.228,5.358,4.35,6,8.155,19.741,12,146.201,146.201,5.288,4.282,3.174,4.353,5.319,4.379,43.954,306.049,113.981,306.049,306.049,306.049,306.049,1.816,21.449,15.013,35.149,12.547,17.567,7.276,338.268,282.506,3.165,2.11,17.673,16.468,15.485,4.36,21.666,1.941,2,31.433,0.319,1.499,0,5.648,13.621,0.79,331.194,4.076,1.909,0.184,-0.014,36.269,1.679,5,0.916,12.416,0.8,3.193
8.699,2.414,8.298,135.962,2.414,5.522,4.462,7,10.489,21.935,14,135.962,135.962,5.512,4.507,3.206,4.418,5.483,4.451,43.304,353.133,135.962,353.133,368.093,353.133,353.133,2.287,23.56,15.427,46.598,15.785,23.281,8.341,341.362,321.009,3.377,2.318,19.993,15.816,15.835,4.45,22.538,1.944,2,40.734,0.473,1.521,0,7.189,14.176,0.97,403.423,4.22,1.701,0.039,-0.01,40.228,1.758,7,0.8,14.59,0.563,2.988
