pXC50,ATS8i,SddssS,nS..O.2,P_VSA_s_1,CATS2D_08_LL,NddssS,S.110,ATSC3p,SdO,SpMax3_Bh.v.,ATSC4p,ATSC2p,ATSC1p,ATS1p,CATS2D_07_LL,ATSC6p,ATS2p,ATSC5p,ATSC3v,DBI,nS,SpMax3_Bh.e.,P_VSA_LogP_3,Sp,X2v,SpMin6_Bh.s.,MATS6e,X4sol,AMR,X1v,ATSC2v,VvdwMG,Vx,ATSC4m,ATS4p,ATS3p,ATSC8p,ATSC5m,X1sol,X5v,ATSC4v,ATSC1v,ATSC3m,ATSC7p,ATS1v,ATS5v,ATSC8m,Eta_alpha,ATS4m,SpMin2_Bh.v.,ATS4v,X0sol,X4v,GATS8p,ATS5m,ATS3v,ATS6p,SpDiam_EA.bo.,X0v,X1Kup,ATS5p,HDcpx,ATSC5v,CATS2D_01_LL,ZM1Mad,ATSC7m,O.058,VvdwZAZ,SpMax3_Bh.i.
8.33,5.079,0.0,0,0.0,9,0,0,10.642,12.811,3.743,12.23,7.994,4.78,3.568,10,14.646,3.972,14.89,15.222,3.808,0,3.808,103.81,34.228,6.744,0.605,0.003,8.152,105.3,9.148,11.503,199.118,477.608,32.88,4.291,4.171,10.507,40.513,12.591,2.366,17.557,6.79,27.615,11.997,3.519,4.208,28.601,12.533,4.041,1.934,4.182,18.571,3.902,1.126,4.035,4.076,4.274,7.158,15.482,9.063,4.349,1.702,21.4,16,141.793,32.799,1,338.73,3.841
5.0,4.838,0.0,0,0.0,11,0,0,14.066,24.892,3.669,15.865,9.245,5.144,3.667,6,16.525,4.121,16.281,18.397,2.739,0,3.772,85.286,36.409,8.807,0.735,0.022,9.175,113.962,10.737,12.438,211.896,508.787,45.658,4.378,4.345,9.847,43.404,14.153,3.948,21.159,6.82,40.127,13.519,3.612,4.235,41.211,14.3,4.186,2.012,4.24,20.562,5.057,0.973,4.14,4.223,4.291,7.034,17.451,9.916,4.38,1.711,22.158,16,224.435,41.216,2,372.96,3.817
7.511,5.415,0.0,0,0.0,12,0,0,14.559,13.113,3.825,17.131,10.651,6.327,3.926,13,19.007,4.332,19.482,20.139,4.0,0,3.949,189.096,47.512,9.611,0.841,-0.048,11.696,150.422,12.777,14.752,272.283,656.13,41.942,4.599,4.522,15.167,50.381,18.075,3.547,23.74,8.651,35.364,17.253,3.878,4.506,39.576,18.033,4.324,2.08,4.481,25.667,5.288,0.982,4.359,4.424,4.589,7.158,21.178,12.697,4.632,1.78,27.178,28,204.126,44.357,1,466.67,3.988
8.22,5.286,0.0,0,0.0,12,0,0,12.416,12.999,3.758,14.651,9.006,5.286,3.763,11,16.556,4.171,16.642,16.824,3.937,0,3.857,141.715,40.847,8.611,0.701,-0.031,9.927,130.091,11.183,12.341,239.237,575.498,37.644,4.437,4.363,13.648,44.381,15.792,3.116,20.003,7.158,32.451,15.402,3.716,4.354,38.235,15.748,4.212,2.021,4.32,23.054,4.571,1.006,4.258,4.265,4.457,7.158,18.926,10.755,4.473,1.748,23.004,19,191.645,40.665,1,409.26,3.889
7.325,5.385,0.0,0,0.0,12,0,0,12.878,13.02,3.765,15.615,9.694,5.767,3.783,12,16.896,4.188,17.641,18.071,3.937,0,3.874,141.715,41.75,8.475,0.71,-0.05,9.899,130.327,11.122,13.669,240.496,578.571,39.377,4.487,4.389,14.485,48.389,15.52,3.059,21.998,8.017,32.184,15.892,3.733,4.392,38.174,15.533,4.208,2.049,4.364,22.554,4.636,0.989,4.253,4.292,4.495,7.158,18.792,11.042,4.52,1.749,25.229,22,176.126,42.161,1,411.35,3.913
7.91,5.162,0.0,0,0.0,8,0,0,11.212,12.844,3.743,13.247,8.576,5.124,3.616,10,14.771,4.017,15.089,16.254,3.937,0,3.808,103.81,35.989,7.121,0.66,-0.051,8.213,109.945,9.648,12.419,208.71,501.013,34.837,4.332,4.215,11.11,42.072,13.091,2.534,19.069,7.323,29.969,13.176,3.563,4.244,30.624,13.033,4.065,1.952,4.214,19.278,3.969,1.021,4.087,4.115,4.324,7.158,16.189,9.568,4.378,1.71,21.939,16,146.126,35.988,1,356.03,3.841
7.74,5.273,0.0,0,0.0,9,0,0,12.006,12.883,3.743,14.006,9.173,5.468,3.663,10,15.324,4.064,15.541,17.496,4.062,0,3.808,103.81,37.75,7.475,0.723,-0.044,8.308,114.546,10.148,13.332,218.303,524.419,36.943,4.369,4.26,12.288,44.214,13.591,2.647,20.301,7.852,32.014,14.024,3.605,4.279,33.703,13.533,4.091,1.97,4.246,19.985,4.067,0.976,4.123,4.152,4.377,7.158,16.897,10.068,4.413,1.718,22.842,17,150.126,38.657,1,373.33,3.841
7.936,5.361,0.0,0,0.0,11,0,0,12.876,13.015,3.768,15.565,9.694,5.767,3.783,13,16.867,4.188,17.114,18.071,3.937,0,3.875,141.715,41.75,8.537,0.73,-0.066,9.969,130.327,11.116,13.669,240.496,578.571,39.55,4.474,4.384,14.063,45.979,15.503,3.017,21.981,8.017,32.181,15.575,3.733,4.38,37.488,15.533,4.198,2.047,4.352,22.554,4.664,1.075,4.243,4.284,4.48,7.158,18.792,11.036,4.506,1.749,24.303,22,176.126,40.607,1,411.35,3.914
7.175,5.287,0.0,0,0.0,11,0,0,12.23,12.983,3.749,14.445,9.067,5.411,3.743,12,16.115,4.144,16.325,17.092,3.873,0,3.851,151.191,39.989,8.034,0.704,-0.065,9.618,125.286,10.706,12.69,230.904,555.166,36.663,4.419,4.333,13.203,44.064,15.109,2.919,20.237,7.465,30.741,15.035,3.696,4.343,34.831,15.033,4.161,2.032,4.303,21.684,4.438,1.032,4.216,4.235,4.443,7.158,17.869,10.625,4.463,1.741,23.051,21,170.126,39.446,1,394.05,3.89
4.838,4.577,0.0,0,0.0,3,0,0,8.388,0.0,3.743,9.167,5.536,3.392,3.522,14,15.022,3.919,11.048,11.306,2.915,0,3.808,141.715,30.961,6.299,0.243,-0.102,8.928,102.112,8.555,7.352,181.948,435.714,24.323,4.264,4.105,7.815,26.756,12.62,2.644,12.12,4.547,20.273,13.782,3.477,4.382,21.801,12.514,4.248,1.926,4.191,17.615,3.758,0.947,4.42,4.014,4.471,7.398,14.343,8.165,4.472,1.698,14.632,16,153.71,38.508,0,304.29,3.841
5.14,5.499,0.0,0,0.0,9,0,0,14.012,13.057,3.588,15.404,10.886,6.514,3.792,13,15.134,4.21,15.519,19.201,3.937,0,3.722,47.381,42.25,8.876,0.881,0.156,11.336,128.85,12.052,14.774,238.951,574.801,41.694,4.447,4.391,15.305,44.063,16.139,3.924,21.054,8.561,36.887,15.632,3.765,4.351,45.422,15.633,4.334,1.986,4.372,22.949,5.197,0.931,4.289,4.326,4.422,7.738,19.701,11.886,4.432,1.757,21.194,12,197.532,42.4,1,417.2,3.78
6.62,5.579,0.0,0,0.0,7,0,0,14.423,13.414,3.828,17.606,11.198,6.913,3.912,14,18.023,4.316,18.561,18.345,4.0,0,3.896,94.762,47.705,9.974,0.821,0.127,13.451,150.808,13.152,14.132,271.806,654.967,44.626,4.609,4.522,17.494,48.616,19.016,4.485,22.736,8.563,34.749,18.521,3.9,4.538,49.236,18.467,4.492,2.04,4.539,27.095,5.826,0.929,4.479,4.481,4.615,7.838,22.529,12.935,4.616,1.799,24.496,13,237.105,47.586,1,478.67,3.916
5.87,5.197,0.0,0,0.0,12,0,0,12.501,13.198,3.835,14.804,9.661,5.729,3.786,15,12.986,4.203,14.029,15.721,3.464,0,3.905,94.762,40.966,8.907,0.704,0.177,12.138,130.285,11.549,11.964,232.368,558.738,37.892,4.39,4.377,12.105,38.153,16.619,3.858,18.698,6.986,29.333,13.143,3.775,4.259,32.999,16.133,4.311,2.009,4.327,23.233,5.156,0.891,4.233,4.332,4.284,7.734,19.259,11.383,4.32,1.761,17.564,14,209.532,33.793,1,403.32,3.934
5.84,5.366,0.0,0,0.0,8,0,0,13.333,12.909,3.544,14.614,10.782,6.075,3.766,10,14.952,4.186,15.128,17.093,3.674,1,3.673,47.381,39.921,9.049,0.734,0.133,11.402,126.092,12.277,13.559,226.901,545.399,37.914,4.406,4.354,14.833,41.399,15.697,4.139,18.78,7.643,33.966,14.908,3.715,4.303,42.759,15.133,4.335,1.981,4.326,21.888,5.36,0.878,4.279,4.279,4.369,7.738,19.103,11.036,4.398,1.741,19.157,10,205.596,39.087,1,392.32,3.716
5.66,5.026,0.0,0,0.0,5,0,0,9.821,0.0,3.587,12.382,8.027,4.715,3.632,8,11.174,4.059,11.793,12.362,2.739,0,3.781,47.381,35.239,7.992,0.703,0.174,11.411,111.498,10.145,10.193,199.853,479.402,31.509,4.29,4.229,9.479,33.034,14.619,3.602,15.813,5.807,24.485,10.597,3.635,4.178,28.09,14.1,4.221,1.984,4.232,20.405,4.772,0.893,4.166,4.2,4.178,7.747,17.152,9.972,4.239,1.731,15.488,8,195.149,29.89,0,335.31,3.817
5.27,5.217,0.0,0,0.0,11,0,0,12.354,0.0,3.817,14.881,9.416,5.475,3.754,15,13.936,4.186,14.914,16.355,2.828,0,3.881,94.762,39.057,8.611,0.719,0.069,11.314,123.882,10.955,12.364,217.71,522.973,36.707,4.415,4.371,12.562,37.664,15.208,4.024,19.974,7.12,29.624,13.861,3.724,4.268,33.201,14.967,4.172,2.027,4.307,20.949,5.199,0.902,4.141,4.299,4.349,7.707,17.943,10.837,4.381,1.739,20.416,16,189.665,35.005,0,371.08,3.912
5.66,5.098,0.0,0,0.0,7,0,0,11.588,12.635,3.5,13.405,9.57,5.347,3.681,8,12.837,4.101,13.681,14.251,3.391,1,3.64,47.381,36.398,8.445,0.704,0.192,10.971,116.864,11.216,11.605,207.716,498.588,33.466,4.318,4.272,11.687,37.217,14.659,3.854,16.679,6.521,28.658,12.548,3.637,4.175,33.88,14.133,4.258,1.98,4.239,20.474,5.028,0.831,4.155,4.21,4.209,7.734,17.689,9.975,4.272,1.722,16.725,8,197.596,33.081,1,357.72,3.673
5.87,5.29,0.0,0,0.0,5,0,0,11.615,12.784,3.517,13.084,9.125,5.474,3.665,9,12.863,4.083,13.671,15.228,3.536,0,3.659,47.381,36.966,7.773,0.708,0.121,10.808,115.047,10.552,11.922,210.174,504.585,34.496,4.332,4.268,11.931,37.99,14.639,3.616,17.092,6.928,29.847,13.193,3.653,4.233,37.373,14.133,4.266,1.985,4.277,20.828,4.723,0.768,4.188,4.229,4.258,7.738,17.58,10.386,4.304,1.732,17.946,9,185.532,34.97,1,365.3,3.696
5.34,5.529,0.0,0,0.0,10,0,0,14.789,13.114,3.609,16.168,11.468,6.859,3.831,14,15.905,4.248,16.269,20.462,4.062,0,3.744,47.381,44.012,9.23,0.881,0.164,11.513,133.451,12.552,15.7,248.543,598.206,43.91,4.482,4.429,15.641,46.184,16.639,4.064,22.311,9.097,39.082,16.338,3.8,4.381,46.737,16.133,4.352,1.988,4.401,23.656,5.374,0.919,4.308,4.356,4.459,7.738,20.408,12.386,4.468,1.764,22.435,13,201.532,44.506,1,434.5,3.806
5.92,3.698,0.0,0,0.0,0,0,0,5.057,0.0,2.987,4.688,3.482,2.307,2.719,0,2.562,3.11,3.216,7.856,2.828,0,3.191,0.36,16.387,4.424,0.395,-0.23,2.376,42.227,4.243,5.791,96.366,226.894,16.989,3.21,3.315,0.918,12.774,4.972,0.625,7.836,3.762,16.606,1.749,2.683,2.738,3.818,5.067,2.676,1.717,2.952,8.483,1.382,0.0,2.493,3.128,2.662,5.082,7.885,4.113,2.907,1.423,5.333,0,63.747,4.927,0,164.5,3.286
5.61,4.946,0.0,0,0.0,8,0,0,10.568,12.603,3.491,12.204,8.019,4.583,3.597,11,11.255,4.03,11.912,13.059,3.24,0,3.635,47.381,33.847,7.721,0.702,0.066,10.937,108.762,9.952,10.002,195.326,468.355,33.672,4.252,4.219,9.852,34.876,13.868,3.534,14.939,5.594,26.634,10.882,3.581,4.12,28.415,13.514,4.331,1.98,4.196,19.913,4.743,0.917,4.172,4.173,4.127,7.734,16.598,9.48,4.192,1.715,14.229,8,190.173,29.867,1,337.12,3.67
5.49,4.945,0.0,0,0.0,7,0,0,10.568,12.596,3.494,12.059,8.019,4.583,3.597,8,11.106,4.03,11.765,13.061,3.24,0,3.637,47.381,33.847,7.781,0.703,0.203,10.621,108.762,9.946,10.002,195.326,468.355,30.736,4.234,4.211,9.926,33.331,13.852,3.516,14.919,5.594,27.081,10.809,3.581,4.103,29.411,13.514,4.228,1.979,4.174,19.913,4.624,0.952,4.123,4.164,4.109,7.734,16.598,9.474,4.174,1.714,14.202,8,190.173,28.871,1,337.12,3.67
6.38,5.058,0.0,0,0.0,4,0,0,10.779,12.552,3.505,13.639,8.276,5.112,3.613,7,12.47,4.038,13.951,13.701,3.317,0,3.651,47.381,35.205,7.703,0.584,0.131,10.534,110.569,9.798,10.673,200.582,481.179,34.256,4.35,4.265,9.751,38.528,14.028,3.614,17.578,6.377,25.437,11.818,3.607,4.204,29.79,13.633,4.242,1.993,4.281,20.284,4.691,0.792,4.153,4.233,4.183,7.831,17.113,9.611,4.286,1.723,18.579,8,183.229,33.95,1,348.0,3.688
6.15,5.375,0.0,0,0.0,5,0,0,12.287,12.942,3.528,14.368,9.442,5.8,3.704,9,14.739,4.122,15.605,16.228,3.606,0,3.668,47.381,38.728,8.147,0.77,0.082,11.32,119.944,10.946,12.619,219.766,527.99,37.113,4.429,4.333,13.288,42.627,15.066,3.817,18.929,7.473,31.325,14.183,3.687,4.331,40.143,14.633,4.333,1.994,4.366,21.698,5.105,0.865,4.27,4.293,4.35,7.835,18.527,10.768,4.414,1.741,20.887,9,191.893,39.024,1,382.6,3.705
6.43,5.698,0.0,0,0.0,9,0,0,14.675,13.395,3.821,16.693,11.25,6.795,3.894,19,18.851,4.309,18.367,19.355,3.808,0,3.882,94.762,46.25,9.659,0.883,0.096,13.229,144.557,13.08,14.744,261.145,628.953,42.88,4.589,4.503,19.69,47.899,18.122,4.547,21.978,8.681,36.621,20.038,3.871,4.554,55.452,17.633,4.481,2.044,4.522,25.518,5.917,0.925,4.493,4.45,4.66,7.842,21.621,12.905,4.629,1.787,24.193,15,224.226,50.614,1,455.22,3.911
6.29,5.451,0.0,0,0.0,6,0,0,13.1,13.058,3.549,15.134,10.026,6.144,3.746,10,15.976,4.165,15.976,17.579,3.742,0,3.683,47.381,40.489,8.543,0.836,0.1,11.465,124.545,11.446,13.569,229.359,551.395,39.634,4.465,4.373,14.691,44.228,15.566,4.038,20.278,8.014,33.73,15.81,3.725,4.387,42.835,15.133,4.362,1.995,4.397,22.405,5.22,0.993,4.327,4.324,4.437,7.836,19.234,11.268,4.465,1.75,21.574,10,195.893,44.645,1,399.9,3.724
5.878,5.3,0.0,0,0.0,12,0,0,16.736,13.176,3.768,20.44,11.761,6.789,3.834,9,18.919,4.28,19.902,23.396,3.317,0,3.872,66.334,43.762,10.733,0.825,0.08,9.756,133.612,12.499,16.728,249.197,599.801,57.957,4.557,4.52,14.517,57.525,15.431,4.329,28.307,9.524,49.006,17.125,3.756,4.291,52.232,15.967,4.206,2.051,4.371,23.01,5.713,0.863,4.061,4.374,4.417,7.114,20.749,11.683,4.492,1.731,28.072,16,239.247,51.675,1,436.01,3.912
5.39,5.27,0.0,0,0.0,5,0,0,11.654,13.104,3.523,14.225,8.807,5.368,3.674,8,13.212,4.1,13.758,15.666,3.674,0,3.688,47.381,37.517,8.165,0.705,0.171,10.651,117.267,10.486,12.133,212.972,511.412,38.254,4.377,4.31,11.385,39.631,14.512,3.605,19.103,7.131,30.122,13.768,3.655,4.248,35.932,14.2,4.253,1.988,4.301,20.991,4.707,0.786,4.175,4.264,4.302,7.736,17.912,10.321,4.335,1.731,18.989,8,185.961,38.319,1,367.51,3.746
5.63,5.221,0.0,0,0.0,8,0,0,12.452,12.9,3.526,14.12,9.714,5.821,3.709,11,12.653,4.127,13.448,16.595,3.674,0,3.693,47.381,38.728,8.335,0.714,0.189,10.88,119.546,10.991,12.886,219.766,527.99,38.275,4.343,4.307,11.764,38.993,15.101,3.56,18.756,7.477,32.202,12.783,3.692,4.214,34.305,14.633,4.26,1.985,4.278,21.535,4.742,0.935,4.167,4.257,4.242,7.734,18.287,10.826,4.282,1.739,17.727,10,189.532,34.972,1,382.6,3.749
6.29,5.207,0.0,0,0.0,5,0,0,11.491,12.784,3.507,13.96,8.856,5.456,3.659,8,13.067,4.078,14.391,14.838,3.464,0,3.655,47.381,36.966,7.932,0.718,0.141,10.91,115.317,10.386,11.654,210.174,504.585,35.276,4.376,4.292,11.647,40.362,14.528,3.65,18.177,6.927,28.762,12.75,3.648,4.245,33.963,14.133,4.276,1.994,4.309,20.991,4.792,0.945,4.19,4.258,4.25,7.831,17.82,10.207,4.325,1.732,19.151,8,187.893,36.201,1,365.3,3.69
6.66,5.313,0.0,0,0.0,6,0,0,12.05,12.9,3.518,14.626,9.421,5.8,3.704,8,14.898,4.119,15.619,15.971,3.606,0,3.664,47.381,38.728,8.117,0.801,0.178,11.405,120.065,10.962,12.614,219.766,527.99,36.859,4.434,4.33,12.609,42.685,15.066,3.784,19.19,7.473,31.597,13.892,3.687,4.33,37.818,14.633,4.332,2.0,4.368,21.698,5.113,0.888,4.25,4.293,4.348,7.836,18.527,10.787,4.418,1.741,20.897,8,192.226,40.197,1,382.6,3.703
4.57,4.964,0.0,0,0.0,5,0,0,10.475,12.584,3.491,12.081,8.066,4.784,3.58,8,11.01,4.009,11.491,13.204,3.24,0,3.638,47.381,33.443,7.384,0.703,0.205,10.386,105.651,9.603,10.253,190.989,457.774,31.326,4.222,4.19,9.377,32.255,13.563,3.348,15.416,5.808,26.2,10.71,3.576,4.097,26.705,13.133,4.18,1.983,4.171,19.413,4.447,0.981,4.067,4.157,4.097,7.734,15.912,9.463,4.154,1.714,14.399,8,176.758,29.663,1,330.7,3.672
8.398,4.662,0.0,0,0.0,5,0,0,9.486,12.319,3.379,9.167,6.948,4.183,3.313,6,6.29,3.752,7.171,13.213,3.464,0,3.545,90.065,25.983,6.02,0.603,-0.166,5.811,76.155,7.285,9.657,149.141,355.664,28.824,3.746,3.903,6.778,23.494,9.571,2.422,12.732,5.564,27.53,6.648,3.281,3.475,18.319,9.4,3.515,2.018,3.632,14.165,3.177,1.072,3.456,3.81,3.504,6.919,11.788,7.194,3.546,1.619,9.841,8,119.382,19.753,1,264.19,3.565
5.6,4.707,0.0,0,0.0,9,0,0,11.427,12.67,3.694,11.464,7.927,4.548,3.513,9,9.352,3.926,10.436,13.747,3.317,0,3.768,84.344,31.574,7.182,0.492,-0.168,7.116,98.755,9.006,9.879,188.259,451.113,34.907,4.028,4.089,8.428,32.828,11.937,2.309,14.028,5.594,31.234,8.461,3.482,3.859,22.402,12.419,4.036,2.038,3.952,17.441,3.464,1.153,3.95,4.023,3.852,7.232,15.245,8.55,3.937,1.695,13.499,10,165.668,26.875,1,335.34,3.792
5.0,4.464,0.0,0,0.0,6,0,0,8.807,13.101,3.546,9.808,6.044,3.166,3.494,9,9.941,3.973,9.777,9.656,2.915,0,3.66,65.392,29.455,7.778,0.283,-0.151,10.277,98.669,9.048,6.997,174.882,418.472,24.192,4.165,4.143,7.341,22.774,12.563,3.595,11.405,3.448,21.934,9.812,3.484,4.083,28.629,12.748,4.259,1.989,4.113,18.345,4.577,1.248,4.296,4.109,4.036,7.685,15.225,8.261,4.134,1.701,11.024,5,199.578,29.97,1,299.92,3.709
5.7,4.615,0.0,0,0.0,5,0,0,10.413,12.596,3.683,9.955,7.214,4.151,3.461,10,8.204,3.868,8.816,13.69,2.828,0,3.764,84.344,29.875,6.51,0.357,0.028,6.792,94.666,8.561,9.459,177.469,424.784,28.958,3.911,4.007,7.651,26.959,11.526,2.284,12.942,5.322,28.533,7.825,3.422,3.766,20.431,11.633,3.85,2.03,3.815,16.571,3.21,1.122,3.928,3.902,3.784,7.206,14.074,8.13,3.828,1.672,11.119,11,146.673,23.96,1,311.97,3.79
5.9,4.506,0.0,0,0.0,7,0,0,9.259,12.56,3.69,8.888,6.486,3.804,3.437,11,7.947,3.824,8.264,11.721,2.828,0,3.765,93.821,29.114,6.108,0.297,-0.27,6.792,95.286,8.24,8.262,174.541,417.641,24.33,3.856,3.947,6.874,23.937,11.526,1.993,11.244,4.739,24.012,7.348,3.404,3.736,18.528,11.633,3.885,2.008,3.781,16.571,2.954,1.104,3.833,3.861,3.751,7.232,13.867,7.809,3.795,1.673,10.164,11,146.673,22.924,1,309.33,3.79
6.4,4.735,0.0,0,0.0,8,0,0,10.938,12.674,3.696,11.164,7.787,4.477,3.516,13,8.423,3.927,9.48,15.156,2.828,0,3.783,84.344,31.699,6.82,0.596,-0.207,6.881,99.491,8.872,10.877,185.863,445.266,33.787,4.015,4.089,8.739,27.976,11.937,2.329,15.349,6.162,29.094,8.367,3.458,3.773,22.295,11.848,3.797,2.035,3.867,17.441,3.292,1.218,3.76,3.957,3.84,7.151,14.696,8.466,3.889,1.671,13.078,14,142.842,25.023,1,323.2,3.812
5.0,4.403,0.0,0,0.0,4,0,0,9.541,12.505,3.606,9.143,6.598,3.763,3.411,7,7.235,3.807,8.11,12.219,2.739,1,3.684,63.565,28.068,6.67,0.362,-0.222,7.389,92.141,8.689,8.481,168.346,402.525,26.192,3.805,3.903,6.744,26.299,11.48,2.401,11.572,4.74,28.724,6.869,3.344,3.612,18.065,11.081,3.761,1.99,3.668,16.217,3.649,1.148,3.821,3.755,3.646,7.138,13.714,7.466,3.724,1.646,9.923,8,158.385,22.093,1,286.15,3.699
