pXC50,MW,Sp,Sv,nBO,SCBO,nC,nBM,nAB,nSK,nBT,Se,nAT,Si,nCsp2,RBF,RBN,nH
5.3,440.5,36.364,35.642,34,46.0,22,20,16,32,58,57.207,56,63.402,15,0.155,9,24
5.0,586.69,51.193,49.508,52,69.0,35,32,30,44,82,74.531,74,82.438,26,0.037,3,30
7.8,440.46,34.091,34.105,34,46.0,20,21,18,32,54,53.76,52,59.153,17,0.167,9,20
5.886,308.38,26.296,25.477,26,36.0,16,20,20,23,42,39.356,39,44.275,13,0.048,2,16
5.6,401.53,34.461,32.697,33,45.0,22,23,22,29,52,48.098,48,53.527,19,0.038,2,19
5.15,562.79,52.557,49.47,45,54.5,31,18,17,41,87,82.825,83,94.301,15,0.115,10,42
5.0,519.52,40.057,40.142,41,56.5,27,22,17,38,61,59.981,58,65.876,20,0.115,7,20
5.0,524.76,47.466,44.362,40,51.0,27,20,18,37,76,72.923,73,82.766,16,0.145,11,36
6.456,386.51,33.455,31.675,31,44.0,22,24,22,28,49,45.996,46,51.029,21,0.102,5,18
5.41,464.86,33.148,33.422,34,45.0,21,20,18,32,50,50.32,48,54.906,19,0.1,5,16
5.1,315.41,28.597,27.268,27,38.0,19,22,22,24,44,40.811,41,45.983,17,0.091,4,17
5.8,332.84,25.79,24.449,24,32.5,15,17,17,22,37,35.553,35,39.143,13,0.108,4,13
5.0,375.39,28.483,28.676,31,44.0,17,24,22,28,44,42.338,41,46.734,17,0.114,5,13
5.505,488.07,40.068,37.862,36,45.5,22,18,17,33,62,59.603,59,66.923,14,0.113,7,26
5.3,274.39,21.807,20.239,20,28.5,13,16,15,18,30,28.218,28,30.707,12,0.1,3,10
5.2,255.27,20.455,20.27,21,30.0,14,17,16,19,31,29.68,29,32.705,14,0.065,2,10
5.0,354.51,33.103,31.111,28,36.0,19,16,16,26,54,51.774,52,59.351,11,0.148,8,26
6.5,275.33,24.279,23.413,24,34.0,17,18,16,21,37,34.051,34,37.78,16,0.027,1,13
5.0,457.71,29.864,29.154,29,38.0,17,17,16,27,44,43.64,42,47.653,14,0.136,6,15
6.0,415.89,32.824,31.962,32,41.5,20,18,17,29,51,49.069,48,54.516,14,0.078,4,19
7.62,466.58,41.762,40.025,42,55.0,28,25,24,35,68,61.109,61,68.189,19,0.029,2,26
5.0,416.39,30.529,31.068,34,43.0,20,15,12,30,49,47.112,45,51.547,15,0.061,3,15
6.3,290.35,25.284,24.434,25,35.5,17,21,21,22,39,36.153,36,40.279,16,0.077,3,14
5.0,235.27,19.551,19.161,21,31.0,13,20,20,18,30,27.276,27,30.322,13,0.033,1,9
6.3,292.39,24.716,23.38,24,34.5,16,21,21,21,36,33.018,33,36.574,16,0.083,3,12
5.0,306.42,26.478,24.907,25,35.5,17,21,21,22,39,35.902,36,39.989,16,0.103,4,14
5.0,332.45,30.364,28.816,29,39.0,19,20,20,25,49,44.796,45,50.896,13,0.061,3,20
5.5,292.38,25.841,24.762,25,35.0,16,20,20,22,41,38.029,38,43.066,13,0.073,3,16
5.8,306.41,27.603,26.289,26,36.0,17,20,20,23,44,40.912,41,46.481,13,0.114,5,18
6.4,391.49,34.273,32.946,33,43.5,22,21,21,29,55,51.301,51,57.777,16,0.091,5,22
6.585,442.54,37.915,36.65,35,43.5,23,14,11,32,62,59.832,59,67.153,14,0.097,6,27
5.0,210.25,18.512,17.865,18,25.0,13,13,12,16,28,26.065,26,28.867,13,0.0,0,10
6.2,361.47,30.932,29.322,29,40.5,21,23,23,26,45,42.08,42,46.661,20,0.089,4,16
5.5,496.57,41.705,40.729,43,57.0,27,24,20,37,67,61.872,61,68.564,20,0.03,2,24
5.0,306.41,27.603,26.289,26,35.5,17,16,15,23,44,40.912,41,46.481,9,0.091,4,18
6.481,557.1,47.392,45.422,43,58.5,30,26,23,40,72,69.52,69,77.544,23,0.153,11,29
5.3,450.38,35.75,34.128,33,41.5,21,17,17,30,55,52.832,52,59.081,14,0.091,5,22
5.0,371.47,33.779,32.235,31,42.0,23,20,18,28,52,48.912,49,54.651,20,0.058,3,21
5.5,371.47,33.779,32.235,31,42.0,23,20,18,28,52,48.912,49,54.651,20,0.058,3,21
6.4,357.44,32.017,30.708,30,41.0,22,20,18,27,49,46.029,46,51.235,20,0.061,3,19
5.5,342.41,27.762,27.235,28,36.5,15,16,15,25,46,43.887,43,49.481,9,0.065,3,18
5.4,469.58,42.336,40.563,41,58.0,30,30,28,36,64,58.789,59,65.438,25,0.047,3,23
5.9,447.6,40.324,38.374,37,46.0,24,15,12,33,66,62.087,62,70.474,13,0.076,5,29
5.0,498.71,45.273,42.352,40,52.5,28,24,23,36,70,65.618,66,74.102,21,0.1,7,30
6.824,481.65,44.836,42.385,40,53.0,29,24,22,36,71,66.65,67,75.308,22,0.085,6,31
6.721,634.74,53.569,52.097,51,63.5,34,21,17,46,87,83.418,82,92.987,21,0.138,12,36
5.0,543.67,44.296,42.722,42,53.5,27,22,21,38,70,67.265,66,75.247,18,0.1,7,28
6.854,460.64,42.841,40.406,37,47.5,26,15,11,34,69,65.752,66,74.806,13,0.087,6,32
5.0,480.59,39.557,38.115,37,49.0,24,23,22,34,61,58.956,58,65.112,19,0.131,8,24
7.481,332.44,30.569,29.015,28,38.0,20,18,16,25,48,44.803,45,50.524,16,0.063,3,20
5.2,394.4,26.966,27.334,29,40.5,15,20,17,27,41,41.229,39,44.878,15,0.098,4,12
4.9,180.6,12.847,12.639,13,18.0,8,8,6,12,18,17.622,17,18.98,8,0.0,0,5
6.3,270.37,24.807,23.488,22,28.0,15,9,6,20,40,37.92,38,43.109,9,0.075,3,18
6.1,375.49,31.699,30.17,30,42.0,20,23,22,27,47,44.214,44,49.112,19,0.064,3,17
7.0,432.53,37.614,36.332,38,54.0,25,32,32,33,58,53.116,53,59.478,23,0.103,6,20
5.9,307.39,27.051,25.983,25,34.5,17,18,17,23,42,40.138,40,45.192,15,0.071,3,17
5.3,637.87,30.023,25.328,22,28.0,15,12,12,21,34,33.32,33,35.865,12,0.059,2,12
5.0,411.34,27.222,28.568,32,42.5,18,21,21,29,43,42.887,40,47.021,15,0.07,3,11
5.7,441.6,38.983,36.75,35,49.0,25,24,22,32,58,54.865,55,61.358,20,0.069,4,23
5.6,346.34,25.858,26.111,27,36.5,17,18,17,25,40,39.574,38,43.713,15,0.05,2,13
5.0,278.32,20.318,19.998,20,28.5,11,14,11,19,30,30.116,29,32.787,10,0.133,4,10
5.4,415.56,36.222,34.223,34,46.0,23,23,22,30,55,50.982,51,56.943,19,0.036,2,21
6.1,426.44,32.631,32.681,34,46.0,21,23,22,31,51,49.661,48,55.125,19,0.059,3,17
5.9,288.32,21.551,21.15,22,31.0,14,17,16,20,31,29.982,29,32.336,14,0.097,3,9
5.9,343.44,28.358,27.083,26,36.5,17,19,17,24,43,41.549,41,45.95,14,0.14,6,17
5.3,471.55,40.665,39.433,38,52.0,27,25,22,35,63,60.662,60,67.109,22,0.127,8,25
6.8,362.47,32.784,31.256,30,40.0,21,18,16,27,52,49.014,49,55.149,16,0.077,4,22
5.3,526.75,50.126,46.987,42,55.0,31,24,22,39,80,76.403,77,87.052,21,0.113,9,38
5.3,406.37,29.012,29.736,31,41.0,19,16,12,29,45,45.298,43,49.677,17,0.067,3,14
5.9,379.28,27.852,26.475,26,36.0,17,18,16,24,38,36.884,36,39.715,16,0.079,3,12
5.3,288.16,20.415,19.197,19,27.0,13,16,16,17,29,27.069,27,29.997,12,0.034,1,10
6.1,530.66,44.114,42.443,42,56.5,27,28,27,38,68,64.832,64,71.899,23,0.118,8,26
5.3,501.03,42.415,40.653,40,54.5,27,28,27,36,65,61.425,61,68.505,24,0.123,8,25
7.5,405.54,34.705,32.892,33,45.5,22,25,25,29,53,49.167,49,55.073,18,0.075,4,20
7.6,418.52,34.159,32.906,33,46.0,21,24,22,30,51,48.643,48,53.82,20,0.078,4,18
6.6,444.52,35.847,34.773,36,50.5,24,28,27,32,53,49.836,49,54.578,24,0.075,4,17
5.7,408.45,32.694,32.297,34,45.0,21,22,22,30,52,49.149,48,54.785,16,0.096,5,18
5.0,375.48,32.824,31.552,31,42.5,20,22,21,28,52,49.225,49,55.604,16,0.115,6,21
5.8,348.21,25.244,24.584,25,34.5,15,18,17,23,36,35.018,34,38.25,15,0.083,3,11
6.6,370.93,32.745,30.697,29,37.0,19,16,16,26,52,48.887,49,55.671,11,0.077,4,23
8.2,442.48,35.358,34.933,35,46.0,23,22,22,32,56,54.436,53,60.583,18,0.125,7,21
7.3,376.5,34.546,32.783,31,41.0,22,18,16,28,55,51.898,52,58.564,16,0.073,4,24
6.1,427.57,37.222,35.223,34,48.0,24,24,22,31,55,51.982,52,57.943,20,0.055,3,21
5.0,293.35,25.495,24.655,24,33.0,17,15,12,22,39,37.262,37,41.405,15,0.077,3,15
7.5,369.38,28.409,28.418,30,41.0,19,22,22,27,44,42.349,41,47.002,17,0.091,4,14
5.2,267.36,24.801,23.467,22,29.0,16,13,12,20,39,36.818,37,41.611,12,0.103,4,17
5.3,322.41,28.057,27.004,27,37.0,17,16,14,24,45,42.24,42,47.69,9,0.044,2,18
5.9,412.46,33.995,33.387,35,49.5,23,28,27,31,52,48.752,48,54.03,22,0.096,5,17
5.8,477.59,39.347,37.894,37,51.0,24,23,18,34,60,57.847,57,63.986,21,0.133,8,23
5.5,256.34,23.046,21.961,21,28.5,14,15,15,19,37,35.036,35,39.694,10,0.081,3,16
5.2,442.56,39.762,38.025,37,49.0,26,23,22,33,63,59.109,59,66.189,20,0.127,8,26
5.3,379.41,30.557,30.111,29,36.0,20,13,12,27,49,48.341,47,53.713,13,0.122,6,20
6.3,444.52,35.847,34.773,36,50.5,24,28,27,32,53,49.836,49,54.578,24,0.075,4,17
7.2,308.43,28.364,26.816,26,34.0,17,16,16,23,46,42.796,43,48.896,11,0.065,3,20
5.0,325.42,29.262,27.904,27,34.5,19,13,11,24,47,44.098,44,49.781,12,0.021,1,20
5.4,411.94,33.523,31.723,30,41.0,21,20,18,28,48,46.429,46,51.099,20,0.104,5,18
5.0,323.41,26.176,25.116,27,36.0,16,17,16,23,40,36.447,36,40.282,12,0.025,1,13
7.7,350.3,24.034,24.968,27,36.5,16,18,17,25,37,37.203,35,40.637,15,0.054,2,10
5.5,589.78,51.733,49.088,48,65.5,33,34,33,43,79,74.047,74,82.809,28,0.127,10,31
5.9,367.88,29.546,27.954,28,39.5,19,22,21,25,42,39.334,39,43.06,18,0.095,4,14
7.0,454.6,39.228,37.245,37,51.5,25,28,27,33,59,55.083,55,61.441,23,0.068,4,22
5.6,209.27,19.063,18.171,18,26.0,13,16,16,16,29,26.84,27,30.156,12,0.034,1,11
6.2,398.5,35.784,34.256,34,46.0,24,23,22,30,56,52.014,52,58.149,20,0.107,6,22
5.3,301.28,21.642,22.169,24,33.5,14,18,17,22,33,32.513,31,35.626,14,0.061,2,9
5.3,366.75,24.955,25.412,27,36.5,16,18,17,25,37,37.014,35,40.242,15,0.054,2,10
5.8,361.46,29.938,28.643,29,41.0,19,23,22,26,44,41.331,41,45.697,19,0.068,3,15
5.2,497.67,43.961,41.518,40,56.0,28,30,28,36,67,62.96,63,70.398,24,0.104,7,27
5.0,522.73,47.83,45.218,42,50.0,27,14,12,38,80,76.05,76,86.843,12,0.088,7,38
5.1,254.32,22.284,21.434,21,29.5,14,16,15,19,35,33.153,33,37.279,11,0.086,3,14
4.2,217.64,13.398,13.234,14,20.0,7,9,6,13,18,18.251,17,18.821,7,0.0,0,4
7.1,346.45,28.364,27.105,26,36.0,16,18,16,24,44,42.651,42,47.448,12,0.136,6,18
6.7,529.65,43.387,41.891,42,57.5,27,29,27,38,66,62.909,62,69.903,24,0.091,6,24
7.3,451.61,40.569,38.569,37,45.0,24,14,12,33,67,63.156,63,72.02,13,0.09,6,30
7.7,268.35,24.046,22.961,22,30.0,15,16,16,20,38,36.036,36,40.694,12,0.105,4,16
5.3,285.37,26.586,25.225,24,35.0,19,19,18,22,39,36.607,37,40.986,17,0.103,4,15
6.2,449.01,38.756,36.74,36,47.0,23,22,22,32,61,57.091,57,64.667,17,0.098,6,25
5.4,408.53,36.04,34.494,33,43.5,22,21,21,30,58,55.287,55,62.691,15,0.121,7,25
4.3,169.59,10.886,10.935,12,17.0,5,10,10,11,16,15.833,15,17.436,5,0.0,0,4
5.2,269.31,19.892,19.536,22,31.0,12,17,16,19,29,26.796,26,29.036,12,0.034,1,7
5.5,396.39,29.625,29.959,33,45.5,19,25,25,29,47,44.709,43,49.164,16,0.064,3,14
6.2,521.74,48.586,45.723,42,50.0,28,14,12,38,81,76.832,77,87.76,12,0.086,7,39
5.5,415.56,36.222,34.223,34,46.0,23,23,22,30,55,50.982,51,56.943,19,0.055,3,21
7.8,267.37,24.597,23.268,22,30.0,15,16,16,20,39,36.811,37,41.983,11,0.128,5,17
6.5,380.53,31.341,29.335,29,41.0,19,22,20,26,45,42.189,42,46.534,17,0.067,3,16
5.3,262.28,21.966,21.58,23,33.5,16,21,21,20,33,30.393,30,33.076,16,0.03,1,10
5.5,535.71,48.847,46.428,45,59.5,31,28,27,40,78,72.854,73,82.305,22,0.128,10,33
5.3,467.67,45.143,42.197,40,51.0,29,22,22,35,73,67.207,68,76.514,18,0.096,7,33
5.3,357.32,25.341,26.079,28,39.5,17,19,17,26,38,37.909,36,41.381,15,0.053,2,10
5.5,268.37,22.716,21.38,21,29.5,14,17,17,19,33,31.018,31,34.574,13,0.121,4,12
7.3,330.86,28.222,26.644,25,33.0,16,16,16,23,44,42.12,42,47.84,11,0.114,5,19
6.6,359.41,30.71,29.896,30,41.5,21,23,23,27,47,44.473,44,49.03,21,0.085,4,17
5.0,346.46,32.534,30.74,28,38.0,22,19,18,26,50,47.694,48,53.567,18,0.1,5,22
7.2,379.4,29.926,29.749,32,44.5,20,25,25,28,47,44.163,43,48.872,17,0.064,3,15
7.4,370.93,32.745,30.697,29,37.0,19,16,16,26,52,48.887,49,55.671,11,0.077,4,23
5.5,410.41,31.591,31.684,33,45.0,21,23,22,30,49,47.6,46,52.207,20,0.082,4,16
7.1,409.54,37.131,35.364,35,48.5,24,27,27,31,58,53.781,54,60.81,21,0.086,5,23
6.4,457.63,42.836,40.385,37,49.0,27,19,16,34,68,64.65,65,73.308,15,0.103,7,31
5.9,364.42,29.995,29.387,30,41.0,19,22,22,27,47,44.752,44,50.03,16,0.128,6,17
6.1,351.44,31.597,30.268,31,44.5,22,27,27,27,48,43.811,44,48.983,21,0.083,4,17
5.3,630.84,55.5,52.636,52,69.5,35,34,33,46,86,80.032,80,89.723,28,0.105,9,34
6.5,344.4,29.5,28.676,30,41.0,20,19,16,26,46,42.363,42,46.903,17,0.065,3,16
5.8,497.58,39.256,38.324,38,52.0,23,22,16,35,61,59.502,58,65.405,18,0.131,8,23
6.6,379.51,34.552,32.805,30,39.0,21,15,12,28,55,53.0,53,60.062,14,0.091,5,25
6.1,320.46,22.739,21.217,24,33.0,11,18,18,20,32,28.724,28,31.165,8,0.0,0,8
5.2,374.49,33.58,32.058,31,42.5,21,22,21,28,53,50.007,50,56.521,16,0.094,5,22
5.3,334.41,29.262,28.203,28,38.0,19,17,16,25,46,43.247,43,48.318,13,0.065,3,18
5.3,426.92,34.375,33.268,33,44.0,21,22,22,30,53,50.843,50,56.805,16,0.113,6,20
5.0,350.42,30.711,29.597,28,38.0,21,19,18,26,47,45.323,45,50.492,18,0.128,6,19
5.0,283.37,25.051,23.983,24,31.5,15,15,15,21,41,38.138,38,43.192,9,0.073,3,17
5.0,303.41,27.029,25.751,24,30.0,15,11,10,22,45,43.232,43,49.232,7,0.067,3,21
5.9,346.39,28.983,28.345,29,41.0,20,23,22,26,44,41.549,41,46.034,20,0.068,3,15
5.0,346.46,28.159,26.906,26,36.0,15,18,16,24,44,42.643,42,47.82,12,0.114,5,18
5.0,410.43,32.381,32.165,33,45.0,22,23,22,30,50,48.341,47,53.543,20,0.06,3,17
6.5,290.4,27.353,25.773,25,35.0,18,20,20,22,43,39.592,40,44.9,14,0.047,2,18
7.5,525.69,45.211,43.034,42,57.5,28,29,27,38,69,65.28,65,72.979,24,0.087,6,27
5.0,286.74,22.381,21.735,22,30.5,14,13,11,20,33,31.593,31,34.807,11,0.03,1,11
7.2,432.55,35.921,34.433,34,47.0,22,24,22,31,54,51.527,51,57.235,20,0.074,4,20
5.6,346.46,32.534,30.74,28,38.0,22,19,18,26,50,47.694,48,53.567,18,0.1,5,22
5.3,526.75,50.126,46.987,42,55.0,31,24,22,39,80,76.403,77,87.052,21,0.125,10,38
5.9,263.32,23.279,22.413,22,31.5,16,18,17,20,35,33.051,33,36.78,16,0.057,2,13
6.2,458.56,37.404,36.101,37,51.5,24,28,27,33,56,52.712,52,58.365,23,0.071,4,19
4.7,226.25,18.966,18.58,19,27.0,13,16,16,17,29,27.393,27,30.076,13,0.034,1,10
5.3,471.31,33.881,31.224,30,41.5,22,22,21,27,48,45.105,45,49.584,19,0.083,4,18
5.0,339.39,27.96,27.412,28,37.5,17,17,15,25,45,42.793,42,47.611,12,0.067,3,17
6.0,326.4,26.591,25.535,25,34.0,17,15,12,23,39,37.564,37,41.036,16,0.077,3,14
5.0,345.22,24.637,23.46,23,32.0,15,17,16,21,36,34.382,34,38.12,14,0.083,3,13
5.2,234.29,19.739,19.149,17,23.0,11,8,6,17,31,31.48,31,35.488,6,0.129,4,14
5.0,323.41,26.176,25.116,27,36.0,16,17,16,23,40,36.447,36,40.282,12,0.025,1,13
8.5,316.82,26.665,25.316,24,32.0,16,16,16,22,41,39.243,39,44.053,12,0.146,6,17
4.5,224.28,20.273,19.392,19,26.0,14,13,12,17,31,28.949,29,32.282,13,0.0,0,12
7.3,397.52,36.336,34.563,34,47.0,24,26,26,30,57,52.789,53,59.438,20,0.105,6,23
5.0,310.39,27.262,26.203,25,34.5,17,17,15,23,43,41.247,41,46.318,12,0.093,4,18
6.2,336.38,27.955,27.391,27,37.0,18,19,18,25,43,41.691,41,46.113,17,0.14,6,16
5.0,439.47,35.353,34.912,35,46.0,24,20,18,32,55,53.334,52,59.085,20,0.055,3,20
7.8,590.56,44.233,42.016,40,52.0,24,21,18,37,68,66.047,65,73.655,17,0.118,8,28
5.3,365.38,28.796,28.584,28,35.0,19,13,12,26,46,45.458,44,50.298,13,0.13,6,18
5.0,345.43,31.017,29.708,28,39.0,21,20,18,26,47,45.029,45,50.235,20,0.085,4,19
5.0,438.48,34.909,34.539,35,47.0,22,23,22,32,55,53.36,52,59.41,17,0.109,6,20
6.8,407.97,33.296,31.292,29,39.0,18,18,16,27,51,49.516,49,55.511,12,0.137,7,22
5.7,378.45,31.756,30.914,32,42.5,20,21,21,28,51,47.636,47,53.445,15,0.078,4,19
5.3,513.7,47.813,45.153,41,54.0,30,24,22,38,76,72.745,73,82.348,21,0.105,8,35
5.0,428.55,37.591,36.1,36,48.0,23,23,22,32,60,56.211,56,63.517,18,0.083,5,24
5.3,264.33,20.83,20.008,19,25.0,12,9,6,18,31,30.68,30,33.621,10,0.097,3,12
5.7,425.58,39.858,37.617,35,47.0,26,21,18,32,62,58.556,59,66.268,21,0.113,7,27
5.8,630.84,55.5,52.636,52,69.5,35,34,33,46,86,80.032,80,89.723,28,0.105,9,34
4.7,227.26,19.0,18.555,19,27.0,13,16,16,17,29,27.353,27,30.495,13,0.034,1,10
4.6,178.23,13.636,12.998,13,19.0,8,11,10,12,19,18.375,18,19.956,8,0.053,1,6
5.3,378.48,34.233,32.651,30,40.0,23,19,18,28,53,51.091,51,57.322,18,0.132,7,23
5.5,387.45,32.75,31.893,32,44.5,22,24,23,29,50,47.534,47,52.947,21,0.06,3,18
5.0,282.38,22.631,21.532,20,26.5,12,12,11,19,35,34.625,34,38.954,8,0.171,6,15
5.7,402.82,29.029,29.071,31,42.0,18,22,22,28,44,42.705,41,46.899,17,0.091,4,13
5.9,297.4,26.813,25.509,24,31.0,16,13,12,22,43,41.022,41,46.607,11,0.07,3,19
5.0,417.43,31.841,31.901,33,42.5,20,18,17,30,51,49.771,48,55.251,15,0.059,3,18
5.3,462.59,42.307,40.31,39,54.0,29,29,28,35,65,60.781,61,67.979,26,0.123,8,26
7.0,327.41,29.801,28.467,28,40.0,21,23,22,25,45,41.818,42,46.611,20,0.089,4,17
5.0,259.31,19.858,19.261,21,28.5,12,15,15,18,30,27.687,27,30.079,10,0.033,1,9
6.3,366.46,32.603,31.289,32,45.5,22,27,27,28,50,45.912,46,51.481,21,0.08,4,18
5.0,296.45,29.841,27.552,24,30.0,19,12,12,22,48,45.251,46,51.773,11,0.125,6,24
7.6,536.61,41.773,40.968,42,56.5,26,28,27,38,64,61.647,60,67.954,23,0.109,7,22
5.0,386.52,32.887,31.158,29,40.0,19,19,16,27,51,49.418,49,55.278,14,0.137,7,22
5.6,255.35,23.801,22.467,20,27.0,15,13,12,19,37,35.818,36,40.611,12,0.162,6,17
5.0,366.52,34.103,32.111,29,38.0,20,17,16,27,55,52.774,53,60.351,13,0.164,9,26
7.4,287.78,23.693,22.569,22,30.0,14,16,16,20,36,34.251,34,38.512,12,0.111,4,14
6.6,383.46,33.296,32.178,33,46.5,23,27,27,29,51,47.207,47,52.738,21,0.078,4,18
6.3,244.26,20.386,20.02,19,26.0,14,13,12,18,31,30.611,30,33.329,14,0.065,2,12
5.3,322.34,26.398,26.063,27,37.0,18,18,16,24,41,38.814,38,42.325,16,0.049,2,14
5.3,271.39,26.529,24.719,21,27.0,17,8,6,20,42,40.592,41,46.069,7,0.119,5,21
5.2,271.72,21.375,20.714,21,30.0,14,17,16,19,31,29.491,29,32.309,14,0.065,2,10
5.7,212.27,19.273,18.392,17,24.0,13,13,12,16,29,27.949,28,31.282,12,0.103,3,12
7.3,418.52,34.159,32.906,33,46.0,21,24,22,30,51,48.643,48,53.82,20,0.078,4,18
5.4,591.79,53.62,50.997,50,65.0,33,28,26,44,87,80.941,81,91.716,21,0.057,5,37
5.0,358.47,33.534,31.74,30,40.5,23,19,17,27,52,48.694,49,54.567,18,0.058,3,22
5.0,283.25,21.324,21.703,23,32.0,15,15,12,21,32,31.273,30,33.206,15,0.063,2,9
6.7,410.42,31.387,31.485,34,46.5,20,25,25,30,50,47.592,46,52.579,16,0.08,4,16
4.6,151.21,11.426,10.778,11,16.0,6,10,10,10,16,15.265,15,16.83,6,0.0,0,5
5.0,310.4,26.137,24.82,24,33.0,17,15,12,22,38,36.236,36,39.827,16,0.079,3,14
6.1,230.67,17.404,16.967,18,26.0,11,16,16,16,25,23.498,23,25.768,11,0.04,1,7
5.6,328.27,22.836,20.953,19,24.5,11,11,11,18,33,32.233,32,36.329,7,0.121,4,14
5.3,373.47,30.574,29.325,28,39.0,18,19,16,26,47,45.76,45,50.574,14,0.128,6,19
5.7,267.35,19.71,18.647,18,24.0,11,9,6,17,27,26.771,26,28.627,10,0.074,2,9
5.3,579.76,53.029,50.395,47,61.0,34,23,18,43,84,79.956,80,89.972,24,0.083,7,37
6.1,303.18,20.33,19.422,19,26.0,11,12,10,18,27,27.116,26,28.884,10,0.074,2,8
5.0,390.51,32.705,31.191,31,43.0,20,23,22,28,49,46.316,46,51.61,19,0.061,3,18
6.1,481.67,43.506,40.804,39,53.0,28,24,22,35,66,61.632,62,69.188,20,0.061,4,27
5.0,497.03,43.165,41.137,40,55.0,29,29,28,36,65,61.105,61,67.923,26,0.123,8,25
6.4,272.24,19.364,19.998,22,32.5,12,18,15,20,30,29.484,28,31.661,12,0.1,3,8
5.5,400.31,25.671,27.261,30,39.5,17,18,17,28,40,41.112,38,44.732,15,0.05,2,10
5.3,439.58,39.142,37.407,37,50.0,24,23,22,33,62,57.985,58,65.806,17,0.097,6,25
7.7,342.87,29.222,27.644,27,35.0,17,16,16,24,46,43.12,43,48.84,11,0.065,3,19
5.4,429.31,29.943,28.56,29,41.0,19,21,18,26,42,39.793,39,42.878,19,0.071,3,13
6.0,271.72,21.375,20.714,21,30.0,14,17,16,19,31,29.491,29,32.309,14,0.065,2,10
6.4,270.38,23.682,22.106,21,29.0,15,16,16,19,35,32.909,33,36.617,13,0.114,4,14
6.0,222.26,19.512,18.865,19,27.5,14,17,17,17,29,27.065,27,29.867,14,0.034,1,10
5.0,372.49,31.125,29.632,28,39.0,18,19,16,26,48,46.534,46,51.863,14,0.125,6,20
5.8,436.34,33.165,31.535,31,43.0,21,23,22,28,49,46.251,46,51.449,20,0.061,3,18
5.3,491.59,41.949,40.625,40,52.0,27,23,22,36,67,63.792,63,71.572,20,0.09,6,27
5.8,294.75,24.131,23.219,24,33.5,17,18,17,21,35,32.273,32,35.226,17,0.029,1,11
5.1,294.33,24.943,24.348,23,33.0,17,15,12,22,37,36.487,36,40.116,15,0.108,4,14
7.0,345.39,28.745,28.171,29,41.0,19,23,22,26,44,41.582,41,45.986,18,0.091,4,15
7.2,484.63,41.443,39.486,39,53.5,26,28,27,35,63,59.294,59,66.065,23,0.095,6,24
5.7,318.4,29.012,27.687,26,36.0,20,19,18,24,44,41.927,42,46.737,18,0.114,5,18
5.9,272.32,21.097,20.435,21,30.0,14,17,16,19,30,28.654,28,31.127,14,0.067,2,9
