pXC50,P_VSA_v_2,SAacc,P_VSA_p_2,TPSA.NO.,GMTI,SpMin4_Bh.e.,X0v,SpMax5_Bh.e.,CSI,SMTIV,X0sol,SpMax5_Bh.i.,SpMaxA_EA.ri.,UNIP,Xu,Psi_i_s,SMTI,SpMin5_Bh.i.,RDCHI,SpMaxA_AEA.ri.,IDDM,Sv,Eig07_EA,SM15_AEA.bo.,SpMaxA_EA,Eta_epsi,Eig15_EA.ed.,SM10_AEA.ri.,ECC,ON1,LPRS,SpMin5_Bh.v.,SpMax6_Bh.s.,Chi0_EA.ed.,X1sol,SpMin5_Bh.e.,SpMaxA_AEA.bo.,ATS1v,Dz,IVDM,X1,IDM,SpMax4_Bh.s.,SpMin5_Bh.m.,X1Mad,SpMaxA_AEA.ed.,ATS8p,MDDD,TIC5,BID,nSK,Psi_e_0,Eig15_EA,SM09_AEA.dm.,CID,Chi0_EA.ri.,VAR,SpMax8_Bh.s.,Chi0_EA.bo.,TIC4,TIC2,VvdwZAZ,Eig07_AEA.ri.,Eig15_AEA.ri.,Uindex,SpMin4_Bh.p.
4.456,51.072,49.785,51.072,44.99,18235.0,1.587,19.962,3.433,1013.0,26606.0,23.656,3.48,0.083,173.0,31.657,68.833,17050.0,1.398,4.469,0.112,5.063,40.036,2.061,2.061,0.087,35.3,1.434,1.434,460.0,7.611,183.948,1.644,4.464,13.669,16.605,1.45,0.125,3.772,72.0,5.023,16.605,8.851,4.629,1.664,15.998,0.182,4.047,36.0,322.141,3.56,34,12.513,0.59,0.59,4.27,24.235,142.0,4.103,20.482,307.876,264.312,410.65,2.972,1.548,50.333,1.754
5.022,67.612,66.326,67.612,57.88,18137.0,1.569,19.831,3.423,1011.0,26994.0,23.656,3.472,0.084,172.0,31.625,69.833,16958.0,1.332,4.455,0.113,5.063,39.53,2.061,2.061,0.088,35.4,1.45,1.45,459.0,7.639,183.759,1.616,4.464,13.665,16.622,1.386,0.126,3.756,72.5,5.023,16.622,8.852,4.679,1.647,15.948,0.185,3.997,35.588,314.755,3.56,34,12.499,0.63,0.63,4.27,24.314,142.0,4.114,20.514,300.491,256.927,404.35,2.972,1.604,50.33,1.756
7.398,52.91,52.91,52.91,44.98,18312.0,1.665,20.006,3.443,1014.0,26157.0,23.493,3.49,0.083,173.0,31.671,67.667,17083.0,1.389,4.489,0.111,5.063,40.562,2.061,2.061,0.086,35.9,1.463,1.463,460.0,7.694,183.959,1.634,4.464,13.977,16.711,1.433,0.12,3.784,72.0,5.033,16.711,8.851,4.58,1.659,16.098,0.182,4.055,36.0,335.735,3.56,34,12.547,0.647,0.647,4.273,24.501,142.0,4.089,21.317,321.471,278.742,435.09,2.972,1.617,50.32,1.832
6.146,45.055,45.055,45.055,33.2,6326.0,1.409,15.143,3.334,466.0,9941.0,17.889,3.4,0.116,73.0,23.494,52.444,6073.0,1.287,3.559,0.152,4.612,29.853,1.459,1.459,0.117,26.052,-1.578,-1.578,214.0,5.417,116.949,1.548,3.949,9.92,12.42,1.347,0.165,3.5,52.333,4.579,12.131,8.023,4.401,1.594,11.573,0.249,3.602,18.704,225.329,3.269,25,9.269,-0.628,-0.628,3.969,17.274,88.0,3.73,15.105,225.329,199.719,325.5,2.434,0.293,35.568,1.624
6.936,152.996,152.996,152.996,109.75,15376.0,1.601,21.645,3.55,892.0,27312.0,25.837,3.599,0.083,155.0,31.776,84.917,15564.0,1.443,4.208,0.117,5.1,41.576,1.769,1.769,0.094,41.867,0.603,0.603,436.0,8.208,187.736,1.704,4.621,13.88,17.646,1.492,0.133,3.767,79.0,5.026,16.825,8.98,4.987,1.711,14.998,0.201,4.372,37.19,355.449,3.589,35,13.322,0.396,0.396,4.265,24.99,151.0,4.463,22.083,336.204,304.694,463.96,2.686,1.27,70.288,1.793
6.0,54.999,54.999,54.999,46.15,7852.0,1.36,16.815,3.255,598.0,12681.0,19.552,3.32,0.109,101.0,25.612,56.833,7881.0,1.125,3.688,0.146,4.724,32.949,1.61,1.61,0.113,31.133,-0.786,-0.786,287.0,6.278,132.756,1.541,4.285,10.424,13.032,1.196,0.152,3.542,59.0,4.659,13.032,8.215,4.496,1.577,12.31,0.236,3.916,24.477,223.445,3.34,27,9.972,-0.425,-0.425,4.017,19.192,98.0,3.909,17.012,219.445,201.936,358.39,2.521,0.493,46.894,1.619
8.354,152.996,152.996,152.996,109.75,20764.0,1.601,24.636,3.616,1094.0,35079.0,28.829,3.662,0.075,185.0,34.833,91.25,21023.0,1.526,4.513,0.106,5.253,47.683,2.061,2.061,0.085,47.067,1.271,1.271,536.0,9.125,216.837,1.759,4.621,15.567,19.54,1.556,0.12,3.899,87.0,5.183,18.719,9.297,4.988,1.749,16.906,0.181,4.623,48.387,438.734,3.693,39,14.839,0.636,0.636,4.369,27.519,213.0,4.463,24.652,419.489,368.269,533.16,2.972,1.525,83.489,1.803
5.62,45.055,45.055,45.055,33.2,7109.0,1.542,15.85,3.335,526.0,10954.0,18.596,3.402,0.112,80.0,24.409,53.944,6845.0,1.287,3.65,0.147,4.667,31.38,1.474,1.474,0.113,27.352,-1.01,-1.01,242.0,5.75,123.889,1.549,3.993,10.422,12.958,1.347,0.16,3.545,54.333,4.637,12.669,8.129,4.401,1.594,12.123,0.241,3.665,20.923,244.366,3.306,26,9.657,-0.421,-0.421,4.006,18.151,106.0,3.782,16.028,244.366,211.537,342.8,2.449,0.529,37.729,1.728
8.602,149.581,149.581,149.581,119.06,30748.0,1.679,27.204,3.654,1334.0,50158.0,31.942,3.691,0.065,223.0,38.527,102.083,30132.0,1.535,4.997,0.093,5.426,52.946,2.065,2.065,0.074,52.633,2.136,2.136,638.0,10.042,253.979,1.831,4.627,17.716,22.02,1.601,0.105,4.006,98.5,5.373,21.199,9.658,4.988,1.793,19.169,0.158,4.774,61.541,494.566,3.81,44,16.816,1.0,1.0,4.499,31.057,260.0,4.58,27.842,479.546,427.772,589.85,3.099,1.952,84.566,1.833
8.636,178.141,178.141,178.141,126.82,20236.0,1.601,23.967,3.597,1008.0,36135.0,28.829,3.659,0.075,179.0,34.667,96.583,20530.0,1.526,4.489,0.106,5.255,46.344,2.061,2.061,0.085,46.633,1.474,1.474,496.0,9.042,216.001,1.81,4.874,15.598,19.502,1.584,0.12,3.871,88.0,5.183,18.681,9.309,6.456,1.793,16.814,0.181,4.644,46.45,420.768,3.693,39,14.921,0.673,0.673,4.37,27.26,183.0,4.58,24.282,405.749,361.974,522.01,2.972,1.587,83.307,1.809
4.301,45.055,45.055,45.055,33.2,5614.0,1.432,14.806,3.333,440.0,9371.0,17.604,3.398,0.122,73.0,22.987,51.778,5598.0,1.287,3.489,0.161,4.553,28.853,1.437,1.437,0.123,25.352,-2.0,-2.0,209.0,5.306,112.188,1.548,4.007,9.481,11.847,1.347,0.175,3.438,50.333,4.507,11.559,7.894,4.385,1.594,10.993,0.262,3.701,19.299,229.624,3.229,24,8.861,-0.872,-0.872,3.911,16.326,84.0,3.731,14.183,229.624,206.504,320.56,2.423,0.11,38.978,1.617
5.469,56.055,56.055,56.055,42.43,7031.0,1.413,15.418,3.363,508.0,10542.0,18.096,3.424,0.112,79.0,24.365,53.833,6780.0,1.299,3.643,0.147,4.666,31.267,1.461,1.461,0.113,27.733,-1.12,-1.12,235.0,5.75,123.651,1.59,3.952,10.423,12.669,1.359,0.16,3.534,55.0,4.637,12.669,8.134,4.413,1.624,12.263,0.241,3.688,21.154,248.683,3.306,26,9.639,-0.487,-0.487,4.006,18.186,94.0,3.731,16.028,248.683,223.073,336.38,2.438,0.499,37.674,1.634
5.745,45.055,45.055,45.055,33.2,6877.0,1.409,16.2,3.34,485.0,11543.0,19.259,3.399,0.112,77.0,24.238,56.222,6640.0,1.288,3.594,0.147,4.669,30.681,1.493,1.493,0.113,27.138,-1.52,-1.52,224.0,5.611,123.134,1.534,4.187,10.096,13.119,1.342,0.16,3.525,54.667,4.624,12.542,8.142,4.491,1.565,11.724,0.241,3.69,19.799,225.329,3.306,26,9.634,-0.608,-0.608,4.003,17.871,94.0,3.779,15.553,225.329,199.329,340.71,2.442,0.294,37.632,1.623
5.854,45.055,45.055,45.055,33.2,5733.0,1.41,14.087,3.331,426.0,8258.0,16.518,3.4,0.12,68.0,22.672,48.667,5470.0,1.287,3.507,0.158,4.555,29.026,1.414,1.414,0.121,24.967,-2.0,-2.0,194.0,5.25,110.538,1.557,3.912,9.784,11.737,1.35,0.171,3.475,50.0,4.532,11.737,7.905,4.321,1.61,11.488,0.258,3.453,16.861,225.329,3.23,24,8.909,-0.838,-0.838,3.933,16.69,82.0,3.664,14.683,225.329,191.819,310.29,2.395,0.152,33.531,1.626
4.553,45.055,45.055,45.055,33.2,5135.0,1.41,13.884,3.111,414.0,8681.0,16.734,3.206,0.125,67.0,22.225,50.111,5070.0,1.064,3.465,0.166,4.49,27.326,1.217,1.217,0.126,24.052,-2.222,-2.222,196.0,5.111,105.982,1.429,3.858,9.293,11.437,1.153,0.18,3.388,48.333,4.458,11.148,7.772,4.409,1.513,10.588,0.271,3.528,18.461,193.722,3.189,23,8.486,-1.0,-1.0,3.87,15.829,76.0,3.674,13.659,193.722,178.071,303.26,2.222,0.0,36.509,1.625
4.301,45.055,45.055,45.055,33.2,11798.0,1.724,17.53,3.34,733.0,17360.0,21.001,3.406,0.095,112.0,27.938,62.111,10898.0,1.287,4.086,0.125,4.876,35.38,1.763,1.763,0.096,30.152,0.973,0.973,328.0,6.528,151.899,1.549,4.213,12.28,14.992,1.347,0.136,3.68,62.333,4.859,14.704,8.525,4.726,1.594,14.163,0.205,3.849,27.698,271.58,3.441,30,11.132,0.368,0.368,4.156,21.06,130.0,3.797,18.246,271.58,222.851,380.82,2.758,1.349,41.479,1.867
6.0,90.11,88.21,90.11,67.35,17093.0,1.717,18.727,3.491,1081.0,24320.0,22.501,3.555,0.09,169.0,30.968,69.833,16114.0,1.392,4.493,0.121,4.966,38.1,1.841,1.841,0.093,34.233,0.721,0.721,497.0,7.083,173.469,1.692,4.234,13.027,15.525,1.46,0.131,3.703,68.0,4.936,15.525,8.641,4.798,1.724,15.068,0.194,3.898,43.121,332.265,3.501,32,11.898,0.287,0.287,4.199,21.974,184.0,3.988,19.43,322.265,284.656,420.98,2.831,1.308,52.514,1.86
4.301,45.055,45.055,45.055,33.2,5614.0,1.432,14.806,3.333,440.0,9371.0,17.604,3.398,0.122,73.0,22.987,51.778,5598.0,1.287,3.489,0.161,4.553,28.853,1.437,1.437,0.123,25.352,-2.0,-2.0,209.0,5.306,112.188,1.548,4.007,9.481,11.847,1.347,0.175,3.438,50.333,4.507,11.559,7.894,4.385,1.594,10.993,0.262,3.701,19.299,229.624,3.229,24,8.861,-0.872,-0.872,3.911,16.326,84.0,3.731,14.183,229.624,206.504,320.56,2.423,0.11,38.978,1.617
6.0,79.851,79.851,79.851,59.29,13967.0,1.628,17.636,3.513,923.0,19701.0,20.924,3.574,0.095,148.0,29.19,62.0,13170.0,1.47,4.324,0.127,4.873,36.122,1.747,1.747,0.098,31.767,0.25,0.25,424.0,6.639,158.397,1.716,4.15,12.354,14.614,1.528,0.138,3.66,63.0,4.851,14.614,8.462,4.577,1.763,14.251,0.206,3.855,37.653,312.253,3.44,30,11.124,0.101,0.101,4.141,20.741,156.0,3.886,18.444,312.253,290.643,396.21,2.722,1.088,47.537,1.818
6.699,121.782,121.782,121.782,89.25,18402.0,1.686,19.121,3.543,1120.0,27360.0,23.209,3.6,0.087,177.0,31.744,73.167,17414.0,1.478,4.576,0.117,5.01,38.858,1.842,1.842,0.09,35.333,1.162,1.162,517.0,7.333,180.581,1.727,4.249,13.496,16.025,1.533,0.127,3.722,70.5,4.982,16.025,8.735,4.866,1.755,15.529,0.189,3.929,46.127,333.65,3.531,33,12.26,0.544,0.544,4.229,22.698,196.0,4.019,20.267,333.65,306.896,430.66,2.828,1.534,54.967,1.863
6.092,45.055,45.055,45.055,33.2,6326.0,1.41,15.973,3.333,466.0,9941.0,18.389,3.399,0.116,73.0,23.494,51.083,6073.0,1.288,3.559,0.152,4.612,30.051,1.459,1.459,0.117,25.433,-1.578,-1.578,214.0,5.417,116.949,1.547,3.923,9.92,12.708,1.348,0.165,3.506,51.75,4.579,12.131,8.023,4.323,1.59,11.309,0.249,3.679,18.704,225.329,3.269,25,9.274,-0.628,-0.628,3.969,17.301,88.0,3.688,15.105,225.329,199.719,329.57,2.434,0.283,35.568,1.623
6.0,90.11,88.21,90.11,67.35,14824.0,1.643,18.236,3.423,942.0,21349.0,21.957,3.473,0.093,152.0,29.832,68.5,14033.0,1.31,4.306,0.124,4.923,36.573,2.022,2.022,0.096,32.933,0.072,0.072,434.0,6.75,164.8,1.59,4.219,12.147,14.919,1.356,0.135,3.665,66.0,4.877,14.919,8.562,4.789,1.596,14.458,0.2,3.82,37.742,317.498,3.471,31,11.516,0.028,0.028,4.167,20.998,150.0,3.957,18.438,311.498,289.498,403.68,2.971,0.997,49.923,1.825
6.222,104.996,104.996,104.996,76.36,15517.0,1.675,18.708,3.519,965.0,22830.0,22.665,3.575,0.09,154.0,30.457,71.0,14747.0,1.471,4.358,0.12,4.967,37.837,2.085,2.085,0.093,33.933,0.306,0.306,446.0,7.0,170.796,1.709,4.288,12.616,15.419,1.525,0.13,3.703,68.0,4.925,15.419,8.669,4.862,1.75,14.995,0.194,3.979,39.391,326.149,3.502,32,11.899,0.116,0.116,4.197,21.665,168.0,3.961,19.3,326.149,294.274,419.66,3.065,1.109,52.193,1.847
6.0,61.84,61.84,61.84,47.26,13967.0,1.663,17.843,3.513,923.0,19369.0,20.924,3.575,0.095,148.0,29.19,61.0,13170.0,1.47,4.324,0.127,4.873,36.627,1.747,1.747,0.098,31.667,0.25,0.25,424.0,6.639,158.397,1.718,4.111,12.354,14.614,1.528,0.138,3.68,62.5,4.851,14.614,8.462,4.568,1.766,14.326,0.206,3.918,37.653,317.566,3.44,30,11.141,0.101,0.101,4.141,20.676,156.0,3.843,18.444,313.566,275.957,402.51,2.74,1.095,47.537,1.827
6.398,104.996,104.996,104.996,76.36,15517.0,1.675,18.708,3.519,965.0,22830.0,22.665,3.575,0.09,154.0,30.457,71.0,14747.0,1.471,4.358,0.12,4.967,37.837,2.085,2.085,0.093,33.933,0.306,0.306,446.0,7.0,170.796,1.709,4.288,12.616,15.419,1.525,0.13,3.703,68.0,4.925,15.419,8.669,4.862,1.75,14.995,0.194,3.979,39.391,326.149,3.502,32,11.899,0.116,0.116,4.197,21.665,168.0,3.961,19.3,326.149,294.274,419.66,3.065,1.109,52.193,1.847
6.0,122.558,122.558,122.558,93.43,15421.0,1.637,18.97,3.554,961.0,23843.0,22.967,3.605,0.09,152.0,30.441,75.417,14662.0,1.494,4.336,0.123,4.965,37.212,1.764,1.764,0.097,34.367,0.314,0.314,444.0,6.931,170.567,1.735,4.544,12.497,16.169,1.542,0.139,3.698,69.0,4.918,15.348,8.667,4.9,1.738,14.098,0.209,3.931,40.531,312.253,3.502,32,12.163,0.119,0.119,4.196,21.666,172.0,4.145,18.999,312.253,290.643,415.0,2.737,1.106,52.2,1.821
6.0,97.985,97.985,97.985,73.56,14692.0,1.606,17.746,3.515,942.0,22086.0,21.794,3.572,0.093,150.0,29.82,70.167,13912.0,1.469,4.337,0.124,4.92,36.003,1.753,1.753,0.095,32.7,0.294,0.294,434.0,6.833,164.485,1.706,4.422,12.496,15.025,1.524,0.134,3.657,66.5,4.888,15.025,8.567,4.863,1.748,14.537,0.2,3.775,39.02,299.702,3.471,31,11.52,0.113,0.113,4.169,21.291,164.0,3.982,18.852,299.702,278.092,400.15,2.713,1.105,49.835,1.798
6.0,45.055,45.055,45.055,33.2,6326.0,1.431,15.009,3.363,466.0,9029.0,17.389,3.433,0.116,73.0,23.494,50.333,6073.0,1.317,3.559,0.152,4.612,30.552,1.459,1.459,0.117,26.267,-1.578,-1.578,214.0,5.417,116.949,1.598,3.934,9.92,12.131,1.379,0.165,3.521,52.0,4.579,12.131,8.023,4.323,1.653,11.882,0.249,3.674,18.704,241.611,3.269,25,9.285,-0.628,-0.628,3.969,17.137,88.0,3.725,15.105,241.611,208.001,327.59,2.437,0.367,35.568,1.636
6.086,60.015,60.015,45.055,33.2,6276.0,1.41,14.387,3.341,445.0,9813.0,16.518,3.407,0.116,72.0,23.449,56.333,6026.0,1.282,3.551,0.152,4.613,29.409,1.47,1.47,0.117,26.481,-1.54,-1.54,204.0,5.417,116.762,1.549,3.931,9.923,11.737,1.343,0.165,3.487,53.5,4.579,12.131,8.028,4.592,1.59,11.764,0.249,3.446,18.128,225.329,3.269,25,9.317,-0.608,-0.608,3.969,17.2,88.0,3.714,15.105,225.329,197.719,316.36,2.442,0.333,35.539,1.626
6.0,106.895,104.996,106.895,80.24,14824.0,1.63,18.105,3.422,942.0,21911.0,21.957,3.473,0.093,152.0,29.832,69.5,14033.0,1.309,4.306,0.124,4.923,36.068,2.022,2.022,0.096,33.033,0.072,0.072,434.0,6.75,164.8,1.59,4.221,12.147,14.919,1.355,0.135,3.646,66.5,4.877,14.919,8.562,4.86,1.595,14.39,0.2,3.796,37.742,310.21,3.471,31,11.502,0.028,0.028,4.167,21.057,150.0,4.025,18.438,304.21,290.21,397.38,2.965,0.996,49.923,1.824
7.0,121.782,121.782,121.782,89.25,13555.0,1.592,17.053,3.403,907.0,20820.0,21.087,3.448,0.096,142.0,29.025,68.5,12784.0,1.298,4.252,0.128,4.873,34.278,1.751,1.751,0.098,31.433,0.072,0.072,416.0,6.583,157.473,1.55,4.222,12.027,14.525,1.339,0.139,3.604,64.5,4.839,14.525,8.468,4.862,1.566,14.029,0.206,3.717,36.427,280.07,3.44,30,11.12,0.028,0.028,4.137,20.577,154.0,3.962,18.016,274.07,260.07,378.76,2.72,0.996,47.49,1.796
7.252,137.074,137.074,137.074,99.16,22918.0,1.601,25.527,3.591,1107.0,37296.0,29.941,3.66,0.071,193.0,36.046,91.167,23265.0,1.528,4.609,0.097,5.327,50.351,2.061,2.061,0.075,49.433,1.634,1.634,545.0,9.833,230.27,1.832,4.58,16.834,19.861,1.598,0.105,3.925,91.0,5.266,19.861,9.458,4.893,1.888,18.697,0.159,4.844,49.532,477.252,3.742,41,15.295,0.685,0.685,4.42,29.212,201.0,4.446,26.646,456.232,393.993,559.82,2.972,1.638,90.251,1.809
6.341,151.961,151.961,151.961,107.95,19501.0,1.601,23.545,3.568,991.0,32597.0,28.035,3.634,0.08,179.0,34.104,87.417,19733.0,1.459,4.427,0.108,5.219,45.77,2.061,2.061,0.084,45.533,1.276,1.276,487.0,8.694,209.87,1.72,4.58,14.488,18.069,1.514,0.112,3.834,85.0,5.134,18.069,9.222,4.909,1.75,16.924,0.179,4.53,44.579,396.938,3.668,38,14.129,0.612,0.612,4.342,26.234,174.0,4.457,23.655,377.693,340.448,507.92,2.972,1.547,80.093,1.803
6.067,151.961,151.961,151.961,107.95,18246.0,1.601,22.622,3.566,960.0,30885.0,27.112,3.632,0.077,172.0,33.4,85.5,18452.0,1.458,4.395,0.105,5.18,44.244,2.061,2.061,0.081,44.233,1.118,1.118,471.0,8.639,202.79,1.72,4.58,14.491,17.768,1.513,0.115,3.801,83.0,5.108,17.768,9.144,4.909,1.75,16.617,0.169,4.471,43.27,389.613,3.642,37,13.743,0.538,0.538,4.318,25.978,165.0,4.457,23.39,370.367,334.593,490.62,2.972,1.512,76.745,1.803
6.278,151.961,151.961,151.961,107.95,24220.0,1.601,24.158,3.572,1170.0,37568.0,28.648,3.639,0.07,197.0,35.711,89.0,23648.0,1.461,4.729,0.096,5.292,48.297,2.061,2.061,0.073,47.533,1.786,1.786,557.0,9.306,224.842,1.724,4.58,16.208,19.43,1.516,0.104,3.908,89.0,5.242,19.43,9.369,4.909,1.751,18.288,0.153,4.575,49.6,439.28,3.718,40,14.927,0.813,0.813,4.408,28.529,196.0,4.457,25.959,420.035,359.28,530.16,2.972,1.734,72.941,1.803
8.638,66.19,66.19,66.19,48.47,12076.0,1.559,16.982,3.463,846.0,16976.0,19.537,3.534,0.093,133.0,27.678,56.0,11234.0,1.371,4.264,0.129,4.774,34.309,1.545,1.545,0.098,30.633,0.072,0.072,385.0,6.25,144.923,1.655,3.956,11.881,14.247,1.436,0.135,3.61,59.0,4.772,13.793,8.261,4.364,1.671,12.94,0.208,3.867,34.429,289.212,3.374,28,10.432,0.03,0.03,4.076,19.987,130.0,3.674,17.899,289.212,250.831,370.74,2.536,1.014,42.845,1.76
10.824,107.188,105.289,107.188,86.11,11751.0,1.592,18.816,3.533,783.0,18656.0,21.975,3.586,0.097,136.0,28.612,67.917,11622.0,1.453,4.07,0.135,4.878,36.265,1.721,1.721,0.106,34.167,-0.653,-0.653,374.0,6.625,155.953,1.776,4.491,11.797,15.118,1.518,0.152,3.641,65.0,4.812,14.297,8.499,4.689,1.744,12.972,0.228,4.025,32.089,309.394,3.44,30,11.368,-0.23,-0.23,4.117,20.373,126.0,3.936,17.56,309.394,287.52,389.78,2.675,0.743,55.493,1.792
