pXC50,piID,piPC03,piPC04,SM04_EA.bo.,piPC06,piPC08,piPC10,PCD,piPC07,piPC09,nAB,nBM,Uc,piPC02,SM02_EA.bo.,Eig09_EA.bo.,nCsp2,Ui,nCIC,Eta_betaP,SM05_AEA.bo.,SpMax2_Bh.e.,X5,TRS,nCIR,SpMax2_Bh.i.,Eig09_AEA.bo.,Eig12_AEA.bo.,SpMax2_Bh.v.,Wap,SpMaxA_AEA.dm.,MPC10,Qindex,MPC08,SM03_AEA.bo.,Eta_beta,TPC,Eig12_EA.bo.,Eig04_EA.bo.,SM14_AEA.ri.,MPC06,GNar,MPC04,Xindex,SpMax2_Bh.p.,SpMin3_Bh.p.,SM04_EA.ri.,MPC05,MPC07,MPC09,X5sol,X4,SpMin3_Bh.e.,SpMin3_Bh.i.,Eig12_EA.ri.,Eig08_AEA.bo.,SRW08,PCR,Eig09_EA,SM03_AEA.dm.,MPC03,MWC05,Eig12_AEA.ri.,MWC06,IDDE,SRW10,Eig09_AEA.ri.,Eig09_EA.ed.
4.254,8.437,4.425,4.918,6.768,5.497,5.99,6.561,2.269,5.674,6.297,12,12,3.7,3.892,4.575,0.303,9,2.807,2,14.0,8.353,3.79,4.024,12,2,3.833,1.486,0.581,3.622,3088.0,0.159,3.738,12,3.85,5.709,26.75,6.168,-1.07,2.696,2.696,3.871,1.965,3.714,0.464,3.584,1.563,5.306,3.932,3.85,3.807,4.024,4.906,1.24,1.178,-0.77,1.592,8.085,1.368,0.257,0.257,3.555,7.077,0.131,7.933,4.248,9.712,1.192,0.506
4.254,8.365,4.284,4.743,6.512,4.972,5.273,5.901,2.6,5.238,5.577,12,14,3.907,3.784,4.466,-0.176,13,3.17,2,15.0,8.09,3.862,3.092,12,2,3.899,1.207,0.5,3.773,2062.0,0.197,3.135,9,3.135,5.582,25.25,5.765,-1.5,2.243,2.243,3.219,2.063,3.401,0.415,3.77,1.601,5.189,3.497,3.219,3.135,3.092,4.143,1.284,1.226,-0.946,2.46,7.748,1.451,-0.141,-0.141,3.296,6.767,0.0,7.569,3.499,9.283,0.858,-0.319
4.254,8.377,4.512,5.185,7.132,6.124,6.649,6.136,2.313,6.359,6.498,10,12,3.7,3.975,4.659,-1.0,7,3.0,2,11.0,8.657,3.775,4.015,11,3,3.737,1.0,0.318,3.624,2458.0,0.288,2.833,14,3.871,5.816,22.0,6.064,-1.345,2.364,2.364,4.127,1.914,3.85,0.556,3.728,1.755,5.476,4.078,3.951,3.555,4.735,4.771,1.587,1.585,-1.0,1.047,8.153,1.381,-0.781,-0.781,3.526,7.157,0.0,8.084,3.382,9.836,0.192,-1.966
4.254,9.707,4.795,5.345,7.279,5.837,6.393,6.754,2.93,6.201,6.543,17,19,4.322,4.266,4.952,1.5,14,3.524,3,19.5,8.861,3.981,5.384,17,3,3.997,2.5,1.0,3.878,7131.0,0.18,4.174,18,4.29,6.103,34.5,6.777,-0.348,3.057,3.057,4.205,2.03,4.143,0.375,3.88,1.811,5.744,4.263,4.29,4.22,6.522,7.291,1.636,1.597,-0.27,2.5,8.45,1.432,1.0,1.0,3.892,7.456,0.625,8.353,3.887,10.109,2.0,2.136
4.254,9.81,4.782,5.38,7.132,6.302,7.027,7.373,2.192,6.668,7.146,10,12,3.7,4.252,4.938,1.569,8,3.0,3,11.5,8.877,3.858,6.369,17,4,3.911,2.58,2.0,3.696,20577.0,0.12,5.13,21,4.956,6.184,31.75,7.618,1.0,3.122,3.122,4.7,1.966,4.331,0.331,3.685,1.871,6.015,4.533,4.828,5.063,6.369,8.625,1.677,1.624,0.793,2.68,8.643,1.288,1.226,1.226,4.06,7.653,1.79,8.555,4.548,10.298,2.178,3.305
4.254,8.688,4.566,5.163,6.943,5.844,6.427,6.584,2.138,6.134,6.571,11,13,3.807,4.09,4.775,1.5,11,3.087,2,13.5,8.718,3.781,5.566,11,2,3.825,2.5,0.721,3.652,4701.0,0.179,3.989,16,4.331,6.012,28.75,6.55,-0.904,2.834,2.834,4.304,1.893,4.078,0.483,3.633,1.788,5.752,4.331,4.304,4.19,4.547,6.128,1.489,1.437,-0.693,2.559,8.385,1.326,1.0,1.0,3.784,7.412,0.291,8.321,3.851,10.04,2.0,2.136
4.254,7.856,4.193,4.553,6.485,5.138,5.444,6.014,1.844,5.312,5.825,6,9,3.322,3.75,4.431,-0.116,9,2.807,2,11.0,8.231,3.819,3.34,12,2,3.866,1.309,0.486,3.667,2716.0,0.192,3.611,11,3.466,5.636,22.0,6.011,-1.326,1.983,1.983,3.611,1.994,3.526,0.429,3.655,1.628,5.418,3.689,3.526,3.638,3.34,4.415,1.395,1.345,-1.0,1.802,7.95,1.307,-0.091,-0.091,3.434,6.94,0.095,7.769,3.35,9.533,0.916,-0.203
4.254,9.556,4.673,5.212,6.982,5.717,6.291,6.708,2.699,6.059,6.56,16,17,4.17,4.159,4.844,1.097,13,3.322,3,17.0,8.587,3.831,4.679,16,3,3.847,2.222,1.642,3.759,8728.0,0.172,4.234,16,4.159,5.981,32.25,6.858,0.528,2.933,2.933,4.094,2.064,3.989,0.309,3.858,1.689,5.449,4.06,4.174,4.205,6.567,6.618,1.523,1.483,0.38,2.5,8.243,1.394,0.779,0.779,3.784,7.315,1.307,8.168,4.022,9.808,1.55,1.811
4.254,8.181,4.355,4.937,6.717,5.59,6.318,5.937,2.117,5.953,5.844,10,11,3.585,3.812,4.494,-0.558,8,2.807,3,10.0,8.298,3.91,3.165,14,4,3.952,0.754,0.336,3.79,2837.0,0.207,3.555,14,3.871,5.648,20.25,6.064,-1.388,2.298,2.298,3.689,2.174,3.638,0.385,3.796,1.42,5.335,3.714,3.784,3.664,3.899,4.397,1.259,1.242,-0.984,1.731,7.996,1.349,-0.518,-0.518,3.434,7.041,-0.015,7.911,3.375,9.613,0.501,-1.219
4.254,8.833,4.646,5.236,7.102,6.259,6.997,7.11,2.328,6.709,6.975,10,13,3.807,4.099,4.783,0.322,8,3.17,2,13.5,8.751,3.794,4.405,11,3,3.838,1.53,0.778,3.65,4435.0,0.179,4.174,16,4.443,5.986,27.0,6.504,-1.0,3.008,3.008,4.277,1.878,3.912,0.48,3.65,1.703,5.764,4.159,4.419,4.263,5.343,5.233,1.343,1.315,-0.791,2.237,8.332,1.358,0.258,0.258,3.714,7.322,0.072,8.222,3.649,9.991,1.131,0.45
4.254,7.927,4.284,4.705,6.563,4.883,4.99,5.586,2.116,4.998,5.303,12,13,3.807,3.784,4.466,-0.263,13,3.0,2,14.0,8.155,3.876,3.202,12,2,3.904,1.078,0.5,3.804,2101.0,0.197,3.219,10,3.258,5.589,24.0,5.811,-1.5,2.092,2.092,3.367,2.028,3.466,0.446,3.805,1.569,5.261,3.584,3.332,3.258,3.043,4.238,1.247,1.196,-1.0,1.822,7.854,1.364,-0.218,-0.218,3.367,6.853,0.0,7.674,3.572,9.429,0.708,-0.465
4.254,10.224,4.872,5.418,7.125,6.066,6.811,7.333,2.351,6.427,7.089,11,14,3.907,4.341,5.027,1.809,13,3.248,4,15.0,8.884,3.876,7.846,23,5,3.941,2.797,2.325,3.798,32306.0,0.105,5.004,23,4.977,6.252,37.0,7.873,1.317,2.831,2.831,4.736,2.061,4.477,0.25,3.801,1.964,6.073,4.682,4.875,5.024,7.846,10.052,1.762,1.698,1.0,3.103,8.734,1.299,1.358,1.358,4.22,7.765,2.0,8.656,4.62,10.396,2.354,3.25
4.254,7.985,4.385,4.989,6.791,5.603,5.752,5.755,1.912,5.939,5.586,9,11,3.585,3.871,4.554,0.313,7,2.907,2,9.0,8.368,3.734,3.484,10,3,3.771,1.621,0.401,3.557,2830.0,0.192,3.526,12,3.714,5.708,21.0,6.073,-1.193,2.614,2.614,3.738,1.963,3.689,0.425,3.544,1.689,5.256,3.761,3.807,3.526,4.105,4.515,1.466,1.417,-0.934,1.779,7.94,1.315,0.258,0.258,3.466,7.027,0.069,7.895,3.614,9.525,1.202,0.557
4.254,10.138,4.827,5.291,7.16,5.539,5.869,6.183,2.856,5.629,5.926,17,19,4.322,4.347,5.034,1.96,16,3.524,3,21.0,8.811,3.908,6.234,17,3,3.937,2.841,1.972,3.82,16456.0,0.136,4.382,18,4.277,6.195,41.0,7.281,0.902,2.815,2.815,4.19,2.012,4.19,0.286,3.817,1.887,5.807,4.29,4.174,4.317,6.601,8.295,1.695,1.642,0.725,2.877,8.513,1.392,1.414,1.414,4.025,7.55,1.73,8.398,4.825,10.103,2.396,3.023
4.254,7.727,4.373,4.744,6.931,5.433,5.221,5.265,1.421,5.787,5.128,6,10,3.459,3.961,4.644,1.0,7,3.17,2,13.5,8.699,3.822,3.923,12,2,3.874,2.0,0.959,3.675,3601.0,0.215,3.714,14,3.892,5.936,26.75,6.306,-1.0,2.553,2.553,4.078,1.93,3.807,0.451,3.688,1.685,5.646,3.97,4.174,3.714,4.813,5.467,1.502,1.498,-0.812,2.5,8.284,1.225,1.0,1.0,3.689,7.242,0.108,8.122,3.154,9.95,1.96,1.817
4.254,9.337,4.59,5.211,6.885,6.134,6.847,7.32,2.585,6.504,7.177,12,13,3.807,3.97,4.654,0.0,13,3.0,3,15.0,8.497,3.744,5.148,18,6,3.761,1.355,0.624,3.665,6398.0,0.187,4.407,16,4.595,5.807,26.5,6.752,-1.153,2.786,2.786,4.443,2.086,4.025,0.443,3.662,1.522,5.598,4.344,4.522,4.635,5.148,5.886,1.217,1.184,-0.825,1.71,8.287,1.383,0.0,0.0,3.714,7.268,0.166,8.178,3.614,10.013,0.96,0.0
4.254,7.843,4.387,5.053,6.759,5.833,6.32,5.179,2.112,6.066,5.88,10,10,3.459,3.72,4.401,-0.739,5,2.585,2,9.0,8.214,3.579,3.145,11,3,3.656,0.511,-0.237,3.405,1622.0,0.257,2.303,11,3.526,5.496,19.0,5.73,-2.042,1.936,1.936,3.784,1.993,3.664,0.568,3.424,1.545,5.036,3.784,3.664,3.045,3.359,4.358,1.281,1.198,-1.431,0.868,7.88,1.369,-0.651,-0.651,3.367,6.911,-0.67,7.809,3.522,9.557,0.267,-1.328
4.254,6.703,4.065,4.555,6.412,5.159,4.163,2.151,1.356,5.134,3.446,6,7,3.0,3.541,4.22,-0.926,7,2.322,1,8.5,8.082,3.487,2.706,6,1,3.549,0.515,-0.451,3.268,898.0,0.236,0.693,8,2.303,5.408,17.5,5.347,-1.841,1.795,1.795,3.497,1.817,3.434,0.719,3.27,1.586,5.05,3.555,3.219,1.609,3.25,3.76,1.263,1.222,-1.349,0.945,7.799,1.254,-0.795,-0.795,3.258,6.792,-0.818,7.661,3.507,9.455,0.121,-1.715
4.254,7.777,4.03,4.509,6.369,5.192,5.577,5.99,2.132,5.469,5.844,6,10,3.459,3.701,4.382,-0.319,10,3.0,1,11.0,8.097,3.565,2.546,6,1,3.641,1.128,0.416,3.37,1650.0,0.207,3.045,7,3.219,5.581,21.5,5.645,-1.425,2.678,2.678,3.367,1.876,3.219,0.526,3.412,1.63,5.008,3.367,3.296,3.296,2.664,3.438,1.355,1.302,-0.799,1.367,7.646,1.378,-0.254,-0.254,3.135,6.681,-0.196,7.478,2.419,9.135,0.685,-0.585
4.254,6.64,3.876,4.316,6.254,4.603,4.497,4.052,1.361,4.534,4.239,6,8,3.17,3.512,4.19,-0.844,9,2.585,1,9.0,7.956,3.655,2.485,6,1,3.718,0.712,-0.229,3.481,916.0,0.237,2.079,7,2.708,5.386,18.25,5.278,-1.94,1.951,1.951,3.091,1.852,3.219,0.624,3.481,1.516,4.935,3.332,2.944,2.398,1.984,3.266,1.222,1.172,-1.346,0.805,7.618,1.258,-0.67,-0.67,3.091,6.624,-0.626,7.452,3.907,9.19,0.289,-1.654
4.254,8.609,4.601,5.113,6.961,5.668,5.873,6.452,2.416,5.751,6.098,11,15,4.0,4.056,4.741,0.596,11,3.524,2,18.0,8.626,3.873,3.71,11,2,3.883,2.393,1.0,3.818,3198.0,0.194,3.738,13,3.784,5.948,30.5,6.192,-1.178,2.8,2.8,3.871,1.938,3.807,0.463,3.859,1.64,5.469,3.871,3.784,3.784,4.405,5.468,1.379,1.373,-0.796,2.519,8.143,1.39,0.3,0.3,3.638,7.169,0.174,8.035,3.922,9.766,1.185,0.444
4.254,8.909,4.615,5.104,6.991,5.698,5.658,5.733,2.295,5.843,5.728,12,15,4.0,4.159,4.844,1.462,15,3.322,2,17.5,8.68,3.927,5.197,12,2,3.947,2.551,1.181,3.861,5944.0,0.14,3.871,15,3.871,6.037,32.75,6.613,-0.266,3.004,3.004,4.094,1.906,3.932,0.414,3.862,1.704,5.789,4.159,4.06,3.871,5.197,6.053,1.434,1.405,-0.205,2.755,8.333,1.347,1.0,1.0,3.761,7.331,0.783,8.188,3.844,9.943,2.009,2.461
4.254,8.273,4.48,4.951,7.007,5.748,6.134,6.067,1.407,6.121,6.326,6,9,3.322,4.016,4.7,1.0,7,2.807,3,11.5,8.73,3.852,5.529,18,4,3.883,2.0,1.0,3.675,7517.0,0.197,4.466,18,4.543,5.943,26.5,6.866,-0.515,2.523,2.523,4.394,2.032,4.111,0.398,3.698,1.746,5.739,4.344,4.543,4.605,6.508,6.809,1.551,1.499,-0.417,2.238,8.474,1.205,1.0,1.0,3.871,7.434,0.505,8.34,4.096,10.186,1.952,2.136
4.254,7.019,4.073,4.568,6.394,5.134,5.094,4.375,1.263,5.093,5.078,6,6,2.807,3.541,4.22,-0.931,6,2.0,2,6.5,8.112,3.639,3.293,12,3,3.698,0.315,-0.454,3.516,1672.0,0.226,2.565,12,3.497,5.43,14.5,5.756,-1.807,2.162,2.162,3.807,1.952,3.638,0.592,3.531,1.584,5.4,3.85,3.611,3.296,3.293,4.21,1.37,1.289,-1.523,0.582,7.998,1.219,-0.843,-0.843,3.401,6.95,-0.539,7.847,3.236,9.712,0.136,-2.152
4.254,9.047,4.564,5.092,6.886,5.575,5.91,6.205,2.275,5.729,5.872,12,13,3.807,4.043,4.727,0.777,13,3.0,3,15.5,8.529,3.927,4.997,17,4,3.945,1.844,1.071,3.843,7543.0,0.149,4.19,16,4.174,5.887,29.75,6.772,-0.288,2.565,2.565,4.094,2.07,4.025,0.354,3.833,1.653,5.648,4.143,4.143,4.078,4.997,6.67,1.456,1.381,-0.231,2.203,8.289,1.336,0.711,0.711,3.784,7.313,0.742,8.183,4.005,9.927,1.696,1.435
4.254,8.958,4.522,4.982,6.884,5.608,5.766,6.39,2.376,5.856,6.129,12,14,3.907,4.078,4.762,1.5,14,3.17,2,15.5,8.654,3.908,4.475,12,2,3.935,2.5,0.919,3.843,5698.0,0.148,4.06,15,3.932,5.988,29.25,6.582,-0.649,2.704,2.704,4.094,1.916,3.85,0.42,3.848,1.77,5.882,4.043,4.127,4.043,4.475,5.746,1.612,1.563,-0.505,2.594,8.327,1.361,1.0,1.0,3.714,7.296,0.51,8.161,3.939,9.943,2.0,2.275
4.254,8.826,4.527,4.933,6.8,5.475,5.247,5.511,2.269,5.568,5.192,12,14,3.907,4.025,4.71,1.462,14,3.17,2,16.0,8.458,3.905,4.239,12,2,3.92,2.473,1.463,3.833,6031.0,0.146,3.714,12,3.714,5.876,31.0,6.557,0.203,3.057,3.057,3.892,1.972,3.761,0.354,3.83,1.71,5.536,3.912,3.892,3.611,4.239,5.625,1.443,1.403,0.154,2.5,8.172,1.346,1.0,1.0,3.689,7.186,1.094,8.009,3.252,9.742,2.0,2.275
4.254,10.149,4.763,5.425,7.101,6.357,7.257,7.746,3.272,6.806,7.493,16,17,4.17,4.139,4.824,1.181,13,3.322,3,16.0,8.607,3.81,5.243,17,4,3.833,2.27,0.911,3.753,7905.0,0.195,4.443,16,4.585,5.935,29.0,6.877,-0.616,2.883,2.883,4.382,2.074,4.06,0.396,3.79,1.637,5.475,4.304,4.489,4.543,7.173,6.195,1.389,1.382,-0.41,2.5,8.278,1.476,0.89,0.89,3.761,7.318,0.405,8.213,4.011,9.938,1.686,2.156
4.254,7.338,4.065,4.399,6.372,4.931,5.276,5.03,1.751,5.083,5.395,6,9,3.322,3.676,4.357,-0.457,10,2.807,1,11.0,8.136,3.73,2.69,6,1,3.768,0.867,0.435,3.549,1470.0,0.208,2.833,8,3.135,5.577,21.75,5.587,-1.385,2.65,2.65,3.219,1.846,3.258,0.554,3.525,1.622,5.249,3.401,3.135,3.045,2.69,3.473,1.422,1.391,-1.0,1.653,7.774,1.313,-0.41,-0.41,3.258,6.783,0.0,7.588,3.461,9.299,0.545,-0.84
4.254,6.962,4.147,4.526,6.597,4.745,5.256,4.123,1.145,4.883,5.164,6,8,3.17,3.818,4.5,0.112,7,2.585,1,9.5,8.615,3.757,4.11,6,1,3.791,1.365,0.453,3.574,1607.0,0.221,1.946,13,3.611,5.841,23.25,5.817,-1.0,2.667,2.667,3.555,1.772,3.807,0.716,3.528,1.65,5.679,3.912,3.497,3.219,2.86,5.005,1.365,1.319,-0.7,1.47,8.337,1.197,0.096,0.096,3.638,7.27,0.077,8.181,3.499,10.057,1.046,0.169
4.254,7.535,4.007,4.025,6.066,4.127,4.234,4.466,0.116,4.174,4.344,0,2,1.585,3.784,4.466,1.384,2,1.585,2,3.0,8.223,3.766,5.012,34,3,3.828,2.389,1.755,3.548,21710.0,0.118,4.331,12,4.143,5.796,25.0,7.419,0.754,2.129,2.129,4.025,1.978,3.912,0.432,3.517,1.864,5.468,3.97,4.078,4.234,5.012,6.945,1.594,1.543,0.688,2.592,8.244,1.016,1.377,1.377,3.85,7.343,1.675,8.148,3.599,9.756,2.255,2.881
4.254,6.934,4.082,4.604,6.419,5.235,5.078,3.596,1.381,5.279,4.038,6,7,3.0,3.541,4.22,-1.377,7,2.322,2,9.0,8.091,3.504,2.625,11,3,3.522,0.403,-0.5,3.306,1282.0,0.257,1.792,11,3.332,5.404,17.5,5.553,-2.091,1.872,1.872,3.638,1.992,3.526,0.585,3.279,1.515,5.225,3.611,3.555,2.398,2.625,3.898,1.157,1.123,-1.669,0.714,7.821,1.249,-1.0,-1.0,3.296,6.832,-0.726,7.716,3.393,9.486,0.095,-2.072
4.254,9.327,4.55,5.028,6.914,5.61,6.017,6.873,3.211,5.901,6.454,11,15,4.0,4.039,4.723,1.005,10,3.392,2,16.5,8.507,3.856,3.183,11,2,3.9,2.256,0.851,3.646,3182.0,0.18,3.584,12,3.401,5.864,29.75,6.116,-0.976,2.79,2.79,3.611,1.966,3.664,0.399,3.591,1.676,5.441,3.638,3.526,3.466,3.183,5.106,1.304,1.265,-0.66,2.5,8.039,1.525,0.671,0.671,3.555,7.069,0.238,7.907,3.822,9.614,1.609,1.611
4.254,7.517,4.238,4.715,6.52,4.888,4.961,5.34,1.62,4.896,5.101,10,11,3.585,3.773,4.454,0.38,8,2.807,2,9.5,8.187,3.849,2.718,10,2,3.863,1.653,0.143,3.762,2292.0,0.188,3.296,11,3.401,5.619,20.5,5.897,-1.107,2.114,2.114,3.555,1.994,3.584,0.426,3.754,1.594,5.295,3.497,3.526,3.332,3.005,4.545,1.466,1.431,-1.0,2.118,7.836,1.275,0.297,0.297,3.401,6.934,0.0,7.774,3.614,9.364,1.27,0.674
4.254,8.975,4.575,5.165,6.829,5.776,6.417,6.729,2.429,6.106,6.605,12,14,3.907,3.97,4.654,-0.085,13,3.17,3,15.5,8.504,3.831,4.803,17,4,3.857,1.51,0.616,3.766,4896.0,0.199,4.043,16,4.382,5.827,27.5,6.545,-1.218,2.65,2.65,4.263,2.086,4.06,0.445,3.769,1.541,5.606,4.248,4.331,4.22,4.999,6.233,1.286,1.271,-0.843,2.48,8.259,1.371,-0.059,-0.059,3.738,7.287,0.109,8.204,3.392,9.955,0.999,-0.15
4.254,8.118,4.326,4.842,6.738,5.079,5.49,5.686,1.881,5.393,5.483,11,12,3.7,3.946,4.63,0.286,10,2.907,2,13.0,8.501,3.888,3.68,11,2,3.926,1.48,0.5,3.734,3623.0,0.202,3.611,14,3.761,5.85,27.25,6.236,-1.0,2.818,2.818,3.664,1.93,3.738,0.406,3.703,1.648,5.379,3.761,3.829,3.689,3.185,5.292,1.378,1.295,-0.7,2.5,8.134,1.302,0.246,0.246,3.526,7.132,0.093,7.997,3.975,9.703,1.158,0.633
4.254,6.405,3.815,4.136,6.107,3.968,4.321,4.021,0.856,4.137,4.382,5,7,3.0,3.562,4.241,0.372,6,2.459,1,7.0,7.962,3.746,2.5,5,1,3.763,1.536,0.33,3.566,1322.0,0.202,2.565,7,3.178,5.472,19.25,5.549,-1.243,1.829,1.829,3.258,1.882,3.367,0.58,3.541,1.675,5.152,3.296,3.258,2.996,2.5,3.941,1.467,1.421,-0.971,1.743,7.683,1.154,0.328,0.328,3.258,6.781,-0.01,7.588,3.827,9.174,1.297,0.703
4.254,6.36,3.767,4.188,6.132,4.416,4.043,3.894,1.201,4.094,3.894,6,6,2.807,3.384,4.06,-1.0,3,2.0,1,7.0,7.802,3.649,2.225,6,1,3.737,0.178,-0.353,3.427,790.0,0.217,2.079,7,2.565,5.238,16.5,5.159,-2.012,2.018,2.018,2.996,1.842,3.091,0.63,3.416,1.518,4.773,3.219,2.773,2.197,2.225,2.841,1.231,1.127,-1.453,0.486,7.55,1.233,-1.0,-1.0,2.996,6.541,-0.656,7.362,2.842,9.113,-0.099,-2.051
