pXC50,SpDiam_EA.ri.,SM08_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,Eig01_EA.ri.,SpMax_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM15_EA.ri.,SM09_EA.ri.,SM07_EA.ri.,SM06_EA.ri.,SM05_EA.ri.,GGI5,Eig02_EA.ri.,SM04_EA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,MWC10,TWC,BIC0,NdssC,Eig01_AEA.ri.,SpMax_AEA.ri.,MWC09,Eig03_AEA.ed.,CATS2D_07_AL,Eig03_EA.ri.,SM04_EA.ed.,SIC0,SpDiam_AEA.ri.,MWC08,AAC,IC0,SM03_EA.ri.,Eig02_AEA.ri.,SpDiam_EA.ed.,X.,MATS5s,SdO,Eig02_AEA.ed.,SM05_AEA.ed.,SM02_EA.ed.,CATS2D_02_LL,MWC06,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,Eig03_AEA.ri.,SM06_AEA.ed.,Eig02_EA.ed.,SM11_AEA.dm.,SM07_AEA.ed.,SM03_AEA.ed.,SM15_AEA.ed.,SpMin2_Bh.s.,nX,ATS6s,SM06_EA,SM04_AEA.ed.,SRW10,SM06_EA.ed.,nDB,SM07_EA.ed.,SM08_EA.ed.
6.0,5.144,10.01,14.193,15.253,16.367,3.144,3.144,12.065,13.069,17.458,10.905,8.749,8.067,6.564,1.074,2.759,6.299,8.634,8.634,12.56,13.081,0.243,1,4.267,4.267,11.655,6.027,8,2.695,11.09,0.259,5.412,10.761,1.601,1.601,4.225,3.853,19.437,0.0,-0.028,12.755,6.17,11.168,7.086,15,8.975,12.063,12.063,12.063,3.735,12.917,9.189,9.189,14.698,7.822,29.561,1.17,0,6.263,8.358,9.463,10.675,15.521,1,17.695,20.213
5.0,5.041,9.594,13.682,14.717,15.809,3.041,3.041,11.602,12.582,16.874,10.468,8.37,7.696,6.257,1.007,2.637,5.967,8.314,8.314,12.128,12.661,0.287,1,4.113,4.113,11.24,5.948,6,2.529,10.659,0.301,5.231,10.363,1.772,1.772,4.009,3.774,17.503,3.4,0.02,12.571,6.107,10.847,6.765,3,8.612,10.562,10.562,10.562,3.655,12.572,8.973,8.973,14.323,7.526,28.794,1.154,2,6.103,8.019,9.158,10.342,14.895,2,16.899,19.33
5.0,5.195,9.752,14.121,15.232,16.38,3.195,3.195,11.902,12.968,17.513,10.723,8.495,7.719,6.261,0.826,2.633,5.884,8.827,8.827,12.202,12.72,0.356,4,4.27,4.27,11.295,6.088,3,2.561,10.894,0.388,5.404,10.395,2.02,2.02,3.93,3.817,19.503,10.8,0.068,12.431,6.252,10.934,6.765,11,8.594,12.073,12.073,12.073,3.716,12.719,9.257,9.257,14.532,7.499,29.57,1.038,4,5.776,8.072,9.187,10.401,15.422,5,17.636,20.173
8.301,5.008,9.32,13.566,14.633,15.742,3.046,3.046,11.418,12.442,16.828,10.251,8.046,7.32,5.79,0.625,2.658,5.502,6.336,6.336,11.62,12.152,0.263,0,4.093,4.093,10.733,5.227,1,2.018,10.196,0.282,5.14,9.85,1.449,1.449,3.376,3.678,17.404,0.0,0.09,0.0,6.073,10.292,6.201,4,8.087,10.457,10.457,10.457,3.082,12.047,8.791,8.791,13.831,6.944,28.526,1.018,0,5.236,7.468,8.583,9.861,14.551,0,16.629,19.069
8.222,5.045,9.466,13.726,14.8,15.916,3.083,3.083,11.567,12.596,17.012,10.397,8.189,7.466,5.932,0.729,2.676,5.648,7.783,7.783,11.861,12.386,0.252,0,4.15,4.15,10.964,5.758,1,2.35,10.436,0.269,5.217,10.069,1.424,1.424,3.516,3.708,18.205,0.0,0.049,0.0,6.099,10.497,6.392,4,8.284,11.001,11.001,11.001,3.437,12.263,8.901,8.901,14.061,7.127,28.882,1.161,0,5.386,7.671,8.777,10.063,14.858,0,16.982,19.455
5.0,5.247,10.119,14.591,15.721,16.87,3.247,3.247,12.335,13.44,18.012,11.169,8.901,7.981,6.609,1.08,2.988,6.005,10.176,10.176,12.168,12.683,0.362,1,4.283,4.283,11.253,6.525,3,2.821,11.06,0.389,5.326,10.356,2.082,2.082,4.188,4.139,19.344,7.3,-0.038,36.519,6.747,11.04,6.792,4,8.548,11.67,11.67,11.67,3.929,12.864,11.053,11.053,14.712,7.52,29.842,1.104,3,6.047,8.243,9.251,10.324,15.659,3,17.899,20.4
5.0,4.934,9.567,13.652,14.671,15.74,2.934,2.934,11.588,12.565,16.779,10.457,8.334,7.63,6.163,0.688,2.85,5.852,9.027,9.027,12.097,12.623,0.28,0,4.062,4.062,11.202,6.129,6,2.664,10.631,0.307,5.224,10.311,1.623,1.623,3.828,3.897,17.234,0.0,0.026,0.0,6.185,10.76,6.661,7,8.528,10.474,10.474,10.474,3.768,12.506,9.236,9.236,14.278,7.399,28.856,1.02,0,5.318,7.946,9.051,10.254,14.928,0,16.978,19.391
5.0,5.613,11.124,15.94,17.166,18.408,3.613,3.613,13.504,14.703,19.65,12.263,9.842,8.848,7.413,3.362,3.327,6.77,12.03,12.03,13.512,13.968,0.231,2,4.739,4.739,12.505,7.021,22,3.099,12.207,0.246,5.871,11.505,1.529,1.529,4.855,4.443,24.424,0.0,-0.031,27.482,7.474,11.94,7.626,20,9.51,15.536,15.536,15.536,4.175,13.838,13.722,13.722,15.767,8.293,31.745,1.342,0,6.861,9.086,10.083,11.253,17.219,2,19.729,22.45
6.092,5.22,9.893,14.335,15.461,16.61,3.22,3.22,12.089,13.182,17.751,10.917,8.66,7.795,6.386,0.674,2.907,5.878,8.473,8.473,12.245,12.746,0.282,0,4.309,4.309,11.312,6.055,5,2.426,10.871,0.304,5.382,10.385,1.606,1.606,3.989,3.962,19.606,0.0,-0.034,0.0,6.332,10.869,6.681,4,8.531,12.1,12.1,12.1,3.501,12.669,9.716,9.716,14.496,7.398,29.583,1.126,0,5.521,8.023,9.105,10.254,15.44,0,17.672,20.211
5.0,5.055,9.745,13.822,14.852,15.943,3.055,3.055,11.748,12.72,17.005,10.606,8.503,7.854,6.376,1.25,2.704,6.134,8.686,8.686,12.29,12.828,0.229,1,4.143,4.143,11.41,6.048,6,2.559,10.856,0.237,5.225,10.537,1.513,1.513,4.108,3.813,18.176,0.0,-0.033,12.911,6.149,11.02,6.938,5,8.794,10.984,10.984,10.984,3.678,12.752,9.064,9.064,14.513,7.696,29.091,1.299,0,6.233,8.193,9.328,10.546,15.139,1,17.193,19.632
9.444,5.866,11.289,16.43,17.745,19.07,3.866,3.866,13.827,15.117,20.399,12.526,9.983,8.871,7.485,3.0,3.298,6.68,10.349,10.349,12.821,13.319,0.218,2,4.875,4.875,11.882,6.607,14,2.93,12.01,0.222,5.971,10.953,1.444,1.444,4.935,4.305,25.493,1.1,0.088,26.134,7.414,11.78,7.393,16,9.099,16.394,16.394,16.394,3.999,13.708,12.866,12.866,15.676,8.109,32.148,1.397,1,7.092,8.983,9.906,10.939,17.167,2,19.797,22.571
7.921,5.79,10.841,16.021,17.34,18.667,3.79,3.79,13.4,14.698,19.994,12.081,9.507,8.429,6.99,1.708,2.598,6.303,7.702,7.702,12.338,12.851,0.213,2,4.808,4.808,11.418,5.602,12,2.528,11.546,0.218,5.91,10.519,1.344,1.344,4.451,3.692,25.008,0.0,0.053,25.082,6.046,11.3,6.971,19,8.718,16.186,16.186,16.186,3.606,13.226,8.588,8.588,15.209,7.697,31.923,1.376,0,6.608,8.534,9.449,10.526,16.804,2,19.496,22.297
8.357,5.79,10.856,16.025,17.343,18.669,3.79,3.79,13.408,14.704,19.996,12.091,9.527,8.452,7.024,1.764,2.619,6.336,7.702,7.702,12.37,12.884,0.216,2,4.808,4.808,11.451,5.602,12,2.595,11.565,0.221,5.91,10.554,1.371,1.371,4.506,3.692,25.008,0.0,0.024,25.094,6.046,11.333,7.011,17,8.755,16.186,16.186,16.186,3.64,13.252,8.588,8.588,15.228,7.738,31.923,1.375,0,6.636,8.564,9.488,10.564,16.808,2,19.498,22.298
6.745,5.359,10.062,14.645,15.819,17.019,3.359,3.359,12.313,13.446,18.213,11.102,8.793,7.953,6.501,1.306,2.537,6.069,7.658,7.658,12.053,12.583,0.22,2,4.399,4.399,11.15,5.575,6,2.525,10.882,0.226,5.501,10.296,1.367,1.367,4.123,3.637,19.79,0.0,0.021,24.759,5.62,10.852,6.732,16,8.55,12.993,12.993,12.993,3.565,12.63,7.778,7.778,14.45,7.476,29.808,1.361,0,6.49,8.116,9.128,10.285,15.59,2,18.0,20.578
5.0,5.215,10.093,14.416,15.518,16.648,3.215,3.215,12.224,13.288,17.771,11.084,8.901,8.06,6.712,1.08,2.825,6.196,8.997,8.997,12.124,12.668,0.249,0,4.393,4.393,11.244,6.116,3,2.743,11.101,0.259,5.484,10.401,1.604,1.604,4.397,3.927,20.441,0.0,-0.238,25.467,6.348,11.138,6.946,8,8.682,12.764,12.764,12.764,3.85,12.94,9.713,9.713,14.777,7.698,30.127,1.211,0,6.029,8.424,9.383,10.435,15.723,2,18.053,20.591
5.0,5.022,9.647,13.841,14.892,15.992,3.022,3.022,11.719,12.725,17.063,10.559,8.384,7.673,6.166,0.761,2.909,5.873,7.261,7.261,11.936,12.474,0.266,1,4.073,4.073,11.057,5.473,6,2.446,10.536,0.287,5.207,10.184,1.585,1.585,3.786,3.958,17.118,0.0,-0.078,12.075,6.453,10.677,6.581,14,8.438,10.339,10.339,10.339,3.497,12.422,9.959,9.959,14.196,7.334,28.85,1.081,0,5.609,7.856,8.974,10.163,14.856,2,16.934,19.354
5.0,4.944,9.597,13.611,14.614,15.673,2.944,2.944,11.579,12.536,16.701,10.466,8.396,7.698,6.297,0.979,2.785,5.94,7.822,7.822,11.94,12.488,0.331,2,4.244,4.244,11.071,5.644,5,2.609,10.845,0.352,5.319,10.224,1.965,1.965,4.067,3.837,19.593,8.3,-0.075,23.764,6.062,10.948,6.765,7,8.511,12.181,12.181,12.181,3.683,12.737,8.764,8.764,14.559,7.526,29.823,1.065,4,5.894,8.176,9.204,10.285,15.376,2,17.645,20.162
5.0,4.855,9.429,13.339,14.314,15.348,2.855,2.855,11.36,12.288,16.347,10.265,8.236,7.584,6.171,1.181,2.742,5.89,8.741,8.741,12.069,12.611,0.289,1,3.97,3.97,11.193,6.053,6,2.583,10.652,0.303,5.109,10.33,1.781,1.781,3.955,3.89,16.37,1.7,0.05,12.693,6.209,10.857,6.765,4,8.595,9.81,9.81,9.81,3.729,12.583,9.352,9.352,14.333,7.525,28.713,1.136,1,5.979,8.028,9.164,10.323,14.832,1,16.784,19.165
7.0,5.278,10.685,15.144,16.276,17.431,3.278,3.278,12.889,13.988,18.579,11.717,9.457,8.575,7.182,2.726,3.22,6.639,10.027,10.027,12.708,13.231,0.249,4,4.438,4.438,11.806,6.504,16,2.931,11.636,0.262,5.522,10.915,1.668,1.668,4.781,4.281,21.634,0.0,-0.017,78.813,6.99,11.622,7.365,18,9.128,13.625,13.625,13.625,3.978,13.458,11.775,11.775,15.329,8.104,30.928,1.276,0,6.919,8.779,9.83,10.904,16.365,6,18.731,21.329
7.301,5.28,10.467,14.905,16.03,17.182,3.28,3.28,12.659,13.75,18.324,11.486,9.233,8.372,6.967,2.167,3.088,6.452,10.071,10.071,12.469,12.998,0.252,3,4.309,4.309,11.574,6.515,16,2.929,11.388,0.267,5.386,10.696,1.642,1.642,4.576,4.284,20.072,0.0,-0.014,64.237,6.996,11.395,7.165,18,8.929,12.507,12.507,12.507,3.969,13.216,11.803,11.803,15.068,7.909,30.424,1.144,0,6.649,8.573,9.619,10.711,16.033,5,18.334,20.877
5.0,5.01,9.355,13.461,14.501,15.587,3.01,3.01,11.375,12.367,16.652,10.252,8.147,7.44,6.017,0.854,2.519,5.695,7.443,7.443,11.915,12.441,0.252,0,4.159,4.159,11.017,5.526,9,2.438,10.518,0.263,5.24,10.129,1.5,1.5,3.73,3.583,18.537,0.0,-0.089,0.0,5.977,10.627,6.509,7,8.357,11.227,11.227,11.227,3.513,12.383,8.354,8.354,14.167,7.259,28.973,1.17,0,5.652,7.793,8.913,10.069,14.919,0,17.057,19.542
7.699,5.278,10.157,14.593,15.723,16.882,3.278,3.278,12.344,13.433,18.031,11.166,8.918,8.08,6.665,1.507,2.927,6.186,8.535,8.535,12.173,12.704,0.24,3,4.281,4.281,11.282,6.021,6,2.621,10.938,0.254,5.334,10.404,1.473,1.473,4.3,3.965,19.321,0.0,0.109,36.767,6.503,11.029,6.853,16,8.642,11.775,11.775,11.775,3.663,12.807,10.019,10.019,14.613,7.606,29.585,1.142,0,6.343,8.159,9.289,10.418,15.415,3,17.587,20.105
6.77,5.28,10.145,14.593,15.724,16.885,3.28,3.28,12.338,13.431,18.036,11.157,8.899,8.058,6.629,1.535,2.929,6.159,8.454,8.454,12.158,12.688,0.24,3,4.284,4.284,11.266,6.002,8,2.601,10.925,0.254,5.331,10.387,1.473,1.473,4.233,3.968,19.368,0.0,0.099,37.291,6.515,11.003,6.825,15,8.625,11.803,11.803,11.803,3.627,12.785,10.071,10.071,14.596,7.578,29.596,1.144,0,6.326,8.132,9.26,10.4,15.42,3,17.602,20.122
6.409,5.278,10.345,14.755,15.875,17.022,3.278,3.278,12.522,13.607,18.161,11.36,9.128,8.26,6.887,1.868,2.929,6.338,10.016,10.016,12.283,12.813,0.271,3,4.281,4.281,11.387,6.457,12,2.914,11.144,0.286,5.343,10.518,1.698,1.698,4.532,4.076,19.32,0.0,0.038,60.497,6.503,11.21,7.011,14,8.76,11.775,11.775,11.775,3.961,12.999,10.203,10.203,14.814,7.759,29.77,1.142,0,6.539,8.404,9.456,10.534,15.634,5,17.821,20.308
6.638,5.278,10.22,14.657,15.783,16.937,3.278,3.278,12.41,13.501,18.083,11.237,8.985,8.128,6.717,1.569,2.925,6.216,8.57,8.57,12.187,12.719,0.263,4,4.281,4.281,11.298,6.026,8,2.815,10.976,0.279,5.347,10.42,1.607,1.607,4.323,3.962,19.32,0.0,0.031,48.455,6.503,11.063,6.874,12,8.661,11.775,11.775,11.775,3.815,12.848,10.016,10.016,14.66,7.628,29.633,1.083,0,6.365,8.188,9.316,10.44,15.458,4,17.629,20.139
6.301,5.278,10.435,14.876,16.002,17.156,3.278,3.278,12.628,13.72,18.3,11.455,9.203,8.341,6.942,2.056,3.084,6.429,10.016,10.016,12.441,12.973,0.258,3,4.308,4.308,11.55,6.503,18,2.925,11.37,0.273,5.388,10.675,1.669,1.669,4.564,4.281,20.051,0.0,0.04,63.275,6.99,11.384,7.155,14,8.915,12.506,12.506,12.506,3.962,13.204,11.775,11.775,15.055,7.902,30.413,1.143,0,6.595,8.564,9.61,10.699,16.015,5,18.318,20.861
5.481,5.278,10.486,14.933,16.059,17.211,3.278,3.278,12.685,13.779,18.353,11.513,9.254,8.378,6.978,2.312,3.105,6.44,10.016,10.016,12.471,12.997,0.26,3,4.318,4.318,11.573,6.503,10,2.925,11.404,0.277,5.395,10.69,1.669,1.669,4.576,4.281,20.073,0.0,0.035,63.292,6.99,11.402,7.155,16,8.914,12.528,12.528,12.528,3.963,13.23,11.775,11.775,15.088,7.896,30.447,1.143,0,6.638,8.575,9.616,10.704,16.056,5,18.356,20.896
5.638,5.278,10.351,14.728,15.841,16.99,3.278,3.278,12.507,13.578,18.127,11.338,9.114,8.3,6.879,1.91,2.925,6.424,8.744,8.744,12.388,12.922,0.242,4,4.281,4.281,11.502,6.061,12,2.844,11.115,0.257,5.35,10.628,1.562,1.562,4.517,3.963,19.32,0.0,0.062,50.247,6.503,11.235,7.077,18,8.875,11.775,11.775,11.775,3.856,13.001,10.016,10.016,14.794,7.834,29.669,1.142,0,6.635,8.372,9.506,10.641,15.535,4,17.677,20.179
7.301,5.278,10.135,14.583,15.713,16.874,3.278,3.278,12.328,13.42,18.025,11.147,8.889,8.049,6.621,1.396,2.925,6.147,8.433,8.433,12.129,12.661,0.244,3,4.281,4.281,11.239,5.998,6,2.597,10.902,0.259,5.328,10.361,1.483,1.483,4.233,3.962,19.32,0.0,0.124,36.473,6.503,10.984,6.806,15,8.601,11.775,11.775,11.775,3.621,12.766,10.016,10.016,14.577,7.559,29.576,1.142,0,6.284,8.113,9.241,10.38,15.395,3,17.576,20.095
7.699,5.278,10.46,14.897,16.022,17.174,3.278,3.278,12.652,13.742,18.316,11.479,9.226,8.364,6.961,2.028,3.088,6.444,10.016,10.016,12.448,12.978,0.256,3,4.309,4.309,11.554,6.503,14,2.925,11.374,0.272,5.386,10.677,1.656,1.656,4.576,4.281,20.052,0.0,0.005,63.366,6.99,11.382,7.151,18,8.911,12.507,12.507,12.507,3.962,13.203,11.775,11.775,15.056,7.895,30.415,1.143,0,6.618,8.562,9.605,10.696,16.02,5,18.321,20.864
4.456,5.278,10.588,15.007,16.126,17.274,3.278,3.278,12.772,13.856,18.411,11.6,9.352,8.497,7.085,2.278,3.117,6.575,10.016,10.016,12.605,13.131,0.246,3,4.325,4.325,11.707,6.503,16,2.925,11.478,0.261,5.409,10.823,1.623,1.623,4.692,4.281,20.083,0.0,0.041,64.524,6.99,11.495,7.273,26,9.047,12.537,12.537,12.537,3.962,13.311,11.775,11.775,15.156,8.014,30.462,1.265,0,6.719,8.672,9.723,10.839,16.095,5,18.379,20.917
5.0,5.175,9.717,14.078,15.185,16.322,3.175,3.175,11.869,12.937,17.448,10.705,8.483,7.669,6.241,1.285,2.692,5.807,8.648,8.648,12.111,12.626,0.356,1,4.258,4.258,11.199,6.047,8,2.558,10.784,0.378,5.307,10.293,2.039,2.039,3.868,3.807,19.207,7.1,0.007,12.504,6.343,10.848,6.663,4,8.487,11.539,11.539,11.539,3.688,12.636,9.524,9.524,14.45,7.404,29.388,1.049,3,6.169,7.986,9.097,10.241,15.259,1,17.407,19.918
8.31,5.602,10.988,15.834,17.065,18.311,3.602,3.602,13.386,14.592,19.555,12.139,9.702,8.689,7.255,2.588,3.307,6.587,11.874,11.874,13.381,13.834,0.238,1,4.73,4.73,12.369,6.984,8,3.072,12.085,0.255,5.862,11.364,1.512,1.512,4.675,4.418,24.331,0.0,-0.007,13.322,7.443,11.786,7.461,14,9.353,15.502,15.502,15.502,4.144,13.695,13.599,13.599,15.635,8.118,31.674,1.349,0,6.518,8.937,9.919,11.098,17.129,1,19.656,22.381
5.0,5.22,10.122,14.595,15.728,16.883,3.22,3.22,12.332,13.436,18.029,11.155,8.884,8.018,6.605,1.022,3.113,6.115,7.539,7.539,12.245,12.767,0.272,3,4.246,4.246,11.342,5.706,3,2.437,10.91,0.284,5.349,10.449,1.672,1.672,4.213,4.136,18.421,1.7,-0.032,25.206,6.721,10.992,6.838,7,8.663,11.258,11.258,11.258,3.555,12.766,10.906,10.906,14.568,7.581,29.505,1.114,1,6.228,8.156,9.258,10.363,15.374,3,17.545,20.041
8.0,5.279,10.538,14.993,16.12,17.274,3.279,3.279,12.74,13.835,18.417,11.562,9.294,8.43,7.004,2.257,3.143,6.497,10.017,10.017,12.608,13.125,0.242,4,4.282,4.282,11.699,6.503,11,2.923,11.325,0.257,5.365,10.799,1.548,1.548,4.581,4.191,19.322,0.0,0.067,50.75,6.765,11.371,7.18,20,8.995,11.775,11.775,11.775,3.958,13.165,11.14,11.14,14.984,7.915,29.977,1.153,0,6.617,8.507,9.615,10.753,15.829,4,18.009,20.518
8.398,5.278,10.328,14.735,15.854,17.002,3.278,3.278,12.503,13.587,18.142,11.338,9.102,8.248,6.845,1.903,2.933,6.339,9.415,9.415,12.382,12.909,0.264,4,4.281,4.281,11.487,6.253,8,2.866,11.131,0.279,5.372,10.601,1.648,1.648,4.45,3.983,19.322,0.0,0.033,49.712,6.504,11.213,7.027,12,8.825,11.775,11.775,11.775,3.905,12.998,10.027,10.027,14.808,7.773,29.734,1.14,0,6.514,8.344,9.465,10.582,15.591,4,17.743,20.242
5.0,5.04,9.663,13.954,15.034,16.143,3.079,3.079,11.787,12.836,17.238,10.64,8.432,7.624,6.168,0.647,2.904,5.76,7.9,7.9,11.959,12.483,0.253,0,4.141,4.141,11.061,5.787,2,2.452,10.603,0.271,5.219,10.164,1.454,1.454,3.677,3.961,18.123,0.0,0.006,0.0,6.498,10.642,6.503,7,8.373,10.904,10.904,10.904,3.498,12.425,10.176,10.176,14.236,7.231,29.114,1.211,0,5.585,7.808,8.903,10.043,15.058,0,17.205,19.668
8.523,5.278,10.368,14.773,15.891,17.038,3.278,3.278,12.543,13.626,18.175,11.379,9.142,8.288,6.887,2.063,2.943,6.379,9.618,9.618,12.431,12.956,0.253,4,4.281,4.281,11.532,6.299,8,2.89,11.166,0.267,5.365,10.645,1.592,1.592,4.504,4.005,19.322,0.0,-0.007,49.845,6.504,11.25,7.067,13,8.864,11.775,11.775,11.775,3.932,13.032,10.032,10.032,14.839,7.812,29.752,1.148,0,6.651,8.384,9.503,10.617,15.62,4,17.768,20.268
5.0,5.129,9.836,14.022,15.087,16.203,3.129,3.129,11.891,12.899,17.297,10.735,8.59,7.899,6.432,1.528,2.703,6.14,8.761,8.761,12.276,12.807,0.254,1,4.181,4.181,11.386,6.069,8,2.599,10.836,0.268,5.248,10.505,1.64,1.64,4.141,3.816,18.277,1.4,-0.013,12.613,6.168,10.989,6.897,5,8.749,11.049,11.049,11.049,3.727,12.725,9.17,9.17,14.489,7.654,29.103,1.067,1,6.295,8.154,9.291,10.495,15.143,2,17.206,19.662
