pXC50,nBO,nSK,nC,SCBO,Sv,MW,nAB,nBM,nCsp2,nBT,Se,O.,nAT,Si,nH,Sp,AMW,C.,H.,Me,Mi,Mp
4.357,41,36,31,53.5,42.869,477.65,23,24,23,72,66.33,3.0,67,74.727,31,45.586,7.129,46.3,46.3,0.99,1.115,0.68
4.481,38,34,28,48.0,40.584,457.62,18,19,19,69,64.658,4.6,65,72.936,31,43.04,7.04,43.1,47.7,0.995,1.122,0.662
4.0,43,39,33,53.0,48.218,527.77,18,19,19,84,79.076,3.8,80,90.012,41,51.847,6.597,41.3,51.3,0.988,1.125,0.648
4.0,39,35,29,50.0,41.584,469.63,18,20,20,70,65.658,4.5,66,73.936,31,44.04,7.116,43.9,47.0,0.995,1.12,0.667
4.0,39,35,27,51.0,40.266,472.59,18,21,19,67,63.32,6.3,63,70.813,28,41.978,7.501,42.9,44.4,1.005,1.124,0.666
6.745,37,33,28,47.0,39.869,441.62,18,19,19,68,63.33,3.1,64,71.727,31,42.586,6.9,43.8,48.4,0.99,1.121,0.665
6.347,38,34,29,48.0,41.396,455.65,18,19,19,71,66.214,3.0,67,75.142,33,44.347,6.801,43.3,49.3,0.988,1.122,0.662
4.0,44,39,33,57.0,46.111,519.69,24,25,25,77,71.541,4.2,72,80.351,33,48.802,7.218,45.8,45.8,0.994,1.116,0.678
4.959,40,36,29,50.0,42.825,487.65,18,19,19,73,68.869,5.8,69,77.561,33,45.256,7.067,42.0,47.8,0.998,1.124,0.656
5.721,40,35,28,50.0,40.772,471.6,18,19,19,69,64.101,6.3,64,71.73,29,42.733,7.369,43.8,45.3,1.002,1.121,0.668
4.0,41,37,32,51.0,45.976,497.74,18,19,19,80,74.865,2.6,76,85.387,39,49.631,6.549,42.1,51.3,0.985,1.124,0.653
4.0,40,36,31,50.0,44.449,483.71,18,19,19,77,71.981,2.7,73,81.972,37,47.87,6.626,42.5,50.7,0.986,1.123,0.656
4.0,40,36,31,50.0,44.449,483.71,18,19,19,77,71.981,2.7,73,81.972,37,47.87,6.626,42.5,50.7,0.986,1.123,0.656
4.0,40,36,30,50.0,43.306,487.67,18,19,19,74,69.61,2.9,70,78.897,34,46.046,6.967,42.9,48.6,0.994,1.127,0.658
4.0,38,34,29,48.0,41.396,455.65,18,19,19,71,66.214,3.0,67,75.142,33,44.347,6.801,43.3,49.3,0.988,1.122,0.662
5.917,18,16,13,23.5,18.918,214.29,11,11,9,32,29.833,3.3,30,33.697,14,20.034,7.143,43.3,46.7,0.994,1.123,0.668
9.387,57,50,42,76.0,59.917,661.95,38,38,30,102,93.661,0.0,95,106.668,45,64.131,6.968,44.2,47.4,0.986,1.123,0.675
5.456,17,18,16,17.0,27.525,258.56,0,0,0,55,54.108,0.0,56,64.47,38,31.717,4.617,28.6,67.9,0.966,1.151,0.566
6.921,14,15,11,15.0,20.585,238.32,0,1,0,38,38.629,5.1,39,44.88,24,23.427,6.111,28.2,61.5,0.99,1.151,0.601
6.62,33,30,22,43.0,34.019,427.92,12,16,14,55,52.774,7.7,52,58.429,22,35.307,8.229,42.3,42.3,1.015,1.124,0.679
5.482,30,28,22,39.0,33.53,381.52,12,15,13,57,54.891,5.5,55,62.106,27,35.517,6.937,40.0,49.1,0.998,1.129,0.646
6.181,21,20,17,25.0,26.079,274.45,6,7,7,47,45.134,2.2,46,52.188,26,28.603,5.966,37.0,56.5,0.981,1.135,0.622
6.114,28,26,23,35.0,33.133,350.55,12,13,13,58,54.901,1.8,56,63.019,30,36.126,6.26,41.1,53.6,0.98,1.125,0.645
8.268,36,33,27,48.0,39.057,443.59,18,21,19,65,61.774,4.8,62,69.521,29,41.279,7.155,43.5,46.8,0.996,1.121,0.666
4.42,24,22,19,28.0,28.606,300.49,6,7,7,52,49.018,2.0,50,56.604,28,31.364,6.01,38.0,56.0,0.98,1.132,0.627
6.432,30,28,22,39.0,33.53,381.52,12,15,13,57,54.891,5.5,55,62.106,27,35.517,6.937,40.0,49.1,0.998,1.129,0.646
4.284,28,26,22,36.0,31.794,350.5,12,14,14,54,51.461,3.8,52,58.398,26,34.057,6.74,42.3,50.0,0.99,1.123,0.655
4.387,28,26,23,35.0,33.133,350.55,12,13,13,58,54.901,1.8,56,63.019,30,36.126,6.26,41.1,53.6,0.98,1.125,0.645
4.268,28,26,23,36.0,32.606,348.53,12,14,15,56,53.018,1.9,54,60.604,28,35.364,6.454,42.6,51.9,0.982,1.122,0.655
6.824,27,24,22,34.0,30.058,319.48,12,13,13,52,48.032,2.0,49,54.69,25,32.597,6.52,44.9,51.0,0.98,1.116,0.665
7.337,29,27,23,36.0,33.848,366.55,12,13,13,59,56.229,3.5,57,64.228,30,36.58,6.431,40.4,52.6,0.986,1.127,0.642
6.839,28,26,23,35.0,33.133,350.55,12,13,13,58,54.901,1.8,56,63.019,30,36.126,6.26,41.1,53.6,0.98,1.125,0.645
4.585,18,17,14,22.0,21.499,232.36,6,7,7,38,36.483,2.7,37,41.943,20,23.319,6.28,37.8,54.1,0.986,1.134,0.63
5.076,31,28,23,38.0,34.342,379.55,12,13,13,60,56.447,3.5,57,64.311,29,36.824,6.659,40.4,50.9,0.99,1.128,0.646
4.638,9,10,8,10.0,14.214,144.27,0,1,1,27,27.44,3.6,28,32.237,18,15.932,5.152,28.6,64.3,0.98,1.151,0.569
8.921,39,35,29,51.0,41.057,467.61,18,21,21,68,63.774,4.7,64,71.521,29,43.279,7.306,45.3,45.3,0.996,1.118,0.676
7.959,30,27,22,38.0,32.289,363.5,12,14,14,55,51.68,3.8,52,58.481,25,34.302,6.99,42.3,48.1,0.994,1.125,0.66
8.347,31,28,22,39.0,33.116,397.94,12,14,14,55,52.003,3.8,52,58.425,24,35.159,7.653,42.3,46.2,1.0,1.124,0.676
8.056,30,27,22,38.0,32.289,363.5,12,14,14,55,51.68,3.8,52,58.481,25,34.302,6.99,42.3,48.1,0.994,1.125,0.66
4.18,9,10,6,10.0,12.897,147.23,0,1,1,24,25.102,8.0,25,29.114,15,13.869,5.889,24.0,60.0,1.004,1.165,0.555
7.886,29,26,21,37.0,30.762,349.47,12,14,13,52,48.796,4.1,49,55.066,23,32.54,7.132,42.9,46.9,0.996,1.124,0.664
8.658,40,36,30,52.0,42.584,481.64,18,21,21,71,66.658,4.5,67,74.936,31,45.04,7.189,44.8,46.3,0.995,1.118,0.672
5.921,29,26,22,37.0,31.574,347.5,12,14,14,54,50.352,2.0,51,57.272,25,33.847,6.814,43.1,49.0,0.987,1.123,0.664
7.745,34,31,27,44.0,37.516,416.58,18,19,19,63,59.414,1.7,60,67.359,29,40.063,6.943,45.0,48.3,0.99,1.123,0.668
5.027,33,30,27,40.0,38.713,404.65,12,13,13,69,64.552,1.5,66,74.264,36,42.41,6.131,40.9,54.5,0.978,1.125,0.643
8.097,31,28,23,39.0,33.509,378.51,12,14,14,57,53.789,5.6,54,60.607,26,35.512,7.009,42.6,48.1,0.996,1.122,0.658
4.921,26,24,22,32.0,31.418,322.54,12,12,12,56,52.574,0.0,54,60.809,30,34.671,5.973,40.7,55.6,0.974,1.126,0.642
5.167,25,23,16,32.0,26.138,317.38,6,10,8,44,42.683,9.5,42,47.654,19,26.926,7.557,38.1,45.2,1.016,1.135,0.641
7.77,29,26,23,36.0,32.606,348.53,12,13,13,57,53.018,1.9,54,60.604,28,35.364,6.454,42.6,51.9,0.982,1.122,0.655
8.62,38,34,29,50.0,40.036,452.59,18,21,21,66,61.672,4.8,62,69.022,28,42.273,7.3,46.8,45.2,0.995,1.113,0.682
8.046,32,29,22,42.0,33.191,393.48,12,16,14,55,52.451,7.7,52,58.485,23,34.449,7.567,42.3,44.2,1.009,1.125,0.662
7.638,30,27,23,38.0,32.794,362.51,12,14,14,56,52.461,3.8,53,59.398,26,35.057,6.84,43.4,49.1,0.99,1.121,0.661
7.187,28,26,22,35.0,31.989,354.51,12,13,13,55,52.53,1.9,53,59.943,27,34.302,6.689,41.5,50.9,0.991,1.131,0.647
5.959,29,26,23,37.0,32.079,346.51,12,14,15,55,51.134,1.9,52,58.188,26,34.603,6.664,44.2,50.0,0.983,1.119,0.665
7.886,29,26,22,36.0,32.101,349.52,12,13,13,56,52.236,1.9,53,59.687,27,34.608,6.595,41.5,50.9,0.986,1.126,0.653
6.967,27,25,21,34.0,31.101,337.51,12,13,12,54,51.236,1.9,52,58.687,27,33.608,6.491,40.4,51.9,0.985,1.129,0.646
6.569,24,22,19,28.0,28.606,300.49,6,7,7,52,49.018,2.0,50,56.604,28,31.364,6.01,38.0,56.0,0.98,1.132,0.627
6.469,39,35,29,51.0,41.057,467.61,18,21,21,68,63.774,4.7,64,71.521,29,43.279,7.306,45.3,45.3,0.996,1.118,0.676
6.155,29,27,23,36.0,33.848,366.55,12,13,13,59,56.229,3.5,57,64.228,30,36.58,6.431,40.4,52.6,0.986,1.127,0.642
6.097,29,26,22,36.0,32.101,349.52,12,13,13,56,52.236,1.9,53,59.687,27,34.608,6.595,41.5,50.9,0.986,1.126,0.653
6.081,28,26,23,35.0,33.133,350.55,12,13,13,58,54.901,1.8,56,63.019,30,36.126,6.26,41.1,53.6,0.98,1.125,0.645
6.229,35,32,28,45.0,39.374,428.62,18,19,19,67,63.112,3.1,64,71.643,32,42.341,6.697,43.8,50.0,0.986,1.119,0.662
5.796,28,25,23,34.0,32.418,334.55,12,12,12,58,53.574,0.0,55,61.809,30,35.671,6.083,41.8,54.5,0.974,1.124,0.649
6.0,29,26,23,36.0,32.606,348.53,12,13,13,57,53.018,1.9,54,60.604,28,35.364,6.454,42.6,51.9,0.982,1.122,0.655
7.456,34,31,27,41.0,39.121,421.63,12,13,13,69,65.105,4.5,66,74.185,35,42.313,6.388,40.9,53.0,0.986,1.124,0.641
7.092,29,26,23,36.0,32.299,349.51,12,13,13,56,52.243,3.8,53,59.315,27,34.813,6.595,43.4,50.9,0.986,1.119,0.657
7.921,29,26,23,36.0,32.299,349.51,12,13,13,56,52.243,3.8,53,59.315,27,34.813,6.595,43.4,50.9,0.986,1.119,0.657
6.796,34,31,24,43.0,36.465,424.54,12,15,13,62,59.327,8.5,59,66.441,28,38.182,7.196,40.7,47.5,1.006,1.126,0.647
8.824,33,30,26,40.0,37.595,407.6,12,13,13,66,62.221,4.8,63,70.77,33,40.552,6.47,41.3,52.4,0.988,1.123,0.644
7.854,35,32,28,42.0,40.648,435.66,12,13,13,72,67.989,4.3,69,77.6,37,44.074,6.314,40.6,53.6,0.985,1.125,0.639
4.303,37,36,28,45.0,45.706,537.64,12,14,14,79,77.381,2.6,78,88.604,42,49.876,6.893,35.9,53.8,0.992,1.136,0.639
8.244,31,28,24,38.0,34.541,379.54,12,13,13,60,56.454,5.3,57,63.939,29,37.029,6.659,42.1,50.9,0.99,1.122,0.65
7.886,31,28,24,39.0,34.014,377.52,12,14,15,58,54.571,5.5,55,61.524,27,36.267,6.864,43.6,49.1,0.992,1.119,0.659
5.481,30,27,23,37.0,33.014,365.51,12,13,13,57,53.571,5.6,54,60.524,27,35.267,6.769,42.6,50.0,0.992,1.121,0.653
8.569,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
7.0,34,31,24,43.0,36.465,424.54,12,15,13,62,59.327,8.5,59,66.441,28,38.182,7.196,40.7,47.5,1.006,1.126,0.647
5.357,30,27,24,37.0,33.826,363.54,12,13,14,59,55.127,3.6,56,62.73,29,36.574,6.492,42.9,51.8,0.984,1.12,0.653
7.523,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
4.845,31,28,24,41.0,33.267,372.5,18,19,19,55,51.578,3.8,52,57.983,24,35.296,7.163,46.2,46.2,0.992,1.115,0.679
4.22,31,28,24,41.0,33.267,372.5,18,19,19,55,51.578,3.8,52,57.983,24,35.296,7.163,46.2,46.2,0.992,1.115,0.679
4.86,34,31,24,44.0,35.637,457.38,18,19,19,56,53.553,5.7,53,59.08,22,37.466,8.63,45.3,41.5,1.01,1.115,0.707
5.592,33,30,23,43.0,33.779,445.34,18,19,19,52,49.854,4.1,49,54.795,19,35.188,9.089,46.9,38.8,1.017,1.118,0.718
4.049,33,30,23,43.0,33.779,445.34,18,19,19,52,49.854,4.1,49,54.795,19,35.188,9.089,46.9,38.8,1.017,1.118,0.718
4.851,31,29,23,38.0,35.503,435.43,12,13,13,59,56.876,3.5,57,64.116,28,38.296,7.639,40.4,49.1,0.998,1.125,0.672
5.59,33,30,24,43.0,34.922,441.38,18,19,19,55,52.225,3.8,52,57.871,22,37.012,8.488,46.2,42.3,1.004,1.113,0.712
6.155,33,30,24,43.0,34.922,441.38,18,19,19,55,52.225,3.8,52,57.871,22,37.012,8.488,46.2,42.3,1.004,1.113,0.712
4.926,33,30,23,43.0,34.223,461.79,18,19,19,52,49.665,4.1,49,54.399,19,36.108,9.424,46.9,38.8,1.014,1.11,0.737
7.886,18,18,10,24.0,19.922,275.22,6,9,6,32,33.225,18.8,32,36.385,14,20.744,8.601,31.3,43.8,1.038,1.137,0.648
4.377,38,35,31,44.0,46.062,478.79,12,12,12,84,79.297,2.5,81,91.55,46,50.671,5.911,38.3,56.8,0.979,1.13,0.626
5.914,41,38,34,47.0,50.642,520.88,12,12,12,93,87.948,2.2,90,101.795,52,55.955,5.788,37.8,57.8,0.977,1.131,0.622
6.569,42,39,35,48.0,52.169,534.91,12,12,12,96,90.832,2.2,93,105.211,54,57.717,5.752,37.6,58.1,0.977,1.131,0.621
8.022,45,42,38,51.0,56.75,577.0,12,12,12,105,99.483,2.0,102,115.456,60,63.001,5.657,37.3,58.8,0.975,1.132,0.618
7.377,47,44,40,53.0,59.803,605.06,12,12,12,111,105.25,1.9,108,122.287,64,66.524,5.602,37.0,59.3,0.975,1.132,0.616
6.0,27,25,22,34.0,31.606,336.52,12,13,13,55,52.018,1.9,53,59.604,28,34.364,6.349,41.5,52.8,0.981,1.125,0.648
6.815,27,25,21,31.0,32.374,344.55,6,7,7,59,56.112,3.5,57,64.643,32,35.341,6.045,36.8,56.1,0.984,1.134,0.62
6.027,34,31,28,44.0,38.66,412.62,18,19,19,66,61.785,1.6,63,70.434,32,41.887,6.55,44.4,50.8,0.981,1.118,0.665
6.866,16,14,13,21.5,17.182,183.27,11,11,9,29,26.403,0.0,27,29.99,13,18.574,6.788,48.1,48.1,0.978,1.111,0.688
6.328,27,25,22,34.0,31.606,336.52,12,13,13,55,52.018,1.9,53,59.604,28,34.364,6.349,41.5,52.8,0.981,1.125,0.648
4.337,25,23,21,31.0,29.891,308.51,12,12,12,53,49.69,0.0,51,57.394,28,32.91,6.049,41.2,54.9,0.974,1.125,0.645
6.745,27,25,22,34.0,31.606,336.52,12,13,13,55,52.018,1.9,53,59.604,28,34.364,6.349,41.5,52.8,0.981,1.125,0.648
7.161,26,24,20,33.0,29.574,323.48,12,13,12,51,48.352,2.0,49,55.272,25,31.847,6.602,40.8,51.0,0.987,1.128,0.65
9.222,38,35,29,50.0,42.803,490.72,18,21,19,72,68.4,4.3,69,77.188,34,46.205,7.112,42.0,49.3,0.991,1.119,0.67
5.796,26,24,21,30.0,31.66,328.55,6,7,7,58,54.785,1.8,56,63.434,32,34.887,5.867,37.5,57.1,0.978,1.133,0.623
4.387,18,17,15,21.0,22.531,233.39,6,6,6,41,39.149,2.5,40,45.275,23,24.836,5.835,37.5,57.5,0.979,1.132,0.621
5.317,18,16,13,23.5,18.918,214.29,11,11,9,32,29.833,3.3,30,33.697,14,20.034,7.143,43.3,46.7,0.994,1.123,0.668
5.845,18,16,13,23.5,18.918,214.29,11,11,9,32,29.833,3.3,30,33.697,14,20.034,7.143,43.3,46.7,0.994,1.123,0.668
5.523,31,28,21,41.0,31.665,379.45,12,16,14,52,49.567,8.2,49,55.069,21,32.688,7.744,42.9,42.9,1.012,1.124,0.667
5.201,18,19,15,19.0,26.692,294.44,0,1,0,50,50.163,3.9,51,58.541,32,30.472,5.773,29.4,62.7,0.984,1.148,0.597
7.009,28,25,22,35.0,31.079,334.5,12,13,13,54,50.134,2.0,51,57.188,26,33.603,6.559,43.1,51.0,0.983,1.121,0.659
6.357,34,31,23,44.0,35.433,423.51,12,16,14,59,56.662,8.9,56,63.109,25,36.665,7.563,41.1,44.6,1.012,1.127,0.655
4.886,27,25,22,34.0,31.606,336.52,12,13,13,55,52.018,1.9,53,59.604,28,34.364,6.349,41.5,52.8,0.981,1.125,0.648
4.62,33,29,26,37.0,38.24,394.66,6,7,7,71,65.436,1.5,67,75.68,38,42.171,5.89,38.8,56.7,0.977,1.13,0.629
5.268,23,21,17,27.0,25.961,289.41,6,7,7,46,43.803,6.8,44,49.694,23,27.745,6.577,38.6,52.3,0.996,1.129,0.631
4.854,30,28,22,39.0,33.53,381.52,12,15,13,57,54.891,5.5,55,62.106,27,35.517,6.937,40.0,49.1,0.998,1.129,0.646
6.688,28,26,22,35.0,31.989,354.51,12,13,13,55,52.53,1.9,53,59.943,27,34.302,6.689,41.5,50.9,0.991,1.131,0.647
7.194,33,30,26,43.0,36.627,399.58,18,19,18,62,58.12,1.7,59,66.102,29,39.37,6.773,44.1,49.2,0.985,1.12,0.667
7.284,27,25,22,34.0,31.606,336.52,12,13,13,55,52.018,1.9,53,59.604,28,34.364,6.349,41.5,52.8,0.981,1.125,0.648
8.377,30,27,22,38.0,32.289,363.5,12,14,14,55,51.68,3.8,52,58.481,25,34.302,6.99,42.3,48.1,0.994,1.125,0.66
4.824,29,26,24,36.0,33.111,347.54,12,13,13,58,53.8,1.8,55,61.521,29,36.12,6.319,43.6,52.7,0.978,1.119,0.657
6.319,31,28,24,38.0,34.541,379.54,12,13,13,60,56.454,5.3,57,63.939,29,37.029,6.659,42.1,50.9,0.99,1.122,0.65
5.806,34,31,27,45.0,38.988,414.65,22,22,19,68,63.661,0.0,65,73.221,34,42.444,6.379,41.5,52.3,0.979,1.126,0.653
5.678,28,25,23,35.0,31.585,333.51,12,13,13,55,50.916,1.9,52,58.105,27,34.358,6.414,44.2,51.9,0.979,1.117,0.661
8.0,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
7.398,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
6.824,32,29,25,40.0,35.541,391.55,12,14,15,61,57.454,5.2,58,64.939,29,38.029,6.751,43.1,50.0,0.991,1.12,0.656
8.051,31,28,24,35.0,36.121,385.6,6,7,7,66,62.105,4.8,63,71.185,35,39.313,6.121,38.1,55.6,0.986,1.13,0.624
6.745,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
7.027,31,28,23,38.0,34.036,380.53,12,13,13,59,55.672,5.4,56,63.022,28,36.273,6.795,41.1,50.0,0.994,1.125,0.648
7.602,31,28,24,38.0,34.541,379.54,12,13,13,60,56.454,5.3,57,63.939,29,37.029,6.659,42.1,50.9,0.99,1.122,0.65
7.444,31,28,24,38.0,34.541,379.54,12,13,13,60,56.454,5.3,57,63.939,29,37.029,6.659,42.1,50.9,0.99,1.122,0.65
8.409,44,41,37,50.0,55.223,562.97,12,12,12,102,96.599,2.0,99,112.041,58,61.24,5.687,37.4,58.6,0.976,1.132,0.619
7.62,46,43,39,52.0,58.276,591.03,12,12,12,108,102.366,1.9,105,118.871,62,64.762,5.629,37.1,59.0,0.975,1.132,0.617
6.0,40,37,33,46.0,49.116,506.85,12,12,12,90,85.065,2.3,87,98.38,50,54.194,5.826,37.9,57.5,0.978,1.131,0.623
4.67,39,36,32,45.0,47.589,492.82,12,12,12,87,82.181,2.4,84,94.965,48,52.433,5.867,38.1,57.1,0.978,1.131,0.624
7.102,43,40,36,49.0,53.696,548.94,12,12,12,99,93.715,2.1,96,108.626,56,59.478,5.718,37.5,58.3,0.976,1.132,0.62
4.367,37,34,30,43.0,44.535,464.76,12,12,12,81,76.414,2.6,78,88.135,44,48.91,5.958,38.5,56.4,0.98,1.13,0.627
6.807,26,24,20,30.0,30.848,330.52,6,7,7,56,53.229,3.7,54,61.228,30,33.58,6.121,37.0,55.6,0.986,1.134,0.622
6.83,27,25,21,31.0,32.374,344.55,6,7,7,59,56.112,3.5,57,64.643,32,35.341,6.045,36.8,56.1,0.984,1.134,0.62
4.569,30,27,20,40.0,30.138,365.42,12,16,14,49,46.683,8.7,46,51.654,19,30.926,7.944,43.5,41.3,1.015,1.123,0.672
6.387,27,25,22,31.0,33.186,342.58,6,7,7,61,57.669,1.7,59,66.849,34,36.648,5.806,37.3,57.6,0.977,1.133,0.621
6.83,28,26,21,32.0,33.396,359.57,6,7,7,61,58.214,3.4,59,67.142,33,36.347,6.094,35.6,55.9,0.987,1.138,0.616
8.553,33,30,24,42.0,35.53,405.54,12,15,15,60,56.891,5.3,57,64.106,27,37.517,7.115,42.1,47.4,0.998,1.125,0.658
6.523,31,28,24,37.0,35.068,381.56,12,12,12,62,58.338,5.1,59,66.355,31,37.79,6.467,40.7,52.5,0.989,1.125,0.641
8.398,34,31,24,43.0,36.465,424.54,12,15,13,62,59.327,8.5,59,66.441,28,38.182,7.196,40.7,47.5,1.006,1.126,0.647
5.0,32,29,24,40.0,34.729,393.52,12,14,14,59,55.898,7.1,56,62.734,27,36.722,7.027,42.9,48.2,0.998,1.12,0.656
7.201,18,18,9,22.0,19.974,334.53,6,7,5,29,30.542,13.8,29,32.798,11,21.409,11.536,31.0,37.9,1.053,1.131,0.738
9.306,23,21,17,27.0,25.961,289.41,6,7,7,46,43.803,6.8,44,49.694,23,27.745,6.577,38.6,52.3,0.996,1.129,0.631
6.0,18,16,13,23.5,18.918,214.29,11,11,9,32,29.833,3.3,30,33.697,14,20.034,7.143,43.3,46.7,0.994,1.123,0.668
5.886,26,25,19,34.0,30.31,342.49,12,14,12,52,50.781,3.9,51,57.979,26,32.307,6.715,37.3,51.0,0.996,1.137,0.633
5.678,28,25,23,35.0,31.585,333.51,12,13,13,55,50.916,1.9,52,58.105,27,34.358,6.414,44.2,51.9,0.979,1.117,0.661
8.0,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
5.481,30,27,23,37.0,33.014,365.51,12,13,13,57,53.571,5.6,54,60.524,27,35.267,6.769,42.6,50.0,0.992,1.121,0.653
4.102,39,36,32,50.0,46.622,484.8,22,22,19,83,78.079,0.0,80,90.297,44,51.251,6.06,40.0,55.0,0.976,1.129,0.641
6.77,27,25,22,34.0,31.606,336.52,12,13,13,55,52.018,1.9,53,59.604,28,34.364,6.349,41.5,52.8,0.981,1.125,0.648
7.398,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
9.222,44,40,34,59.0,48.33,552.79,24,27,25,80,75.283,3.9,76,84.603,36,51.966,7.274,44.7,47.4,0.991,1.113,0.684
8.051,31,28,24,35.0,36.121,385.6,6,7,7,66,62.105,4.8,63,71.185,35,39.313,6.121,38.1,55.6,0.986,1.13,0.624
8.051,57,50,42,76.0,59.917,661.95,38,38,30,102,93.661,0.0,95,106.668,45,64.131,6.968,44.2,47.4,0.986,1.123,0.675
7.523,29,26,22,37.0,31.267,348.48,12,14,14,53,49.578,4.0,50,55.983,24,33.296,6.97,44.0,48.0,0.992,1.12,0.666
6.638,28,25,23,35.0,31.585,333.51,12,13,13,55,50.916,1.9,52,58.105,27,34.358,6.414,44.2,51.9,0.979,1.117,0.661
9.237,38,35,29,50.0,42.803,490.72,18,21,19,72,68.4,4.3,69,77.188,34,46.205,7.112,42.0,49.3,0.991,1.119,0.67
5.357,30,27,24,37.0,33.826,363.54,12,13,14,59,55.127,3.6,56,62.73,29,36.574,6.492,42.9,51.8,0.984,1.12,0.653
7.0,34,31,24,43.0,36.465,424.54,12,15,13,62,59.327,8.5,59,66.441,28,38.182,7.196,40.7,47.5,1.006,1.126,0.647
