pXC50,P_VSA_e_3,P_VSA_LogP_3,GGI7,Eig02_AEA.ed.,SM11_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,N.069,nArNH2,Eig02_AEA.ri.,SM12_EA.bo.,SaaN,Eig02_EA.ri.,SM08_EA.bo.,Eig02_EA,SM10_AEA.bo.,Chi0_EA.dm.,SM07_EA.bo.,Yindex,P_VSA_e_5,Eig08_EA.ed.,SM03_AEA.ri.,GGI3,GATS6p,IC2,SM07_EA,Eig13_EA.ri.,Vindex,Xindex,Eig01_AEA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_AEA.ed.,SpMax_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpDiam_EA.ed.,SpMax_EA,JGI6,Eig05_EA,SM13_AEA.bo.,nRCOOH,SpDiam_AEA.ri.,Eig08_AEA.ed.,SpMin4_Bh.m.,SM03_EA.ed.,ATS7e,NssCH2,Eig06_EA.ri.,ICR,SpMin1_Bh.s.,Eig02_AEA.bo.,SM15_EA.ed.,GGI4,ATSC7e,ATSC7m,ATS8m,Eig13_EA,Eig13_EA.bo.,SM07_AEA.dm.,GATS8i,RBF,SM08_EA,ATS7i,HVcpx
7.824,154.072,103.699,0.797,6.42,16.711,13.787,15.337,2,2,3.945,18.225,16.734,2.882,12.526,2.986,2.986,29.455,10.894,0.505,160.801,5.226,5.226,2.563,1.039,5.119,8.893,0.918,0.191,0.308,6.508,10.199,10.199,6.508,10.199,3.093,3.093,5.093,17.093,3.093,0.019,2.345,2.345,2,5.117,4.882,1.866,7.724,5.004,3,2.155,3.264,1.231,4.257,35.373,2.6,0.953,34.772,4.015,1.0,1.361,1.0,1.344,0.159,10.117,5.242,3.783
6.699,150.947,103.699,0.358,6.116,16.685,13.754,15.31,2,2,3.884,18.203,16.358,2.864,12.494,2.892,2.892,23.61,10.851,0.427,171.801,5.12,5.12,1.938,1.081,5.051,8.675,0.907,0.169,0.279,6.502,10.174,10.174,6.502,10.174,3.078,3.078,5.078,17.069,3.078,0.015,2.336,2.336,2,5.102,4.645,1.718,7.509,4.706,4,2.151,3.331,1.221,4.206,34.943,2.0,1.015,24.648,3.686,1.0,1.219,1.0,0.987,0.179,9.909,4.908,3.875
7.432,102.49,122.652,0.37,6.019,16.709,13.762,15.325,2,2,3.817,18.23,8.226,2.747,12.486,2.855,2.855,25.178,10.826,0.619,22.0,3.316,3.316,2.125,1.173,4.355,8.55,-0.231,0.225,0.352,6.52,10.238,10.238,6.52,10.238,3.102,3.102,5.102,17.132,3.102,0.018,2.061,2.061,0,5.14,4.061,1.59,7.38,4.681,1,1.867,2.759,1.227,4.209,34.995,1.831,0.482,26.257,3.415,-0.24,-0.285,-0.24,1.063,0.104,9.791,4.958,3.331
5.553,117.376,113.176,0.373,6.502,16.844,13.894,15.449,2,2,4.006,18.358,8.168,2.894,12.594,3.058,3.058,26.188,10.948,0.579,33.0,2.565,2.565,2.063,1.214,4.2,8.643,0.02,0.214,0.339,6.523,10.257,10.257,6.523,10.257,3.081,3.081,5.081,17.178,3.081,0.017,2.061,2.061,0,5.12,3.811,1.59,7.496,4.7,1,1.867,2.844,1.204,4.42,35.554,2.182,0.456,28.01,3.465,0.021,0.027,0.021,0.845,0.122,9.893,5.016,3.402
4.432,117.376,113.176,0.342,6.501,16.844,13.894,15.449,2,2,4.019,18.359,8.173,2.937,12.594,3.056,3.056,26.006,10.948,0.61,33.0,2.868,2.868,2.063,0.757,4.2,8.643,0.018,0.222,0.349,6.53,10.298,10.298,6.53,10.298,3.087,3.087,5.087,17.219,3.087,0.011,2.061,2.061,0,5.125,3.874,1.59,7.496,4.611,1,1.867,2.786,1.205,4.421,35.584,2.022,0.358,22.958,3.487,0.019,0.024,0.019,0.831,0.122,9.894,4.851,3.369
7.678,102.49,122.652,0.323,6.503,16.803,13.853,15.411,2,2,4.024,18.319,8.317,2.987,12.559,3.034,3.034,20.692,10.905,0.545,0.0,3.407,3.407,1.75,0.953,4.496,8.684,-0.145,0.197,0.307,6.534,10.299,10.299,6.534,10.299,3.111,3.111,5.111,17.195,3.111,0.014,2.031,2.031,0,5.154,4.007,1.674,7.516,4.656,5,1.874,2.713,1.452,4.381,35.616,1.693,0.251,24.239,3.374,-0.15,-0.18,-0.15,0.973,0.059,9.95,4.935,3.301
5.796,117.376,113.176,0.358,6.348,16.828,13.883,15.436,2,2,3.981,18.341,8.17,2.892,12.587,3.024,3.024,26.097,10.943,0.593,33.0,2.917,2.917,1.813,0.977,4.243,8.636,0.018,0.218,0.343,6.502,10.175,10.175,6.502,10.175,3.081,3.081,5.081,17.069,3.081,0.015,2.044,2.044,0,5.12,3.926,1.584,7.486,4.633,1,1.85,2.83,1.205,4.389,35.248,2.102,0.505,24.922,3.49,0.02,0.025,0.02,0.982,0.122,9.882,4.891,3.405
5.745,117.376,122.652,0.236,6.5,16.785,13.831,15.393,2,2,4.023,18.302,8.248,2.979,12.538,3.028,3.028,20.177,10.878,0.516,0.0,2.853,2.853,1.5,0.814,4.436,8.558,-0.352,0.19,0.299,6.508,10.202,10.202,6.508,10.202,3.081,3.081,5.081,17.096,3.081,0.013,2.023,2.023,0,5.124,3.71,1.582,7.402,4.362,5,1.838,2.709,1.45,4.374,35.507,1.493,0.168,17.89,3.308,-0.366,-0.448,-0.366,1.093,0.063,9.837,4.636,3.309
5.569,117.376,141.604,0.248,5.406,16.574,13.597,15.188,2,2,3.541,18.113,8.133,2.52,12.332,2.559,2.559,16.037,10.626,0.63,0.0,2.136,2.136,1.0,0.922,3.965,8.149,-0.782,0.231,0.361,6.502,10.175,10.175,6.502,10.175,3.078,3.078,5.078,17.069,3.078,0.011,1.958,1.958,0,5.118,3.247,1.439,6.986,3.984,1,1.484,2.69,1.202,3.913,34.802,1.249,0.125,12.059,2.893,-0.815,-1.084,-0.815,1.109,0.081,9.432,4.248,3.184
6.921,102.49,122.652,0.417,6.22,16.743,13.797,15.357,2,2,3.892,18.261,8.226,2.818,12.515,2.93,2.93,23.693,10.86,0.62,22.0,3.216,3.216,1.75,0.909,4.442,8.608,-0.16,0.225,0.353,6.521,10.241,10.241,6.521,10.241,3.104,3.104,5.104,17.135,3.104,0.013,2.091,2.091,0,5.142,4.007,1.588,7.445,4.594,1,1.879,2.855,1.228,4.278,35.144,1.991,0.303,22.663,3.4,-0.175,-0.201,-0.175,0.806,0.104,9.848,4.846,3.37
5.538,159.646,99.231,1.613,6.204,16.779,13.917,15.428,1,1,3.936,18.273,7.798,2.905,12.69,2.951,2.951,55.387,11.126,0.38,575.378,7.749,7.749,4.688,0.979,5.003,9.405,2.158,0.152,0.253,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.017,2.78,2.78,6,5.122,5.789,1.939,8.239,5.857,11,2.67,4.175,1.265,4.255,35.288,4.84,3.415,81.145,5.026,2.154,2.696,2.154,1.02,0.24,10.609,6.059,4.683
5.276,123.625,99.231,1.05,6.188,16.745,13.853,15.383,1,1,3.913,18.249,7.801,2.883,12.612,2.932,2.932,41.131,11.014,0.394,389.431,5.862,5.862,3.563,0.972,5.086,9.149,1.597,0.156,0.26,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.018,2.745,2.745,4,5.122,5.062,1.906,7.984,5.42,7,2.531,3.83,1.258,4.253,35.176,3.56,2.008,51.654,4.551,1.639,2.238,1.639,1.056,0.213,10.361,5.623,4.369
5.337,105.614,99.231,0.957,6.204,16.73,13.821,15.362,1,1,3.935,18.239,7.805,2.904,12.572,2.951,2.951,33.992,10.955,0.471,296.458,5.761,5.761,2.813,0.976,5.147,8.997,1.162,0.18,0.292,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.017,2.533,2.533,3,5.122,4.973,1.871,7.835,5.248,5,2.255,3.481,1.249,4.255,35.188,2.92,1.567,41.947,4.409,1.177,1.523,1.177,1.022,0.192,10.217,5.442,3.998
5.432,141.636,99.231,1.394,6.204,16.763,13.886,15.406,1,1,3.936,18.262,7.801,2.905,12.652,2.951,2.951,48.255,11.072,0.406,482.404,6.807,6.807,4.063,0.977,5.081,9.287,1.891,0.16,0.264,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.017,2.752,2.752,5,5.122,5.297,1.926,8.122,5.692,9,2.616,3.984,1.262,4.255,35.256,4.2,2.795,68.095,4.859,2.036,2.682,2.036,1.018,0.229,10.495,5.893,4.478
5.31,87.603,99.231,0.55,6.188,16.708,13.778,15.333,1,1,3.911,18.224,7.821,2.881,12.518,2.931,2.931,26.797,10.871,0.496,160.801,4.274,4.274,2.313,0.977,5.132,8.775,0.93,0.189,0.305,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.019,2.332,2.332,1,5.122,4.415,1.625,7.612,4.735,3,1.891,3.248,1.239,4.253,35.102,2.2,0.582,24.333,3.812,0.908,1.199,0.908,1.114,0.161,10.011,4.939,3.779
5.678,117.376,122.652,0.326,6.173,16.724,13.775,15.338,2,2,3.869,18.244,8.158,2.8,12.494,2.904,2.904,23.178,10.833,0.585,22.0,2.565,2.565,1.5,0.81,4.379,8.471,-0.35,0.217,0.343,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.012,2.041,2.041,0,5.119,3.71,1.579,7.322,4.352,1,1.845,2.836,1.204,4.267,34.989,1.711,0.248,17.577,3.307,-0.383,-0.463,-0.383,0.929,0.111,9.723,4.595,3.384
5.699,117.376,113.176,0.358,6.502,16.89,13.936,15.49,2,2,4.042,18.404,8.17,2.956,12.627,3.076,3.076,24.703,10.983,0.596,33.0,2.565,2.565,2.063,1.052,4.285,8.703,0.018,0.219,0.345,6.688,10.788,10.788,6.688,10.788,3.123,3.123,5.123,17.976,3.123,0.014,2.041,2.041,0,5.147,3.72,1.585,7.564,4.678,1,1.845,2.83,1.205,4.473,36.025,2.102,0.446,26.95,3.474,0.02,0.025,0.02,0.928,0.122,9.956,4.978,3.393
5.638,117.376,122.652,0.311,5.787,16.689,13.738,15.305,2,2,3.787,18.212,8.157,2.724,12.464,2.821,2.821,24.663,10.797,0.583,22.0,2.565,2.565,1.75,1.12,4.286,8.404,-0.399,0.216,0.342,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.016,2.061,2.061,0,5.118,3.71,1.59,7.248,4.47,1,1.867,2.757,1.204,4.198,34.846,1.791,0.308,21.304,3.335,-0.432,-0.561,-0.432,0.913,0.111,9.658,4.764,3.339
5.523,117.376,122.652,0.295,6.173,16.724,13.775,15.338,2,2,3.871,18.244,8.16,2.804,12.494,2.905,2.905,23.178,10.833,0.602,22.0,2.565,2.565,1.5,0.928,4.333,8.471,-0.373,0.221,0.347,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.015,2.044,2.044,0,5.119,3.71,1.582,7.322,4.413,1,1.85,2.709,1.204,4.267,34.99,1.711,0.397,19.678,3.36,-0.407,-0.499,-0.407,1.192,0.111,9.723,4.658,3.315
7.229,102.49,113.176,0.448,6.519,16.906,13.955,15.506,2,2,4.047,18.419,8.239,2.956,12.645,3.085,3.085,25.218,11.007,0.629,33.0,3.444,3.444,2.313,1.094,4.356,8.813,0.019,0.227,0.355,6.693,10.815,10.815,6.693,10.815,3.142,3.142,5.142,18.041,3.142,0.016,2.091,2.091,0,5.169,4.128,1.588,7.662,4.867,1,1.879,2.852,1.229,4.476,36.095,2.302,0.543,31.887,3.568,0.021,0.026,0.021,0.89,0.115,10.057,5.155,3.384
6.585,117.376,103.699,0.451,6.523,17.085,14.09,15.651,2,2,4.004,18.615,8.304,2.881,12.745,3.061,3.061,27.046,11.105,0.604,33.0,3.553,3.553,2.75,0.991,4.348,8.823,0.051,0.221,0.347,6.835,11.231,11.231,6.835,11.231,3.212,3.212,5.212,18.467,3.212,0.015,2.061,2.061,0,5.265,4.248,1.59,7.67,4.746,1,1.867,2.834,1.287,4.42,36.51,2.333,0.379,27.898,3.588,0.054,0.067,0.054,0.85,0.115,10.074,5.037,3.389
5.301,105.614,70.802,0.458,6.225,16.01,13.253,14.741,1,1,3.907,17.457,8.06,2.879,12.086,2.927,2.927,32.347,10.515,0.437,203.485,5.121,5.121,2.569,0.998,5.056,9.016,1.0,0.165,0.266,6.907,11.603,11.603,6.907,11.603,3.278,3.278,5.278,18.899,3.278,0.018,2.398,2.398,2,5.323,4.645,1.675,7.837,4.843,5,2.154,3.222,1.38,4.239,36.827,2.276,0.881,28.756,3.745,1.0,1.246,1.0,0.987,0.117,10.261,5.059,3.715
5.357,117.376,124.915,0.467,6.139,17.003,14.016,15.573,2,2,3.911,18.534,7.94,2.901,12.687,2.915,2.915,18.491,11.056,0.494,170.309,5.091,5.091,2.597,1.031,4.997,8.872,0.797,0.189,0.305,6.786,11.135,11.135,6.786,11.135,3.198,3.198,5.198,18.028,3.198,0.017,2.299,2.299,2,5.248,4.645,1.71,7.684,4.738,2,2.147,3.222,1.224,4.265,36.21,1.907,0.87,23.813,3.69,0.815,1.158,0.815,0.973,0.145,10.099,4.92,3.716
4.721,86.378,127.231,0.617,6.116,17.171,14.149,15.73,1,1,3.887,18.724,8.871,2.873,12.821,2.892,2.892,29.419,11.162,0.403,160.801,5.12,5.12,2.729,0.972,4.909,8.974,1.127,0.154,0.25,6.929,11.69,11.69,6.929,11.69,3.285,3.285,5.285,18.888,3.285,0.017,2.405,2.405,2,5.321,4.781,1.896,7.794,5.146,5,2.17,3.34,1.289,4.206,36.903,2.308,0.761,38.494,4.066,1.128,1.5,1.128,1.097,0.157,10.233,5.364,3.874
7.367,134.162,113.176,0.507,6.116,16.685,13.754,15.31,2,2,3.887,18.204,12.256,2.873,12.494,2.892,2.892,21.774,10.851,0.452,160.801,5.12,5.12,1.813,1.125,4.845,8.675,0.713,0.177,0.289,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.013,2.289,2.289,2,5.113,4.645,1.692,7.509,4.752,4,2.153,3.233,1.295,4.207,34.944,2.16,0.848,26.485,3.662,0.722,0.841,0.722,1.015,0.161,9.906,4.969,3.803
5.602,182.239,140.798,0.342,6.502,17.46,14.424,15.987,3,2,4.021,18.999,16.293,2.899,13.017,3.078,3.078,18.948,11.391,0.541,44.313,2.565,2.565,1.563,0.829,4.564,8.956,-0.425,0.205,0.329,7.111,11.657,11.657,7.111,11.657,3.313,3.313,5.313,18.551,3.313,0.015,2.039,2.039,0,5.31,3.71,1.312,7.751,4.062,1,1.803,2.887,1.163,4.541,36.961,1.56,0.371,14.862,3.346,-0.465,-0.592,-0.465,1.053,0.1,10.204,4.297,3.39
5.699,150.947,144.134,0.342,6.502,17.46,14.424,15.987,2,2,4.021,18.999,16.232,2.899,13.017,3.078,3.078,19.198,11.391,0.541,83.409,2.565,2.565,1.563,0.828,4.561,8.956,-0.425,0.205,0.329,7.111,11.657,11.657,7.111,11.657,3.313,3.313,5.313,18.551,3.313,0.015,2.039,2.039,0,5.31,3.71,1.298,7.751,4.049,1,1.803,2.887,1.155,4.541,36.961,1.56,0.422,14.639,3.35,-0.465,-0.592,-0.465,1.04,0.103,10.204,4.273,3.39
4.699,200.249,178.703,0.507,6.502,17.516,14.505,16.066,3,2,4.021,19.051,16.536,2.899,13.135,3.079,3.079,26.693,11.506,0.332,69.458,5.74,5.74,2.063,0.981,4.961,9.146,0.949,0.133,0.223,7.111,11.657,11.657,7.111,11.657,3.313,3.313,5.313,18.551,3.313,0.017,2.471,2.471,0,5.31,4.965,1.71,7.953,4.698,3,2.206,3.522,1.258,4.541,36.971,1.902,0.564,26.774,3.84,1.0,1.434,1.0,0.877,0.131,10.396,4.922,3.988
5.886,168.958,182.039,0.507,6.502,17.516,14.505,16.066,2,2,4.021,19.051,16.516,2.899,13.135,3.079,3.079,26.943,11.506,0.332,108.554,5.74,5.74,2.063,0.987,4.956,9.146,0.949,0.133,0.223,7.111,11.657,11.657,7.111,11.657,3.313,3.313,5.313,18.551,3.313,0.017,2.471,2.471,0,5.31,4.965,1.707,7.953,4.693,3,2.206,3.522,1.255,4.541,36.971,1.902,0.644,26.718,3.843,1.0,1.434,1.0,0.897,0.133,10.396,4.911,3.988
5.745,185.363,178.703,0.554,6.503,17.524,14.515,16.074,3,2,4.026,19.057,16.707,2.905,13.146,3.083,3.083,27.208,11.52,0.344,69.458,5.761,5.761,2.563,0.901,5.033,9.218,1.0,0.137,0.228,7.111,11.657,11.657,7.111,11.657,3.313,3.313,5.313,18.551,3.313,0.022,2.491,2.491,0,5.31,4.973,1.724,8.021,4.775,3,2.214,3.53,1.258,4.542,36.982,2.022,0.491,27.849,3.914,1.0,1.463,1.0,0.813,0.125,10.462,4.99,3.988
4.0,99.365,103.699,0.288,5.97,15.47,12.733,14.276,2,2,3.676,16.935,8.006,2.59,11.655,2.727,2.727,15.676,9.975,0.715,11.0,2.29,2.29,0.938,0.995,4.377,7.967,-0.466,0.264,0.417,6.23,9.356,9.356,6.23,9.356,2.953,2.953,4.953,15.807,2.953,0.012,1.607,1.607,0,4.993,3.248,1.762,6.804,4.547,6,1.454,2.902,1.348,4.117,33.725,0.996,0.228,21.913,3.165,-0.515,-0.621,-0.515,1.063,0.17,9.254,4.819,3.354
5.02,99.365,103.699,0.198,5.903,15.432,12.701,14.245,2,2,3.64,16.899,7.651,2.554,11.626,2.689,2.689,12.046,9.949,0.944,0.0,-0.241,-0.241,0.938,0.947,4.014,7.912,-1.284,0.327,0.493,6.177,9.134,9.134,6.177,9.134,2.936,2.936,4.936,15.536,2.936,0.014,1.414,1.414,0,4.974,2.359,1.235,6.72,3.585,1,1.263,2.227,1.196,4.091,33.342,0.956,0.208,8.832,1.985,-1.414,-1.893,-1.414,0.722,0.071,9.153,3.868,2.845
5.0,145.32,103.699,0.198,5.903,15.432,12.701,14.245,2,2,3.617,16.899,7.866,2.471,11.626,2.689,2.689,12.059,9.949,0.944,0.0,-0.241,-0.241,0.938,1.2,4.014,7.912,-1.243,0.327,0.493,6.177,9.134,9.134,6.177,9.134,2.936,2.936,4.936,15.536,2.936,0.014,1.414,1.414,0,4.964,2.359,1.235,6.72,3.562,1,1.178,2.227,1.211,4.091,33.342,0.956,0.124,17.387,2.58,-1.414,-1.893,-1.414,1.026,0.071,9.153,3.831,2.845
4.87,99.365,113.176,0.273,5.97,15.47,12.733,14.276,2,2,3.676,16.936,7.907,2.59,11.654,2.726,2.726,16.616,9.975,0.858,11.0,1.018,1.018,0.938,1.03,4.444,7.967,-0.97,0.302,0.463,6.23,9.356,9.356,6.23,9.356,2.953,2.953,4.953,15.807,2.953,0.014,1.516,1.516,0,4.993,3.007,1.407,6.804,4.208,2,1.282,2.46,1.207,4.117,33.725,0.996,0.155,15.614,2.708,-1.0,-1.338,-1.0,0.907,0.139,9.233,4.477,3.072
4.45,99.365,103.699,0.288,5.97,15.47,12.733,14.276,2,2,3.676,16.935,7.966,2.59,11.653,2.727,2.727,15.676,9.975,0.81,11.0,1.324,1.324,0.938,1.086,4.453,7.967,-0.811,0.29,0.448,6.23,9.356,9.356,6.23,9.356,2.953,2.953,4.953,15.807,2.953,0.013,1.535,1.535,0,4.993,3.018,1.541,6.804,4.41,4,1.386,2.684,1.249,4.117,33.725,0.996,0.163,18.972,2.906,-0.852,-1.038,-0.852,1.038,0.146,9.24,4.679,3.159
4.74,99.365,151.081,0.285,5.971,15.585,12.868,14.448,2,2,3.685,17.074,8.002,2.599,11.864,2.736,2.736,17.828,10.129,0.608,11.0,2.992,2.992,0.875,0.883,3.97,8.12,-0.466,0.221,0.346,6.23,9.36,9.36,6.23,9.36,2.955,2.955,4.955,15.815,2.955,0.008,1.648,1.648,0,4.995,3.595,1.452,6.969,4.409,2,1.479,2.736,1.21,4.121,33.741,1.067,0.137,17.714,3.233,-0.514,-0.621,-0.514,0.942,0.116,9.406,4.635,3.297
5.02,99.365,103.699,0.198,5.903,15.432,12.701,14.245,2,2,3.661,16.899,7.896,2.607,11.626,2.689,2.689,12.627,9.949,0.944,0.0,-0.241,-0.241,0.938,1.117,4.015,7.912,-1.397,0.327,0.493,6.177,9.134,9.134,6.177,9.134,2.936,2.936,4.936,15.536,2.936,0.014,1.414,1.414,0,4.985,2.359,1.405,6.72,3.855,1,1.268,2.227,1.245,4.091,33.342,0.956,0.169,11.382,1.931,-1.414,-1.893,-1.414,0.937,0.065,9.153,4.165,2.845
4.55,99.365,103.699,0.245,5.969,15.469,12.733,14.275,2,2,3.691,16.935,7.926,2.627,11.652,2.725,2.725,15.589,9.975,0.901,11.0,0.918,0.918,0.938,1.251,4.242,7.967,-0.972,0.314,0.477,6.229,9.355,9.355,6.229,9.355,2.953,2.953,4.953,15.803,2.953,0.016,1.502,1.502,0,5.004,2.98,1.408,6.804,4.222,2,1.271,2.377,1.256,4.117,33.722,0.996,0.367,16.824,2.523,-1.0,-1.359,-1.0,1.188,0.114,9.226,4.525,2.974
