pXC50,SpMin4_Bh.v.,SpMin4_Bh.e.,SpMin4_Bh.p.,SpMin4_Bh.i.,NdssC,ON0V,PHI,SpMax5_Bh.m.,SpMin4_Bh.m.,H.,ATS8e,ATS8p,ATS8v,CIC0,GATS2v,ISIZ,nAT,S1K,S2K,SAtot,Se,Si,SpMin6_Bh.m.,TIC1,TIC2,TIC3,S3K,P_VSA_MR_5,Mv,C.026,SpMax1_Bh.p.,SdsCH,ATS1e,ATS1i,ATS7p,ATS7v,ATSC8p,ATSC8v,BIC0,GATS2p,nBT,nH,P_VSA_i_3,Sp,SpMax6_Bh.i.,SpMaxA_EA.bo.,SpMaxA_EA.ed.,SpMin5_Bh.v.,Sv,TIC4,TIC5,VvdwMG,VvdwZAZ,Vx,X1Kup,X1MulPer,X1Per,SpMax1_Bh.v.,ATS8i,SpMax1_Bh.m.,SpMin1_Bh.i.,AAC,AECC
6.041,1.748,1.522,1.768,1.494,0,8.3,7.074,3.348,1.638,41.7,4.438,3.577,3.436,3.666,1.036,268.078,48,20.803,9.521,493.489,49.258,54.574,1.312,185.549,216.078,234.078,5.555,42.988,0.647,2,4.066,0.0,3.995,4.1,3.66,3.541,7.262,8.95,0.323,1.015,50,20,306.94,32.477,3.344,0.157,0.413,1.616,31.049,240.078,244.078,200.589,335.28,481.196,8.773,8.481,7.05,3.986,4.672,4.735,1.978,1.919,14.357
5.174,1.725,1.569,1.72,1.541,2,10.733,7.11,3.487,1.742,47.2,4.677,3.62,3.489,4.022,0.825,303.58,53,22.227,8.957,548.035,53.738,60.029,1.417,184.386,223.541,235.541,6.227,66.377,0.615,2,4.076,0.0,4.048,4.155,3.904,3.726,7.962,11.442,0.285,0.85,54,25,388.109,34.313,3.207,0.164,0.469,1.571,32.62,235.541,235.541,209.241,378.62,502.309,8.817,8.316,6.975,3.99,4.981,4.742,1.979,1.706,12.929
6.114,1.689,1.497,1.675,1.463,1,6.033,4.151,2.818,1.651,45.7,3.659,2.674,2.603,3.396,0.994,179.525,35,13.94,5.657,352.802,35.447,39.451,1.181,121.873,143.525,147.525,3.1,28.81,0.63,2,4.08,1.162,3.647,3.747,3.078,2.885,2.908,3.801,0.319,0.96,36,16,246.024,23.352,2.979,0.238,0.681,1.361,22.062,147.525,147.525,142.755,251.52,340.083,6.116,5.879,4.882,3.994,3.896,4.743,1.97,1.733,8.579
6.456,1.74,1.552,1.739,1.519,2,9.233,7.267,3.476,1.734,43.4,4.69,3.844,3.727,4.012,0.947,303.58,53,22.033,9.895,535.533,53.854,59.614,1.472,186.812,231.05,263.58,5.704,35.669,0.643,2,4.077,1.108,4.068,4.164,3.924,3.84,9.771,12.368,0.284,0.904,55,23,364.567,35.551,3.318,0.149,0.426,1.581,34.093,269.58,269.58,215.178,384.68,516.794,9.357,9.061,7.496,3.992,4.917,4.742,1.98,1.716,13.633
6.553,1.793,1.577,1.751,1.507,2,8.983,6.228,3.463,1.813,48.1,4.457,3.552,3.455,4.03,1.025,296.423,52,19.905,8.448,500.996,52.411,58.82,1.513,179.285,224.423,244.423,4.531,41.215,0.614,2,4.077,1.15,4.037,4.148,3.808,3.622,7.294,8.933,0.281,0.996,54,25,377.109,33.858,3.206,0.164,0.469,1.728,31.905,244.423,244.423,200.779,360.11,481.661,9.238,8.96,7.378,3.993,4.694,4.742,1.98,1.67,12.148
5.051,1.722,1.533,1.741,1.507,3,10.126,6.862,3.491,1.658,46.2,4.611,3.535,3.427,3.874,0.851,296.423,52,22.342,8.6,533.225,53.251,59.369,1.417,186.671,219.139,231.139,6.024,57.552,0.615,2,4.076,0.0,4.04,4.144,3.855,3.682,7.255,10.251,0.308,0.894,53,24,376.338,33.25,3.206,0.164,0.469,1.545,32.003,231.139,231.139,203.775,370.03,488.97,8.584,8.158,6.792,3.99,4.912,4.742,1.979,1.826,12.321
4.097,1.819,1.645,1.803,1.598,3,10.983,6.915,3.494,1.843,49.1,4.684,3.622,3.479,4.099,0.838,317.975,55,22.406,8.641,556.468,55.622,62.444,1.417,191.272,235.936,247.936,6.056,66.377,0.603,2,4.076,0.0,4.081,4.192,3.943,3.744,7.931,11.355,0.28,0.864,56,27,411.651,35.074,3.206,0.164,0.469,1.57,33.147,247.936,247.936,212.169,381.26,509.452,8.92,8.401,7.051,3.991,4.996,4.742,1.98,1.682,12.321
4.097,1.814,1.635,1.795,1.588,2,10.9,7.264,3.491,1.847,49.1,4.711,3.654,3.51,4.099,0.882,317.975,55,22.406,9.077,556.468,55.622,62.444,1.417,191.272,237.936,249.936,6.322,66.377,0.603,2,4.076,3.0,4.081,4.192,3.938,3.752,8.196,11.788,0.28,0.902,56,27,411.651,35.074,3.23,0.164,0.469,1.582,33.147,249.936,249.936,212.169,381.26,509.452,9.016,8.52,7.152,3.991,5.016,4.742,1.98,1.682,12.929
4.569,1.814,1.635,1.795,1.588,2,10.9,7.264,3.491,1.847,49.1,4.711,3.654,3.51,4.099,0.882,317.975,55,22.406,9.077,556.468,55.622,62.444,1.417,191.272,237.936,249.936,6.322,66.377,0.603,2,4.076,3.0,4.081,4.192,3.938,3.752,8.196,11.788,0.28,0.902,56,27,411.651,35.074,3.23,0.164,0.469,1.582,33.147,249.936,249.936,212.169,381.26,509.452,9.016,8.52,7.152,3.991,5.016,4.742,1.98,1.682,12.929
4.097,1.86,1.674,1.838,1.62,3,11.817,7.494,3.497,1.895,50.0,4.782,3.73,3.571,4.201,0.851,339.763,58,23.396,9.288,582.545,58.505,65.86,1.513,197.356,248.969,266.969,6.297,75.202,0.598,2,4.076,1.699,4.128,4.242,4.018,3.822,8.904,12.816,0.273,0.875,59,29,435.194,36.836,3.241,0.159,0.454,1.582,34.674,266.969,266.969,221.761,398.56,532.857,9.433,8.867,7.46,3.992,5.094,4.742,1.98,1.657,13.034
6.06,1.713,1.543,1.716,1.52,2,10.043,7.509,3.501,1.636,46.2,4.615,3.581,3.453,3.874,0.863,296.423,52,22.689,9.267,551.793,53.062,58.973,1.417,186.671,221.139,233.139,6.472,57.552,0.624,2,4.076,2.238,4.037,4.138,3.906,3.719,7.931,10.699,0.308,0.867,53,24,415.487,34.171,3.206,0.164,0.469,1.538,32.448,233.139,233.139,210.909,379.17,506.379,8.692,8.214,6.839,3.99,4.908,4.742,1.979,1.826,12.929
4.097,1.58,1.392,1.562,1.411,1,9.017,5.418,3.089,1.513,46.7,4.396,3.345,3.178,3.755,0.807,247.133,45,18.571,7.003,470.065,45.643,50.989,1.417,146.892,171.849,183.849,4.631,70.601,0.619,1,4.079,0.0,3.89,3.99,3.689,3.504,6.347,9.214,0.302,0.812,46,21,327.651,29.335,3.18,0.19,0.544,1.429,27.852,183.849,183.849,179.396,320.57,429.485,7.609,7.181,5.991,3.994,4.73,4.742,1.985,1.736,10.708
5.167,1.811,1.613,1.814,1.584,2,10.983,9.068,3.558,1.817,45.9,4.771,3.979,3.861,4.298,0.952,361.775,61,24.97,11.984,611.726,61.731,68.571,1.513,209.705,277.736,306.265,7.16,33.61,0.629,1,4.083,3.038,4.194,4.288,4.021,3.933,10.835,13.6,0.263,0.904,63,28,446.193,40.284,3.455,0.136,0.389,1.705,38.367,313.02,313.02,241.157,434.37,580.183,10.727,10.374,8.584,4.002,4.982,4.742,1.993,1.633,16.394
4.337,1.813,1.621,1.828,1.583,2,9.9,8.184,3.597,1.763,42.9,4.674,3.866,3.764,4.067,0.97,325.212,56,23.684,11.058,577.782,56.956,63.112,1.473,194.16,241.928,274.457,6.513,45.093,0.645,1,4.083,0.843,4.117,4.213,3.939,3.855,9.176,11.38,0.284,0.924,58,24,388.109,37.557,3.358,0.14,0.4,1.606,36.115,281.212,281.212,228.637,410.34,549.635,10.142,9.839,8.109,4.002,4.887,4.742,1.993,1.74,15.688
4.097,1.893,1.694,1.868,1.631,2,13.183,9.685,3.545,1.913,48.6,5.227,4.381,4.248,4.497,0.895,429.05,70,27.879,12.506,689.572,70.374,79.188,1.622,247.279,332.811,368.03,7.408,55.425,0.611,3,4.083,1.168,4.321,4.437,4.412,4.305,16.635,21.585,0.256,0.867,72,34,494.049,45.364,3.527,0.125,0.359,1.744,42.749,370.785,370.785,269.934,482.18,650.399,11.79,11.28,9.456,4.005,5.446,4.743,1.987,1.632,14.694
4.796,1.743,1.556,1.743,1.523,2,9.293,7.442,3.48,1.732,41.5,4.615,3.757,3.683,3.9,0.933,303.58,53,22.947,10.053,538.367,54.367,59.954,1.472,196.307,238.825,266.825,5.702,35.669,0.651,3,4.076,0.981,4.076,4.169,3.854,3.791,8.596,10.041,0.302,0.906,55,22,352.796,35.489,3.32,0.144,0.413,1.572,34.477,269.58,269.58,216.376,390.75,519.718,9.437,9.163,7.554,3.994,4.818,4.743,1.977,1.828,14.323
6.131,1.742,1.554,1.743,1.519,2,11.15,7.461,3.474,1.732,48.2,4.874,3.778,3.634,4.096,0.808,325.212,56,23.358,9.263,571.584,56.949,63.654,1.513,199.754,250.418,263.173,6.029,57.552,0.605,3,4.076,1.112,4.108,4.213,4.041,3.873,9.348,13.624,0.284,0.839,57,27,422.651,35.529,3.318,0.16,0.464,1.562,33.862,263.173,263.173,216.165,390.05,519.203,9.001,8.512,7.132,3.995,5.174,4.743,1.979,1.712,12.138
6.678,1.747,1.558,1.746,1.521,2,10.983,6.915,3.475,1.741,49.1,4.784,3.676,3.523,4.099,0.838,317.975,55,22.406,8.641,556.468,55.622,62.444,1.513,194.517,243.181,255.936,5.807,66.377,0.603,2,4.089,1.143,4.081,4.192,4.011,3.811,8.521,12.577,0.28,0.864,56,27,411.651,35.074,3.268,0.165,0.478,1.559,33.147,255.936,255.936,212.169,381.26,509.452,8.93,8.414,7.058,4.009,5.106,4.743,1.996,1.682,12.143
7.409,1.746,1.558,1.751,1.525,2,9.829,8.031,3.53,1.732,39.3,4.857,3.859,3.832,3.881,0.915,325.212,56,25.76,10.601,570.111,58.276,64.048,1.472,211.184,255.702,283.702,6.394,43.428,0.657,2,4.089,0.877,4.141,4.231,3.996,3.997,10.339,10.669,0.315,0.867,58,22,352.796,37.125,3.363,0.134,0.393,1.578,36.77,286.457,286.457,228.365,420.19,548.97,10.014,9.769,8.016,4.013,5.073,4.744,1.993,1.926,14.353
6.495,1.743,1.556,1.743,1.523,2,9.352,7.619,3.47,1.733,39.6,4.63,3.752,3.714,3.827,0.918,303.58,53,23.862,10.217,541.2,54.88,60.293,1.459,201.49,243.928,269.58,5.726,35.669,0.658,4,4.076,1.101,4.085,4.175,3.856,3.79,8.662,9.52,0.314,0.907,55,21,341.025,35.426,3.323,0.14,0.4,1.574,34.86,269.58,269.58,217.574,396.82,522.641,9.517,9.265,7.612,3.992,4.826,4.742,1.979,1.901,14.563
6.481,1.743,1.556,1.743,1.523,2,9.293,7.442,3.47,1.733,41.5,4.603,3.758,3.68,3.9,0.933,303.58,53,22.947,10.053,538.367,54.367,59.954,1.441,196.307,237.58,261.58,5.914,35.669,0.651,3,4.076,1.12,4.076,4.169,3.858,3.768,8.537,10.609,0.302,0.906,55,22,352.796,35.489,3.327,0.144,0.412,1.574,34.477,261.58,261.58,216.376,390.75,519.718,9.431,9.155,7.543,3.992,4.808,4.742,1.979,1.828,14.968
6.301,1.743,1.556,1.743,1.523,2,9.352,7.619,3.47,1.733,39.6,4.611,3.754,3.704,3.827,0.918,303.58,53,23.862,10.217,541.2,54.88,60.293,1.437,201.49,239.928,261.58,6.141,35.669,0.658,4,4.076,1.103,4.085,4.175,3.857,3.785,8.59,10.125,0.314,0.907,55,21,341.025,35.426,3.327,0.14,0.4,1.573,34.86,261.58,261.58,217.574,396.82,522.641,9.505,9.248,7.596,3.992,4.812,4.742,1.979,1.901,14.594
6.602,1.743,1.556,1.743,1.523,2,9.293,7.73,3.47,1.733,41.5,4.609,3.828,3.728,3.9,0.895,303.58,53,23.29,10.289,556.935,54.178,59.558,1.472,196.307,239.58,267.58,5.862,35.669,0.659,3,4.076,1.129,4.073,4.163,3.895,3.797,9.177,10.728,0.302,0.836,55,22,391.944,36.409,3.319,0.144,0.412,1.575,34.921,269.58,269.58,223.511,399.89,537.126,9.492,9.164,7.551,3.992,4.798,4.742,1.979,1.828,14.419
6.469,1.744,1.556,1.743,1.524,2,9.829,8.031,3.47,1.733,39.3,4.678,3.851,3.811,3.881,0.915,325.212,56,25.76,10.601,570.111,58.276,64.048,1.472,211.184,254.457,280.457,6.394,43.428,0.657,2,4.077,1.088,4.141,4.231,3.906,3.855,9.239,10.562,0.315,0.867,58,22,352.796,37.125,3.365,0.132,0.378,1.576,36.77,284.457,286.457,228.365,420.19,548.97,10.014,9.771,8.011,3.992,4.864,4.742,1.979,1.926,14.824
6.201,1.931,1.751,1.915,1.699,2,11.233,8.744,3.655,1.929,42.2,4.916,4.055,3.983,4.329,0.958,384.0,64,26.579,12.172,642.009,64.949,71.654,1.513,224.675,281.53,326.881,6.845,35.669,0.654,4,4.077,1.131,4.261,4.351,4.195,4.1,11.638,14.135,0.264,0.95,67,27,422.651,43.529,3.509,0.119,0.34,1.743,41.862,339.245,342.0,260.553,466.09,627.508,11.564,11.236,9.291,3.994,5.121,4.742,1.979,1.671,16.73
6.638,1.744,1.556,1.743,1.524,2,10.15,7.495,3.469,1.733,44.6,4.649,3.859,3.759,4.117,0.906,325.212,56,23.01,10.097,561.61,56.738,63.029,1.513,201.052,254.457,280.457,5.731,44.494,0.636,2,4.077,1.135,4.116,4.216,3.91,3.819,9.141,11.522,0.277,0.874,58,25,388.109,37.313,3.319,0.144,0.412,1.577,35.62,284.457,286.457,224.77,401.98,540.199,9.773,9.408,7.804,3.992,4.848,4.742,1.979,1.69,14.419
6.42,1.745,1.557,1.745,1.526,2,10.4,7.322,3.471,1.733,42.4,4.709,3.94,3.868,4.213,0.916,347.076,59,23.959,10.391,583.173,59.738,66.029,1.513,208.5,261.512,299.566,5.499,35.669,0.655,2,4.084,1.136,4.179,4.273,3.977,3.898,9.468,11.355,0.268,0.876,62,25,388.109,40.313,3.491,0.129,0.368,1.664,38.62,309.076,313.076,240.299,425.34,578.09,10.767,10.439,8.616,4.051,4.898,4.742,2.061,1.67,15.294
6.143,1.747,1.561,1.748,1.534,2,10.4,7.322,3.474,1.733,42.4,4.696,3.883,3.814,4.213,0.916,347.076,59,23.959,10.391,583.173,59.738,66.029,1.513,208.5,262.267,302.321,5.672,35.669,0.655,2,4.083,1.136,4.179,4.273,3.966,3.876,9.415,11.461,0.268,0.876,62,25,388.109,40.313,3.488,0.129,0.368,1.697,38.62,307.076,311.076,240.299,425.34,578.09,10.761,10.43,8.611,4.047,4.898,4.742,2.057,1.67,15.912
6.174,1.932,1.751,1.917,1.699,2,11.233,8.744,3.655,1.929,42.2,4.883,4.022,3.939,4.329,0.958,384.0,64,26.579,12.172,642.009,64.949,71.654,1.513,224.675,283.139,330.49,7.056,35.669,0.654,4,4.077,1.132,4.261,4.351,4.158,4.055,11.517,14.343,0.264,0.95,67,27,422.651,43.529,3.508,0.119,0.34,1.743,41.862,339.245,342.0,260.553,466.09,627.508,11.558,11.227,9.285,3.994,5.099,4.742,1.979,1.671,17.432
6.328,1.932,1.751,1.917,1.699,2,11.233,8.744,3.655,1.929,42.2,4.81,3.977,3.887,4.329,0.958,384.0,64,26.579,12.172,642.009,64.949,71.654,1.513,224.675,281.139,325.245,7.056,35.669,0.654,4,4.077,1.132,4.261,4.351,4.115,4.005,10.864,13.666,0.264,0.95,67,27,422.651,43.529,3.508,0.119,0.34,1.743,41.862,334.0,334.0,260.553,466.09,627.508,11.558,11.227,9.284,3.994,5.02,4.742,1.979,1.671,18.135
6.509,1.62,1.365,1.633,1.377,2,7.817,5.992,3.232,1.595,44.2,4.062,3.177,3.153,3.62,0.849,233.329,43,18.455,7.792,444.172,44.087,48.784,1.226,155.624,184.574,196.574,4.361,31.076,0.629,2,4.075,1.13,3.864,3.961,3.443,3.329,4.573,5.427,0.317,0.801,44,19,317.483,28.029,3.206,0.19,0.544,1.507,27.04,196.574,196.574,173.799,312.06,415.831,7.204,6.923,5.74,3.99,4.243,4.742,1.979,1.806,11.25
6.745,1.733,1.484,1.72,1.431,2,8.317,6.589,3.323,1.733,45.7,4.277,3.312,3.247,3.752,0.912,254.084,46,19.442,8.473,470.249,46.971,52.199,1.239,166.327,203.329,215.329,4.814,44.494,0.621,2,4.075,1.133,3.923,4.024,3.601,3.455,5.486,7.142,0.306,0.88,47,21,341.025,29.79,3.206,0.183,0.524,1.545,28.567,215.329,215.329,183.392,329.36,439.236,7.8,7.52,6.221,3.99,4.517,4.742,1.979,1.771,11.88
6.62,1.782,1.574,1.751,1.507,2,9.15,6.756,3.468,1.8,47.2,4.685,3.662,3.524,4.022,1.02,303.58,53,20.841,9.077,514.054,53.738,60.029,1.513,186.441,231.58,251.58,5.146,41.215,0.615,2,4.076,1.141,4.066,4.17,3.9,3.738,8.518,11.945,0.285,0.989,55,25,388.109,34.313,3.206,0.159,0.454,1.736,32.62,251.58,251.58,204.775,368.9,491.412,9.36,9.1,7.486,3.991,4.97,4.742,1.979,1.706,12.893
6.119,1.753,1.565,1.751,1.538,2,9.567,7.299,3.471,1.734,45.5,4.651,3.817,3.712,4.127,0.995,317.975,55,22.071,9.921,546.494,55.411,61.82,1.513,189.406,238.691,271.22,5.722,36.146,0.635,2,4.077,1.144,4.089,4.195,3.913,3.793,9.043,11.332,0.272,0.971,57,25,377.109,36.858,3.412,0.149,0.425,1.681,34.905,273.975,273.975,220.774,393.19,530.449,9.751,9.436,7.793,3.993,4.864,4.742,1.98,1.655,14.3
6.699,1.745,1.558,1.744,1.529,2,9.733,6.171,3.505,1.733,44.6,4.663,3.856,3.762,4.159,1.007,325.212,56,21.603,8.856,543.959,56.411,62.82,1.508,196.643,249.928,280.457,4.836,33.611,0.641,2,4.08,1.148,4.122,4.224,3.952,3.824,9.425,11.493,0.269,0.978,59,25,377.109,37.858,3.465,0.14,0.4,1.59,35.905,283.212,283.212,222.973,398.13,535.814,10.271,9.96,8.179,4.007,4.867,4.742,1.98,1.649,14.323
6.509,1.594,1.398,1.589,1.4,2,7.983,5.161,3.457,1.513,45.7,4.182,3.343,3.309,3.793,1.009,254.084,46,17.962,7.183,448.843,46.643,51.989,1.506,164.327,200.084,212.084,4.225,36.146,0.627,2,4.077,1.146,3.93,4.034,3.567,3.42,5.487,6.251,0.298,0.98,48,21,330.025,30.335,3.206,0.176,0.504,1.429,28.852,212.084,212.084,181.594,325.51,434.85,8.238,7.98,6.545,3.993,4.355,4.742,1.98,1.731,11.4
6.553,1.77,1.563,1.762,1.53,2,11.017,7.233,3.472,1.784,50.0,4.87,3.986,3.852,4.376,1.029,384.0,64,23.281,9.942,592.835,64.163,72.564,1.58,211.19,279.761,328.0,5.215,51.085,0.602,2,4.077,1.156,4.245,4.365,4.091,3.936,10.959,14.663,0.261,0.986,67,32,459.507,41.148,3.469,0.136,0.389,1.73,38.507,334.0,338.0,238.549,427.95,573.821,11.427,11.112,9.13,3.994,5.116,4.742,1.98,1.624,14.375
6.481,1.783,1.567,1.758,1.527,2,11.017,7.233,3.469,1.834,50.0,4.975,4.003,3.834,4.376,1.041,384.0,64,23.281,9.942,593.264,64.163,72.564,1.534,213.19,283.761,330.0,5.056,51.514,0.602,2,4.078,1.156,4.245,4.365,4.182,3.995,12.015,16.607,0.261,1.004,67,32,459.507,41.148,3.492,0.136,0.389,1.74,38.507,338.0,338.0,238.549,427.95,573.821,11.463,11.158,9.167,3.994,5.26,4.742,1.98,1.624,13.781
6.523,1.742,1.555,1.739,1.52,2,9.35,6.756,3.465,1.733,48.1,4.594,3.644,3.525,4.054,0.984,310.764,54,20.841,9.077,517.14,54.512,61.318,1.513,181.789,226.235,256.764,4.95,46.016,0.61,2,4.076,1.148,4.079,4.196,3.887,3.704,8.087,10.625,0.283,0.94,56,26,388.88,34.864,3.249,0.159,0.454,1.559,32.927,256.764,256.764,207.573,371.11,498.239,9.461,9.186,7.569,3.991,4.855,4.742,1.98,1.701,12.821
6.509,1.741,1.554,1.739,1.519,2,9.386,6.804,3.468,1.733,44.4,4.652,3.632,3.592,3.866,0.953,310.764,54,22.667,9.005,522.807,55.538,61.997,1.513,193.603,231.744,256.764,5.383,43.481,0.624,2,4.076,1.112,4.096,4.206,3.882,3.741,8.254,9.275,0.315,0.943,56,24,365.338,34.739,3.276,0.149,0.425,1.555,33.693,256.764,256.764,209.97,383.25,504.086,9.495,9.255,7.525,3.991,4.89,4.742,1.98,1.889,13.633
6.244,1.76,1.561,1.751,1.507,2,8.85,6.197,3.463,1.733,47.1,4.42,3.509,3.419,3.943,0.957,289.294,51,19.867,8.423,491.063,51.629,57.903,1.513,174.132,212.274,237.294,4.515,43.481,0.616,2,4.076,1.146,4.029,4.143,3.778,3.598,6.831,8.548,0.292,0.914,53,24,365.338,33.103,3.206,0.164,0.469,1.704,31.4,237.294,237.294,197.981,353.81,474.834,8.961,8.696,7.152,3.991,4.661,4.742,1.98,1.729,12.148
6.745,1.743,1.557,1.741,1.525,2,10.9,5.617,3.468,1.733,49.2,4.885,3.963,3.807,4.387,1.008,376.569,63,21.973,8.18,576.692,63.061,71.065,1.562,212.611,270.53,294.53,4.023,46.284,0.611,2,4.083,1.162,4.238,4.351,4.154,3.962,12.043,15.356,0.255,0.979,67,31,447.736,41.142,3.338,0.132,0.397,1.585,38.486,294.53,294.53,233.954,421.89,562.608,11.618,11.263,9.202,4.02,5.148,4.742,2.035,1.59,13.25
6.301,1.733,1.548,1.728,1.509,1,8.017,5.596,3.446,1.733,43.5,4.232,3.397,3.35,3.788,0.94,254.084,46,18.428,7.895,458.743,46.534,51.863,1.223,162.379,198.432,222.084,4.257,37.0,0.644,2,4.077,1.158,3.931,4.037,3.627,3.476,5.66,6.599,0.296,0.919,48,20,293.109,31.125,3.206,0.17,0.486,1.521,29.632,222.084,222.084,188.13,328.84,450.797,8.197,7.927,6.551,3.993,4.432,4.742,1.98,1.735,12.0
