pXC50,CATS2D_01_DD,nRNHO,CATS2D_05_NL,CATS2D_06_NL,nRCOOH,CATS2D_04_NL,CATS2D_02_AN,CATS2D_01_AN,CATS2D_01_DN,CATS2D_02_NL,P_VSA_LogP_3,O.057,O.056,CATS2D_04_DA,CATS2D_04_AN,CATS2D_07_NL,CATS2D_08_DA,SpMAD_AEA.dm.,MATS5s,CATS2D_08_DL,CATS2D_07_DA,Eig02_AEA.dm.,MATS2s,CATS2D_03_DA,P_VSA_LogP_4,CATS2D_07_DL,CATS2D_07_AA,MATS7s,CATS2D_06_DA,Eig03_AEA.ed.,SpMAD_AEA.bo.,SsOH,Eig02_AEA.bo.,Eig02_EA.ed.,SM11_AEA.dm.,SpMax8_Bh.m.,CATS2D_09_DA,MATS7v,CATS2D_06_DL,N.,GATS2e,Eig02_EA.bo.,SM12_AEA.ri.,GATS2s,Eig03_AEA.dm.,SaaN,SsSH,Eig02_AEA.ed.,Eig02_EA.dm.,SaaS,Eig02_EA.ri.,Eig02_AEA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,MATS7e,CATS2D_09_AN,CATS2D_08_AN,Eig09_AEA.ed.,Hy,Eta_F_A,ATS7s
4.456,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,0,1.674,-0.091,4,0,3.936,0.152,2,74.163,8,2,-0.097,2,5.929,1.5,8.845,4.255,8.779,8.779,2.687,1,-0.047,5,7.0,0.57,3.951,3.951,0.542,3.778,0.0,0.0,6.226,2.105,0.0,2.716,3.766,8.217,8.217,-0.044,0,0,3.434,0.414,1.216,6.137
4.119,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,0,1.72,0.003,2,0,3.925,0.221,2,74.163,4,2,-0.181,2,5.924,1.491,8.587,4.253,8.234,8.234,2.404,1,-0.035,3,8.3,0.559,3.951,3.951,0.501,3.778,0.0,0.0,5.936,2.105,0.0,2.708,3.753,7.996,7.996,-0.116,0,0,2.828,0.565,1.05,5.7
5.276,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,0,0,1.625,-0.061,0,0,3.779,0.271,1,113.051,4,8,0.066,0,5.928,1.535,9.29,4.256,8.625,8.625,2.732,2,-0.038,4,7.0,0.453,3.952,3.952,0.431,3.777,0.0,0.0,6.187,2.612,0.0,2.72,3.771,8.215,8.215,0.131,4,2,3.739,-0.146,1.296,6.468
4.886,1,1,0,0,0,0,0,0,0,0,114.947,0,1,1,0,0,0,1.695,-0.015,6,0,3.938,0.177,2,74.163,7,2,-0.13,2,5.929,1.502,8.909,4.256,9.17,9.17,2.831,1,-0.095,4,7.0,0.579,3.952,3.952,0.535,3.778,0.0,0.0,6.341,2.105,0.0,2.719,3.784,8.221,8.221,-0.093,0,0,3.791,0.424,1.188,6.24
4.745,1,1,0,0,0,0,0,0,0,0,118.616,0,1,1,0,0,1,1.637,-0.053,6,0,3.778,0.133,2,54.995,6,2,-0.047,1,5.607,1.475,8.872,4.185,8.222,8.222,2.745,3,-0.052,5,9.1,0.532,3.637,3.637,0.494,3.68,0.0,0.0,5.929,2.11,0.0,2.701,3.746,7.436,7.436,0.026,0,0,3.414,1.055,1.121,6.062
5.319,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,1,2,1.627,0.097,1,1,3.78,0.27,1,113.051,4,3,-0.179,0,5.931,1.534,9.307,4.261,9.563,9.563,2.732,1,-0.085,3,7.0,0.453,3.953,3.953,0.431,3.777,0.0,0.0,6.441,2.612,0.0,2.758,3.823,8.228,8.228,-0.121,2,1,3.687,-0.146,1.326,6.318
5.155,1,1,0,0,0,0,0,0,0,0,152.852,0,1,1,0,0,0,1.669,-0.049,8,0,3.937,0.176,2,74.163,9,2,-0.111,2,6.036,1.506,9.03,4.339,9.958,9.958,2.832,1,-0.083,5,6.1,0.516,4.173,4.173,0.509,3.778,0.0,0.0,6.51,2.105,0.0,2.886,3.908,8.313,8.313,-0.071,0,0,3.791,0.309,1.263,6.244
5.292,0,0,5,2,1,1,1,1,1,1,43.712,1,0,0,2,0,0,1.623,-0.043,0,0,3.779,0.251,1,113.051,2,2,-0.305,0,5.928,1.571,9.052,4.256,9.346,9.346,2.878,1,-0.134,5,5.9,0.436,3.951,3.951,0.498,3.765,0.0,0.0,6.47,2.612,0.0,2.71,3.771,8.218,8.218,-0.345,2,1,3.252,-0.026,1.05,5.771
5.62,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,0,0,1.619,-0.111,2,0,3.778,0.288,1,138.196,4,2,-0.15,3,6.184,1.539,9.437,4.255,10.157,10.157,2.884,2,-0.194,4,5.2,0.454,3.951,3.951,0.408,3.764,0.0,0.0,6.446,2.375,0.0,2.926,4.07,8.596,8.596,-0.06,2,1,4.202,0.312,1.222,6.311
5.187,0,0,2,4,1,1,1,1,1,1,75.81,1,0,0,1,2,1,1.572,0.02,2,0,3.778,0.227,1,93.883,4,2,-0.049,0,5.547,1.499,9.27,4.176,8.22,8.22,2.726,3,-0.069,4,7.1,0.441,3.637,3.637,0.401,3.569,0.0,0.0,5.928,2.377,0.0,2.696,3.744,7.364,7.364,0.039,2,1,3.414,0.365,1.113,6.019
5.745,0,0,2,2,1,1,1,1,1,1,43.712,1,0,0,2,0,0,1.683,0.174,0,0,4.986,0.095,1,113.051,2,2,-0.023,0,8.551,1.666,8.965,5.153,18.261,18.261,3.072,1,-0.025,2,3.6,0.755,4.242,4.242,0.82,4.684,0.0,0.0,9.042,3.02,0.0,3.465,4.925,16.002,16.002,0.001,2,1,5.584,-0.038,1.705,7.684
4.824,0,0,3,4,1,1,1,1,1,1,91.094,1,0,0,2,2,0,1.589,0.057,2,0,3.778,0.261,1,113.051,4,2,-0.108,0,5.926,1.503,9.281,4.254,8.273,8.273,2.73,1,-0.072,3,4.5,0.448,3.951,3.951,0.436,3.743,0.0,0.0,5.975,2.375,0.0,2.711,3.757,8.104,8.104,-0.056,2,1,3.414,-0.218,1.15,6.037
5.284,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,0,0,1.591,0.032,0,0,3.778,0.246,1,113.051,4,2,-0.137,0,5.928,1.51,9.324,4.255,8.594,8.594,2.732,2,-0.098,4,4.4,0.622,3.951,3.951,0.466,3.749,0.0,0.0,6.184,2.375,0.0,2.716,3.764,8.204,8.204,-0.098,2,2,3.414,-0.199,1.208,6.13
5.921,0,0,4,5,1,1,1,1,1,1,110.046,1,0,0,2,3,0,1.604,0.042,3,0,3.778,0.252,1,113.051,5,2,-0.125,0,5.991,1.531,9.475,4.338,9.924,9.924,2.82,1,-0.094,4,4.3,0.434,4.173,4.173,0.431,3.751,0.0,0.0,6.501,2.375,0.0,2.875,3.9,8.251,8.251,-0.078,2,1,3.778,-0.268,1.256,6.202
4.432,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,0,1.673,-0.088,4,0,3.936,0.183,2,74.163,8,2,-0.108,2,5.929,1.5,8.893,4.255,8.779,8.779,2.766,1,0.018,5,7.0,0.539,3.951,3.951,0.522,3.778,0.0,0.0,6.226,2.105,0.0,2.715,3.766,8.217,8.217,-0.061,0,0,3.434,0.414,1.114,6.1
5.602,0,0,2,2,1,1,1,1,1,1,81.617,1,0,0,1,2,1,1.607,-0.028,2,2,3.858,0.262,1,138.196,2,4,-0.094,0,5.928,1.522,9.282,4.265,10.046,10.046,2.791,3,-0.089,5,6.3,0.406,3.953,3.953,0.433,3.778,0.0,0.0,6.528,2.377,0.0,2.852,3.959,8.22,8.22,-0.139,2,1,3.772,0.364,1.23,6.522
5.678,0,0,4,3,1,1,1,1,1,1,72.141,1,0,0,2,0,1,1.619,-0.045,2,0,3.778,0.274,2,138.196,5,8,-0.038,0,6.251,1.533,9.532,4.258,10.163,10.163,3.003,2,-0.164,4,4.8,0.581,3.952,3.952,0.431,3.768,0.0,0.0,6.448,2.375,0.0,2.928,4.073,9.25,9.25,-0.008,4,2,4.312,0.304,1.271,6.649
5.959,0,0,4,5,1,1,1,1,1,1,100.57,1,0,0,2,2,0,1.608,0.056,2,0,3.778,0.258,1,113.051,5,2,-0.075,0,6.228,1.543,9.586,4.485,10.836,10.836,2.887,2,-0.077,4,5.5,0.519,4.313,4.313,0.42,3.751,0.0,0.0,6.729,2.375,0.0,3.012,4.059,8.782,8.782,-0.064,2,2,4.043,-0.279,1.293,6.383
5.678,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,1,0,1.62,0.002,1,0,3.778,0.233,1,143.33,4,5,-0.016,0,5.928,1.541,9.334,4.255,8.625,8.625,2.732,1,-0.076,4,4.3,0.466,3.951,3.951,0.46,3.749,0.0,0.0,6.187,2.375,0.0,2.797,3.785,8.215,8.215,0.015,3,1,3.739,-0.217,1.232,6.339
5.155,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,0,1.723,0.171,2,0,4.986,0.078,2,74.163,4,2,-0.001,2,8.551,1.651,8.624,5.153,18.261,18.261,3.076,1,-0.017,3,5.3,0.771,4.242,4.242,0.831,4.684,0.0,0.0,9.042,3.02,0.0,3.465,4.925,16.002,16.002,0.024,0,0,5.63,0.469,1.708,7.713
4.523,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,0,1.674,-0.091,4,0,3.936,0.183,2,74.163,8,2,-0.109,2,5.929,1.5,8.888,4.255,8.779,8.779,2.765,1,0.0,5,7.0,0.55,3.951,3.951,0.523,3.778,0.0,0.0,6.226,2.105,0.0,2.716,3.766,8.217,8.217,-0.058,0,0,3.434,0.414,1.129,6.104
5.215,0,0,2,4,1,1,1,1,1,1,75.81,1,0,0,1,1,1,1.571,-0.017,1,0,3.778,0.228,1,93.883,4,2,-0.104,0,5.592,1.502,9.274,4.181,8.22,8.22,2.736,3,-0.031,4,7.1,0.441,3.669,3.669,0.4,3.57,0.0,0.0,5.928,2.377,0.0,2.696,3.744,7.585,7.585,-0.056,2,1,3.477,0.365,1.114,5.966
5.097,1,1,0,0,0,0,0,0,0,0,114.947,0,1,1,0,0,1,1.672,-0.121,5,0,3.936,0.213,3,99.307,9,8,-0.02,2,6.274,1.514,9.084,4.258,10.163,10.163,3.012,2,-0.151,5,6.3,0.635,3.952,3.952,0.494,3.778,0.0,0.0,6.448,2.186,0.0,2.928,4.073,9.275,9.275,-0.004,0,0,4.378,0.938,1.279,6.683
5.292,0,0,3,4,1,1,1,1,1,1,66.334,1,0,0,0,0,2,1.627,-0.097,0,1,3.786,0.293,1,68.738,4,5,-0.129,0,5.928,1.513,9.353,4.259,9.216,9.216,2.793,2,-0.052,3,9.3,0.463,3.952,3.952,0.369,3.778,0.0,0.0,6.274,2.612,0.0,2.797,3.862,8.215,8.215,-0.036,4,2,3.779,-0.132,1.252,6.279
5.0,1,1,0,0,0,0,0,0,0,0,147.044,0,1,1,0,0,1,1.636,-0.034,7,0,3.778,0.124,2,54.995,6,2,-0.13,1,5.929,1.484,8.998,4.266,10.037,10.037,2.841,3,-0.012,5,8.0,0.493,3.953,3.953,0.481,3.683,0.0,0.0,6.485,2.11,0.0,2.899,3.962,8.222,8.222,-0.118,0,0,3.791,0.933,1.193,6.118
5.328,0,0,2,2,1,1,1,1,1,1,43.712,1,0,0,2,0,0,1.597,-0.182,0,0,3.78,0.334,1,113.051,2,2,-0.39,0,5.928,1.571,8.814,4.256,9.346,9.346,2.687,1,-0.059,2,5.9,0.394,3.951,3.951,0.48,3.774,0.0,0.0,6.47,2.612,0.0,2.715,3.782,8.218,8.218,-0.404,2,1,3.252,-0.026,1.193,5.998
4.921,1,1,0,0,0,0,0,0,0,0,118.616,0,1,1,0,0,1,1.637,-0.038,6,0,3.778,0.112,2,54.995,6,2,0.011,1,5.607,1.475,8.845,4.185,8.222,8.222,2.691,3,-0.063,5,9.1,0.551,3.637,3.637,0.517,3.68,0.0,0.0,5.929,2.11,0.0,2.701,3.746,7.436,7.436,0.067,0,0,3.414,1.055,1.149,6.14
4.921,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,0,0,1.601,0.008,0,0,3.778,0.263,1,113.051,4,2,-0.136,0,5.928,1.528,9.305,4.255,8.589,8.589,2.732,1,0.021,4,4.9,0.452,3.951,3.951,0.442,3.749,0.0,0.0,6.183,2.375,0.0,2.715,3.763,8.204,8.204,-0.076,2,1,3.414,-0.18,1.105,6.042
5.26,0,0,4,4,1,1,1,1,1,1,75.81,1,0,0,0,0,0,1.604,-0.118,0,0,3.778,0.278,1,68.738,4,4,-0.071,0,5.927,1.5,9.309,4.253,8.227,8.227,2.721,2,-0.039,4,7.3,0.454,3.95,3.95,0.359,3.776,0.0,0.0,5.929,2.612,0.0,2.693,3.749,8.205,8.205,0.04,4,2,3.414,-0.18,1.105,5.988
5.921,0,0,3,4,1,1,1,1,1,1,91.094,1,0,0,2,2,0,1.604,0.05,2,1,3.778,0.246,1,141.608,4,3,-0.129,0,5.991,1.531,9.46,4.338,9.924,9.924,2.775,1,-0.099,3,6.5,0.474,4.173,4.173,0.445,3.751,4.144,0.0,6.501,2.375,0.0,2.842,3.889,8.251,8.251,-0.067,2,1,3.778,-0.234,1.267,6.226
5.62,0,0,2,2,1,1,1,1,1,1,81.617,1,0,0,1,2,1,1.614,-0.06,2,2,3.858,0.251,1,138.196,2,4,-0.033,0,5.928,1.522,9.267,4.265,10.046,10.046,2.799,3,-0.076,5,6.7,0.446,3.953,3.953,0.454,3.778,0.0,0.0,6.528,2.377,0.0,2.851,3.959,8.22,8.22,-0.069,2,1,3.772,0.399,1.233,6.455
4.77,1,1,0,0,0,0,0,0,0,0,105.471,0,1,1,0,0,0,1.697,-0.178,7,0,3.938,0.211,2,74.163,10,2,-0.099,2,5.929,1.507,9.004,4.258,9.611,9.611,2.954,1,-0.058,5,5.8,0.493,3.952,3.952,0.478,3.778,0.0,0.0,6.472,2.105,0.0,2.826,3.862,8.224,8.224,-0.069,0,0,3.791,0.33,1.17,6.342
5.268,0,0,2,4,1,1,1,1,1,1,75.81,1,0,0,1,2,1,1.571,0.021,2,0,3.778,0.19,1,93.883,4,2,0.011,0,5.547,1.499,9.238,4.176,8.22,8.22,2.691,3,-0.082,4,7.1,0.473,3.637,3.637,0.44,3.569,0.0,0.0,5.928,2.377,0.0,2.696,3.744,7.364,7.364,0.081,2,1,3.414,0.365,1.142,6.1
6.523,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,1,0,1.59,-0.075,1,0,4.456,0.372,1,113.051,4,2,-0.111,0,6.182,1.565,9.266,4.419,11.672,11.672,2.732,1,-0.087,4,4.5,0.41,3.952,3.952,0.41,3.778,0.0,0.0,7.112,2.612,0.0,2.858,4.156,8.588,8.588,-0.043,2,1,3.777,-0.166,1.284,6.181
5.301,0,0,2,4,1,1,1,1,1,1,66.334,1,0,0,1,1,1,1.594,-0.012,1,0,3.778,0.221,1,93.883,4,2,-0.052,0,5.928,1.51,9.293,4.235,8.344,8.344,2.808,3,-0.012,4,7.1,0.47,3.876,3.876,0.415,3.571,0.0,0.0,5.954,2.377,0.0,2.696,3.75,8.219,8.219,0.038,2,1,3.771,0.377,1.107,6.033
5.0,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,0,0,1.604,-0.015,0,0,3.778,0.218,1,113.051,4,2,-0.124,0,5.928,1.528,9.246,4.255,8.589,8.589,2.687,1,-0.05,4,4.9,0.5,3.951,3.951,0.475,3.749,0.0,0.0,6.183,2.375,0.0,2.715,3.764,8.204,8.204,-0.058,2,1,3.414,-0.18,1.209,6.081
5.097,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.673,-0.147,4,2,3.975,0.194,2,99.307,4,4,-0.117,1,5.929,1.496,8.895,4.266,10.154,10.154,2.882,3,-0.026,5,8.0,0.481,3.953,3.953,0.502,3.778,0.0,0.0,6.553,2.109,0.0,2.892,3.984,8.222,8.222,-0.143,0,0,3.791,1.032,1.241,6.447
5.444,0,0,3,4,1,1,1,1,1,1,72.141,1,0,0,2,2,0,1.631,0.077,2,0,3.778,0.255,1,113.051,4,2,-0.137,0,5.928,1.529,9.327,4.256,9.045,9.045,2.829,1,-0.109,3,4.9,0.502,3.952,3.952,0.458,3.752,0.0,0.0,6.314,2.375,0.0,2.717,3.776,8.217,8.217,-0.086,2,1,3.774,-0.162,1.18,6.213
4.886,1,1,0,0,0,0,0,0,0,0,109.139,0,1,1,0,0,1,1.658,-0.082,5,0,3.778,0.128,2,54.995,6,2,-0.049,1,5.929,1.486,8.891,4.236,8.35,8.35,2.881,3,0.002,5,9.1,0.555,3.876,3.876,0.506,3.681,0.0,0.0,5.955,2.11,0.0,2.701,3.751,8.222,8.222,0.026,0,0,3.791,1.059,1.116,6.076
5.638,0,0,2,2,1,1,1,1,1,1,43.712,1,0,0,2,0,0,1.646,0.097,0,0,4.727,0.191,1,113.051,2,2,-0.265,0,7.247,1.629,8.912,4.809,15.233,15.233,2.734,1,-0.077,2,4.7,0.616,3.957,3.957,0.68,3.881,0.0,0.0,8.344,3.02,0.0,3.177,4.509,11.148,11.148,-0.279,2,1,4.198,-0.031,1.442,6.816
5.678,0,0,4,3,1,1,1,1,1,1,70.314,1,0,0,2,0,0,1.591,0.008,0,0,3.778,0.263,1,113.051,3,2,-0.139,0,5.928,1.531,9.216,4.255,8.584,8.584,2.687,1,-0.068,4,5.3,0.463,3.951,3.951,0.443,3.749,0.0,0.0,6.183,2.375,0.992,2.712,3.761,8.203,8.203,-0.088,2,1,3.414,-0.136,1.098,5.939
5.097,1,1,0,0,0,0,0,0,0,0,133.899,0,1,1,0,0,1,1.669,-0.044,6,1,3.937,0.169,2,102.719,7,3,-0.12,2,6.036,1.506,9.017,4.339,9.958,9.958,2.79,1,-0.088,4,8.3,0.556,4.173,4.173,0.522,3.778,4.162,0.0,6.51,2.105,0.0,2.853,3.898,8.313,8.313,-0.073,0,0,3.791,0.342,1.274,6.26
5.201,0,0,3,4,1,1,1,1,1,1,75.81,1,0,0,0,1,2,1.605,-0.116,1,1,3.779,0.275,1,68.738,4,3,-0.164,0,5.928,1.499,9.326,4.258,9.144,9.144,2.729,1,-0.084,3,7.3,0.454,3.952,3.952,0.362,3.769,0.0,0.0,6.259,2.612,0.0,2.758,3.823,8.214,8.214,-0.091,2,1,3.466,-0.18,1.128,6.225
5.301,0,0,2,2,1,2,0,3,3,0,135.758,1,1,0,2,3,5,1.525,0.224,6,1,3.683,0.243,3,162.65,7,0,-0.179,2,6.044,1.46,18.982,4.117,9.429,9.429,3.171,1,-0.109,6,4.1,0.577,3.65,3.65,0.466,3.574,0.0,0.0,6.312,1.984,0.0,2.879,3.905,8.661,8.661,-0.186,0,0,4.082,2.266,1.069,6.551
6.745,0,0,3,4,0,2,0,1,1,2,84.513,0,1,0,3,0,5,1.583,0.23,6,0,3.886,0.093,6,169.511,5,0,-0.179,7,6.632,1.505,11.218,4.215,10.559,10.559,3.249,3,-0.046,6,6.0,0.567,3.435,3.435,0.517,3.733,0.0,0.0,6.638,1.997,0.0,2.987,4.063,10.533,10.533,-0.228,0,0,4.464,1.462,1.035,6.999
4.699,0,0,3,3,0,2,0,1,1,2,84.513,0,1,0,2,0,7,1.615,0.221,8,0,3.895,0.09,8,199.361,5,0,-0.168,7,6.632,1.531,11.153,4.264,10.794,10.794,3.303,6,-0.022,7,7.1,0.569,3.434,3.434,0.523,3.752,0.0,0.0,6.715,2.015,0.0,3.031,4.11,10.533,10.533,-0.218,0,0,4.841,2.178,1.126,6.999
4.347,0,0,3,4,0,2,0,1,1,2,84.513,0,1,0,3,0,8,1.655,0.209,4,0,3.939,0.099,7,201.847,4,0,-0.177,4,6.638,1.507,11.348,4.261,10.856,10.856,3.339,4,-0.072,4,5.6,0.631,3.435,3.435,0.528,3.85,0.0,0.0,6.727,2.017,0.0,3.025,4.105,10.559,10.559,-0.214,0,0,4.77,1.452,1.052,7.057
6.854,0,0,4,3,1,3,0,2,2,2,149.905,1,1,1,3,2,3,1.52,0.16,5,4,3.742,0.159,5,173.845,6,2,-0.043,2,5.951,1.464,20.441,4.216,10.558,10.558,3.335,1,-0.052,8,4.6,0.578,3.448,3.448,0.499,3.684,0.0,0.0,6.638,2.204,0.0,2.985,4.064,8.306,8.306,-0.052,1,0,4.432,2.133,1.047,6.789
5.046,0,0,3,4,0,2,0,1,1,2,84.513,0,1,0,3,0,4,1.608,0.232,3,0,3.865,0.093,5,139.662,4,0,-0.183,4,6.627,1.528,10.992,4.212,10.546,10.546,3.084,0,-0.02,4,6.2,0.58,3.434,3.434,0.521,3.632,0.0,0.0,6.637,1.983,0.0,2.977,4.056,10.519,10.519,-0.22,0,0,4.241,0.899,0.994,6.753
4.398,0,0,3,4,0,2,0,1,1,2,127.196,0,2,2,3,0,6,1.582,0.212,7,1,3.895,0.07,6,169.511,6,0,-0.151,7,6.638,1.501,21.363,4.266,10.854,10.854,3.27,4,-0.022,9,5.7,0.602,3.435,3.435,0.557,3.748,0.0,0.0,6.728,1.997,0.0,3.032,4.109,10.559,10.559,-0.192,0,0,4.727,2.156,1.069,7.148
6.921,0,0,3,4,0,2,0,1,1,2,84.513,0,1,0,3,0,5,1.583,0.23,6,0,3.886,0.093,6,169.511,5,0,-0.179,7,6.632,1.505,11.218,4.215,10.559,10.559,3.249,3,-0.046,6,6.0,0.567,3.435,3.435,0.517,3.733,0.0,0.0,6.638,1.997,0.0,2.987,4.063,10.533,10.533,-0.228,0,0,4.464,1.462,1.035,6.999
4.921,0,0,3,3,0,2,0,1,1,2,84.513,0,1,0,2,0,7,1.615,0.221,8,0,3.895,0.09,8,199.361,5,0,-0.168,7,6.632,1.531,11.153,4.264,10.794,10.794,3.303,6,-0.022,7,7.1,0.569,3.434,3.434,0.523,3.752,0.0,0.0,6.715,2.015,0.0,3.031,4.11,10.533,10.533,-0.218,0,0,4.841,2.178,1.126,6.999
5.523,0,0,3,4,0,2,0,1,1,2,84.513,0,1,0,3,0,8,1.655,0.209,4,0,3.939,0.099,7,201.847,4,0,-0.177,4,6.638,1.507,11.348,4.261,10.856,10.856,3.339,4,-0.072,4,5.6,0.631,3.435,3.435,0.528,3.85,0.0,0.0,6.727,2.017,0.0,3.025,4.105,10.559,10.559,-0.214,0,0,4.77,1.452,1.052,7.057
8.097,0,0,4,3,1,3,0,2,2,2,149.905,1,1,1,3,2,3,1.52,0.16,5,4,3.742,0.159,5,173.845,6,2,-0.043,2,5.951,1.464,20.441,4.216,10.558,10.558,3.335,1,-0.052,8,4.6,0.578,3.448,3.448,0.499,3.684,0.0,0.0,6.638,2.204,0.0,2.985,4.064,8.306,8.306,-0.052,1,0,4.432,2.133,1.047,6.789
