pXC50,nCsp3,nF,nN,nHet,Si,nAT,nBT,Se,nH,nX,X.,nCsp2,Sp,SCBO,Mv,nBO,nSK,Mi,RBN
7.495,2,0,3,5,40.405,36,38,36.262,15,0,0.0,14,24.495,32.0,0.657,23,21,1.122,3
7.222,1,0,3,5,36.99,33,35,33.378,13,0,0.0,14,22.733,31.0,0.671,22,20,1.121,3
8.523,0,0,3,5,32.309,29,31,29.491,10,1,3.4,14,21.375,30.0,0.714,21,19,1.114,2
6.866,3,0,3,7,46.239,41,43,41.8,17,0,0.0,14,27.165,35.0,0.649,26,24,1.128,5
8.076,0,0,3,5,32.309,29,31,29.491,10,1,3.4,14,21.375,30.0,0.714,21,19,1.114,2
6.456,1,3,3,7,25.969,22,23,23.822,6,3,13.6,8,14.568,23.0,0.705,17,16,1.18,1
8.796,1,0,3,5,36.99,33,35,33.378,13,0,0.0,14,22.733,31.0,0.671,22,20,1.121,3
7.975,1,0,3,5,36.99,33,35,33.378,13,0,0.0,14,22.733,31.0,0.671,22,20,1.121,3
8.268,2,0,3,6,41.614,37,39,37.589,15,0,0.0,14,24.949,33.0,0.659,24,22,1.125,4
8.046,0,1,3,5,32.705,29,31,29.68,10,1,3.4,14,20.455,30.0,0.699,21,19,1.128,2
6.62,0,0,3,4,21.535,19,20,19.4,7,0,0.0,8,12.994,19.0,0.675,13,12,1.133,1
8.092,2,0,3,6,42.614,38,40,38.589,15,0,0.0,15,25.949,35.0,0.668,25,23,1.121,5
7.886,1,0,3,6,38.199,34,36,34.705,13,0,0.0,14,23.188,32.0,0.672,23,21,1.124,3
8.222,1,0,3,5,36.99,33,35,33.378,13,0,0.0,14,22.733,31.0,0.671,22,20,1.121,3
8.027,2,0,3,6,46.03,41,43,41.473,17,0,0.0,16,27.71,36.0,0.656,26,24,1.123,6
7.959,0,0,4,5,34.863,31,33,31.269,12,0,0.0,14,21.523,30.0,0.674,21,19,1.125,2
4.602,0,0,3,6,21.538,19,20,20.171,5,0,0.0,8,13.142,22.5,0.723,15,14,1.134,1
7.538,6,0,2,3,51.358,46,49,45.367,22,0,0.0,15,31.08,36.0,0.631,27,24,1.116,2
8.155,3,0,2,3,41.112,37,40,36.716,16,0,0.0,15,25.796,33.0,0.661,24,21,1.111,1
8.222,3,0,2,4,42.322,38,41,38.043,16,0,0.0,15,26.25,34.0,0.662,25,22,1.114,2
7.495,3,0,2,4,42.032,38,41,37.793,16,0,0.0,15,27.443,34.0,0.675,25,22,1.106,2
8.301,2,0,2,4,34.202,31,34,31.025,12,0,0.0,13,22.921,30.5,0.696,22,19,1.103,1
8.301,1,0,2,3,34.282,31,34,30.949,12,0,0.0,15,22.273,31.0,0.69,22,19,1.106,1
7.244,2,0,2,3,37.408,34,37,33.582,14,0,0.0,15,25.228,32.0,0.688,23,20,1.1,1
8.097,5,0,3,4,50.441,45,48,44.585,21,0,0.0,15,30.324,36.0,0.634,27,24,1.121,3
7.959,2,0,3,4,27.95,25,27,25.284,9,0,0.0,9,17.756,26.0,0.694,18,16,1.118,0
7.495,5,0,3,5,41.82,37,39,37.145,17,0,0.0,10,24.256,29.0,0.627,22,20,1.13,2
5.615,0,0,0,3,30.704,28,30,28.4,10,0,0.0,15,20.171,28.0,0.706,20,18,1.097,1
8.222,2,0,2,3,37.697,34,37,33.833,14,0,0.0,15,24.034,32.0,0.674,23,20,1.109,1
7.854,3,0,3,5,34.99,31,33,31.378,13,0,0.0,10,20.733,27.0,0.649,20,18,1.129,1
8.0,3,0,2,4,31.491,28,30,28.276,12,0,0.0,9,18.727,24.0,0.647,18,16,1.125,1
6.58,2,0,2,5,41.116,37,40,37.487,14,0,0.0,16,25.943,36.0,0.685,26,23,1.111,2
8.301,5,0,3,4,50.441,45,48,44.585,21,0,0.0,15,30.324,36.0,0.634,27,24,1.121,3
8.222,3,0,3,4,50.026,45,49,44.702,19,0,0.0,19,31.563,41.5,0.667,30,26,1.112,3
8.301,2,0,2,3,44.112,40,44,39.716,16,0,0.0,19,28.796,39.5,0.686,28,24,1.103,1
8.301,4,0,3,4,47.026,42,45,41.702,19,0,0.0,15,28.563,35.0,0.643,26,23,1.12,3
5.374,0,0,0,6,34.332,31,33,32.382,10,0,0.0,15,21.534,31.0,0.707,23,21,1.107,1
6.31,2,0,2,3,25.867,23,24,23.065,10,0,0.0,8,15.511,19.5,0.646,14,13,1.125,0
4.721,3,0,6,9,59.235,53,57,53.527,20,0,0.0,21,37.921,51.0,0.687,37,33,1.118,7
5.387,0,0,1,4,34.203,31,33,31.502,11,0,0.0,16,22.176,31.5,0.703,22,20,1.103,3
7.921,1,0,6,7,40.445,36,40,36.589,12,0,0.0,16,25.773,39.5,0.706,28,24,1.123,2
6.155,0,0,1,5,26.292,24,26,24.811,7,0,0.0,12,18.301,26.5,0.747,19,17,1.096,1
7.222,0,0,2,5,27.581,25,27,25.585,8,0,0.0,12,18.852,26.5,0.73,19,17,1.103,1
6.398,1,0,1,4,27.498,25,27,25.367,9,0,0.0,11,18.608,24.5,0.71,18,16,1.1,1
4.0,1,0,0,4,35.329,32,34,32.611,12,0,0.0,15,22.386,30.0,0.688,22,20,1.104,2
4.596,1,0,0,2,32.91,30,32,29.956,12,0,0.0,15,21.477,28.0,0.686,20,18,1.097,1
4.301,10,0,2,4,51.567,46,50,45.694,22,0,0.0,10,30.534,34.0,0.625,28,24,1.121,2
4.971,1,3,2,7,39.926,35,37,36.698,11,3,8.6,16,24.301,35.0,0.708,26,24,1.141,2
4.873,1,0,2,4,38.907,35,37,35.16,14,0,0.0,16,24.489,32.0,0.675,23,21,1.112,2
4.745,0,1,2,5,35.831,32,34,32.789,11,1,3.1,16,22.665,32.0,0.703,23,21,1.12,2
4.951,0,0,2,5,35.435,32,34,32.6,11,1,3.1,16,23.585,32.0,0.717,23,21,1.107,2
5.119,0,0,2,5,35.212,32,34,32.345,11,1,3.1,16,25.387,32.0,0.732,23,21,1.1,2
4.857,0,0,2,4,35.491,32,34,32.276,12,0,0.0,16,22.727,31.0,0.691,22,20,1.109,2
4.5,1,0,2,4,38.907,35,37,35.16,14,0,0.0,16,24.489,32.0,0.675,23,21,1.112,2
5.523,0,0,3,7,37.993,34,36,35.149,11,0,0.0,16,23.881,36.0,0.707,25,23,1.117,3
5.347,0,0,2,5,35.212,32,34,32.345,11,1,3.1,16,25.387,32.0,0.732,23,21,1.1,2
4.65,0,0,2,5,31.996,29,31,29.469,10,0,0.0,14,21.614,29.5,0.716,21,19,1.103,2
4.097,6,0,2,4,42.737,38,40,37.927,18,0,0.0,10,25.012,28.0,0.623,22,20,1.125,2
4.0,4,0,2,4,38.322,34,35,34.043,16,0,0.0,10,22.25,25.0,0.622,19,18,1.127,2
4.78,1,0,2,4,38.907,35,37,35.16,14,0,0.0,16,24.489,32.0,0.675,23,21,1.112,2
4.744,0,0,1,4,23.372,21,22,21.735,7,0,0.0,10,14.653,21.0,0.702,15,14,1.113,1
4.959,0,0,1,4,27.787,25,26,25.618,9,0,0.0,12,17.415,24.0,0.691,17,16,1.111,2
5.066,2,0,1,4,30.203,27,28,27.502,11,0,0.0,10,18.176,23.0,0.659,17,16,1.119,3
5.796,1,0,2,5,29.286,26,27,26.72,10,0,0.0,10,17.421,23.0,0.665,17,16,1.126,3
6.26,2,0,2,5,32.701,29,30,29.604,12,0,0.0,10,19.182,24.0,0.649,18,17,1.128,3
7.523,0,0,3,5,33.309,30,32,30.491,10,1,3.3,15,22.375,31.5,0.724,22,20,1.11,2
7.886,7,1,3,6,58.555,52,55,52.189,23,2,3.8,16,35.642,41.0,0.65,32,29,1.126,6
4.108,4,0,1,8,55.265,50,52,50.909,19,4,8.0,19,38.165,43.0,0.713,33,31,1.105,5
4.18,0,0,1,6,50.602,46,49,46.804,16,1,2.2,24,33.773,46.5,0.716,33,30,1.1,5
4.523,8,0,3,5,52.066,46,48,45.796,23,0,0.0,10,29.54,31.0,0.604,25,23,1.132,6
7.432,6,1,3,5,55.196,49,52,48.981,22,1,2.0,16,33.023,39.5,0.641,30,27,1.126,5
7.638,6,1,3,5,55.196,49,52,48.981,22,1,2.0,16,33.023,39.5,0.641,30,27,1.126,5
7.569,4,0,2,3,44.528,40,43,39.6,18,0,0.0,15,27.557,34.0,0.649,25,22,1.113,3
8.222,6,0,4,5,55.939,50,53,49.687,22,0,0.0,16,34.33,42.5,0.651,31,28,1.119,5
7.569,6,0,3,5,54.8,49,52,48.792,22,1,2.0,16,33.944,39.5,0.651,30,27,1.118,5
7.409,6,0,3,6,54.744,49,52,49.116,21,2,4.1,16,34.801,40.5,0.667,31,28,1.117,5
7.921,8,0,3,4,59.272,53,57,52.352,25,0,0.0,16,35.847,41.5,0.633,32,28,1.118,4
6.602,6,0,3,5,54.8,49,52,48.792,22,1,2.0,16,33.944,39.5,0.651,30,27,1.118,5
6.166,6,0,3,5,54.8,49,52,48.792,22,1,2.0,16,33.944,39.0,0.651,30,27,1.118,5
8.125,2,0,3,6,42.349,38,41,38.585,14,1,2.6,16,27.352,37.0,0.697,27,24,1.114,2
6.0,7,0,3,5,59.481,53,56,52.68,25,0,0.0,16,35.302,40.5,0.628,31,28,1.122,6
7.06,4,1,4,7,47.658,42,45,42.76,17,1,2.4,14,28.199,36.0,0.657,28,25,1.135,2
4.721,5,0,5,10,58.571,52,55,52.963,21,0,0.0,16,35.585,45.0,0.661,34,31,1.126,8
7.77,7,0,3,4,58.272,52,55,51.352,25,0,0.0,16,34.847,39.5,0.626,30,27,1.121,5
7.18,8,0,3,4,61.687,55,58,54.236,27,0,0.0,16,36.608,40.5,0.62,31,28,1.122,6
6.699,2,1,3,6,42.745,38,41,38.774,14,1,2.6,16,26.432,37.0,0.685,27,24,1.125,2
7.102,3,0,2,4,31.491,28,30,28.276,12,0,0.0,9,18.727,24.0,0.647,18,16,1.125,1
7.658,3,1,2,4,41.452,37,40,37.229,15,1,2.7,15,25.733,34.0,0.671,25,22,1.12,1
6.472,2,0,2,4,39.907,36,39,36.16,14,0,0.0,16,25.489,35.0,0.684,25,22,1.109,2
6.218,3,0,2,4,32.491,29,31,29.276,12,0,0.0,10,19.727,26.0,0.659,19,17,1.12,1
6.77,7,0,3,5,59.481,53,56,52.68,25,0,0.0,16,35.302,40.5,0.628,31,28,1.122,6
6.754,2,0,2,4,29.076,26,28,26.393,10,0,0.0,10,17.966,25.0,0.676,18,16,1.118,1
6.523,1,0,2,5,34.286,31,34,31.72,10,0,0.0,15,22.421,34.5,0.719,24,21,1.106,1
6.914,3,0,2,3,30.282,27,29,26.949,12,0,0.0,9,18.273,23.0,0.644,17,15,1.122,0
6.42,3,0,2,4,42.322,38,41,38.043,16,0,0.0,15,26.25,34.0,0.662,25,22,1.114,2
7.42,2,0,3,5,42.405,38,41,38.262,15,0,0.0,16,26.495,36.0,0.675,26,23,1.116,2
7.102,4,3,2,6,45.547,40,43,41.138,15,3,7.5,15,27.37,37.0,0.678,28,25,1.139,1
8.041,5,0,3,4,50.441,45,48,44.585,21,0,0.0,15,30.324,36.0,0.634,27,24,1.121,3
7.367,2,0,2,5,39.851,36,39,36.484,13,1,2.8,16,26.347,36.0,0.707,26,23,1.107,2
7.387,3,0,2,3,41.112,37,40,36.716,16,0,0.0,15,25.796,33.0,0.661,24,21,1.111,1
5.959,8,0,3,4,46.441,41,43,40.585,21,0,0.0,8,26.324,27.5,0.598,22,20,1.133,4
7.921,6,0,4,5,65.977,59,63,58.396,27,0,0.0,21,40.233,48.5,0.642,36,32,1.118,6
8.167,3,0,3,4,50.026,45,49,44.702,19,0,0.0,19,31.563,41.5,0.667,30,26,1.112,3
6.517,2,0,2,4,26.587,24,26,24.134,9,1,4.2,9,19.171,23.0,0.716,17,15,1.108,0
6.046,3,0,2,5,33.701,30,32,30.604,12,0,0.0,10,20.182,27.0,0.661,20,18,1.123,2
6.0,7,0,2,3,55.773,50,53,49.251,24,0,0.0,16,33.841,38.5,0.631,29,26,1.115,5
7.268,2,1,3,5,39.12,35,38,35.563,12,1,2.9,15,25.216,37.0,0.708,26,23,1.118,1
7.854,7,0,3,4,58.272,52,55,51.352,25,0,0.0,16,34.847,39.5,0.626,30,27,1.121,5
7.409,3,0,3,5,34.99,31,33,31.378,13,0,0.0,10,20.733,27.0,0.649,20,18,1.129,1
7.149,7,0,4,5,56.355,50,53,49.571,24,0,0.0,14,33.091,37.5,0.621,29,26,1.127,5
7.845,2,0,2,3,37.697,34,37,33.833,14,0,0.0,15,24.034,32.0,0.674,23,20,1.109,1
6.435,8,1,4,10,65.658,58,62,59.025,25,1,1.7,15,38.801,47.5,0.643,37,33,1.132,7
8.027,2,0,3,5,31.575,28,30,28.494,11,0,0.0,10,18.972,26.0,0.664,19,17,1.128,1
4.721,4,0,5,9,53.946,48,51,48.753,19,0,0.0,16,33.37,43.0,0.669,32,29,1.124,7
7.398,8,0,3,8,62.82,56,60,56.411,25,0,0.0,15,37.858,45.0,0.641,35,31,1.122,6
