pXC50,SpMin3_Bh.i.,SpMin4_Bh.m.,SpMin6_Bh.v.,ATS2i,SpMin4_Bh.e.,SpMin5_Bh.i.,SpMin3_Bh.e.,SpMax5_Bh.i.,SpMin4_Bh.v.,SpMin6_Bh.m.,SpMin8_Bh.e.,SpMin4_Bh.i.,SpMin3_Bh.p.,Mp,SpMax5_Bh.p.,SpMin5_Bh.v.,SpMax5_Bh.e.,SpMax5_Bh.v.,TIC2,SpMin4_Bh.s.,TIC3,SpMax3_Bh.p.,ATS1i,SpMin3_Bh.v.,SpMin5_Bh.e.,SpMax3_Bh.v.,MDDD,SpMin8_Bh.m.,CSI,IDMT,SpMin6_Bh.e.,Chi1_EA.ed.,SpMin5_Bh.p.,Si,Eta_betaS,TIC1,AECC,nBT,SpMin8_Bh.v.,ATS2e,UNIP,ECC,Eig11_EA.bo.,ATS5i,Xu,Chi1_EA.ri.,nH,RDCHI,SpMin6_Bh.p.,ATS3e,P_VSA_m_2,SpMin4_Bh.p.,ATS3i,SpMax6_Bh.i.,VAR,ON1,SpMax4_Bh.i.,LPRS,ON0V,Chi0_EA.ed.,ISIZ,nAT,SpMin8_Bh.i.,SpMin3_Bh.s.,ATS1e,SpMin7_Bh.v.,ON1V,CIC0,Sv,SssNH
4.301,1.229,1.513,1.429,4.671,1.224,1.064,1.302,3.206,1.443,1.449,0.658,1.15,1.543,0.608,2.941,1.429,3.111,2.91,153.866,0.825,159.376,3.149,3.898,1.567,1.153,3.168,8.125,1.031,210.0,3098.8,1.153,2.904,1.376,44.649,12.0,97.268,5.706,41,1.01,4.448,35,97.0,-0.95,5.18,16.316,9.906,22,2.811,1.376,4.816,83.964,1.437,5.063,3.206,38,3.708,3.314,67.104,7.15,6.47,206.131,39,0.569,0.867,3.753,1.121,2.696,3.871,21.784,0.0
4.301,1.853,1.789,1.517,4.857,1.548,1.335,1.881,3.524,1.8,1.515,1.066,1.477,1.966,0.67,3.241,1.642,3.452,3.247,249.524,1.008,280.253,3.821,4.272,1.98,1.404,3.817,35.617,1.309,722.0,23931.8,1.305,6.288,1.644,65.268,19.75,199.266,10.871,61,1.267,4.672,120,337.0,1.5,5.249,28.985,17.313,27,4.241,1.515,4.945,232.002,1.798,5.168,3.416,133,7.111,3.674,159.967,10.133,13.375,339.763,58,1.01,1.126,4.143,1.383,3.46,4.415,36.617,6.608
4.301,1.349,1.332,1.065,4.238,1.214,0.92,1.443,3.114,1.481,1.1,0.581,1.178,1.757,0.734,2.827,1.263,3.031,2.835,146.49,0.276,155.245,3.167,3.743,1.729,1.002,3.211,14.736,0.828,447.0,8540.11,0.868,3.96,1.251,36.333,15.0,128.881,9.455,34,0.88,4.088,76,208.0,-0.154,4.326,21.689,12.68,10,3.415,1.051,4.243,163.786,1.526,4.388,2.956,68,4.806,3.359,101.428,6.169,8.459,160.0,32,0.481,0.691,3.63,1.011,1.668,3.089,23.079,5.279
4.481,1.605,1.676,1.59,4.777,1.517,1.46,1.642,3.52,1.716,1.648,0.934,1.481,1.818,0.693,3.409,1.619,3.488,3.404,245.97,0.848,268.499,3.54,4.196,1.811,1.492,3.542,27.895,1.317,853.0,26457.3,1.351,5.634,1.6,59.986,20.5,195.452,11.969,58,1.308,4.637,141,383.0,1.897,5.119,29.723,18.081,22,4.166,1.55,4.928,186.968,1.722,5.075,3.406,124,6.667,3.628,167.462,10.95,11.888,310.764,54,0.81,0.976,4.099,1.37,3.235,4.265,36.17,3.429
4.301,1.676,1.617,1.529,4.914,1.395,1.277,1.734,3.434,1.591,1.45,1.028,1.354,1.916,0.641,3.201,1.58,3.373,3.226,263.681,0.921,275.191,3.619,4.283,1.931,1.329,3.622,23.649,1.417,556.0,18222.6,1.307,4.976,1.568,65.059,20.25,202.857,8.733,60,1.323,4.718,97,262.0,1.074,5.439,27.032,16.789,27,3.682,1.555,5.034,217.528,1.595,5.245,3.392,98,6.472,3.56,148.056,11.117,10.989,332.475,57,0.937,1.17,4.144,1.386,3.508,4.25,34.847,0.0
4.418,1.656,1.689,1.228,4.607,1.453,1.064,1.719,3.206,1.659,1.2,0.863,1.402,1.884,0.69,2.941,1.429,3.111,2.91,170.996,0.939,206.215,3.585,3.983,1.895,1.153,3.587,22.451,1.122,599.0,12445.7,0.997,4.57,1.376,49.539,15.0,137.586,11.667,46,1.081,4.425,99,280.0,0.589,5.029,24.013,13.539,20,3.736,1.237,4.723,118.374,1.637,4.944,3.123,92,5.333,3.523,116.84,7.769,9.641,240.215,44,0.806,1.032,3.866,1.107,2.719,3.844,28.434,0.0
4.716,1.628,1.64,1.429,4.716,1.458,1.131,1.693,3.315,1.615,1.513,0.89,1.414,1.877,0.664,3.05,1.533,3.249,3.06,212.366,0.825,244.366,3.55,4.111,1.884,1.198,3.556,22.485,1.145,597.0,14567.1,1.181,4.966,1.513,55.066,17.25,164.486,10.462,52,1.123,4.534,103,272.0,1.0,5.196,25.183,14.959,23,3.85,1.409,4.778,145.206,1.599,4.981,3.285,84,5.806,3.509,127.786,8.967,10.703,275.121,49,0.829,1.029,3.993,1.412,2.883,4.144,30.762,0.0
4.301,1.651,1.513,1.157,4.503,1.412,1.064,1.7,3.206,1.524,1.181,0.886,1.396,1.896,0.734,3.087,1.429,3.111,2.961,150.738,0.825,175.267,3.627,3.895,1.903,1.153,3.574,15.887,1.029,367.0,8349.65,0.974,4.537,1.376,44.381,15.0,127.818,7.217,43,1.05,4.361,60,166.0,1.0,4.796,21.814,13.589,17,3.456,1.127,4.589,118.714,1.412,4.775,3.101,62,5.028,3.446,103.822,7.1,9.585,212.877,40,0.821,1.087,3.797,1.107,2.397,3.574,26.798,0.0
4.301,1.572,1.523,1.379,4.63,1.269,1.064,1.61,3.206,1.507,1.402,0.815,1.207,1.815,0.657,2.941,1.429,3.13,2.933,182.6,0.825,199.065,3.516,4.013,1.792,1.153,3.538,18.299,1.027,479.0,9985.33,1.099,4.392,1.376,48.817,16.5,153.662,9.083,46,1.111,4.453,77,218.0,0.335,4.927,22.842,13.709,19,3.493,1.362,4.766,152.349,1.504,4.985,3.206,72,5.111,3.39,111.355,8.017,9.219,233.329,43,0.786,0.868,3.884,1.3,2.825,3.809,27.224,2.716
4.301,1.475,1.435,1.169,4.38,1.196,1.001,1.538,3.274,1.472,1.181,0.833,1.128,1.79,0.704,2.92,1.348,3.205,2.945,160.998,0.464,168.608,3.312,3.851,1.771,1.075,3.342,19.202,0.967,505.0,10090.0,0.941,4.321,1.362,40.911,16.0,143.388,10.261,38,1.058,4.215,81,236.0,0.463,4.481,22.762,13.176,13,3.535,1.205,4.393,160.321,1.489,4.565,3.031,86,5.083,3.405,108.4,6.776,9.116,186.117,36,0.787,0.789,3.729,1.107,1.926,3.303,24.69,5.15
4.301,1.794,1.374,1.13,4.372,1.397,1.096,1.824,3.201,1.557,1.181,0.883,1.359,1.905,0.746,3.053,1.273,3.175,3.059,146.862,0.677,178.968,3.753,3.926,1.926,1.13,3.743,20.445,1.13,517.0,12510.2,0.886,4.753,1.179,46.381,14.75,117.069,9.72,44,1.107,4.255,85,243.0,1.381,4.73,24.2,13.483,17,3.675,1.131,4.549,166.018,1.539,4.713,2.969,94,5.569,3.508,120.252,7.133,10.114,226.477,42,0.821,1.01,3.825,1.107,2.213,3.671,28.798,3.163
4.301,1.064,1.237,1.132,4.198,1.088,0.864,1.153,3.153,1.394,0.937,0.172,1.047,1.501,0.673,2.902,1.155,3.079,2.907,110.606,0.267,112.606,2.982,3.622,1.429,0.908,3.032,8.602,0.785,236.0,3295.68,0.674,3.223,1.212,32.017,12.25,98.606,6.353,30,0.65,4.041,40,108.0,-1.0,4.458,16.622,10.136,11,2.916,1.154,4.218,111.389,1.376,4.405,2.85,38,3.722,3.206,68.217,4.993,6.842,134.606,28,0.048,0.825,3.515,0.921,1.619,2.903,18.45,0.0
4.301,1.698,1.704,1.632,4.868,1.647,1.52,1.747,3.699,1.795,1.591,1.223,1.631,1.931,0.697,3.549,1.696,3.656,3.506,282.347,0.926,313.566,3.75,4.286,1.942,1.54,3.769,34.382,1.452,723.0,29933.8,1.452,6.59,1.674,65.903,23.0,220.028,9.514,63,1.444,4.727,123,333.0,1.982,5.195,31.082,20.115,24,4.258,1.627,4.955,211.724,1.792,5.132,3.509,150,7.611,3.844,182.707,11.35,13.95,347.076,59,1.178,1.129,4.192,1.568,3.726,4.208,39.4,2.793
4.301,1.605,1.483,1.173,4.291,1.328,0.941,1.635,3.165,1.54,1.209,0.737,1.284,1.777,0.702,2.865,1.283,3.081,2.88,152.22,0.469,184.75,3.557,3.833,1.771,1.019,3.558,19.565,0.942,549.0,10986.3,0.98,4.55,1.283,41.535,14.0,115.201,11.043,39,0.957,4.157,93,254.0,0.552,4.404,23.202,12.592,14,3.706,1.15,4.411,190.333,1.553,4.603,3.045,71,5.139,3.454,110.495,6.51,9.523,192.75,37,0.697,0.817,3.72,1.08,2.034,3.598,25.323,4.948
4.301,1.295,1.361,0.994,4.029,1.146,0.931,1.326,3.08,1.372,1.023,0.506,1.072,1.555,0.723,2.854,1.2,3.012,2.85,108.117,0.413,123.627,3.243,3.516,1.558,0.994,3.257,9.349,0.687,228.0,3223.29,0.777,3.096,1.186,29.867,11.0,86.466,6.235,29,0.725,3.899,40,106.0,-0.965,4.235,16.458,9.642,10,2.879,0.976,4.059,141.026,1.37,4.21,2.866,42,3.889,3.246,67.746,5.4,6.942,128.382,27,0.438,0.586,3.425,0.888,1.536,3.279,18.865,0.0
4.301,1.383,1.594,1.308,4.353,1.347,0.985,1.462,3.148,1.554,1.417,0.716,1.265,1.704,0.667,2.916,1.308,3.084,2.919,110.896,0.634,122.505,3.302,3.751,1.72,1.043,3.314,9.728,0.923,208.0,3817.94,0.934,3.037,1.239,39.401,11.25,99.286,5.778,36,0.922,4.127,40,104.0,-1.0,4.778,17.204,9.603,17,2.784,1.239,4.277,148.721,1.53,4.446,3.009,42,4.083,3.425,73.277,7.767,6.804,179.525,35,0.656,0.802,3.614,1.21,1.929,3.796,21.752,0.0
4.301,1.63,1.659,1.512,4.747,1.403,1.222,1.689,3.326,1.658,1.556,0.906,1.331,1.869,0.642,2.986,1.571,3.261,3.001,216.764,0.9,248.274,3.649,4.143,1.884,1.276,3.644,26.882,1.209,718.0,16569.0,1.184,4.933,1.591,57.69,17.0,167.935,13.038,53,1.195,4.563,118,339.0,0.54,5.088,25.876,14.4,25,3.965,1.493,4.78,165.85,1.654,4.997,3.296,114,5.944,3.543,131.15,9.45,10.637,289.294,51,0.823,1.062,4.018,1.477,2.882,4.158,31.003,5.802
4.337,1.526,1.602,1.215,4.433,1.426,1.113,1.545,3.292,1.606,1.194,0.886,1.368,1.774,0.692,2.987,1.496,3.234,3.013,166.15,0.671,184.15,3.459,3.887,1.777,1.18,3.477,18.89,1.066,450.0,11021.3,1.032,4.499,1.478,45.369,15.25,132.15,8.6,43,1.107,4.317,73,215.0,0.775,4.744,23.474,13.445,16,3.451,1.26,4.505,138.74,1.605,4.632,3.135,98,5.722,3.491,116.867,8.25,9.969,219.66,41,0.821,0.939,3.815,1.117,2.514,3.952,27.788,0.0
5.537,1.178,1.235,1.03,4.054,1.184,0.86,1.212,2.936,1.375,1.043,0.361,1.124,1.422,0.745,2.813,1.043,2.889,2.774,108.2,0.34,127.851,3.166,3.542,1.47,0.876,3.167,10.259,0.569,270.0,4020.47,0.833,3.306,1.019,31.043,11.0,90.548,6.944,30,0.624,3.94,45,125.0,-0.726,4.172,17.575,10.191,10,2.983,0.99,4.136,101.182,1.417,4.274,2.854,43,3.889,3.256,74.342,5.51,6.982,134.606,28,0.305,0.604,3.461,0.87,1.634,3.09,19.941,0.0
4.301,1.341,1.513,1.205,4.407,1.153,1.014,1.423,3.113,1.429,1.147,0.608,1.064,1.662,0.702,2.941,1.308,3.092,2.91,137.26,0.788,142.015,3.277,3.753,1.686,1.029,3.256,11.778,0.857,287.0,4399.77,0.934,3.268,1.239,39.289,11.5,108.712,7.778,36,0.888,4.206,50,140.0,-0.997,4.561,17.986,10.276,17,2.968,1.192,4.38,74.577,1.376,4.57,3.009,44,4.028,3.206,76.003,6.876,6.984,179.525,35,0.531,0.825,3.634,1.05,2.013,3.417,22.184,0.0
4.301,1.507,1.571,1.088,4.376,1.361,0.849,1.577,3.016,1.598,1.049,0.489,1.289,1.751,0.659,2.746,1.134,2.979,2.789,145.525,0.748,153.525,3.561,3.799,1.793,0.883,3.565,14.818,0.76,369.0,7710.52,0.869,4.037,1.16,40.341,14.75,124.015,7.864,37,0.756,4.231,63,173.0,0.367,4.436,21.206,12.668,13,3.318,1.107,4.511,106.844,1.604,4.7,2.979,60,4.833,3.032,98.992,6.279,8.57,179.525,35,0.442,1.013,3.706,0.907,2.153,3.299,23.31,0.0
4.301,1.519,1.565,1.28,4.385,1.331,1.127,1.558,3.266,1.635,1.177,0.741,1.284,1.748,0.685,3.043,1.414,3.196,3.035,167.724,0.612,191.376,3.465,3.867,1.712,1.19,3.465,16.526,1.006,467.0,9781.06,0.973,4.186,1.396,43.531,14.0,136.828,9.522,41,0.976,4.246,81,219.0,0.172,4.711,22.538,12.512,16,3.494,1.28,4.497,129.987,1.66,4.667,3.1,64,5.056,3.542,107.714,7.35,8.931,206.131,39,0.686,0.884,3.767,1.173,2.311,3.739,25.875,0.0
4.301,1.478,1.513,1.29,4.463,1.236,1.064,1.503,3.206,1.49,1.155,0.798,1.195,1.673,0.657,2.941,1.429,3.173,2.91,170.621,0.784,179.376,3.406,3.882,1.659,1.153,3.419,17.974,1.054,415.0,8850.96,0.973,4.134,1.376,43.95,15.25,146.567,8.565,41,1.043,4.321,71,197.0,0.021,4.927,22.031,12.819,16,3.34,1.376,4.544,88.981,1.501,4.71,3.178,72,5.028,3.348,105.245,7.3,8.817,206.131,39,0.728,0.825,3.794,1.145,2.269,3.631,25.304,0.0
4.301,1.604,1.702,1.364,4.57,1.412,1.07,1.661,3.259,1.65,1.324,0.76,1.339,1.891,0.666,3.017,1.429,3.195,3.028,173.395,0.843,190.905,3.494,3.939,1.892,1.153,3.501,14.009,1.075,361.0,6480.73,1.134,4.114,1.376,45.943,13.75,132.534,7.667,44,1.051,4.391,60,161.0,0.321,4.925,20.237,12.334,20,3.344,1.37,4.617,116.9,1.612,4.837,3.206,56,4.639,3.452,92.184,7.617,8.782,219.66,41,0.694,1.124,3.816,1.157,2.75,3.988,25.499,0.0
4.711,1.525,1.556,1.148,4.262,1.391,1.059,1.537,3.057,1.595,1.088,0.522,1.336,1.728,0.653,2.806,1.269,3.058,2.846,159.853,0.622,172.608,3.305,3.774,1.721,1.058,3.317,17.562,0.925,449.0,8784.05,0.88,3.823,1.315,40.372,13.75,134.201,10.045,37,0.919,4.166,77,221.0,-0.055,4.484,21.789,11.55,14,3.321,1.181,4.394,80.265,1.596,4.504,3.001,82,4.972,3.379,101.967,6.6,8.349,186.117,36,0.494,0.885,3.715,1.042,2.06,3.654,23.691,0.0
4.301,1.274,1.508,1.25,4.312,1.153,0.996,1.335,3.186,1.429,1.215,0.301,1.064,1.629,0.646,2.9,1.28,3.103,2.91,106.851,0.779,124.07,3.183,3.685,1.593,1.048,3.205,7.75,0.785,194.0,2584.31,0.951,2.871,1.27,35.196,10.5,97.241,5.563,33,0.694,4.132,35,89.0,-1.0,4.412,15.46,9.101,15,2.761,1.25,4.477,99.776,1.376,4.719,2.912,30,3.458,3.206,61.658,5.4,6.206,153.58,31,0.175,0.825,3.549,0.883,2.081,3.432,18.94,0.0
5.987,1.216,1.247,0.997,4.091,1.12,0.838,1.247,2.937,1.344,1.004,0.472,1.064,1.539,0.735,2.811,1.107,2.895,2.775,112.475,0.326,128.127,3.176,3.582,1.544,0.886,3.182,12.432,0.626,342.0,5069.94,0.845,3.439,1.062,32.253,12.0,96.824,8.368,31,0.705,3.988,53,159.0,-0.65,4.193,18.768,10.816,10,3.122,0.997,4.143,105.298,1.371,4.264,2.925,62,4.194,3.248,81.444,5.676,7.409,140.881,29,0.442,0.577,3.512,0.966,1.586,3.052,20.655,0.0
4.317,1.812,1.513,1.323,4.551,1.329,1.064,1.854,3.206,1.577,1.275,0.886,1.271,1.953,0.672,2.941,1.429,3.111,2.91,144.176,0.825,178.64,3.663,3.944,1.965,1.153,3.647,17.57,1.157,454.0,8163.58,1.111,4.275,1.376,46.026,14.25,124.831,9.227,44,1.107,4.384,72,203.0,0.1,4.69,21.571,12.693,19,3.5,1.332,4.722,135.027,1.61,4.96,3.093,70,4.764,3.462,100.329,7.233,8.994,219.66,41,0.821,1.046,3.819,1.113,2.726,3.915,25.993,3.359
4.301,1.4,1.614,1.425,4.303,1.383,1.177,1.439,3.225,1.592,1.37,0.719,1.346,1.587,0.743,3.096,1.461,3.146,2.982,143.464,0.617,149.464,3.539,3.763,1.599,1.196,3.513,15.521,0.675,364.0,7599.12,1.128,3.962,1.474,37.913,15.5,123.954,7.727,36,0.825,4.155,64,170.0,0.419,4.509,21.164,12.513,12,3.287,1.423,4.21,134.119,1.586,4.336,2.948,56,4.944,3.452,98.64,6.967,8.676,172.974,34,0.732,0.669,3.673,1.295,1.814,3.186,23.997,0.0
4.301,1.049,1.017,0.402,3.511,0.872,0.476,1.099,2.44,1.046,0.338,0.0,0.83,1.369,0.833,2.356,0.816,2.392,2.224,67.059,0.0,75.059,2.902,3.117,1.315,0.54,2.806,5.669,0.0,152.0,1490.69,0.0,2.482,0.801,19.798,8.0,57.059,5.615,19,0.0,3.446,27,73.0,-2.067,3.267,13.045,7.486,5,2.551,0.247,3.513,85.877,0.997,3.639,2.004,24,2.861,2.871,46.966,3.243,5.17,75.059,18,0.0,0.175,3.061,0.19,0.927,2.089,14.024,0.0
4.301,1.414,1.579,1.468,4.53,1.278,1.17,1.478,3.351,1.54,1.201,0.818,1.22,1.74,0.647,3.102,1.501,3.296,3.116,196.15,0.737,200.15,3.29,3.939,1.754,1.19,3.299,17.539,1.058,412.0,10818.2,1.12,4.448,1.514,46.369,16.75,156.799,7.88,43,1.096,4.409,72,197.0,0.584,4.969,23.317,13.809,16,3.417,1.49,4.573,108.328,1.623,4.716,3.228,85,5.528,3.577,116.458,8.117,9.617,219.66,41,0.78,0.933,3.859,1.283,2.492,3.65,26.734,2.583
5.43,1.163,1.546,0.951,4.132,1.175,1.051,1.227,3.257,1.518,1.004,0.544,1.099,1.558,0.745,2.892,1.366,3.181,2.889,103.168,0.563,105.923,3.006,3.598,1.555,1.129,3.026,12.753,0.304,279.0,5091.41,0.799,3.27,1.352,33.485,12.5,100.413,7.211,31,0.664,4.009,53,137.0,-0.601,4.437,18.716,10.808,11,3.031,0.922,3.943,106.248,1.5,4.005,2.811,43,4.5,3.305,81.493,6.543,7.537,147.207,30,0.542,0.575,3.542,0.941,1.434,2.829,21.023,0.0
4.301,1.436,1.554,1.107,4.283,1.392,0.991,1.476,3.134,1.587,1.181,0.636,1.332,1.613,0.721,2.927,1.251,3.074,2.93,129.754,0.653,156.974,3.385,3.754,1.618,1.044,3.377,13.692,0.857,405.0,6793.88,0.886,4.09,1.24,37.828,13.5,97.701,8.571,37,0.811,4.144,62,180.0,0.0,4.548,20.475,12.263,13,3.387,1.062,4.401,148.363,1.58,4.581,2.925,70,4.528,3.499,93.266,6.21,8.587,172.974,34,0.588,0.727,3.651,0.962,2.015,3.681,23.587,0.0
4.301,1.689,1.587,1.462,4.741,1.283,1.129,1.745,3.315,1.566,1.513,0.994,1.218,1.883,0.641,2.983,1.535,3.249,2.993,205.522,0.825,228.683,3.617,4.112,1.901,1.2,3.605,21.528,1.315,562.0,12067.6,1.159,4.58,1.517,56.398,15.25,153.076,11.0,52,1.275,4.545,96,264.0,0.637,5.1,23.835,13.341,26,3.718,1.439,4.763,142.342,1.557,4.99,3.275,84,5.583,3.4,116.07,9.367,10.093,282.193,50,0.909,1.055,3.984,1.429,3.049,4.253,29.794,3.463
4.301,1.124,1.212,1.002,3.975,1.003,0.821,1.203,2.925,1.301,1.033,0.293,0.94,1.531,0.737,2.735,1.107,2.854,2.715,89.805,0.218,107.457,3.151,3.533,1.469,0.886,3.186,9.986,0.606,261.0,3513.68,0.826,3.259,1.062,29.183,10.75,74.908,7.059,28,0.656,3.845,45,120.0,-0.994,3.866,16.897,9.833,9,2.979,0.969,4.032,147.513,1.318,4.214,2.873,38,3.667,3.039,69.354,4.66,6.775,122.211,26,0.151,0.301,3.414,0.777,1.418,3.06,18.494,0.0
4.301,1.689,1.574,1.429,4.652,1.262,1.122,1.745,3.315,1.536,1.513,0.886,1.189,1.881,0.649,2.965,1.503,3.249,2.975,185.819,0.825,211.329,3.617,4.029,1.901,1.196,3.605,19.322,1.181,486.0,9297.22,1.153,4.388,1.486,51.773,13.75,138.726,10.273,48,1.107,4.454,83,226.0,0.495,4.969,22.185,12.264,24,3.606,1.376,4.706,135.691,1.519,4.951,3.206,70,5.056,3.367,103.306,8.283,9.416,254.084,46,0.821,1.055,3.896,1.278,2.889,4.19,27.552,3.467
