pXC50,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,NddssS,P_VSA_s_1,S.110,SddssS,SpMin1_Bh.v.,Eta_sh_x,SpMax3_Bh.v.,nSO2N,nS,P_VSA_i_1,ATSC3m,SpMax3_Bh.e.,MATS1m,SdO,CATS2D_06_AA,X3Av,X5Av,SpMin2_Bh.v.,X4Av,SpDiam_AEA.bo.,H.052,ATSC3p,Eig01_EA.bo.,SM11_AEA.ri.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,SpDiam_EA.bo.,SpMax_EA.bo.,NdO,SpMax1_Bh.p.,MATS4e,SpMin1_Bh.i.,X2v,SM09_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SpMax4_Bh.p.,SpMax3_Bh.i.,nDB,SM13_EA.ed.,SM14_EA.ed.,SM15_EA.ed.,ATSC4m,GATS4e,ATS1m,SM05_EA.bo.,SM07_EA.bo.,N.068,SM06_EA.bo.,SM08_EA.bo.,SM12_AEA.ed.,SM13_AEA.ed.,SpMax3_Bh.s.,GATS4s,GATS3m,SM08_AEA.bo.,SpMax4_Bh.e.,MATS1p,Hypertens.50,SM11_AEA.ed.
4.0,3.636,5.636,3.636,0,0.0,0,0.0,2.029,0.0,3.131,0,0,0.0,11.632,3.324,-0.053,22.929,1,0.076,0.022,1.957,0.041,5.185,0,5.195,3.951,3.951,17.002,18.269,19.688,20.993,6.951,3.951,2,3.89,-0.075,1.906,3.855,12.808,14.34,15.542,3.017,3.353,2,29.894,32.173,34.435,13.496,1.103,3.164,7.275,10.06,0,9.169,11.718,22.776,24.604,6.471,1.108,0.953,12.526,3.279,0.159,0,20.954
4.294,3.642,5.642,3.642,0,0.0,0,0.0,2.021,0.0,3.143,0,0,0.0,12.162,3.327,-0.045,23.074,1,0.08,0.023,1.947,0.042,5.22,0,5.401,4.018,4.018,17.147,18.438,19.859,21.186,7.018,4.018,2,3.899,-0.124,1.907,4.436,12.944,14.462,15.691,3.025,3.352,2,30.004,32.293,34.565,13.508,1.113,3.278,7.416,10.192,0,9.262,11.823,22.83,24.655,6.471,1.148,1.048,12.624,3.284,0.161,0,21.011
4.064,3.648,5.648,3.648,0,0.0,0,0.0,2.024,0.0,3.18,0,0,0.0,13.624,3.403,-0.016,23.582,3,0.074,0.02,1.954,0.038,5.302,0,6.05,4.141,4.141,17.43,18.763,20.194,21.559,7.141,4.141,2,3.893,-0.074,1.907,4.562,13.19,14.696,15.973,3.058,3.426,2,30.43,32.742,35.039,17.239,1.018,3.378,7.598,10.406,0,9.408,12.011,23.12,24.95,6.471,1.062,0.916,12.785,3.323,0.008,1,21.295
4.453,3.787,5.787,3.787,0,0.0,0,0.0,2.06,0.0,3.259,0,0,0.0,9.939,3.566,-0.041,44.497,3,0.072,0.02,1.976,0.038,5.272,0,5.184,4.13,4.13,17.485,18.813,20.235,21.593,7.13,4.13,4,3.906,-0.203,1.922,4.297,13.27,14.763,16.04,3.041,3.582,4,30.136,32.426,34.701,13.949,1.155,3.327,7.693,10.496,0,9.478,12.084,23.009,24.831,7.429,1.146,0.942,12.827,3.312,0.217,0,21.191
4.0,3.641,5.641,3.641,0,0.0,0,0.0,2.02,0.0,3.148,0,0,0.0,15.879,3.326,-0.016,23.133,1,0.087,0.027,1.946,0.047,5.22,0,5.946,4.018,4.018,17.147,18.438,19.859,21.186,7.018,4.018,2,3.909,-0.115,1.907,4.915,12.944,14.462,15.691,3.032,3.351,2,30.004,32.293,34.565,14.776,1.127,3.409,7.416,10.192,0,9.262,11.823,22.83,24.655,6.471,1.147,1.024,12.624,3.283,0.132,0,21.011
4.686,3.641,5.641,3.641,0,0.0,0,0.0,2.024,0.0,3.266,0,0,0.0,22.761,3.481,-0.006,23.498,1,0.088,0.027,1.952,0.048,5.226,3,7.192,4.018,4.018,17.165,18.456,19.877,21.205,7.018,4.018,2,3.911,-0.094,1.909,5.326,12.962,14.479,15.709,3.125,3.545,2,30.024,32.311,34.581,16.626,1.125,3.492,7.43,10.209,0,9.279,11.84,22.863,24.686,6.351,1.196,0.998,12.648,3.297,0.028,1,21.047
5.31,3.641,5.641,3.641,0,0.0,0,0.0,2.026,0.0,3.492,0,0,0.0,28.957,3.656,-0.004,23.685,1,0.095,0.028,1.958,0.049,5.245,2,8.913,4.018,4.018,17.165,18.456,19.877,21.205,7.018,4.018,2,3.912,-0.06,1.91,6.095,12.962,14.48,15.71,3.139,3.723,2,30.024,32.311,34.581,25.039,1.184,3.561,7.43,10.209,0,9.283,11.841,22.864,24.686,6.351,1.114,0.926,12.655,3.331,0.02,0,21.048
5.495,3.813,5.813,3.813,0,0.0,0,0.0,2.059,0.0,3.492,0,0,0.0,21.12,3.66,0.016,45.849,2,0.08,0.022,1.989,0.04,5.308,2,7.746,4.162,4.162,17.632,18.983,20.413,21.789,7.162,4.162,4,3.907,0.0,1.922,5.446,13.379,14.876,16.18,3.195,3.728,4,30.516,32.81,35.087,22.801,1.082,3.491,7.733,10.571,0,9.527,12.162,23.252,25.093,7.429,0.984,0.771,12.887,3.555,0.054,0,21.415
4.523,4.685,6.685,4.685,1,5.807,1,-3.71,2.084,0.079,3.54,1,1,5.807,23.056,3.697,0.204,35.216,2,0.125,0.044,2.025,0.075,5.749,2,9.073,4.703,4.703,18.676,20.19,21.732,23.262,7.703,4.703,3,4.069,-0.186,1.98,6.737,14.089,15.65,17.131,3.245,3.696,3,32.767,35.287,37.804,27.202,1.271,3.561,8.046,11.066,0,9.802,12.677,23.973,25.934,6.999,1.267,1.196,13.107,3.376,-0.016,1,22.018
4.959,4.726,6.726,4.726,1,5.807,1,-3.701,2.12,0.068,3.665,1,1,5.807,32.429,3.774,0.136,36.717,2,0.13,0.047,2.015,0.078,5.933,2,12.069,4.76,4.76,18.86,20.387,21.937,23.477,7.76,4.76,3,4.098,-0.249,2.019,8.39,14.244,15.811,17.308,3.444,3.798,3,33.971,36.58,39.187,38.636,1.509,3.723,8.153,11.197,1,9.905,12.809,24.629,26.632,6.999,1.577,1.118,13.289,3.526,-0.047,0,22.633
4.523,4.726,6.726,4.726,1,5.807,1,-3.745,2.121,0.068,3.665,1,1,5.807,32.429,3.772,0.136,37.052,2,0.129,0.046,2.012,0.078,5.936,2,12.069,4.765,4.765,18.87,20.398,21.949,23.491,7.765,4.765,3,4.101,-0.245,2.022,8.393,14.25,15.817,17.317,3.452,3.796,3,33.985,36.594,39.203,38.139,1.504,3.723,8.153,11.2,1,9.906,12.813,24.633,26.637,6.999,1.587,1.118,13.29,3.535,-0.047,0,22.637
4.523,4.727,6.727,4.727,1,5.807,1,-3.703,2.218,0.066,3.679,1,1,5.807,31.847,3.783,0.203,37.232,2,0.119,0.04,2.062,0.07,5.941,2,12.623,4.798,4.798,19.272,20.8,22.352,23.892,7.798,4.798,3,4.185,-0.196,2.153,8.687,14.636,16.213,17.715,3.503,3.809,3,33.985,36.595,39.203,37.362,1.469,3.726,8.464,11.558,1,10.254,13.193,24.648,26.647,6.999,1.534,1.241,13.458,3.575,-0.026,0,22.658
6.137,4.726,6.726,4.726,1,5.807,1,-3.709,2.128,0.057,3.739,1,1,5.807,35.763,3.836,0.192,37.224,2,0.119,0.041,2.059,0.071,5.933,2,14.16,4.76,4.76,18.892,20.407,21.955,23.489,7.76,4.76,3,4.104,-0.181,2.035,9.45,14.291,15.864,17.339,3.64,3.873,3,33.966,36.576,39.184,41.011,1.511,3.826,8.232,11.261,1,10.042,12.897,24.639,26.638,6.999,1.573,1.23,13.397,3.721,-0.023,0,22.65
4.523,4.727,6.727,4.727,1,5.807,1,-3.749,2.129,0.071,3.532,1,1,5.807,26.228,3.7,0.185,47.584,0,0.117,0.041,2.012,0.07,5.881,2,10.153,4.763,4.763,18.837,20.364,21.916,23.459,7.763,4.763,4,4.092,-0.218,2.007,7.582,14.226,15.789,17.285,3.274,3.694,4,33.973,36.585,39.195,29.649,1.203,3.688,8.168,11.191,1,9.911,12.798,24.582,26.59,7.368,1.202,1.331,13.3,3.527,-0.048,1,22.583
4.523,4.727,6.727,4.727,1,5.807,1,-3.571,2.129,0.072,3.581,1,1,5.807,24.066,3.785,0.232,25.961,6,0.113,0.039,2.009,0.065,5.882,2,9.633,4.765,4.765,18.884,20.405,21.953,23.492,7.765,4.765,2,4.097,-0.309,2.01,7.558,14.281,15.846,17.334,3.286,3.828,2,33.978,36.59,39.199,27.567,1.622,3.687,8.187,11.241,1,9.983,12.864,24.604,26.61,5.268,1.84,1.37,13.308,3.553,-0.054,1,22.605
4.523,4.727,6.727,4.727,1,5.807,1,-3.635,2.13,0.078,3.539,1,1,5.807,25.502,3.685,0.22,36.725,3,0.124,0.043,2.013,0.073,5.882,2,9.941,4.765,4.765,18.845,20.373,21.925,23.468,7.765,4.765,3,4.095,-0.281,2.011,7.187,14.227,15.794,17.292,3.214,3.68,3,33.974,36.587,39.197,28.719,1.561,3.586,8.129,11.179,1,9.887,12.793,24.581,26.59,6.999,1.543,1.362,13.248,3.361,-0.037,1,22.579
