pXC50,ATS1e,ATS1s,ATS1v,ATS2e,ATS2i,ATS2p,ATS2v,ATS3e,ATS3p,ATS3v,ATS4e,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5p,ATS5s,ATS5v,ATS8s,ATSC1p,ATSC2p,ATSC2s,ATSC2v,ATSC3p,ATSC5m,ATSC5p,ATSC6e,ATSC6p,ATSC7e,ATSC8e,ATSC8s,BID,CATS2D_08_AL,CATS2D_09_AL,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi1_EA.dm.,CID,CSI,DBI,Dz,ECC,Eig03_AEA.ri.,Eig03_EA,Eig03_EA.ri.,Eig04_AEA.dm.,Eig05_AEA.dm.,Eig05_AEA.ed.,Eig05_EA.ed.,Eig06_AEA.dm.,Eig06_EA.ri.,Eig07_AEA.dm.,Eig08_AEA.dm.,Eig09_AEA.dm.,Eig13_AEA.dm.,Eig14_AEA.dm.
4.292,4.202,5.353,3.727,4.763,4.912,4.148,4.132,5.053,4.311,4.286,5.115,4.333,6.334,4.32,5.109,5.283,4.335,6.287,4.307,6.391,5.559,9.354,63.218,11.825,12.268,35.098,12.505,0.782,12.705,0.838,1.15,139.805,3.562,6,6,23.198,23.198,23.198,23.198,23.198,21.025,24.8,35.051,4.268,805.0,4.062,75.5,371.0,3.761,2.77,2.736,3.259,2.895,5.942,8.172,2.722,2.208,2.365,2.113,1.818,1.316,1.22
4.0,4.119,5.335,3.726,4.639,4.758,4.147,4.144,4.932,4.299,4.286,5.002,4.287,6.258,4.277,4.968,5.144,4.246,6.177,4.225,6.126,4.61,7.884,46.142,8.895,10.7,28.222,11.083,0.625,9.908,0.592,0.628,77.278,3.562,12,4,23.223,23.223,23.223,23.223,23.223,20.365,23.493,37.424,4.281,820.0,3.24,74.5,366.0,3.795,2.804,2.775,3.245,2.887,5.929,8.225,2.808,2.29,2.543,2.221,1.871,1.208,1.153
4.699,4.14,5.238,3.674,4.707,4.87,4.129,4.091,5.017,4.298,4.238,5.096,4.299,6.147,4.249,5.034,5.231,4.256,6.174,4.204,6.045,5.332,9.161,41.21,12.197,12.357,34.194,11.853,0.513,11.24,0.411,0.546,68.625,3.473,6,3,21.121,21.121,21.121,21.121,21.121,19.078,22.017,33.568,4.183,656.0,3.536,67.5,298.0,3.642,2.656,2.625,2.91,2.74,5.365,6.477,2.384,2.175,2.219,1.746,1.69,1.116,0.924
5.301,4.217,5.353,3.793,4.76,4.905,4.25,4.221,5.07,4.432,4.38,5.222,4.438,6.295,4.391,5.122,5.304,4.409,6.296,4.361,6.234,5.561,9.647,40.987,12.276,13.248,34.951,13.328,0.539,13.684,0.363,0.566,70.918,3.59,10,6,23.67,23.67,23.67,23.67,23.67,20.967,22.734,36.409,4.306,757.0,3.317,75.5,340.0,3.828,2.838,2.804,2.932,2.845,5.975,8.446,2.601,2.239,2.333,2.214,1.903,1.319,1.182
4.0,4.217,5.33,3.788,4.767,4.914,4.223,4.195,5.052,4.413,4.373,5.171,4.42,6.278,4.378,5.108,5.302,4.376,6.256,4.334,6.161,5.56,9.568,26.85,11.976,12.877,35.52,13.119,0.492,12.389,0.399,0.476,57.862,3.59,11,6,24.353,24.353,24.353,24.353,24.353,21.702,23.721,36.857,4.311,817.0,3.317,75.5,365.0,3.845,2.858,2.816,2.896,2.822,6.042,8.474,2.558,2.236,2.228,1.956,1.775,1.319,1.298
5.0,4.217,5.354,3.793,4.76,4.905,4.25,4.221,5.07,4.433,4.384,5.226,4.448,6.339,4.407,5.15,5.33,4.427,6.327,4.383,6.424,5.561,9.647,41.069,12.276,13.247,36.287,13.655,0.496,13.956,0.38,0.835,117.523,3.59,10,7,23.723,23.723,23.723,23.723,23.723,20.992,22.734,37.285,4.306,711.0,3.317,75.5,320.0,3.951,2.971,2.901,2.932,2.848,6.07,8.622,2.617,2.229,2.336,2.217,1.903,1.319,1.306
4.174,3.951,5.236,3.594,4.422,4.523,4.022,4.0,4.698,4.203,4.183,4.862,4.193,6.282,4.164,4.829,4.988,4.137,6.336,4.097,5.94,3.935,6.818,54.221,7.56,9.047,31.954,11.368,0.638,9.424,0.494,0.508,84.69,3.442,4,3,19.499,19.499,19.499,19.499,19.499,16.887,20.183,26.323,4.128,639.0,3.24,65.25,299.0,3.808,2.816,2.789,3.197,2.926,5.808,7.692,2.764,2.21,2.362,2.151,1.991,1.102,0.751
4.523,4.092,5.343,3.754,4.566,4.652,4.164,4.138,4.846,4.305,4.277,4.929,4.272,6.284,4.253,4.885,5.005,4.292,6.342,4.252,6.214,4.345,7.389,41.703,7.84,10.646,38.021,11.964,0.557,11.195,0.436,0.538,76.289,3.589,10,7,23.69,23.69,23.69,23.69,23.69,20.457,22.288,31.934,4.295,859.0,3.464,75.25,394.0,3.789,2.812,2.73,3.243,2.837,5.624,7.063,2.728,2.223,2.448,2.268,2.152,1.34,1.262
4.523,4.005,5.242,3.63,4.499,4.606,4.04,4.017,4.783,4.194,4.174,4.84,4.203,6.212,4.186,4.821,4.927,4.264,6.306,4.216,6.043,4.324,7.542,47.15,8.354,10.284,31.878,11.244,0.592,12.929,0.566,0.631,90.868,3.473,6,4,20.413,20.413,20.413,20.413,20.413,17.932,21.214,30.762,4.163,632.0,3.674,67.25,297.0,3.793,2.816,2.732,3.254,2.812,5.634,7.018,2.56,2.066,2.448,2.228,1.974,1.197,1.092
8.876,3.565,4.777,3.19,4.028,4.15,3.556,3.556,4.32,3.68,3.681,4.274,3.521,5.577,3.522,4.103,4.298,3.374,5.353,3.353,4.518,2.177,3.676,10.82,4.216,4.966,11.271,4.113,0.173,3.346,0.123,0.081,14.255,3.06,1,0,13.878,13.878,13.878,13.878,13.878,11.768,14.962,26.208,3.766,327.0,1.871,43.0,145.0,3.393,2.428,2.336,2.497,1.839,4.63,4.833,1.52,1.44,1.42,1.318,1.164,-0.519,-0.752
9.529,3.143,4.539,2.793,3.58,3.713,3.126,3.068,3.861,3.169,3.108,3.734,2.936,5.383,2.906,3.494,3.686,2.752,5.229,2.708,4.007,1.776,2.981,23.526,3.661,3.853,6.791,2.635,0.059,2.316,0.066,0.048,21.726,2.73,2,0,9.5,9.5,9.5,9.5,9.5,8.397,5.483,3.571,3.345,172.0,3.082,30.0,89.0,2.744,1.723,1.753,2.479,2.176,3.247,2.136,1.324,0.572,1.0,0.651,0.187,-1.704,-2.0
10.478,3.576,4.837,3.192,4.002,4.144,3.56,3.527,4.229,3.636,3.593,4.248,3.634,5.479,3.582,4.253,4.453,3.668,5.44,3.609,4.804,2.371,3.933,7.475,5.026,4.889,13.138,5.113,0.112,5.41,0.119,0.099,30.116,3.06,2,0,13.905,13.905,13.905,13.905,13.905,11.763,9.057,7.321,3.739,299.0,2.0,42.0,140.0,3.398,2.435,2.339,2.478,1.799,4.411,4.001,1.642,1.171,1.291,1.051,1.0,-0.782,-0.902
10.921,3.93,5.072,3.573,4.394,4.522,4.009,3.957,4.634,4.1,4.023,4.665,4.087,5.717,4.011,4.677,4.873,4.131,5.712,4.049,5.598,3.376,5.882,9.852,7.467,8.363,22.972,8.535,0.119,9.298,0.224,0.255,31.601,3.376,3,0,19.361,19.361,19.361,19.361,19.361,16.211,9.087,8.011,4.088,553.0,2.236,57.75,247.0,3.566,2.603,2.532,2.576,2.422,5.203,6.254,1.856,1.626,1.691,1.532,1.421,0.867,0.347
10.959,3.93,5.072,3.573,4.394,4.522,4.009,3.957,4.634,4.1,4.023,4.665,4.082,5.712,4.001,4.673,4.875,4.092,5.705,4.022,5.576,3.376,5.882,9.741,7.467,8.363,19.114,8.076,0.099,9.067,0.224,0.222,30.289,3.376,1,1,19.361,19.361,19.361,19.361,19.361,16.211,9.087,6.711,4.088,581.0,2.236,57.75,259.0,3.556,2.581,2.531,2.576,2.471,5.15,6.187,1.876,1.639,1.691,1.532,1.41,0.994,0.407
7.097,5.141,6.349,4.587,5.692,5.86,5.003,4.959,6.065,5.2,5.137,6.183,5.26,7.426,5.225,6.242,6.431,5.341,7.758,5.315,7.942,13.718,23.331,240.828,31.802,30.944,128.092,34.77,4.287,41.445,4.584,5.605,962.461,4.467,19,20,55.55,55.55,55.55,55.55,55.55,51.504,56.684,51.625,5.149,3589.0,6.633,195.5,1730.0,3.92,2.936,2.897,3.836,3.803,6.17,9.097,3.764,2.781,3.7,3.677,3.606,3.509,3.482
6.046,5.087,6.287,4.49,5.65,5.83,4.904,4.857,6.025,5.107,5.042,6.153,5.18,7.391,5.149,6.203,6.393,5.274,7.738,5.253,7.899,12.783,21.419,250.74,30.74,28.021,126.405,31.439,4.433,38.929,4.669,5.663,970.805,4.383,15,15,50.172,50.172,50.172,50.172,50.172,47.393,54.467,50.471,5.052,3011.0,6.745,181.5,1489.0,3.92,2.936,2.879,3.836,3.803,6.113,8.883,3.763,2.725,3.699,3.677,3.605,3.509,3.482
4.523,5.049,6.251,4.45,5.612,5.79,4.863,4.818,5.985,5.066,5.004,6.116,5.138,7.389,5.111,6.161,6.348,5.23,7.717,5.21,7.871,12.358,20.461,244.113,29.233,26.944,121.413,30.18,4.263,37.423,4.669,5.684,968.227,4.345,11,12,48.473,48.473,48.473,48.473,48.473,45.901,50.881,46.744,5.014,2882.0,6.442,175.0,1423.0,3.918,2.934,2.876,3.836,3.803,6.112,8.877,3.763,2.725,3.698,3.677,3.605,3.482,3.47
6.699,5.267,6.485,4.657,5.825,6.003,5.056,5.02,6.2,5.258,5.207,6.323,5.331,7.62,5.312,6.372,6.562,5.418,7.928,5.406,8.169,14.828,24.541,319.314,35.5,32.244,147.375,36.192,5.585,43.292,6.153,7.725,1392.41,4.565,15,15,60.619,60.619,60.619,60.619,60.619,57.425,64.962,59.886,5.233,4447.0,6.633,220.0,2203.0,3.931,2.948,2.89,3.841,3.836,6.171,9.062,3.783,2.756,3.771,3.71,3.683,3.568,3.557
7.301,5.141,6.35,4.587,5.692,5.86,5.003,4.959,6.065,5.202,5.141,6.184,5.27,7.428,5.236,6.253,6.441,5.358,7.763,5.329,7.949,13.718,23.331,240.328,31.802,30.955,128.944,35.396,4.313,41.987,4.635,5.664,976.595,4.467,19,19,55.602,55.602,55.602,55.602,55.602,51.537,56.684,51.625,5.149,3540.0,6.633,195.5,1707.0,3.944,2.958,2.907,3.837,3.803,6.172,9.098,3.764,2.776,3.7,3.677,3.606,3.509,3.482
7.222,5.098,6.257,4.498,5.67,5.86,4.925,4.864,6.041,5.124,5.047,6.166,5.196,7.376,5.154,6.215,6.413,5.29,7.719,5.259,7.875,13.274,22.212,212.997,32.359,28.939,130.173,32.164,3.943,39.637,4.113,5.203,897.166,4.371,14,17,49.887,49.887,49.887,49.887,49.887,47.315,51.325,47.412,5.04,2970.0,6.595,177.5,1468.0,3.919,2.936,2.879,3.836,3.802,6.113,8.883,3.763,2.724,3.698,3.675,3.596,3.482,3.47
6.155,5.267,6.485,4.657,5.825,6.003,5.056,5.02,6.2,5.258,5.207,6.323,5.331,7.62,5.312,6.372,6.562,5.418,7.928,5.406,8.169,14.828,24.541,319.314,35.5,32.244,147.375,36.192,5.585,43.292,6.153,7.725,1392.41,4.565,15,15,60.619,60.619,60.619,60.619,60.619,57.425,64.962,59.886,5.233,4447.0,6.633,220.0,2203.0,3.931,2.948,2.89,3.841,3.836,6.171,9.062,3.783,2.756,3.771,3.71,3.683,3.568,3.557
7.398,5.087,6.287,4.49,5.65,5.83,4.904,4.857,6.025,5.107,5.042,6.153,5.18,7.391,5.149,6.203,6.393,5.274,7.738,5.253,7.899,12.783,21.419,250.74,30.74,28.021,126.405,31.439,4.433,38.929,4.669,5.663,970.805,4.383,15,15,50.172,50.172,50.172,50.172,50.172,47.393,54.467,50.471,5.052,3011.0,6.745,181.5,1489.0,3.92,2.936,2.879,3.836,3.803,6.113,8.883,3.763,2.725,3.699,3.677,3.605,3.509,3.482
4.523,5.081,6.312,4.485,5.634,5.808,4.887,4.848,6.012,5.084,5.029,6.126,5.158,7.397,5.137,6.186,6.371,5.256,7.762,5.243,7.938,12.21,20.671,275.474,29.419,26.916,121.957,30.564,4.752,37.314,5.096,5.993,1062.75,4.396,14,13,50.826,50.826,50.826,50.826,50.826,47.84,56.389,52.069,5.065,3066.0,6.819,185.0,1517.0,3.917,2.932,2.877,3.836,3.803,6.096,8.848,3.763,2.708,3.699,3.679,3.609,3.509,3.486
4.523,5.087,6.287,4.49,5.65,5.83,4.904,4.857,6.025,5.107,5.042,6.153,5.18,7.391,5.149,6.203,6.393,5.274,7.738,5.253,7.899,12.783,21.419,250.74,30.74,28.021,126.405,31.439,4.433,38.929,4.669,5.663,970.805,4.383,15,15,50.172,50.172,50.172,50.172,50.172,47.393,54.467,50.471,5.052,3011.0,6.745,181.5,1489.0,3.92,2.936,2.879,3.836,3.803,6.113,8.883,3.763,2.725,3.699,3.677,3.605,3.509,3.482
