pXC50,nDB,RBN,nN,N.,Mp,X.,RBF,nO,nX,C.,SCBO,Mv,Si,nH,Sv,Se,nAT,Sp,nSK,nAB,nBT,AMW,O.,nHet,Mi,nBO
5.0,0,3,2,4.3,0.661,0.0,0.061,0,0,43.5,31.0,0.605,51.564,24,27.838,44.923,46,30.387,22,12,49,6.358,0.0,2,1.121,25
7.432,0,6,2,3.4,0.671,1.7,0.095,0,1,45.8,43.0,0.624,66.149,29,36.801,58.087,59,39.608,30,18,63,6.789,0.0,3,1.121,34
6.796,0,7,2,3.2,0.682,1.6,0.106,0,1,45.2,44.0,0.625,69.169,31,38.772,60.781,62,42.29,31,18,66,6.953,0.0,3,1.116,35
9.3,5,10,5,5.4,0.641,0.0,0.104,6,0,39.1,64.0,0.608,104.052,45,55.932,92.145,92,58.983,47,16,96,6.998,6.5,11,1.131,51
8.0,5,13,5,5.7,0.653,0.0,0.143,6,0,40.9,66.0,0.624,99.222,41,54.878,88.378,88,57.461,47,22,91,7.271,6.8,11,1.128,50
9.1,5,13,5,5.5,0.651,0.0,0.138,6,0,40.7,67.0,0.62,102.637,43,56.405,91.261,91,59.222,48,22,94,7.185,6.6,11,1.128,51
9.325,0,7,2,3.2,0.665,0.0,0.104,1,0,44.4,44.0,0.614,70.434,32,38.66,61.785,63,41.887,31,18,67,6.55,1.6,3,1.118,35
6.009,6,12,6,8.1,0.691,0.0,0.156,5,0,37.8,60.0,0.65,83.194,32,48.112,74.963,74,51.148,42,18,77,8.498,6.8,14,1.124,45
5.636,4,7,5,8.5,0.689,0.0,0.113,3,0,42.4,50.0,0.656,66.192,25,38.706,59.403,59,40.654,34,18,62,8.061,5.1,9,1.122,37
6.4,6,21,9,7.2,0.655,0.0,0.16,6,0,40.8,94.0,0.621,141.121,59,77.651,124.97,125,81.813,66,32,131,7.154,4.8,15,1.129,72
5.0,0,9,1,1.3,0.647,0.0,0.114,2,0,42.1,47.0,0.592,85.221,41,44.987,74.428,76,49.143,35,18,79,6.207,2.6,3,1.121,38
6.9,5,21,9,7.1,0.669,0.0,0.157,5,0,41.7,98.5,0.631,142.832,59,80.124,126.719,127,85.007,68,37,134,7.357,3.9,15,1.125,75
4.9,3,11,6,8.0,0.651,0.0,0.141,3,0,40.0,55.5,0.616,84.846,36,46.175,74.847,75,48.819,39,21,78,7.05,4.0,9,1.131,42
5.1,5,13,6,6.7,0.638,0.0,0.141,5,0,38.2,61.0,0.604,100.926,44,53.712,89.036,89,56.773,45,16,92,6.931,5.6,11,1.134,48
7.879,1,4,3,4.5,0.656,9.0,0.056,2,6,43.3,54.0,0.652,77.18,27,43.696,69.29,67,43.972,40,18,71,8.412,3.0,11,1.152,44
6.58,1,6,3,4.7,0.651,9.4,0.09,3,6,42.2,52.0,0.654,73.974,25,41.884,66.734,64,41.665,39,18,67,8.649,4.7,12,1.156,42
8.936,1,4,4,5.8,0.652,8.7,0.055,2,6,42.0,55.0,0.648,79.678,28,44.717,71.392,69,44.978,41,18,73,8.386,2.9,12,1.155,45
6.78,1,5,5,6.2,0.645,7.4,0.058,2,6,40.7,61.0,0.634,93.422,35,51.319,83.145,81,52.268,46,18,86,7.997,2.5,13,1.153,51
4.5,9,22,11,8.3,0.611,0.0,0.162,9,0,33.1,79.0,0.579,152.407,69,76.946,133.69,133,81.234,64,6,136,6.739,6.8,20,1.146,67
6.889,1,5,3,5.0,0.657,10.0,0.079,2,6,43.3,50.0,0.661,69.35,23,39.642,62.523,60,39.449,37,18,63,8.725,3.3,11,1.156,40
6.979,1,8,2,2.2,0.672,2.2,0.084,3,2,42.7,61.0,0.623,99.647,44,55.432,88.272,89,59.841,45,18,95,7.278,3.4,7,1.12,51
9.47,1,5,4,4.9,0.647,7.3,0.057,2,6,41.5,61.0,0.632,94.339,36,51.824,83.926,82,53.023,46,18,87,7.887,2.4,12,1.15,51
9.684,1,5,4,5.1,0.648,8.9,0.06,2,7,41.8,61.0,0.642,91.264,33,50.681,81.556,79,51.199,46,18,84,8.237,2.5,13,1.155,51
6.678,1,5,4,4.9,0.647,7.3,0.057,2,6,41.5,61.0,0.632,94.339,36,51.824,83.926,82,53.023,46,18,87,7.887,2.4,12,1.15,51
6.821,1,4,2,4.3,0.675,12.8,0.082,1,6,46.8,43.0,0.688,54.396,16,32.325,49.443,47,31.705,31,18,49,9.328,2.1,9,1.157,33
8.59,1,4,3,4.6,0.656,9.2,0.058,3,6,43.1,54.0,0.66,74.974,25,42.884,67.734,65,42.665,40,18,69,8.701,4.6,12,1.153,44
8.337,3,8,4,5.6,0.669,0.0,0.107,4,0,43.7,57.0,0.638,79.644,32,45.32,71.087,71,47.5,39,22,75,7.39,5.6,8,1.122,43
9.495,0,5,2,4.3,0.649,0.0,0.104,1,0,41.3,30.0,0.599,51.773,24,27.552,45.251,46,29.841,22,12,48,6.445,2.2,3,1.126,24
6.658,2,8,2,2.4,0.682,2.4,0.091,6,2,41.0,61.0,0.641,92.95,38,53.183,83.68,83,56.568,45,18,88,8.117,7.2,11,1.12,50
6.0,2,8,2,2.4,0.682,2.4,0.091,6,2,41.0,61.0,0.641,92.95,38,53.183,83.68,83,56.568,45,18,88,8.117,7.2,11,1.12,50
8.131,3,8,4,5.6,0.669,0.0,0.107,4,0,43.7,57.0,0.638,79.644,32,45.32,71.087,71,47.5,39,22,75,7.39,5.6,8,1.122,43
7.886,5,17,6,6.3,0.646,0.0,0.172,6,0,39.6,69.0,0.614,108.55,46,58.953,96.247,96,61.989,50,22,99,7.114,6.3,12,1.131,53
7.678,2,8,2,2.4,0.682,2.4,0.091,6,2,41.0,61.0,0.641,92.95,38,53.183,83.68,83,56.568,45,18,88,8.117,7.2,11,1.12,50
6.0,2,8,2,2.4,0.682,2.4,0.091,6,2,41.0,61.0,0.641,92.95,38,53.183,83.68,83,56.568,45,18,88,8.117,7.2,11,1.12,50
6.9,9,31,13,8.2,0.628,0.0,0.191,9,0,36.1,105.0,0.596,180.064,79,94.096,158.428,158,99.291,79,26,162,6.902,5.7,22,1.14,83
7.863,11,37,14,8.8,0.611,0.0,0.231,14,0,31.4,96.5,0.584,182.529,80,92.878,161.243,159,97.217,79,11,160,7.129,8.8,29,1.148,80
6.6,9,27,9,6.0,0.634,0.0,0.175,11,0,37.6,101.0,0.603,169.075,73,89.913,149.792,149,94.416,76,22,154,7.036,7.4,20,1.135,81
5.5,7,10,9,8.7,0.654,0.0,0.093,7,0,37.9,79.0,0.625,116.759,47,64.392,104.072,103,67.347,56,22,108,7.631,6.8,17,1.134,61
6.8,5,10,8,7.0,0.646,0.0,0.083,5,0,39.5,80.0,0.609,128.998,56,69.388,113.657,114,73.592,58,22,120,6.922,4.4,13,1.132,64
7.5,5,10,8,7.1,0.645,0.0,0.085,6,0,39.3,80.0,0.612,126.792,54,68.576,112.101,112,72.285,58,22,118,7.063,5.4,14,1.132,64
8.4,8,9,5,7.8,0.677,3.1,0.136,7,2,39.1,55.0,0.665,72.413,25,42.56,66.167,64,43.301,39,12,66,9.038,10.9,14,1.131,41
9.979,2,4,5,6.8,0.65,8.2,0.052,3,6,41.1,59.0,0.65,84.386,29,47.453,75.821,73,47.438,44,18,77,8.516,4.1,14,1.156,48
7.936,1,3,3,5.6,0.665,11.1,0.053,2,6,44.4,48.0,0.678,62.519,19,36.588,56.756,54,35.927,35,18,57,9.175,3.7,11,1.158,38
7.277,1,4,4,6.2,0.649,9.2,0.059,2,6,41.5,52.0,0.649,75.263,26,42.19,67.508,65,42.216,39,18,68,8.501,3.1,12,1.158,42
9.664,2,4,5,6.1,0.643,7.3,0.047,3,6,40.2,62.0,0.635,94.632,35,52.034,84.472,82,52.722,47,18,86,8.094,3.7,14,1.154,51
8.281,14,42,18,9.3,0.617,0.0,0.214,13,0,32.6,118.0,0.585,221.22,98,112.937,194.508,193,119.115,95,12,196,6.984,6.7,32,1.146,98
5.886,7,22,7,6.4,0.633,0.0,0.196,8,0,35.5,70.0,0.597,125.048,55,65.698,110.614,110,69.597,55,12,112,7.11,7.3,16,1.137,57
6.081,6,22,7,6.4,0.631,0.0,0.196,6,0,35.5,67.0,0.589,125.045,57,64.796,109.843,110,69.45,53,12,112,6.837,5.5,14,1.137,55
7.42,6,23,7,6.8,0.63,0.0,0.221,6,0,35.0,63.0,0.59,117.214,53,60.742,103.076,103,64.927,50,12,104,6.913,5.8,14,1.138,51
7.268,2,8,3,3.4,0.671,2.3,0.086,3,2,42.0,61.0,0.624,98.73,43,54.926,87.49,88,59.086,45,18,93,7.372,3.4,8,1.122,50
5.0,9,25,12,8.4,0.622,0.0,0.17,9,0,35.0,92.0,0.591,163.32,72,84.494,143.675,143,89.001,71,16,147,6.89,6.3,21,1.142,75
7.1,10,34,14,8.5,0.627,0.0,0.201,10,0,35.8,110.0,0.596,188.187,82,98.359,165.741,165,103.512,83,26,169,6.955,6.1,24,1.141,87
4.412,5,15,6,7.5,0.637,0.0,0.183,6,0,37.5,57.0,0.611,90.889,38,48.846,80.712,80,50.944,42,16,82,7.234,7.5,12,1.136,44
6.529,2,12,4,4.1,0.661,3.1,0.117,5,3,43.3,76.0,0.638,109.779,43,61.872,98.137,97,64.097,54,28,103,7.638,5.2,12,1.132,60
7.638,5,14,6,7.1,0.654,0.0,0.161,6,0,40.5,65.0,0.629,94.889,38,52.846,84.712,84,54.944,46,22,87,7.462,7.1,12,1.13,49
7.959,9,19,11,8.3,0.626,0.0,0.142,8,0,34.1,82.0,0.59,150.702,67,77.891,132.555,132,82.666,65,12,134,6.987,6.1,20,1.142,67
7.799,3,9,4,5.0,0.66,0.0,0.107,4,0,42.5,60.0,0.624,89.889,38,49.9,79.738,80,52.785,42,22,84,7.084,5.0,8,1.124,46
6.398,10,34,12,8.2,0.62,0.0,0.23,9,0,33.3,88.0,0.583,168.071,76,85.735,147.519,147,91.171,71,12,148,6.867,6.1,22,1.143,72
6.6,8,12,8,7.3,0.648,0.0,0.106,7,0,37.6,77.0,0.614,123.507,52,66.951,109.621,109,70.626,57,16,113,7.349,6.4,16,1.133,61
5.987,9,29,10,7.1,0.625,0.0,0.203,11,0,34.3,88.0,0.593,159.662,70,83.068,141.203,140,87.546,70,12,143,7.11,7.9,22,1.14,73
6.0,8,28,13,9.1,0.632,0.0,0.19,7,0,36.4,97.0,0.598,162.985,71,85.559,143.239,143,90.336,72,26,147,6.926,4.9,20,1.14,76
5.5,8,24,9,6.7,0.638,0.0,0.173,9,0,38.1,93.0,0.607,151.995,65,81.376,134.603,134,85.461,69,22,139,7.076,6.7,18,1.134,74
8.155,3,15,4,3.7,0.654,0.0,0.132,9,0,41.7,81.0,0.626,121.427,50,67.635,108.676,108,70.626,58,28,114,7.324,8.3,13,1.124,64
6.6,9,23,10,7.5,0.64,0.0,0.165,9,0,38.1,95.0,0.611,152.078,64,81.871,134.821,134,85.705,70,22,139,7.174,6.7,19,1.135,75
5.7,9,25,12,8.4,0.622,0.0,0.17,9,0,35.0,92.0,0.591,163.32,72,84.494,143.675,143,89.001,71,16,147,6.89,6.3,21,1.142,75
7.204,6,20,7,6.3,0.635,0.0,0.175,6,0,36.0,69.0,0.593,126.045,57,65.796,110.843,111,70.45,54,12,114,6.884,5.4,14,1.136,57
5.1,8,20,11,8.7,0.626,0.0,0.153,8,0,35.4,84.0,0.596,144.952,63,75.651,127.712,127,79.495,64,16,131,6.978,6.3,19,1.141,68
7.456,2,8,3,3.3,0.666,2.2,0.082,3,2,41.3,62.0,0.616,103.353,46,56.717,91.316,92,61.228,46,18,97,7.215,3.3,8,1.123,51
9.509,1,9,2,2.3,0.668,2.3,0.097,2,2,42.0,58.0,0.613,98.645,45,53.98,86.887,88,58.768,43,18,93,7.054,2.3,6,1.121,48
7.796,1,10,3,2.9,0.67,1.9,0.092,2,2,42.7,70.0,0.617,115.389,52,63.582,101.639,103,69.058,51,24,109,7.047,1.9,7,1.12,57
8.699,1,8,3,3.2,0.662,2.2,0.082,2,2,40.9,60.0,0.608,104.559,48,56.529,91.872,93,61.535,45,18,98,6.987,2.2,7,1.124,50
4.0,6,17,7,9.0,0.639,0.0,0.213,7,0,37.2,59.0,0.622,88.767,35,48.529,79.374,78,49.881,43,16,80,7.612,9.0,14,1.138,45
7.481,3,9,4,6.3,0.675,0.0,0.136,3,0,44.4,52.0,0.644,70.604,28,40.552,62.992,63,42.523,35,22,66,7.438,4.8,7,1.121,38
7.701,3,8,3,4.3,0.688,0.0,0.108,4,0,44.3,57.0,0.65,78.065,31,45.486,70.061,70,48.142,39,22,74,7.739,5.7,8,1.115,43
6.886,6,22,7,6.8,0.63,0.0,0.212,6,0,35.0,63.0,0.59,117.214,53,60.742,103.076,103,64.927,50,12,104,6.913,5.8,14,1.138,51
8.155,5,9,5,6.6,0.663,0.0,0.113,6,0,42.1,63.0,0.642,85.561,33,48.771,76.843,76,50.415,43,22,80,7.68,7.9,11,1.126,47
6.26,5,18,5,5.4,0.649,0.0,0.189,7,0,40.2,68.0,0.621,103.846,43,57.12,92.589,92,59.677,49,22,95,7.281,7.6,12,1.129,52
7.304,4,10,4,5.2,0.665,0.0,0.123,6,0,42.9,62.0,0.64,86.478,34,49.276,77.625,77,51.171,43,22,81,7.568,7.8,10,1.123,47
4.699,6,20,7,6.3,0.635,0.0,0.175,6,0,36.0,69.0,0.593,126.045,57,65.796,110.843,111,70.45,54,12,114,6.884,5.4,14,1.136,57
4.5,5,15,6,6.2,0.629,0.0,0.15,5,0,37.1,61.0,0.591,110.171,50,57.292,96.687,97,61.057,47,12,100,6.669,5.2,11,1.136,50
8.456,4,8,5,6.3,0.672,0.0,0.094,5,0,43.8,67.0,0.645,89.767,35,51.583,80.4,80,53.722,45,26,85,7.572,6.3,10,1.122,50
7.987,3,8,4,5.2,0.687,0.0,0.098,4,0,44.2,64.0,0.65,85.979,34,50.034,77.047,77,52.909,43,26,82,7.725,5.2,9,1.117,48
7.854,3,8,4,5.4,0.665,1.4,0.103,4,1,43.2,59.0,0.638,83.399,33,47.23,74.483,74,49.199,41,22,78,7.523,5.4,9,1.127,45
4.0,6,17,6,7.8,0.641,0.0,0.215,8,0,37.7,59.0,0.626,87.478,34,48.222,78.6,77,49.33,43,16,79,7.723,10.4,14,1.136,45
4.0,4,17,5,5.1,0.666,0.0,0.163,6,0,43.4,79.0,0.636,111.052,45,62.932,99.145,99,65.983,54,32,104,7.353,6.1,11,1.122,59
6.62,6,18,5,5.2,0.648,0.0,0.18,8,0,40.2,72.0,0.622,109.471,45,60.361,97.799,97,62.892,52,22,100,7.339,8.2,13,1.129,55
4.0,4,18,5,5.0,0.682,0.0,0.17,6,0,46.0,86.0,0.654,111.637,43,65.405,100.261,100,68.222,57,38,106,7.619,6.0,11,1.116,63
4.0,5,11,5,9.8,0.595,0.0,0.216,6,0,29.4,31.0,0.582,58.9,25,29.664,52.309,51,30.37,26,0,51,7.283,11.8,11,1.155,26
6.62,6,19,8,6.8,0.642,0.0,0.154,6,0,39.0,82.0,0.607,133.623,58,71.63,117.868,118,75.808,60,22,123,6.942,5.1,14,1.132,65
8.097,3,8,4,6.0,0.676,0.0,0.113,3,0,44.8,55.0,0.643,75.019,30,43.078,66.876,67,45.284,37,22,71,7.383,4.5,7,1.12,41
6.377,5,15,4,4.8,0.657,0.0,0.172,7,0,41.7,65.0,0.631,94.517,38,53.045,84.72,84,55.148,46,22,87,7.462,8.3,11,1.125,49
5.447,6,22,7,7.0,0.632,0.0,0.218,6,0,35.0,62.0,0.592,113.799,51,59.215,100.192,100,63.165,49,12,101,6.98,6.0,14,1.138,50
4.0,6,15,5,6.2,0.64,0.0,0.181,8,0,38.3,60.0,0.62,91.81,37,50.254,82.265,81,51.847,44,16,83,7.503,9.9,13,1.133,46
8.046,4,9,3,4.2,0.666,0.0,0.122,4,0,43.7,54.0,0.631,79.561,33,44.825,70.869,71,47.256,38,18,74,7.207,5.6,7,1.121,41
8.444,6,21,7,6.5,0.633,0.0,0.193,6,0,35.5,66.0,0.591,121.629,55,63.269,106.959,107,67.688,52,12,109,6.898,5.6,14,1.137,54
5.0,6,18,5,5.4,0.633,0.0,0.189,8,0,37.6,64.0,0.606,105.471,45,56.361,93.799,93,58.892,48,16,95,7.138,8.6,13,1.134,50
7.564,3,8,4,5.0,0.686,1.3,0.094,4,1,45.0,66.5,0.653,89.418,35,52.201,80.178,80,54.881,45,27,85,7.79,5.0,9,1.118,50
8.194,3,8,4,5.4,0.666,0.0,0.103,4,0,43.2,58.0,0.633,83.059,34,46.847,73.97,74,49.262,40,22,78,7.28,5.4,8,1.122,44
4.0,4,9,4,6.7,0.661,0.0,0.143,5,0,41.7,49.0,0.641,67.607,26,38.454,60.763,60,39.671,34,16,63,7.709,8.3,9,1.127,37
5.0,6,16,5,6.0,0.638,0.0,0.186,8,0,38.1,61.0,0.616,95.225,39,51.781,85.149,84,53.608,45,16,86,7.402,9.5,13,1.134,47
6.854,6,18,5,5.3,0.65,0.0,0.186,8,0,40.4,71.0,0.626,106.056,43,58.835,94.916,94,61.131,51,22,97,7.424,8.5,13,1.128,54
6.42,5,18,4,4.5,0.644,0.0,0.2,7,0,39.8,62.0,0.615,99.348,42,54.098,88.487,88,56.671,46,18,90,7.168,8.0,11,1.129,48
7.398,1,8,2,2.4,0.667,2.4,0.089,6,2,41.2,60.0,0.63,95.445,40,53.523,85.487,85,56.682,45,18,90,7.714,7.1,10,1.123,50
6.0,1,8,2,2.4,0.667,2.4,0.089,6,2,41.2,60.0,0.63,95.445,40,53.523,85.487,85,56.682,45,18,90,7.714,7.1,10,1.123,50
6.569,1,8,2,2.4,0.667,2.4,0.089,6,2,41.2,60.0,0.63,95.445,40,53.523,85.487,85,56.682,45,18,90,7.714,7.1,10,1.123,50
6.28,6,19,7,6.1,0.639,0.0,0.161,6,0,38.6,76.0,0.602,129.125,57,68.609,113.766,114,72.802,57,18,118,6.843,5.3,13,1.133,61
5.0,6,21,7,6.7,0.634,0.0,0.198,6,0,35.6,65.0,0.594,118.214,53,61.742,104.076,104,65.927,51,12,106,6.962,5.8,14,1.137,53
6.398,6,21,7,6.5,0.633,0.0,0.193,6,0,35.5,66.0,0.591,121.629,55,63.269,106.959,107,67.688,52,12,109,6.898,5.6,14,1.137,54
7.815,6,21,7,6.7,0.634,0.0,0.198,6,0,35.6,65.0,0.594,118.214,53,61.742,104.076,104,65.927,51,12,106,6.962,5.8,14,1.137,53
8.2,4,12,5,5.3,0.668,4.2,0.121,5,4,37.9,64.0,0.627,107.449,45,59.581,95.88,95,63.483,50,12,99,8.102,5.3,14,1.131,54
4.623,4,15,5,5.7,0.677,0.0,0.163,6,0,44.8,75.0,0.653,97.391,37,56.825,87.61,87,58.938,50,32,92,7.722,6.9,11,1.119,55
6.301,6,19,5,5.2,0.648,0.0,0.19,8,0,40.2,72.0,0.622,109.471,45,60.361,97.799,97,62.892,52,22,100,7.339,8.2,13,1.129,55
5.77,6,17,5,5.6,0.635,0.0,0.185,8,0,37.8,63.0,0.609,102.056,43,54.835,90.916,90,57.131,47,16,92,7.22,8.9,13,1.134,49
7.638,3,8,4,4.8,0.672,0.0,0.091,4,0,44.6,66.5,0.637,92.889,38,52.9,82.738,83,55.785,45,27,88,7.263,4.8,8,1.119,50
7.638,3,9,4,5.8,0.667,0.0,0.125,3,0,43.5,54.0,0.632,77.434,32,43.605,68.76,69,46.046,37,22,72,7.198,4.3,7,1.122,40
4.0,5,10,5,8.8,0.638,0.0,0.169,6,0,36.8,44.0,0.626,64.9,25,35.664,58.309,57,36.37,32,10,59,7.781,10.5,11,1.139,34
6.959,5,16,4,4.4,0.65,0.0,0.17,8,0,40.7,68.0,0.624,102.557,42,56.813,91.814,91,59.125,49,22,94,7.372,8.8,12,1.127,52
6.102,5,19,4,4.7,0.639,0.0,0.221,7,0,36.5,55.0,0.603,96.268,42,51.285,85.563,85,54.319,43,12,86,7.233,8.2,12,1.133,44
8.77,3,8,4,5.0,0.675,0.0,0.094,4,0,45.0,65.5,0.642,89.474,36,51.374,79.854,80,54.023,44,27,85,7.359,5.0,8,1.118,49
7.936,3,8,4,4.8,0.661,0.0,0.09,4,0,42.9,63.0,0.624,94.304,40,52.427,83.621,84,55.546,44,22,89,7.057,4.8,8,1.123,49
8.119,3,9,4,5.1,0.66,0.0,0.11,5,0,42.3,60.0,0.629,87.683,36,49.088,78.181,78,51.478,42,22,82,7.291,6.4,9,1.124,46
9.222,4,13,5,5.0,0.666,4.0,0.125,4,4,38.0,65.0,0.619,113.07,49,61.919,100.319,100,66.552,51,12,104,7.817,4.0,13,1.131,55
8.77,3,8,5,6.4,0.67,0.0,0.096,4,0,43.6,64.0,0.639,87.557,35,49.868,78.072,78,52.267,43,26,83,7.407,5.1,9,1.123,48
8.959,3,8,4,5.0,0.662,0.0,0.094,6,0,42.5,63.0,0.635,89.893,36,50.803,80.509,80,52.932,44,22,85,7.459,7.5,10,1.124,49
8.0,4,12,5,5.6,0.67,4.4,0.129,4,4,37.8,60.0,0.626,101.824,43,56.339,90.669,90,60.267,47,12,93,8.085,4.4,13,1.131,50
6.114,6,18,5,5.3,0.65,0.0,0.186,8,0,40.4,71.0,0.626,106.056,43,58.835,94.916,94,61.131,51,22,97,7.424,8.5,13,1.128,54
6.959,5,16,4,4.5,0.652,0.0,0.176,8,0,40.9,67.0,0.628,99.142,40,55.286,88.93,88,57.364,48,22,91,7.464,9.1,12,1.127,51
4.0,4,15,6,6.8,0.676,0.0,0.161,5,0,44.3,75.0,0.649,98.68,38,57.131,88.385,88,59.489,50,32,93,7.623,5.7,11,1.121,55
4.0,6,13,6,9.0,0.595,0.0,0.194,7,0,29.9,39.0,0.575,77.268,34,38.507,68.272,67,39.875,33,0,67,7.024,10.4,13,1.153,33
7.597,5,10,5,6.1,0.666,0.0,0.116,6,0,40.2,65.0,0.634,92.311,37,52.012,82.687,82,54.586,45,22,86,7.705,7.3,12,1.126,49
8.367,3,8,4,5.4,0.665,1.4,0.103,4,1,43.2,59.0,0.638,83.399,33,47.23,74.483,74,49.199,41,22,78,7.523,5.4,9,1.127,45
8.523,4,12,5,5.4,0.671,4.3,0.125,5,4,38.0,63.0,0.631,104.034,43,58.054,92.996,92,61.722,49,12,96,8.213,5.4,14,1.131,53
8.036,3,8,4,5.4,0.665,1.4,0.103,4,1,43.2,59.0,0.638,83.399,33,47.23,74.483,74,49.199,41,22,78,7.523,5.4,9,1.127,45
8.456,3,8,4,5.2,0.66,3.9,0.099,4,3,42.9,62.0,0.643,87.493,33,49.523,78.392,77,50.836,44,22,81,7.879,5.2,11,1.136,48
8.31,3,8,4,5.2,0.66,3.9,0.099,4,3,42.9,62.0,0.643,87.493,33,49.523,78.392,77,50.836,44,22,81,7.879,5.2,11,1.136,48
7.53,10,29,10,7.9,0.627,0.0,0.228,10,0,34.1,81.0,0.597,143.792,62,75.246,127.341,126,79.046,64,12,127,7.232,7.9,21,1.141,65
7.268,5,14,6,7.1,0.654,0.0,0.161,6,0,40.5,65.0,0.629,94.889,38,52.846,84.712,84,54.944,46,22,87,7.462,7.1,12,1.13,49
7.595,9,25,9,7.7,0.633,0.0,0.21,9,0,35.0,77.0,0.602,133.254,57,70.456,118.145,117,74.063,60,12,119,7.283,7.7,19,1.139,62
7.35,10,30,10,7.6,0.618,0.0,0.227,10,0,34.4,82.0,0.589,149.703,66,77.112,132.032,131,80.921,65,12,132,6.925,7.6,20,1.143,66
7.678,5,16,6,6.5,0.648,0.0,0.167,6,0,39.8,68.0,0.617,105.135,44,57.426,93.363,93,60.228,49,22,96,7.192,6.5,12,1.13,52
