pXC50,Mp,nBO,SCBO,Sp,nBM,nBT,nSK,Sv,Se
4.346,0.675,19,26.0,20.938,13,32,18,20.327,31.385
5.788,0.77,31,42.5,32.341,19,45,28,30.624,43.044
5.556,0.717,32,42.0,35.137,16,51,30,33.57,50.098
4.764,0.722,32,43.0,34.671,17,50,30,33.205,49.062
4.917,0.722,35,46.0,36.125,17,53,32,34.92,51.389
5.585,0.711,35,49.0,36.994,22,54,33,36.185,53.116
4.747,0.698,36,47.0,39.102,17,58,34,37.689,57.484
4.427,0.722,35,46.0,36.125,17,53,32,34.92,51.389
5.57,0.689,35,49.0,37.898,22,57,33,36.885,55.676
6.038,0.705,33,47.0,33.858,22,50,31,33.5,49.094
4.016,0.705,34,45.0,39.5,17,58,32,37.071,56.385
4.405,0.717,36,47.0,36.579,17,54,33,35.635,52.716
5.599,0.707,39,51.0,42.409,18,63,36,40.501,61.04
4.77,0.733,31,44.0,32.256,21,46,29,31.591,44.989
6.482,0.73,38,52.5,39.438,26,57,35,38.174,55.185
6.021,0.755,37,50.0,39.284,22,55,34,37.538,53.167
4.656,0.7,32,45.0,33.614,21,50,30,33.005,48.876
4.0,0.668,15,20.0,18.034,8,27,15,17.207,27.687
5.097,0.716,41,53.0,42.932,18,63,38,41.683,61.938
4.409,0.709,36,45.0,38.29,17,59,31,35.851,54.276
4.228,0.701,30,41.5,35.733,19,53,28,33.234,50.545
4.427,0.716,40,54.5,42.96,26,63,37,41.227,60.953
4.678,0.714,30,43.0,31.398,21,46,28,30.764,44.665
5.025,0.716,22,30.5,24.341,16,36,20,23.019,34.244
4.0,0.671,24,33.0,26.159,15,40,23,25.59,39.698
4.026,0.712,33,44.0,37.739,17,55,31,35.544,53.502
5.294,0.71,34,47.0,36.233,21,53,32,35.359,52.083
5.029,0.699,34,44.0,36.341,16,54,32,35.283,53.589
5.827,0.73,38,52.5,39.438,26,57,35,38.174,55.185
4.0,0.688,24,32.0,25.466,14,38,23,25.111,38.247
4.0,0.691,37,48.0,40.074,17,60,35,38.856,59.614
4.372,0.736,23,32.0,22.801,15,32,22,22.884,32.804
4.224,0.642,39,46.5,44.91,13,75,34,41.745,69.192
5.658,0.703,35,46.0,36.551,17,54,33,35.802,53.847
5.551,0.749,40,54.0,41.193,23,58,37,39.968,56.822
5.119,0.754,31,41.0,34.682,16,48,29,32.335,47.054
5.121,0.744,31,44.0,32.75,21,46,29,31.789,44.894
5.117,0.716,41,53.0,42.932,18,63,38,41.683,61.938
4.0,0.676,14,18.0,17.58,7,26,14,16.492,26.36
5.105,0.735,30,40.0,31.614,16,45,28,30.517,44.331
5.114,0.721,30,40.0,32.426,16,47,28,31.131,45.982
5.322,0.724,36,48.5,37.642,21,55,33,36.373,53.193
4.0,0.687,16,22.5,17.171,12,26,15,16.778,25.4
4.0,0.69,39,52.5,44.171,25,67,36,41.739,64.069
4.0,0.66,16,22.0,18.489,9,28,16,17.922,29.015
4.0,0.703,33,45.0,33.063,21,50,30,32.699,48.102
4.699,0.737,32,42.5,34.659,18,50,29,32.479,47.804
4.678,0.682,27,35.5,32.733,13,50,25,30.234,47.545
4.398,0.705,35,47.0,36.676,23,56,31,34.938,52.309
4.444,0.728,30,41.5,30.597,19,45,27,29.557,42.665
4.561,0.708,29,40.5,33.972,19,50,27,31.707,47.662
4.553,0.758,27,38.5,29.546,19,41,25,27.954,39.334
4.796,0.703,30,41.5,34.426,19,51,28,32.422,48.989
4.854,0.807,26,37.0,27.426,21,37,23,25.593,34.425
4.745,0.71,29,40.5,32.665,19,48,27,30.895,46.105
5.658,0.794,43,60.0,45.25,33,62,38,42.73,57.716
4.0,0.659,36,46.0,37.568,16,60,33,36.841,58.214
6.011,0.708,29,39.0,29.744,16,44,27,29.16,43.287
