pXC50,Sp,MW,Se,nCL,Sv,nAT
6.796,37.807,453.4,53.218,2,35.723,53
6.001,36.801,438.38,51.116,2,34.702,51
7.319,36.046,439.37,50.334,2,34.197,50
6.648,37.256,454.38,52.443,2,35.417,52
6.427,38.563,452.41,54.0,2,36.229,54
7.222,36.801,438.38,51.116,2,34.702,51
5.0,35.04,424.35,48.233,2,33.175,48
5.0,38.591,459.4,52.007,2,36.482,52
5.0,38.04,460.38,51.233,2,36.175,51
5.0,51.284,593.6,75.174,2,48.314,75
5.083,42.358,500.46,57.992,2,40.03,58
5.817,42.358,500.46,57.992,2,40.03,58
6.082,42.358,500.46,57.992,2,40.03,58
5.441,38.625,522.39,56.858,2,37.895,55
5.593,46.37,607.51,69.938,2,45.211,68
5.411,44.137,523.52,64.181,2,41.621,64
6.24,43.131,508.5,62.08,2,40.6,62
5.462,35.841,439.38,50.327,2,33.998,50
5.64,37.603,453.41,53.211,2,35.525,53
5.0,38.125,445.44,55.978,2,35.578,56
6.076,36.364,431.41,53.094,2,34.051,53
6.293,34.603,417.38,50.211,2,32.525,50
6.27,43.699,561.48,64.4,2,42.255,63
6.721,43.699,561.48,64.4,2,42.255,63
7.041,43.699,561.48,64.4,2,42.255,63
7.553,43.699,561.48,64.4,2,42.255,63
6.478,42.125,493.48,59.978,2,39.578,60
6.544,40.818,495.45,58.422,2,38.766,58
6.618,40.818,495.45,58.422,2,38.766,58
7.678,43.034,525.48,62.632,2,41.008,62
7.495,41.375,497.48,60.298,2,39.094,60
7.041,39.608,480.44,56.312,2,37.546,56
7.237,40.818,495.45,58.422,2,38.766,58
7.377,40.341,475.47,60.189,2,37.82,60
7.294,54.421,625.66,77.832,2,51.201,78
6.886,35.376,354.55,55.221,0,32.649,56
5.101,35.376,354.55,55.221,0,32.649,56
6.599,34.472,374.96,52.661,1,31.95,53
5.769,33.552,358.51,52.85,0,31.505,53
5.256,32.711,360.93,49.778,1,30.423,50
5.99,36.233,388.99,55.545,1,33.476,56
7.285,36.233,388.99,55.545,1,33.476,56
7.357,48.552,525.15,70.305,1,45.331,71
7.284,38.017,407.0,55.334,1,35.235,56
7.824,35.819,424.02,54.283,1,33.346,54
7.638,39.767,464.41,55.007,2,37.428,55
8.721,39.341,508.39,57.429,2,38.104,56
7.959,36.495,443.37,51.411,2,34.591,51
8.495,38.131,493.38,55.32,2,36.884,54
7.387,43.847,494.5,62.651,2,40.809,63
6.324,43.33,505.48,60.985,2,40.777,61
8.495,38.585,509.38,56.647,2,37.599,55
8.469,38.585,509.38,56.647,2,37.599,55
8.347,38.585,509.38,56.647,2,37.599,55
6.772,38.585,509.38,56.647,2,37.599,55
9.357,37.728,474.94,56.323,1,36.771,55
7.268,37.728,474.94,56.323,1,36.771,55
7.076,36.87,440.5,56.0,0,35.944,55
8.921,38.182,490.94,57.651,1,37.486,56
7.807,36.972,475.93,55.541,1,36.266,54
9.0,36.642,423.95,53.189,1,34.785,53
8.796,39.381,559.42,57.494,2,38.689,55
8.022,35.887,424.94,52.407,1,34.279,52
8.721,37.5,458.39,53.512,2,35.612,53
9.137,38.256,457.4,54.294,2,36.117,54
6.699,38.773,455.41,55.109,2,36.449,55
9.31,40.495,503.99,61.309,1,39.32,60
8.081,42.296,483.47,60.876,2,39.503,61
9.108,37.767,525.97,56.389,1,37.356,54
8.0,46.415,543.67,73.025,0,44.784,72
6.089,46.54,507.69,71.999,0,44.017,72
5.71,48.302,521.72,74.883,0,45.544,75
5.513,39.018,431.59,62.232,0,36.964,62
9.0,49.915,555.17,75.988,1,46.877,76
9.155,49.915,555.17,75.988,1,46.877,76
9.699,49.915,555.17,75.988,1,46.877,76
8.174,48.154,541.14,73.105,1,45.35,73
9.0,48.154,541.14,73.105,1,45.35,73
7.0,47.966,595.11,74.643,1,46.5,73
8.0,44.881,529.09,68.658,1,42.812,68
6.07,49.012,575.58,73.429,2,46.178,73
9.699,49.012,575.58,73.429,2,46.178,73
9.398,49.012,575.58,73.429,2,46.178,73
9.523,49.012,575.58,73.429,2,46.178,73
7.921,47.234,524.69,73.294,0,44.906,73
6.502,47.171,542.68,73.807,0,45.289,73
8.553,47.171,542.68,73.807,0,45.289,73
8.367,47.171,542.68,73.807,0,45.289,73
9.301,48.091,559.13,73.618,1,45.733,73
8.854,48.091,559.13,73.618,1,45.733,73
9.301,48.091,559.13,73.618,1,45.733,73
9.699,46.33,545.1,70.734,1,44.207,70
9.0,48.091,559.13,73.618,1,45.733,73
8.108,48.091,559.13,73.618,1,45.733,73
7.481,40.353,486.01,60.789,1,38.737,60
7.959,41.211,520.45,61.112,2,39.565,60
7.854,41.211,520.45,61.112,2,39.565,60
7.886,40.29,504.0,61.301,1,39.121,60
8.252,41.966,519.46,61.894,2,40.07,61
8.31,41.966,519.46,61.894,2,40.07,61
7.959,41.046,503.01,62.083,1,39.626,61
8.602,39.284,488.98,59.2,1,38.099,58
9.046,49.16,556.16,75.207,1,46.371,75
8.31,49.16,556.16,75.207,1,46.371,75
7.137,49.16,556.16,75.207,1,46.371,75
7.959,47.398,542.13,72.323,1,44.845,72
8.194,47.398,542.13,72.323,1,44.845,72
7.903,47.398,542.13,72.323,1,44.845,72
8.959,49.16,556.16,75.207,1,46.371,75
7.302,45.637,528.1,69.439,1,43.318,69
8.796,48.256,576.57,72.647,2,45.672,72
8.222,44.733,548.51,66.88,2,42.619,66
8.699,47.336,560.12,72.836,1,45.228,72
7.917,43.813,532.06,67.069,1,42.174,66
7.354,43.813,532.06,67.069,1,42.174,66
7.553,42.052,518.03,64.185,1,40.648,63
9.046,49.012,575.58,73.429,2,46.178,73
8.569,45.489,547.52,67.661,2,43.124,67
9.046,48.091,559.13,73.618,1,45.733,73
8.194,44.569,531.07,67.85,1,42.68,67
6.197,44.569,531.07,67.85,1,42.68,67
7.607,44.569,531.07,67.85,1,42.68,67
7.745,44.569,531.07,67.85,1,42.68,67
9.398,46.33,545.1,70.734,1,44.207,70
9.097,46.33,545.1,70.734,1,44.207,70
8.699,42.807,517.04,64.967,1,41.153,64
8.244,42.807,517.04,64.967,1,41.153,64
4.699,20.858,189.33,32.054,0,18.763,33
5.31,21.273,227.3,30.8,0,20.092,31
6.119,26.381,241.41,39.821,0,23.816,41
5.409,21.336,209.31,30.287,0,19.709,31
5.638,25.858,249.38,37.054,0,23.763,38
5.721,21.336,209.31,30.287,0,19.709,31
6.0,23.097,223.34,33.171,0,21.236,34
4.523,19.574,195.28,27.403,0,18.182,28
5.42,24.858,237.37,36.054,0,22.763,37
4.921,23.62,215.37,35.938,0,21.289,37
5.276,22.193,243.75,30.611,1,20.537,31
5.022,23.097,223.34,33.171,0,21.236,34
5.208,28.143,255.44,42.705,0,25.343,44
4.523,17.336,161.27,26.287,0,15.709,27
4.523,15.574,147.24,23.403,0,14.182,24
4.523,24.858,237.37,36.054,0,22.763,37
7.041,27.143,243.43,41.705,0,24.343,43
4.523,17.336,161.27,26.287,0,15.709,27
4.62,23.097,223.34,33.171,0,21.236,34
4.523,26.097,259.37,36.171,0,24.236,37
7.699,26.029,249.46,38.898,0,23.003,40
4.959,19.097,175.3,29.171,0,17.236,30
5.357,21.336,209.31,30.287,0,19.709,31
4.523,21.336,209.31,30.287,0,19.709,31
5.268,21.858,201.34,33.054,0,19.763,34
8.276,22.336,221.32,31.287,0,20.709,32
4.0,31.267,317.47,49.571,0,29.014,50
7.796,30.035,300.51,44.0,0,27.025,45
7.585,29.813,289.46,47.243,0,27.299,48
7.495,33.79,333.52,54.338,0,31.068,55
4.0,23.074,219.36,36.265,0,21.004,37
4.0,32.211,359.47,51.334,0,30.718,51
