pXC50,CATS2D_03_DN,CATS2D_04_DD,SsOH,ATSC3s,MATS6e,GATS6e,CATS2D_05_DN,ATSC4s,Eta_C_A,MATS6s,CATS2D_02_NN,MAXDN,GATS4e,nO,X5Av,CATS2D_03_AN,Eta_sh_x,P_VSA_s_1,MATS4e,MCD,GATS2p,ATSC1s,CATS2D_04_DA,O.056,nPO4,P.117,D.Dtr05,SpMax7_Bh.s.,ATSC2e,MATS2p,MATS3e,CATS2D_04_NN,P_VSA_e_5,P_VSA_m_3,ATSC2s,nROH,X2Av,MATS4s,ATS4s,ATSC5e,O.059,MATS1p,SpMax8_Bh.s.,NssO,SssO,ATSC6s,CATS2D_01_AN,CATS2D_07_DN,SpMax6_Bh.s.,CATS2D_08_DD,BAC,P_VSA_LogP_3,Eig05_EA,SM13_AEA.bo.,Eig05_AEA.ri.,Eig05_EA.ed.,SM14_AEA.dm.,P_VSA_i_1,DBI,MATS5p,ATSC8s,ATS6s,Eig03_AEA.ri.,Eig03_EA,SM11_AEA.bo.,ATSC3m,Eig02_EA.ri.
5.444,3,2,46.264,223.417,-0.034,0.929,1,302.77,0.934,-0.043,1,6.118,0.878,12,0.029,3,0.164,12.997,0.106,0.407,0.795,98.011,8,5,2,2,86.044,6.346,1.749,0.138,-0.209,0,294.417,294.417,188.142,5,0.191,0.182,6.571,2.167,3,-0.358,6.23,4,17.68,263.63,5,1,6.4,2,93.0,206.238,2.313,2.313,3.246,7.029,7.029,12.997,4.528,0.052,193.646,6.221,3.847,2.856,2.856,27.888,2.981
6.553,3,2,46.386,227.855,-0.053,0.935,1,297.97,0.969,-0.057,1,6.12,0.909,12,0.029,3,0.157,12.997,0.098,0.393,0.846,96.002,8,5,2,2,90.362,6.346,1.776,0.093,-0.196,0,294.417,294.417,191.474,5,0.192,0.179,6.582,2.102,3,-0.345,6.23,4,18.014,252.679,5,1,6.4,2,96.0,206.238,2.319,2.319,3.252,7.038,7.038,12.997,4.637,0.048,213.216,6.249,3.847,2.856,2.856,32.986,2.981
5.455,3,2,46.606,213.589,-0.083,0.954,1,334.397,1.081,-0.075,1,6.129,0.787,12,0.028,3,0.182,12.997,0.172,0.367,0.854,88.38,8,5,2,2,98.998,6.346,1.808,0.1,-0.22,0,294.417,294.417,200.588,5,0.209,0.225,6.646,1.984,3,-0.322,6.23,4,18.477,233.589,5,1,6.4,2,136.0,206.238,2.77,2.77,3.72,8.921,8.921,12.997,5.148,0.043,245.317,6.316,4.05,3.104,3.104,36.882,2.982
5.672,3,2,46.809,215.494,-0.062,0.996,1,310.938,0.923,-0.055,1,6.138,0.903,12,0.029,3,0.132,12.997,0.138,0.515,0.863,91.314,8,5,2,2,108.923,6.346,1.775,0.074,-0.128,0,294.417,294.417,187.167,5,0.188,0.21,6.656,2.176,3,-0.294,6.23,4,18.523,247.6,5,1,6.4,2,70.0,253.62,2.525,2.525,3.513,7.075,7.075,12.997,4.69,0.088,195.857,6.306,3.847,2.856,2.856,33.959,2.981
6.81,6,3,60.617,426.404,0.153,0.94,5,668.793,1.162,0.152,3,7.049,0.768,23,0.037,12,0.149,39.414,0.297,0.534,0.712,163.503,16,6,4,4,549.27,7.411,3.498,0.185,-0.201,2,481.9,481.9,304.234,6,0.192,0.303,7.419,4.618,9,-0.375,7.402,9,43.752,652.505,12,3,7.411,2,197.0,319.54,2.997,2.997,3.99,10.312,10.312,39.414,6.403,-0.058,570.773,7.345,4.233,3.285,3.285,61.235,3.277
6.456,6,3,41.136,348.503,0.154,0.982,4,635.101,1.178,0.16,3,7.045,0.748,23,0.034,12,0.128,39.414,0.341,0.597,0.733,133.843,14,4,4,4,793.3,7.411,3.723,0.159,-0.188,2,418.533,418.533,292.044,4,0.187,0.377,7.441,4.528,11,-0.368,7.402,11,57.251,599.448,12,2,7.411,1,145.0,300.866,2.998,2.998,3.99,10.313,10.313,39.414,6.633,-0.07,522.053,7.377,4.238,3.31,3.31,69.637,3.277
4.856,3,2,27.322,147.66,-0.066,1.034,0,246.308,0.935,-0.081,1,6.082,0.731,10,0.026,3,0.122,12.997,0.241,0.657,0.784,70.859,7,3,2,2,229.984,4.931,1.846,0.111,-0.153,0,194.687,194.687,178.329,3,0.18,0.374,6.572,2.027,5,-0.34,4.817,5,26.829,169.384,5,0,5.274,0,42.0,192.034,2.612,2.612,3.6,8.217,8.217,12.997,4.583,0.041,160.375,6.219,4.01,3.068,3.068,33.775,3.088
4.856,3,2,27.678,160.446,-0.064,1.075,0,257.014,0.945,-0.094,1,6.135,0.741,11,0.025,3,0.097,12.997,0.247,0.659,0.837,66.729,8,3,2,2,299.147,5.161,1.969,0.067,-0.147,0,219.832,219.832,181.903,3,0.174,0.349,6.729,2.181,5,-0.31,4.895,5,27.183,185.994,5,0,6.23,0,42.0,206.518,2.662,2.662,3.627,8.533,8.533,12.997,5.148,0.038,170.374,6.498,4.03,3.088,3.088,40.8,3.092
5.513,6,3,40.992,358.47,0.183,0.862,4,645.208,1.175,0.161,3,7.031,0.821,23,0.034,12,0.137,39.414,0.281,0.635,0.705,140.765,14,4,4,4,729.28,7.411,3.702,0.178,-0.197,2,418.533,418.533,292.597,4,0.187,0.356,7.439,4.774,11,-0.385,7.402,11,57.364,596.723,12,2,7.411,1,145.0,262.962,2.998,2.998,3.991,10.313,10.313,39.414,6.325,-0.035,533.95,7.337,4.253,3.322,3.322,63.005,3.277
5.027,3,2,47.473,220.034,-0.06,1.011,1,291.316,0.879,-0.072,1,6.147,0.807,11,0.024,3,0.121,12.997,0.176,0.556,0.824,91.301,10,5,2,2,186.433,6.346,1.753,0.093,-0.139,0,283.198,283.198,185.501,5,0.176,0.229,6.681,2.049,3,-0.312,6.23,3,13.659,232.767,5,1,6.4,3,70.0,244.143,2.64,2.64,3.601,8.272,8.272,12.997,4.95,0.032,211.451,6.427,3.964,3.024,3.024,32.111,3.05
4.836,6,3,41.097,356.825,0.144,0.956,4,644.718,1.215,0.155,3,7.03,0.714,23,0.035,12,0.132,39.414,0.347,0.615,0.729,136.745,14,4,4,4,761.146,7.411,3.749,0.162,-0.205,2,418.533,418.533,301.561,4,0.19,0.391,7.442,4.877,11,-0.371,7.402,11,57.567,606.073,12,2,7.411,1,145.0,262.962,2.998,2.998,3.991,10.313,10.313,39.414,6.481,-0.024,551.454,7.362,4.24,3.312,3.312,71.476,3.277
6.717,6,3,60.523,433.062,0.17,0.878,5,673.85,1.161,0.152,3,7.043,0.806,23,0.037,12,0.155,39.414,0.261,0.554,0.696,167.596,16,6,4,4,524.553,7.411,3.475,0.195,-0.208,2,481.9,481.9,304.292,6,0.192,0.291,7.417,4.732,9,-0.384,7.402,9,43.816,651.041,12,3,7.411,2,197.0,300.587,2.997,2.997,3.99,10.312,10.312,39.414,6.245,-0.039,575.552,7.325,4.247,3.287,3.287,57.731,3.277
7.027,6,3,60.589,431.364,0.148,0.926,5,676.446,1.183,0.151,3,7.043,0.748,23,0.038,12,0.152,39.414,0.301,0.544,0.71,165.404,16,6,4,4,536.86,7.411,3.513,0.186,-0.21,2,481.9,481.9,309.639,6,0.194,0.312,7.419,4.808,9,-0.377,7.402,9,43.911,656.599,12,3,7.411,2,197.0,300.587,2.997,2.997,3.99,10.312,10.312,39.414,6.325,-0.034,587.515,7.337,4.234,3.285,3.285,62.132,3.277
7.284,6,3,61.749,334.702,0.196,0.937,5,567.834,1.155,0.252,3,6.994,0.759,19,0.033,12,0.141,39.414,0.316,0.607,0.668,146.59,18,6,4,4,876.513,6.357,3.455,0.223,-0.163,2,381.32,381.32,307.729,6,0.186,0.381,7.364,4.393,9,-0.371,6.348,9,45.489,564.338,12,3,6.4,3,145.0,347.429,3.071,3.071,4.018,10.594,10.594,39.414,6.403,-0.056,511.022,7.305,4.264,3.306,3.306,60.857,3.277
5.262,6,3,63.142,443.364,0.09,1.006,5,722.071,1.226,0.059,3,7.213,0.856,25,0.035,12,0.126,39.414,0.243,0.493,0.721,167.016,20,6,4,4,497.918,7.42,3.748,0.199,-0.165,2,532.189,532.189,331.241,6,0.184,0.226,7.576,5.583,7,-0.343,7.411,9,43.19,787.082,12,3,7.431,2,329.0,328.657,2.998,2.998,3.991,10.313,10.313,39.414,7.071,-0.059,756.995,7.534,4.193,3.267,3.267,70.058,3.277
6.264,6,3,60.643,400.435,0.158,0.938,5,655.019,1.192,0.166,3,7.032,0.754,22,0.038,12,0.152,39.414,0.308,0.544,0.708,162.566,17,6,4,4,536.86,7.402,3.484,0.192,-0.199,2,456.755,456.755,310.599,6,0.194,0.32,7.406,4.744,9,-0.369,6.495,9,44.084,637.127,12,3,7.411,2,197.0,300.587,2.997,2.997,3.99,10.312,10.312,39.414,6.325,-0.027,564.425,7.326,4.234,3.285,3.285,62.57,3.277
6.886,6,3,71.416,475.648,0.112,0.954,6,717.361,1.187,0.114,3,7.133,0.825,24,0.037,12,0.148,39.414,0.242,0.475,0.707,180.979,20,7,4,4,428.653,7.411,3.5,0.207,-0.192,2,538.728,538.728,325.028,7,0.19,0.225,7.491,5.15,7,-0.363,7.411,8,36.74,752.742,12,4,7.42,3,291.0,333.435,2.998,2.998,3.991,10.312,10.312,39.414,6.633,-0.039,670.183,7.445,4.192,3.262,3.262,61.504,3.277
4.763,4,2,70.093,446.608,0.032,1.027,4,605.251,1.115,0.03,2,6.801,0.887,20,0.036,8,0.148,29.56,0.146,0.489,0.75,166.012,14,7,3,3,317.302,7.406,2.768,0.17,-0.185,1,485.028,485.028,277.15,7,0.188,0.145,7.211,4.065,6,-0.351,6.499,6,27.167,594.42,9,2,7.411,2,197.0,301.081,2.802,2.802,3.781,9.377,9.377,29.56,5.568,-0.004,492.647,7.11,4.159,3.234,3.234,49.0,3.14
6.833,6,3,60.576,433.987,0.193,0.869,5,696.5,1.315,0.191,3,7.03,0.736,23,0.041,12,0.152,39.414,0.319,0.439,0.758,157.858,16,6,4,4,547.446,7.411,3.647,0.157,-0.141,2,481.9,481.9,331.848,6,0.206,0.332,7.429,4.701,9,-0.367,7.402,9,43.954,672.311,12,3,7.411,2,232.0,253.206,2.997,2.997,3.99,10.312,10.312,39.414,6.671,-0.035,591.547,7.349,4.233,3.284,3.284,79.586,3.277
7.357,6,3,79.828,473.87,0.156,0.925,6,683.208,1.159,0.146,3,7.036,0.803,22,0.042,12,0.179,39.414,0.245,0.449,0.688,193.643,19,8,4,4,355.698,7.402,3.185,0.223,-0.217,2,520.122,520.122,320.482,8,0.199,0.227,7.382,4.586,7,-0.378,6.499,7,30.555,673.235,12,4,7.411,4,257.0,338.213,2.997,2.997,3.989,10.312,10.312,39.414,6.164,-0.038,573.83,7.3,4.162,3.237,3.237,52.88,3.277
7.143,6,3,81.431,394.789,0.207,0.904,6,591.414,1.116,0.238,3,6.998,0.805,19,0.035,12,0.164,39.414,0.254,0.528,0.64,174.542,20,8,4,4,666.415,6.4,3.17,0.257,-0.176,2,444.687,444.687,312.362,8,0.189,0.279,7.339,4.234,7,-0.379,6.4,7,31.644,586.967,12,4,6.489,5,197.0,385.055,3.029,3.029,4.003,10.33,10.33,39.414,6.245,-0.07,545.432,7.274,4.222,3.298,3.298,51.111,3.277
7.009,6,3,60.224,443.918,0.173,0.865,5,677.012,1.234,0.162,3,7.02,0.787,23,0.039,12,0.165,39.414,0.269,0.472,0.705,168.181,16,6,4,4,502.898,7.411,3.535,0.193,-0.211,2,481.9,481.9,318.458,6,0.199,0.3,7.401,4.776,9,-0.396,7.402,9,43.329,656.758,12,3,7.411,2,228.0,253.206,2.997,2.997,3.99,10.312,10.312,39.414,6.364,-0.035,590.211,7.308,4.233,3.284,3.284,64.863,3.277
5.616,6,3,80.78,520.834,0.143,0.921,6,720.651,1.148,0.126,3,7.103,0.814,23,0.038,12,0.149,39.414,0.218,0.475,0.731,198.314,20,8,4,4,439.169,7.42,3.422,0.185,-0.219,2,545.267,560.227,334.593,8,0.189,0.189,7.468,4.897,7,-0.353,7.411,7,30.781,739.949,12,4,7.428,4,290.0,376.118,2.997,2.997,3.989,10.312,10.312,39.414,6.633,-0.042,605.131,7.422,4.163,3.238,3.238,59.001,3.277
7.553,5,3,55.594,281.627,0.18,0.768,4,401.019,0.985,0.221,2,6.529,0.736,15,0.041,7,0.211,22.85,0.269,0.355,0.698,128.874,12,6,3,3,103.253,6.4,2.182,0.218,-0.287,1,354.656,354.656,229.635,6,0.207,0.318,6.896,2.727,4,-0.407,6.351,5,21.118,383.936,8,1,6.437,1,135.0,243.37,2.728,2.728,3.713,8.905,8.905,22.85,5.244,-0.022,244.202,6.699,4.101,3.109,3.109,31.538,3.104
7.0,6,3,79.714,510.534,0.145,0.916,6,705.602,1.15,0.124,3,7.046,0.799,23,0.042,12,0.18,39.414,0.236,0.449,0.689,198.115,18,8,4,4,355.698,7.411,3.203,0.216,-0.231,2,545.267,545.267,322.944,8,0.198,0.22,7.395,4.648,7,-0.387,7.402,7,30.442,697.962,12,4,7.411,3,257.0,338.213,2.997,2.997,3.989,10.312,10.312,39.414,6.164,-0.045,595.79,7.313,4.163,3.237,3.237,52.342,3.277
4.0,0,0,36.868,174.881,-0.017,1.023,1,187.261,0.869,0.022,0,5.539,1.09,8,0.027,0,0.102,3.143,-0.15,0.524,0.898,70.918,3,4,1,1,60.995,4.86,1.095,-0.041,-0.08,0,222.96,222.96,134.704,4,0.183,-0.143,5.939,1.494,2,-0.21,4.581,2,9.453,203.769,2,0,6.23,0,53.0,169.107,1.864,1.864,2.802,5.455,5.455,48.335,3.391,0.121,91.917,6.046,3.707,2.767,2.767,22.717,2.97
4.0,0,0,36.899,169.674,0.025,0.934,1,180.986,0.858,0.03,0,5.536,1.005,8,0.025,0,0.107,3.143,-0.122,0.524,1.028,75.288,4,4,1,1,60.995,5.12,1.114,-0.053,-0.1,0,222.96,222.96,139.577,4,0.17,-0.123,5.925,1.543,2,-0.242,4.593,2,9.491,206.085,2,0,6.23,0,53.0,169.107,1.864,1.864,2.805,5.455,5.455,3.143,3.391,0.081,122.675,6.058,3.702,2.767,2.767,21.555,2.959
4.0,0,0,35.835,142.49,0.089,0.918,0,152.04,0.89,-0.052,0,5.676,0.948,9,0.028,0,0.16,6.287,-0.118,0.519,0.86,76.749,2,4,2,2,134.364,5.16,1.604,0.028,-0.171,0,213.897,213.897,187.536,4,0.182,-0.146,5.945,1.94,3,-0.393,4.703,3,14.734,191.694,4,4,6.23,4,64.0,148.527,2.421,2.421,3.347,8.099,8.099,6.287,4.416,-0.087,258.212,6.232,4.091,3.098,3.098,25.021,3.076
4.392,3,2,45.866,267.637,-0.085,1.019,1,339.657,0.898,-0.095,1,6.123,0.822,12,0.03,3,0.177,12.997,0.146,0.44,0.813,111.371,8,5,2,2,77.611,6.4,1.61,0.107,-0.223,0,308.343,308.343,186.263,5,0.193,0.187,6.579,2.073,3,-0.358,6.346,3,13.001,283.144,5,1,6.437,2,87.0,206.238,2.21,2.21,3.196,6.519,6.519,12.997,4.301,0.06,233.399,6.184,3.847,2.854,2.854,25.485,2.983
5.764,4,3,56.975,240.039,0.132,0.87,3,342.276,0.951,0.206,1,6.298,0.74,12,0.039,4,0.202,19.707,0.275,0.452,0.732,118.8,12,6,3,3,168.882,6.34,1.835,0.146,-0.231,0,298.029,298.029,193.783,6,0.228,0.335,6.797,2.3,4,-0.251,6.23,4,17.534,296.045,6,1,6.351,2,108.0,266.791,2.734,2.734,3.732,8.974,8.974,60.866,5.099,0.023,236.962,6.565,4.109,3.116,3.116,30.927,3.105
5.638,5,3,56.092,273.861,0.178,0.811,4,379.391,0.976,0.232,2,6.523,0.668,13,0.035,7,0.199,22.85,0.318,0.438,0.672,133.243,13,6,3,3,174.637,6.351,2.017,0.206,-0.269,1,318.292,318.292,221.041,6,0.202,0.365,6.878,2.532,4,-0.401,6.34,4,16.921,335.777,8,1,6.4,2,129.0,266.791,2.735,2.735,3.732,8.974,8.974,22.85,5.148,-0.037,267.476,6.663,4.11,3.117,3.117,24.768,3.105
7.071,5,3,55.982,265.14,0.194,0.795,4,375.263,0.929,0.257,2,6.506,0.675,13,0.036,7,0.209,22.85,0.318,0.452,0.67,128.92,13,6,3,3,168.882,6.351,2.017,0.227,-0.256,1,318.292,318.292,220.401,6,0.201,0.364,6.856,2.436,4,-0.406,6.34,4,16.929,330.316,8,1,6.4,2,108.0,266.791,2.734,2.734,3.732,8.974,8.974,22.85,5.099,-0.04,259.483,6.639,4.109,3.116,3.116,28.033,3.105
4.0,3,2,46.637,207.921,-0.056,0.991,1,278.007,0.873,-0.052,1,6.094,0.821,10,0.026,3,0.162,12.997,0.145,0.519,0.759,98.66,9,5,2,2,137.664,6.23,1.593,0.151,-0.165,0,258.054,258.054,181.066,5,0.184,0.22,6.515,1.878,3,-0.351,5.271,3,13.456,215.487,5,1,6.346,3,70.0,229.659,2.387,2.387,3.313,7.928,7.928,12.997,4.359,0.033,207.503,6.123,3.944,3.003,3.003,24.758,3.042
5.0,1,1,9.64,72.489,-0.023,1.036,0,134.263,0.72,0.017,0,5.683,0.914,6,0.022,0,0.059,1.339,0.032,0.667,0.847,38.473,5,1,0,0,0.0,4.879,0.578,0.085,-0.104,0,144.699,144.699,104.63,1,0.16,0.019,6.375,1.113,0,0.007,4.683,1,5.17,183.02,2,0,5.068,0,54.0,158.619,2.484,2.484,3.498,7.698,7.698,1.339,3.674,0.065,134.47,6.35,3.747,2.772,2.772,17.153,3.032
5.0,1,1,9.786,53.5,0.065,1.01,0,126.867,0.754,0.066,0,5.694,0.895,5,0.024,0,0.05,1.339,0.098,0.743,0.945,31.637,4,1,0,0,0.0,4.81,0.409,-0.039,-0.029,0,133.699,133.699,90.217,1,0.166,0.076,6.447,0.94,0,0.042,4.703,0,0.0,170.416,2,0,5.068,0,38.0,206.0,2.522,2.522,3.53,7.993,7.993,1.339,3.742,0.052,114.064,6.446,3.782,2.796,2.796,23.295,3.032
5.0,1,1,9.766,70.921,0.022,0.973,0,134.062,0.722,0.039,0,5.719,1.031,6,0.022,0,0.05,1.339,0.026,0.743,0.984,35.588,5,1,0,0,0.0,4.941,0.479,-0.083,-0.109,0,144.699,144.699,93.78,1,0.159,0.034,6.44,1.052,0,0.017,4.705,1,5.834,176.544,2,0,5.069,0,38.0,206.0,2.522,2.522,3.522,7.993,7.993,1.339,3.742,0.058,133.523,6.443,3.76,2.796,2.796,21.627,3.032
5.0,2,3,19.537,166.474,0.104,0.799,1,239.016,0.835,0.063,0,5.9,0.863,8,0.023,0,0.085,2.678,0.04,0.634,0.864,87.845,7,2,0,0,0.0,6.313,1.079,-0.028,-0.128,0,217.108,217.108,198.086,2,0.169,-0.005,6.717,1.954,0,-0.062,6.311,0,0.0,271.194,4,0,6.999,0,126.0,189.577,2.735,2.735,3.654,8.596,8.596,2.678,4.637,0.065,285.028,6.712,4.2,3.244,3.244,11.007,3.08
4.614,1,2,9.78,97.197,-0.021,0.987,0,167.387,0.784,0.014,0,5.762,0.829,5,0.021,0,0.047,1.339,0.116,0.703,0.901,49.381,5,1,0,0,0.0,5.067,0.741,-0.071,-0.108,0,133.699,133.699,115.069,1,0.159,0.053,6.516,1.36,0,-0.007,4.786,0,0.0,209.45,2,0,5.254,0,66.0,158.619,2.603,2.603,3.554,8.237,8.237,1.339,3.873,0.077,166.922,6.479,3.775,2.839,2.839,12.019,3.032
4.523,1,2,9.729,132.123,-0.061,0.993,0,198.103,0.736,-0.003,0,5.768,0.788,7,0.021,0,0.049,1.339,0.126,0.703,0.924,54.774,7,1,0,0,0.0,6.312,0.78,0.004,-0.177,0,183.989,183.989,121.139,1,0.15,0.092,6.604,1.405,0,0.04,5.068,0,0.0,218.985,2,0,6.999,0,66.0,158.619,2.589,2.589,3.574,8.172,8.172,1.339,3.873,0.085,197.271,6.501,3.774,2.825,2.825,18.239,3.032
5.018,5,3,56.942,387.078,0.161,0.82,4,457.482,1.114,0.165,2,6.706,0.837,14,0.056,6,0.235,19.059,0.158,0.355,0.779,150.438,11,6,1,1,103.33,6.435,1.97,0.313,-0.068,1,365.738,365.738,253.019,6,0.27,0.223,6.896,2.851,3,-0.258,6.4,3,13.346,402.732,6,1,6.495,1,177.0,252.576,2.729,2.729,3.712,8.902,8.902,19.059,5.523,-0.045,306.861,6.693,4.148,3.196,3.196,30.848,3.159
6.083,5,3,58.182,409.123,0.126,0.841,4,532.359,1.125,0.145,2,6.772,0.91,15,0.046,6,0.182,19.059,0.117,0.425,0.799,147.783,10,6,1,1,131.459,6.495,2.132,0.268,0.018,1,390.883,390.883,270.966,6,0.246,0.148,7.065,3.207,3,-0.237,6.435,3,13.654,457.019,6,1,7.409,1,204.0,299.958,2.747,2.747,3.752,9.537,9.537,19.059,5.958,-0.036,406.973,6.893,4.185,3.21,3.21,41.776,3.159
5.742,5,3,57.102,360.654,0.165,0.825,4,429.208,1.138,0.194,2,6.686,0.859,13,0.058,6,0.227,19.059,0.154,0.355,0.748,141.173,11,6,1,1,103.33,6.4,1.916,0.282,-0.032,1,340.594,340.594,245.203,6,0.278,0.23,6.862,2.778,3,-0.246,6.351,3,13.47,382.206,6,1,6.435,1,177.0,252.576,2.729,2.729,3.699,8.902,8.902,64.251,5.523,-0.018,265.402,6.668,4.146,3.196,3.196,32.666,3.159
5.31,5,3,55.126,549.192,0.117,0.801,4,534.038,1.029,0.101,2,7.57,0.892,14,0.047,6,0.249,19.059,0.075,0.355,1.102,177.055,11,6,1,1,103.33,7.406,2.235,0.033,0.076,1,365.738,395.659,322.723,6,0.22,0.103,6.926,3.186,3,-0.252,6.494,3,12.548,447.806,6,1,7.411,1,177.0,252.576,2.729,2.729,3.712,8.902,8.902,19.059,5.523,0.002,360.842,6.716,4.148,3.196,3.196,29.165,3.185
