pXC50,CATS2D_08_AL,CATS2D_07_AL,CATS2D_05_AA,Eig02_EA.dm.,CATS2D_06_AL,P_VSA_e_3,SpAD_EA.dm.,SM02_EA.dm.,ATS6m,ATSC7p,ATS7v,C.008,ATS7p,Eig03_EA.dm.,C.040,P_VSA_s_6,SsOH,X5sol,MAXDP,P_VSA_s_5,SssNH,CATS2D_05_DA,Eig04_EA.dm.,ATSC6s,CATS2D_07_DD,Hy,nHAcc,P_VSA_m_3,P_VSA_v_2,SAacc,SAdon,SdssC,NssNH,NsOH,MATS5s,CATS2D_09_DD,GATS2p,CATS2D_05_DL,H.050,MLOGP,nHDon,nO,PHI,Uindex,X3v,CATS2D_07_DL,ATSC8i,SpMin4_Bh.p.,SpMax2_Bh.v.,C.005,CATS2D_02_PL,ATSC1i,ATSC8s,CATS2D_02_DA,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_04_DL,CATS2D_06_DA,CATS2D_06_DD,CATS2D_08_DA,CATS2D_08_DL,CATS2D_09_DA,CATS2D_09_DL,CATS2D_09_DP,DLS_01
5.0,8,7,1,0.916,5,24.259,7.614,1.972,3.868,11.992,3.979,1,4.12,0.86,1,36.145,0.0,7.22,5.75,18.011,3.212,0,0.8,41.76,0,-0.45,5,36.145,60.404,60.404,18.011,0.002,1,0,-0.109,0,0.934,2,1,3.646,1,2,8.617,57.518,6.21,4,1.431,1.893,3.865,2,0,0.963,43.241,1,1,0,2,2,0,0,0,2,1,1,0,1.0
6.0,9,7,2,1.652,6,60.281,13.683,2.793,4.145,14.854,4.281,2,4.41,0.916,1,61.29,0.0,7.128,6.082,54.032,8.831,2,0.86,92.149,0,0.755,8,61.29,121.571,121.571,54.032,-0.496,3,0,0.141,0,1.047,7,3,2.328,3,3,11.874,77.489,6.327,5,2.088,1.903,3.82,2,0,1.145,70.645,3,2,1,4,7,1,0,1,3,1,3,0,0.75
6.93,9,6,2,1.058,9,42.27,12.022,2.623,4.313,17.572,4.354,2,4.498,0.916,2,61.29,0.0,9.11,6.264,36.022,6.225,1,0.86,93.559,0,0.111,7,61.29,103.56,103.56,36.022,-0.282,2,0,0.157,0,0.908,6,2,2.978,2,3,10.922,70.825,8.06,3,2.284,1.903,3.874,2,0,1.166,61.209,2,2,1,4,4,1,0,0,3,1,4,0,0.75
5.0,5,3,1,0.916,2,24.259,9.61,2.397,3.331,6.947,3.444,1,3.603,0.86,1,36.145,0.0,3.972,4.101,18.011,2.999,0,0.8,33.296,0,-0.326,5,36.145,60.404,60.404,18.011,0.063,1,0,-0.056,0,0.961,1,1,1.519,1,2,7.185,45.797,4.028,2,0.798,1.725,3.672,2,0,0.729,24.541,1,1,0,0,0,0,0,0,0,1,0,0,1.0
5.5,10,8,2,1.058,9,42.27,12.022,2.623,4.245,15.924,4.332,2,4.447,0.916,2,70.797,0.0,8.366,6.23,36.022,6.087,1,0.86,108.401,0,0.111,8,70.797,113.067,113.067,36.022,-0.513,2,0,0.137,0,1.017,6,2,2.23,2,4,10.576,70.825,6.945,3,2.153,1.903,3.873,2,0,1.148,68.686,2,3,1,3,4,2,0,0,3,1,4,0,0.75
6.3,9,6,2,1.058,8,59.056,12.022,2.623,4.239,15.892,4.344,2,4.467,0.916,2,61.29,0.0,8.366,6.25,52.807,6.169,1,0.86,99.507,0,0.722,7,61.29,120.345,103.56,52.807,-0.374,2,0,0.153,0,1.017,7,3,2.23,3,3,10.576,70.825,7.07,5,2.242,1.903,3.873,2,0,1.189,64.979,2,3,2,5,5,2,1,0,4,2,4,0,0.75
6.7,8,7,2,1.058,8,88.224,12.022,2.623,4.368,16.695,4.31,2,4.45,0.916,2,61.29,0.0,7.644,6.135,81.976,6.129,1,0.86,91.449,0,0.135,7,61.29,103.56,103.56,36.022,-0.34,2,0,0.093,0,0.887,5,2,3.227,2,3,11.907,77.519,6.931,4,2.1,1.903,3.852,2,0,1.095,65.857,2,2,1,4,5,1,0,0,1,1,3,0,0.75
5.0,7,5,2,1.058,5,42.27,12.022,2.623,4.003,10.954,3.927,1,4.043,0.916,2,139.587,0.0,6.951,5.296,36.022,5.62,1,0.86,76.258,0,0.206,7,61.29,103.56,103.56,36.022,-0.581,2,0,0.197,0,0.842,4,2,2.813,2,3,10.478,68.058,6.316,3,1.275,1.866,3.856,2,0,0.929,69.087,2,2,1,2,1,1,0,0,2,1,3,0,0.75
5.0,7,5,1,0.916,5,24.259,7.614,1.972,3.75,10.68,3.888,1,4.039,0.86,1,36.145,0.0,5.93,5.566,18.011,3.199,0,0.8,47.258,0,-0.415,5,36.145,60.404,60.404,18.011,0.028,1,0,-0.015,0,0.898,3,1,3.074,1,2,8.174,55.891,5.725,2,1.336,1.81,3.858,2,0,0.914,30.203,1,1,0,2,2,0,0,0,0,1,0,0,1.0
6.9,9,6,2,1.058,8,42.27,12.022,2.623,4.287,16.814,4.332,2,4.466,0.916,2,139.587,0.0,7.882,6.162,36.022,6.042,1,0.86,106.541,0,0.149,7,61.29,103.56,103.56,36.022,-0.503,2,0,0.152,0,0.895,6,2,3.59,2,3,12.191,80.902,7.216,3,2.044,1.903,3.856,2,0,1.082,84.505,2,2,1,4,4,1,0,0,2,1,3,0,0.75
5.0,10,8,2,1.058,9,42.27,12.022,2.623,4.245,15.924,4.332,2,4.447,0.916,2,70.797,0.0,8.366,6.23,36.022,6.087,1,0.86,108.401,0,0.111,8,70.797,113.067,113.067,36.022,-0.513,2,0,0.137,0,1.017,6,2,2.23,2,4,10.576,70.825,6.945,3,2.153,1.903,3.873,2,0,1.148,68.686,2,3,1,3,4,2,0,0,3,1,4,0,0.75
6.563,3,2,0,0.8,7,3.124,6.327,2.168,3.883,10.742,3.777,0,3.95,0.636,1,75.293,0.0,6.184,5.524,0.0,0.0,0,0.0,51.281,0,-0.815,3,36.145,39.269,39.269,0.0,-0.249,0,0,-0.059,0,0.78,0,0,4.0,0,2,4.535,36.38,4.587,0,0.949,1.584,3.806,2,0,0.554,59.14,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5.398,1,9,2,0.782,6,22.789,4.479,1.398,4.002,13.932,4.123,1,4.29,0.657,0,55.812,0.0,6.242,1.996,0.0,0.0,0,0.0,33.099,0,-0.836,3,0.0,22.789,22.789,0.0,1.195,0,0,0.009,0,0.893,0,0,4.657,0,0,6.471,43.808,5.584,0,1.603,1.686,3.813,1,0,0.762,36.756,0,0,0,0,0,0,0,0,0,0,0,0,0.75
6.3,10,7,3,1.392,7,42.27,15.868,2.902,4.243,15.953,4.341,2,4.458,1.058,2,83.29,0.0,8.124,6.231,36.022,6.115,2,0.916,100.36,0,0.136,9,83.29,125.56,125.56,36.022,-0.437,2,0,0.151,0,0.969,5,2,2.318,2,5,10.771,70.822,6.93,3,2.155,1.903,3.857,2,0,1.142,78.658,2,2,1,4,4,2,0,1,1,2,2,0,0.75
5.0,5,4,1,0.916,4,24.259,7.614,1.972,3.715,9.863,3.714,1,3.885,0.86,1,36.145,0.0,5.145,5.174,18.011,3.149,0,0.8,33.976,0,-0.346,5,36.145,60.404,60.404,18.011,0.049,1,0,-0.131,0,0.892,1,1,2.301,1,2,7.678,47.489,5.569,2,1.069,1.725,3.822,2,0,0.815,27.577,1,1,0,2,1,0,0,0,0,1,0,0,1.0
5.0,6,5,1,1.058,4,24.259,15.265,3.297,3.815,10.118,3.868,1,3.98,0.916,1,81.025,0.0,5.683,5.382,18.011,2.93,0,0.86,62.387,0,-0.341,8,81.025,105.285,105.285,18.011,-0.346,1,0,-0.1,0,0.919,2,1,3.445,1,2,8.442,61.862,5.43,2,1.353,1.805,3.851,2,0,1.075,62.389,1,1,0,2,2,0,0,0,0,1,0,0,1.0
5.0,6,5,1,1.058,4,55.319,11.684,2.738,3.733,10.18,3.831,1,3.973,0.916,2,67.204,0.0,5.793,5.419,34.612,3.107,0,0.86,46.391,0,-0.382,6,36.145,91.464,91.464,18.011,-0.081,1,0,-0.114,0,0.92,2,1,2.285,1,2,8.129,55.894,5.232,2,1.219,1.797,3.851,2,0,0.863,34.785,1,1,0,2,2,0,0,0,0,1,0,0,1.0
6.2,10,9,2,1.058,9,59.056,12.022,2.623,4.253,16.058,4.361,2,4.477,0.916,2,78.075,0.0,8.662,6.28,36.022,6.135,1,0.86,101.954,0,0.099,8,61.29,120.345,120.345,36.022,-0.463,2,0,0.111,0,1.004,6,2,2.344,2,3,10.934,73.681,7.127,4,2.273,1.903,3.873,2,0,1.199,72.13,2,3,1,3,4,2,0,0,3,1,4,0,0.75
6.4,10,7,2,1.937,6,42.27,18.35,3.133,4.232,16.624,4.353,2,4.478,1.392,2,83.29,0.0,8.218,6.226,36.022,6.161,1,0.916,106.213,0,0.124,9,83.29,125.56,125.56,36.022,-0.298,2,0,0.08,0,0.988,6,2,2.24,2,5,11.389,73.675,7.127,4,2.222,1.903,3.859,2,0,1.181,78.061,2,2,1,3,5,2,0,0,2,2,2,0,0.75
6.2,6,5,1,0.916,5,24.259,7.614,1.972,3.853,10.92,3.867,1,4.023,0.86,1,75.293,0.0,6.125,5.523,18.011,3.156,0,0.8,63.852,0,-0.382,5,36.145,60.404,60.404,18.011,-0.03,1,0,-0.047,0,0.848,2,1,3.342,1,2,8.43,55.891,5.8,2,1.257,1.797,3.854,2,0,0.865,31.108,1,1,0,2,2,0,0,0,0,1,0,0,1.0
5.0,7,6,1,0.916,6,24.259,7.614,1.972,3.824,11.063,3.929,1,4.065,0.86,1,36.145,0.0,7.128,5.746,18.011,3.217,0,0.8,46.084,0,-0.434,5,36.145,60.404,60.404,18.011,0.012,1,0,-0.048,0,0.915,3,1,3.326,1,2,7.668,52.425,5.967,3,1.385,1.836,3.869,2,0,0.918,33.381,1,1,0,2,2,0,0,0,0,1,0,0,1.0
5.301,2,8,1,1.299,11,24.259,8.779,2.336,4.214,14.553,4.257,1,4.389,0.8,0,64.294,0.0,6.88,5.769,18.011,3.125,1,0.444,62.543,0,-0.394,4,25.145,49.404,49.404,18.011,2.059,1,0,0.093,0,0.843,3,1,3.983,1,1,7.03,48.964,5.683,2,1.856,1.796,3.814,1,0,0.788,60.988,2,0,0,3,3,0,0,0,1,0,0,0,1.0
5.45,5,2,0,0.8,5,21.135,4.707,1.557,3.765,10.43,3.85,1,3.998,0.473,1,64.294,0.0,4.681,5.61,18.011,3.157,0,0.0,46.204,0,-0.369,3,25.145,46.28,46.28,18.011,-0.04,1,0,-0.105,0,0.805,1,1,3.986,1,1,6.343,44.906,4.084,0,1.194,1.62,3.841,2,0,0.622,60.477,1,0,0,4,5,0,0,0,0,0,0,0,1.0
6.6,4,0,0,2.204,7,21.135,15.566,3.45,3.893,8.656,3.777,1,3.852,0.814,0,120.174,0.0,4.951,5.194,18.011,2.452,0,0.8,92.597,0,-0.272,7,81.025,102.16,102.16,18.011,-0.742,1,0,-0.106,0,0.808,2,1,4.185,1,2,7.397,58.387,4.04,0,1.119,1.642,3.844,2,0,0.837,194.522,2,0,0,2,3,1,0,0,1,0,0,0,0.75
5.84,6,4,0,0.8,6,21.135,4.707,1.557,3.922,11.373,3.951,1,4.084,0.473,1,64.294,0.0,6.288,5.837,18.011,3.175,0,0.0,47.218,0,-0.429,3,25.145,46.28,46.28,18.011,-0.071,1,0,-0.034,0,0.848,1,1,4.834,1,1,6.993,49.652,4.949,2,1.296,1.854,3.869,2,0,0.695,71.424,1,0,0,4,4,0,0,0,2,0,1,0,0.75
5.87,6,0,0,0.86,5,39.146,8.031,2.173,3.851,9.585,3.797,1,3.922,0.8,0,75.293,0.0,5.073,5.405,36.022,5.88,0,0.564,65.398,0,0.273,5,36.145,75.291,75.291,36.022,-0.257,2,0,-0.026,0,0.802,3,2,3.065,2,2,7.56,51.429,4.022,0,1.111,1.677,3.82,3,0,0.683,74.592,2,0,0,3,7,2,0,0,1,0,0,0,1.0
5.85,4,2,0,0.8,5,21.135,4.707,1.557,3.713,9.546,3.752,1,3.901,0.473,1,64.294,0.0,4.54,5.389,18.011,3.116,0,0.0,44.883,0,-0.354,3,25.145,46.28,46.28,18.011,-0.056,1,0,-0.013,0,0.84,1,1,3.759,1,1,6.136,41.893,3.731,0,1.033,1.617,3.821,2,0,0.583,58.845,1,0,0,4,4,0,0,0,0,0,0,0,1.0
6.57,8,2,0,0.814,7,21.135,7.916,2.457,3.933,9.705,3.885,1,3.997,0.8,0,75.293,0.0,6.47,5.49,18.011,2.819,0,0.141,63.581,0,-0.405,4,36.145,57.28,57.28,18.011,-0.476,1,0,-0.01,0,0.853,3,1,4.433,1,2,7.56,52.543,4.82,2,1.29,1.856,3.869,2,0,0.711,69.997,2,0,0,2,3,1,0,0,2,0,0,0,0.75
5.87,6,2,0,0.86,5,21.135,6.427,1.828,3.815,9.856,3.816,1,3.947,0.8,1,75.293,0.0,4.861,5.548,18.011,3.112,0,0.473,54.971,0,-0.342,4,36.145,57.28,57.28,18.011,-0.101,1,0,-0.023,0,0.771,0,1,3.446,1,2,6.944,48.179,4.047,0,1.108,1.634,3.826,3,0,0.632,71.721,1,0,0,4,4,1,0,0,0,0,0,0,1.0
7.18,8,2,0,0.86,5,21.135,6.427,1.828,3.999,12.278,4.005,1,4.145,0.8,1,75.293,0.0,6.412,5.818,18.011,3.144,0,0.473,58.638,0,-0.405,4,36.145,57.28,57.28,18.011,-0.116,1,0,-0.039,0,0.911,0,1,4.563,1,2,7.56,52.502,4.79,0,1.321,1.857,3.846,2,0,0.711,67.653,1,0,0,4,4,1,0,0,2,0,2,0,0.75
6.28,6,4,0,0.814,9,21.135,7.916,2.457,3.887,8.983,3.828,1,3.922,0.8,0,75.293,0.0,6.288,5.471,18.011,2.832,0,0.141,59.004,0,-0.382,4,36.145,57.28,57.28,18.011,-0.469,1,0,-0.031,0,0.82,4,1,4.088,1,2,6.59,46.894,4.577,0,1.184,1.708,3.872,2,0,0.667,73.243,2,0,0,2,4,1,0,0,1,0,0,0,1.0
5.73,5,2,0,0.8,6,3.124,6.327,2.168,3.817,10.763,3.898,1,4.042,0.636,1,75.293,0.0,5.191,5.651,0.0,0.0,0,0.0,63.097,0,-0.823,3,36.145,39.269,39.269,0.0,-0.282,0,0,-0.056,0,0.761,0,0,4.615,0,2,6.555,48.03,4.195,0,1.31,1.588,3.852,2,0,0.615,60.53,0,0,0,0,0,0,0,0,0,0,0,0,0.75
5.6,4,2,0,0.8,5,3.124,6.327,2.168,3.855,9.963,3.772,1,3.942,0.636,1,75.293,0.0,4.521,5.37,0.0,0.0,0,0.0,43.926,0,-0.762,3,36.145,39.269,39.269,0.0,-0.258,0,0,-0.193,0,0.751,0,0,3.62,0,2,6.269,41.881,4.626,0,1.106,1.579,3.834,2,0,0.549,58.032,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5.82,5,3,0,0.8,10,5.023,6.327,2.168,3.9,9.602,3.915,1,4.026,0.636,1,75.293,0.0,6.396,5.892,0.0,0.0,0,0.0,73.603,0,-0.798,3,36.145,41.168,39.269,0.0,-0.305,0,0,0.038,0,0.717,0,0,3.949,0,2,5.894,44.05,4.698,0,1.354,1.809,3.869,3,0,0.663,59.079,0,0,0,0,0,0,0,0,0,0,0,0,1.0
7.11,4,2,0,1.081,5,21.135,12.358,3.202,3.871,9.823,3.837,1,3.938,0.8,1,109.174,0.0,4.751,5.469,18.011,2.893,0,0.473,72.008,0,-0.294,6,70.025,91.16,91.16,18.011,-0.419,1,0,-0.08,0,0.799,1,1,4.587,1,1,6.823,54.832,4.169,0,1.21,1.641,3.843,2,0,0.835,110.109,1,0,0,4,4,0,0,0,0,0,0,0,0.75
7.11,6,4,0,0.8,6,21.135,4.707,1.557,3.922,11.373,3.951,1,4.084,0.473,1,64.294,0.0,6.288,5.837,18.011,3.175,0,0.0,47.218,0,-0.429,3,25.145,46.28,46.28,18.011,-0.071,1,0,-0.034,0,0.848,1,1,4.834,1,1,6.993,49.652,4.949,2,1.296,1.854,3.869,2,0,0.695,71.424,1,0,0,4,4,0,0,0,2,0,1,0,0.75
5.99,5,2,0,0.8,5,21.135,4.707,1.557,3.81,11.244,3.909,1,4.06,0.473,1,64.294,0.0,5.075,5.769,18.011,3.19,0,0.0,58.628,0,-0.383,3,25.145,46.28,46.28,18.011,-0.022,1,0,-0.05,0,0.844,2,1,4.209,1,1,6.98,48.007,4.338,0,1.296,1.643,3.846,2,0,0.661,59.364,1,0,0,4,5,0,0,0,0,0,0,0,0.75
5.44,5,2,0,0.8,5,21.135,4.707,1.557,3.803,11.006,3.905,1,4.053,0.473,1,64.294,0.0,4.898,5.762,18.011,3.184,0,0.0,57.165,0,-0.383,3,25.145,46.28,46.28,18.011,-0.032,1,0,-0.022,0,0.775,2,1,4.209,1,1,6.555,48.043,4.544,0,1.296,1.632,3.853,2,0,0.661,59.581,1,0,0,4,5,0,0,0,0,0,0,0,0.75
5.87,6,2,0,0.8,5,24.259,6.307,1.741,3.834,10.099,3.866,1,3.993,0.8,1,64.294,0.0,4.955,5.657,18.011,3.151,0,0.473,47.306,0,-0.356,4,25.145,49.404,49.404,18.011,-0.066,1,0,-0.024,0,0.715,0,1,3.669,1,1,7.148,51.459,4.341,0,1.197,1.715,3.836,4,0,0.715,79.341,1,0,0,4,4,1,0,0,0,0,0,0,1.0
5.64,4,0,0,0.8,5,39.146,6.311,1.988,3.78,9.411,3.784,1,3.919,0.564,0,64.294,0.0,4.959,5.398,36.022,5.984,0,0.133,65.405,0,0.255,4,25.145,64.291,64.291,36.022,-0.206,2,0,0.074,0,0.836,5,2,3.584,2,1,6.944,48.144,4.088,0,1.142,1.671,3.841,2,0,0.675,60.682,2,0,0,5,7,1,0,0,1,0,0,0,1.0
5.81,5,2,0,0.8,6,21.135,4.707,1.557,3.824,10.671,3.893,1,4.036,0.473,1,64.294,0.0,4.813,5.721,18.011,3.176,0,0.0,47.597,0,-0.383,3,25.145,46.28,46.28,18.011,-0.036,1,0,-0.129,0,0.775,1,1,4.209,1,1,6.555,48.081,4.321,0,1.256,1.637,3.853,2,0,0.661,60.389,1,0,0,4,5,0,0,0,0,0,0,0,0.75
5.41,4,0,0,0.814,7,21.135,7.916,2.457,3.787,8.338,3.753,1,3.868,0.8,0,75.293,0.0,4.959,5.287,18.011,2.809,0,0.141,73.947,0,-0.342,4,36.145,57.28,57.28,18.011,-0.456,1,0,0.069,0,0.813,2,1,3.584,1,2,6.944,48.144,3.963,0,1.149,1.622,3.841,2,0,0.632,61.262,2,0,0,3,3,1,0,0,1,0,0,0,1.0
5.67,7,4,1,1.081,5,21.135,8.553,2.217,3.874,9.783,3.833,1,3.95,0.8,1,86.293,0.0,5.659,5.693,18.011,3.111,1,0.532,55.991,0,-0.317,5,47.145,68.28,68.28,18.011,-0.142,1,0,0.097,0,0.755,0,1,2.941,1,3,5.837,41.562,4.329,0,1.106,1.612,3.841,2,0,0.628,64.204,1,0,0,4,3,1,0,0,0,0,0,0,1.0
6.56,7,1,0,0.8,5,39.146,6.311,1.988,3.862,9.498,3.871,1,3.994,0.564,0,64.294,0.0,5.216,5.528,36.022,6.012,0,0.133,57.415,0,0.194,4,25.145,64.291,64.291,36.022,-0.211,2,0,0.012,0,0.815,5,2,4.241,2,1,7.572,58.387,4.703,1,1.278,1.792,3.863,2,0,0.791,70.843,2,0,0,4,7,1,0,0,4,0,0,0,0.75
5.7,4,0,0,0.86,4,39.146,8.031,2.173,3.807,9.032,3.781,1,3.902,0.8,0,75.293,0.0,5.049,5.369,36.022,5.881,1,0.564,55.614,0,0.273,5,36.145,75.291,75.291,36.022,-0.246,2,0,0.024,0,0.802,4,2,3.065,2,2,7.56,51.523,4.043,0,1.108,1.68,3.82,3,0,0.683,66.474,2,0,0,4,6,1,0,0,1,0,0,0,1.0
5.76,4,2,0,1.727,6,3.124,13.977,3.353,3.879,9.262,3.814,1,3.901,0.8,1,120.174,0.0,4.751,5.358,0.0,0.0,0,0.636,82.422,0,-0.722,6,81.025,84.149,84.149,0.0,-0.669,0,0,-0.118,0,0.784,0,0,4.993,0,2,6.823,54.832,4.029,0,1.146,1.597,3.843,2,0,0.791,98.595,0,0,0,0,0,0,0,0,0,0,0,0,0.75
6.28,8,6,0,0.8,8,3.124,6.327,2.168,3.929,10.642,3.931,1,4.049,0.636,1,75.293,0.0,6.288,5.726,0.0,0.0,0,0.0,51.617,0,-0.848,3,36.145,39.269,39.269,0.0,-0.321,0,0,-0.06,0,0.836,0,0,5.24,0,2,6.993,49.652,4.809,0,1.256,1.853,3.866,2,0,0.645,73.628,0,0,0,0,0,0,0,0,0,0,0,0,0.75
5.76,4,2,0,0.8,5,21.135,4.707,1.557,3.835,10.657,3.889,1,4.035,0.473,1,103.442,0.0,5.1,5.704,18.011,3.125,0,0.0,49.127,0,-0.342,3,25.145,46.28,46.28,18.011,-0.117,1,0,0.035,0,0.726,2,1,4.477,1,1,6.813,48.043,4.616,0,1.169,1.617,3.848,2,0,0.611,64.901,1,0,0,4,4,0,0,0,0,0,0,0,0.75
6.54,5,2,0,0.8,6,39.146,6.311,1.988,3.877,9.807,3.858,1,3.973,0.564,0,64.294,0.0,6.288,5.582,36.022,6.028,0,0.133,53.819,0,0.194,4,25.145,64.291,64.291,36.022,-0.219,2,0,-0.012,0,0.841,6,2,4.088,2,1,6.59,46.894,4.702,2,1.223,1.735,3.877,2,0,0.714,71.509,2,0,0,4,8,1,0,0,2,0,0,0,1.0
6.06,4,3,0,1.126,7,21.135,9.61,2.587,3.912,11.864,3.945,2,4.086,0.8,1,75.293,0.0,5.053,5.794,18.011,3.124,0,0.546,62.698,0,-0.356,4,36.145,57.28,57.28,18.011,-0.146,1,0,-0.11,0,0.812,2,1,3.133,1,2,7.598,51.218,4.282,0,1.317,1.705,3.837,3,0,0.671,67.678,1,1,0,3,4,0,0,0,0,0,0,0,1.0
