pXC50,GATS4p,MATS4i,ATSC2s,JGI7,ATSC5e,ATSC5s,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.005,C.006,C.008,C.009,C.011,C.013,C.024,C.025,C.027,CATS2D_01_DA,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AL,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_03_PN,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DL,CATS2D_05_LL,CATS2D_05_NL,CATS2D_05_PL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_DA,CATS2D_06_DL,CATS2D_06_LL,CATS2D_06_NL,CATS2D_06_PL,CATS2D_07_AL,CATS2D_07_DL,CATS2D_07_LL,CATS2D_07_NL,CATS2D_07_PL,CATS2D_08_AL,CATS2D_08_DL,CATS2D_08_LL,CATS2D_08_NL,CATS2D_08_PL,CATS2D_09_AL,CATS2D_09_DL,CATS2D_09_LL,CATS2D_09_NL,CENT,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi0_EA.ed.,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.dm.,Chi1_EA.ed.,Chi1_EA.ri.,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CID,CMC.50,CMC.80,CSI,DBI,D.Dtr05
5.0,0.826,0.066,164.603,0.019,0.764,140.442,1.697,8.333,-0.404,0.163,68.085,7.397,0.0,3.749,3.878,3.642,3.288,4.731,3.121,4.347,4.523,3.808,3.671,5.962,3.443,4.683,4.929,3.904,3.747,5.695,3.559,4.791,5.027,3.795,3.698,6.479,3.518,4.67,4.957,3.398,3.635,5.633,3.378,4.503,4.773,3.445,3.593,5.581,3.339,4.568,4.806,3.121,3.412,5.785,3.195,4.321,4.635,2.925,3.184,5.293,2.889,0.316,0.52,16.893,5.331,54.126,5.399,0.8,0.77,27.785,9.901,9.007,0.843,0.872,39.008,9.078,146.608,10.893,1.724,0.833,37.93,9.705,291.547,11.304,0.77,32.305,8.971,10.475,0.493,0.708,32.395,9.645,88.539,9.791,0.916,0.594,30.368,7.422,165.491,8.302,0.552,0.457,25.25,6.621,103.573,7.158,86,24,0.315,0.518,0.706,0.797,0.815,0.815,2.958,1.639,-1.16,-1.25,-1.33,22.0,2,4,0,0,1,1,1,0,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,1,6,3,0,0,0,0,0,0,6,8,1,0,2,0,0,0,0,0,0,1,1,4,0,0,4,0,9,1,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,396.0,10.626,10.626,10.626,10.626,10.626,10.239,7.906,6.387,10.692,8.347,8.347,8.347,8.347,8.347,7.662,12.5,2.996,8.446,3.661,2.562,1.549,1.061,0.964,0.964,3.547,0,0,273.0,4.899,0.0
5.0,0.783,0.099,180.351,0.018,0.93,162.426,1.72,9.316,-0.128,0.016,70.618,7.602,0.0,3.787,3.908,3.677,3.297,4.822,3.149,4.372,4.536,3.948,3.686,5.991,3.488,4.739,4.955,4.103,3.773,6.224,3.617,4.847,5.065,3.822,3.676,6.572,3.529,4.653,4.934,3.272,3.536,5.69,3.312,4.452,4.726,3.189,3.412,5.474,3.179,4.35,4.616,3.131,3.304,5.424,3.077,4.237,4.494,3.062,3.192,5.361,2.973,0.38,0.523,16.82,5.331,66.936,5.341,0.894,0.766,28.365,9.755,8.919,1.443,0.859,42.405,9.682,254.309,11.134,2.015,0.793,40.587,9.253,340.746,10.824,0.691,33.04,8.103,9.804,0.692,0.596,27.323,7.349,126.5,8.5,0.658,0.527,25.177,6.626,119.959,7.449,0.631,0.459,23.062,5.962,113.867,6.436,89,26,0.317,0.526,0.683,0.782,0.824,0.824,3.008,1.555,-0.41,-0.54,-0.7,21.4,1,5,0,0,2,0,0,0,1,0,0,0,0,5,0,0,1,2,4,0,0,0,2,5,1,6,3,0,0,0,0,0,0,6,8,1,0,2,0,0,0,0,0,0,2,1,2,0,0,2,0,6,0,2,0,2,6,0,2,0,2,5,0,2,0,2,5,0,2,492.0,11.308,11.308,11.308,11.308,11.308,10.938,7.791,6.844,11.397,8.81,8.81,8.81,8.81,8.81,8.154,9.493,3.185,8.972,3.672,2.541,1.684,1.149,0.923,0.923,3.601,0,1,325.0,5.099,0.0
6.203,0.876,-0.059,159.546,0.0,0.709,135.975,1.903,5.231,-1.663,2.764,49.833,10.007,0.0,3.289,3.366,3.562,2.985,4.402,2.754,3.841,3.927,3.706,3.354,5.808,3.049,4.092,4.241,3.901,3.415,5.377,3.135,4.203,4.315,3.866,3.166,6.3,3.065,3.937,4.171,2.874,2.966,5.134,2.68,3.667,3.862,2.487,2.569,5.141,2.395,3.537,3.779,1.227,1.916,4.875,1.791,2.455,2.918,0.081,1.008,2.565,0.606,0.397,0.341,8.972,4.621,71.286,2.891,0.774,0.511,23.418,9.128,5.417,0.919,0.565,33.651,10.482,178.525,5.792,1.35,0.478,25.178,7.322,264.235,5.154,0.394,25.781,6.813,5.144,0.612,0.264,17.258,4.784,106.799,3.257,0.639,0.154,11.717,2.354,116.371,2.141,0.133,0.053,6.734,1.095,23.222,1.363,63,18,0.405,0.597,0.709,0.743,0.743,0.704,2.666,1.973,-0.13,-0.27,-0.45,16.0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,2,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.0,7.35,7.35,7.35,7.35,7.35,6.963,2.329,4.314,7.696,5.881,5.881,5.881,5.881,5.881,5.196,1.017,1.979,6.265,2.741,1.84,1.31,1.15,1.15,1.336,3.214,0,0,118.0,4.243,0.0
6.103,0.912,-0.012,161.176,0.023,0.623,117.811,1.825,6.867,-0.683,0.466,58.959,8.975,0.0,3.484,3.578,3.626,3.149,4.523,2.931,4.058,4.179,3.77,3.525,5.862,3.232,4.337,4.53,3.983,3.612,5.489,3.325,4.426,4.589,3.957,3.421,6.345,3.258,4.138,4.376,3.028,3.22,5.235,2.923,3.92,4.131,2.915,3.0,5.142,2.774,3.931,4.176,2.842,2.914,5.127,2.667,3.753,3.978,2.489,2.612,5.164,2.42,0.354,0.418,12.143,5.19,63.216,3.952,0.783,0.636,26.532,10.159,7.107,0.864,0.724,39.036,11.76,162.521,8.153,1.45,0.644,34.909,9.116,270.811,7.576,0.527,30.351,8.112,6.784,0.529,0.406,17.799,5.72,104.008,4.906,0.564,0.375,19.704,5.709,108.275,4.811,0.527,0.284,18.338,4.78,88.754,3.649,67,20,0.365,0.558,0.728,0.78,0.78,0.78,2.792,1.905,-0.92,-1.02,-1.12,19.4,1,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,1,2,0,0,2,0,0,4,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,2,0,2,4,0,2,0,2,4,0,0,0,0,0,0,0,267.0,8.764,8.764,8.764,8.764,8.764,8.377,2.329,5.314,8.975,6.881,6.881,6.881,6.881,6.881,6.196,1.017,2.483,7.186,3.13,2.162,1.315,1.057,1.057,1.057,3.363,0,0,184.0,4.472,0.0
5.0,0.902,-0.011,161.221,0.021,0.6,112.075,1.787,7.688,-0.226,0.051,63.56,8.596,0.0,3.569,3.669,3.657,3.222,4.578,3.01,4.151,4.285,3.801,3.601,5.888,3.313,4.441,4.649,4.009,3.692,5.539,3.405,4.521,4.701,3.983,3.517,6.366,3.344,4.263,4.513,3.16,3.351,5.304,3.047,4.075,4.305,2.999,3.155,5.206,2.897,3.988,4.22,2.916,3.029,5.165,2.791,3.931,4.176,2.842,2.914,5.127,2.667,0.335,0.456,13.537,5.491,59.657,4.471,0.782,0.698,28.077,10.687,7.94,0.832,0.8,41.715,12.405,155.025,9.269,1.477,0.721,37.522,9.741,271.355,8.663,0.609,31.344,8.802,7.859,0.53,0.488,23.714,6.934,102.382,6.111,0.505,0.425,19.311,5.936,98.49,5.295,0.51,0.376,19.31,5.592,97.748,4.781,70,21,0.348,0.533,0.715,0.793,0.793,0.793,2.849,1.878,-1.27,-1.36,-1.42,20.6,1,3,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,2,2,0,0,2,0,0,4,4,4,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,0,316.0,9.471,9.471,9.471,9.471,9.471,9.084,2.329,5.814,9.682,7.381,7.381,7.381,7.381,7.381,6.696,1.017,2.733,7.686,3.301,2.355,1.42,1.022,1.022,1.022,3.43,0,0,222.0,4.583,0.0
5.0,0.896,-0.01,161.03,0.019,0.577,107.014,1.751,8.471,0.23,0.053,68.161,8.278,0.0,3.647,3.752,3.686,3.289,4.631,3.082,4.237,4.381,3.83,3.671,5.913,3.387,4.534,4.755,4.033,3.767,5.586,3.48,4.608,4.801,4.008,3.605,6.387,3.423,4.373,4.634,3.216,3.454,5.363,3.152,4.207,4.452,3.134,3.294,5.278,3.025,4.133,4.381,3.001,3.18,5.227,2.912,3.988,4.22,2.916,3.029,5.165,2.791,0.317,0.495,14.838,5.798,56.47,4.984,0.779,0.76,29.602,11.219,8.766,0.8,0.877,44.18,13.055,147.922,10.361,1.497,0.798,39.946,10.376,271.338,9.729,0.686,32.977,9.463,8.899,0.511,0.57,25.155,7.674,98.389,7.201,0.507,0.507,24.798,7.125,96.822,6.467,0.459,0.425,19.096,5.848,89.61,5.279,71,22,0.334,0.509,0.69,0.783,0.803,0.803,2.904,1.855,-1.6,-1.67,-1.71,21.6,1,4,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,3,2,0,0,2,0,0,4,4,4,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,4,1,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,366.0,10.179,10.179,10.179,10.179,10.179,9.791,2.329,6.314,10.389,7.881,7.881,7.881,7.881,7.881,7.196,1.017,2.983,8.186,3.458,2.541,1.588,1.101,0.993,0.993,3.493,0,0,262.0,4.69,0.0
5.0,0.892,-0.009,160.936,0.017,0.554,102.532,1.718,9.278,0.686,0.471,72.762,8.008,0.0,3.719,3.829,3.715,3.353,4.681,3.15,4.315,4.468,3.859,3.737,5.938,3.457,4.62,4.85,4.057,3.836,5.631,3.549,4.687,4.893,4.032,3.686,6.407,3.496,4.473,4.741,3.269,3.548,5.419,3.247,4.324,4.579,3.192,3.403,5.337,3.132,4.259,4.517,3.135,3.316,5.298,3.038,4.133,4.381,3.001,3.18,5.227,2.912,0.302,0.533,16.066,6.11,53.948,5.494,0.774,0.823,31.104,11.755,9.586,0.769,0.953,46.482,13.71,141.53,11.432,1.512,0.875,42.226,11.018,271.12,10.781,0.762,34.577,10.127,9.928,0.493,0.647,27.081,8.37,95.03,8.254,0.489,0.589,26.193,7.869,93.354,7.541,0.466,0.508,24.364,7.029,88.474,6.436,74,23,0.321,0.486,0.663,0.768,0.813,0.813,2.957,1.834,-1.92,-1.98,-1.98,22.5,1,5,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,4,2,0,0,2,0,0,4,4,4,0,3,0,0,0,0,0,0,0,2,2,0,0,2,0,4,1,2,0,2,4,1,2,0,2,4,0,2,0,2,4,0,2,416.0,10.886,10.886,10.886,10.886,10.886,10.498,2.329,6.814,11.096,8.381,8.381,8.381,8.381,8.381,7.696,1.017,3.233,8.686,3.604,2.717,1.768,1.207,0.969,0.969,3.552,0,0,306.0,4.796,0.0
5.195,0.889,-0.008,160.678,0.016,0.532,98.214,1.687,10.053,1.142,1.305,77.363,7.776,0.0,3.787,3.901,3.743,3.413,4.728,3.213,4.388,4.548,3.887,3.799,5.962,3.521,4.698,4.938,4.08,3.901,5.674,3.614,4.761,4.977,4.056,3.761,6.427,3.564,4.564,4.838,3.32,3.633,5.471,3.334,4.428,4.692,3.246,3.502,5.395,3.229,4.37,4.637,3.193,3.422,5.356,3.144,4.259,4.517,3.135,3.316,5.298,3.038,0.287,0.572,17.233,6.427,51.599,5.999,0.769,0.885,32.582,12.294,10.403,0.74,1.03,48.66,14.368,135.543,12.488,1.523,0.951,44.392,11.667,270.556,11.819,0.839,36.154,10.793,10.947,0.475,0.723,28.933,9.063,91.737,9.295,0.472,0.666,28.014,8.561,90.263,8.58,0.45,0.59,25.826,7.784,85.788,7.508,75,24,0.309,0.466,0.637,0.744,0.803,0.82,3.006,1.815,-3.14,-3.13,-3.01,23.3,1,6,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,4,5,2,0,0,2,0,0,4,4,4,0,4,0,0,0,0,0,0,0,3,2,0,0,2,0,4,2,2,0,2,4,1,2,0,2,4,1,2,0,2,4,0,2,484.0,11.593,11.593,11.593,11.593,11.593,11.205,2.329,7.314,11.804,8.881,8.881,8.881,8.881,8.881,8.196,1.017,3.483,9.186,3.739,2.883,1.948,1.366,1.041,0.948,3.607,0,0,352.0,4.899,0.0
5.77,0.887,-0.007,160.327,0.014,0.511,94.124,1.659,10.85,1.598,2.555,81.964,7.573,0.0,3.85,3.968,3.771,3.469,4.774,3.273,4.456,4.623,3.914,3.857,5.985,3.582,4.771,5.018,4.103,3.962,5.715,3.675,4.83,5.054,4.08,3.831,6.447,3.628,4.647,4.926,3.368,3.712,5.522,3.414,4.523,4.794,3.298,3.591,5.449,3.317,4.47,4.744,3.248,3.519,5.413,3.24,4.37,4.637,3.193,3.422,5.356,3.144,0.274,0.61,18.35,6.747,49.424,6.502,0.764,0.947,34.04,12.835,11.215,0.713,1.107,50.74,15.028,129.982,13.532,1.532,1.028,46.468,12.319,269.851,12.849,0.915,37.713,11.462,11.959,0.458,0.8,30.729,9.755,88.47,10.324,0.455,0.742,29.785,9.251,87.255,9.608,0.436,0.667,27.646,8.481,83.269,8.544,78,25,0.299,0.447,0.612,0.718,0.79,0.827,3.054,1.799,-3.43,-3.41,-3.26,23.9,1,7,0,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,4,6,2,0,0,2,0,0,4,4,4,0,5,0,0,0,0,0,0,0,4,2,0,0,2,0,4,3,2,0,2,4,2,2,0,2,4,1,2,0,2,4,1,2,552.0,12.3,12.3,12.3,12.3,12.3,11.913,2.329,7.814,12.511,9.381,9.381,9.381,9.381,9.381,8.696,1.017,3.733,9.686,3.865,3.038,2.123,1.538,1.136,0.929,3.66,0,0,402.0,5.0,0.0
7.013,0.886,-0.007,160.222,0.013,0.49,90.667,1.632,11.619,2.055,4.221,86.565,7.396,0.0,3.91,4.03,3.797,3.523,4.817,3.329,4.52,4.692,3.941,3.911,6.008,3.64,4.839,5.092,4.125,4.019,5.755,3.733,4.894,5.126,4.102,3.896,6.466,3.688,4.724,5.008,3.414,3.785,5.57,3.488,4.609,4.886,3.347,3.673,5.5,3.398,4.561,4.841,3.299,3.607,5.466,3.327,4.47,4.744,3.248,3.519,5.413,3.24,0.262,0.649,19.426,7.069,47.458,7.003,0.759,1.01,35.477,13.378,12.025,0.688,1.183,52.741,15.691,125.188,14.566,1.539,1.105,48.469,12.976,271.33,13.87,0.992,39.259,12.132,12.965,0.44,0.876,32.48,10.445,85.44,11.346,0.439,0.819,31.516,9.941,84.432,10.629,0.422,0.743,29.42,9.176,80.92,9.571,79,26,0.289,0.431,0.589,0.692,0.768,0.819,3.099,1.784,-3.71,-3.67,-3.5,24.5,1,8,0,0,2,0,1,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,4,7,2,0,0,2,0,0,4,4,4,0,6,0,0,0,0,0,0,0,5,2,0,0,2,0,4,4,2,0,2,4,3,2,0,2,4,2,2,0,2,4,1,2,640.0,13.007,13.007,13.007,13.007,13.007,12.62,2.329,8.314,13.218,9.881,9.881,9.881,9.881,9.881,9.196,1.017,3.983,10.186,3.982,3.184,2.291,1.71,1.281,0.995,3.71,0,0,454.0,5.099,0.0
5.0,1.015,-0.041,179.812,0.023,1.275,270.617,1.839,6.75,-1.794,3.22,60.33,9.195,0.0,3.527,3.608,3.717,3.18,4.593,2.976,4.103,4.216,3.83,3.552,5.908,3.287,4.433,4.616,4.04,3.654,5.657,3.401,4.512,4.665,4.108,3.51,6.374,3.366,4.345,4.527,3.493,3.298,6.168,3.125,4.08,4.283,2.956,3.059,5.394,2.853,3.931,4.176,2.842,2.914,5.127,2.667,3.753,3.978,2.489,2.612,5.164,2.42,0.401,0.433,12.668,5.385,77.217,3.981,0.836,0.65,26.597,10.254,7.197,1.104,0.748,40.678,11.972,222.67,8.414,1.636,0.68,38.134,9.754,334.359,7.916,0.559,33.657,8.392,7.049,0.805,0.428,20.542,6.027,162.072,5.197,0.649,0.365,19.932,5.597,124.612,4.829,0.599,0.274,18.592,4.65,103.111,3.664,82,22,0.361,0.571,0.732,0.782,0.782,0.782,2.851,1.878,-0.06,-0.21,-0.4,18.8,1,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,2,0,4,4,0,0,0,0,0,2,1,0,4,0,0,2,0,0,2,0,4,0,2,0,2,4,0,2,0,2,4,0,0,0,0,0,0,0,300.0,9.212,9.212,9.212,9.212,9.212,8.67,2.741,5.443,9.503,7.364,7.364,7.364,7.364,7.364,6.387,1.496,2.543,7.779,3.161,2.094,1.274,1.024,1.024,1.024,3.424,0,0,193.0,4.69,0.0
5.0,1.004,-0.037,178.639,0.021,1.276,270.431,1.805,7.588,-1.338,1.791,64.931,8.807,0.0,3.608,3.697,3.745,3.251,4.645,3.051,4.192,4.318,3.858,3.625,5.933,3.364,4.527,4.725,4.063,3.731,5.699,3.475,4.6,4.77,4.13,3.598,6.395,3.443,4.447,4.646,3.577,3.42,6.188,3.228,4.215,4.432,3.095,3.217,5.466,2.994,4.056,4.283,2.934,3.053,5.278,2.826,3.931,4.176,2.842,2.914,5.127,2.667,0.384,0.472,14.142,5.684,73.007,4.505,0.832,0.713,28.19,10.783,8.039,1.066,0.825,43.487,12.611,212.858,9.552,1.659,0.757,40.99,10.366,333.882,9.028,0.642,34.887,9.077,8.145,0.781,0.515,26.456,7.219,156.42,6.44,0.664,0.429,20.617,6.007,131.106,5.434,0.587,0.367,19.53,5.494,112.721,4.799,85,23,0.346,0.546,0.72,0.794,0.794,0.794,2.906,1.855,-0.41,-0.54,-0.7,20.0,1,3,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,4,1,0,0,0,1,2,0,4,4,0,0,0,0,0,2,1,0,4,0,0,2,0,0,3,0,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,0,351.0,9.919,9.919,9.919,9.919,9.919,9.377,2.741,5.943,10.211,7.864,7.864,7.864,7.864,7.864,6.887,1.496,2.797,8.279,3.325,2.287,1.379,0.993,0.993,0.993,3.487,0,0,233.0,4.796,0.0
5.0,0.995,-0.034,177.281,0.017,1.271,268.759,1.772,8.389,-0.882,0.778,69.532,8.481,0.0,3.683,3.778,3.772,3.317,4.694,3.12,4.274,4.411,3.886,3.694,5.957,3.434,4.613,4.823,4.087,3.803,5.739,3.545,4.68,4.864,4.152,3.68,6.416,3.515,4.54,4.752,3.614,3.517,6.213,3.316,4.331,4.562,3.218,3.348,5.505,3.11,4.193,4.431,3.075,3.212,5.359,2.97,4.056,4.283,2.934,3.053,5.278,2.826,0.367,0.511,15.518,5.99,69.133,5.022,0.826,0.775,29.761,11.317,8.872,1.027,0.902,46.061,13.256,203.424,10.662,1.675,0.834,43.623,10.989,332.448,10.116,0.719,36.778,9.725,9.206,0.757,0.597,27.915,7.953,152.233,7.545,0.646,0.516,26.088,7.192,126.391,6.638,0.609,0.431,20.402,5.921,120.051,5.421,86,24,0.333,0.521,0.696,0.785,0.804,0.804,2.958,1.834,-0.75,-0.86,-0.98,21.1,1,4,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,4,2,0,0,0,1,2,0,4,4,0,0,1,0,0,2,1,0,4,0,0,2,0,0,3,0,4,0,2,0,3,4,0,2,0,2,4,0,2,0,2,4,0,2,404.0,10.626,10.626,10.626,10.626,10.626,10.084,2.741,6.443,10.918,8.364,8.364,8.364,8.364,8.364,7.387,1.496,3.047,8.779,3.476,2.474,1.546,1.072,0.967,0.967,3.547,0,0,275.0,4.899,0.0
5.0,0.988,-0.031,175.851,0.018,1.262,266.5,1.741,9.211,-0.426,0.181,74.133,8.203,0.0,3.753,3.853,3.798,3.379,4.741,3.186,4.35,4.495,3.914,3.758,5.981,3.501,4.692,4.913,4.109,3.87,5.778,3.61,4.754,4.95,4.173,3.755,6.435,3.582,4.625,4.848,3.65,3.605,6.237,3.397,4.434,4.677,3.271,3.452,5.554,3.209,4.311,4.562,3.201,3.344,5.402,3.089,4.193,4.431,3.075,3.212,5.359,2.97,0.352,0.549,16.812,6.301,65.588,5.535,0.818,0.838,31.309,11.854,9.7,0.989,0.978,48.457,13.907,194.523,11.749,1.686,0.912,46.083,11.621,330.563,11.186,0.796,38.604,10.379,10.253,0.733,0.673,29.9,8.637,147.047,8.612,0.627,0.598,27.485,7.939,123.722,7.722,0.595,0.517,25.661,7.101,115.686,6.611,89,25,0.321,0.499,0.669,0.77,0.813,0.813,3.007,1.815,-1.06,-1.16,-1.25,22.0,1,5,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0,4,3,0,0,0,1,2,0,4,4,0,0,2,0,0,2,1,0,4,0,1,2,0,0,3,0,4,0,2,0,3,4,0,2,0,3,4,0,2,0,2,4,0,2,477.0,11.333,11.333,11.333,11.333,11.333,10.791,2.741,6.943,11.625,8.864,8.864,8.864,8.864,8.864,7.887,1.496,3.297,9.279,3.617,2.65,1.725,1.177,0.945,0.945,3.603,0,0,321.0,5.0,0.0
5.0,0.983,-0.028,174.505,0.017,1.252,264.113,1.711,10.0,0.03,0.001,78.734,7.962,0.0,3.819,3.923,3.824,3.437,4.786,3.247,4.421,4.574,3.94,3.819,6.004,3.563,4.766,4.995,4.132,3.933,5.815,3.671,4.823,5.029,4.194,3.825,6.455,3.645,4.704,4.935,3.685,3.686,6.261,3.472,4.529,4.78,3.322,3.546,5.601,3.299,4.417,4.677,3.255,3.448,5.457,3.19,4.311,4.562,3.201,3.344,5.402,3.089,0.338,0.588,18.04,6.616,62.48,6.044,0.81,0.9,32.832,12.393,10.523,0.952,1.055,50.715,14.561,186.299,12.819,1.692,0.989,48.407,12.261,328.537,12.241,0.873,40.379,11.037,11.288,0.708,0.75,31.799,9.321,141.836,9.665,0.608,0.675,29.356,8.628,120.021,8.771,0.578,0.6,27.121,7.859,113.924,7.691,90,26,0.31,0.478,0.644,0.747,0.804,0.821,3.055,1.799,-2.28,-2.32,-2.28,22.7,1,6,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,5,0,0,1,0,0,0,4,4,0,0,0,1,2,0,4,4,0,0,3,0,0,2,1,0,4,0,2,2,0,0,3,0,4,1,2,0,3,4,0,2,0,3,4,0,2,0,3,4,0,2,552.0,12.04,12.04,12.04,12.04,12.04,11.498,2.741,7.443,12.332,9.364,9.364,9.364,9.364,9.364,8.387,1.496,3.547,9.779,3.748,2.817,1.904,1.335,1.017,0.926,3.656,0,0,369.0,5.099,0.0
5.0,0.979,-0.026,173.327,0.016,1.24,261.781,1.684,10.81,0.487,0.237,83.335,7.753,0.0,3.88,3.989,3.849,3.492,4.829,3.305,4.486,4.646,3.966,3.876,6.027,3.621,4.834,5.071,4.153,3.992,5.851,3.729,4.888,5.103,4.214,3.891,6.474,3.704,4.776,5.016,3.719,3.761,6.284,3.542,4.614,4.873,3.37,3.631,5.645,3.382,4.513,4.78,3.306,3.542,5.508,3.282,4.417,4.677,3.255,3.448,5.457,3.19,0.325,0.627,19.212,6.935,59.849,6.55,0.802,0.962,34.331,12.935,11.341,0.918,1.132,52.865,15.218,178.801,13.875,1.697,1.066,50.622,12.905,326.549,13.284,0.95,42.115,11.698,12.315,0.684,0.826,33.633,10.005,136.908,10.705,0.588,0.751,31.169,9.316,116.284,9.808,0.563,0.676,28.987,8.553,111.053,8.736,93,27,0.3,0.46,0.619,0.721,0.791,0.827,3.1,1.784,-2.57,-2.59,-2.53,23.4,1,7,0,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,6,0,0,1,0,0,0,4,5,0,0,0,1,2,0,4,4,0,0,4,0,0,2,1,0,4,0,3,2,0,0,3,0,4,2,2,0,3,4,1,2,0,3,4,0,2,0,3,4,0,2,649.0,12.747,12.747,12.747,12.747,12.747,12.205,2.741,7.943,13.039,9.864,9.864,9.864,9.864,9.864,8.887,1.496,3.797,10.279,3.871,2.974,2.078,1.505,1.112,0.91,3.706,0,0,421.0,5.196,0.0
