pXC50,IDE,MSD,AECC,IAC,TIC0,HVcpx,SAdon,VAR,SpMax5_Bh.e.,nROH,NsOH,SsOH,SpMax5_Bh.i.,P_VSA_v_2,ATS8e,TIC4,TIC5,TIC3,RBN,TPSA.Tot.,X1v,Sp,ATS3e,SpMax5_Bh.v.,ATS2i,CATS2D_07_NL,CATS2D_01_AN,CATS2D_01_DN,SAacc,SAtot,ECC,SpMin3_Bh.s.,X1Per,ATS2s,P_VSA_e_5,ATS7p,P_VSA_m_3,P_VSA_p_2,VvdwMG,Vx,Eta_epsi,X1MulPer,SpMax8_Bh.i.,SpMax4_Bh.p.,S1K,P_VSA_p_1,SpMin3_Bh.i.,SpMax6_Bh.e.,SpMax6_Bh.v.,ATS8i,TIC1,VvdwZAZ,nFuranes,LLS_01,Sv,CSI,ATS1m,MATS2s,UNIP,ATSC2e,ATS5e,nCsp3,ATS6i,SpMax6_Bh.i.,ATS8p
7.059,4.156,9.346,16.135,115.996,115.996,3.893,125.172,216.0,3.552,2,2,17.549,3.532,233.382,4.856,339.059,339.059,330.304,10,140.92,12.564,41.892,5.017,3.348,4.907,2,2,2,233.382,651.184,597.0,1.078,8.761,6.546,137.593,4.08,182.474,188.501,254.214,612.043,42.243,10.607,3.141,3.71,28.71,292.073,1.754,3.394,3.23,5.04,242.49,457.66,0,0.0,40.78,1238.0,4.018,0.472,204.0,1.546,5.064,6,5.315,3.445,4.018
8.827,3.888,7.743,13.667,90.213,90.213,3.661,107.161,155.0,3.512,2,2,17.864,3.536,134.346,4.856,335.059,339.059,315.059,11,102.59,11.837,39.211,5.118,3.341,4.987,2,2,2,134.346,599.738,369.0,1.231,8.324,5.998,101.449,4.07,101.449,134.346,225.349,541.611,32.967,9.907,3.147,3.588,22.586,376.675,1.678,3.352,3.18,5.149,189.016,394.31,0,0.0,35.287,742.0,3.746,0.581,124.0,0.811,5.222,15,5.395,3.421,3.91
8.018,4.137,9.212,15.921,117.141,117.141,3.882,123.946,222.0,3.639,2,2,17.808,3.642,223.797,4.943,341.059,341.059,328.694,9,140.5,12.884,42.682,4.998,3.439,4.914,1,2,2,207.011,637.15,605.0,1.107,9.014,6.545,112.448,4.113,157.329,178.917,256.284,617.093,42.276,10.913,3.245,3.701,27.906,280.302,1.739,3.431,3.245,5.168,245.527,451.27,0,0.0,41.56,1284.0,4.052,0.517,206.0,1.511,5.082,5,5.291,3.464,4.021
6.848,3.776,7.35,12.581,95.074,95.074,3.57,85.367,162.0,3.538,2,2,18.313,3.578,141.421,4.815,307.702,307.702,305.702,8,112.29,11.19,38.472,4.856,3.382,4.778,0,0,0,141.421,611.038,390.0,1.119,7.978,5.729,121.512,4.108,121.512,141.421,231.905,557.608,34.019,9.582,3.074,3.439,23.671,270.735,1.57,3.171,3.009,5.045,216.957,414.7,0,0.17,36.238,810.0,3.783,-0.058,134.0,0.321,4.822,7,5.038,3.257,4.062
7.26,3.76,7.15,12.261,79.769,79.769,3.547,125.172,111.0,3.385,2,2,17.149,3.455,177.501,4.315,237.323,237.323,233.323,10,131.69,9.201,30.103,4.742,3.21,4.65,2,2,2,177.501,490.709,282.0,1.012,6.229,5.93,126.593,3.58,126.593,177.501,183.051,438.405,28.033,7.396,2.925,3.423,19.981,235.422,1.582,3.089,2.874,4.557,171.323,320.02,0,0.17,27.862,547.0,3.614,0.465,97.0,0.804,4.668,8,4.857,3.173,3.475
8.354,3.938,8.057,13.923,89.119,89.119,3.696,149.844,148.0,3.518,3,3,26.971,3.528,177.029,4.716,301.659,309.659,281.659,14,122.82,10.985,36.904,5.016,3.338,4.899,2,2,2,177.029,602.039,362.0,1.228,7.675,5.988,144.132,3.94,144.132,177.029,217.554,522.591,32.433,9.111,3.008,3.558,23.299,341.362,1.672,3.286,3.114,5.007,187.911,380.86,0,0.0,33.475,704.0,3.702,0.456,124.0,0.802,5.031,13,5.22,3.362,3.805
7.367,3.76,7.15,12.261,79.769,79.769,3.547,125.172,111.0,3.385,2,2,17.149,3.455,177.501,4.315,237.323,237.323,233.323,10,131.69,9.201,30.103,4.742,3.21,4.65,2,2,2,177.501,490.709,282.0,1.012,6.229,5.93,126.593,3.58,126.593,177.501,183.051,438.405,28.033,7.396,2.925,3.423,19.981,235.422,1.582,3.089,2.874,4.557,171.323,320.02,0,0.17,27.862,547.0,3.614,0.465,97.0,0.804,4.668,8,4.857,3.173,3.475
5.301,4.204,9.653,16.5,96.822,96.822,3.97,127.786,156.0,3.53,2,2,17.054,3.533,191.335,4.775,274.304,298.794,247.375,18,140.92,11.268,37.125,5.061,3.32,4.977,0,2,2,191.335,624.282,429.0,1.22,7.984,6.024,137.812,3.797,137.812,191.335,222.408,534.435,34.5,9.426,3.151,3.465,25.675,376.675,1.598,3.413,3.227,5.078,162.794,394.59,0,0.0,33.738,812.0,3.71,0.437,152.0,0.874,4.979,16,5.221,3.48,3.75
9.114,3.938,8.057,13.923,90.723,90.723,3.696,186.976,148.0,3.519,4,4,36.186,3.553,193.898,4.764,310.896,318.896,290.896,14,116.17,11.315,37.665,5.064,3.328,4.95,0,0,0,193.898,615.764,362.0,1.228,7.749,6.004,161.001,3.983,161.001,193.898,220.481,529.734,33.033,9.22,3.011,3.558,23.455,341.362,1.673,3.287,3.114,5.059,196.657,383.5,0,0.0,34.002,704.0,3.71,0.39,124.0,0.885,5.068,13,5.3,3.363,3.839
6.796,4.229,9.734,17.0,100.332,100.332,3.996,125.172,192.0,3.536,2,2,17.282,3.581,177.501,4.825,317.156,338.175,292.665,16,131.69,12.201,40.671,5.103,3.353,4.999,2,2,2,177.501,647.169,493.0,1.209,8.729,6.067,126.593,3.998,126.593,177.501,240.605,578.837,35.833,10.337,3.182,3.552,25.971,376.675,1.642,3.478,3.296,5.109,206.35,423.82,0,0.0,37.023,965.0,3.787,0.459,169.0,0.835,5.052,14,5.291,3.501,3.933
8.0,3.97,8.209,14.185,95.628,95.628,3.717,92.274,154.0,3.463,2,2,17.717,3.514,134.537,4.784,314.904,318.904,300.904,15,97.83,12.206,38.256,4.985,3.257,4.911,2,1,2,134.537,616.806,383.0,1.182,7.76,5.901,116.527,3.999,116.527,134.537,229.468,551.661,32.9,9.223,3.144,3.417,24.778,353.133,1.689,3.27,3.062,5.032,188.156,400.14,0,0.17,34.5,745.0,3.851,0.419,129.0,0.533,4.963,13,5.145,3.347,3.949
8.086,4.023,8.501,14.542,81.324,81.324,3.792,92.274,126.0,3.459,2,2,17.581,3.519,112.538,4.642,289.498,299.008,267.034,14,79.37,11.139,35.995,4.982,3.264,4.879,2,1,2,112.538,558.813,349.0,1.268,7.641,5.801,94.527,3.839,94.527,112.538,209.561,503.09,29.5,9.042,3.042,3.467,21.381,364.904,1.69,3.316,3.13,4.936,165.381,363.28,0,0.17,32.045,680.0,3.615,0.473,123.0,0.486,4.884,13,5.066,3.392,3.786
4.602,3.469,6.195,9.769,70.184,70.184,3.274,18.011,80.0,3.296,0,0,0.0,3.384,52.663,4.376,213.624,213.624,209.624,5,42.24,9.26,32.245,4.627,3.111,4.537,0,0,0,52.663,476.287,254.0,1.012,6.819,5.51,34.652,3.712,34.652,52.663,195.135,467.89,27.205,8.183,2.871,3.342,18.869,211.88,1.512,3.254,3.056,4.597,153.914,337.32,1,0.5,30.374,533.0,3.579,0.1,98.0,0.11,4.724,4,4.895,3.292,3.601
4.602,3.382,5.788,9.545,58.38,58.38,3.202,60.694,74.0,3.121,0,1,9.833,3.203,85.839,4.293,203.065,203.065,200.31,4,49.33,7.347,28.529,4.546,2.943,4.466,0,0,0,85.839,438.27,210.0,0.972,5.925,5.378,67.828,3.542,67.828,85.839,169.606,405.598,23.633,6.971,2.925,3.393,16.155,223.651,1.498,3.029,2.834,4.591,145.929,298.2,0,0.67,26.719,431.0,3.289,0.117,76.0,0.11,4.61,4,4.773,3.091,3.441
4.301,3.48,6.19,10.364,64.651,64.651,3.31,0.0,72.0,3.111,0,0,0.0,3.177,95.202,3.71,158.219,162.219,154.219,6,77.17,7.054,24.114,4.325,2.9,4.252,0,0,0,89.532,402.717,228.0,0.932,4.97,5.55,72.747,3.057,72.747,95.202,156.024,372.458,24.238,6.03,2.613,3.11,16.806,141.253,1.381,2.899,2.793,3.861,118.103,273.34,0,0.17,23.718,468.0,3.461,0.177,84.0,0.515,4.241,3,4.429,2.922,3.104
4.602,3.407,5.845,9.522,59.42,59.42,3.235,18.011,68.0,3.254,0,0,0.0,3.292,52.663,4.05,182.621,182.621,178.621,3,42.24,7.655,27.864,4.435,3.065,4.369,0,0,0,52.663,402.731,219.0,0.719,5.816,5.39,34.652,3.401,34.652,52.663,167.618,400.748,23.519,6.95,2.856,3.125,15.691,176.567,1.51,3.034,2.851,4.27,127.562,287.51,1,0.67,26.493,466.0,3.422,0.096,81.0,0.09,4.471,2,4.579,3.123,3.328
4.602,3.484,6.088,10.208,62.817,62.817,3.323,18.011,84.0,3.195,0,0,0.0,3.264,52.663,4.031,196.621,196.621,186.621,3,42.24,8.133,28.722,4.45,3.008,4.367,0,0,0,52.663,424.133,245.0,0.732,5.87,5.435,34.652,3.41,34.652,52.663,175.951,421.08,24.605,7.042,2.842,3.159,16.932,164.795,1.515,3.005,2.856,4.216,132.621,302.72,1,0.67,27.32,520.0,3.512,0.102,88.0,0.137,4.422,2,4.495,3.07,3.334
4.602,3.527,6.402,10.37,72.043,72.043,3.343,18.011,93.0,3.324,0,0,0.0,3.369,74.663,4.488,255.173,261.173,247.173,6,60.7,8.791,33.199,4.645,3.081,4.662,0,0,0,74.663,489.791,280.0,0.909,6.999,5.586,56.652,3.772,56.652,74.663,196.054,470.133,29.267,8.302,3.207,3.28,19.21,258.964,1.511,3.253,3.027,4.706,170.89,341.78,1,0.33,31.675,586.0,3.544,0.049,105.0,0.231,4.879,5,5.047,3.296,3.671
4.602,3.309,5.551,8.864,59.585,59.585,3.13,18.011,55.0,3.24,0,0,0.0,3.283,52.663,4.047,177.866,177.866,167.601,3,70.48,8.009,27.654,4.378,3.043,4.388,0,0,0,52.663,392.535,195.0,0.727,5.622,5.324,34.652,3.365,34.652,52.663,163.751,391.312,22.7,6.675,2.625,3.125,15.042,188.338,1.506,3.034,2.837,4.275,132.83,276.15,1,0.5,25.853,417.0,3.438,0.12,74.0,0.099,4.487,3,4.593,3.126,3.329
4.728,3.414,5.923,9.583,62.817,62.817,3.235,18.011,68.0,3.254,0,0,0.0,3.292,52.663,4.061,182.621,182.621,178.621,3,42.24,8.139,28.722,4.45,3.065,4.367,0,0,0,52.663,424.133,230.0,0.719,5.874,5.431,34.652,3.431,34.652,52.663,175.951,421.08,24.605,7.052,2.854,3.125,16.932,164.795,1.51,3.034,2.859,4.268,132.621,302.72,1,0.67,27.32,487.0,3.512,0.092,86.0,0.137,4.487,2,4.578,3.123,3.369
7.469,3.778,7.364,12.758,99.844,99.844,3.608,0.0,164.0,3.44,0,0,0.0,3.499,128.831,4.756,255.438,255.438,251.438,7,103.9,11.167,35.858,4.68,3.239,4.682,0,0,0,127.054,541.353,421.0,0.964,7.766,6.058,47.145,4.125,77.065,98.91,221.053,531.13,35.281,9.433,2.925,3.423,23.432,230.029,1.661,3.333,3.058,4.947,197.663,394.21,0,0.17,35.226,900.0,3.873,0.232,140.0,0.995,4.783,4,4.883,3.379,4.062
5.017,3.457,6.007,10.125,62.817,62.817,3.286,18.011,82.0,3.255,0,0,0.0,3.292,52.663,4.058,182.621,182.621,180.621,3,42.24,8.139,28.722,4.45,3.069,4.367,0,0,0,52.663,424.133,243.0,0.719,5.874,5.431,34.652,3.459,34.652,52.663,175.951,421.08,24.605,7.052,2.851,3.125,16.932,164.795,1.51,3.034,2.859,4.268,132.621,302.72,1,0.67,27.32,515.0,3.512,0.092,87.0,0.137,4.477,2,4.578,3.123,3.378
4.602,3.566,6.531,10.5,81.208,81.208,3.359,18.011,94.0,3.259,0,0,0.0,3.331,96.976,4.401,230.869,230.869,220.869,4,84.76,10.893,33.04,4.642,3.081,4.535,0,0,0,96.976,497.299,294.0,0.915,6.497,5.815,78.965,3.7,78.965,96.976,204.666,491.146,29.805,7.815,2.918,3.617,20.778,188.338,1.63,3.206,3.013,4.597,167.301,356.11,1,0.17,31.464,614.0,3.832,0.209,111.0,0.367,4.804,3,4.886,3.256,3.633
4.602,3.519,6.336,10.37,65.766,65.766,3.344,18.011,87.0,3.263,0,0,0.0,3.303,52.663,4.207,219.722,221.722,208.968,3,42.24,9.133,31.722,4.567,3.092,4.432,0,0,0,52.663,445.697,280.0,0.838,6.686,5.529,34.652,3.632,34.652,52.663,191.48,458.97,26.705,8.083,2.918,3.457,17.959,164.795,1.552,3.077,2.926,4.392,137.615,326.08,1,0.67,30.32,612.0,3.625,0.059,104.0,0.121,4.578,1,4.644,3.152,3.545
4.602,3.441,6.004,9.625,62.817,62.817,3.27,18.011,70.0,3.228,0,0,0.0,3.279,52.663,4.032,196.621,196.621,184.621,3,42.24,8.133,28.722,4.45,3.039,4.367,0,0,0,52.663,424.133,231.0,0.748,5.87,5.435,34.652,3.455,34.652,52.663,175.951,421.08,24.605,7.042,2.885,3.177,16.932,164.795,1.513,2.908,2.831,4.213,132.621,302.72,1,0.67,27.32,489.0,3.512,0.102,87.0,0.137,4.426,2,4.415,2.987,3.354
4.602,3.414,5.923,9.583,61.284,61.284,3.235,18.011,68.0,3.175,0,0,0.0,3.254,52.663,3.917,181.362,181.362,174.608,3,42.24,8.206,27.818,4.395,3.011,4.264,0,0,0,52.663,419.458,230.0,0.708,5.621,5.43,34.652,3.395,34.652,52.663,174.691,418.007,24.39,6.807,2.797,3.051,17.208,129.482,1.509,2.908,2.833,4.096,121.853,300.63,1,0.67,26.621,487.0,3.561,0.059,86.0,0.205,4.339,1,4.278,2.918,3.283
4.898,3.494,6.37,9.929,77.21,77.21,3.262,18.011,94.0,3.404,0,0,0.0,3.481,52.663,4.762,228.274,228.274,224.274,5,42.24,10.026,35.767,4.782,3.239,4.683,0,0,0,52.663,535.952,278.0,1.092,7.405,5.592,34.652,3.985,34.652,52.663,214.32,514.701,29.805,8.803,3.009,3.478,20.816,258.964,1.564,3.254,3.061,5.032,169.991,371.92,1,0.5,33.428,579.0,3.642,0.136,108.0,0.094,4.915,6,5.136,3.292,3.846
4.602,3.414,5.923,9.583,62.817,62.817,3.235,18.011,68.0,3.255,0,0,0.0,3.293,82.583,4.075,182.621,182.621,178.621,3,42.24,7.383,26.881,4.467,3.063,4.387,0,0,0,82.583,386.997,230.0,0.719,5.874,5.554,34.652,3.355,64.572,52.663,161.681,386.262,25.462,7.052,2.866,3.125,16.255,194.716,1.51,3.034,2.849,4.294,132.621,284.44,1,0.67,26.432,487.0,3.427,0.048,86.0,0.214,4.504,2,4.599,3.124,3.288
4.602,3.469,6.195,9.769,70.346,70.346,3.274,18.011,80.0,3.254,0,0,0.0,3.292,74.663,4.244,194.15,194.15,190.15,5,60.7,8.364,29.631,4.462,3.026,4.421,0,0,0,74.663,454.364,254.0,0.707,6.021,5.549,56.652,3.537,56.652,74.663,183.943,440.581,27.538,7.247,2.87,3.034,18.794,164.795,1.509,3.185,2.908,4.438,144.15,320.3,1,0.33,28.75,533.0,3.607,-0.018,98.0,0.408,4.574,2,4.691,3.265,3.45
4.602,3.41,5.905,9.583,62.98,62.98,3.239,18.011,72.0,3.253,0,0,0.0,3.292,52.663,4.159,214.968,214.968,206.213,4,42.24,8.222,29.625,4.529,3.062,4.457,0,0,0,52.663,428.808,230.0,0.909,6.297,5.426,34.652,3.527,34.652,52.663,177.21,424.153,24.819,7.524,2.868,3.28,16.656,200.109,1.511,3.117,2.926,4.368,141.419,304.81,1,0.5,28.02,487.0,3.46,0.083,86.0,0.08,4.601,3,4.75,3.208,3.443
4.718,3.562,6.568,10.464,75.441,75.441,3.372,18.011,96.0,3.421,0,0,0.0,3.502,74.663,4.617,280.56,280.56,274.56,7,60.7,9.378,34.961,4.729,3.251,4.728,0,0,0,74.663,515.867,293.0,0.925,7.48,5.631,56.652,3.89,56.652,74.663,205.647,493.538,30.567,8.898,3.208,3.28,20.183,282.506,1.511,3.276,3.072,4.835,181.58,359.08,1,0.17,33.202,611.0,3.577,0.074,112.0,0.197,4.922,6,5.134,3.321,3.785
4.95,3.447,6.072,9.68,66.808,66.808,3.264,18.011,74.0,3.254,0,0,0.0,3.292,63.663,4.092,203.367,203.367,199.367,4,51.47,8.251,29.176,4.456,3.057,4.394,0,0,0,63.663,439.249,242.0,0.708,5.947,5.492,45.652,3.491,45.652,63.663,179.947,430.831,26.071,7.149,2.866,3.063,17.862,164.795,1.509,3.105,2.885,4.269,143.367,311.51,1,0.33,28.035,510.0,3.56,0.037,92.0,0.265,4.538,2,4.594,3.196,3.389
4.602,3.403,5.834,9.522,58.953,58.953,3.243,18.011,68.0,3.168,0,0,0.0,3.255,52.663,3.904,181.362,181.362,175.362,3,42.24,7.722,26.96,4.379,2.992,4.266,0,0,0,52.663,398.056,219.0,0.708,5.562,5.39,34.652,3.324,34.652,52.663,166.358,397.674,23.305,6.706,2.8,3.044,15.967,141.253,1.509,2.908,2.831,4.098,118.304,285.42,1,0.67,25.794,466.0,3.476,0.065,81.0,0.144,4.313,1,4.28,2.918,3.238
5.886,3.595,6.818,10.607,81.423,81.423,3.347,36.022,114.0,3.401,0,0,0.0,3.442,172.927,4.535,180.968,182.968,176.213,6,59.59,7.673,26.853,4.607,3.165,4.56,0,0,0,172.927,434.97,297.0,0.765,6.028,6.501,47.145,3.52,136.905,83.166,171.328,409.801,33.586,7.401,2.925,3.245,21.867,231.014,1.359,2.934,2.763,4.733,140.968,322.45,0,0.33,28.228,598.0,3.612,0.429,111.0,1.733,4.544,4,4.784,2.998,3.464
7.538,3.973,8.218,14.455,90.901,90.901,3.778,42.683,174.0,3.659,1,1,9.009,3.703,119.484,4.453,287.975,287.975,282.465,6,94.56,11.91,39.125,4.881,3.568,4.788,1,1,1,119.484,529.838,477.0,1.129,8.785,5.796,67.828,3.975,82.788,104.524,224.314,539.086,33.814,10.761,2.967,3.669,20.741,262.153,1.773,3.285,3.165,4.618,205.482,386.72,0,0.17,37.332,1082.0,3.842,0.125,162.0,0.244,4.881,7,5.016,3.311,3.834
6.77,4.177,9.453,16.111,77.386,77.386,3.957,60.694,139.0,3.499,1,1,8.574,3.545,96.839,4.633,303.763,303.763,291.008,14,58.56,9.92,36.79,4.94,3.326,4.838,1,1,1,96.839,562.557,435.0,1.118,8.043,5.65,78.828,3.802,78.828,96.839,214.899,516.113,30.9,9.638,2.979,3.51,21.302,341.362,1.626,3.303,3.121,4.892,179.511,378.83,0,0.33,34.068,890.0,3.506,0.192,152.0,0.256,4.854,10,5.074,3.367,3.737
