pXC50,P_VSA_e_5,P_VSA_m_3,MATS1e,CATS2D_04_AP,CATS2D_06_AN,P_VSA_p_2,SAacc,O.,CATS2D_02_DA,CATS2D_05_DP,CATS2D_05_PP,nPO4,O.056,P.117,P_VSA_MR_3,SdsssP,ATSC1e,CATS2D_01_AN,CATS2D_08_DD,Eig03_AEA.ri.,nO,CATS2D_08_AN,NsOH,SpMax7_Bh.s.,SpMax6_Bh.s.,P_VSA_v_2,Eta_epsi_A,IC1,ATSC2e,CATS2D_01_DN,CATS2D_02_DD,CATS2D_06_DN,NdsssP,nP,CATS2D_08_PN,nROH,SsssCH,nOHs,CATS2D_08_DP,nC..N.N2,ATSC1s,SaasN,nN.,nCconj,TPSA.NO.,CATS2D_02_AP,Eig03_EA.ri.,ATSC3e,CATS2D_09_DP,CATS2D_03_AP,Eta_betaS_A,Psi_i_s,TPSA.Tot.,P_VSA_s_6,SpMax5_Bh.s.,GATS1e,CATS2D_09_AP,CATS2D_09_DA,nHet,P_VSA_p_4,SAdon,IC3,P_VSA_LogP_3,Eig03_EA,SM11_AEA.bo.,CATS2D_07_DD,H.050,Hy,nHDon
5.416,222.96,237.92,-0.304,3,1,294.452,305.614,15.4,7,2,1,1,4,1,177.552,-4.841,0.574,2,2,4.003,8,1,4,6.23,6.4,309.412,0.72,4.41,1.288,2,2,1,1,1,1,4,-5.739,2,1,1,75.17,2.605,1,2,197.03,2,2.87,1.69,2,2,0.719,95.639,206.84,287.603,6.437,1.058,2,4,15,3.143,210.538,5.431,197.535,3.05,3.05,4,7,4.248,7
4.301,36.145,36.145,0.006,0,0,74.065,74.065,3.7,1,0,0,0,0,0,0.0,0.0,0.046,0,0,3.335,2,0,0,3.95,4.057,74.065,0.536,3.125,0.295,0,0,0,0,0,0,0,0.0,0,0,0,7.001,0.0,0,1,54.46,0,2.228,0.324,0,0,0.62,52.833,54.46,52.93,4.18,0.808,0,0,5,0.0,18.011,4.935,47.381,2.392,2.392,0,1,-0.356,1
4.194,85.367,85.367,-0.104,0,0,88.491,88.491,5.4,0,0,0,0,0,0,0.0,0.0,0.045,0,0,3.385,2,0,2,3.677,3.768,88.491,0.568,3.285,0.085,0,0,0,0,0,0,0,0.381,0,0,0,9.202,0.0,0,0,43.7,0,2.33,0.211,0,0,0.638,43.5,43.7,85.367,4.215,0.97,0,0,3,0.0,85.367,4.811,47.381,2.423,2.423,0,2,0.262,2
4.194,113.457,113.457,-0.026,0,0,129.862,129.862,17.5,2,0,0,0,0,0,0.0,0.0,0.229,0,0,3.49,7,0,0,4.381,4.499,129.862,0.701,3.479,0.869,0,0,0,0,0,0,0,0.0,0,0,0,23.205,0.0,0,0,100.16,0,2.397,0.817,0,0,0.66,67.417,108.54,113.457,4.821,0.744,0,2,9,0.0,16.405,4.734,72.141,2.547,2.547,0,1,-0.198,1
4.194,34.879,34.879,0.151,0,0,90.926,89.149,4.3,2,0,0,0,0,0,0.0,0.0,0.098,0,0,3.746,2,0,0,3.91,3.949,90.926,0.612,3.565,0.124,0,0,0,0,0,0,0,0.0,0,0,0,7.807,1.717,0,1,72.95,0,2.73,0.284,0,0,0.652,61.0,72.95,71.139,4.653,0.599,0,0,6,0.0,18.011,4.863,94.762,2.751,2.751,0,1,-0.358,1
4.194,44.313,44.313,0.002,0,0,111.626,111.626,5.6,2,0,0,0,0,0,0.0,0.0,0.126,0,1,3.519,2,0,0,4.328,4.615,111.626,0.654,3.503,0.337,0,1,0,0,0,0,0,0.0,0,1,0,21.429,0.0,0,0,84.22,2,2.445,0.348,0,0,0.602,57.528,124.69,159.945,4.817,0.632,0,0,8,0.0,67.313,4.559,112.909,2.569,2.569,0,4,1.959,4
4.194,36.145,36.145,-0.007,0,0,89.381,87.482,4.5,2,0,0,0,0,0,0.0,0.0,0.087,0,0,3.606,2,0,0,3.887,4.289,89.381,0.638,3.778,0.395,0,0,0,0,0,0,0,-0.18,0,0,0,8.218,2.0,0,0,69.04,0,2.455,0.378,0,0,0.657,60.944,94.34,108.619,4.541,0.71,0,0,8,0.0,18.011,5.079,75.81,2.647,2.647,0,1,-0.272,1
4.194,34.652,34.652,-0.074,0,0,86.234,86.234,5.9,2,0,0,0,0,0,0.0,0.0,0.06,0,0,3.508,2,0,0,3.705,3.932,86.234,0.659,3.474,0.187,0,0,0,0,0,0,0,0.0,0,0,0,4.77,0.0,0,1,68.02,0,2.423,0.274,0,0,0.663,52.5,96.26,68.223,4.316,0.781,0,0,6,0.0,18.011,5.029,85.722,2.59,2.59,0,1,-0.284,1
4.194,123.037,123.037,0.088,0,0,146.717,141.047,11.1,1,0,0,0,0,0,50.747,0.0,0.186,0,0,3.474,6,0,0,4.521,4.763,146.717,0.642,3.67,0.519,0,0,0,0,0,0,0,0.0,0,0,0,11.483,0.0,0,1,110.45,0,2.408,0.581,0,0,0.617,82.667,138.69,123.037,4.864,0.57,0,0,9,0.0,18.011,5.222,92.935,2.525,2.525,0,1,-0.31,1
4.194,42.683,42.683,0.036,0,0,77.908,76.132,3.2,0,0,0,0,1,0,42.683,0.0,0.049,0,0,3.224,1,0,1,3.552,3.674,77.908,0.57,3.22,0.088,0,0,0,0,0,0,1,0.0,0,0,0,9.074,1.676,0,0,50.94,0,2.157,0.31,0,0,0.625,36.25,50.94,76.132,3.794,0.862,0,0,4,0.0,42.683,3.889,90.065,2.272,2.272,0,1,-0.229,1
4.194,97.435,127.355,-0.031,0,0,119.243,147.265,8.1,0,0,0,0,0,0,0.0,0.0,0.17,0,0,3.69,5,0,0,4.846,4.883,149.164,0.656,3.847,1.027,0,0,0,0,0,0,0,-2.923,0,0,0,20.289,1.777,0,5,92.42,0,2.641,0.705,0,0,0.655,99.333,92.42,144.14,7.413,0.637,0,0,10,0.0,0.0,5.325,66.334,2.717,2.717,0,0,-0.724,0
4.194,69.458,69.458,-0.011,0,0,123.49,123.49,6.5,1,0,0,0,0,0,0.0,0.0,0.158,0,0,3.341,3,0,0,4.11,4.181,123.49,0.641,3.198,0.63,0,2,0,0,0,0,0,-1.305,0,0,0,27.473,0.0,0,0,87.3,0,2.24,1.012,0,0,0.625,65.167,127.77,232.096,4.839,0.602,0,0,11,0.0,54.032,4.969,6.046,2.469,2.469,0,3,1.203,3
4.301,103.973,118.933,-0.073,0,0,155.555,170.515,7.5,2,0,0,0,0,0,0.0,0.0,0.151,1,0,3.792,4,0,1,4.712,4.751,170.515,0.671,3.803,0.396,1,0,0,0,0,0,1,0.0,0,0,0,17.896,0.0,0,1,101.41,0,2.75,0.548,0,0,0.643,88.833,126.71,152.504,5.058,0.706,0,0,9,0.0,60.694,5.237,113.715,2.797,2.797,0,2,0.191,2
4.194,69.458,69.458,0.106,0,0,92.112,92.112,4.8,1,0,0,0,0,0,0.0,0.0,0.081,0,0,3.853,3,0,0,4.331,4.621,92.112,0.574,3.264,0.395,0,0,0,0,0,0,0,-0.377,0,0,0,16.01,0.0,0,0,69.72,0,2.787,0.368,0,0,0.621,75.75,78.1,69.458,4.703,0.531,0,0,7,0.0,18.011,4.944,128.999,2.887,2.887,0,1,-0.382,1
4.194,25.145,25.145,-0.025,0,0,43.156,43.156,2.6,1,0,0,0,0,0,0.0,0.0,0.023,0,0,3.544,1,0,0,3.674,3.898,43.156,0.559,3.129,0.113,0,0,0,0,0,0,0,0.473,0,0,0,5.145,0.0,0,1,29.1,0,2.505,0.111,0,0,0.575,44.778,29.1,64.294,4.123,0.605,0,0,3,0.0,18.011,4.208,75.81,2.562,2.562,0,1,-0.37,1
4.194,85.367,85.367,-0.098,0,0,135.478,118.815,5.6,0,0,0,0,0,0,0.0,0.0,0.098,0,0,3.525,2,0,2,3.935,4.372,135.478,0.631,3.226,0.075,0,0,0,0,0,0,0,0.0,0,0,0,12.391,0.0,0,0,82.03,0,2.481,0.164,0,0,0.63,53.833,82.03,118.815,4.422,0.942,0,1,5,0.0,102.03,5.003,75.81,2.551,2.551,0,3,0.989,3
4.194,67.828,67.828,-0.072,0,0,70.953,70.953,6.5,1,0,0,0,1,0,42.683,0.0,0.05,0,0,3.136,2,0,1,3.629,3.93,70.953,0.63,3.188,0.191,0,0,0,0,0,0,1,-0.903,0,0,0,10.1,0.0,0,1,40.54,0,2.086,0.141,0,0,0.632,46.278,40.54,106.977,4.343,0.719,0,0,4,0.0,42.683,4.503,118.493,2.181,2.181,0,1,-0.301,1
4.194,50.29,50.29,-0.065,0,0,71.425,71.425,7.1,1,0,0,0,0,0,0.0,0.0,0.05,0,0,3.177,2,0,0,3.351,3.778,71.425,0.65,3.337,0.176,0,0,0,0,0,0,0,0.0,0,0,0,5.216,0.0,0,1,49.41,0,2.184,0.304,0,0,0.653,44.167,77.65,50.29,4.006,0.654,0,0,5,0.0,18.011,4.522,64.507,2.159,2.159,0,1,-0.225,1
4.194,80.458,80.458,0.069,0,0,116.773,116.773,7.1,1,0,0,0,0,0,0.0,0.0,0.092,0,0,3.814,4,0,0,4.371,4.376,116.773,0.602,3.646,0.422,0,0,0,0,0,0,0,-0.258,0,0,0,17.214,0.0,0,0,88.6,0,2.767,0.451,0,0,0.637,73.75,96.98,97.243,4.855,0.584,0,1,8,0.0,18.011,5.173,91.094,2.838,2.838,0,1,-0.329,1
4.194,36.364,36.364,0.089,0,0,92.459,90.56,4.5,1,0,0,0,0,0,11.219,0.0,0.077,0,0,3.602,2,0,0,3.946,4.189,92.459,0.608,3.669,0.163,0,0,0,0,0,0,0,0.0,0,0,0,7.787,2.121,0,7,76.29,0,2.547,0.344,0,0,0.663,59.5,76.29,84.821,4.607,0.671,0,0,6,0.0,31.672,4.754,75.81,2.627,2.627,0,1,-0.332,1
4.194,118.575,118.575,0.088,0,0,191.142,168.687,8.3,0,0,0,0,0,0,50.747,0.0,0.247,0,0,3.84,4,0,1,4.856,4.938,191.142,0.703,3.626,0.387,0,1,0,0,0,0,0,0.0,0,0,0,18.396,0.0,0,1,136.52,0,2.756,0.557,0,0,0.647,88.611,136.52,207.835,5.031,0.548,0,2,10,0.0,59.469,5.377,113.715,2.875,2.875,0,2,0.235,2
4.435,25.145,40.105,0.016,0,0,26.663,41.624,3.6,0,0,0,0,0,0,0.0,0.0,0.041,0,0,3.262,1,0,0,3.598,3.826,41.624,0.648,3.234,0.116,0,0,0,0,0,0,0,0.0,0,0,0,4.045,0.0,0,1,22.0,0,2.192,0.193,0,0,0.611,44.833,50.24,40.105,3.906,0.498,0,0,4,0.0,0.0,4.566,66.334,2.301,2.301,0,0,-0.763,0
4.194,25.145,25.145,0.014,0,0,63.066,63.066,1.8,1,0,0,0,0,0,0.0,0.0,0.057,0,0,3.517,1,0,0,3.797,4.059,63.066,0.525,3.187,0.218,0,0,0,0,0,0,0,0.705,0,0,0,8.78,0.0,0,0,45.23,0,2.479,0.214,0,0,0.615,52.833,45.23,41.93,4.131,0.758,0,0,4,0.0,18.011,4.743,56.857,2.546,2.546,0,1,-0.408,1
4.194,88.336,88.336,-0.055,0,0,91.46,91.46,9.1,0,0,0,0,0,0,0.0,0.0,0.052,0,0,3.574,4,0,1,3.955,4.361,91.46,0.606,3.42,0.226,0,0,0,0,0,0,0,0.0,0,0,0,9.333,0.0,0,1,62.91,0,2.562,0.428,0,0,0.63,59.167,62.91,88.336,4.723,0.842,0,1,5,0.0,42.683,4.953,97.026,2.578,2.578,0,1,-0.356,1
4.194,47.145,47.145,-0.124,0,0,50.269,50.269,14.3,0,0,0,0,0,0,0.0,0.0,0.158,0,0,2.948,3,0,0,3.34,3.899,50.269,0.76,3.713,0.432,0,0,0,0,0,0,0,0.0,0,0,0,9.107,0.0,0,0,44.37,0,1.751,0.339,0,0,0.683,40.111,76.46,131.485,4.238,0.843,0,0,6,0.0,0.0,4.166,28.429,2.065,2.065,0,0,-0.586,0
4.194,25.145,25.145,0.0,0,0,79.851,79.851,2.2,1,0,0,0,0,0,0.0,0.0,0.038,0,0,3.399,1,0,0,3.627,3.814,79.851,0.539,2.834,0.214,0,0,0,0,0,0,0,0.587,0,0,0,5.886,0.0,0,0,58.12,0,2.373,0.326,0,0,0.667,43.0,58.12,58.716,4.01,0.756,0,0,5,0.0,18.011,4.392,0.0,2.414,2.414,0,1,-0.291,1
4.194,50.29,50.29,-0.034,0,0,89.436,89.436,4.2,2,0,0,0,0,0,0.0,0.0,0.034,0,0,3.367,2,0,0,3.892,3.979,89.436,0.554,3.237,0.24,0,0,0,0,0,0,0,-0.354,0,0,0,6.232,0.0,0,0,61.44,0,2.256,0.364,0,0,0.62,51.833,86.74,50.29,4.12,0.729,0,1,6,0.0,36.022,4.804,37.905,2.445,2.445,0,2,0.321,2
4.194,11.0,25.96,-0.038,0,0,30.91,45.87,3.6,0,0,0,0,0,0,0.0,0.0,0.056,0,0,3.243,1,0,0,3.404,3.505,45.87,0.648,3.65,0.248,0,0,0,0,0,0,0,0.0,0,0,0,4.498,0.0,0,2,26.52,0,2.138,0.352,0,0,0.676,39.667,54.76,42.746,3.932,0.676,0,0,5,0.0,0.0,4.495,28.429,2.31,2.31,0,0,-0.692,0
4.301,36.145,36.145,-0.061,0,0,52.93,36.145,7.7,0,0,0,0,0,0,0.0,0.0,0.056,0,0,2.798,2,0,0,3.446,3.515,52.93,0.647,3.271,0.141,0,0,0,0,0,0,0,0.0,0,0,0,5.103,0.0,0,1,42.09,0,1.771,0.431,0,0,0.625,39.278,42.09,75.293,4.268,0.721,0,0,4,0.0,16.786,4.547,65.905,1.823,1.823,0,1,-0.229,1
4.194,22.0,36.96,-0.01,0,0,43.135,58.095,3.5,0,0,0,0,0,0,0.0,0.0,0.019,0,0,3.741,2,0,0,4.233,4.324,58.095,0.571,3.259,0.189,0,0,0,0,0,0,0,0.0,0,0,0,7.794,0.0,0,0,33.73,0,2.673,0.325,0,0,0.633,64.167,33.73,36.96,4.434,0.745,0,0,5,0.0,18.011,5.048,104.239,2.775,2.775,0,1,-0.415,1
4.301,36.145,36.145,-0.013,0,0,87.114,87.114,4.9,0,0,0,0,0,0,0.0,0.0,0.017,0,0,3.359,2,0,0,4.302,4.593,87.114,0.607,3.775,0.231,0,0,0,0,0,0,0,0.0,0,0,0,11.802,0.0,0,4,67.91,0,2.25,0.128,0,0,0.615,58.833,93.21,115.524,4.697,0.734,0,0,6,0.0,0.0,4.754,56.857,2.428,2.428,0,0,-0.74,0
4.301,33.0,33.0,0.025,0,0,72.574,55.911,5.2,0,0,0,0,0,0,0.0,0.0,0.041,0,0,3.632,3,0,0,4.135,4.333,72.574,0.579,3.409,0.37,0,0,0,0,0,0,0,0.0,0,0,0,11.531,0.0,0,0,62.85,0,2.485,0.434,0,0,0.667,60.5,91.09,49.663,4.46,0.889,0,0,8,0.0,16.663,4.525,45.554,2.714,2.714,0,1,-0.316,1
4.194,97.435,97.435,-0.032,0,0,124.818,124.818,7.7,2,0,0,0,0,0,0.0,0.0,0.059,0,0,3.896,5,0,0,4.234,4.408,124.818,0.599,3.497,0.634,0,0,0,0,0,0,0,0.0,0,0,0,7.594,0.0,0,2,96.87,0,2.808,0.42,0,0,0.686,80.5,96.87,97.435,4.678,0.743,0,0,9,0.0,18.011,5.395,56.857,2.934,2.934,0,1,-0.345,1
4.194,61.29,61.29,0.023,0,0,132.291,132.291,7.0,2,0,0,0,0,0,0.0,0.0,0.128,0,0,3.606,3,0,0,4.026,4.372,132.291,0.648,3.967,0.372,0,0,0,0,0,0,0,0.0,0,0,0,8.748,0.0,0,4,99.0,0,2.406,0.526,0,0,0.644,63.5,127.24,111.279,4.614,0.68,0,0,9,0.0,18.011,5.066,56.857,2.711,2.711,0,1,-0.218,1
4.301,75.435,75.435,-0.025,0,0,130.141,130.141,5.4,3,0,0,0,0,0,0.0,0.0,0.025,0,0,3.505,3,0,0,4.149,4.75,130.141,0.598,3.39,0.322,0,0,0,0,0,0,0,0.0,0,0,0,9.473,0.0,0,0,92.26,0,2.496,0.19,0,0,0.641,76.25,92.26,109.006,4.887,0.626,0,0,7,0.0,18.011,4.58,85.286,2.511,2.511,0,1,-0.372,1
4.194,61.29,61.29,-0.043,0,0,99.21,99.21,6.7,1,0,0,0,0,0,0.0,0.0,0.047,0,0,3.443,3,0,0,4.015,4.378,99.21,0.615,3.643,0.31,0,0,0,0,0,0,0,0.0,0,0,0,6.76,0.0,0,2,73.22,0,2.322,0.35,0,0,0.644,61.5,98.52,78.075,4.393,0.734,0,0,7,0.0,18.011,5.014,75.81,2.517,2.517,0,1,-0.294,1
4.194,114.973,114.973,-0.035,0,0,121.222,121.222,8.2,0,0,0,0,1,0,42.683,0.0,0.037,0,0,3.552,5,0,1,4.327,4.454,121.222,0.579,3.257,0.416,0,0,0,0,0,0,1,-0.648,1,0,0,11.411,0.0,0,2,79.31,0,2.437,0.585,0,0,0.637,72.667,79.31,114.973,4.727,0.797,0,2,7,0.0,42.683,5.021,127.97,2.616,2.616,0,1,-0.361,1
4.194,25.145,25.145,-0.091,0,0,111.278,111.278,3.1,3,0,0,0,0,0,0.0,0.0,0.148,0,0,3.45,1,0,0,3.9,4.334,111.278,0.725,3.648,0.286,0,1,0,0,0,0,0,0.0,0,0,0,7.87,0.0,0,0,79.8,0,2.284,0.459,0,0,0.663,56.722,108.04,153.554,4.491,0.726,0,1,9,0.0,36.022,4.688,47.381,2.524,2.524,0,2,0.45,2
4.301,110.544,110.544,0.101,0,0,165.284,159.614,12.5,2,0,0,0,0,0,50.747,0.0,0.202,0,0,3.636,5,0,0,4.63,5.071,165.284,0.696,4.006,0.405,0,0,0,0,0,0,0,0.0,0,0,0,18.783,0.0,0,6,132.68,0,2.628,0.45,0,0,0.63,77.167,132.68,141.603,6.818,0.514,0,1,8,0.0,18.011,4.984,56.857,2.641,2.641,0,1,-0.272,1
4.194,137.639,137.639,0.184,1,0,181.876,170.536,17.6,1,0,0,0,0,0,101.494,0.0,0.294,0,0,3.509,6,0,0,4.848,4.927,181.876,0.741,3.565,0.537,0,0,0,0,0,0,0,0.0,0,0,0,30.873,0.0,0,1,143.96,1,2.484,0.639,0,0,0.63,72.167,143.96,170.536,6.999,0.453,0,0,9,0.0,32.897,4.418,56.857,2.529,2.529,0,2,0.45,2
4.301,34.652,34.652,-0.021,0,0,55.787,55.787,5.0,2,0,0,0,0,0,0.0,0.0,0.014,0,0,3.536,2,0,0,3.62,3.904,55.787,0.578,3.571,0.146,0,0,0,0,0,0,0,0.0,0,0,0,6.98,0.0,0,2,45.48,0,2.518,0.247,0,0,0.659,47.667,45.48,34.652,4.026,0.771,0,0,4,0.0,18.011,4.784,87.549,2.554,2.554,0,1,-0.354,1
4.194,64.683,64.683,-0.032,0,0,119.818,118.041,5.6,1,0,0,0,0,0,11.0,0.0,0.105,0,0,3.698,3,0,1,4.248,4.461,119.818,0.618,3.933,0.432,0,0,0,0,0,0,0,0.0,0,0,0,9.977,1.329,0,1,85.0,0,2.584,0.56,0,0,0.68,69.25,85.0,114.917,4.618,0.873,0,2,9,0.0,42.683,5.259,56.857,2.757,2.757,0,1,-0.31,1
