pXC50,nCsp2,C.,SCBO,nBM,Mi,nC,H.,nBO,nSK,Mv,Sv,nAB,MW,Mp,Sp,O.,AMW,Me,N.,nAT,nB,nBR,nBT,nCL,nCsp,nCsp3
4.017,1,38.1,22.0,3,1.129,16,57.1,17,18,0.566,23.751,0,248.4,0.62,26.046,4.8,5.914,0.982,0.0,42,0,0,41,0,4,11
5.462,22,47.3,50.0,22,1.11,26,38.2,36,34,0.689,37.91,18,521.39,0.714,39.25,9.1,9.48,1.016,3.6,55,0,1,57,0,1,3
4.1,9,37.5,27.5,14,1.141,9,25.0,19,18,0.742,17.803,11,312.1,0.729,17.506,12.5,13.004,1.067,20.8,24,0,1,25,0,0,0
4.1,7,36.4,26.0,7,1.134,16,52.3,22,21,0.584,25.675,6,293.4,0.618,27.199,9.1,6.668,1.003,2.3,44,0,0,45,0,0,9
4.0,5,34.6,19.5,7,1.131,9,46.2,15,14,0.627,16.294,5,212.3,0.668,17.375,7.7,8.165,1.014,7.7,26,0,0,27,0,0,4
4.0,7,33.3,27.0,9,1.13,13,48.7,21,20,0.617,24.082,6,313.49,0.675,26.313,5.1,8.038,1.005,7.7,39,0,0,40,0,0,6
4.1,13,41.7,31.0,14,1.119,15,38.9,23,22,0.685,24.669,12,335.84,0.722,26.0,5.6,9.329,1.018,8.3,36,0,0,37,1,0,2
6.387,13,40.4,44.0,20,1.119,21,42.3,34,30,0.66,34.345,20,442.61,0.703,36.534,5.8,8.512,1.01,7.7,52,0,0,56,0,0,8
4.322,13,38.9,31.0,15,1.126,14,41.7,22,21,0.654,23.557,12,305.39,0.683,24.597,8.3,8.483,1.018,8.3,36,0,0,37,0,0,1
5.329,22,48.9,49.5,28,1.108,23,34.0,35,31,0.723,33.997,27,445.96,0.757,35.557,2.1,9.489,1.011,10.6,47,0,0,51,1,0,1
4.948,16,45.0,39.5,20,1.119,18,35.0,28,26,0.687,27.492,17,354.34,0.683,27.307,15.0,8.859,1.037,5.0,40,0,0,42,0,0,2
5.907,5,33.3,23.0,5,1.152,10,43.3,18,17,0.621,18.644,0,235.28,0.633,18.983,6.7,7.843,1.023,16.7,30,0,0,31,0,0,5
4.0,13,48.3,30.5,14,1.101,14,31.0,22,20,0.73,21.175,11,287.31,0.742,21.517,13.8,9.907,1.035,3.4,29,0,0,31,0,0,1
4.1,9,37.0,34.5,13,1.127,17,45.7,27,25,0.634,29.185,11,384.92,0.673,30.949,8.7,8.368,1.016,4.3,46,0,0,48,1,0,8
4.0,12,38.3,37.0,15,1.127,18,44.7,28,26,0.635,29.852,12,375.49,0.667,31.335,8.5,7.989,1.014,6.4,47,0,0,49,0,0,6
4.0,17,47.7,43.5,23,1.118,21,38.6,30,27,0.681,29.983,21,355.43,0.706,31.051,2.3,8.078,1.003,11.4,44,0,0,47,0,1,3
6.48,21,47.9,47.5,21,1.097,23,33.3,35,32,0.729,35.011,17,485.99,0.761,36.523,10.4,10.125,1.027,2.1,48,0,0,51,1,0,2
4.1,19,42.1,48.0,23,1.128,24,42.1,36,33,0.656,37.375,22,465.6,0.687,39.137,3.5,8.168,1.01,8.8,57,0,0,60,0,0,5
4.0,9,37.1,27.0,9,1.15,13,42.9,21,20,0.63,22.059,6,278.32,0.641,22.438,5.7,7.952,1.025,11.4,35,0,0,36,0,0,4
4.0,7,38.1,27.0,7,1.131,16,50.0,23,21,0.599,25.149,6,291.38,0.629,26.438,9.5,6.938,1.006,2.4,42,0,0,44,0,0,9
4.0,10,42.3,24.0,12,1.115,11,38.5,17,16,0.683,17.767,10,234.3,0.716,18.614,7.7,9.012,1.018,7.7,26,0,0,27,0,0,1
4.0,9,35.9,28.0,9,1.142,14,46.2,22,21,0.613,23.918,6,290.36,0.634,24.716,7.7,7.445,1.015,10.3,39,0,0,40,0,0,5
5.277,20,46.9,44.0,23,1.114,23,40.8,32,29,0.666,32.643,22,388.45,0.687,33.682,8.2,7.928,1.009,4.1,49,0,0,52,0,0,3
4.0,0,34.5,21.0,1,1.136,20,65.5,19,20,0.517,30.009,0,278.58,0.594,34.467,0.0,4.803,0.962,0.0,58,0,0,57,0,2,18
4.1,12,43.8,28.0,13,1.119,14,37.5,21,20,0.697,22.288,12,311.18,0.725,23.205,6.3,9.724,1.025,6.3,32,0,0,33,2,0,2
5.268,9,44.8,24.0,8,1.129,13,41.4,19,17,0.655,18.995,6,233.26,0.67,19.421,6.9,8.043,1.02,3.4,29,0,0,31,0,0,4
5.724,18,44.7,42.0,17,1.106,21,38.3,31,29,0.691,32.491,12,426.55,0.728,34.216,8.5,9.076,1.016,4.3,47,0,0,49,0,0,3
5.296,9,43.8,27.0,8,1.151,14,37.5,22,20,0.665,21.289,6,283.27,0.658,21.057,6.3,8.852,1.046,3.1,32,0,0,34,0,0,5
4.0,9,35.4,31.0,9,1.141,17,50.0,25,24,0.594,28.498,6,332.45,0.625,30.0,6.3,6.926,1.005,8.3,48,0,0,49,0,0,8
4.0,8,38.7,24.0,11,1.133,12,45.2,18,17,0.624,19.348,10,234.28,0.643,19.943,9.7,7.557,1.016,6.5,31,0,0,32,0,0,4
6.076,17,44.2,45.5,22,1.122,23,42.3,34,30,0.653,33.971,21,402.49,0.678,35.239,5.8,7.74,1.007,7.7,52,0,0,56,0,0,6
4.0,9,42.9,25.0,8,1.121,15,48.6,20,18,0.619,21.665,6,243.33,0.657,23.006,5.7,6.952,0.995,2.9,35,0,0,37,0,0,6
5.662,10,42.1,29.0,9,1.123,16,44.7,23,21,0.634,24.095,6,287.34,0.656,24.915,10.5,7.562,1.013,2.6,38,0,0,40,0,0,6
6.076,10,41.7,34.0,9,1.123,20,47.9,28,25,0.618,29.675,6,341.44,0.65,31.199,8.3,7.113,1.003,2.1,48,0,0,51,0,0,10
4.1,6,36.4,24.0,6,1.133,16,54.5,21,20,0.582,25.6,6,297.86,0.634,27.909,4.5,6.77,0.993,2.3,44,0,0,45,1,0,10
5.873,17,46.5,42.5,22,1.119,20,37.2,31,27,0.684,29.391,21,360.4,0.697,29.955,7.0,8.381,1.016,9.3,43,0,0,47,0,0,3
5.633,11,42.9,30.5,13,1.124,15,40.0,23,21,0.659,23.063,11,286.31,0.669,23.398,11.4,8.18,1.023,5.7,35,0,0,37,0,0,4
4.1,17,44.4,40.0,19,1.125,20,42.2,29,26,0.656,29.509,16,345.44,0.685,30.813,2.2,7.676,1.0,11.1,45,0,0,48,0,0,3
4.0,16,48.6,33.5,18,1.11,17,37.1,24,22,0.699,24.461,17,312.77,0.724,25.347,5.7,8.936,1.014,5.7,35,0,0,37,1,0,1
4.1,15,41.8,40.0,14,1.124,23,47.3,32,29,0.622,34.224,12,394.51,0.654,35.966,7.3,7.173,1.002,3.6,55,0,0,58,0,0,8
4.1,19,39.2,58.5,21,1.134,31,46.8,46,42,0.619,48.911,17,571.75,0.649,51.279,5.1,7.237,1.003,8.9,79,0,0,83,0,0,12
4.1,14,48.4,30.0,17,1.113,15,38.7,21,19,0.681,21.106,16,252.29,0.701,21.727,6.5,8.138,1.009,6.5,31,0,0,33,0,0,1
4.1,12,41.7,28.5,13,1.126,15,44.4,21,20,0.635,22.875,11,272.33,0.658,23.705,8.3,7.565,1.01,5.6,36,0,0,37,0,0,3
4.0,18,46.5,43.0,23,1.116,20,37.2,31,27,0.697,29.95,22,372.49,0.732,31.489,0.0,8.663,1.002,14.0,43,0,0,47,0,0,2
4.1,14,50.0,30.0,16,1.104,15,36.7,22,19,0.714,21.417,16,315.18,0.754,22.625,3.3,10.506,1.006,6.7,30,0,1,33,0,0,1
4.1,21,48.1,46.0,21,1.11,25,40.4,34,31,0.67,34.863,18,415.47,0.69,35.892,9.6,7.99,1.011,1.9,52,0,0,55,0,0,4
4.0,7,44.0,19.0,7,1.114,11,44.0,15,14,0.657,16.418,6,210.67,0.693,17.335,8.0,8.427,1.011,0.0,25,0,0,26,1,0,4
5.416,17,44.4,39.0,16,1.113,20,40.0,29,27,0.673,30.304,12,382.47,0.702,31.568,8.9,8.499,1.015,4.4,45,0,0,47,0,0,3
4.1,10,34.8,36.5,15,1.128,16,45.7,27,25,0.631,29.039,11,383.54,0.674,30.983,8.7,8.338,1.016,6.5,46,0,0,48,0,0,6
4.0,13,40.5,36.5,19,1.121,15,35.1,26,24,0.705,26.076,17,409.29,0.735,27.193,8.1,11.062,1.03,10.8,37,0,1,39,0,0,2
4.1,7,37.8,24.0,7,1.123,14,48.6,20,19,0.639,23.626,6,317.31,0.709,26.228,0.0,8.576,0.997,5.4,37,0,0,38,2,0,7
4.1,13,39.5,35.0,15,1.125,17,44.2,26,24,0.642,27.61,12,345.46,0.677,29.12,7.0,8.034,1.01,7.0,43,0,0,45,0,0,4
4.0,15,44.7,37.5,21,1.117,17,36.8,27,24,0.704,26.756,21,355.88,0.746,28.341,0.0,9.365,1.009,13.2,38,0,0,41,1,0,2
5.399,22,50.0,48.5,28,1.111,23,34.8,34,30,0.704,32.391,27,396.43,0.716,32.955,6.5,8.618,1.015,8.7,46,0,0,50,0,0,1
5.216,15,43.6,38.5,21,1.118,17,35.9,28,25,0.694,27.051,21,354.42,0.714,27.841,7.7,9.088,1.023,10.3,39,0,0,42,0,0,2
4.0,13,40.4,34.0,13,1.136,19,46.8,27,25,0.62,29.145,12,343.44,0.648,30.478,4.3,7.307,1.007,6.4,47,0,0,49,0,0,6
4.0,12,42.9,37.0,16,1.118,18,40.5,29,25,0.669,28.083,16,355.45,0.699,29.358,7.1,8.463,1.013,7.1,42,0,0,46,0,0,6
5.824,20,47.7,49.0,27,1.109,21,29.5,35,31,0.75,33.013,26,470.36,0.775,34.108,4.5,10.69,1.03,11.4,44,0,0,48,2,0,1
5.202,7,36.1,26.0,11,1.124,13,47.2,20,19,0.634,22.841,10,295.47,0.697,25.097,2.8,8.207,0.999,8.3,36,0,0,37,0,0,6
4.1,12,41.7,30.5,13,1.145,15,38.9,23,22,0.657,23.641,11,308.31,0.655,23.58,8.3,8.564,1.039,5.6,36,0,0,37,0,0,3
5.374,17,48.6,38.0,22,1.113,18,35.1,27,24,0.698,25.843,22,319.34,0.708,26.188,8.1,8.631,1.019,8.1,37,0,0,40,0,0,1
6.004,6,38.5,20.0,4,1.131,10,42.3,16,15,0.635,16.515,0,209.22,0.64,16.631,15.4,8.047,1.032,3.8,26,0,0,27,0,0,4
4.0,16,41.5,42.0,16,1.126,22,43.4,32,30,0.64,33.906,12,409.48,0.659,34.904,9.4,7.726,1.015,5.7,53,0,0,55,0,0,6
4.1,8,35.1,27.0,8,1.159,13,40.5,22,22,0.642,23.739,6,336.37,0.647,23.926,8.1,9.091,1.051,5.4,37,0,0,37,0,0,5
7.0,12,36.7,43.5,15,1.13,18,36.7,34,31,0.678,33.237,11,462.56,0.697,34.171,10.2,9.44,1.035,12.2,49,0,0,52,0,0,6
4.1,15,45.5,35.5,17,1.117,20,45.5,27,24,0.641,28.214,17,320.42,0.677,29.773,4.5,7.282,0.996,4.5,44,0,0,47,0,0,5
4.0,15,46.2,44.0,15,1.115,24,42.3,35,30,0.657,34.17,12,402.48,0.682,35.443,7.7,7.74,1.007,3.8,52,0,0,57,0,0,9
4.0,14,43.2,34.0,14,1.122,19,45.5,26,24,0.635,27.928,12,324.41,0.664,29.228,6.8,7.373,1.003,4.5,44,0,0,46,0,0,5
4.1,11,38.1,30.5,13,1.137,16,47.6,23,22,0.613,25.73,11,300.4,0.643,27.023,4.8,7.152,1.003,9.5,42,0,0,43,0,0,5
6.087,21,43.6,52.5,29,1.121,24,40.0,37,33,0.672,36.959,27,458.59,0.703,38.682,3.6,8.338,1.007,10.9,55,0,0,59,0,0,3
4.146,9,44.8,24.0,8,1.108,13,41.4,19,17,0.687,19.929,6,341.16,0.764,22.142,6.9,11.764,1.004,3.4,29,0,0,31,0,0,4
4.889,9,44.8,25.0,8,1.114,13,37.9,20,18,0.699,20.267,6,284.15,0.731,21.199,6.9,9.798,1.024,3.4,29,0,0,31,2,0,4
4.0,6,42.9,23.5,7,1.114,12,42.9,19,16,0.664,18.579,5,232.33,0.711,19.921,3.6,8.297,1.001,7.1,28,0,0,31,0,0,6
5.595,14,41.7,43.0,18,1.118,20,39.6,33,29,0.679,32.598,16,425.58,0.72,34.563,4.2,8.866,1.01,10.4,48,0,0,52,0,0,6
4.0,9,38.1,30.0,11,1.126,16,47.6,24,22,0.622,26.116,10,320.45,0.664,27.875,7.1,7.63,1.005,4.8,42,0,0,44,0,0,7
4.0,13,38.2,40.0,17,1.129,21,47.3,31,29,0.622,34.212,16,414.58,0.662,36.409,5.5,7.538,1.003,7.3,55,0,0,57,0,0,8
5.068,18,43.1,44.0,17,1.11,22,39.2,33,31,0.681,34.732,12,456.58,0.714,36.432,9.8,8.953,1.019,3.9,51,0,0,53,0,0,4
4.0,16,47.2,35.5,19,1.117,17,36.1,25,23,0.69,24.843,17,307.33,0.7,25.188,8.3,8.537,1.02,8.3,36,0,0,38,0,0,1
5.271,19,48.8,44.0,23,1.112,21,34.9,32,28,0.7,30.084,22,373.39,0.707,30.404,9.3,8.683,1.021,7.0,43,0,0,47,0,0,2
5.623,16,47.6,39.0,15,1.108,20,35.7,30,27,0.708,29.75,12,404.26,0.729,30.631,9.5,9.625,1.027,2.4,42,0,0,45,2,0,4
5.223,18,39.0,49.5,22,1.119,23,42.4,36,34,0.662,39.081,17,515.74,0.711,41.949,5.1,8.741,1.009,8.5,59,0,0,61,0,0,5
4.1,7,36.0,27.0,14,1.146,9,32.0,18,17,0.68,16.998,10,236.21,0.655,16.364,16.0,9.448,1.059,16.0,25,0,0,26,0,0,2
4.983,17,48.6,39.0,22,1.104,18,32.4,28,25,0.734,27.142,22,369.85,0.763,28.239,5.4,9.996,1.021,8.1,37,0,0,40,1,0,1
4.836,22,50.0,47.0,22,1.106,24,35.4,33,31,0.707,33.944,18,432.88,0.725,34.779,8.3,9.018,1.019,4.2,48,0,0,50,1,1,1
5.824,20,51.3,46.5,24,1.096,20,25.6,33,29,0.775,30.243,21,468.3,0.792,30.881,10.3,12.008,1.037,7.7,39,0,1,43,0,0,0
6.24,18,46.0,47.5,17,1.104,23,36.0,36,32,0.704,35.205,11,466.57,0.733,36.67,10.0,9.331,1.021,4.0,50,0,0,54,0,0,5
4.349,10,40.9,31.0,9,1.125,18,47.7,25,23,0.617,27.149,6,315.4,0.646,28.438,9.1,7.168,1.006,2.3,44,0,0,46,0,0,8
6.26,18,46.7,44.0,17,1.101,21,33.3,33,30,0.729,32.791,12,458.97,0.763,34.313,8.9,10.199,1.026,4.4,45,0,0,48,1,0,3
4.1,8,45.5,19.5,11,1.118,10,40.9,14,13,0.681,14.978,11,192.66,0.723,15.915,0.0,8.757,1.003,9.1,22,0,0,23,1,0,2
6.156,18,43.8,45.0,17,1.112,21,33.3,34,32,0.716,34.388,12,495.36,0.733,35.193,12.5,10.32,1.041,4.2,48,0,0,50,2,0,3
6.377,15,47.1,37.0,18,1.104,16,29.4,27,24,0.751,25.528,16,404.26,0.777,26.426,8.8,11.89,1.033,8.8,34,0,1,37,0,0,1
5.618,9,42.4,25.0,8,1.122,14,45.5,20,18,0.632,20.853,6,245.3,0.658,21.699,9.1,7.433,1.008,3.0,33,0,0,35,0,0,5
4.032,10,41.2,32.0,11,1.127,14,35.3,24,22,0.675,22.966,6,304.28,0.663,22.545,17.6,8.949,1.047,5.9,34,0,0,36,0,0,4
4.0,10,41.0,32.5,15,1.12,16,43.6,25,22,0.666,25.986,15,377.34,0.727,28.353,0.0,9.675,0.997,10.3,39,0,1,42,0,0,6
4.0,10,45.8,23.0,12,1.116,11,37.5,16,15,0.678,16.273,10,203.21,0.684,16.415,12.5,8.467,1.026,4.2,24,0,0,25,0,0,1
6.173,17,43.5,42.5,22,1.125,20,39.1,31,28,0.666,30.632,21,378.42,0.678,31.171,8.7,8.227,1.02,8.7,46,0,0,49,0,0,3
5.278,19,42.4,51.0,21,1.125,25,40.7,38,35,0.655,38.642,16,476.53,0.667,39.364,10.2,8.077,1.02,6.8,59,0,0,62,0,0,6
4.807,9,43.8,24.0,8,1.119,14,46.9,19,17,0.629,20.139,6,229.3,0.664,21.245,6.3,7.166,0.998,3.1,32,0,0,34,0,0,5
4.0,17,43.2,39.0,20,1.115,19,40.9,28,26,0.666,29.304,18,370.46,0.695,30.568,9.1,8.42,1.015,4.5,44,0,0,46,0,0,2
4.0,14,39.2,42.0,16,1.131,20,41.2,32,30,0.659,33.589,12,453.96,0.684,34.892,7.8,8.901,1.027,5.9,51,0,0,53,1,0,6
4.1,8,37.8,26.0,10,1.125,17,55.6,21,20,0.583,26.245,10,291.5,0.65,29.245,2.2,6.478,0.98,2.2,45,0,0,46,0,0,9
5.943,20,52.6,43.0,26,1.103,20,31.6,30,26,0.725,27.536,26,344.34,0.727,27.636,10.5,9.062,1.024,5.3,38,0,0,42,0,0,0
4.0,14,39.7,39.0,14,1.13,23,50.0,31,29,0.604,35.057,12,395.55,0.643,37.279,5.2,6.82,0.996,5.2,58,0,0,60,0,0,9
4.0,9,42.9,26.5,12,1.198,9,9.5,20,19,0.806,16.936,11,295.21,0.73,15.33,4.8,14.058,1.145,14.3,21,0,0,22,0,0,0
6.142,20,43.6,47.0,18,1.11,24,40.0,35,33,0.677,37.259,12,482.62,0.713,39.193,9.1,8.775,1.015,3.6,55,0,0,57,0,0,4
4.1,18,42.1,49.0,23,1.136,24,42.1,37,33,0.649,36.989,22,445.55,0.672,38.284,1.8,7.817,1.009,12.3,57,0,0,61,0,0,6
4.1,14,43.9,37.5,17,1.131,18,39.0,28,25,0.665,27.28,15,341.37,0.674,27.648,7.3,8.326,1.024,7.3,41,0,0,44,0,0,4
6.445,7,34.4,32.0,7,1.135,21,55.7,28,27,0.577,35.222,6,412.1,0.642,39.16,1.6,6.756,0.986,4.9,61,0,0,62,1,0,14
4.0,10,41.9,24.5,12,1.126,13,45.2,18,17,0.633,19.633,11,230.29,0.661,20.489,6.5,7.429,1.005,6.5,31,0,0,32,0,0,3
4.0,13,45.2,25.0,13,1.119,14,45.2,18,17,0.643,19.918,12,226.3,0.679,21.034,3.2,7.3,0.995,6.5,31,0,0,32,0,0,1
5.554,18,44.0,43.0,17,1.108,22,40.0,32,30,0.68,34.017,12,440.58,0.72,35.977,8.0,8.812,1.012,4.0,50,0,0,52,0,0,4
5.385,21,48.9,45.5,24,1.126,23,36.2,33,30,0.691,32.475,23,405.43,0.7,32.892,4.3,8.626,1.022,6.4,47,0,0,50,0,0,2
6.465,22,50.0,47.0,22,1.104,24,35.4,33,31,0.711,34.142,18,477.33,0.735,35.273,8.3,9.944,1.017,4.2,48,0,1,50,0,1,1
4.0,13,41.0,35.0,17,1.122,16,38.5,26,24,0.674,26.271,16,345.41,0.694,27.051,10.3,8.857,1.025,7.7,39,0,0,41,0,0,3
5.225,17,51.2,38.0,18,1.103,21,41.5,28,24,0.675,27.665,16,315.39,0.707,29.006,4.9,7.692,0.996,2.4,41,0,0,45,0,0,4
4.0,10,38.5,30.0,9,1.119,15,43.6,24,22,0.655,25.556,6,335.49,0.706,27.551,5.1,8.602,1.008,7.7,39,0,0,41,0,0,5
4.1,12,42.1,32.0,14,1.129,16,42.1,24,22,0.649,24.676,12,296.36,0.671,25.5,5.3,7.799,1.01,10.5,38,0,0,40,0,0,4
6.574,19,47.5,40.5,20,1.102,19,32.5,29,27,0.732,29.275,17,445.31,0.76,30.398,10.0,11.133,1.028,5.0,40,0,1,42,0,0,0
4.0,10,41.7,30.5,13,1.128,15,41.7,23,21,0.649,23.369,11,285.33,0.665,23.949,8.3,7.926,1.016,8.3,36,0,0,38,0,0,5
5.352,21,48.0,45.5,24,1.11,24,40.0,33,30,0.685,34.26,23,462.37,0.723,36.131,4.0,9.247,1.003,6.0,50,0,1,53,0,0,3
5.662,17,48.6,39.0,22,1.123,18,32.4,28,25,0.709,26.226,22,337.33,0.706,26.125,8.1,9.117,1.033,8.1,37,0,0,40,0,0,1
4.0,21,41.8,50.0,23,1.12,23,38.2,36,34,0.673,36.996,18,483.54,0.685,37.699,12.7,8.792,1.03,5.5,55,0,0,57,0,0,2
4.0,4,29.4,13.5,6,1.127,5,41.2,10,10,0.676,11.492,5,173.29,0.755,12.835,0.0,10.194,1.013,17.6,17,0,0,17,0,0,1
6.101,1,34.1,32.0,2,1.137,28,63.4,29,30,0.526,43.126,0,420.8,0.594,48.705,2.4,5.132,0.971,0.0,82,0,0,81,0,2,25
4.1,11,45.0,38.0,12,1.121,18,37.5,29,25,0.677,27.084,6,337.36,0.685,27.404,10.0,8.434,1.023,7.5,40,0,0,44,0,0,7
5.588,7,39.1,21.5,8,1.134,9,34.8,16,15,0.673,15.482,5,208.19,0.657,15.114,17.4,9.052,1.051,8.7,23,0,0,24,0,0,2
4.0,8,40.9,21.0,11,1.117,9,36.4,15,14,0.693,15.24,10,208.26,0.721,15.852,9.1,9.466,1.027,9.1,22,0,0,23,0,0,1
4.1,2,33.3,24.0,2,1.14,16,56.3,22,21,0.557,26.729,0,297.44,0.598,28.722,8.3,6.197,0.998,2.1,48,0,0,49,0,0,14
4.0,15,42.6,41.0,21,1.126,20,42.6,30,27,0.648,30.444,20,364.44,0.67,31.478,6.4,7.754,1.01,8.5,47,0,0,50,0,0,5
4.0,9,41.0,27.0,8,1.125,16,48.7,22,20,0.613,23.907,6,273.36,0.647,25.222,7.7,7.009,1.001,2.6,39,0,0,41,0,0,7
4.0,10,41.4,24.5,12,1.118,12,41.4,18,17,0.68,19.713,11,265.79,0.736,21.33,0.0,9.165,1.004,10.3,29,0,0,30,1,0,2
6.889,15,44.7,37.0,17,1.112,21,46.8,28,25,0.643,30.213,16,350.52,0.696,32.728,2.1,7.458,0.988,4.3,47,0,0,50,0,0,6
6.592,18,42.3,46.0,17,1.117,22,36.5,35,33,0.689,35.802,12,490.95,0.703,36.551,13.5,9.441,1.036,3.8,52,0,0,54,1,0,4
4.0,9,41.7,26.0,8,1.124,15,47.2,21,19,0.622,22.38,6,259.33,0.652,23.46,8.3,7.204,1.004,2.8,36,0,0,38,0,0,6
6.35,13,44.1,28.0,13,1.109,15,41.2,21,20,0.693,23.573,12,325.28,0.756,25.705,0.0,9.567,1.003,5.9,34,0,0,35,2,0,2
4.325,9,38.2,29.0,10,1.125,13,41.2,22,20,0.654,22.25,6,294.36,0.678,23.046,11.8,8.658,1.026,5.9,34,0,0,36,0,0,4
5.58,9,42.4,25.0,8,1.122,14,45.5,20,18,0.632,20.853,6,245.3,0.658,21.699,9.1,7.433,1.008,3.0,33,0,0,35,0,0,5
