pXC50,N.,X.,nN,nF,nX,nCL,nC,Me,nHet,H.,nBM,AMW,RBN,C.,nDB,Sp,nCsp2,Mv,nS,RBF,Mi,MW,nCsp3,nAB,Sv,nBO,Si,Se,nAT,nSK
7.284,2.8,4.2,2,3,3,0,31,1.024,11,40.8,24,8.432,10,43.7,1,48.165,22,0.66,1,0.133,1.13,598.69,9,23,46.856,46,80.211,72.709,71,42
7.347,2.9,4.3,2,3,3,0,30,1.031,12,39.1,24,8.705,10,43.5,1,46.858,22,0.667,1,0.137,1.131,600.66,8,23,46.044,46,78.005,71.152,69,42
8.699,2.8,4.2,2,3,3,0,31,1.028,12,40.3,25,8.537,11,43.1,2,48.62,23,0.661,1,0.147,1.131,614.69,8,23,47.571,46,81.42,74.036,72,43
8.222,2.7,4.1,2,3,3,0,32,1.028,12,39.7,25,8.585,10,43.8,2,49.62,23,0.665,1,0.13,1.129,626.7,9,23,48.571,48,82.42,75.036,73,44
7.745,2.7,4.1,2,3,3,0,32,1.031,12,39.7,25,8.365,10,43.8,2,48.426,23,0.659,0,0.13,1.133,610.63,9,23,48.098,48,82.71,75.287,73,44
9.0,2.8,4.2,2,3,3,0,31,1.032,12,40.3,25,8.314,11,43.1,2,47.426,23,0.654,0,0.147,1.135,598.62,8,23,47.098,46,81.71,74.287,72,43
5.327,2.4,2.4,1,0,1,1,19,1.021,7,38.1,18,9.283,7,45.2,1,30.421,16,0.693,1,0.159,1.108,389.88,3,17,29.11,28,46.522,42.88,42,26
7.745,4.4,4.4,3,3,3,0,29,1.035,13,38.2,24,8.848,10,42.6,1,46.102,21,0.67,1,0.139,1.134,601.65,8,23,45.538,46,77.088,70.371,68,42
8.523,6.0,4.5,4,3,3,0,28,1.039,14,37.3,24,8.995,10,41.8,1,45.347,20,0.672,1,0.141,1.137,602.64,8,23,45.033,46,76.171,69.589,67,42
5.199,2.1,0.0,1,0,0,0,21,1.007,6,43.8,18,7.99,7,43.8,1,33.085,16,0.653,1,0.14,1.113,383.5,5,17,31.336,29,53.408,48.323,48,27
6.886,1.4,0.0,1,0,0,0,37,0.998,6,40.3,36,8.107,10,51.4,1,52.131,34,0.687,1,0.13,1.098,583.74,3,35,49.443,48,79.069,71.858,72,43
8.699,4.4,4.4,3,3,3,0,29,1.039,13,38.2,24,8.611,10,42.6,1,44.909,21,0.663,0,0.139,1.138,585.58,8,23,45.066,46,77.377,70.621,68,42
9.0,6.0,4.5,4,3,3,0,28,1.042,14,37.3,24,8.755,10,41.8,1,44.154,20,0.665,0,0.141,1.141,586.57,8,23,44.561,46,76.461,69.84,67,42
6.602,1.4,4.3,1,3,3,0,33,1.025,10,37.7,30,8.778,10,47.8,1,48.398,28,0.686,1,0.137,1.12,605.67,5,29,47.308,47,77.297,70.723,69,43
8.023,1.4,0.0,1,0,0,0,34,1.001,7,43.1,30,7.857,11,47.2,1,50.347,28,0.662,1,0.145,1.107,565.73,6,29,47.684,45,79.693,72.069,72,41
7.8,2.7,0.0,2,0,0,0,35,1.002,8,42.7,30,7.903,10,46.7,1,52.353,28,0.663,1,0.125,1.109,592.76,7,29,49.706,48,83.192,75.171,75,43
6.796,1.5,4.5,1,3,3,0,32,1.028,10,36.4,30,8.964,10,48.5,1,46.637,28,0.694,1,0.143,1.119,591.64,4,29,45.781,46,73.882,67.84,66,42
7.208,1.8,7.3,1,3,4,1,26,1.033,10,34.5,24,10.001,8,47.3,1,40.71,22,0.715,2,0.138,1.118,550.05,4,23,39.312,39,61.497,56.818,55,36
7.699,1.6,0.0,1,0,0,0,30,1.007,7,40.3,29,8.252,9,48.4,1,44.063,26,0.679,1,0.136,1.104,511.63,4,28,42.104,41,68.448,62.418,62,37
5.391,2.2,0.0,1,0,0,0,20,1.017,7,41.3,18,8.38,8,43.5,1,31.779,16,0.664,1,0.167,1.113,385.47,4,17,30.524,29,51.202,46.767,46,27
6.469,1.9,0.0,1,0,0,0,25,1.006,6,40.4,24,8.299,8,48.1,1,37.085,22,0.68,1,0.145,1.104,431.54,3,23,35.336,34,57.408,52.323,52,31
6.456,1.7,10.3,1,6,6,0,27,1.055,12,32.8,24,9.785,8,46.6,1,40.233,22,0.702,1,0.131,1.143,567.54,5,23,40.689,42,66.277,61.167,58,39
6.721,1.8,0.0,1,0,0,0,26,1.01,7,41.1,24,8.242,9,46.4,1,39.301,22,0.671,1,0.153,1.108,461.57,4,23,37.577,36,62.033,56.534,56,33
7.921,3.1,4.6,2,3,3,0,28,1.035,12,38.5,24,8.84,11,43.1,1,44.097,21,0.669,1,0.162,1.132,574.62,7,23,43.517,43,73.59,67.269,65,40
7.097,3.3,0.0,2,0,0,0,29,1.01,8,39.3,29,8.404,9,47.5,1,43.307,25,0.682,1,0.138,1.107,512.62,4,28,41.599,41,67.531,61.636,61,37
7.301,1.7,0.0,1,0,0,0,28,1.015,8,39.0,28,8.502,9,47.5,1,41.756,24,0.683,1,0.143,1.106,501.59,4,27,40.292,40,65.242,59.862,59,36
7.222,1.8,1.8,1,0,1,1,26,1.015,8,39.3,24,8.857,9,46.4,1,40.159,22,0.686,1,0.153,1.107,496.01,4,23,38.405,37,61.977,56.858,56,34
6.886,1.7,1.7,1,0,1,1,27,1.018,9,40.0,24,8.767,10,45.0,1,42.375,22,0.677,1,0.159,1.11,526.04,5,23,40.646,39,66.601,61.069,60,36
5.728,1.5,4.6,1,3,3,0,29,1.027,10,40.0,24,8.579,11,44.6,1,44.398,22,0.666,1,0.162,1.128,557.63,7,23,43.308,42,73.297,66.723,65,39
6.854,1.6,4.9,1,3,3,0,28,1.025,9,39.3,24,8.649,9,45.9,1,42.182,22,0.673,1,0.141,1.126,527.6,6,23,41.066,40,68.673,62.512,61,37
6.959,1.7,0.0,1,0,0,0,28,1.007,7,41.7,25,8.127,10,46.7,2,42.063,24,0.668,1,0.159,1.107,487.61,4,23,40.104,38,66.448,60.418,60,35
8.16,3.3,0.0,2,0,0,0,30,1.009,7,39.3,30,8.075,9,49.2,1,42.659,27,0.679,0,0.138,1.108,492.56,3,29,41.412,41,67.611,61.56,61,37
6.398,3.5,7.0,2,4,4,0,25,1.038,10,38.6,20,8.605,9,43.9,2,37.716,19,0.662,0,0.153,1.143,490.49,6,18,37.757,37,65.175,59.167,57,35
7.229,5.6,5.6,3,3,3,0,24,1.046,12,33.3,24,9.584,9,44.4,1,37.602,20,0.698,1,0.158,1.134,517.52,4,23,37.716,39,61.218,56.509,54,36
7.699,1.5,4.6,1,3,3,0,29,1.027,10,40.0,24,8.579,11,44.6,1,44.398,22,0.666,1,0.162,1.128,557.63,7,23,43.308,42,73.297,66.723,65,39
4.301,0.0,0.0,0,0,0,0,31,1.003,7,48.6,19,7.036,13,41.9,1,47.887,19,0.615,0,0.169,1.121,520.67,12,18,45.486,41,82.939,74.196,74,38
8.0,1.5,0.0,1,0,0,0,29,1.007,7,44.6,24,7.501,11,44.6,1,43.392,22,0.641,0,0.162,1.116,487.59,7,23,41.685,39,72.568,65.436,65,36
8.0,1.5,0.0,1,0,0,0,32,1.008,7,40.9,30,7.903,10,48.5,1,45.631,28,0.669,0,0.143,1.108,521.6,4,29,44.159,43,73.152,66.552,66,39
7.495,1.6,4.8,1,3,3,0,28,1.034,11,38.1,24,8.883,11,44.4,1,43.091,22,0.675,1,0.167,1.128,559.6,6,23,42.496,42,71.091,65.167,63,39
7.276,1.7,8.6,1,5,5,0,26,1.042,10,37.9,20,8.75,9,44.8,2,38.409,20,0.666,0,0.15,1.145,507.49,6,18,38.645,38,66.432,60.461,58,36
5.0,1.5,1.5,1,0,1,1,29,1.014,10,41.8,24,8.749,14,43.3,1,47.546,22,0.67,2,0.2,1.11,586.17,7,23,44.887,42,74.352,67.913,67,39
5.0,1.6,1.6,1,0,1,1,28,1.016,10,40.6,24,8.94,13,43.8,1,45.784,22,0.678,2,0.194,1.108,572.14,6,23,43.36,41,70.936,65.029,64,38
7.77,1.6,4.8,1,3,3,0,28,1.042,12,35.5,24,9.251,9,45.2,1,42.784,22,0.688,1,0.136,1.127,573.58,6,23,42.684,44,69.886,64.611,62,40
5.0,1.8,5.4,1,3,3,0,26,1.037,10,35.7,24,9.206,9,46.4,1,39.114,22,0.692,1,0.153,1.126,515.54,4,23,38.727,39,63.052,58.072,56,36
5.0,1.8,5.4,1,3,3,0,26,1.037,10,35.7,24,9.206,9,46.4,1,39.114,22,0.692,1,0.153,1.126,515.54,4,23,38.727,39,63.052,58.072,56,36
7.846,3.4,5.1,2,3,3,0,26,1.042,12,35.6,24,9.264,10,44.1,1,40.574,21,0.686,1,0.161,1.132,546.56,5,23,40.463,41,66.759,61.502,59,38
7.469,5.2,5.2,3,3,3,0,25,1.047,13,34.5,24,9.441,10,43.1,1,39.818,20,0.689,1,0.164,1.135,547.55,5,23,39.958,41,65.842,60.72,58,38
6.42,1.6,9.8,1,6,6,0,28,1.05,12,34.4,24,9.534,9,45.9,1,41.995,22,0.692,1,0.141,1.142,581.57,6,23,42.216,43,69.692,64.05,61,40
5.0,1.9,0.0,1,0,0,0,25,1.006,6,40.4,24,8.299,8,48.1,1,37.085,22,0.68,1,0.145,1.104,431.54,3,23,35.336,34,57.408,52.323,52,31
6.292,1.9,3.8,1,0,2,2,25,1.019,8,36.5,24,9.623,8,48.1,1,38.801,22,0.711,1,0.145,1.102,500.42,3,23,36.991,36,57.296,52.971,52,33
5.533,1.6,4.8,1,3,3,0,30,1.032,10,35.5,29,9.123,9,48.4,1,43.875,26,0.698,1,0.136,1.12,565.6,4,28,43.254,44,69.467,63.956,62,40
6.131,1.6,4.9,1,3,3,0,30,1.027,9,36.1,29,9.01,8,49.2,1,43.421,26,0.697,1,0.123,1.119,549.6,4,28,42.539,43,68.257,62.629,61,39
7.456,1.5,4.5,1,3,3,0,29,1.031,11,39.4,24,8.691,12,43.9,1,44.852,22,0.667,1,0.174,1.129,573.63,7,23,44.022,43,74.507,68.051,66,40
8.023,4.8,0.0,3,0,0,0,27,1.014,9,42.9,24,7.771,11,42.9,1,41.881,20,0.646,0,0.167,1.123,489.57,7,23,40.675,39,70.734,63.872,63,36
5.0,1.6,1.6,1,0,1,1,27,1.019,10,39.3,24,9.149,12,44.3,1,44.023,22,0.686,2,0.188,1.107,558.11,5,23,41.833,40,67.521,62.145,61,37
7.523,2.9,4.3,2,3,3,0,30,1.024,11,41.4,24,8.381,12,42.9,1,47.165,22,0.655,1,0.164,1.132,586.68,8,23,45.856,44,79.211,71.709,70,41
5.646,1.7,5.1,1,3,3,0,27,1.033,10,37.3,24,8.976,9,45.8,1,40.875,22,0.682,1,0.145,1.127,529.57,5,23,40.254,40,66.467,60.956,59,37
7.854,4.7,4.7,3,3,3,0,27,1.039,13,37.5,24,8.994,11,42.2,1,43.341,20,0.672,1,0.164,1.136,575.61,7,23,43.012,43,72.673,66.487,64,40
8.155,3.6,5.5,2,3,3,0,25,1.046,11,34.5,24,9.099,9,45.5,1,37.165,21,0.686,0,0.155,1.135,500.46,4,23,37.749,39,62.424,57.542,55,36
7.854,5.2,5.2,3,3,3,0,25,1.051,13,34.5,24,9.163,10,43.1,1,38.625,20,0.681,0,0.164,1.14,531.48,5,23,39.486,41,66.132,60.971,58,38
5.851,1.8,0.0,1,0,0,0,26,1.011,8,40.4,24,8.66,9,45.6,1,40.949,22,0.68,2,0.15,1.104,493.64,4,23,38.764,37,62.953,57.611,57,34
7.585,1.4,4.3,1,3,3,0,30,1.028,11,40.6,24,8.517,13,43.5,1,46.614,22,0.66,1,0.181,1.129,587.66,8,23,45.549,44,77.922,70.934,69,41
5.481,1.8,1.8,1,0,1,1,26,1.016,9,38.6,24,9.265,10,45.6,1,41.807,22,0.695,2,0.167,1.103,528.08,4,23,39.592,38,62.897,57.934,57,35
8.078,1.5,4.5,1,3,3,0,29,1.031,11,39.4,24,8.691,11,43.9,1,44.852,22,0.667,1,0.159,1.129,573.63,7,23,44.022,43,74.507,68.051,66,40
6.292,1.5,0.0,1,0,0,0,29,1.003,7,44.6,24,7.749,11,44.6,1,44.585,22,0.649,1,0.162,1.112,503.66,7,23,42.158,39,72.278,65.185,65,36
6.143,1.5,0.0,1,0,0,0,30,1.001,7,45.6,24,7.613,10,44.1,1,46.347,22,0.642,1,0.141,1.113,517.69,8,23,43.684,40,75.693,68.069,68,37
5.495,1.8,0.0,1,0,0,0,26,1.005,7,41.1,24,8.529,8,46.4,1,40.494,22,0.679,2,0.136,1.103,477.64,4,23,38.05,36,61.743,56.283,56,33
6.921,1.7,0.0,1,0,0,0,27,1.017,8,41.7,24,7.925,10,45.0,1,40.324,22,0.656,0,0.159,1.116,475.53,5,23,39.347,38,66.947,60.996,60,35
9.0,4.7,4.7,3,3,3,0,27,1.043,13,37.5,24,8.743,11,42.2,1,42.148,20,0.665,0,0.164,1.14,559.54,7,23,42.539,43,72.962,66.738,64,40
6.032,1.8,5.4,1,3,3,0,26,1.037,10,35.7,24,9.206,9,46.4,1,39.114,22,0.692,1,0.153,1.126,515.54,4,23,38.727,39,63.052,58.072,56,36
7.886,1.5,4.5,1,3,3,0,29,1.035,11,39.4,24,8.448,11,43.9,1,43.659,22,0.66,0,0.159,1.133,557.56,7,23,43.55,43,74.796,68.301,66,40
7.509,1.7,5.1,1,3,3,0,27,1.046,12,33.9,24,9.484,9,45.8,1,41.023,22,0.698,1,0.143,1.127,559.55,5,23,41.157,43,66.47,61.727,59,39
6.77,1.7,6.9,1,4,4,0,26,1.034,9,39.7,20,8.44,9,44.8,2,38.472,20,0.66,0,0.15,1.14,489.5,6,18,38.262,37,66.092,59.949,58,35
7.538,1.7,6.9,1,4,4,0,26,1.034,9,39.7,20,8.44,9,44.8,2,38.472,20,0.66,0,0.15,1.14,489.5,6,18,38.262,37,66.092,59.949,58,35
5.582,1.8,0.0,1,0,0,0,26,1.01,7,41.1,24,8.242,9,46.4,1,39.301,22,0.671,1,0.153,1.108,461.57,4,23,37.577,36,62.033,56.534,56,33
6.886,1.9,1.9,1,0,1,1,25,1.012,7,38.5,24,8.961,8,48.1,1,37.943,22,0.695,1,0.145,1.103,465.98,3,23,36.163,35,57.352,52.647,52,32
6.18,1.7,0.0,1,0,0,0,27,1.012,8,41.7,24,8.193,10,45.0,1,41.517,22,0.664,1,0.159,1.111,491.6,5,23,39.819,38,66.657,60.745,60,35
7.201,1.4,4.3,1,3,3,0,30,1.028,11,40.6,24,8.517,12,43.5,1,46.614,22,0.66,1,0.167,1.129,587.66,8,23,45.549,44,77.922,70.934,69,41
6.469,3.4,5.1,2,3,3,0,28,1.031,10,35.6,28,9.128,8,47.5,1,41.665,24,0.695,1,0.127,1.124,538.58,4,27,41.034,42,66.341,60.847,59,38
5.604,3.1,4.6,2,3,3,0,28,1.039,12,38.5,24,8.593,11,43.1,1,42.904,21,0.662,0,0.162,1.137,558.55,7,23,43.045,43,73.879,67.52,65,40
5.0,1.6,0.0,1,0,0,0,30,1.007,7,40.3,29,8.252,9,48.4,1,44.063,26,0.679,1,0.136,1.104,511.63,4,28,42.104,41,68.448,62.418,62,37
7.252,1.7,6.7,1,4,4,0,27,1.047,12,35.0,24,9.393,10,45.0,1,41.267,22,0.689,1,0.159,1.134,563.56,5,23,41.352,42,68.016,62.796,60,39
7.796,1.5,4.5,1,3,3,0,29,1.031,11,39.4,24,8.691,11,43.9,1,44.852,22,0.667,1,0.159,1.129,573.63,7,23,44.022,43,74.507,68.051,66,40
7.923,1.4,0.0,1,0,0,0,31,0.999,7,46.5,24,7.489,12,43.7,1,48.108,22,0.637,1,0.162,1.114,531.72,9,23,45.211,41,79.109,70.952,71,38
6.111,3.1,4.7,2,3,3,0,27,1.044,14,35.9,26,9.51,11,42.2,3,44.438,22,0.686,2,0.164,1.13,608.66,5,23,43.892,44,72.304,66.789,64,41
5.0,1.4,0.0,1,0,0,0,30,1.007,9,44.3,24,8.082,14,42.9,1,48.449,22,0.651,2,0.192,1.112,565.76,8,23,45.586,42,77.823,70.472,70,39
6.921,1.7,5.0,1,3,3,0,27,1.038,11,36.7,24,9.093,10,45.0,1,41.33,22,0.683,1,0.159,1.128,545.57,5,23,40.969,41,67.676,62.283,60,38
5.197,1.9,1.9,1,0,1,1,25,1.019,9,37.0,24,9.519,9,46.3,1,40.045,22,0.705,2,0.158,1.102,514.05,3,23,38.065,37,59.481,55.051,54,34
6.092,1.8,1.8,1,0,1,1,26,1.021,9,38.6,24,8.983,10,45.6,1,40.614,22,0.686,1,0.167,1.109,512.01,4,23,39.12,38,63.186,58.185,57,35
7.523,1.8,1.8,1,0,1,1,26,1.016,9,38.6,24,9.265,10,45.6,1,41.807,22,0.695,2,0.167,1.103,528.08,4,23,39.592,38,62.897,57.934,57,35
5.0,1.8,5.5,1,3,3,0,27,1.04,10,32.7,28,9.555,7,49.1,1,39.352,24,0.713,1,0.119,1.121,525.53,3,27,39.2,41,61.636,57.189,55,37
6.337,1.8,5.3,1,3,3,0,27,1.036,10,35.1,24,9.255,7,47.4,1,40.114,22,0.697,1,0.115,1.124,527.55,5,23,39.727,41,64.052,59.072,57,37
6.264,3.4,5.1,2,3,3,0,27,1.05,13,32.2,25,9.704,9,45.8,2,41.267,23,0.706,1,0.143,1.128,572.55,4,23,41.651,44,66.554,61.945,59,40
7.638,3.0,4.5,2,3,3,0,29,1.034,12,37.9,25,8.888,10,43.9,2,45.097,23,0.674,1,0.145,1.13,586.63,6,23,44.517,44,74.59,68.269,66,41
6.602,1.8,1.8,1,0,1,1,26,1.021,9,38.6,24,8.983,10,45.6,1,40.614,22,0.686,1,0.167,1.109,512.01,4,23,39.12,38,63.186,58.185,57,35
7.347,1.6,6.6,1,4,4,0,27,1.03,9,41.0,20,8.255,9,44.3,2,40.233,20,0.652,0,0.143,1.139,503.53,7,18,39.789,38,69.508,62.832,61,36
8.796,1.6,6.6,1,4,4,0,27,1.03,9,41.0,20,8.255,9,44.3,2,40.233,20,0.652,0,0.143,1.139,503.53,7,18,39.789,38,69.508,62.832,61,36
7.854,1.6,6.6,1,4,4,0,27,1.03,9,41.0,20,8.255,9,44.3,2,40.233,20,0.652,0,0.143,1.139,503.53,7,18,39.789,38,69.508,62.832,61,36
5.886,1.8,5.5,1,3,3,0,26,1.032,9,36.4,24,9.083,8,47.3,1,38.659,22,0.691,1,0.138,1.124,499.54,4,23,38.012,38,61.842,56.745,55,35
6.854,1.7,5.2,1,3,3,0,27,1.028,9,37.9,24,8.855,8,46.6,1,40.421,22,0.682,1,0.131,1.125,513.57,5,23,39.539,39,65.257,59.629,58,36
7.167,3.6,5.5,2,3,3,0,25,1.042,11,34.5,24,9.391,9,45.5,1,38.358,21,0.695,1,0.155,1.13,516.53,4,23,38.222,39,62.135,57.291,55,36
5.921,1.6,4.8,1,3,3,0,28,1.03,10,38.7,24,8.768,9,45.2,1,42.637,22,0.674,1,0.138,1.127,543.6,6,23,41.781,41,69.882,63.84,62,38
5.857,2.2,6.7,1,3,3,0,20,1.044,9,35.6,18,9.41,7,44.4,1,31.137,16,0.688,1,0.149,1.134,423.44,4,17,30.959,31,51.012,46.978,45,29
7.878,1.5,4.6,1,3,3,0,29,1.027,10,40.0,24,8.579,10,44.6,1,44.398,22,0.666,1,0.147,1.128,557.63,7,23,43.308,42,73.297,66.723,65,39
5.62,2.1,6.3,1,3,3,0,21,1.039,9,37.5,18,9.114,7,43.8,1,32.898,16,0.677,1,0.14,1.134,437.47,5,17,32.486,32,54.427,49.862,48,30
7.301,1.8,1.8,1,0,1,1,26,1.02,8,39.3,24,8.57,9,46.4,1,38.966,22,0.677,0,0.153,1.112,479.94,4,23,37.932,37,62.266,57.109,56,34
8.0,1.7,5.1,1,3,3,0,27,1.037,10,37.3,24,8.703,9,45.8,1,39.682,22,0.674,0,0.145,1.131,513.5,5,23,39.782,40,66.756,61.207,59,37
5.229,1.9,1.9,1,0,1,1,25,1.012,7,38.5,24,8.961,8,48.1,1,37.943,22,0.695,1,0.145,1.103,465.98,3,23,36.163,35,57.352,52.647,52,32
5.0,2.0,0.0,1,0,0,0,21,1.013,7,42.9,18,8.153,8,42.9,1,33.54,16,0.654,1,0.157,1.115,399.5,5,17,32.051,30,54.617,49.651,49,28
7.155,1.8,3.6,1,0,2,2,26,1.026,9,37.5,24,9.185,9,46.4,1,39.824,22,0.692,0,0.153,1.111,514.38,4,23,38.76,38,62.21,57.433,56,35
6.48,1.7,10.2,1,6,6,0,27,1.059,13,32.2,24,9.891,9,45.8,1,40.688,22,0.702,1,0.145,1.144,583.54,5,23,41.404,43,67.486,62.494,59,40
7.398,1.7,5.1,1,3,3,0,27,1.033,10,37.3,24,8.976,9,45.8,1,40.875,22,0.682,1,0.145,1.127,529.57,5,23,40.254,40,66.467,60.956,59,37
7.155,1.7,5.1,1,3,3,0,27,1.033,10,37.3,24,8.976,9,45.8,1,40.875,22,0.682,1,0.145,1.127,529.57,5,23,40.254,40,66.467,60.956,59,37
5.0,1.7,5.1,1,3,3,0,27,1.033,10,37.3,24,8.976,9,45.8,1,40.875,22,0.682,1,0.145,1.127,529.57,5,23,40.254,40,66.467,60.956,59,37
5.0,2.2,0.0,1,0,0,0,20,1.01,6,42.2,18,8.21,7,44.4,1,31.324,16,0.662,1,0.149,1.111,369.47,4,17,29.809,28,49.993,45.44,45,26
7.699,1.7,5.0,1,3,3,0,27,1.038,11,36.7,24,9.093,10,45.0,1,41.33,22,0.683,1,0.159,1.128,545.57,5,23,40.969,41,67.676,62.283,60,38
6.824,1.7,5.0,1,3,3,0,27,1.034,11,36.7,24,9.361,10,45.0,1,42.523,22,0.691,2,0.159,1.123,561.64,5,23,41.441,41,67.387,62.032,60,38
6.187,1.7,5.1,1,3,3,0,27,1.037,10,37.3,24,8.703,9,45.8,1,39.682,22,0.674,0,0.145,1.131,513.5,5,23,39.782,40,66.756,61.207,59,37
5.0,1.5,0.0,1,0,0,0,29,1.009,9,43.3,24,8.235,13,43.3,1,46.688,22,0.658,2,0.186,1.111,551.73,7,23,44.06,41,74.408,67.589,67,38
8.523,3.3,3.3,2,0,2,2,24,1.009,8,46.7,14,7.991,9,40.0,2,40.205,14,0.632,0,0.145,1.126,479.44,10,12,37.932,34,67.535,60.531,60,32
6.056,3.6,1.8,2,0,1,1,25,1.02,9,38.2,24,9.036,9,45.5,1,39.403,21,0.689,1,0.155,1.11,497.0,4,23,37.899,37,61.06,56.076,55,34
6.495,2.2,2.2,1,0,1,1,20,1.017,7,40.0,18,8.976,7,44.4,1,32.182,16,0.681,1,0.149,1.11,403.91,4,17,30.636,29,49.937,45.764,45,27
5.0,1.6,0.0,1,0,0,0,28,1.011,9,42.2,24,8.402,12,43.8,1,44.926,22,0.665,2,0.179,1.109,537.7,6,23,42.533,40,70.992,64.705,64,37
5.246,1.7,0.0,1,0,0,0,27,1.008,8,41.7,24,8.461,10,45.0,1,42.71,22,0.672,2,0.159,1.106,507.67,5,23,40.291,38,66.368,60.494,60,35
7.745,1.4,4.3,1,3,3,0,30,1.028,11,40.6,24,8.517,12,43.5,1,46.614,22,0.66,1,0.167,1.129,587.66,8,23,45.549,44,77.922,70.934,69,41
6.886,0.0,7.3,0,3,4,0,27,1.031,8,36.4,21,9.916,7,49.1,2,39.12,21,0.697,0,0.123,1.121,545.37,4,18,38.356,37,61.681,56.68,55,35
7.0,1.7,0.0,1,0,0,0,27,1.012,8,41.7,24,8.193,10,45.0,1,41.517,22,0.664,1,0.159,1.111,491.6,5,23,39.819,38,66.657,60.745,60,35
7.959,1.6,6.6,1,4,4,0,27,1.03,9,41.0,20,8.255,9,44.3,2,40.233,20,0.652,0,0.143,1.139,503.53,7,18,39.789,38,69.508,62.832,61,36
6.959,3.3,0.0,2,0,0,0,29,1.015,8,39.3,29,8.14,9,47.5,1,42.114,25,0.674,0,0.138,1.112,496.55,4,28,41.126,41,67.82,61.887,61,37
6.319,1.8,7.3,1,3,4,1,26,1.038,10,34.5,24,9.709,8,47.3,1,39.517,22,0.706,1,0.138,1.123,533.98,4,23,38.84,39,61.786,57.069,55,36
8.0,1.7,5.0,1,3,3,0,27,1.042,11,36.7,24,8.825,10,45.0,1,40.136,22,0.675,0,0.159,1.133,529.5,5,23,40.496,41,67.966,62.534,60,38
6.638,1.7,5.1,1,3,3,0,27,1.029,10,37.3,24,9.248,9,45.8,1,42.068,22,0.69,2,0.145,1.122,545.64,5,23,40.726,40,66.177,60.705,59,37
6.721,3.7,0.0,2,0,0,0,25,1.008,7,40.7,24,8.27,8,46.3,1,38.091,21,0.673,1,0.14,1.109,446.56,4,23,36.357,35,59.906,54.425,54,32
7.26,5.6,5.6,3,3,3,0,24,1.051,12,33.3,24,9.286,9,44.4,1,36.409,20,0.69,0,0.158,1.139,501.45,4,23,37.244,39,61.507,56.76,54,36
8.049,3.4,5.1,2,3,3,0,26,1.047,12,35.6,24,8.991,10,44.1,1,39.381,21,0.678,0,0.161,1.136,530.49,5,23,39.991,41,67.049,61.752,59,38
6.328,1.7,0.0,1,0,0,0,27,1.008,8,41.7,24,8.461,10,45.0,1,42.71,22,0.672,2,0.159,1.106,507.67,5,23,40.291,38,66.368,60.494,60,35
8.0,1.5,0.0,1,0,0,0,32,1.005,7,40.9,30,8.147,10,48.5,1,46.824,28,0.676,1,0.143,1.104,537.67,4,29,44.631,43,72.863,66.302,66,39
5.222,3.2,0.0,2,0,0,0,26,1.003,7,47.6,19,7.152,10,41.3,2,40.943,18,0.619,0,0.154,1.125,450.58,8,17,38.992,35,70.856,63.211,63,33
