pXC50,nO,nH,SCBO,nCsp3,nCsp2,nHet,nN,RBN,Si,nAT,Sp,Se,nDB,AMW,nBT
7.2,1,36.0,42.0,14,13,5,3,5,76.707,68.0,44.273,66.978,1,6.678,71.0
7.8,1,33.0,45.0,14,13,8,3,5,77.726,68.0,44.086,68.516,1,7.472,71.0
5.7,1,30.0,37.0,10,13,5,3,6,65.461,58.0,37.989,57.327,1,6.897,60.0
6.0,1,32.0,38.0,11,13,5,3,6,68.876,61.0,39.75,60.21,1,6.788,63.0
6.6,1,32.0,38.0,11,13,5,3,7,68.876,61.0,39.75,60.21,1,6.788,63.0
7.1,1,34.0,39.0,12,13,5,3,7,72.292,64.0,41.512,63.094,1,6.689,66.0
6.9,1,32.0,40.0,12,13,5,3,7,69.876,62.0,40.75,61.21,1,6.872,65.0
7.6,1,34.0,41.0,13,13,5,3,7,73.292,65.0,42.512,64.094,1,6.77,68.0
7.7,1,31.0,44.0,13,13,8,3,7,74.311,65.0,42.324,65.632,1,7.601,68.0
5.9,1,31.0,40.0,12,12,6,4,7,68.959,61.0,39.995,60.429,1,7.001,64.0
6.4,1,29.0,44.0,13,11,10,5,7,72.477,63.0,40.813,64.069,1,7.873,66.0
6.1,1,32.0,41.0,13,11,7,5,7,71.458,63.0,41.0,62.53,1,7.017,66.0
6.2,1,30.0,40.0,12,11,7,5,8,68.043,60.0,39.239,59.647,1,7.134,63.0
7.8,1,29.0,43.0,12,13,8,3,4,70.895,62.0,40.563,62.749,1,7.742,65.0
8.699,1,35.0,48.0,16,13,8,3,6,82.141,72.0,46.847,72.399,1,7.418,76.0
4.49,1,24.0,31.5,7,12,3,2,6,51.773,46.0,29.841,45.251,0,6.445,48.0
4.456,2,19.0,34.0,5,14,5,2,5,47.994,43.0,30.125,43.04,2,9.007,45.0
5.099,2,21.0,50.0,3,21,8,5,6,59.152,53.0,37.676,53.309,1,8.369,57.0
4.511,0,20.0,35.0,6,12,6,4,3,49.155,44.0,31.409,43.629,0,8.104,47.0
4.451,3,24.0,46.0,4,20,7,3,6,61.403,55.0,38.023,55.142,4,7.901,57.0
4.451,2,19.0,22.0,11,2,5,2,1,42.096,37.0,23.631,37.134,2,7.319,39.0
5.111,1,24.0,44.5,7,15,8,6,6,60.856,54.0,36.989,53.967,1,7.789,57.0
4.451,3,33.0,53.5,9,20,8,5,8,78.933,70.0,46.052,69.861,2,7.138,74.0
5.239,1,19.0,31.5,7,10,4,3,1,45.026,40.0,26.563,39.702,0,7.035,43.0
5.288,1,19.0,28.0,5,12,4,1,7,44.645,40.0,28.284,39.818,0,9.218,41.0
4.451,4,14.0,41.0,3,14,13,4,6,49.433,44.0,33.25,46.273,4,11.641,45.0
5.035,0,19.0,31.5,3,16,2,1,4,44.155,40.0,28.506,39.131,0,7.336,42.0
5.094,1,15.0,40.0,2,17,7,4,6,45.455,41.0,31.046,41.342,0,10.423,44.0
4.687,2,18.0,40.0,2,19,6,2,4,49.577,45.0,33.307,45.08,5,8.768,47.0
5.073,4,12.0,43.0,3,13,15,5,7,49.647,43.0,30.591,46.382,5,11.588,44.0
5.353,1,22.0,37.5,5,16,5,3,5,54.196,48.0,32.023,47.981,1,7.322,50.0
5.364,4,22.0,35.0,6,14,6,1,6,53.847,48.0,32.057,48.454,2,7.831,49.0
5.158,3,30.0,40.0,9,15,5,2,9,66.438,59.0,38.034,58.556,1,6.687,61.0
4.918,3,20.0,34.5,7,10,7,4,4,49.943,44.0,28.478,44.458,3,7.464,46.0
4.456,0,22.0,28.0,10,7,3,2,0,47.069,42.0,28.273,41.116,0,6.821,45.0
4.788,4,22.0,32.0,8,8,8,4,7,52.568,46.0,28.693,46.669,4,7.27,47.0
4.451,6,24.0,51.0,9,15,12,5,5,67.844,60.0,40.227,61.633,5,8.566,64.0
4.937,2,20.0,44.5,2,21,6,4,7,54.734,49.0,34.023,49.131,1,7.846,52.0
4.456,3,24.0,42.5,5,17,7,2,8,59.032,53.0,37.046,53.058,3,8.087,55.0
4.792,2,18.0,32.5,7,9,6,3,4,46.179,41.0,27.875,41.353,0,8.093,43.0
4.456,2,18.0,19.0,6,6,4,1,5,38.598,34.0,21.625,34.033,0,7.169,34.0
5.177,1,21.0,42.0,8,13,9,4,3,58.294,51.0,34.552,52.185,1,8.52,54.0
4.862,4,29.0,41.5,10,12,8,3,8,66.65,59.0,38.381,59.178,4,7.315,61.0
5.53,4,28.0,50.0,10,14,11,6,12,71.315,63.0,41.875,63.716,2,7.883,66.0
4.451,1,15.0,26.5,3,10,6,4,5,38.638,34.0,22.904,34.36,1,8.199,35.0
5.094,3,18.0,42.0,1,22,5,1,7,50.807,46.0,33.08,46.36,3,8.519,48.0
4.451,2,13.0,15.0,6,2,5,1,3,29.248,26.0,17.779,26.211,2,8.437,26.0
4.451,4,8.0,29.5,1,10,9,3,5,31.442,28.0,20.625,29.666,3,11.205,29.0
5.035,2,14.0,38.5,1,19,4,1,4,41.768,38.0,28.102,38.265,1,8.837,41.0
4.456,2,28.0,35.0,12,8,6,4,7,61.394,54.0,34.069,53.665,1,6.602,57.0
4.451,3,16.0,51.0,2,21,9,5,5,53.555,48.0,34.818,49.116,4,9.289,52.0
4.982,2,23.0,52.5,4,21,8,5,5,62.567,56.0,39.438,56.192,2,8.171,60.0
4.738,4,13.0,35.0,3,14,6,1,4,39.747,36.0,26.04,36.789,1,9.094,39.0
4.909,5,25.0,38.0,8,12,8,3,8,60.109,53.0,33.665,53.662,2,7.311,55.0
4.456,5,19.0,47.0,4,19,10,2,8,59.215,52.0,34.71,54.214,3,8.855,54.0
5.086,4,15.0,40.0,3,16,7,2,5,45.685,41.0,29.017,42.022,1,9.044,44.0
4.456,4,28.0,40.0,9,13,7,2,6,64.152,57.0,37.375,57.076,3,7.309,59.0
4.451,5,19.0,42.0,5,14,11,3,6,55.878,49.0,32.665,50.996,4,8.969,51.0
4.451,0,27.0,52.0,2,29,2,2,5,66.187,60.0,42.529,58.749,0,7.127,64.0
4.451,3,18.0,40.5,5,13,9,4,7,51.368,46.0,33.012,46.727,3,9.012,48.0
4.451,3,26.0,48.5,8,18,7,4,4,66.189,59.0,39.762,59.109,3,7.501,63.0
5.259,1,20.0,41.0,2,21,3,2,5,50.943,46.0,32.319,45.483,1,7.401,49.0
4.451,2,18.0,48.0,3,19,9,5,8,54.681,49.0,35.773,49.749,0,9.224,53.0
4.56,3,15.0,36.0,5,12,8,3,4,45.709,40.0,26.585,41.498,3,8.684,42.0
5.096,4,33.0,31.0,14,7,5,1,8,66.979,59.0,36.006,58.549,1,6.162,60.0
4.749,1,12.0,25.5,3,9,4,2,3,32.202,29.0,20.921,29.025,0,8.426,30.0
4.451,3,13.0,28.5,4,9,6,3,2,36.199,32.0,21.188,32.705,2,8.103,34.0
4.834,3,24.0,47.5,4,22,5,2,6,61.192,55.0,37.75,54.905,3,7.5,58.0
4.456,2,20.0,31.0,5,13,5,1,8,47.933,43.0,30.034,42.993,1,8.137,44.0
4.456,2,23.0,37.5,8,12,6,3,6,54.986,49.0,33.188,48.872,1,7.541,52.0
5.1,4,26.0,31.0,10,7,7,2,9,56.737,50.0,31.614,50.192,3,7.09,51.0
5.806,1,23.0,39.5,6,16,5,3,4,55.776,50.0,34.733,49.545,1,7.551,53.0
4.456,4,34.0,69.5,13,24,12,4,8,94.248,83.0,55.535,84.788,3,8.13,89.0
5.089,2,18.0,32.0,4,14,4,2,5,44.737,40.0,27.012,39.927,2,7.359,42.0
5.22,3,15.0,45.5,3,17,9,5,4,49.116,44.0,31.847,44.985,2,9.215,48.0
4.456,5,28.0,40.0,8,12,9,2,10,64.281,57.0,37.477,57.48,4,7.731,58.0
5.042,3,15.0,37.5,1,18,6,2,6,44.373,40.0,29.057,40.6,2,9.981,42.0
4.757,1,21.0,29.0,6,12,3,1,4,46.78,42.0,28.722,41.342,0,7.13,44.0
5.343,2,18.0,24.0,6,8,4,2,5,40.737,36.0,23.012,35.927,2,6.843,37.0
5.214,1,19.0,24.0,6,8,5,2,5,42.704,38.0,26.319,37.789,2,9.035,38.0
4.938,1,18.0,49.5,2,24,3,1,2,51.157,47.0,35.58,46.516,1,8.351,52.0
4.456,2,11.0,35.5,0,16,6,3,2,36.495,33.0,24.619,33.571,0,9.375,36.0
4.456,1,34.0,49.0,11,19,5,3,6,77.292,69.0,46.512,68.094,1,7.074,73.0
5.959,2,28.0,44.0,7,19,5,2,5,65.733,59.0,40.466,58.421,1,7.333,62.0
4.456,3,21.0,39.0,5,15,8,4,4,55.302,49.0,33.097,49.665,3,8.182,51.0
4.456,2,10.0,28.5,1,12,5,2,2,30.996,28.0,20.614,28.469,1,9.226,30.0
4.514,4,20.0,35.5,5,13,8,3,8,52.013,46.0,30.546,46.891,3,8.214,47.0
5.155,4,8.0,25.0,1,9,6,2,2,27.08,24.0,16.114,25.164,3,9.175,25.0
5.177,0,18.0,47.5,1,22,7,5,5,53.262,48.0,35.864,48.094,0,9.0,52.0
4.451,1,18.0,39.5,3,17,5,4,2,48.109,43.0,29.807,42.92,1,7.684,46.0
4.451,4,34.0,38.0,12,12,6,2,10,72.477,64.0,40.012,63.65,0,6.478,66.0
4.456,2,15.0,34.0,0,19,3,1,4,40.824,37.0,26.245,36.942,1,7.82,39.0
4.451,1,5.0,29.0,0,13,8,1,2,30.426,26.0,18.813,28.734,1,12.371,27.0
4.456,1,15.0,40.0,1,19,6,2,5,45.128,41.0,31.54,41.382,0,9.813,44.0
4.849,1,19.0,29.5,8,7,7,4,6,46.388,41.0,28.074,41.203,0,8.266,43.0
4.451,1,19.0,36.5,7,12,5,3,3,47.946,43.0,30.211,42.778,1,7.848,47.0
4.845,1,30.0,41.5,8,16,6,4,6,67.52,60.0,40.023,59.298,1,7.044,62.0
4.451,4,18.0,43.0,4,17,8,2,6,51.996,47.0,34.216,47.734,3,9.076,50.0
5.229,0,23.0,42.5,4,21,2,2,2,55.356,50.0,35.006,48.981,0,7.03,54.0
4.456,3,28.0,36.0,11,10,6,2,8,61.942,55.0,35.921,54.749,2,7.065,57.0
5.13,3,19.0,33.0,4,14,6,2,6,48.306,43.0,29.085,43.462,2,8.066,44.0
4.975,2,16.0,34.5,2,15,6,4,5,43.903,39.0,26.5,39.363,1,7.907,41.0
4.451,2,30.0,40.5,11,12,6,4,5,66.81,59.0,37.83,58.549,1,6.688,62.0
5.783,2,38.0,54.0,9,24,4,0,14,83.17,75.0,52.501,73.276,2,7.049,78.0
4.456,1,5.0,26.5,5,3,15,4,2,35.256,28.0,17.37,32.843,1,13.437,28.0
4.74,0,23.0,30.0,8,10,4,3,6,50.567,45.0,30.279,44.218,0,6.967,47.0
4.451,3,19.0,34.0,5,13,7,2,3,49.226,44.0,30.733,44.538,1,8.612,46.0
4.832,3,13.0,34.5,1,16,6,2,5,40.06,36.0,25.801,36.811,1,9.132,38.0
4.456,2,15.0,28.5,4,9,8,4,5,40.665,36.0,25.5,36.669,1,10.314,37.0
4.451,2,18.0,39.0,5,13,10,3,3,52.114,46.0,32.807,47.414,3,9.695,48.0
4.64,0,22.0,39.5,4,16,7,6,4,55.231,49.0,33.773,48.756,2,7.726,51.0
5.282,1,17.0,39.0,3,19,2,1,1,45.029,41.0,29.551,40.498,0,7.595,45.0
5.344,3,22.0,40.5,4,17,7,4,7,56.358,50.0,33.239,50.342,2,7.569,52.0
4.876,4,17.0,32.5,5,11,8,2,8,46.416,41.0,27.506,42.171,2,8.596,42.0
5.189,1,13.0,32.0,2,14,7,2,6,39.864,36.0,28.017,36.764,2,10.77,37.0
4.456,4,28.0,40.0,9,13,7,2,7,64.152,57.0,37.375,57.076,3,7.309,59.0
4.703,4,22.0,46.5,5,17,11,5,9,61.93,55.0,38.205,56.171,3,8.873,57.0
4.879,2,34.0,47.5,10,18,6,4,8,76.64,68.0,44.353,67.316,2,6.745,71.0
6.369,3,23.0,52.0,2,25,7,2,6,63.056,57.0,41.256,57.305,3,8.615,60.0
5.258,1,22.0,43.0,3,22,3,2,5,55.358,50.0,35.08,49.367,3,7.33,53.0
5.921,4,21.0,46.5,3,21,7,3,7,58.069,52.0,35.688,52.567,1,7.99,55.0
4.451,4,21.0,52.0,3,21,10,4,7,61.432,55.0,39.199,56.069,4,9.037,58.0
4.966,2,12.0,40.0,3,16,10,2,4,46.984,41.0,29.477,43.625,3,10.908,43.0
4.456,4,14.0,32.5,1,15,6,2,4,40.325,36.0,24.398,36.814,0,8.287,38.0
4.451,3,22.0,40.0,5,16,7,4,7,56.358,50.0,33.239,50.342,4,7.569,52.0
4.764,3,28.0,36.0,8,14,5,2,10,62.022,55.0,35.273,54.672,2,6.7,56.0
4.451,3,21.0,39.5,5,14,9,5,9,55.361,49.0,33.131,49.636,1,8.153,51.0
4.456,4,16.0,35.5,3,15,6,2,3,44.741,40.0,27.159,40.698,0,8.109,43.0
4.911,1,30.0,31.0,12,9,3,2,3,61.019,54.0,34.126,52.901,2,6.047,56.0
4.451,5,21.0,44.0,6,16,8,3,6,57.279,51.0,34.142,51.894,5,7.989,54.0
4.451,6,17.0,23.5,6,6,7,1,10,41.076,36.0,21.824,37.134,2,7.536,36.0
4.824,4,16.0,44.5,2,17,10,6,6,50.903,45.0,30.659,46.338,2,8.72,48.0
4.456,6,35.0,45.0,12,12,10,3,13,78.315,69.0,43.574,69.483,4,7.155,70.0
4.456,2,23.0,37.0,8,11,7,5,5,55.647,49.0,31.79,49.116,0,7.214,52.0
4.451,2,35.0,28.0,15,6,3,1,8,66.976,59.0,35.859,57.778,0,5.654,60.0
4.451,3,17.0,41.5,4,16,9,3,5,52.044,46.0,31.995,47.458,1,9.075,49.0
5.385,6,24.0,48.0,5,22,6,0,9,63.239,57.0,38.864,57.567,3,7.798,60.0
5.284,0,11.0,37.0,1,16,6,3,4,38.379,35.0,28.188,35.447,0,10.637,37.0
5.358,1,27.0,33.0,10,12,2,1,3,57.105,51.0,33.358,49.916,0,6.304,54.0
4.451,5,23.0,45.5,6,16,9,3,7,60.614,54.0,36.551,54.854,3,8.177,57.0
4.456,0,26.0,44.0,6,18,6,5,7,63.398,56.0,37.341,55.741,0,7.206,59.0
5.296,7,26.0,42.0,9,15,7,0,7,63.863,57.0,37.08,57.778,6,7.482,59.0
5.217,1,17.0,38.0,2,19,5,1,6,47.253,43.0,32.676,43.105,1,9.357,45.0
4.456,2,16.0,10.0,6,1,3,1,4,30.031,26.0,14.625,25.883,1,5.625,25.0
4.451,5,20.0,48.0,2,23,7,2,6,57.78,52.0,36.136,52.793,4,8.24,55.0
5.279,3,27.0,42.0,7,17,6,3,7,64.106,57.0,37.517,56.891,4,7.115,59.0
6.442,3,26.0,52.0,3,25,6,2,6,66.527,60.0,42.159,59.865,3,7.844,63.0
4.451,5,12.0,32.0,2,12,7,2,4,37.12,33.0,22.091,34.258,5,8.736,34.0
5.514,2,12.0,43.5,0,19,6,3,4,42.934,39.0,29.591,39.702,5,9.585,41.0
5.258,2,18.0,31.0,6,9,9,4,8,47.542,42.0,29.387,42.854,0,9.27,43.0
4.664,2,7.0,26.0,4,7,11,1,3,34.75,29.0,19.585,32.665,1,12.762,29.0
4.451,2,18.0,36.5,5,11,9,6,6,48.82,43.0,29.159,43.643,2,8.337,45.0
4.555,4,16.0,38.0,4,14,8,3,4,47.183,42.0,29.023,43.124,4,8.9,44.0
5.21,0,27.0,32.0,8,12,1,1,6,55.896,50.0,32.904,48.589,0,6.11,51.0
4.92,0,13.0,44.5,0,21,6,4,2,44.062,40.0,31.421,40.32,0,10.918,44.0
4.822,0,10.0,35.5,1,14,7,5,3,35.601,32.0,24.818,32.56,0,10.244,35.0
4.456,1,26.0,48.0,8,17,9,5,8,68.702,60.0,39.432,60.978,0,7.826,63.0
4.451,5,19.0,31.0,4,13,6,1,6,47.282,42.0,27.131,42.691,1,7.556,43.0
5.45,3,19.0,38.5,4,15,6,3,6,50.445,45.0,30.472,45.356,0,7.765,47.0
4.996,1,11.0,32.5,0,16,5,2,3,35.146,32.0,24.779,32.349,1,9.838,34.0
4.451,3,21.0,49.5,6,18,9,4,6,60.222,54.0,38.744,54.742,2,8.908,58.0
4.451,2,13.0,30.0,1,15,3,1,2,35.408,32.0,22.483,32.058,1,7.853,34.0
4.451,3,26.0,54.5,6,21,11,6,8,72.865,64.0,42.648,65.338,2,8.134,67.0
4.579,4,24.0,35.0,6,14,6,2,10,56.401,50.0,32.205,50.232,2,7.129,51.0
4.451,2,13.0,34.5,0,17,5,3,3,38.99,35.0,24.733,35.378,2,8.324,37.0
5.096,1,25.0,38.5,7,16,3,2,4,56.981,51.0,34.222,50.192,1,6.775,54.0
4.451,3,14.0,21.0,5,4,8,4,5,35.617,31.0,19.841,31.884,1,8.334,31.0
5.157,3,21.0,48.0,1,26,4,1,7,57.279,52.0,36.983,51.92,2,7.836,55.0
4.456,4,18.0,39.0,4,14,8,2,6,48.996,44.0,31.216,44.734,3,8.875,46.0
4.456,2,29.0,33.0,10,12,3,1,9,60.73,54.0,34.574,53.127,0,6.287,56.0
5.465,0,17.0,32.5,3,15,3,3,1,42.401,38.0,26.347,37.491,0,7.247,41.0
4.456,3,28.0,40.0,9,15,5,2,6,64.022,57.0,37.273,56.672,2,6.887,60.0
4.456,0,18.0,27.5,5,10,4,4,4,41.9,37.0,24.353,36.592,1,6.875,39.0
5.015,2,22.0,38.0,3,19,4,2,8,53.567,48.0,32.534,47.694,1,7.218,50.0
4.989,1,20.0,43.5,3,21,4,2,3,53.094,48.0,34.557,47.749,0,8.081,52.0
4.95,1,24.0,23.0,10,6,3,1,5,48.532,43.0,27.949,42.261,0,7.589,44.0
4.451,3,10.0,29.5,2,10,8,3,4,33.546,30.0,22.426,31.127,3,11.874,31.0
4.529,0,21.0,38.0,4,17,4,2,3,50.781,46.0,33.54,45.251,2,7.947,49.0
4.456,5,8.0,27.5,2,9,8,2,4,30.209,27.0,19.216,28.567,1,10.381,29.0
4.451,1,17.0,36.0,3,14,10,4,5,50.383,44.0,30.676,45.494,2,9.421,45.0
4.456,5,23.0,49.0,4,22,8,2,7,63.555,57.0,39.517,57.883,3,8.403,60.0
5.367,0,16.0,41.0,2,18,7,4,5,47.708,43.0,32.716,43.316,0,9.66,46.0
5.242,3,18.0,32.0,8,10,5,1,2,45.807,41.0,28.08,41.36,3,8.093,44.0
4.456,4,16.0,33.5,2,15,6,2,4,43.741,39.0,26.159,39.698,0,8.009,41.0
4.456,4,26.0,32.5,9,10,6,2,10,57.817,51.0,31.966,51.116,1,6.794,52.0
4.772,3,14.0,36.0,2,15,7,4,4,42.697,38.0,26.193,38.807,4,8.483,40.0
4.456,3,25.0,40.5,9,13,7,3,6,60.61,54.0,36.404,54.083,3,7.622,57.0
5.1,6,20.0,57.5,2,25,9,2,6,61.91,56.0,40.239,57.196,4,8.939,60.0
4.451,3,25.0,49.5,5,22,6,3,5,64.69,58.0,39.756,58.007,1,7.578,62.0
5.003,1,10.0,31.0,0,14,5,3,4,33.309,30.0,22.375,30.491,2,9.458,31.0
4.451,3,13.0,33.0,3,12,8,3,4,40.039,36.0,26.483,36.858,2,9.651,38.0
5.144,5,17.0,47.0,2,21,8,3,4,53.448,48.0,33.619,49.127,3,8.655,52.0
4.456,18,78.0,79.0,45,5,18,0,12,165.962,146.0,87.876,147.352,4,6.625,153.0
4.673,1,12.0,31.0,1,14,7,3,5,38.028,34.0,25.614,34.905,2,10.49,35.0
4.451,3,19.0,38.0,6,14,6,3,3,50.445,45.0,30.472,45.356,3,7.765,48.0
5.45,6,30.0,54.0,6,21,11,4,12,76.567,68.0,45.296,68.934,5,7.922,70.0
4.451,2,23.0,53.5,3,25,7,4,5,64.508,58.0,41.404,58.222,3,8.328,62.0
4.919,1,24.0,29.0,7,12,3,1,8,51.532,46.0,30.949,45.261,0,7.877,47.0
4.696,7,23.0,63.0,1,29,11,3,8,71.033,64.0,45.46,65.509,6,8.9,68.0
5.337,0,17.0,37.5,4,14,6,5,4,45.903,41.0,29.245,40.887,0,8.182,44.0
4.451,2,25.0,21.0,9,6,3,1,6,48.9,43.0,26.052,42.36,0,5.847,43.0
5.322,1,18.0,37.0,2,19,4,1,5,47.309,43.0,31.818,42.782,1,8.556,45.0
4.761,3,24.0,48.0,5,21,6,2,8,62.112,56.0,39.398,55.982,2,7.939,59.0
5.305,3,17.0,32.0,4,14,4,1,4,43.448,39.0,26.46,39.153,2,7.573,41.0
5.271,3,20.0,46.5,3,22,5,2,3,55.362,50.0,35.228,50.138,1,7.929,54.0
4.456,4,14.0,32.5,1,15,6,2,4,40.325,36.0,24.398,36.814,0,8.287,38.0
4.456,2,21.0,41.0,6,15,7,5,4,55.232,49.0,33.029,49.232,3,7.663,53.0
4.456,2,33.0,32.0,15,7,4,1,8,66.48,59.0,37.745,57.97,1,6.367,61.0
4.497,3,10.0,44.0,3,14,14,4,5,48.071,41.0,28.227,44.843,3,11.326,43.0
4.734,6,16.0,38.0,4,13,10,2,8,47.999,43.0,30.364,44.505,7,9.5,44.0
4.451,0,14.0,22.0,2,11,2,2,3,32.488,29.0,19.58,28.505,0,6.838,30.0
4.821,3,20.0,45.5,3,22,5,1,8,55.12,50.0,36.335,50.149,1,9.247,53.0
5.051,1,11.0,34.5,1,16,6,2,2,37.925,34.0,25.688,34.993,1,10.271,36.0
4.709,5,22.0,45.5,6,15,10,4,5,59.697,53.0,35.796,54.073,3,8.35,56.0
4.494,1,20.0,37.0,8,11,8,2,3,51.543,47.0,36.557,46.865,4,9.633,50.0
4.976,1,12.0,35.5,0,17,5,3,3,38.12,34.0,24.216,34.563,0,8.627,37.0
4.893,4,18.0,43.5,6,13,10,4,6,53.577,48.0,34.466,49.054,3,9.22,51.0
5.162,0,14.0,36.0,3,16,5,2,3,41.711,38.0,29.705,38.113,0,9.824,41.0
4.935,1,21.0,42.5,3,21,3,2,3,53.15,48.0,33.699,47.425,0,7.364,52.0
4.451,0,10.0,27.0,1,11,5,4,3,30.159,27.0,19.955,27.134,0,8.975,29.0
5.061,0,12.0,38.0,4,12,9,6,2,41.459,37.0,28.443,37.869,1,10.576,41.0
4.456,8,25.0,50.0,9,16,12,1,8,68.916,62.0,43.722,63.553,7,9.092,65.0
4.451,3,12.0,31.0,1,14,5,2,4,35.701,32.0,22.182,32.604,1,8.384,34.0
4.456,4,28.0,29.0,10,8,6,2,10,59.232,52.0,31.728,52.0,2,6.471,52.0
4.456,3,34.0,47.5,13,13,9,6,8,78.431,69.0,44.057,68.963,0,6.937,73.0
5.19,2,20.0,44.0,4,18,7,3,8,55.515,50.0,36.284,50.313,1,8.76,52.0
4.456,3,30.0,37.0,12,10,6,2,8,65.358,58.0,37.682,57.632,2,6.942,60.0
4.456,0,18.0,31.0,2,14,6,4,4,44.74,40.0,28.648,39.745,2,8.263,41.0
4.451,4,15.0,44.5,1,20,7,3,5,47.824,43.0,30.404,43.916,2,8.683,46.0
4.451,3,21.0,37.0,5,13,7,3,5,51.78,46.0,30.881,46.316,2,7.815,48.0
5.156,1,14.0,34.5,2,16,5,1,5,40.398,37.0,28.943,37.091,1,9.728,39.0
4.451,2,10.0,32.0,1,13,7,3,3,34.439,31.0,23.477,31.895,1,10.316,33.0
4.451,2,20.0,30.0,6,12,4,1,6,47.013,42.0,28.387,41.916,0,7.568,44.0
4.478,2,25.0,23.0,10,6,3,1,5,49.9,44.0,27.052,43.36,0,5.987,45.0
4.456,4,28.0,43.0,9,15,7,2,8,66.152,59.0,39.375,59.076,1,7.468,62.0
4.832,4,32.0,47.0,11,15,9,4,10,75.564,67.0,44.148,67.163,3,7.413,70.0
5.295,0,16.0,30.0,2,14,5,3,5,41.265,37.0,26.853,36.891,2,8.591,38.0
4.451,5,20.0,37.0,5,14,7,2,7,51.78,46.0,30.137,46.793,1,7.748,48.0
6.699,2,30.0,45.0,8,19,5,2,6,69.148,62.0,42.228,61.305,1,7.204,65.0
4.456,0,31.0,24.0,15,3,2,2,1,58.017,51.0,31.052,49.516,2,5.402,53.0
4.822,2,14.0,33.5,1,17,4,1,2,39.768,36.0,26.102,36.265,1,8.661,38.0
4.456,3,21.0,35.0,5,15,4,1,5,50.279,45.0,29.983,44.92,1,7.187,47.0
4.451,4,17.0,39.0,5,15,7,2,5,49.496,44.0,29.858,45.094,3,8.372,47.0
4.456,3,30.0,40.5,13,10,7,4,6,68.019,60.0,38.284,59.876,2,6.843,63.0
5.232,2,14.0,40.0,4,14,7,3,3,44.269,40.0,30.0,40.662,1,9.597,43.0
4.456,3,21.0,39.0,8,11,8,5,4,54.441,48.0,31.483,48.56,0,7.655,52.0
4.881,0,14.0,30.5,1,15,4,3,3,37.828,34.0,24.938,33.836,0,9.654,36.0
4.83,2,30.0,36.0,9,14,4,2,8,64.228,57.0,36.58,56.229,1,6.431,59.0
