pXC50,Chi0_EA.dm.,Eig08_AEA.dm.,Eig09_EA,SM03_AEA.dm.,Chi1_EA.dm.,Eig09_AEA.ed.,Eig09_AEA.dm.,Eig09_EA.ed.,SM04_AEA.ri.,Eig08_AEA.ri.,Eig09_AEA.ri.,Eig08_EA.ed.,SM03_AEA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,Eig08_EA.ri.,Eig10_AEA.dm.,Eig08_EA,SM02_AEA.dm.,Eig07_AEA.dm.,Eig10_AEA.ed.,Eig08_AEA.bo.,Eig09_EA.ri.,Eig09_AEA.bo.,Eig15_AEA.dm.,Eta_betaS,ZM2Mad,Eig08_AEA.ed.,Eig15_AEA.bo.,SpMax7_Bh.i.,ATS2m,X3,SpMax8_Bh.v.,Sv,SpMax8_Bh.m.,IVDM,X1,Eig07_EA.bo.,MW,Psi_i_0,Eig15_EA.bo.,Eig07_EA,SM15_AEA.bo.,Eta_FL,Eig13_AEA.bo.,Eig15_EA.ed.,SM10_AEA.ri.,Eig07_AEA.bo.,ATS1m,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi1_EA.ri.,SpMax8_Bh.p.,X4,Eig15_EA,SM09_AEA.dm.,Eig14_AEA.bo.,Psi_e_0,Eig13_EA.bo.,Chi0_EA.ri.,SpMaxA_AEA.bo.,SpMax7_Bh.m.,X0sol,CID,SMTIV
5.8,19.544,1.568,1.427,1.427,28.736,3.796,1.477,3.177,3.177,2.477,2.398,4.029,4.029,2.469,2.469,1.453,1.309,1.511,1.511,2.098,3.626,2.919,1.383,2.876,0.267,20.25,204.102,4.328,1.361,3.261,3.994,10.86,2.861,31.434,2.901,4.788,14.101,2.22,390.44,19.768,0.027,1.615,1.615,8.951,1.868,0.055,0.055,2.991,3.643,19.894,19.894,19.894,19.894,19.894,16.592,2.851,9.308,0.021,0.021,1.454,10.62,0.764,20.561,0.143,3.051,20.38,4.105,17110.0
5.0,19.118,2.376,1.415,1.415,21.577,4.127,2.108,3.648,3.648,2.703,2.363,4.741,4.741,3.312,3.312,1.441,1.524,1.743,1.743,2.623,4.057,3.15,1.347,2.839,0.445,18.0,244.079,4.646,1.0,2.934,4.208,10.617,2.733,29.022,2.916,4.723,13.436,2.474,436.28,18.782,-0.445,1.879,1.879,7.754,1.597,-0.757,-0.757,3.232,3.754,18.654,18.654,18.654,18.654,18.654,16.502,2.733,9.166,-0.347,-0.347,1.272,10.378,0.363,19.305,0.15,3.066,19.449,4.069,18837.0
5.0,9.931,1.727,1.127,1.127,6.141,3.878,1.261,2.556,2.556,2.273,2.117,3.618,3.618,1.918,1.918,1.248,1.238,1.306,1.306,1.949,3.602,2.782,1.113,2.533,0.19,17.25,242.126,4.324,0.999,2.985,4.109,9.756,2.613,28.677,2.808,4.637,12.731,2.306,413.86,18.068,-0.527,1.639,1.639,6.951,1.17,-0.931,-0.931,3.073,3.793,17.508,17.508,17.508,17.508,17.508,15.1,2.594,8.468,-0.494,-0.494,1.0,10.447,-0.223,17.991,0.163,2.936,18.777,4.011,15673.0
5.8,29.266,1.977,1.414,1.414,45.306,3.955,1.907,3.039,3.039,2.379,2.278,3.747,3.747,2.912,2.912,1.336,1.599,1.44,1.44,2.355,3.595,2.836,1.211,2.612,0.235,19.5,202.555,4.206,0.912,3.113,4.021,10.617,2.737,30.211,2.866,4.736,13.508,2.364,388.41,19.22,-0.294,1.979,1.979,7.218,1.644,-0.685,-0.685,3.272,3.634,18.809,18.809,18.809,18.809,18.809,16.348,2.733,8.605,-0.264,-0.264,1.358,10.454,0.389,19.439,0.146,2.873,17.933,4.071,17723.0
5.0,6.656,1.471,1.365,1.365,4.873,4.017,1.414,3.15,3.15,2.372,2.329,3.804,3.804,2.982,2.982,1.355,1.31,1.406,1.406,1.618,3.616,2.894,1.312,2.821,0.121,17.5,213.339,4.245,0.929,3.043,4.046,10.289,2.6,27.917,2.736,4.66,12.759,2.427,359.45,18.24,-0.649,1.618,1.618,7.858,2.088,-1.219,-1.219,3.118,3.642,18.049,18.049,18.049,18.049,18.049,15.729,2.633,8.893,-0.485,-0.485,1.317,9.512,0.897,18.546,0.153,2.85,17.863,4.022,13651.0
5.0,30.107,2.675,2.134,2.134,42.947,5.707,2.377,7.212,7.212,3.265,3.125,7.954,7.954,6.136,6.136,2.182,2.209,2.314,2.314,2.719,5.427,3.578,2.106,3.524,1.486,30.5,379.853,5.919,2.712,3.468,4.574,19.562,3.151,49.508,3.228,5.382,21.346,3.089,586.69,31.545,1.774,2.404,2.404,11.281,2.91,3.097,3.097,3.744,4.09,30.299,30.299,30.299,30.299,30.299,26.559,3.132,18.819,1.336,1.336,2.86,16.539,2.082,30.897,0.099,3.311,30.068,4.548,39485.0
5.0,11.643,1.421,1.015,1.015,8.663,3.854,1.019,2.718,2.718,2.346,1.967,3.836,3.836,1.991,1.991,1.315,0.819,1.412,1.412,1.535,3.482,2.891,0.964,2.468,-0.825,15.75,173.65,4.369,0.591,3.013,3.836,9.012,2.57,25.477,2.499,4.44,11.042,2.158,308.38,15.992,-1.0,1.535,1.535,6.282,0.955,-2.119,-2.119,3.02,3.427,15.378,15.378,15.378,15.378,15.378,13.432,2.618,8.025,-0.876,-0.876,0.697,8.444,-0.534,15.732,0.183,2.829,16.137,3.883,8299.0
5.8,23.019,1.971,1.68,1.68,29.077,4.483,1.906,4.549,4.549,2.707,2.664,4.854,4.854,3.411,3.411,1.692,1.374,1.734,1.734,2.133,4.156,3.116,1.611,3.013,0.273,19.0,228.205,4.716,1.182,3.179,4.132,11.099,2.792,32.697,2.921,4.797,14.081,2.533,401.53,20.554,-0.276,1.865,1.865,7.941,1.861,-0.529,-0.529,3.256,3.709,19.756,19.756,19.756,19.756,19.756,17.047,2.811,10.199,-0.216,-0.216,1.311,10.695,0.719,20.177,0.145,2.968,20.311,4.121,17910.0
5.0,40.814,2.307,1.812,1.812,55.107,4.415,2.195,4.53,4.53,2.813,2.75,5.225,5.225,4.046,4.046,1.765,2.029,1.861,1.861,2.499,4.351,3.141,1.695,2.983,1.146,28.0,272.114,4.801,2.252,3.488,4.334,14.504,3.065,49.47,3.216,5.302,19.996,2.522,562.79,29.822,1.214,2.227,2.227,9.074,2.5,2.275,2.275,3.477,3.996,28.093,28.093,28.093,28.093,28.093,23.635,3.02,12.161,1.0,1.0,2.401,15.239,1.5,29.056,0.102,3.317,28.606,4.448,46350.0
5.8,26.612,2.66,1.643,1.643,26.644,4.735,2.44,4.752,4.752,3.095,2.606,6.518,6.518,4.231,4.231,1.993,2.362,2.148,2.148,2.726,4.486,3.495,1.574,3.186,1.179,25.0,262.827,5.218,2.5,3.331,4.321,13.681,2.938,40.142,3.055,5.15,18.107,2.958,519.52,25.321,1.154,2.266,2.266,10.746,2.56,1.713,1.713,3.705,3.887,25.118,25.118,25.118,25.118,25.118,21.475,2.892,11.211,0.759,0.759,2.5,14.664,1.5,25.928,0.112,3.205,24.949,4.355,39867.0
5.959,38.907,2.094,1.625,1.625,60.338,4.679,1.746,4.64,4.64,2.867,2.6,5.645,5.645,3.671,3.671,1.799,1.615,1.93,1.93,2.481,4.159,3.302,1.581,3.055,0.744,24.0,286.601,4.901,1.628,3.466,4.328,12.314,2.989,44.362,3.055,5.121,17.571,2.599,524.76,26.502,0.618,2.282,2.282,8.57,2.449,1.372,1.372,3.53,4.019,24.159,24.159,24.159,24.159,24.159,20.944,2.976,10.431,0.618,0.618,1.996,13.95,1.448,24.832,0.122,3.252,26.718,4.33,35731.0
5.0,7.851,1.509,1.348,1.348,5.913,3.634,1.441,3.112,3.112,2.422,2.324,3.193,3.193,2.6,2.6,1.397,1.318,1.451,1.451,1.832,3.574,2.901,1.309,2.805,0.554,17.25,201.784,3.877,1.36,3.043,4.009,10.313,2.775,31.675,2.789,4.76,13.742,2.214,386.51,19.632,0.0,1.508,1.508,8.308,2.025,0.0,0.0,3.003,3.653,19.438,19.438,19.438,19.438,19.438,15.815,2.789,8.487,0.0,0.0,1.491,10.281,0.712,19.808,0.147,2.982,19.7,4.076,17078.0
5.0,27.261,2.246,1.412,1.412,35.352,4.063,1.789,3.427,3.427,2.71,2.351,4.786,4.786,3.137,3.137,1.597,1.433,1.738,1.738,2.395,4.032,3.175,1.315,2.847,0.704,21.0,223.738,4.578,1.444,3.05,4.2,10.793,2.774,33.422,2.861,4.899,15.151,2.613,464.86,20.963,0.167,2.011,2.011,9.153,1.544,0.249,0.249,3.361,3.755,20.806,20.806,20.806,20.806,20.806,17.916,2.786,8.636,0.136,0.136,1.471,12.345,0.37,21.506,0.134,3.172,21.303,4.178,31467.0
5.8,13.497,1.261,0.873,0.873,14.329,3.467,1.031,2.358,2.358,2.16,1.713,2.848,2.848,1.443,1.443,1.14,0.84,1.222,1.222,1.548,3.16,2.683,0.719,2.336,-0.722,14.5,179.224,3.604,0.469,2.921,3.912,7.859,2.575,24.449,2.637,4.392,10.631,1.972,332.84,15.187,-1.193,1.414,1.414,6.147,0.76,-2.262,-2.262,2.841,3.504,14.792,14.792,14.792,14.792,14.792,13.0,2.596,6.448,-0.897,-0.897,0.66,8.044,-0.66,15.423,0.185,2.867,16.38,3.826,9323.0
5.4,32.957,2.119,1.484,1.484,53.106,4.254,1.66,3.876,3.876,2.782,2.451,5.104,5.104,3.748,3.748,1.638,1.578,1.854,1.854,2.379,4.184,3.232,1.433,2.898,0.727,22.75,253.281,4.717,1.58,3.256,4.273,11.81,2.958,37.862,2.993,4.971,15.923,2.478,488.07,23.249,0.362,1.879,1.879,8.116,2.062,0.714,0.714,3.232,3.868,22.195,22.195,22.195,22.195,22.195,19.239,2.957,9.89,0.302,0.302,2.0,12.193,1.003,23.048,0.121,3.233,24.225,4.224,27529.0
5.0,24.833,1.191,1.0,1.0,38.665,3.61,1.075,2.389,2.389,2.039,2.0,2.828,2.828,2.136,2.136,1.027,1.003,1.129,1.129,1.584,3.247,2.568,1.0,2.5,-0.299,17.5,169.15,3.675,0.735,3.211,3.856,9.128,2.715,31.111,2.717,4.628,12.618,2.069,354.51,18.531,-0.598,1.49,1.49,6.142,1.33,-1.136,-1.136,2.908,3.519,17.74,17.74,17.74,17.74,17.74,14.447,2.735,7.521,-0.52,-0.52,1.0,9.596,0.22,18.162,0.166,2.94,18.518,3.986,11124.0
5.9,10.682,1.232,1.0,1.0,13.192,3.582,1.064,2.52,2.52,2.21,1.982,2.821,2.821,1.816,1.816,1.206,0.828,1.22,1.22,1.502,3.419,2.7,0.979,2.508,-0.844,14.0,153.015,3.608,0.516,2.881,3.699,8.384,2.433,23.413,2.539,4.334,10.237,1.97,275.33,14.788,-1.291,1.354,1.354,6.343,0.787,-2.306,-2.306,2.839,3.318,14.43,14.43,14.43,14.43,14.43,12.154,2.394,7.502,-0.922,-0.922,0.665,7.734,-0.793,14.617,0.194,2.569,14.397,3.804,6630.0
5.0,18.997,1.846,1.377,1.377,21.153,3.809,1.772,3.006,3.006,2.342,2.312,3.664,3.664,2.282,2.282,1.305,1.579,1.4,1.4,2.206,3.551,2.801,1.223,2.618,0.24,18.0,225.954,4.163,0.797,2.954,4.17,9.859,2.65,29.154,2.813,4.659,12.918,2.019,457.71,18.167,-0.521,1.573,1.573,6.889,1.279,-0.847,-0.847,2.878,3.747,17.922,17.922,17.922,17.922,17.922,15.422,2.615,7.964,-0.44,-0.44,1.065,10.009,-0.007,18.585,0.163,3.16,20.181,4.016,15494.0
5.8,16.683,1.641,1.302,1.302,16.542,3.923,1.425,3.125,3.125,2.414,2.263,3.484,3.484,2.766,2.766,1.376,1.403,1.478,1.478,2.174,3.83,2.853,1.241,2.653,0.41,19.25,210.98,4.131,1.299,3.012,4.061,10.935,2.733,31.962,2.8,4.788,14.08,2.095,415.89,20.092,0.0,1.577,1.577,7.265,2.0,0.0,0.0,2.924,3.681,19.784,19.784,19.784,19.784,19.784,16.542,2.733,9.155,0.0,0.0,1.469,10.767,1.0,20.28,0.145,2.866,20.01,4.103,17925.0
7.572,28.268,2.327,1.766,1.766,43.083,5.264,2.011,5.664,5.664,3.06,2.736,7.069,7.069,4.926,4.926,2.039,1.901,2.07,2.07,2.532,4.97,3.408,1.703,3.126,1.149,24.75,312.869,5.654,2.126,3.347,4.374,15.926,2.985,40.025,3.042,5.058,17.08,2.862,466.58,25.55,1.064,2.236,2.236,8.525,2.662,2.394,2.394,3.521,3.882,24.479,24.479,24.479,24.479,24.479,21.485,2.985,15.835,0.939,0.939,2.371,13.078,1.722,25.037,0.122,3.134,23.637,4.332,19467.0
5.8,29.209,2.445,1.479,1.479,44.125,4.442,2.028,3.973,3.973,2.759,2.436,5.322,5.322,3.292,3.292,1.698,1.602,1.808,1.808,2.582,4.247,3.064,1.393,2.914,0.532,20.75,243.657,4.919,1.27,2.985,4.124,12.141,2.695,31.068,2.822,4.803,14.257,2.462,416.39,20.229,0.012,1.915,1.915,7.569,1.92,0.026,0.026,3.245,3.703,19.74,19.74,19.74,19.74,19.74,17.455,2.645,10.264,0.01,0.01,1.565,11.398,0.53,20.127,0.137,2.883,18.706,4.136,19356.0
5.8,0.0,1.0,0.402,0.402,0.0,3.034,0.402,0.995,0.995,1.966,1.372,2.336,2.336,0.86,0.86,0.963,0.347,1.0,1.0,1.253,3.0,2.5,0.389,1.896,-1.379,12.75,133.769,3.431,0.054,2.457,3.565,7.274,2.02,19.161,2.045,4.142,8.899,1.858,235.27,12.601,-1.911,1.253,1.253,5.727,0.561,-4.031,-4.031,2.741,3.204,12.671,12.671,12.671,12.671,12.671,10.897,2.031,6.331,-1.379,-1.379,0.5,6.575,-1.383,12.957,0.216,2.28,11.949,3.667,4824.0
5.8,9.487,1.035,1.0,1.0,17.5,3.274,1.0,2.136,2.136,2.0,1.985,2.359,2.359,1.691,1.691,1.0,0.703,1.025,1.025,1.32,3.247,2.512,0.979,2.5,-0.923,13.5,160.395,3.432,0.5,2.925,3.783,7.97,2.262,23.38,2.48,4.366,10.382,1.863,292.39,14.877,-1.368,1.291,1.291,6.263,0.79,-2.347,-2.347,2.751,3.425,14.74,14.74,14.74,14.74,14.74,12.549,2.262,6.817,-0.946,-0.946,0.578,7.691,-0.897,15.118,0.186,2.687,14.424,3.808,7767.0
5.8,9.712,1.064,1.0,1.0,15.848,3.281,1.0,2.136,2.136,2.006,2.0,2.376,2.376,1.74,1.74,1.0,0.776,1.048,1.048,1.421,3.247,2.528,0.999,2.5,-0.908,14.0,164.228,3.435,0.573,2.925,3.81,8.287,2.461,24.907,2.521,4.433,10.882,1.951,306.42,15.693,-1.346,1.37,1.37,6.394,0.825,-2.347,-2.347,2.817,3.463,15.447,15.447,15.447,15.447,15.447,13.025,2.458,6.918,-0.914,-0.914,0.753,8.072,-0.642,15.824,0.179,2.687,15.131,3.851,8961.0
5.8,9.487,1.476,1.264,1.264,17.5,3.609,1.266,2.89,2.89,2.411,2.222,3.099,3.099,2.399,2.399,1.397,1.052,1.435,1.435,1.534,3.472,2.757,1.207,2.551,-0.5,17.25,182.627,3.699,0.806,3.17,3.895,9.909,2.775,28.816,2.801,4.616,12.382,2.3,332.45,18.25,-0.671,1.534,1.534,6.087,1.894,-1.405,-1.405,3.034,3.523,17.654,17.654,17.654,17.654,17.654,14.975,2.773,8.762,-0.547,-0.547,1.152,9.231,0.595,17.989,0.161,2.866,16.64,3.988,9971.0
5.8,9.487,1.268,1.041,1.041,17.5,3.492,1.053,2.396,2.396,2.222,2.002,2.89,2.89,1.833,1.833,1.208,0.781,1.265,1.265,1.534,3.399,2.751,0.998,2.525,-0.927,15.25,160.294,3.616,0.561,2.993,3.761,8.322,2.57,24.762,2.499,4.403,10.72,2.077,292.38,15.582,-1.243,1.534,1.534,6.112,0.765,-2.113,-2.113,3.014,3.387,15.085,15.085,15.085,15.085,15.085,12.988,2.57,7.498,-0.93,-0.93,0.66,8.068,-0.852,15.437,0.187,2.743,15.104,3.848,7223.0
5.8,13.2,1.534,1.315,1.315,13.238,3.792,1.475,3.113,3.113,2.417,2.231,3.88,3.88,2.635,2.635,1.361,1.256,1.523,1.523,2.07,3.632,2.763,1.19,2.619,0.412,19.75,205.141,4.343,1.679,3.206,4.014,11.121,2.797,32.946,2.824,4.82,14.276,2.301,391.49,20.775,0.546,1.534,1.534,7.666,2.0,0.958,0.958,3.034,3.667,20.223,20.223,20.223,20.223,20.223,17.224,2.799,9.49,0.387,0.387,1.901,10.722,1.0,20.783,0.14,2.866,18.761,4.123,16678.0
7.469,27.43,2.204,1.639,1.639,32.432,4.706,2.075,4.753,4.753,2.782,2.634,5.012,5.012,3.768,3.768,1.753,1.951,1.804,1.804,2.495,4.375,3.087,1.619,3.032,0.82,21.25,221.263,4.775,1.511,3.284,4.121,11.755,2.91,36.65,2.879,4.914,15.329,2.351,442.54,22.41,0.149,1.917,1.917,7.488,2.0,0.285,0.285,3.196,3.74,21.223,21.223,21.223,21.223,21.223,18.022,2.941,10.057,0.113,0.113,1.625,11.977,1.0,21.716,0.132,2.989,21.957,4.192,24393.0
6.4,14.962,0.605,-0.109,-0.109,26.208,2.723,0.137,-0.281,-0.281,1.149,0.853,0.411,0.411,-1.673,-1.673,0.164,-0.186,0.168,0.168,1.29,2.0,1.521,-0.105,1.156,-1.669,10.25,108.517,2.878,-0.5,2.681,3.392,6.045,1.623,17.865,1.793,3.954,7.843,1.478,210.25,11.173,-2.222,1.0,1.0,5.023,0.211,-5.195,-5.195,2.529,3.038,11.069,11.069,11.069,11.069,11.069,9.045,1.613,5.224,-1.915,-1.915,-0.262,5.888,-1.723,11.15,0.245,2.446,10.958,3.537,3020.0
5.8,3.956,1.487,1.0,1.0,2.018,3.457,1.169,2.275,2.275,2.009,2.0,2.918,2.918,2.275,2.275,1.0,1.0,1.065,1.065,1.854,3.414,2.513,1.0,2.5,0.299,16.25,185.628,3.91,0.828,2.925,3.914,9.757,2.715,29.322,2.687,4.65,12.742,2.054,361.47,18.268,-0.624,1.435,1.435,7.547,1.644,-0.998,-0.998,2.885,3.591,18.024,18.024,18.024,18.024,18.024,14.991,2.735,7.958,-0.498,-0.498,1.134,9.566,0.54,18.548,0.157,2.687,17.416,4.005,12768.0
6.0,35.476,2.018,1.467,1.467,47.942,4.297,1.84,3.932,3.932,2.551,2.429,4.258,4.258,3.33,3.33,1.525,1.623,1.581,1.581,2.301,4.039,2.96,1.406,2.94,0.976,24.0,238.168,4.385,1.945,3.319,4.184,13.2,2.95,40.901,2.936,5.076,17.102,2.354,473.64,25.181,0.896,2.074,2.074,8.33,2.343,2.088,2.088,3.289,3.828,24.11,24.11,24.11,24.11,24.11,19.915,2.97,10.805,0.81,0.81,2.0,13.008,1.337,24.581,0.112,3.124,24.2,4.295,29440.0
5.0,6.822,1.345,1.0,1.0,4.471,3.312,1.107,2.201,2.201,2.076,1.947,2.231,2.231,1.733,1.733,1.073,1.0,1.09,1.09,1.548,3.28,2.5,0.945,2.395,-0.551,15.5,160.435,3.404,0.693,2.979,3.766,8.732,2.571,26.289,2.583,4.483,11.365,1.857,306.41,16.561,-1.039,1.255,1.255,5.394,1.618,-1.489,-1.489,2.878,3.419,16.215,16.215,16.215,16.215,16.215,13.317,2.544,7.808,-0.743,-0.743,0.902,8.479,0.42,16.506,0.176,2.675,15.648,3.888,8528.0
6.292,36.005,2.445,1.815,1.815,48.297,4.641,2.227,5.093,5.093,3.064,2.779,5.27,5.27,3.896,3.896,1.986,2.123,2.106,2.106,2.644,4.281,3.309,1.744,3.217,1.244,26.0,264.931,4.806,2.5,3.448,4.287,13.615,3.062,45.422,3.244,5.251,19.372,2.842,557.1,27.684,1.258,2.168,2.168,11.336,2.712,1.951,1.951,3.553,3.953,27.101,27.101,27.101,27.101,27.101,22.361,3.05,11.259,0.972,0.972,2.525,14.727,1.5,27.862,0.108,3.326,28.985,4.412,43287.0
