pXC50,O.,nN,nBM,RBF,N.,nB,nC,Sp,nO,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nBO,nBR,nBT
4.408,5.9,3,19,0.132,5.9,0,22,33.995,3,7.402,43.1,45.1,1.002,1.123,0.667,0.637,377.48,18,51.0,30,0,53.0
4.728,5.9,3,19,0.132,5.9,0,22,33.995,3,7.402,43.1,45.1,1.002,1.123,0.667,0.637,377.48,18,51.0,30,0,53.0
5.064,5.9,3,19,0.132,5.9,0,22,33.995,3,7.402,43.1,45.1,1.002,1.123,0.667,0.637,377.48,18,51.0,30,0,53.0
4.529,5.9,3,19,0.132,5.9,0,22,33.995,3,7.402,43.1,45.1,1.002,1.123,0.667,0.637,377.48,18,51.0,30,0,53.0
4.656,7.5,3,20,0.145,5.7,0,23,35.449,4,7.651,43.4,43.4,1.009,1.122,0.669,0.645,405.49,18,53.0,32,0,55.0
4.821,9.1,3,21,0.158,5.5,0,24,36.904,5,7.882,43.6,41.8,1.014,1.122,0.671,0.653,433.5,18,55.0,34,0,57.0
4.523,11.5,1,21,0.109,1.9,0,24,35.347,6,8.067,46.2,40.4,1.017,1.114,0.68,0.665,419.46,18,52.0,34,0,55.0
4.523,14.3,0,13,0.068,0.0,0,18,27.58,6,7.866,42.9,42.9,1.022,1.119,0.657,0.644,330.36,12,42.0,26,0,44.0
4.523,14.3,0,13,0.068,0.0,0,18,27.58,6,7.866,42.9,42.9,1.022,1.119,0.657,0.644,330.36,12,42.0,26,0,44.0
4.523,12.2,0,13,0.07,0.0,0,18,27.125,5,7.667,43.9,43.9,1.014,1.117,0.662,0.642,314.36,12,41.0,25,0,43.0
4.523,9.8,1,14,0.07,2.4,0,19,27.915,4,7.887,46.3,41.5,1.012,1.114,0.681,0.661,323.37,12,41.0,26,0,43.0
5.276,9.3,0,19,0.105,0.0,0,25,36.409,5,7.491,46.3,44.4,1.004,1.112,0.674,0.646,404.49,18,54.0,33,0,57.0
8.17,11.9,0,16,0.044,0.0,0,19,28.125,5,7.771,45.2,42.9,1.014,1.114,0.67,0.65,326.37,16,42.0,27,0,45.0
8.0,10.4,0,16,0.078,0.0,0,21,31.648,5,7.384,43.8,45.8,1.007,1.117,0.659,0.633,354.43,16,48.0,29,0,51.0
7.337,9.8,0,16,0.045,0.0,0,19,27.671,4,7.57,46.3,43.9,1.006,1.112,0.675,0.649,310.37,16,41.0,26,0,44.0
8.377,9.8,0,16,0.045,0.0,0,19,27.671,4,7.57,46.3,43.9,1.006,1.112,0.675,0.649,310.37,16,41.0,26,0,44.0
7.268,11.3,0,17,0.125,0.0,0,23,34.864,6,7.481,43.4,45.3,1.011,1.118,0.658,0.634,396.47,16,53.0,32,0,56.0
6.31,7.4,0,22,0.086,0.0,0,26,36.955,4,7.417,48.1,44.4,0.998,1.108,0.684,0.651,400.5,22,54.0,34,0,58.0
6.237,9.1,0,16,0.064,0.0,0,20,29.432,4,7.373,45.5,45.5,1.003,1.113,0.669,0.639,324.4,16,44.0,27,0,47.0
8.155,9.1,0,16,0.064,0.0,0,20,29.432,4,7.373,45.5,45.5,1.003,1.113,0.669,0.639,324.4,16,44.0,27,0,47.0
6.959,9.1,0,16,0.064,0.0,0,20,29.432,4,7.373,45.5,45.5,1.003,1.113,0.669,0.639,324.4,16,44.0,27,0,47.0
7.268,7.5,0,16,0.047,0.0,0,19,27.216,3,7.359,47.5,45.0,0.998,1.109,0.68,0.647,294.37,16,40.0,25,0,43.0
6.509,7.0,0,16,0.043,0.0,0,20,28.978,3,7.172,46.5,46.5,0.996,1.111,0.674,0.637,308.4,16,43.0,26,0,46.0
6.444,7.5,0,16,0.047,0.0,0,19,27.091,3,8.259,47.5,40.0,1.024,1.126,0.677,0.666,330.35,16,40.0,27,0,43.0
5.959,7.7,1,16,0.048,2.6,0,18,26.46,3,7.573,46.2,43.6,1.004,1.114,0.678,0.651,295.36,16,39.0,25,0,42.0
7.523,7.5,2,15,0.047,5.0,0,17,26.466,3,7.459,42.5,45.0,1.006,1.124,0.662,0.635,298.37,15,40.0,25,0,43.0
9.0,9.8,0,16,0.045,0.0,0,19,27.671,4,7.57,46.3,43.9,1.006,1.112,0.675,0.649,310.37,16,41.0,26,0,44.0
4.523,14.3,0,13,0.091,0.0,0,18,27.58,6,7.866,42.9,42.9,1.022,1.119,0.657,0.644,330.36,12,42.0,26,0,44.0
4.582,8.8,0,25,0.139,0.0,0,32,46.148,6,7.509,47.1,44.1,1.003,1.11,0.679,0.65,510.62,24,68.0,42,0,72.0
4.523,10.0,0,13,0.095,0.0,0,18,28.023,4,9.431,45.0,42.5,1.012,1.11,0.701,0.666,377.25,12,40.0,25,1,42.0
4.523,9.3,0,19,0.105,0.0,0,25,36.409,5,7.491,46.3,44.4,1.004,1.112,0.674,0.646,404.49,18,54.0,33,0,57.0
4.754,10.0,0,13,0.071,0.0,0,18,26.546,4,8.359,45.0,40.0,1.032,1.131,0.664,0.659,334.34,12,40.0,26,0,42.0
4.757,11.5,1,21,0.091,1.9,0,24,35.347,6,8.067,46.2,40.4,1.017,1.114,0.68,0.665,419.46,18,52.0,34,0,55.0
4.764,9.3,0,19,0.088,0.0,0,25,36.409,5,7.491,46.3,44.4,1.004,1.112,0.674,0.646,404.49,18,54.0,33,0,57.0
4.775,10.0,0,13,0.071,0.0,0,18,28.023,4,9.431,45.0,42.5,1.012,1.11,0.701,0.666,377.25,12,40.0,25,1,42.0
5.137,8.8,0,25,0.125,0.0,0,32,46.148,6,7.509,47.1,44.1,1.003,1.11,0.679,0.65,510.62,24,68.0,42,0,72.0
5.585,8.8,0,25,0.125,0.0,0,32,46.148,6,7.509,47.1,44.1,1.003,1.11,0.679,0.65,510.62,24,68.0,42,0,72.0
4.889,9.3,0,19,0.105,0.0,0,25,36.409,5,7.491,46.3,44.4,1.004,1.112,0.674,0.646,404.49,18,54.0,33,0,57.0
4.559,6.6,3,20,0.092,4.9,0,27,40.972,4,7.501,44.3,44.3,1.004,1.12,0.672,0.643,457.57,17,61.0,38,0,65.0
5.481,7.0,4,20,0.082,7.0,0,25,38.455,4,7.799,43.9,42.1,1.01,1.123,0.675,0.653,444.53,17,57.0,37,0,61.0
6.699,3.9,4,14,0.074,7.8,0,21,33.358,2,8.205,41.2,41.2,1.028,1.149,0.654,0.646,418.46,12,51.0,33,0,54.0
5.377,8.0,5,16,0.094,10.0,0,20,32.938,4,7.909,40.0,42.0,1.018,1.133,0.659,0.644,395.46,12,50.0,32,0,53.0
5.387,1.9,5,14,0.091,9.6,0,21,34.097,1,6.991,40.4,48.1,0.994,1.132,0.656,0.617,363.51,12,52.0,30,0,55.0
4.64,3.4,4,20,0.097,6.9,0,26,39.307,2,7.354,44.8,44.8,0.996,1.12,0.678,0.643,426.56,18,58.0,36,0,62.0
5.208,3.5,4,14,0.1,7.0,0,23,37.069,2,6.887,40.4,49.1,0.994,1.13,0.65,0.611,392.55,12,57.0,32,0,60.0
5.456,2.0,4,14,0.093,7.8,0,21,34.739,1,7.462,41.2,47.1,0.993,1.123,0.681,0.632,380.56,12,51.0,30,0,54.0
5.921,6.3,4,20,0.09,6.3,0,27,41.978,4,7.501,42.9,44.4,1.005,1.124,0.666,0.639,472.59,17,63.0,39,0,67.0
6.328,5.4,4,15,0.085,7.1,0,23,36.762,3,7.259,41.1,46.4,1.002,1.128,0.656,0.625,406.53,12,56.0,33,0,59.0
5.77,4.8,4,21,0.09,6.3,0,28,42.523,3,7.438,44.4,44.4,1.0,1.121,0.675,0.644,468.6,18,63.0,39,0,67.0
5.027,6.7,4,15,0.111,6.7,0,24,38.978,4,7.276,40.0,46.7,1.005,1.13,0.65,0.621,436.56,12,60.0,35,0,63.0
6.092,3.7,4,14,0.088,7.4,0,22,35.307,2,7.01,40.7,48.1,0.996,1.129,0.654,0.617,378.52,12,54.0,31,0,57.0
4.561,3.1,4,20,0.103,6.3,0,28,42.83,2,7.103,43.8,46.9,0.993,1.122,0.669,0.631,454.62,18,64.0,38,0,68.0
7.046,3.9,4,14,0.093,7.8,0,21,33.546,2,7.147,41.2,47.1,0.998,1.129,0.658,0.623,364.49,12,51.0,30,0,54.0
6.796,3.7,4,14,0.088,7.4,0,22,35.307,2,7.01,40.7,48.1,0.996,1.129,0.654,0.617,378.52,12,54.0,31,0,57.0
4.559,6.0,3,14,0.094,6.0,0,21,32.995,3,7.309,42.0,46.0,1.002,1.126,0.66,0.63,365.47,12,50.0,30,0,53.0
4.523,2.8,3,17,0.077,8.3,0,17,25.04,1,7.704,47.2,41.7,0.998,1.117,0.696,0.665,277.35,17,36.0,24,0,39.0
8.17,11.9,0,16,0.044,0.0,0,19,28.125,5,7.771,45.2,42.9,1.014,1.114,0.67,0.65,326.37,16,42.0,27,0,45.0
5.462,0.0,5,18,0.096,10.2,0,21,32.881,0,7.051,42.9,46.9,0.989,1.127,0.671,0.63,345.49,18,49.0,29,0,52.0
5.059,0.0,5,24,0.122,10.9,0,22,32.358,0,7.684,47.8,41.3,0.993,1.117,0.703,0.669,353.46,24,46.0,30,0,49.0
4.917,2.1,5,18,0.08,10.6,0,20,31.574,1,7.393,42.6,44.7,0.998,1.128,0.672,0.639,347.46,18,47.0,29,0,50.0
5.428,2.1,5,24,0.12,10.6,0,22,32.813,1,7.861,46.8,40.4,1.0,1.119,0.698,0.67,369.46,24,47.0,31,0,50.0
5.726,0.0,5,18,0.091,9.6,0,22,34.643,0,6.914,42.3,48.1,0.987,1.128,0.666,0.623,359.52,18,52.0,30,0,55.0
5.176,0.0,5,24,0.102,10.9,0,22,32.358,0,7.684,47.8,41.3,0.993,1.117,0.703,0.669,353.46,24,46.0,30,0,49.0
5.013,0.0,6,24,0.125,13.3,0,21,31.603,0,7.877,46.7,40.0,0.998,1.122,0.702,0.673,354.45,24,45.0,30,0,48.0
5.597,0.0,5,30,0.105,9.4,0,27,38.12,0,7.84,50.9,39.6,0.992,1.11,0.719,0.685,415.53,30,53.0,36,0,57.0
5.154,0.0,6,24,0.111,14.3,0,20,29.841,0,8.105,47.6,38.1,1.001,1.121,0.711,0.685,340.42,24,42.0,29,0,45.0
5.633,0.0,5,24,0.109,11.6,0,21,31.455,0,8.695,48.8,37.2,1.003,1.115,0.732,0.7,373.87,24,43.0,30,0,46.0
5.859,0.0,5,24,0.103,9.1,0,25,37.642,0,7.192,45.5,45.5,0.988,1.121,0.684,0.643,395.55,24,55.0,33,0,58.0
5.585,0.0,5,24,0.102,10.9,0,22,32.358,0,7.684,47.8,41.3,0.993,1.117,0.703,0.669,353.46,24,46.0,30,0,49.0
5.536,0.0,5,24,0.102,10.9,0,22,32.358,0,7.684,47.8,41.3,0.993,1.117,0.703,0.669,353.46,24,46.0,30,0,49.0
5.382,2.1,5,24,0.12,10.6,0,22,32.813,1,7.861,46.8,40.4,1.0,1.119,0.698,0.67,369.46,24,47.0,31,0,50.0
4.975,2.5,5,18,0.143,12.5,0,17,27.051,1,7.685,42.5,42.5,1.003,1.13,0.676,0.65,307.39,18,40.0,25,0,42.0
5.096,2.1,5,18,0.1,10.6,0,20,31.574,1,7.393,42.6,44.7,0.998,1.128,0.672,0.639,347.46,18,47.0,29,0,50.0
5.351,0.0,7,29,0.083,15.9,0,22,32.086,0,8.578,50.0,34.1,1.006,1.117,0.729,0.71,377.44,29,44.0,33,0,48.0
5.527,0.0,5,18,0.12,10.4,0,20,31.881,0,6.947,41.7,47.9,0.989,1.13,0.664,0.622,333.48,18,48.0,27,0,50.0
5.289,0.0,5,18,0.116,12.5,0,18,27.597,0,7.585,45.0,42.5,0.995,1.125,0.69,0.657,303.4,18,40.0,26,0,43.0
5.638,0.0,5,24,0.096,10.2,0,23,34.12,0,7.5,46.9,42.9,0.991,1.119,0.696,0.66,367.49,24,49.0,31,0,52.0
5.593,0.0,5,18,0.091,9.6,0,22,34.643,0,6.914,42.3,48.1,0.987,1.128,0.666,0.623,359.52,18,52.0,30,0,55.0
5.821,0.0,5,30,0.105,9.4,0,27,38.12,0,7.84,50.9,39.6,0.992,1.11,0.719,0.685,415.53,30,53.0,36,0,57.0
5.319,8.6,2,12,0.167,5.7,0,14,22.705,3,7.438,40.0,45.7,1.011,1.129,0.649,0.625,260.32,11,35.0,20,0,36.0
4.668,6.3,2,12,0.118,6.3,0,14,21.489,2,7.572,43.8,43.8,1.005,1.122,0.672,0.645,242.3,11,32.0,20,0,34.0
5.021,2.0,6,18,0.115,12.2,0,20,32.58,1,7.398,40.8,44.9,1.0,1.133,0.665,0.634,362.48,18,49.0,30,0,52.0
5.147,1.9,6,18,0.127,11.5,0,21,34.341,1,7.241,40.4,46.2,0.998,1.133,0.66,0.627,376.51,18,52.0,31,0,55.0
4.826,0.0,6,18,0.063,13.3,0,19,30.364,0,7.388,42.2,44.4,0.995,1.131,0.675,0.64,332.45,18,45.0,28,0,48.0
5.195,0.0,6,24,0.089,14.3,0,20,29.841,0,8.105,47.6,38.1,1.001,1.121,0.711,0.685,340.42,24,42.0,29,0,45.0
5.331,0.0,6,24,0.111,14.3,0,20,29.841,0,8.105,47.6,38.1,1.001,1.121,0.711,0.685,340.42,24,42.0,29,0,45.0
5.595,6.3,1,14,0.119,1.6,0,27,41.245,4,6.882,42.9,49.2,0.995,1.12,0.655,0.616,433.59,12,63.0,36,0,67.0
6.921,6.5,2,15,0.122,2.6,0,32,49.989,5,6.892,41.6,49.4,0.997,1.124,0.649,0.612,530.72,12,77.0,44,0,82.0
4.699,5.1,2,15,0.095,3.4,0,26,39.273,3,7.06,44.1,47.5,0.994,1.119,0.666,0.628,416.56,12,59.0,35,0,63.0
4.699,5.8,2,20,0.108,2.9,0,31,46.25,4,7.198,44.9,46.4,0.997,1.117,0.67,0.635,496.65,17,69.0,42,0,74.0
4.699,4.4,2,15,0.097,2.9,0,29,44.557,3,6.745,42.6,50.0,0.99,1.122,0.655,0.612,458.65,12,68.0,38,0,72.0
5.873,4.1,3,21,0.114,4.1,0,33,49.563,3,7.05,44.6,47.3,0.992,1.118,0.67,0.63,521.71,18,74.0,44,0,79.0
5.971,5.1,3,15,0.108,3.8,0,32,50.54,4,6.792,41.0,50.0,0.994,1.126,0.648,0.608,529.74,12,78.0,44,0,83.0
5.733,4.0,4,20,0.125,5.3,0,32,49.569,3,6.996,42.7,48.0,0.994,1.124,0.661,0.622,524.72,17,75.0,44,0,80.0
4.803,6.1,1,14,0.129,1.5,0,28,43.006,4,6.782,42.4,50.0,0.993,1.121,0.652,0.611,447.62,12,66.0,37,0,70.0
6.131,6.6,1,15,0.108,1.6,0,27,40.483,4,7.075,44.3,47.5,0.996,1.117,0.664,0.627,431.57,12,61.0,36,0,65.0
5.22,8.2,1,15,0.14,2.0,0,21,32.199,4,7.213,42.9,46.9,1.003,1.12,0.657,0.626,353.45,12,49.0,27,0,50.0
5.983,6.6,1,15,0.145,1.6,0,25,39.245,4,6.714,41.0,50.8,0.995,1.124,0.643,0.603,409.57,12,61.0,31,0,62.0
5.664,6.6,1,15,0.108,1.6,0,27,40.483,4,7.075,44.3,47.5,0.996,1.117,0.664,0.627,431.57,12,61.0,36,0,65.0
5.385,6.3,1,15,0.103,1.6,0,28,42.245,4,6.962,43.8,48.4,0.995,1.118,0.66,0.622,445.6,12,64.0,37,0,68.0
4.699,8.1,1,15,0.106,1.6,0,27,40.938,5,7.219,43.5,46.8,1.002,1.119,0.66,0.629,447.57,12,62.0,37,0,66.0
4.699,6.9,1,15,0.097,1.7,0,26,38.722,4,7.199,44.8,46.6,0.998,1.116,0.668,0.633,417.54,12,58.0,35,0,62.0
5.928,6.6,1,16,0.092,1.6,0,26,41.131,4,7.404,42.6,47.5,0.998,1.116,0.674,0.63,451.63,12,61.0,36,0,65.0
5.623,6.7,2,16,0.094,3.3,0,25,40.375,4,7.544,41.7,46.7,1.001,1.119,0.673,0.632,452.62,12,60.0,36,0,64.0
6.086,6.3,1,15,0.118,1.6,0,28,42.245,4,6.962,43.8,48.4,0.995,1.118,0.66,0.622,445.6,12,64.0,37,0,68.0
5.735,7.4,1,15,0.139,1.5,0,29,44.461,5,6.995,42.6,48.5,0.998,1.12,0.654,0.618,475.63,12,68.0,39,0,72.0
5.582,5.6,2,15,0.132,2.8,0,30,46.773,4,6.787,41.7,50.0,0.994,1.124,0.65,0.609,488.68,12,72.0,40,0,76.0
5.87,5.3,2,15,0.123,2.6,0,32,49.535,4,6.773,42.1,50.0,0.992,1.122,0.652,0.61,514.72,12,76.0,43,0,81.0
6.427,7.0,1,14,0.098,1.8,0,25,37.722,4,7.115,43.9,47.4,0.998,1.118,0.662,0.627,405.53,12,57.0,34,0,61.0
5.125,3.3,2,17,0.063,3.3,0,26,40.438,2,7.284,43.3,48.3,0.993,1.12,0.674,0.628,437.02,16,60.0,35,0,64.0
8.523,0.0,4,27,0.073,7.8,0,25,36.733,0,8.097,49.0,41.2,0.994,1.111,0.72,0.679,412.95,27,51.0,34,0,55.0
5.509,8.6,1,14,0.097,1.7,0,25,38.176,5,7.268,43.1,46.6,1.004,1.12,0.658,0.628,421.53,12,58.0,35,0,62.0
4.523,2.8,3,17,0.077,8.3,0,17,25.04,1,7.704,47.2,41.7,0.998,1.117,0.696,0.665,277.35,17,36.0,24,0,39.0
4.523,5.7,3,17,0.051,8.6,0,17,24.733,2,8.324,48.6,37.1,1.011,1.114,0.707,0.689,291.33,17,35.0,26,0,39.0
5.854,2.8,3,17,0.077,8.3,0,17,25.04,1,7.704,47.2,41.7,0.998,1.117,0.696,0.665,277.35,17,36.0,24,0,39.0
5.215,2.8,3,17,0.077,8.3,0,17,25.04,1,7.704,47.2,41.7,0.998,1.117,0.696,0.665,277.35,17,36.0,24,0,39.0
5.495,5.0,3,17,0.093,7.5,0,18,27.256,2,7.684,45.0,42.5,1.004,1.121,0.681,0.655,307.38,17,40.0,26,0,43.0
6.569,5.7,3,17,0.051,8.6,0,17,24.733,2,8.324,48.6,37.1,1.011,1.114,0.707,0.689,291.33,17,35.0,26,0,39.0
7.854,5.3,3,17,0.048,7.9,0,18,26.495,2,8.036,47.4,39.5,1.007,1.116,0.697,0.675,305.36,17,38.0,27,0,42.0
7.469,7.1,3,17,0.065,7.1,0,19,28.71,3,7.985,45.2,40.5,1.011,1.12,0.684,0.664,335.39,17,42.0,29,0,46.0
6.086,3.6,0,1,0.069,0.0,0,20,33.853,2,5.474,35.7,60.7,0.976,1.134,0.605,0.543,306.54,0,56.0,24,0,58.0
4.523,3.6,0,1,0.069,0.0,0,20,33.853,2,5.474,35.7,60.7,0.976,1.134,0.605,0.543,306.54,0,56.0,24,0,58.0
4.523,6.0,3,19,0.111,4.5,0,29,44.495,4,7.248,43.3,46.3,1.0,1.122,0.664,0.631,485.63,17,67.0,41,0,72.0
4.627,4.5,3,20,0.097,4.5,0,30,45.898,3,7.703,44.8,44.8,1.0,1.118,0.685,0.648,516.08,18,67.0,42,0,72.0
4.523,4.2,4,20,0.117,5.6,0,31,47.807,3,7.093,43.1,47.2,0.995,1.123,0.664,0.627,510.69,18,72.0,43,0,77.0
5.469,4.2,4,20,0.117,5.6,0,31,47.807,3,7.093,43.1,47.2,0.995,1.123,0.664,0.627,510.69,18,72.0,43,0,77.0
5.627,5.3,3,14,0.098,5.3,0,24,37.517,3,7.115,42.1,47.4,0.998,1.125,0.658,0.623,405.54,12,57.0,34,0,61.0
5.265,6.8,2,14,0.111,3.4,0,25,38.728,4,7.128,42.4,47.5,1.0,1.123,0.656,0.623,420.55,12,59.0,35,0,63.0
5.0,4.1,5,19,0.128,6.8,0,30,47.813,3,7.037,41.1,47.9,0.997,1.128,0.655,0.619,513.7,17,73.0,43,0,78.0
6.67,8.0,5,25,0.055,10.0,0,24,35.415,4,8.789,48.0,34.0,1.022,1.116,0.708,0.703,439.46,23,50.0,38,0,55.0
5.699,5.1,2,21,0.095,5.1,0,19,27.25,2,7.804,48.7,41.0,1.001,1.111,0.699,0.671,304.37,21,39.0,26,0,42.0
4.523,2.8,3,17,0.077,8.3,0,17,25.04,1,7.704,47.2,41.7,0.998,1.117,0.696,0.665,277.35,17,36.0,24,0,39.0
4.523,2.8,3,17,0.077,8.3,0,17,25.04,1,7.704,47.2,41.7,0.998,1.117,0.696,0.665,277.35,17,36.0,24,0,39.0
5.442,6.7,1,14,0.109,1.7,0,26,39.483,4,6.993,43.3,48.3,0.996,1.119,0.658,0.621,419.56,12,60.0,35,0,64.0
4.971,11.9,0,16,0.022,0.0,0,19,28.125,5,7.771,45.2,42.9,1.014,1.114,0.67,0.65,326.37,16,42.0,27,0,45.0
5.469,3.6,0,1,0.069,0.0,0,20,33.853,2,5.474,35.7,60.7,0.976,1.134,0.605,0.543,306.54,0,56.0,24,0,58.0
