pXC50,C.016,NdsCH,nR.Cs,SdsCH,SpMin1_Bh.s.,JGI4,ATSC6p,nCrs,N.,ATSC5p,Hy,CATS2D_06_LL,CATS2D_03_AA,Eta_sh_y,BIC3,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SM09_EA.ri.,P_VSA_LogP_6,Eta_C_A,H.050,nHDon,SAdon,SpMin2_Bh.m.,SpMin1_Bh.m.,ATSC6v,MCD,P_VSA_e_3,ATSC5v,nCs,SpMin1_Bh.v.,MPC10,X5v,SM05_EA.ri.,SM04_AEA.ed.,MWC07,PCD,SM05_EA,SM07_EA.ri.,SM05_AEA.ed.,DBI,Eig03_EA.bo.,SM13_AEA.ri.,SM08_EA.ri.,SpMin3_Bh.i.,Eig01_AEA.ed.,SpMax_AEA.ed.,SssssC,CATS2D_05_LL,MATS1m,SM03_EA.ri.,CIC3,MWC08,SM15_EA.ri.,Eig02_EA.ed.,SM11_AEA.dm.,GATS3s,ATS6i,MWC09,SM06_AEA.ed.,SM08_AEA.ed.,SM07_AEA.ed.,SpMin3_Bh.v.,P_VSA_i_4,D.Dtr05,SpMin3_Bh.m.
5.495,0,0,0,0.0,1.46,0.019,13.569,6,2.3,11.377,-0.931,20,0,0.309,0.749,3.212,5.212,3.212,10.818,0.0,1.032,0,0,0.0,1.998,2.099,19.423,0.947,3.124,16.439,7,2.084,4.111,3.347,6.192,8.76,9.164,0.887,6.275,8.525,10.508,2.345,2.702,2.702,9.8,1.574,6.814,6.814,0.0,20,0.098,3.708,1.233,10.08,17.686,9.878,9.878,0.882,5.248,10.993,12.302,15.968,14.124,1.799,3.124,45.596,1.853
4.0,0,0,0,0.0,1.478,0.032,9.676,2,3.8,11.485,-0.484,8,0,0.227,0.829,2.896,4.896,2.896,10.091,47.976,0.835,1,1,16.786,2.031,2.114,13.887,0.808,19.91,16.549,4,2.088,4.331,2.772,5.872,8.708,9.08,3.811,5.969,8.011,10.341,2.828,3.312,3.312,9.315,1.749,6.193,6.193,0.0,11,0.064,3.549,0.707,9.924,16.29,7.788,7.788,0.947,4.888,10.764,12.013,15.428,13.711,1.957,19.91,71.501,1.979
4.292,0,0,0,0.0,1.248,0.047,11.049,1,4.3,11.461,0.262,8,0,0.249,0.786,3.865,5.865,3.865,12.19,0.0,1.043,2,2,32.897,1.925,2.026,16.709,0.45,36.022,16.877,3,2.006,2.565,2.007,6.84,9.124,9.324,1.023,6.868,9.512,11.057,4.0,2.753,2.753,10.881,1.577,8.364,8.364,-0.372,11,0.027,4.082,1.066,10.29,20.28,8.366,8.366,0.995,5.207,11.259,13.051,17.144,15.084,1.883,36.022,0.0,1.909
4.523,0,0,0,0.0,1.194,0.056,8.086,0,8.9,9.25,1.032,0,3,0.404,0.892,3.193,5.193,3.193,11.015,23.542,0.82,3,3,78.705,1.833,2.011,7.53,0.5,41.045,9.828,0,2.069,5.198,2.044,6.618,9.349,9.561,2.337,6.957,8.817,11.139,4.416,3.538,3.538,10.008,1.523,7.299,7.299,-4.809,3,-0.013,4.304,0.3,10.486,17.729,11.026,11.026,0.779,4.99,11.399,12.969,16.707,14.827,1.761,85.925,76.356,1.666
5.097,0,0,0,0.0,1.193,0.055,6.369,0,8.6,7.244,0.431,0,3,0.395,0.855,3.191,5.191,3.191,10.928,23.542,0.719,2,2,60.694,1.67,2.011,5.206,0.6,23.034,6.329,0,2.069,4.771,1.664,6.473,9.237,9.442,2.114,6.858,8.705,11.044,3.742,3.392,3.392,9.905,1.438,7.298,7.298,-4.724,2,-0.02,4.12,0.422,10.371,17.685,11.026,11.026,0.702,4.769,11.287,12.891,16.656,14.764,1.622,67.914,57.718,1.666
4.523,0,0,0,0.0,1.194,0.052,9.661,0,9.3,10.462,1.605,2,3,0.362,0.881,3.193,5.193,3.193,11.067,27.818,0.8,4,4,96.716,2.01,2.012,9.059,0.583,59.056,10.839,0,2.069,5.357,2.438,6.686,9.458,9.694,3.198,7.022,8.88,11.23,4.583,3.539,3.539,10.089,1.595,7.299,7.299,-4.841,2,-0.01,4.367,0.361,10.607,17.749,11.026,11.026,0.71,5.155,11.509,13.044,16.758,14.889,1.812,103.936,97.436,1.799
4.959,0,0,0,0.0,1.157,0.052,4.98,0,8.8,5.475,0.431,0,2,0.325,0.804,3.12,5.12,3.12,10.786,0.0,0.677,2,2,59.088,1.992,2.003,3.484,0.64,49.976,3.716,0,2.09,4.477,2.24,6.354,9.167,9.311,3.193,6.77,8.58,10.964,3.674,3.701,3.701,9.791,1.547,7.31,7.31,0.0,0,0.055,4.018,0.61,10.21,17.431,10.174,10.174,0.979,4.216,11.094,12.801,16.555,14.668,1.719,49.976,0.0,1.5
4.523,0,0,0,0.0,1.194,0.054,10.496,0,9.3,10.786,1.605,2,3,0.363,0.89,3.193,5.193,3.193,11.072,27.818,0.877,4,4,96.716,1.962,2.011,8.905,0.568,105.01,10.57,0,2.069,5.375,2.751,6.699,9.496,9.725,3.238,7.066,8.888,11.264,4.637,3.629,3.629,10.095,1.595,7.299,7.299,-4.846,2,-0.01,4.389,0.31,10.636,17.751,11.026,11.026,0.718,5.153,11.538,13.074,16.778,14.914,1.809,103.936,101.808,1.797
5.0,0,0,0,0.0,1.174,0.056,3.407,0,14.3,4.104,0.508,0,2,0.425,0.756,3.061,5.061,3.061,10.365,23.542,0.504,2,2,85.367,1.67,2.05,3.249,0.75,41.14,3.906,0,2.128,4.29,1.211,6.031,8.85,9.144,3.279,6.312,8.207,10.592,2.55,3.481,3.481,9.41,1.438,6.699,6.699,0.0,2,-0.016,3.714,0.786,10.047,16.906,9.223,9.223,0.528,4.203,10.949,12.369,15.982,14.167,1.622,41.14,44.506,1.59
4.523,0,0,0,0.0,1.181,0.05,8.123,0,11.3,9.16,1.633,2,4,0.394,0.875,3.158,5.158,3.158,10.941,27.818,0.71,4,4,96.716,2.011,2.017,8.614,0.6,64.726,10.227,0,2.095,5.308,2.355,6.599,9.318,9.627,3.296,6.758,8.776,11.046,4.243,3.626,3.626,9.986,1.595,6.842,6.842,0.0,2,0.008,4.286,0.354,10.531,17.556,10.388,10.388,0.774,5.058,11.429,12.812,16.418,14.605,1.814,64.726,95.677,1.799
4.523,0,0,0,0.0,1.194,0.052,10.097,0,8.8,11.258,1.579,1,3,0.351,0.86,3.193,5.193,3.193,11.072,27.818,0.828,4,4,96.716,2.011,2.04,10.113,0.568,59.056,12.631,0,2.069,5.342,2.546,6.696,9.463,9.699,3.175,7.022,8.888,11.232,4.69,3.538,3.538,10.098,1.6,7.299,7.299,-4.839,2,-0.005,4.374,0.518,10.609,17.75,11.026,11.026,0.693,5.218,11.51,13.045,16.756,14.889,1.827,103.936,102.214,1.804
4.523,0,0,0,0.0,1.194,0.052,9.476,0,10.7,10.798,1.605,2,3,0.392,0.871,3.193,5.193,3.193,11.157,27.818,0.794,4,4,96.716,2.008,2.012,8.654,0.538,64.726,10.716,0,2.069,5.394,2.54,6.804,9.555,9.772,3.468,7.124,8.985,11.325,4.95,3.777,3.777,10.181,1.596,7.299,7.299,-4.887,2,-0.007,4.495,0.406,10.682,17.798,11.026,11.026,0.689,5.173,11.582,13.134,16.834,14.973,1.821,109.606,110.643,1.799
4.733,0,0,0,0.0,1.451,0.111,0.084,3,5.9,0.614,2.001,0,0,0.14,0.783,3.37,5.37,3.37,10.925,0.0,0.687,3,3,75.581,1.266,2.078,0.179,0.5,32.897,1.206,3,2.059,0.0,0.151,5.989,8.22,7.985,0.167,6.089,8.476,10.135,2.449,0.802,0.802,9.741,0.495,7.414,7.414,-0.861,0,-0.07,3.366,0.824,8.859,18.224,3.761,3.761,0.749,1.365,9.716,12.089,16.051,14.064,1.117,32.897,0.0,1.079
6.125,0,0,0,0.0,1.067,0.0,0.105,2,11.8,0.398,3.138,0,0,0.5,0.924,2.992,4.793,2.992,9.861,0.0,0.638,4,4,118.386,1.539,1.768,0.29,0.556,32.897,1.05,2,1.791,0.0,0.257,5.44,8.023,8.051,0.176,5.602,7.662,9.784,1.414,1.632,1.632,8.82,0.461,6.523,6.523,0.0,0,-0.078,3.115,0.235,8.91,16.438,5.687,5.687,0.99,1.682,9.763,11.573,15.203,13.381,1.092,32.897,22.367,0.992
4.0,0,0,0,0.0,1.147,0.047,1.428,0,8.7,2.272,2.566,0,0,0.444,0.876,2.961,4.899,2.961,9.955,5.449,0.668,4,4,118.264,1.657,1.886,2.531,0.385,52.494,3.726,2,1.893,0.0,0.497,5.65,8.234,8.324,1.052,5.771,7.819,9.963,2.915,2.224,2.224,8.981,1.129,6.436,6.436,0.0,0,-0.058,3.349,0.381,9.174,16.368,7.315,7.315,0.876,3.86,10.021,11.724,15.302,13.505,1.441,52.494,38.214,1.312
5.0,0,0,0,0.0,1.455,0.036,13.311,3,1.8,15.173,-0.874,3,0,0.191,0.758,3.44,5.44,3.44,11.233,11.771,0.984,0,0,0.0,2.064,2.123,19.348,0.808,3.124,21.623,5,2.119,4.868,3.443,6.428,9.074,9.346,2.022,6.594,8.832,10.876,3.082,3.032,3.032,10.139,1.681,7.719,7.719,-0.161,5,0.085,3.907,1.234,10.253,18.552,8.112,8.112,1.219,5.357,11.152,12.743,16.606,14.657,1.915,3.124,0.0,1.932
5.0,0,0,0,0.0,1.418,0.035,10.703,2,2.2,11.557,-0.858,5,0,0.217,0.743,3.488,5.488,3.488,11.353,11.771,0.865,0,0,0.0,2.02,2.084,15.175,0.87,3.124,16.189,2,2.073,4.913,3.025,6.471,9.077,9.361,2.09,6.635,8.915,10.901,2.739,3.003,3.003,10.222,1.68,7.751,7.751,-0.162,6,0.09,3.907,1.225,10.285,18.761,9.024,9.024,0.998,5.055,11.206,12.785,16.669,14.712,1.894,3.124,45.974,1.908
5.0,0,0,0,0.0,1.45,0.041,12.398,3,2.0,13.458,-0.864,5,0,0.207,0.755,3.44,5.44,3.44,11.236,11.771,0.916,0,0,0.0,2.039,2.123,17.628,0.875,3.124,18.957,3,2.12,4.956,3.227,6.427,9.058,9.333,2.086,6.594,8.832,10.868,2.739,3.029,3.029,10.134,1.646,7.719,7.719,-0.178,6,0.088,3.907,1.191,10.248,18.554,8.131,8.131,1.238,5.225,11.153,12.739,16.607,14.656,1.872,3.124,0.0,1.897
6.432,1,1,1,2.013,1.556,0.054,8.551,3,2.6,11.337,-0.389,6,0,0.389,0.894,3.235,5.235,3.235,10.705,0.0,0.946,1,1,42.683,1.877,2.172,12.311,0.722,3.124,16.382,3,2.157,4.419,2.996,6.104,8.785,9.121,1.328,6.217,8.411,10.545,2.345,2.687,2.687,9.678,1.478,6.868,6.868,0.0,9,0.052,3.678,0.378,10.04,17.652,9.169,9.169,0.719,4.929,10.957,12.341,16.001,14.162,1.725,3.124,0.0,1.779
4.0,0,0,0,0.0,1.149,0.071,4.012,0,8.3,4.506,-0.107,1,2,0.431,0.826,3.087,5.087,3.087,10.285,0.0,0.72,1,1,18.011,1.773,1.97,3.804,0.625,21.135,4.237,0,2.031,2.944,1.331,5.861,8.685,8.907,1.467,6.176,8.081,10.45,2.121,2.902,2.902,9.288,1.263,6.781,6.781,0.0,1,-0.005,3.524,0.531,9.809,16.954,8.393,8.393,0.717,3.917,10.71,12.245,15.889,14.059,1.516,21.135,0.0,1.377
6.636,0,0,0,0.0,1.482,0.041,12.908,3,3.6,14.329,0.157,9,0,0.339,0.832,3.025,5.025,3.025,10.592,0.0,0.976,2,2,60.694,2.03,2.118,18.529,0.778,21.135,20.538,6,2.096,4.691,3.136,6.276,9.002,9.304,2.098,6.399,8.454,10.704,3.24,3.211,3.211,9.698,1.742,6.546,6.546,0.0,10,0.044,3.941,0.768,10.18,17.007,9.365,9.365,0.904,5.272,11.052,12.441,15.985,14.204,1.938,21.135,70.749,1.963
6.222,0,0,0,0.0,1.478,0.047,10.707,3,3.8,11.969,0.194,5,0,0.345,0.839,2.994,4.994,2.994,10.439,14.96,0.913,2,2,60.694,2.018,2.109,14.776,0.778,21.135,17.029,5,2.09,4.691,3.073,6.198,8.944,9.263,2.151,6.33,8.335,10.611,3.0,3.137,3.137,9.583,1.732,6.305,6.305,0.0,6,0.034,3.917,0.707,10.131,16.771,8.458,8.458,0.863,5.074,10.994,12.31,15.768,14.031,1.931,36.095,71.572,1.945
4.0,0,0,0,0.0,1.236,0.045,0.587,2,22.7,0.97,1.688,0,0,0.353,0.905,2.884,4.835,2.884,9.728,0.0,0.655,3,3,77.235,1.694,1.847,1.56,0.769,84.418,2.175,2,1.832,1.609,0.727,5.49,8.181,8.445,0.952,5.638,7.635,9.881,2.121,2.235,2.235,8.817,0.941,6.232,6.232,0.0,0,0.004,3.136,0.182,9.304,15.984,7.842,7.842,0.801,3.409,10.161,11.618,15.155,13.379,1.518,84.418,67.003,1.248
4.0,0,0,0,0.0,1.428,0.044,8.634,2,6.0,10.111,0.882,3,0,0.259,0.837,3.172,5.172,3.172,10.845,51.165,0.848,3,3,102.152,2.011,2.085,11.393,0.75,36.695,14.198,3,2.077,4.595,2.649,6.396,9.08,9.308,3.853,6.635,8.629,10.805,3.24,3.374,3.374,9.873,1.737,6.998,6.998,-0.741,6,0.015,4.037,0.64,10.184,17.561,9.514,9.514,1.065,4.83,11.043,12.574,16.204,14.376,1.94,51.655,77.09,1.946
5.086,0,0,0,0.0,1.395,0.033,11.079,2,2.3,11.271,-0.891,10,1,0.235,0.781,3.151,5.151,3.151,10.421,0.0,0.819,0,0,0.0,1.975,2.131,15.668,0.762,3.124,16.139,2,2.121,4.304,2.395,5.825,8.639,9.034,2.18,5.943,8.144,10.371,2.55,2.589,2.589,9.454,1.533,6.899,6.899,0.0,12,0.073,3.359,1.008,9.928,17.244,8.054,8.054,1.078,5.05,10.822,12.156,15.822,13.976,1.834,3.124,0.0,1.848
4.523,0,0,0,0.0,1.275,0.048,1.517,2,4.8,3.683,-0.161,0,0,0.287,0.861,2.851,4.79,2.851,9.413,13.13,0.777,1,1,18.011,1.673,1.979,1.939,0.9,18.011,4.634,2,1.976,0.0,1.412,5.125,7.983,8.253,0.969,5.398,7.292,9.706,1.225,1.816,1.816,8.495,1.125,6.46,6.46,0.0,0,0.085,2.809,0.417,9.119,15.712,5.665,5.665,1.138,3.192,9.979,11.472,15.081,13.267,1.434,18.011,14.765,1.455
5.602,0,0,0,0.0,1.358,0.034,6.753,2,2.9,7.934,-0.389,8,0,0.286,0.804,3.089,5.089,3.089,10.297,0.0,0.668,1,1,18.011,1.956,2.122,9.582,0.889,18.011,11.417,2,2.111,4.094,1.889,5.797,8.555,8.899,2.277,5.889,8.069,10.272,1.871,2.866,2.866,9.359,1.38,6.689,6.689,0.0,11,0.06,3.374,0.764,9.778,16.976,7.846,7.846,0.853,4.55,10.658,12.033,15.639,13.825,1.669,18.011,0.0,1.696
5.119,0,0,0,0.0,1.343,0.027,6.004,2,3.6,7.039,-0.33,5,0,0.259,0.864,3.047,5.047,3.047,10.076,13.13,0.696,1,1,18.011,1.713,2.095,7.285,1.0,18.011,8.629,2,2.084,3.526,1.968,5.565,8.394,8.761,1.992,5.74,7.846,10.122,1.414,2.304,2.304,9.126,1.392,6.689,6.689,0.0,8,0.076,3.118,0.357,9.643,16.731,7.781,7.781,0.912,4.164,10.525,11.898,15.537,13.707,1.605,18.011,30.206,1.653
4.77,0,0,0,0.0,1.343,0.037,4.106,2,3.7,6.904,-0.244,0,0,0.321,0.803,2.953,4.897,2.953,9.812,13.13,0.94,1,1,18.011,1.834,2.023,5.596,0.75,18.011,8.122,2,2.009,1.946,1.898,5.461,8.227,8.487,0.957,5.673,7.656,9.973,2.121,1.817,1.817,8.853,1.317,6.644,6.644,0.0,4,0.088,3.118,0.797,9.365,16.264,7.045,7.045,1.009,4.12,10.24,11.76,15.409,13.575,1.492,18.011,19.508,1.471
4.481,0,0,0,0.0,1.368,0.06,4.978,0,12.9,6.106,2.036,0,1,0.422,0.832,3.303,5.303,3.303,11.135,0.0,0.603,4,4,116.658,1.716,2.155,3.693,0.609,70.533,4.356,0,2.22,4.97,2.267,6.569,9.246,9.455,3.858,6.868,8.852,11.069,3.606,3.928,3.928,10.07,1.425,7.373,7.373,0.0,1,0.118,4.19,0.387,10.395,18.094,10.926,10.926,0.753,4.542,11.324,12.928,16.715,14.812,1.702,70.533,0.0,1.465
5.495,0,0,0,0.0,1.188,0.054,3.747,0,4.0,4.578,1.309,1,0,0.44,0.905,3.187,5.187,3.187,10.522,4.901,0.659,3,3,102.152,1.758,1.999,3.166,0.529,16.786,4.44,1,2.007,2.773,1.289,5.979,8.638,8.926,2.322,6.133,8.25,10.383,3.082,2.857,2.857,9.494,1.249,6.838,6.838,0.0,1,-0.054,3.63,0.08,9.839,17.406,7.915,7.915,0.916,4.035,10.74,12.165,15.807,13.975,1.515,16.786,33.111,1.418
4.602,0,0,0,0.0,1.18,0.052,4.873,0,11.8,5.931,0.461,0,4,0.443,0.844,3.156,5.156,3.156,10.783,23.542,0.609,2,2,60.694,1.67,2.017,4.504,0.625,28.704,5.586,0,2.095,4.71,1.581,6.366,9.059,9.355,2.241,6.538,8.58,10.819,3.317,3.478,3.478,9.78,1.438,6.841,6.841,0.0,2,0.005,4.016,0.412,10.273,17.478,10.357,10.357,0.758,4.624,11.187,12.615,16.272,14.434,1.622,28.704,55.959,1.67
4.523,0,0,0,0.0,1.175,0.052,6.625,0,12.8,7.374,1.696,2,2,0.377,0.831,3.067,5.067,3.067,10.597,27.818,0.63,4,4,121.388,2.011,2.05,7.257,0.677,77.162,8.495,0,2.128,5.056,1.985,6.344,9.16,9.47,4.327,6.581,8.481,10.87,3.674,3.65,3.65,9.696,1.595,6.704,6.704,0.0,2,-0.001,4.065,0.569,10.36,17.041,9.249,9.249,0.637,4.806,11.248,12.615,16.173,14.384,1.81,77.162,84.224,1.799
4.523,0,0,0,0.0,1.194,0.051,9.617,0,8.8,11.308,1.58,2,3,0.362,0.866,3.193,5.193,3.193,11.242,27.818,0.859,4,4,96.716,2.001,2.011,8.824,0.525,59.056,10.849,0,2.069,5.403,2.583,6.873,9.667,9.82,3.321,7.314,9.063,11.466,5.244,3.777,3.777,10.256,1.596,7.299,7.299,-9.464,2,-0.021,4.561,0.483,10.735,17.882,11.657,11.657,0.662,5.186,11.632,13.305,17.062,15.173,1.814,148.816,115.06,1.799
4.523,0,0,0,0.0,1.194,0.05,10.028,0,7.7,10.525,0.905,4,3,0.371,0.876,3.193,5.193,3.193,11.149,23.542,0.799,3,3,78.705,2.011,2.021,9.584,0.6,41.045,10.598,0,2.069,5.371,2.439,6.735,9.47,9.696,3.223,7.04,8.951,11.251,4.472,3.67,3.67,10.16,1.584,7.299,7.299,-4.833,5,-0.007,4.382,0.375,10.61,17.821,11.026,11.026,0.689,5.132,11.516,13.073,16.795,14.923,1.791,85.925,92.643,1.79
6.249,0,0,0,0.0,1.528,0.009,13.268,8,2.3,13.158,-0.927,14,0,0.101,0.694,3.504,5.504,3.504,11.285,0.0,1.047,0,0,0.0,2.008,2.149,18.972,1.0,3.124,18.984,8,2.128,3.367,3.136,6.209,8.797,8.993,0.942,6.365,8.766,10.686,2.0,2.142,2.142,10.107,1.673,7.962,7.962,0.375,19,0.078,3.514,1.552,9.899,18.809,6.623,6.623,0.873,5.295,10.803,12.646,16.68,14.65,1.903,3.124,0.0,1.951
4.0,0,0,0,0.0,1.147,0.047,1.428,0,8.7,2.272,2.566,0,0,0.444,0.876,2.961,4.899,2.961,9.955,5.449,0.668,4,4,118.264,1.657,1.886,2.531,0.385,52.494,3.726,2,1.893,0.0,0.497,5.65,8.234,8.324,1.052,5.771,7.819,9.963,2.915,2.224,2.224,8.981,1.129,6.436,6.436,0.0,0,-0.058,3.349,0.381,9.174,16.368,7.315,7.315,0.876,3.86,10.021,11.724,15.302,13.505,1.441,52.494,38.214,1.312
5.796,0,0,0,0.0,1.19,0.048,4.964,0,3.2,5.85,0.445,2,0,0.391,0.884,3.188,5.188,3.188,10.534,4.901,0.743,2,2,59.469,1.821,1.999,5.386,0.474,16.786,6.417,1,2.008,3.401,1.384,5.994,8.685,8.983,2.3,6.155,8.266,10.424,3.391,2.883,2.883,9.51,1.422,6.839,6.839,0.0,2,-0.012,3.63,0.282,9.893,17.412,7.92,7.92,0.888,4.316,10.792,12.201,15.834,14.007,1.736,16.786,39.233,1.733
5.056,0,0,0,0.0,1.296,0.02,5.1,2,3.6,6.602,-0.33,6,0,0.259,0.831,2.995,4.995,2.995,9.98,13.13,0.697,1,1,18.011,1.892,2.057,6.523,1.0,18.011,7.961,2,2.045,3.611,2.167,5.542,8.394,8.762,1.996,5.74,7.79,10.122,1.414,2.333,2.333,9.063,1.377,6.693,6.693,0.0,8,0.076,3.118,0.527,9.646,16.503,7.791,7.791,0.931,4.073,10.529,11.898,15.538,13.707,1.515,18.011,25.241,1.483
4.77,0,0,0,0.0,1.37,0.044,5.996,2,3.3,9.325,-0.822,0,0,0.356,0.796,3.025,4.969,3.025,10.036,13.13,1.004,0,0,0.0,1.841,2.033,8.15,0.692,3.124,11.004,2,2.025,2.079,2.102,5.634,8.408,8.649,0.956,5.889,7.847,10.174,2.236,1.985,1.985,9.042,1.328,6.831,6.831,0.0,4,0.101,3.295,0.875,9.545,16.625,7.601,7.601,1.04,4.549,10.431,11.981,15.668,13.815,1.563,3.124,22.365,1.598
