pXC50,ATSC3i,IC5,TIC5,ATSC4i,TIC4,ATSC4m,CATS2D_08_LL,ATS2e,ATS4e,ATSC2p,ATS3e,ATS2i,ATS2v,SpMin4_Bh.e.,SpMin8_Bh.p.,SpMin4_Bh.v.,SpMin4_Bh.i.,ATS3v,TIC3,ATSC5i,ATSC2i,SpMin3_Bh.p.,ATS8v,X2v,ATSC4p,ATS1i,ATS1v,X1Kup,BLTA96,BLTD48,BLTF96,MLOGP,MLOGP2,IC4,X1v,CATS2D_09_LL,X1MulPer,ATS1e,ATSC1i,ATS3p,SpMax6_Bh.m.,X1Per,CATS2D_07_LL,ATS5e,Chi1_EA.bo.,Psi_i_1,ATS5i,SpMin4_Bh.p.,ATS2p,Sv,ATSC8i,ATS4i,SpMin2_Bh.v.,SpMax8_Bh.i.,ATSC3v,ATSC2m,ATS1p,SpMin4_Bh.s.,Si,ATSC4v,nBT,SpMin3_Bh.v.,SpMax6_Bh.e.,SpMax7_Bh.i.,H.046
7.721,2.327,5.618,365.189,2.771,365.189,58.446,10,4.89,5.539,12.514,5.301,5.069,4.236,1.635,1.42,1.815,1.588,4.491,355.679,2.708,1.617,1.905,3.992,10.61,22.171,4.379,3.755,11.692,-4.99,-4.9,-4.59,3.764,14.169,5.618,11.796,8,11.324,4.252,0.915,4.611,3.203,9.321,13,5.597,15.275,21.066,5.893,1.796,4.316,38.616,1.668,5.794,2.003,3.274,25.772,30.084,3.806,1.061,73.268,32.149,69,1.917,3.32,3.309,19
7.027,2.337,5.604,353.059,2.733,353.059,57.751,10,4.852,5.529,12.156,5.292,5.032,4.22,1.636,1.383,1.816,1.588,4.473,341.549,2.607,1.619,1.906,3.95,10.504,21.727,4.358,3.729,11.4,-4.79,-4.7,-4.42,3.56,12.673,5.604,11.472,8,11.072,4.222,0.92,4.599,3.196,9.098,13,5.564,14.852,20.661,5.863,1.797,4.307,37.396,1.661,5.792,2.013,3.196,25.651,28.743,3.785,1.06,71.142,31.755,67,1.918,3.3,3.308,19
7.457,2.563,5.621,399.122,3.056,399.122,61.695,16,4.958,5.601,13.713,5.386,5.129,4.363,1.745,1.428,1.874,1.709,4.601,380.858,3.04,1.747,1.928,4.066,11.822,24.558,4.463,3.888,13.282,-6.26,-6.1,-5.66,5.029,25.29,5.621,13.344,20,12.905,4.337,0.976,4.728,3.241,10.615,18,5.649,16.913,23.969,5.94,1.862,4.453,43.428,1.881,5.855,2.07,3.307,28.562,31.245,3.948,1.187,79.474,34.977,76,1.936,3.414,3.329,19
8.167,2.24,5.447,332.265,2.667,332.265,58.663,10,4.832,5.5,12.019,5.275,5.005,4.221,1.635,1.373,1.813,1.587,4.47,322.755,2.599,1.533,1.9,3.919,10.822,21.972,4.316,3.728,11.34,-5.78,-5.64,-5.26,4.552,20.72,5.447,11.751,12,10.982,4.191,0.853,4.601,3.227,8.993,16,5.541,14.846,20.656,5.838,1.791,4.311,37.202,1.585,5.757,1.994,3.193,25.269,27.829,3.788,1.058,68.587,31.196,65,1.914,3.293,3.308,19
7.889,2.284,5.607,347.65,2.703,347.65,57.529,10,4.841,5.52,12.098,5.287,5.013,4.213,1.635,1.376,1.814,1.587,4.468,336.141,2.61,1.569,1.903,3.942,10.396,21.424,4.336,3.723,11.336,-4.79,-4.7,-4.42,3.56,12.673,5.607,11.413,8,11.024,4.21,0.878,4.587,3.189,9.041,15,5.562,14.826,20.595,5.858,1.794,4.295,37.089,1.635,5.775,1.999,3.193,25.264,28.072,3.774,1.048,69.853,31.007,66,1.916,3.29,3.308,19
7.284,2.284,5.607,347.65,2.696,347.65,57.214,10,4.841,5.516,12.098,5.286,5.013,4.213,1.635,1.377,1.814,1.587,4.465,338.141,2.6,1.569,1.903,3.935,10.429,21.552,4.336,3.723,11.33,-4.79,-4.7,-4.42,3.56,12.673,5.607,11.407,8,11.015,4.21,0.878,4.587,3.194,9.034,13,5.555,14.852,20.59,5.85,1.794,4.295,37.089,1.608,5.774,2.0,3.193,25.225,28.072,3.774,1.048,69.853,31.264,66,1.916,3.294,3.308,19
5.377,2.619,5.059,369.328,3.125,361.328,69.33,8,5.014,5.72,14.349,5.437,5.223,4.282,1.613,1.465,1.811,1.554,4.582,343.818,3.13,1.818,1.961,4.078,12.089,26.252,4.48,3.782,12.594,-6.51,-6.33,-5.87,5.276,27.833,4.95,12.676,8,12.044,4.339,1.025,4.719,3.23,9.996,14,5.814,15.56,21.586,6.106,1.798,4.388,40.723,2.055,5.979,2.006,3.261,30.33,35.4,3.861,1.184,82.929,38.272,76,1.952,3.415,3.441,24
7.721,2.605,5.676,414.347,3.092,414.347,63.617,13,4.984,5.625,13.929,5.41,5.149,4.394,1.768,1.453,1.908,1.731,4.629,396.083,3.055,1.78,1.945,4.103,12.151,24.727,4.488,3.923,13.722,-6.12,-5.97,-5.55,4.891,23.922,5.676,13.799,14,13.344,4.367,0.998,4.744,3.268,10.97,19,5.657,17.657,24.862,5.939,1.893,4.475,45.143,1.961,5.871,2.051,3.309,28.541,31.298,3.976,1.139,81.683,34.723,78,1.953,3.416,3.366,19
8.252,2.633,5.59,357.735,3.152,357.735,61.344,12,4.91,5.568,12.824,5.314,5.079,4.264,1.636,1.434,1.816,1.588,4.515,346.226,2.924,2.318,1.907,4.099,10.922,22.321,4.374,3.771,11.868,-6.08,-5.93,-5.51,4.853,23.548,5.59,12.007,10,11.597,4.251,1.13,4.615,3.24,9.463,17,5.619,16.373,21.92,5.909,1.797,4.322,39.051,2.336,5.818,2.016,3.308,25.205,29.632,3.804,1.098,73.078,31.27,68,1.918,3.319,3.335,19
7.688,2.259,5.578,340.265,2.694,340.265,63.922,14,4.831,5.499,12.214,5.273,5.003,4.226,1.635,1.374,1.813,1.588,4.476,330.755,2.633,1.535,1.899,3.973,11.304,22.412,4.314,3.733,11.359,-5.88,-5.74,-5.34,4.653,21.649,5.578,12.166,10,10.982,4.189,0.85,4.614,3.238,8.995,15,5.542,14.852,20.741,5.836,1.791,4.324,37.4,1.614,5.756,1.992,3.192,25.492,27.836,3.799,1.068,68.485,31.359,65,1.913,3.291,3.308,19
7.417,2.565,5.734,407.122,3.082,404.367,61.818,27,4.958,5.603,13.713,5.386,5.129,4.363,1.746,1.436,1.871,1.711,4.605,382.493,3.128,1.747,1.921,4.249,11.79,24.43,4.463,3.888,13.288,-6.26,-6.1,-5.66,5.029,25.29,5.695,13.35,26,12.913,4.337,0.976,4.729,3.241,10.623,28,5.666,16.901,23.974,5.952,1.856,4.453,43.428,2.111,5.854,2.071,3.308,28.554,31.245,3.948,1.19,79.474,34.849,76,1.93,3.415,3.336,19
6.456,2.345,5.465,349.735,2.815,349.735,58.799,12,4.874,5.547,12.34,5.299,5.062,4.23,1.639,1.393,1.818,1.591,4.495,337.471,2.807,1.626,1.903,3.966,10.622,22.487,4.36,3.74,11.592,-5.51,-5.39,-5.03,4.284,18.352,5.465,11.668,10,11.207,4.229,0.906,4.621,3.215,9.23,17,5.614,14.91,20.794,5.91,1.798,4.32,37.901,1.731,5.8,2.018,3.203,26.293,29.797,3.803,1.079,72.059,32.455,68,1.917,3.371,3.309,19
8.102,2.43,5.578,340.265,2.788,340.265,57.19,10,4.835,5.506,12.073,5.28,5.01,4.208,1.635,1.376,1.814,1.587,4.459,328.755,2.595,1.668,1.903,3.913,10.358,21.421,4.321,3.717,11.291,-5.68,-5.55,-5.17,4.45,19.804,5.578,11.379,8,10.99,4.193,0.937,4.575,3.189,9.003,15,5.546,14.826,20.552,5.841,1.794,4.286,36.758,1.833,5.764,1.999,3.193,24.82,27.607,3.767,1.045,68.983,30.464,65,1.916,3.29,3.308,19
6.155,2.156,4.646,315.947,2.213,315.947,49.115,17,4.901,5.365,12.919,5.286,5.094,4.178,1.773,1.376,1.932,1.727,4.338,302.928,2.208,1.606,1.962,4.074,9.88,18.352,4.4,3.763,12.36,-6.12,-5.97,-5.55,4.891,23.923,4.646,12.432,16,12.126,4.271,0.918,4.494,3.22,10.019,19,5.347,14.892,20.421,5.601,1.925,4.292,39.648,2.1,5.631,2.054,3.206,25.696,30.931,3.831,1.092,76.6,26.282,71,1.998,3.295,3.206,22
5.886,1.586,4.629,259.212,1.619,259.212,33.892,7,4.64,5.01,9.031,4.963,4.783,4.038,1.781,1.186,1.926,1.728,4.161,253.702,1.652,1.2,1.935,3.847,7.726,12.969,4.21,3.673,10.401,-5.02,-4.92,-4.61,3.791,14.37,4.629,10.503,6,10.211,4.11,0.711,4.237,3.214,8.421,12,5.003,13.249,18.223,5.209,1.905,4.09,36.202,1.513,5.212,2.02,3.043,16.039,20.484,3.7,1.01,62.318,16.531,59,1.944,3.272,3.206,0
9.398,2.88,5.992,617.161,3.628,598.141,101.591,8,5.309,6.031,17.037,5.72,5.45,4.589,1.838,1.601,1.949,1.821,4.894,530.896,3.811,2.085,2.02,4.982,15.327,29.873,4.822,4.132,16.155,-0.55,-0.67,-0.81,-0.681,0.464,5.807,16.472,13,15.38,4.73,1.292,4.865,3.408,12.673,14,6.147,23.529,29.871,6.38,1.961,4.566,60.419,3.727,6.199,2.033,3.434,29.112,45.714,4.127,1.052,116.936,40.568,106,2.015,3.51,3.512,2
6.015,1.372,5.294,264.683,1.452,264.683,28.342,6,4.564,4.906,8.059,4.798,4.706,3.958,1.416,1.184,1.628,1.361,4.113,262.683,1.414,1.087,1.866,3.528,7.149,10.911,4.106,3.578,9.38,-4.64,-4.56,-4.29,3.41,11.63,5.294,9.516,3,9.114,4.017,0.646,4.142,3.15,7.521,9,4.897,12.299,16.831,5.101,1.616,3.978,32.863,0.81,5.064,1.989,3.034,12.315,18.567,3.585,0.932,55.697,12.586,53,1.871,3.274,3.17,5
6.406,2.148,5.197,265.029,2.441,265.029,29.071,6,4.681,5.036,9.206,4.869,4.823,4.03,1.408,1.206,1.623,1.348,4.18,257.029,2.112,2.5,1.857,3.65,7.843,13.104,4.155,3.619,9.76,-6.16,-6.0,-5.58,4.926,24.269,5.197,9.985,5,9.62,4.062,1.165,4.18,3.177,7.796,9,5.076,14.294,18.292,5.305,1.596,4.002,34.072,1.581,5.214,2.022,3.103,12.187,18.966,3.594,0.916,58.938,13.094,54,1.86,3.269,3.244,5
7.666,1.038,4.708,164.77,1.093,164.77,21.044,3,4.192,4.547,5.867,4.47,4.373,3.591,1.334,0.777,1.556,1.268,3.757,164.77,1.073,0.803,1.618,2.337,4.989,8.266,3.752,3.197,6.424,-4.13,-4.07,-3.85,2.895,8.382,4.708,6.463,1,6.211,3.633,0.465,3.844,2.824,5.131,3,4.585,7.774,11.191,4.857,1.516,3.662,21.951,0.322,4.748,1.894,2.598,10.454,14.128,3.25,0.731,39.029,11.358,37,1.652,2.92,2.843,5
6.726,0.976,4.672,144.825,0.99,144.825,21.38,0,4.113,4.492,5.259,4.458,4.274,3.548,1.112,0.714,1.36,1.036,3.706,144.825,0.878,0.724,1.653,1.447,5.324,8.326,3.641,3.125,5.929,-4.23,-4.17,-3.94,2.996,8.977,4.672,6.315,0,5.724,3.534,0.409,3.814,2.804,4.702,2,4.42,7.725,10.71,4.667,1.314,3.617,20.251,0.069,4.719,1.832,2.561,9.942,12.076,3.174,0.549,34.558,11.289,33,1.687,2.8,2.692,4
7.032,1.27,4.986,224.379,1.326,224.379,27.778,6,4.464,4.789,7.532,4.732,4.619,3.883,1.407,1.062,1.622,1.347,4.015,224.379,1.301,0.992,1.85,3.326,7.039,10.535,4.004,3.49,8.58,-5.05,-4.95,-4.64,3.82,14.596,4.986,9.001,6,8.305,3.903,0.572,4.096,3.055,6.817,7,4.793,10.818,15.291,5.044,1.589,3.94,29.547,0.706,4.982,1.99,2.925,12.594,17.44,3.529,0.915,50.013,13.4,48,1.857,3.156,2.997,5
8.092,0.927,4.543,140.825,0.948,140.825,19.627,1,4.108,4.425,5.44,4.388,4.278,3.548,1.238,0.763,1.498,1.158,3.698,140.825,0.915,0.717,1.577,1.88,5.585,7.588,3.639,3.134,5.964,-4.35,-4.29,-4.04,3.122,9.745,4.543,6.748,0,5.731,3.531,0.402,3.805,2.843,4.687,2,4.451,7.457,10.702,4.711,1.449,3.631,20.449,0.143,4.615,1.853,2.591,9.3,11.492,3.194,0.718,34.456,9.472,33,1.616,2.767,2.689,5
8.058,1.217,4.944,212.574,1.221,212.574,22.553,9,4.381,4.663,6.909,4.651,4.544,3.846,1.42,1.062,1.623,1.365,3.972,205.065,1.184,0.921,1.85,3.241,6.356,9.227,3.952,3.466,8.388,-5.27,-5.16,-4.83,4.045,16.359,4.944,8.427,6,8.134,3.844,0.519,4.061,2.949,6.725,12,4.657,10.1,14.71,4.902,1.587,3.914,28.477,0.643,4.859,1.99,2.925,12.228,15.741,3.513,0.924,47.445,12.258,46,1.861,3.119,2.968,5
6.75,1.006,4.629,162.015,1.066,162.015,20.821,0,4.228,4.538,5.814,4.453,4.409,3.566,1.257,0.801,1.545,1.183,3.73,162.015,1.045,0.807,1.604,2.265,4.891,8.038,3.762,3.174,6.297,-3.39,-3.37,-3.23,2.16,4.668,4.629,6.379,0,6.073,3.65,0.477,3.796,2.819,5.013,0,4.607,7.879,11.027,4.876,1.513,3.615,21.665,0.297,4.728,1.869,2.641,9.769,14.993,3.207,0.719,39.239,10.918,37,1.632,2.935,2.843,5
6.338,0.876,4.593,128.606,0.831,128.606,17.906,0,4.016,4.32,4.583,4.353,4.166,3.468,1.032,0.488,1.264,0.969,3.592,128.606,0.673,0.652,1.561,1.397,4.795,6.882,3.547,3.056,5.508,-3.97,-3.92,-3.72,2.74,7.508,4.593,5.895,0,5.365,3.446,0.368,3.695,2.785,4.374,2,4.184,7.221,10.019,4.428,1.228,3.532,18.725,0.045,4.542,1.829,2.231,8.556,10.047,3.097,0.475,31.143,9.133,30,1.592,2.666,2.687,2
6.425,0.941,4.543,140.825,0.923,140.825,18.115,0,4.101,4.394,5.281,4.376,4.282,3.487,1.167,0.687,1.409,1.098,3.613,140.825,0.803,0.736,1.603,1.771,4.636,7.318,3.643,3.088,5.804,-3.7,-3.67,-3.49,2.472,6.111,4.543,5.844,0,5.618,3.524,0.421,3.713,2.714,4.63,2,4.302,7.107,10.13,4.56,1.373,3.557,19.424,0.187,4.626,1.874,2.497,9.367,12.854,3.137,0.581,34.614,10.265,33,1.64,2.864,2.7,5
6.77,1.21,5.003,200.122,1.266,200.122,22.971,3,4.339,4.677,6.422,4.61,4.51,3.776,1.399,1.0,1.611,1.336,3.929,198.122,1.272,0.948,1.788,3.002,5.982,9.219,3.9,3.376,7.72,-3.85,-3.8,-3.61,2.615,6.839,5.003,7.777,3,7.499,3.786,0.547,4.009,2.869,6.174,4,4.721,9.523,13.747,4.978,1.573,3.835,25.972,0.585,4.874,1.969,2.843,11.527,15.39,3.415,0.832,44.528,12.399,43,1.798,2.985,2.869,5
6.026,1.261,4.988,219.46,1.284,219.46,24.839,6,4.431,4.753,7.191,4.706,4.578,3.854,1.416,1.062,1.626,1.36,3.987,216.705,1.248,0.972,1.863,3.282,6.443,9.626,3.983,3.47,8.458,-4.76,-4.67,-4.39,3.53,12.462,4.988,8.539,3,8.241,3.885,0.564,4.04,2.952,6.786,9,4.75,10.711,15.051,4.974,1.596,3.894,28.907,0.68,4.929,1.979,2.925,11.775,16.186,3.494,0.932,48.863,11.757,47,1.87,3.13,2.96,5
7.543,1.019,4.572,155.464,1.075,155.464,21.352,1,4.19,4.543,5.88,4.448,4.382,3.56,1.277,0.771,1.535,1.199,3.719,155.464,1.007,0.803,1.604,2.057,5.029,8.206,3.728,3.156,6.227,-3.96,-3.91,-3.71,2.728,7.443,4.572,6.266,0,5.975,3.606,0.462,3.811,2.714,4.945,3,4.536,7.457,10.783,4.809,1.49,3.634,20.951,0.266,4.76,1.893,2.591,10.347,14.423,3.211,0.746,38.029,11.467,36,1.641,2.865,2.843,8
6.656,1.131,4.834,193.367,1.159,193.367,23.352,1,4.357,4.653,6.659,4.599,4.531,3.684,1.405,1.008,1.621,1.34,3.844,193.367,1.145,0.908,1.733,2.847,5.46,8.693,3.885,3.301,7.333,-3.8,-3.77,-3.58,2.575,6.629,4.834,7.42,0,7.107,3.777,0.54,3.898,2.909,5.853,2,4.691,9.194,12.555,4.927,1.585,3.73,24.907,0.496,4.825,1.885,2.843,11.04,16.825,3.33,0.918,44.863,11.281,42,1.753,3.08,2.915,5
6.932,1.058,4.736,175.24,1.122,175.24,22.433,0,4.281,4.624,6.077,4.503,4.45,3.634,1.29,1.003,1.575,1.238,3.806,175.24,1.086,0.842,1.637,2.622,5.232,8.365,3.812,3.243,6.738,-3.56,-3.53,-3.37,2.331,5.436,4.736,6.833,0,6.511,3.709,0.5,3.857,2.855,5.372,1,4.628,8.634,11.92,4.87,1.552,3.672,23.38,0.4,4.8,1.881,2.843,9.991,15.275,3.264,0.724,41.448,10.665,39,1.644,2.995,2.863,5
7.014,1.342,5.07,238.311,1.402,238.311,28.408,9,4.499,4.849,7.804,4.759,4.653,3.9,1.419,1.062,1.631,1.366,4.037,235.556,1.323,1.042,1.872,3.397,6.802,10.708,4.044,3.516,8.891,-4.71,-4.63,-4.35,3.481,12.117,5.07,8.977,6,8.649,3.943,0.606,4.103,3.006,7.127,11,4.812,11.168,15.706,5.045,1.609,3.95,30.434,0.768,5.039,2.007,2.925,13.122,18.143,3.546,0.933,52.279,13.44,50,1.875,3.187,3.066,5
8.237,0.919,4.543,140.825,0.939,140.825,18.953,1,4.112,4.429,5.27,4.392,4.28,3.536,1.237,0.765,1.499,1.158,3.685,140.825,0.893,0.719,1.579,1.801,5.106,7.222,3.641,3.125,5.946,-4.23,-4.17,-3.94,2.996,8.977,4.543,6.333,0,5.731,3.534,0.409,3.774,2.794,4.687,2,4.455,7.457,10.617,4.715,1.451,3.604,20.251,0.127,4.618,1.855,2.591,9.105,12.363,3.174,0.716,34.558,9.377,33,1.617,2.767,2.695,5
6.733,0.943,4.543,140.825,0.956,140.825,18.549,0,4.101,4.417,5.281,4.377,4.282,3.487,1.239,0.767,1.505,1.157,3.631,138.825,0.913,0.736,1.583,1.377,4.525,7.088,3.643,3.088,5.816,-3.7,-3.67,-3.49,2.472,6.111,4.543,5.856,0,5.638,3.524,0.421,3.718,2.556,4.637,1,4.44,7.046,10.139,4.718,1.457,3.557,19.424,0.147,4.62,1.868,2.591,9.362,12.854,3.137,0.719,34.614,9.728,33,1.621,2.767,2.699,5
6.827,2.148,5.197,265.029,2.441,265.029,29.071,6,4.681,5.036,9.206,4.869,4.823,4.03,1.408,1.212,1.624,1.349,4.18,257.029,2.217,2.5,1.857,3.588,7.843,13.104,4.155,3.619,9.76,-6.16,-6.0,-5.58,4.926,24.269,5.197,9.985,5,9.62,4.062,1.165,4.18,3.212,7.796,9,5.076,14.294,18.292,5.304,1.599,4.002,34.072,1.387,5.214,2.022,3.082,12.187,18.966,3.594,0.916,58.938,13.094,54,1.86,3.288,3.277,5
5.041,0.979,4.672,144.825,1.032,144.825,22.726,0,4.113,4.526,5.259,4.458,4.274,3.548,1.033,0.656,1.274,0.971,3.707,144.825,0.861,0.724,1.665,1.447,5.352,8.408,3.641,3.125,5.919,-4.23,-4.17,-3.94,2.996,8.977,4.672,6.305,0,5.71,3.534,0.409,3.814,2.795,4.696,2,4.414,7.715,10.715,4.66,1.229,3.617,20.251,0.069,4.767,1.833,2.518,9.936,12.076,3.174,0.497,34.558,11.451,33,1.694,2.924,2.697,5
7.842,0.946,4.607,142.825,0.945,142.825,19.834,0,4.112,4.441,5.264,4.425,4.277,3.542,1.113,0.731,1.366,1.037,3.691,142.825,0.863,0.721,1.657,1.495,5.248,7.827,3.641,3.125,5.944,-4.23,-4.17,-3.94,2.996,8.977,4.607,6.331,0,5.733,3.534,0.409,3.793,2.803,4.703,2,4.399,7.621,10.656,4.637,1.316,3.611,20.251,0.095,4.655,1.838,2.591,9.52,12.22,3.174,0.616,34.558,10.546,33,1.694,2.8,2.684,4
6.955,1.294,4.986,224.379,1.342,224.379,26.672,6,4.456,4.781,7.567,4.721,4.62,3.848,1.407,1.062,1.622,1.347,3.977,221.624,1.302,1.009,1.853,3.264,6.461,10.339,4.005,3.464,8.45,-4.56,-4.49,-4.22,3.334,11.113,4.986,8.523,5,8.211,3.897,0.584,4.056,2.96,6.768,9,4.79,10.414,14.813,5.044,1.59,3.906,28.719,0.716,4.984,2.005,2.925,12.886,18.022,3.504,0.915,50.069,13.689,48,1.859,3.15,2.997,5
6.876,1.11,4.912,186.666,1.153,186.666,21.43,2,4.31,4.612,6.382,4.559,4.467,3.733,1.401,1.008,1.595,1.35,3.848,186.666,1.18,0.874,1.609,2.838,5.717,8.616,3.851,3.328,7.342,-3.96,-3.91,-3.71,2.728,7.444,4.912,7.411,3,7.146,3.749,0.499,3.919,2.859,5.865,2,4.673,9.19,13.175,4.92,1.586,3.778,24.665,0.476,4.794,1.882,2.705,10.599,14.885,3.357,0.743,42.239,11.15,41,1.639,2.961,2.843,5
6.252,1.646,4.842,271.173,1.847,271.173,38.882,11,4.669,5.128,9.695,4.957,4.844,4.054,1.586,1.239,1.771,1.535,4.233,271.173,1.682,1.253,1.875,3.573,8.904,14.857,4.209,3.644,10.119,-5.61,-5.48,-5.12,4.383,19.207,4.842,10.2,11,9.671,4.098,0.73,4.315,3.146,8.064,10,5.058,12.654,17.737,5.311,1.746,4.112,35.014,0.848,5.356,2.05,3.009,16.942,22.916,3.688,0.938,62.524,20.153,59,1.878,3.271,3.154,14
