pXC50,JGI3,nBM,P_VSA_MR_7,SpMAD_AEA.dm.,Uc,ARR,C.016,C.017,C.020,Eig02_EA.dm.,Eig03_EA.dm.,Eig04_EA.dm.,GATS4e,GATS4m,N.075,NaaN,NaasC,nAB,nCar,nCconj,nDB,NdsCH,NdssC,nRCOOR,nR.Ct,SaaN,SdsCH,SpDiam_AEA.bo.,ATSC4s,Eig03_AEA.dm.,PCR,SpMax2_Bh.s.,SpMax3_Bh.s.,X5A,SpMAD_EA.bo.,ATSC4e,Eta_B,GATS1e,P_VSA_MR_2,MATS2e,ATSC2e,CATS2D_04_AA,Eig01_AEA.bo.,Eta_beta_A,Eta_betaP_A,GATS4s,MATS4e,nR.Cs,P_VSA_LogP_2,SM02_EA.dm.,SM04_EA.dm.,SM06_EA.dm.,SpAD_EA.dm.,SpDiam_EA.dm.,SpMax_AEA.bo.,SaasC,TWC,ATSC6e,ATSC6s,ATSC8s,Eig04_AEA.ri.,Eig04_EA,Eig04_EA.ri.,Eig06_EA,GATS1s,GGI3,MATS4m,MPC06,MWC10,NdO,O.058,SdO,SM03_EA.ri.,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM12_AEA.bo.,SM14_AEA.bo.,Eig01_EA.ri.,SpMax_EA.ri.,MATS2i,SM11_EA.ri.,ATSC7s,SM03_EA.dm.,SM05_EA.dm.,DLS_cons,PCD,C.002,D.Dtr05,nCs,SsOH,ATSC3s,ATSC5s,SpDiam_AEA.ri.,SpMAD_EA.dm.,P_VSA_m_3,P_VSA_v_2,SAacc,ATS5s,DELS,GATS6s,GGI1,MATS6e,SM03_EA,SM03_EA.ed.,SM04_EA.ed.,SM05_EA,SM05_EA.ed.,SM06_EA.ed.,SM07_AEA.ed.,SM07_EA,SM07_EA.ed.,SM08_AEA.ed.,SM08_EA,SM08_EA.ed.,SM09_AEA.ed.,SM09_EA,SM09_EA.ed.,SM10_AEA.ed.,SM10_EA,SM10_EA.ed.,SM11_AEA.ed.,SM11_EA,SM11_EA.ed.,SM12_AEA.ed.,SM12_EA,SM13_AEA.ed.,SM13_EA,SM14_AEA.ed.,SM14_EA,SM15_AEA.ed.,SM15_EA,X3A,C.024,NaaCH,SaaCH,Eig04_AEA.dm.,CATS2D_04_AL,ATSC5e,ATSC7e,CATS2D_06_AA,CATS2D_06_AL,Eig01_AEA.ed.,Eig01_EA,Eig01_EA.dm.,Eig01_EA.ed.,Eig05_AEA.dm.,Eig05_AEA.ed.,Eig05_EA,Eig05_EA.ed.,MATS1s,P_VSA_LogP_6,SM04_EA.ri.,SM07_EA.dm.,SM08_EA.dm.,SM09_AEA.bo.,SM09_EA.dm.,SM10_AEA.dm.,SM10_EA.dm.,SM11_EA.dm.,SM12_EA.dm.,SM12_EA.ed.,SM13_AEA.bo.,SM13_EA.dm.,SM13_EA.ed.,SM14_AEA.dm.,SM14_EA.dm.,SM14_EA.ed.,SM15_EA.dm.,SM15_EA.ed.,SpDiam_EA,SpDiam_EA.ed.,SpMax_AEA.ed.,SpMax_EA,SpMax_EA.dm.,SpMax_EA.ed.,TIE,Eig05_AEA.ri.,Eig05_EA.ri.,Eig06_AEA.ed.,Eig06_AEA.ri.,Eig06_EA.ed.,Eig06_EA.ri.,Ram,SM15_AEA.dm.,Eig01_AEA.ri.,Eta_C_A,GATS2i,nCsp3,nR05,P_VSA_i_4,SpMax_AEA.ri.,ATS4s,Eig06_AEA.dm.,GGI5,Eig06_AEA.bo.,Eig06_EA.bo.,Eig05_AEA.bo.,MWC09,SpMax7_Bh.s.,ATS6s,CATS2D_06_DA,GGI4,SPI,ATS6m,Eig05_EA.bo.,SM15_AEA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,SpDiam_EA.ri.,Eig01_AEA.dm.,Eig02_AEA.dm.,SpMax_AEA.dm.,GATS6e,SpDiam_AEA.dm.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5v,ATS6e,ATS6i,ATS6p,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4i,ATSC4m,ATSC4p,ATSC4v,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6i,ATSC6m,ATSC6p
5.201,0.035,12,16.663,1.477,3.7,0.611,0,0,0,0.0,0.0,0.0,0.675,0.988,1,1,3,11,9,1,1,0,1,0,0,3.717,0.0,5.098,35.777,2.676,1.341,6.351,4.952,0.091,1.938,0.272,0.332,0.755,67.828,0.2,0.143,0,4.23,1.265,0.676,0.715,0.121,0,7.604,1.635,2.253,2.922,2.873,2.873,4.23,2.253,11.514,0.173,32.601,26.591,2.559,1.56,1.557,1.0,0.711,0.66,-0.014,3.367,10.935,1,1,10.627,3.16,5.427,6.946,7.512,8.77,9.538,10.668,1.56,1.0,2.779,2.779,-0.239,11.545,27.082,0.0,0.0,0.9,1.989,3,50.628,3,8.719,34.074,28.258,4.83,0.16,67.828,101.154,84.491,4.924,15.07,1.015,3.0,-0.079,3.219,6.457,9.463,5.525,10.947,13.404,13.195,7.65,15.234,14.909,8.911,17.492,16.635,9.718,19.482,18.37,10.857,21.663,20.113,11.771,23.729,21.861,12.852,23.614,13.822,25.371,14.877,27.132,15.878,0.203,6,6,11.818,1.823,1,0.163,0.145,0,2,5.998,2.852,1.437,8.557,1.594,3.627,1.257,2.846,-0.065,2.757,5.254,0.0,3.619,2.852,0.0,8.557,4.33,0.0,5.047,25.883,1.257,0.0,27.987,2.846,5.769,30.131,0.0,32.254,4.852,14.414,5.998,2.852,1.437,8.557,25.245,2.248,1.235,3.256,2.0,2.136,1.0,4,2.136,3.83,0.636,1.325,3,1,33.326,3.83,5.223,1.011,0.281,2.5,1.5,2.671,10.111,3.596,4.918,0,0.526,7.097,2.799,1.655,1.655,12.611,13.547,14.582,15.551,4.779,3.582,2.781,3.582,0.982,5.582,1.554,8.765,3.064,9.387,64.897,7.429,3.525,3.642,3.072,3.069,4.705,3.048,4.0,4.158,3.358,3.416,5.243,3.358,4.229,4.457,3.241,3.447,5.306,3.333,4.225,4.485,3.062,3.324,3.187,4.058,4.325,2.824,3.178,3.029,3.943,4.203,3.044,2.925,3.732,3.953,2.786,2.894,4.852,2.825,3.638,3.873,2.632,2.734,4.792,2.67,0.063,0.44,6.275,2.868,9.141,3.618,0.676,10.795,4.581,31.769,6.206,0.224,0.771,15.204,5.652,8.028,0.725,16.049,5.47,7.932,0.617,13.531,4.708,6.826,0.533,12.255,4.121
5.804,0.03,12,16.663,1.489,3.7,0.647,0,0,0,0.0,0.0,0.0,0.71,1.022,1,1,3,11,9,1,1,0,1,0,0,3.703,0.0,5.059,34.701,2.598,1.355,6.351,4.953,0.089,1.989,0.277,0.332,0.76,67.828,0.198,0.151,0,4.231,1.313,0.719,0.752,0.109,0,5.069,1.635,2.253,2.922,2.873,2.873,4.231,2.151,11.507,0.161,28.582,10.959,2.507,1.508,1.504,1.0,0.721,0.535,-0.039,3.367,10.932,1,1,10.606,3.16,5.427,6.927,7.512,8.76,9.541,10.666,1.508,1.0,2.784,2.784,-0.239,11.551,28.907,0.0,0.0,0.8,2.04,2,45.813,2,8.701,30.619,28.881,4.833,0.169,67.828,101.154,84.491,4.84,14.674,1.204,3.0,-0.181,3.219,6.457,9.457,5.525,10.947,13.406,13.189,7.65,15.237,14.905,8.902,17.498,16.633,9.721,19.486,18.37,10.856,21.671,20.113,11.776,23.736,21.862,12.856,23.616,13.831,25.373,14.886,27.135,15.89,0.201,6,6,11.631,1.795,1,0.167,0.182,0,3,5.999,2.855,1.437,8.561,1.542,3.59,1.169,2.737,-0.084,2.757,5.222,0.0,3.619,2.855,0.0,8.561,4.33,0.0,5.047,25.891,1.169,0.0,27.995,2.737,5.769,30.14,0.0,32.263,4.855,14.422,5.999,2.855,1.437,8.561,22.513,2.154,1.136,3.253,2.0,2.136,1.0,4,2.136,3.833,0.584,1.315,2,1,33.326,3.833,5.156,1.0,0.201,2.5,1.5,2.636,10.104,3.483,4.844,0,0.686,6.717,2.785,1.607,1.607,12.616,13.557,14.593,15.566,4.784,3.582,2.836,3.582,1.202,5.582,1.592,7.938,2.608,6.8,60.296,7.724,3.437,3.549,3.016,2.984,4.656,2.973,3.891,4.037,3.311,3.324,5.193,3.282,4.099,4.312,3.186,3.343,5.243,3.247,4.096,4.344,2.996,3.205,3.086,3.915,4.182,2.791,3.038,2.916,3.71,3.925,2.886,2.821,3.638,3.873,2.632,2.734,4.792,2.67,3.281,3.503,2.443,2.404,4.583,2.374,0.071,0.401,5.341,2.518,9.472,3.06,0.61,9.05,3.979,30.969,5.228,0.225,0.689,12.816,4.859,6.718,0.646,13.889,4.719,6.701,0.537,11.87,4.078,5.861,0.446,9.11,3.047
8.523,0.062,5,9.476,1.593,2.585,0.0,1,2,1,1.709,1.153,0.913,0.653,0.696,0,0,0,0,0,7,5,1,6,1,2,0.0,1.244,5.557,100.741,3.455,1.181,7.999,7.436,0.071,1.757,0.733,0.63,0.612,91.21,0.236,0.699,3,4.571,1.024,0.357,0.714,0.135,1,30.683,3.064,4.262,5.796,13.383,4.231,4.571,0.0,12.334,0.674,107.849,101.878,3.242,2.259,2.183,1.749,0.532,1.972,0.231,4.344,11.81,2,2,23.454,3.899,6.182,7.542,8.361,9.56,10.537,11.677,2.259,1.749,3.118,3.118,0.083,12.73,133.62,2.466,4.514,1.0,1.208,5,0.0,5,0.0,89.312,169.633,5.273,0.582,91.21,126.006,126.006,6.038,41.065,0.85,5.0,-0.001,4.007,7.409,10.461,6.347,12.237,14.866,14.119,8.579,17.001,15.927,9.809,19.484,17.752,10.805,21.779,19.59,11.972,24.212,21.439,13.046,26.575,23.298,14.194,25.166,15.308,27.041,16.453,28.922,17.587,0.174,0,0,0.0,2.8,7,1.168,0.745,1,4,6.789,3.205,2.519,11.163,2.666,5.182,2.032,6.13,-0.021,11.771,5.691,6.431,7.502,3.205,8.303,11.163,9.289,10.159,11.11,28.992,2.032,12.01,31.384,6.13,12.946,33.797,13.859,36.2,5.205,18.168,6.789,3.205,2.519,11.163,48.369,2.967,1.888,4.692,2.747,4.838,1.717,8,4.838,4.176,0.853,0.922,7,0,64.717,4.176,5.788,2.53,0.788,3.167,2.227,3.319,10.908,4.234,5.641,1,1.534,11.02,3.439,2.394,2.394,13.852,14.942,16.062,17.171,5.105,3.829,3.601,3.829,0.836,5.752,1.833,8.429,2.71,7.342,69.167,8.466,3.694,3.792,3.345,3.184,4.87,3.211,4.259,4.414,3.703,3.522,5.735,3.521,4.451,4.66,3.755,3.609,5.736,3.596,4.445,4.642,3.753,3.559,3.561,4.448,4.634,3.659,3.449,3.456,4.248,4.451,3.308,3.3,4.124,4.288,3.366,3.176,5.759,3.187,4.054,4.278,3.079,2.931,5.333,2.943,0.181,0.649,5.604,3.394,30.913,3.677,1.08,13.21,5.721,99.896,6.682,0.73,1.052,18.633,6.264,8.497,1.048,18.32,6.702,8.411,0.904,19.648,5.827,7.029,0.824,15.759,5.158
8.222,0.064,5,9.476,1.608,2.585,0.0,1,2,1,1.709,1.153,0.913,0.552,0.611,0,0,0,0,0,7,5,1,6,1,2,0.0,1.247,5.558,112.161,3.455,1.178,7.999,7.436,0.07,1.757,0.816,0.794,0.605,91.21,0.246,0.69,3,4.571,1.0,0.341,0.607,0.177,1,30.683,3.064,4.262,5.796,13.383,4.231,4.571,0.0,12.47,0.675,108.932,89.19,3.242,2.259,2.183,1.75,0.537,2.097,0.359,4.369,11.951,2,2,23.58,4.21,6.677,8.027,9.045,10.281,11.41,12.615,2.259,1.75,3.391,3.391,0.131,13.787,128.724,2.466,4.514,1.0,1.198,5,0.0,5,0.0,81.225,169.807,5.489,0.558,91.21,126.006,126.006,6.071,41.958,0.798,6.5,0.032,4.29,7.945,10.906,6.781,12.986,15.584,14.557,9.161,17.919,16.435,10.41,20.421,18.326,11.531,22.843,20.229,12.741,25.32,22.139,13.908,27.773,24.055,15.109,25.977,16.296,27.903,17.496,29.832,18.692,0.176,0,0,0.0,3.391,7,1.166,0.711,1,4,7.071,3.391,2.519,12.092,2.797,5.184,2.036,6.134,-0.03,11.771,5.946,6.431,7.502,3.391,8.303,12.092,9.289,10.159,11.11,30.245,2.036,12.01,32.71,6.134,12.946,35.183,13.859,37.654,5.391,19.098,7.071,3.391,2.519,12.092,53.433,2.971,1.892,4.693,2.748,4.84,1.717,9,4.84,4.391,0.93,0.883,8,0,64.717,4.391,5.864,2.543,0.899,3.168,2.229,3.322,11.041,4.249,5.69,1,1.614,12.872,3.505,2.398,2.398,14.986,16.175,17.375,18.572,5.378,3.829,3.601,3.829,0.78,5.753,1.791,8.545,2.916,8.502,73.642,8.167,3.763,3.866,3.385,3.254,4.921,3.271,4.336,4.499,3.775,3.619,5.768,3.612,4.549,4.743,3.804,3.747,5.801,3.707,4.646,4.889,3.787,3.688,3.647,4.541,4.741,3.693,3.543,3.527,4.36,4.582,3.42,3.394,4.215,4.372,3.474,3.344,5.806,3.339,4.236,4.455,3.343,3.187,5.513,3.188,0.159,0.687,6.619,3.736,26.773,4.235,1.157,15.244,6.315,99.678,7.642,0.669,1.18,19.576,7.26,9.756,1.164,25.223,8.248,11.352,0.979,22.335,6.55,8.356,0.899,18.515,5.881
7.553,0.057,6,43.537,1.547,2.807,0.0,1,2,1,1.692,1.121,0.949,0.56,0.765,0,0,0,0,0,7,5,1,6,1,2,0.0,1.394,5.565,63.922,3.121,1.223,7.427,4.957,0.072,1.725,0.63,0.503,0.738,72.29,0.325,0.451,5,4.565,1.042,0.396,0.674,0.425,1,37.81,2.847,3.666,4.643,12.074,3.512,4.565,0.0,12.328,0.688,100.793,74.483,3.179,2.224,2.076,1.743,0.54,1.938,0.203,4.431,11.8,2,2,24.147,3.675,6.015,7.497,8.229,9.486,10.428,11.596,2.224,1.743,3.112,3.112,0.027,12.638,43.086,1.05,2.249,1.0,1.561,6,0.0,6,0.0,40.587,56.367,5.269,0.464,72.29,107.086,107.086,5.704,30.764,1.408,4.5,-0.019,3.761,7.239,10.385,6.155,12.117,14.78,14.003,8.417,16.914,15.804,9.709,19.413,17.625,10.662,21.716,19.462,11.86,24.157,21.314,12.92,26.527,23.178,14.084,25.051,15.194,26.932,16.349,28.82,17.484,0.181,0,0,0.0,2.794,10,0.441,0.307,2,9,6.783,3.194,1.798,11.142,2.669,5.032,1.938,5.8,0.002,38.447,5.702,3.545,5.687,3.194,4.832,11.142,6.761,6.094,7.851,28.949,1.938,7.333,31.344,5.8,8.952,33.759,8.556,36.163,5.194,18.145,6.783,3.194,1.798,11.142,46.186,2.871,1.797,4.666,2.74,4.774,1.714,7,4.774,4.167,0.908,1.042,9,0,34.796,4.167,5.824,2.557,0.729,3.253,2.315,3.552,10.901,3.993,5.852,1,1.44,10.803,3.667,2.578,2.578,13.775,14.863,15.991,17.101,5.112,3.783,3.53,3.783,1.439,5.783,1.562,11.0,4.357,18.983,88.352,7.464,3.883,3.988,3.445,3.391,4.978,3.385,4.437,4.605,3.753,3.732,5.595,3.686,4.615,4.83,3.774,3.795,5.653,3.744,4.568,4.764,3.826,3.73,3.695,4.6,4.811,3.683,3.694,3.657,4.517,4.7,3.614,3.595,4.372,4.543,3.586,3.54,5.559,3.526,4.408,4.604,3.319,3.41,5.621,3.374,0.052,0.611,8.89,4.19,8.203,5.221,0.951,17.95,7.088,41.417,9.368,0.287,1.084,22.77,8.145,11.154,1.04,21.64,7.239,10.112,1.019,23.248,7.286,9.725,0.913,21.52,6.534
7.081,0.058,6,43.537,1.569,2.807,0.0,1,2,1,1.692,1.121,0.949,0.572,0.782,0,0,0,0,0,7,5,1,6,1,2,0.0,1.388,5.552,62.903,3.121,1.226,7.427,4.957,0.072,1.744,0.62,0.503,0.738,72.29,0.329,0.451,5,4.564,1.042,0.396,0.688,0.426,1,37.81,2.847,3.666,4.643,12.074,3.512,4.564,0.0,12.324,0.71,100.873,47.68,3.184,2.228,2.084,1.751,0.54,1.972,0.182,4.394,11.796,2,2,24.11,3.817,6.108,7.514,8.297,9.516,10.482,11.631,2.228,1.751,3.111,3.111,0.009,12.681,50.849,1.05,2.249,1.0,1.567,6,0.0,6,0.0,39.777,55.867,5.268,0.464,72.29,107.086,107.086,5.704,30.642,1.351,4.5,0.002,3.892,7.314,10.389,6.236,12.149,14.789,14.019,8.474,16.929,15.82,9.733,19.42,17.641,10.705,21.723,19.477,11.887,24.161,21.328,12.953,26.53,23.19,14.108,25.062,15.219,26.942,16.369,28.828,17.502,0.18,0,0,0.0,2.787,10,0.434,0.363,2,9,6.783,3.194,1.798,11.142,2.674,5.041,1.961,5.827,0.002,38.447,5.702,3.545,5.687,3.194,4.832,11.142,6.761,6.094,7.851,28.95,1.961,7.333,31.345,5.827,8.952,33.759,8.556,36.163,5.194,18.143,6.783,3.194,1.798,11.142,45.944,2.895,1.82,4.671,2.747,4.793,1.717,7,4.793,4.166,0.9,1.055,9,0,34.796,4.166,5.818,2.627,0.809,3.266,2.33,3.558,10.897,4.028,5.857,1,1.334,10.818,3.638,2.623,2.623,13.808,14.897,16.019,17.127,5.097,3.783,3.53,3.783,1.403,5.706,1.562,11.042,4.357,18.983,88.352,7.464,3.883,3.988,3.445,3.391,4.978,3.385,4.425,4.595,3.73,3.708,5.588,3.661,4.587,4.801,3.768,3.769,5.638,3.725,4.55,4.739,3.825,3.723,3.691,4.601,4.809,3.664,3.691,3.648,4.534,4.735,3.586,3.562,4.323,4.489,3.495,3.523,5.493,3.498,4.356,4.546,3.462,3.453,5.532,3.426,0.052,0.611,8.89,4.19,8.203,5.221,0.935,17.807,6.967,41.308,9.229,0.285,1.053,22.16,7.862,10.747,1.027,21.063,7.092,9.846,1.021,23.137,7.301,9.728,0.909,22.414,6.592
8.097,0.072,5,9.476,1.595,2.585,0.0,1,2,1,1.656,0.988,0.522,0.414,0.641,0,0,0,0,0,6,5,1,6,1,2,0.0,1.297,5.514,80.939,3.34,1.165,7.432,7.412,0.07,1.781,0.636,0.473,0.73,86.435,0.377,0.424,3,4.545,1.103,0.441,0.556,0.459,1,43.625,2.64,3.429,4.372,9.774,3.428,4.545,0.0,12.061,0.598,103.359,57.934,2.852,1.869,1.826,1.341,0.54,1.875,0.297,4.111,11.539,3,3,34.014,3.566,5.871,7.268,8.095,9.318,10.321,11.481,1.869,1.341,3.117,3.117,0.094,12.56,64.89,1.195,2.324,0.93,1.007,3,0.0,3,0.0,67.315,78.226,5.262,0.543,86.435,122.456,122.456,5.444,28.681,0.959,4.0,0.087,3.611,7.071,10.213,5.969,12.002,14.684,13.834,8.245,16.849,15.655,9.508,19.361,17.495,10.52,21.679,19.351,11.712,24.127,21.218,12.808,26.502,23.096,13.975,24.982,15.106,26.874,16.267,28.77,17.413,0.174,0,0,0.0,2.78,6,0.549,0.455,2,5,6.78,3.189,1.721,11.129,2.447,4.635,1.75,4.71,-0.035,4.276,5.422,3.444,5.378,3.189,4.539,11.129,6.413,5.615,7.461,28.927,1.75,6.679,31.323,4.71,8.515,33.739,7.737,36.143,5.189,18.129,6.78,3.189,1.721,11.129,37.211,2.751,1.718,3.499,2.341,2.584,1.335,6,2.584,4.166,0.748,1.027,4,0,36.022,4.166,5.716,1.448,0.688,2.453,1.426,3.139,10.629,3.862,5.609,1,1.249,9.507,3.083,2.189,2.189,13.701,14.812,15.948,17.073,5.038,3.82,3.567,3.82,0.986,5.682,1.718,6.824,1.515,2.295,58.319,8.147,3.493,3.595,3.107,2.947,4.713,2.978,4.025,4.173,3.491,3.32,5.374,3.317,4.264,4.452,3.518,3.416,5.47,3.416,4.213,4.39,3.551,3.336,3.331,4.177,4.368,3.236,3.206,3.193,4.023,4.215,2.976,2.952,3.806,4.028,2.511,2.618,5.077,2.562,3.432,3.671,1.708,2.065,4.679,1.99,0.125,0.419,5.103,2.456,14.118,2.925,0.633,10.576,4.368,36.735,5.638,0.479,0.721,15.514,5.153,6.732,0.674,14.431,4.926,6.777,0.612,14.77,4.205,5.381,0.494,12.902,3.575
8.398,0.069,5,9.476,1.628,2.585,0.0,1,2,1,1.656,0.988,0.522,0.35,0.577,0,0,0,0,0,6,5,1,6,1,2,0.0,1.304,5.516,90.914,3.34,1.16,7.432,7.412,0.07,1.792,0.705,0.617,0.718,86.435,0.38,0.424,3,4.545,1.069,0.417,0.473,0.457,1,41.091,2.64,3.429,4.372,9.774,3.428,4.545,0.0,12.101,0.567,100.712,90.364,3.125,2.132,2.095,1.678,0.546,1.875,0.399,4.159,11.578,3,3,34.229,3.723,5.978,7.339,8.161,9.367,10.36,11.512,2.132,1.678,3.118,3.118,0.128,12.584,52.942,1.195,2.324,1.0,0.995,2,0.0,2,0.0,58.291,77.511,5.263,0.514,86.435,122.456,122.456,5.501,29.359,0.954,5.0,0.093,3.761,7.13,10.244,6.066,12.018,14.694,13.874,8.302,16.853,15.687,9.549,19.364,17.519,10.553,21.68,19.369,11.737,24.128,21.232,12.827,26.503,23.106,13.99,24.989,15.118,26.879,16.276,28.774,17.421,0.174,0,0,0.0,2.784,6,0.536,0.384,2,5,6.781,3.19,1.721,11.13,2.478,4.702,1.83,5.137,-0.041,4.276,5.506,3.444,5.378,3.19,4.539,11.13,6.413,5.615,7.461,28.928,1.83,6.679,31.324,5.137,8.515,33.74,7.737,36.144,5.19,18.131,6.781,3.19,1.721,11.13,41.902,2.792,1.734,4.541,2.697,4.549,1.69,7,4.549,4.167,0.825,1.002,5,0,36.022,4.167,5.788,2.109,0.688,3.063,2.075,3.193,10.67,3.869,5.657,1,1.329,11.119,3.225,2.237,2.237,13.72,14.828,15.961,17.084,5.041,3.82,3.567,3.82,0.953,5.682,1.677,6.944,1.767,3.121,62.867,7.821,3.577,3.684,3.158,3.036,4.769,3.052,4.122,4.28,3.555,3.425,5.421,3.409,4.378,4.564,3.571,3.554,5.548,3.525,4.429,4.658,3.591,3.481,3.431,4.297,4.509,3.316,3.33,3.298,4.123,4.305,3.177,3.141,4.033,4.25,2.939,2.955,5.299,2.904,3.89,4.112,2.102,2.482,5.18,2.428,0.107,0.457,6.081,2.788,11.313,3.474,0.699,12.389,4.957,38.316,6.564,0.421,0.826,17.231,6.042,8.048,0.798,19.903,6.251,9.211,0.689,17.41,4.907,6.694,0.582,13.964,4.227
8.699,0.071,5,9.476,1.584,2.585,0.0,1,2,1,1.656,1.51,0.988,0.663,0.81,0,0,0,0,0,6,5,1,6,1,2,0.0,1.071,5.518,153.242,3.34,1.156,7.999,7.45,0.07,1.761,1.03,0.617,0.689,139.897,0.251,0.822,3,4.545,1.066,0.395,0.733,0.16,1,43.625,2.922,3.719,4.634,12.794,3.428,4.545,0.0,12.109,0.878,145.992,159.294,3.081,2.172,1.947,1.72,0.581,2.0,0.114,4.174,11.584,3,3,33.976,3.646,5.911,7.302,8.114,9.335,10.329,11.489,2.172,1.72,3.117,3.117,0.193,12.564,141.682,1.195,2.324,0.9,0.984,3,0.0,3,0.0,160.638,159.836,5.263,0.64,116.355,152.376,152.376,5.635,44.645,0.834,5.0,-0.012,3.761,7.13,10.246,6.066,12.018,14.693,13.877,8.302,16.853,15.688,9.553,19.363,17.52,10.552,21.68,19.369,11.738,24.128,21.232,12.825,26.503,23.106,13.989,24.988,15.116,26.878,16.274,28.774,17.418,0.176,0,0,0.0,3.21,6,1.033,0.852,2,5,6.78,3.189,1.721,11.129,2.778,4.678,1.848,5.17,-0.042,16.047,5.476,3.444,5.601,3.189,4.539,11.129,6.597,5.615,7.61,28.927,1.848,6.679,31.323,5.17,8.636,33.739,7.737,36.143,5.189,18.129,6.78,3.189,1.721,11.129,55.684,2.807,1.734,4.605,2.726,4.672,1.696,7,4.672,4.166,0.753,0.839,4,0,65.942,4.166,5.859,2.442,0.743,3.116,2.147,3.211,10.677,4.093,5.769,1,1.249,11.71,3.325,2.237,2.237,13.704,14.814,15.949,17.074,5.042,3.82,3.567,3.82,0.889,5.682,1.986,7.737,1.083,1.172,58.626,9.387,3.524,3.613,3.233,2.941,4.844,3.016,4.081,4.21,3.652,3.312,5.741,3.364,4.304,4.479,3.617,3.409,5.649,3.454,4.256,4.418,3.646,3.328,3.372,4.222,4.397,3.365,3.197,3.24,4.059,4.235,2.963,3.029,3.892,4.078,3.071,2.587,5.435,2.739,3.622,3.773,3.198,2.023,6.041,2.315,0.297,0.548,3.472,2.513,45.952,2.375,0.916,9.029,4.488,115.922,4.679,1.024,0.846,15.026,5.228,5.689,0.787,13.497,5.006,5.842,0.702,13.965,4.274,4.27,0.619,12.033,3.625
8.301,0.069,5,9.476,1.599,2.585,0.0,1,2,1,1.656,0.988,0.522,0.383,0.659,0,0,0,0,0,6,5,1,6,1,2,0.0,1.342,5.545,84.836,3.34,1.148,7.432,7.412,0.069,1.732,0.656,0.541,0.698,86.435,0.357,0.414,3,4.545,1.066,0.395,0.504,0.456,1,48.694,2.64,3.429,4.372,9.774,3.428,4.545,0.0,12.225,0.587,104.742,74.317,3.165,2.193,2.113,1.712,0.502,1.938,0.301,4.248,11.7,3,3,34.452,3.723,6.051,7.488,8.26,9.499,10.457,11.619,2.193,1.712,3.119,3.119,0.017,12.667,58.782,1.195,2.324,1.0,0.965,5,0.0,5,0.0,63.709,74.106,5.264,0.465,86.435,122.456,122.456,5.507,29.663,0.904,4.5,0.116,3.761,7.2,10.332,6.133,12.08,14.746,13.956,8.389,16.887,15.762,9.66,19.389,17.588,10.633,21.696,19.429,11.823,24.139,21.284,12.892,26.51,23.151,14.053,25.027,15.167,26.911,16.321,28.801,17.457,0.175,0,0,0.0,2.791,6,0.533,0.364,2,5,6.781,3.19,1.721,11.13,2.6,4.879,1.845,5.403,-0.002,4.276,5.65,3.444,5.378,3.19,4.539,11.13,6.413,5.615,7.461,28.932,1.845,6.679,31.327,5.403,8.515,33.742,7.737,36.146,5.19,18.132,6.781,3.19,1.721,11.13,37.491,2.812,1.765,4.628,2.728,4.681,1.712,7,4.681,4.168,0.813,1.098,6,0,36.022,4.168,5.771,2.377,0.583,3.125,2.17,3.272,10.796,3.872,5.655,1,1.32,8.784,3.296,2.355,2.355,13.802,14.893,16.022,17.134,5.119,3.82,3.567,3.82,0.915,5.82,1.668,7.684,1.851,3.427,65.666,7.948,3.631,3.733,3.24,3.127,4.77,3.143,4.184,4.332,3.597,3.514,5.439,3.485,4.444,4.649,3.597,3.596,5.548,3.558,4.389,4.591,3.621,3.504,3.465,4.335,4.546,3.358,3.391,3.353,4.181,4.376,3.25,3.214,4.038,4.234,3.082,3.069,5.204,3.037,3.927,4.134,2.637,2.719,5.163,2.693,0.105,0.486,6.117,2.999,13.564,3.599,0.76,12.471,5.411,38.419,6.983,0.453,0.877,18.992,6.58,8.783,0.812,18.062,6.208,8.697,0.743,17.867,5.343,7.031,0.632,15.006,4.651
