pXC50,nCsp3,H.,Mv,nCsp2,nBM,RBF,nAB,AMW,N.,Mp,nH,SCBO,nC,nN,nDB,RBN,Sp,C.,Me,Mi,MW,nAT,nB,nBO,nBR,nBT
4.548,3,41.8,0.664,23,26,0.068,23,7.701,7.3,0.694,23,50.5,26,4,3,4,38.165,47.3,0.999,1.116,423.53,55,0,36,0,59
4.565,1,34.0,0.717,21,23,0.12,17,9.629,4.3,0.743,16,48.5,22,2,6,6,34.909,46.8,1.025,1.102,452.54,47,0,34,0,50
4.097,3,45.8,0.636,4,3,0.083,0,9.056,12.5,0.701,11,16.0,7,3,3,2,16.813,29.2,1.013,1.134,217.35,24,0,13,0,24
4.097,6,41.7,0.669,15,15,0.059,12,8.198,6.3,0.706,20,41.0,22,3,2,3,33.909,45.8,1.004,1.119,393.52,48,0,31,0,51
4.097,3,42.5,0.658,14,17,0.071,16,8.221,10.0,0.692,17,34.0,17,4,1,3,27.665,42.5,1.006,1.126,328.83,40,0,25,0,42
4.097,6,43.9,0.625,9,11,0.095,6,7.765,9.8,0.638,18,32.0,15,4,5,4,26.171,36.6,1.022,1.14,318.37,41,0,24,0,42
4.097,5,45.0,0.647,10,9,0.048,6,8.363,10.0,0.703,18,30.0,15,4,3,2,28.103,37.5,1.002,1.124,334.51,40,0,24,0,42
4.097,1,37.1,0.667,13,17,0.108,16,8.581,17.1,0.671,13,33.0,14,6,1,4,23.472,40.0,1.028,1.149,300.33,35,0,24,0,37
4.097,5,37.5,0.688,14,19,0.18,16,9.22,8.3,0.718,18,44.0,20,4,2,9,34.466,41.7,1.022,1.116,442.56,48,0,32,0,50
4.192,5,40.7,0.67,21,21,0.069,17,7.898,3.7,0.693,22,48.5,26,2,4,4,37.443,48.1,1.006,1.111,426.5,54,0,36,0,58
4.097,3,46.5,0.64,17,18,0.067,17,7.08,4.7,0.682,20,34.5,20,2,1,3,29.319,46.5,0.988,1.115,304.42,43,0,25,0,45
4.097,3,41.7,0.67,12,14,0.081,12,8.261,8.3,0.714,15,31.0,16,3,1,3,25.688,44.4,1.0,1.114,297.41,36,0,22,0,37
4.097,5,43.9,0.657,12,14,0.07,12,8.582,2.4,0.701,18,33.0,17,1,2,3,28.727,41.5,1.011,1.115,351.88,41,0,25,0,43
4.097,3,43.6,0.65,13,14,0.15,11,8.088,7.7,0.69,17,31.5,16,3,3,6,26.904,41.0,1.006,1.122,315.43,39,0,23,0,40
4.097,3,41.9,0.657,15,17,0.156,16,8.368,7.0,0.682,18,36.0,18,3,1,7,29.33,41.9,1.016,1.125,359.84,43,0,27,0,45
4.097,2,39.5,0.69,18,22,0.024,22,7.826,7.9,0.726,15,38.0,20,3,0,1,27.586,52.6,0.99,1.105,297.38,38,0,27,0,42
4.097,3,39.1,0.674,15,20,0.146,17,9.099,8.7,0.706,18,41.5,18,4,3,7,32.466,39.1,1.023,1.121,418.54,46,0,30,0,48
4.857,1,35.7,0.712,13,13,0.033,12,9.261,3.6,0.745,10,27.0,14,1,1,1,20.852,50.0,1.016,1.109,259.32,28,0,20,0,30
4.569,2,30.8,0.736,10,9,0.074,6,11.042,0.0,0.744,8,25.0,12,0,3,2,19.341,46.2,1.053,1.108,287.1,26,0,19,0,27
4.097,3,36.2,0.714,18,26,0.118,26,9.609,10.6,0.766,17,47.0,21,5,0,6,35.995,44.7,1.008,1.105,451.64,47,0,34,0,51
4.547,3,39.6,0.676,17,20,0.16,17,9.032,2.1,0.706,19,42.5,20,1,3,8,33.881,41.7,1.024,1.111,433.54,48,0,31,0,50
4.648,2,32.1,0.72,9,12,0.1,11,10.549,10.7,0.749,9,27.5,11,3,1,3,20.96,39.3,1.039,1.115,295.37,28,0,21,0,30
4.097,4,38.5,0.683,20,23,0.071,21,8.652,5.8,0.703,20,48.5,24,3,2,4,36.546,46.2,1.017,1.116,449.92,52,0,36,0,56
4.097,1,32.4,0.731,15,15,0.056,11,10.189,5.9,0.764,11,34.5,16,2,4,2,25.96,47.1,1.028,1.108,346.43,34,0,25,0,36
4.097,1,36.7,0.694,22,23,0.096,18,8.867,4.1,0.715,18,48.0,23,2,5,5,35.023,46.9,1.02,1.108,434.5,49,0,34,0,52
4.097,0,31.4,0.73,16,15,0.081,12,10.384,8.6,0.756,11,35.0,16,3,3,3,26.449,45.7,1.035,1.123,363.44,35,0,26,0,37
4.162,2,30.8,0.754,8,8,0.111,6,12.432,7.7,0.807,8,24.0,10,2,2,3,20.977,38.5,1.046,1.108,323.24,26,0,19,0,27
4.097,7,47.4,0.626,18,18,0.133,18,7.132,3.5,0.662,27,42.0,25,2,0,8,37.756,43.9,0.998,1.125,406.54,57,0,33,0,60
4.097,1,35.6,0.705,28,33,0.111,29,8.875,5.1,0.725,21,60.5,29,3,4,7,42.79,49.2,1.016,1.105,523.6,59,0,42,0,63
4.103,6,40.5,0.674,9,14,0.091,11,10.605,9.5,0.723,17,35.5,15,4,3,4,30.364,35.7,1.023,1.124,445.4,42,0,27,1,44
4.097,2,39.1,0.68,17,21,0.125,17,9.012,8.7,0.718,18,42.5,19,4,4,6,33.012,41.3,1.016,1.117,414.55,46,0,30,0,48
4.097,0,34.0,0.723,25,30,0.093,28,9.532,4.0,0.754,17,53.0,25,2,2,5,37.699,50.0,1.018,1.103,476.58,50,0,37,0,54
4.097,3,38.1,0.667,15,17,0.209,12,8.485,4.8,0.668,16,38.0,18,2,5,9,28.068,42.9,1.032,1.123,356.36,42,0,27,0,43
4.559,0,34.8,0.712,11,13,0.083,11,9.637,4.3,0.731,8,23.5,11,1,2,2,16.818,47.8,1.027,1.11,221.65,23,0,16,0,24
4.097,1,30.0,0.707,12,16,0.194,12,9.575,10.0,0.686,9,32.0,13,3,4,6,20.574,43.3,1.053,1.126,287.25,30,0,22,0,31
4.097,1,35.9,0.72,18,19,0.098,17,10.675,2.6,0.762,14,37.5,19,1,2,4,29.699,48.7,1.015,1.097,416.31,39,0,27,1,41
4.097,4,41.5,0.669,22,21,0.07,18,7.745,3.8,0.698,22,47.0,26,2,3,4,36.989,49.1,1.0,1.109,410.5,53,0,35,0,57
4.097,6,46.8,0.628,19,21,0.141,18,7.543,4.8,0.667,29,47.0,25,3,3,9,41.381,40.3,1.003,1.123,467.64,62,0,35,0,64
4.097,1,37.8,0.7,17,22,0.05,22,8.606,10.8,0.743,14,37.0,18,4,0,2,27.478,48.6,0.997,1.108,318.43,37,0,26,0,40
4.097,9,54.8,0.577,7,7,0.07,5,6.224,2.4,0.626,23,24.5,16,1,2,3,26.29,38.1,0.988,1.131,261.4,42,0,20,0,43
4.097,6,42.0,0.672,15,15,0.075,12,8.472,6.0,0.721,21,42.0,22,3,2,4,36.074,44.0,1.001,1.11,423.6,50,0,32,0,53
4.097,3,32.5,0.711,13,22,0.163,20,10.087,12.5,0.73,13,42.0,16,5,2,7,29.188,40.0,1.038,1.121,403.48,40,0,30,0,43
4.305,3,42.6,0.662,23,22,0.088,18,7.584,5.6,0.695,23,47.0,26,3,4,5,37.54,48.1,0.996,1.112,409.52,54,0,34,0,57
4.914,1,32.6,0.711,17,22,0.156,17,10.104,4.7,0.722,14,44.5,18,2,5,7,31.057,41.9,1.045,1.111,434.48,43,0,31,0,45
4.097,7,44.2,0.642,12,12,0.021,12,7.567,2.3,0.667,19,34.0,19,1,0,1,28.676,44.2,1.008,1.118,325.39,43,0,28,0,47
4.097,1,43.8,0.651,12,14,0.121,12,8.199,6.3,0.692,14,27.0,13,2,2,4,22.137,40.6,1.007,1.12,262.36,32,0,19,0,33
4.097,10,46.2,0.631,13,15,0.118,12,8.31,7.7,0.675,30,47.0,23,5,3,8,43.898,35.4,1.012,1.131,540.17,65,0,38,0,68
4.097,0,29.0,0.735,15,20,0.091,17,9.396,9.7,0.731,9,36.5,16,3,2,3,22.665,51.6,1.03,1.109,291.28,31,0,24,0,33
4.2,3,40.5,0.673,16,15,0.091,12,8.463,2.4,0.704,17,36.0,19,1,3,4,29.563,45.2,1.013,1.109,355.44,42,0,27,0,44
4.754,0,32.6,0.724,20,22,0.109,18,9.919,4.7,0.748,14,45.0,20,2,4,5,32.148,46.5,1.03,1.102,426.5,43,0,32,0,46
4.337,5,41.5,0.656,15,20,0.145,17,8.728,7.5,0.688,22,44.5,20,4,3,8,36.443,37.7,1.022,1.125,462.6,53,0,33,0,55
4.097,2,44.4,0.657,16,15,0.108,12,7.343,0.0,0.694,16,30.0,18,0,3,4,25.0,50.0,0.992,1.104,264.34,36,0,21,0,37
4.676,0,34.1,0.713,18,24,0.114,22,9.72,9.8,0.744,14,43.0,18,4,2,5,30.489,43.9,1.023,1.111,398.5,41,0,30,0,44
4.097,4,37.8,0.682,16,18,0.125,16,8.877,2.2,0.699,17,41.0,20,1,2,6,31.472,44.4,1.027,1.111,399.45,45,0,31,0,48
4.395,6,41.7,0.67,15,19,0.078,16,8.707,2.1,0.707,20,42.0,21,1,3,4,33.943,43.8,1.013,1.111,417.94,48,0,31,0,51
4.521,1,39.3,0.698,13,13,0.033,12,8.619,3.6,0.747,11,26.0,14,1,1,1,20.915,50.0,0.997,1.097,241.33,28,0,19,0,30
4.097,7,46.3,0.638,16,15,0.105,12,7.548,5.6,0.684,25,41.0,23,3,3,6,36.949,42.6,0.995,1.119,407.58,54,0,32,0,57
4.845,8,43.4,0.652,13,15,0.07,12,8.408,5.7,0.693,23,43.0,21,3,3,4,36.744,39.6,1.011,1.119,445.61,53,0,34,0,57
4.907,2,38.9,0.687,13,15,0.079,12,9.29,5.6,0.729,14,33.0,15,2,3,3,26.239,41.7,1.018,1.11,334.45,36,0,24,0,38
4.097,6,43.6,0.652,9,13,0.1,10,8.74,5.1,0.692,17,31.0,15,2,3,4,26.972,38.5,1.017,1.123,340.86,39,0,23,0,40
4.097,2,37.5,0.679,16,22,0.07,21,8.334,12.5,0.694,15,39.5,18,5,1,3,27.745,45.0,1.015,1.125,333.38,40,0,28,0,43
4.097,5,48.6,0.613,8,11,0.158,11,7.525,10.8,0.661,18,25.5,13,4,0,6,24.455,35.1,1.0,1.136,278.42,37,0,20,0,38
5.059,4,42.0,0.665,17,20,0.115,17,8.631,2.0,0.704,21,42.5,21,1,3,6,35.188,42.0,1.015,1.111,431.57,50,0,31,0,52
4.097,2,43.6,0.643,13,15,0.125,12,8.19,7.7,0.676,17,32.0,15,3,3,5,26.358,38.5,1.014,1.127,319.42,39,0,23,0,40
4.097,3,47.2,0.635,12,12,0.108,12,7.65,2.8,0.685,17,26.0,15,1,0,4,24.654,41.7,0.997,1.116,275.4,36,0,20,0,37
4.097,3,44.2,0.638,15,15,0.159,12,7.567,7.0,0.662,19,34.0,18,3,3,7,28.472,41.9,1.008,1.127,325.4,43,0,25,0,44
4.097,10,48.0,0.614,8,12,0.096,10,7.531,8.0,0.653,24,35.0,18,4,2,5,32.648,36.0,1.006,1.134,376.53,50,0,28,0,52
4.097,2,34.8,0.677,16,23,0.122,21,8.879,17.4,0.672,16,45.5,18,8,2,6,30.909,39.1,1.036,1.141,408.42,46,0,33,0,49
4.097,3,33.3,0.707,12,16,0.105,16,10.318,8.3,0.726,12,34.0,15,3,0,4,26.148,41.7,1.045,1.14,371.44,36,0,26,0,38
4.097,1,36.2,0.707,23,22,0.08,18,8.87,4.3,0.73,17,46.0,24,2,4,4,34.324,51.1,1.012,1.104,416.88,47,0,33,0,50
4.567,2,41.5,0.663,17,19,0.116,17,7.79,7.3,0.689,17,36.5,19,3,2,5,28.256,46.3,1.004,1.118,319.39,41,0,26,0,43
4.097,2,34.8,0.687,16,23,0.122,21,9.228,17.4,0.698,16,45.5,18,8,2,6,32.102,39.1,1.031,1.135,424.49,46,0,33,0,49
4.097,10,50.0,0.622,14,17,0.048,16,7.312,6.7,0.687,30,42.0,24,4,1,3,41.216,40.0,0.984,1.121,438.72,60,0,33,0,63
4.097,3,48.1,0.605,7,7,0.148,6,7.231,3.7,0.627,13,18.0,10,1,1,4,16.938,37.0,1.014,1.134,195.24,27,0,14,0,27
4.097,2,39.5,0.682,15,21,0.073,20,8.459,13.2,0.723,15,37.0,17,5,1,3,27.483,44.7,1.0,1.118,321.44,38,0,26,0,41
4.097,3,39.6,0.68,21,21,0.059,17,8.03,2.1,0.702,19,44.5,24,1,4,3,33.676,50.0,1.008,1.106,385.44,48,0,32,0,51
4.097,3,40.8,0.66,19,22,0.135,22,8.03,6.1,0.677,20,43.0,22,3,0,7,33.171,44.9,1.015,1.127,393.45,49,0,32,0,52
4.168,3,36.4,0.716,11,16,0.086,15,10.239,9.1,0.771,12,31.5,14,3,1,3,25.432,42.4,1.016,1.108,337.88,33,0,23,0,35
4.318,5,40.0,0.67,17,16,0.075,12,8.518,6.0,0.691,20,43.0,22,3,4,4,34.546,44.0,1.018,1.12,425.9,50,0,33,0,53
4.097,9,49.1,0.611,14,14,0.083,12,6.887,7.0,0.65,28,40.0,23,4,2,5,37.069,40.4,0.994,1.13,392.55,57,0,32,0,60
4.234,2,35.1,0.722,15,12,0.051,6,12.193,8.1,0.762,13,35.0,17,3,6,2,28.199,45.9,1.019,1.11,451.13,37,0,26,2,39
4.187,2,29.4,0.701,10,16,0.083,11,9.597,23.5,0.681,10,37.5,13,8,4,3,23.171,38.2,1.049,1.148,326.31,34,0,26,0,36
4.097,10,53.4,0.597,13,13,0.083,12,6.58,5.2,0.661,31,36.0,23,3,1,5,38.324,39.7,0.978,1.125,381.64,58,0,29,0,60
4.097,4,42.1,0.654,11,13,0.1,11,8.327,10.5,0.688,16,31.5,15,4,2,4,26.148,39.5,1.012,1.127,316.42,38,0,24,0,40
4.57,2,45.5,0.646,12,12,0.118,12,7.92,3.0,0.694,15,25.0,14,1,0,4,22.892,42.4,1.001,1.113,261.37,33,0,19,0,34
4.618,5,43.2,0.65,13,14,0.109,12,8.124,6.8,0.685,19,35.0,18,3,2,5,30.12,40.9,1.01,1.122,357.47,44,0,27,0,46
4.097,3,34.6,0.655,5,9,0.074,5,9.201,19.2,0.63,9,24.5,8,5,4,2,16.369,30.8,1.061,1.16,239.22,26,0,18,0,27
4.097,3,37.0,0.669,16,18,0.213,12,8.682,6.5,0.664,17,42.0,19,3,6,10,30.528,41.3,1.039,1.128,399.39,46,0,30,0,47
4.097,3,39.3,0.712,9,8,0.0,6,10.052,3.6,0.793,11,24.0,12,1,2,0,22.21,42.9,1.003,1.091,281.45,28,0,19,0,30
4.097,4,42.4,0.668,8,10,0.059,6,9.693,3.0,0.723,14,27.0,12,1,4,2,23.852,36.4,1.023,1.116,319.86,33,0,20,0,34
4.371,3,46.8,0.642,18,19,0.122,18,7.477,2.1,0.702,22,37.0,21,1,1,6,32.972,44.7,0.988,1.111,351.41,47,0,27,0,49
4.097,8,42.9,0.642,16,18,0.068,16,7.92,5.4,0.658,24,45.0,24,3,2,4,36.875,42.9,1.02,1.141,443.51,56,0,35,0,59
4.097,5,43.1,0.654,19,19,0.111,18,7.676,2.0,0.68,22,42.0,24,1,1,6,34.682,47.1,1.006,1.118,391.47,51,0,32,0,54
4.097,2,44.6,0.663,27,29,0.067,28,7.171,3.6,0.71,25,50.0,29,2,1,4,39.767,51.8,0.98,1.103,401.56,56,0,35,0,60
4.097,4,44.4,0.648,21,23,0.123,22,7.417,3.7,0.681,24,45.0,25,2,1,7,36.75,46.3,0.998,1.115,400.51,54,0,33,0,57
4.097,0,26.7,0.76,14,19,0.094,16,11.126,10.0,0.772,8,35.0,14,3,3,3,23.17,46.7,1.045,1.108,333.77,30,0,24,0,32
4.342,6,47.2,0.621,7,8,0.108,6,7.761,8.3,0.664,17,25.0,13,3,2,4,23.904,36.1,1.006,1.132,279.4,36,0,20,0,37
4.684,3,37.8,0.694,13,14,0.077,12,9.401,8.1,0.73,14,33.0,16,3,2,3,27.0,43.2,1.018,1.115,347.85,37,0,25,0,39
4.097,5,38.5,0.682,9,14,0.098,11,9.921,10.3,0.721,15,34.5,14,4,3,4,28.108,35.9,1.03,1.126,386.92,39,0,26,0,41
4.097,2,41.4,0.659,11,12,0.097,12,7.871,6.9,0.68,12,25.0,13,2,0,3,19.727,44.8,1.01,1.12,228.27,29,0,19,0,31
4.097,0,30.6,0.723,16,22,0.103,21,9.816,13.9,0.731,11,39.5,16,5,1,4,26.324,44.4,1.034,1.119,353.39,36,0,28,0,39
4.097,6,51.4,0.607,8,8,0.056,6,6.467,5.7,0.66,18,24.0,15,2,1,2,23.103,42.9,0.979,1.123,226.35,35,0,18,0,36
4.217,5,43.9,0.644,11,13,0.093,11,8.06,9.8,0.681,18,32.5,16,4,2,4,27.909,39.0,1.008,1.128,330.45,41,0,25,0,43
4.097,4,40.8,0.662,18,20,0.096,17,7.928,8.2,0.683,20,43.5,22,4,3,5,33.478,44.9,1.009,1.121,388.46,49,0,32,0,52
4.614,10,47.5,0.627,17,18,0.092,17,7.075,1.6,0.664,29,45.5,27,1,1,6,40.483,44.3,0.996,1.117,431.57,61,0,36,0,65
4.481,0,35.7,0.682,12,16,0.067,16,8.652,14.3,0.686,10,28.0,12,4,0,2,19.216,42.9,1.025,1.131,242.26,28,0,20,0,30
4.431,3,43.8,0.654,12,16,0.029,16,7.447,6.3,0.689,14,28.0,15,2,0,1,22.034,46.9,0.995,1.116,238.31,32,0,20,0,34
4.466,8,43.5,0.638,16,20,0.123,16,8.09,4.8,0.661,27,50.0,24,3,4,8,40.983,38.7,1.021,1.127,501.61,62,0,38,0,65
4.416,5,45.9,0.64,12,12,0.0,12,7.226,2.7,0.676,17,29.0,17,1,0,0,25.006,45.9,0.995,1.115,267.35,37,0,23,0,40
4.097,4,41.3,0.67,17,19,0.146,17,8.293,2.2,0.703,19,39.5,21,1,2,7,32.324,45.7,1.01,1.109,381.48,46,0,29,0,48
4.097,4,41.0,0.675,13,13,0.073,12,9.006,5.1,0.711,16,32.0,17,2,1,3,27.727,43.6,1.015,1.119,351.25,39,0,25,0,41
4.097,5,45.5,0.632,7,9,0.059,6,8.042,9.1,0.671,15,25.0,12,3,3,2,22.142,36.4,1.01,1.131,265.37,33,0,19,0,34
4.097,2,27.5,0.735,19,20,0.07,17,10.008,0.0,0.71,11,43.5,21,0,3,3,28.415,52.5,1.059,1.124,400.32,40,0,32,0,43
4.097,1,36.4,0.693,14,14,0.118,12,9.265,3.0,0.705,12,30.0,15,1,2,4,23.25,45.5,1.031,1.114,305.73,33,0,22,0,34
4.565,1,42.4,0.671,14,17,0.057,17,8.133,9.1,0.723,14,29.5,15,3,0,2,23.853,45.5,0.992,1.112,268.39,33,0,21,0,35
4.097,8,49.1,0.615,15,17,0.103,17,6.864,5.5,0.656,27,39.5,23,3,0,6,36.063,41.8,0.992,1.125,377.53,55,0,31,0,58
4.097,14,55.7,0.577,7,7,0.113,6,6.756,4.9,0.642,34,32.0,21,3,1,7,39.16,34.4,0.986,1.135,412.1,61,0,28,0,62
4.097,2,39.1,0.708,22,21,0.082,18,8.751,0.0,0.762,18,43.0,24,0,3,4,35.057,52.2,0.995,1.087,402.56,46,0,31,0,49
4.097,4,40.0,0.669,15,18,0.104,17,8.5,8.9,0.697,18,39.5,19,4,1,5,31.364,42.2,1.014,1.121,382.48,45,0,30,0,48
4.097,1,33.3,0.699,16,23,0.111,21,9.392,19.0,0.712,14,43.5,17,8,2,5,29.887,40.5,1.028,1.133,394.46,42,0,31,0,45
4.097,5,44.2,0.634,9,14,0.159,12,8.626,14.0,0.669,19,33.0,14,6,2,7,28.779,32.6,1.02,1.144,370.91,43,0,25,0,44
4.097,7,46.7,0.636,12,13,0.085,11,7.633,2.2,0.681,21,33.5,19,1,2,4,30.631,42.2,1.0,1.116,343.48,45,0,26,0,47
4.372,9,43.5,0.643,15,15,0.108,12,8.026,4.8,0.67,27,48.0,25,3,2,7,41.529,40.3,1.015,1.123,497.62,62,0,38,0,65
4.276,5,42.0,0.653,17,16,0.075,12,7.829,6.0,0.674,21,42.0,22,3,4,4,33.688,44.0,1.011,1.121,391.46,50,0,32,0,53
4.097,2,38.5,0.674,14,18,0.098,17,8.79,15.4,0.696,15,35.5,16,6,1,4,27.154,41.0,1.017,1.134,342.82,39,0,26,0,41
4.947,0,28.6,0.771,10,12,0.043,11,11.158,9.5,0.823,6,23.5,10,2,1,1,17.284,47.6,1.021,1.089,234.32,21,0,17,0,23
4.323,4,33.3,0.721,8,12,0.063,10,10.259,10.0,0.749,10,30.0,13,3,1,2,22.477,43.3,1.03,1.115,307.78,30,0,22,0,32
4.331,5,47.1,0.614,8,8,0.114,6,7.303,5.9,0.638,16,24.0,13,2,2,4,21.705,38.2,1.011,1.133,248.31,34,0,19,0,35
4.513,4,40.0,0.681,13,15,0.07,12,9.012,5.0,0.725,16,36.0,17,2,3,3,29.0,42.5,1.013,1.109,360.49,40,0,27,0,43
4.097,7,43.8,0.646,13,13,0.02,12,8.094,4.2,0.679,21,37.0,20,2,1,1,32.574,41.7,1.013,1.126,388.5,48,0,30,0,51
4.097,5,43.6,0.65,10,13,0.1,11,8.088,7.7,0.69,17,31.5,16,3,1,4,26.904,41.0,1.006,1.122,315.43,39,0,23,0,40
4.097,4,43.6,0.643,13,13,0.098,11,7.676,2.6,0.664,17,31.5,17,1,2,4,25.915,43.6,1.012,1.119,299.35,39,0,24,0,41
4.097,1,35.1,0.702,14,18,0.128,17,9.753,16.2,0.731,13,35.5,15,6,1,5,27.04,40.5,1.024,1.128,360.86,37,0,26,0,39
4.527,4,42.5,0.664,12,15,0.171,11,8.186,2.5,0.703,17,34.5,18,1,3,7,28.108,45.0,1.006,1.109,327.43,40,0,24,0,41
4.097,7,44.4,0.64,9,14,0.085,11,8.456,8.9,0.684,20,35.5,16,4,3,4,30.773,35.6,1.014,1.129,380.54,45,0,27,0,47
4.374,0,7.7,0.919,4,7,0.071,5,18.212,30.8,1.005,1,17.5,4,4,2,1,13.062,30.8,1.083,1.099,236.75,13,0,13,0,14
4.291,1,33.3,0.697,15,17,0.098,11,9.625,7.7,0.697,13,39.5,16,3,6,4,27.199,41.0,1.045,1.122,375.39,39,0,28,0,41
4.097,7,51.6,0.601,6,6,0.03,6,6.59,0.0,0.645,16,20.0,13,0,0,1,20.0,41.9,0.991,1.121,204.29,31,0,17,0,33
4.097,0,33.3,0.745,11,15,0.0,15,11.767,9.5,0.793,7,23.5,11,2,0,0,16.648,52.4,1.004,1.099,247.1,21,0,16,1,23
4.097,2,37.1,0.692,14,17,0.108,16,9.011,2.9,0.715,13,33.0,16,1,1,4,25.04,45.7,1.023,1.107,315.37,35,0,24,0,37
4.097,1,36.4,0.712,14,14,0.086,11,9.589,6.1,0.758,12,31.5,15,2,3,3,25.023,45.5,1.013,1.101,316.43,33,0,23,0,35
4.444,2,38.5,0.685,15,18,0.098,16,9.93,10.3,0.714,15,36.0,17,4,2,4,27.853,43.6,1.015,1.122,387.26,39,0,26,1,41
4.241,2,39.5,0.68,15,18,0.125,16,8.564,7.9,0.714,15,35.0,17,3,2,5,27.142,44.7,1.009,1.114,325.42,38,0,25,0,40
4.097,2,40.5,0.669,16,18,0.114,17,8.463,7.1,0.699,17,36.5,18,3,1,5,29.358,42.9,1.013,1.118,355.45,42,0,27,0,44
4.284,0,35.3,0.718,15,15,0.114,12,9.701,8.8,0.758,12,33.0,16,3,2,4,25.784,47.1,1.013,1.107,329.83,34,0,23,0,35
4.097,4,35.1,0.685,9,14,0.103,11,10.066,10.8,0.699,13,34.5,13,4,3,4,25.881,35.1,1.049,1.137,372.44,37,0,26,0,39
4.249,3,38.1,0.646,11,18,0.159,16,8.58,19.0,0.641,16,38.0,14,8,2,7,26.909,33.3,1.039,1.154,360.38,42,0,28,0,44
4.097,0,40.0,0.675,12,14,0.077,12,7.93,8.0,0.7,10,24.0,12,2,2,2,17.512,48.0,1.003,1.115,198.24,25,0,16,0,26
4.097,5,39.0,0.663,9,14,0.116,11,9.378,9.8,0.687,16,35.5,14,4,3,5,28.159,34.1,1.037,1.131,384.48,41,0,27,0,43
4.097,8,43.1,0.649,15,15,0.098,12,8.062,5.2,0.678,25,46.0,24,3,2,6,39.313,41.4,1.013,1.121,467.59,58,0,36,0,61
4.097,2,41.4,0.659,11,12,0.097,12,7.871,6.9,0.68,12,25.0,13,2,0,3,19.727,44.8,1.01,1.12,228.27,29,0,19,0,31
4.097,5,43.6,0.656,12,13,0.073,11,8.088,2.6,0.695,17,31.5,17,1,2,3,27.108,43.6,1.006,1.112,315.42,39,0,24,0,41
4.507,9,41.4,0.662,16,13,0.148,6,9.145,1.7,0.684,24,47.0,25,1,7,9,39.676,43.1,1.021,1.117,530.4,58,0,37,1,61
4.279,1,35.9,0.702,18,19,0.122,17,9.123,2.6,0.718,14,37.5,19,1,2,5,28.011,48.7,1.024,1.107,355.79,39,0,27,0,41
4.097,9,41.0,0.669,19,17,0.091,11,8.256,1.6,0.697,25,52.5,28,1,6,6,42.517,45.9,1.012,1.109,503.61,61,0,41,0,66
