pXC50,SpMax1_Bh.v.,piPC06,piPC07,Eta_betaP,Eta_F,piPC09,piPC10,Ui,SpMax1_Bh.p.,piPC08,SpMax2_Bh.m.,AMR,ATS4v,SpMax2_Bh.p.,Eta_beta,Eta_FL,PCD,piPC03,piPC04,piPC05,Eig07_AEA.bo.,Eig07_EA.bo.,P_VSA_m_2,SM03_AEA.bo.,Eig11_AEA.dm.,GGI8,Chi0_EA.ri.,Eig01_EA.ri.,Eta_alpha,SpDiam_EA.ri.,SpMax_EA.ri.,S0K,NaasC,SM06_EA.bo.,Eig04_AEA.ed.,Eig01_EA.bo.,Eig02_EA.bo.,SM11_AEA.ri.,SM12_AEA.ri.,SpAD_AEA.dm.,SpDiam_EA.bo.,SpMax7_Bh.m.,SpMax_EA.bo.,X0sol,Eta_betaP_A,piID,SM05_EA.bo.,SpMAD_AEA.dm.,ATS5v,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,SpMax8_Bh.m.,X1v,Eig12_AEA.dm.,Eig10_AEA.bo.,SM02_AEA.bo.,SM07_EA.bo.
6.387,4.0,6.383,6.821,19.0,29.015,7.604,7.91,3.524,4.078,7.168,4.028,86.946,3.704,3.914,35.0,6.995,3.217,4.859,5.443,5.981,2.882,2.021,147.61,6.213,0.875,0.471,16.523,3.088,11.557,5.088,3.088,105.342,5,10.063,5.764,4.663,4.284,4.663,4.284,43.073,7.663,2.662,4.663,15.992,0.76,10.243,8.304,1.595,3.655,12.877,13.984,15.053,16.153,17.24,2.626,8.944,0.657,2.439,4.922,11.313
6.886,4.002,6.478,6.918,19.5,32.457,7.749,8.061,3.524,4.078,7.289,4.033,98.158,3.865,3.915,37.5,7.422,3.286,4.923,5.503,6.05,3.013,2.187,156.795,6.283,1.0,0.625,18.765,3.091,12.89,5.091,3.091,123.851,6,10.109,5.779,4.663,4.288,4.663,4.288,47.528,7.663,2.687,4.663,18.277,0.696,10.596,8.362,1.584,3.83,12.913,14.016,15.082,16.181,17.266,2.684,10.055,0.974,2.5,4.999,11.356
6.569,4.007,6.519,6.953,19.5,32.982,7.785,8.103,3.524,4.079,7.331,4.039,98.451,3.916,3.931,37.5,7.536,3.293,4.958,5.533,6.079,3.012,2.186,156.795,6.311,1.0,0.638,18.513,3.103,12.89,5.103,3.103,127.851,7,10.16,6.062,4.663,4.302,4.663,4.302,47.947,7.663,2.941,4.663,18.44,0.696,10.604,8.427,1.598,3.856,13.029,14.131,15.2,16.298,17.384,2.631,9.884,0.878,2.5,5.012,11.416
6.602,4.002,6.441,6.865,19.0,30.034,7.691,7.97,3.524,4.078,7.236,4.066,91.751,3.735,3.922,35.75,7.068,3.246,4.893,5.471,6.023,3.007,2.178,141.634,6.256,1.0,0.594,17.107,3.089,12.271,5.089,3.089,109.457,6,10.101,5.773,4.663,4.287,4.663,4.287,44.865,7.663,2.687,4.663,17.363,0.731,10.375,8.357,1.602,3.676,12.886,13.992,15.061,16.161,17.247,2.63,9.422,0.666,2.489,4.958,11.35
5.699,4.007,6.43,6.877,19.0,28.731,7.695,7.97,3.524,4.08,7.247,4.029,100.3,3.894,3.937,35.75,6.822,3.323,4.901,5.484,6.023,2.853,1.967,155.569,6.211,1.0,0.56,18.196,3.058,12.771,5.058,3.058,120.382,6,10.06,5.778,4.663,4.259,4.663,4.259,46.168,7.663,2.721,4.663,18.277,0.704,10.575,8.292,1.592,3.837,12.778,13.88,14.934,16.028,17.103,2.687,10.324,0.916,2.345,4.951,11.3
6.921,4.004,6.493,6.936,19.5,33.258,7.771,8.089,3.524,4.079,7.292,4.035,101.375,3.916,3.923,37.75,7.573,3.286,4.937,5.509,6.055,3.025,2.201,160.808,6.305,1.0,0.706,18.287,3.093,12.957,5.093,3.093,121.851,6,10.121,5.938,4.663,4.288,4.663,4.288,48.106,7.663,2.687,4.663,18.44,0.696,10.596,8.381,1.604,3.833,12.969,14.069,15.132,16.227,17.309,2.631,9.973,0.924,2.5,5.012,11.369
7.357,4.001,6.468,6.901,19.5,31.966,7.732,8.032,3.524,4.078,7.264,4.032,93.41,3.816,3.914,37.0,7.48,3.268,4.915,5.49,6.039,3.012,2.185,154.26,6.27,1.0,0.625,18.02,3.091,12.39,5.091,3.091,117.627,6,10.107,5.778,4.663,4.288,4.663,4.288,46.112,7.663,2.687,4.663,17.57,0.722,10.491,8.362,1.59,3.753,12.911,14.015,15.081,16.18,17.265,2.631,9.467,0.871,2.5,4.978,11.355
7.194,4.001,6.419,6.859,19.5,29.523,7.677,7.938,3.524,4.078,7.221,4.025,92.52,3.799,3.914,36.25,7.325,3.307,4.893,5.471,6.012,2.848,1.961,154.616,6.197,1.0,0.56,17.668,3.056,12.105,5.056,3.056,114.211,6,10.058,5.778,4.663,4.259,4.663,4.259,44.947,7.663,2.687,4.663,17.57,0.75,10.469,8.292,1.605,3.734,12.742,13.844,14.901,15.996,17.074,2.63,9.375,0.87,2.322,4.929,11.3
6.538,4.002,6.391,6.821,19.0,26.203,7.634,7.877,3.524,4.079,7.191,4.734,93.679,3.724,3.93,34.75,6.641,3.286,4.87,5.452,5.995,2.835,1.947,141.544,6.183,1.0,0.529,16.783,3.054,12.605,5.054,3.054,108.096,6,10.052,5.773,4.663,4.259,4.663,4.259,43.654,7.663,2.687,4.663,17.863,0.76,10.351,8.286,1.617,3.661,12.708,13.814,14.873,15.97,17.049,2.63,9.745,0.665,2.311,4.907,11.294
5.824,4.004,6.519,6.953,19.5,31.304,7.785,8.103,3.524,4.079,7.331,4.734,101.032,3.887,3.932,37.5,7.297,3.293,4.958,5.533,6.079,3.012,2.186,147.839,6.311,1.0,0.638,18.65,3.093,13.724,5.093,3.093,127.851,7,10.16,6.062,4.663,4.302,4.663,4.302,47.97,7.663,3.009,4.663,19.44,0.696,10.604,8.427,1.599,3.818,12.934,14.037,15.103,16.201,17.286,2.631,10.366,0.879,2.5,5.012,11.416
6.886,3.965,6.259,6.647,16.5,30.253,7.298,7.702,3.392,4.033,6.924,4.018,94.847,3.83,3.808,33.75,6.26,2.344,4.776,5.356,5.851,3.07,1.956,208.678,6.295,0.978,0.464,16.946,3.179,12.257,5.126,3.179,116.872,5,10.075,6.389,4.663,4.405,4.663,4.405,46.985,7.663,2.772,4.663,18.371,0.611,9.224,8.39,1.678,3.749,13.562,14.693,15.813,16.943,18.07,2.627,9.119,0.51,2.5,4.975,11.388
6.699,3.964,6.199,6.592,16.5,27.407,7.248,7.609,3.392,4.033,6.86,4.008,94.16,3.81,3.805,33.0,6.11,2.36,4.759,5.328,5.799,3.039,1.931,202.743,6.164,0.973,0.472,17.227,3.112,11.971,5.059,3.112,118.211,5,9.991,5.481,4.663,4.365,4.663,4.365,44.211,7.663,2.924,4.663,18.155,0.635,9.169,8.266,1.637,3.732,13.044,14.164,15.263,16.38,17.49,2.686,9.275,0.51,2.372,4.896,11.304
6.842,3.996,6.343,6.745,16.5,30.204,7.482,7.89,3.392,4.077,7.067,4.034,100.748,3.913,3.93,35.75,6.188,2.301,4.895,5.468,5.935,3.091,2.053,166.134,6.356,1.398,0.66,19.345,3.181,13.357,5.181,3.181,134.127,5,10.077,6.254,4.663,4.407,4.663,4.407,53.774,7.663,2.924,4.663,18.724,0.569,9.929,8.378,1.68,3.877,13.349,14.476,15.579,16.704,17.821,2.69,11.001,1.0,2.513,5.08,11.383
6.824,3.988,6.342,6.722,16.5,29.641,7.432,7.784,3.392,4.076,7.027,4.031,93.493,3.903,3.836,34.5,6.352,2.33,4.833,5.427,5.935,3.013,1.876,152.924,6.264,1.077,0.565,18.053,3.203,12.357,5.15,3.203,117.627,5,10.062,5.889,4.664,4.427,4.664,4.427,48.309,7.664,2.866,4.664,17.57,0.611,9.487,8.351,1.666,3.874,13.133,14.27,15.385,16.523,17.655,2.749,10.036,1.0,2.5,4.982,11.378
6.903,3.986,6.315,6.727,20.5,32.855,7.494,7.906,3.7,4.076,7.072,4.22,100.564,3.8,3.919,38.75,7.462,2.887,4.942,5.515,5.911,3.074,1.985,186.061,6.332,1.0,0.555,18.874,3.17,13.19,5.116,3.17,127.851,6,10.132,5.792,4.663,4.405,4.663,4.405,49.081,7.663,2.929,4.663,18.63,0.732,10.052,8.4,1.636,3.749,13.039,14.164,15.268,16.394,17.515,2.682,10.412,0.936,2.51,5.043,11.413
7.022,3.99,6.38,6.772,16.5,31.327,7.488,7.85,3.392,4.077,7.086,4.035,102.437,4.065,3.854,35.5,6.333,2.314,4.865,5.457,5.961,3.111,2.091,165.506,6.334,1.29,0.59,18.931,3.208,13.357,5.154,3.208,128.127,5,10.075,5.914,4.664,4.427,4.664,4.427,52.53,7.664,3.053,4.664,19.31,0.569,9.657,8.374,1.695,4.037,13.214,14.344,15.453,16.586,17.713,2.826,10.823,1.0,2.516,5.048,11.387
6.886,3.987,6.304,6.68,16.5,27.829,7.398,7.723,3.392,4.076,6.98,4.021,97.205,3.977,3.835,34.25,6.197,2.339,4.817,5.405,5.896,2.909,1.864,155.814,6.205,1.271,0.543,18.408,3.154,12.571,5.101,3.154,118.382,5,10.01,5.822,4.663,4.39,4.663,4.39,48.345,7.663,3.057,4.663,18.277,0.611,9.534,8.279,1.667,3.918,12.957,14.085,15.187,16.313,17.432,2.895,10.444,1.0,2.47,4.954,11.322
6.879,3.985,6.278,6.659,16.5,29.966,7.315,7.72,3.392,4.075,6.927,4.02,95.28,3.896,3.818,33.75,6.201,2.344,4.793,5.366,5.864,3.059,1.929,182.471,6.262,1.0,0.463,17.303,3.175,12.357,5.121,3.175,119.627,5,10.052,5.83,4.663,4.407,4.663,4.407,47.379,7.663,2.932,4.663,18.319,0.611,9.224,8.352,1.692,3.839,13.103,14.222,15.325,16.447,17.565,2.628,9.784,0.813,2.5,4.961,11.368
6.377,3.995,6.296,6.705,16.5,27.683,7.436,7.815,3.392,4.077,7.016,4.026,99.858,3.892,3.93,35.0,6.033,2.319,4.872,5.442,5.893,3.089,2.004,166.489,6.29,1.378,0.571,18.993,3.131,13.071,5.131,3.131,130.606,5,10.025,6.119,4.663,4.367,4.663,4.367,52.568,7.663,2.913,4.663,18.724,0.589,9.897,8.308,1.696,3.857,13.21,14.33,15.421,16.535,17.639,2.689,10.909,1.0,2.5,5.035,11.327
6.678,3.973,6.331,6.729,16.5,29.033,7.443,7.777,3.392,4.035,7.033,4.026,101.135,4.028,3.846,34.75,6.219,2.332,4.841,5.431,5.92,3.111,2.006,189.962,6.266,1.224,0.549,18.491,3.162,12.971,5.108,3.162,124.606,5,10.023,5.883,4.663,4.39,4.663,4.39,50.236,7.663,3.051,4.663,19.31,0.589,9.618,8.304,1.675,4.003,13.215,14.341,15.446,16.57,17.688,2.815,10.214,1.0,2.5,5.002,11.331
6.721,3.983,6.213,6.613,16.5,29.662,7.3,7.663,3.392,4.075,6.9,4.008,91.083,3.771,3.808,35.0,6.967,2.34,4.801,5.366,5.814,3.054,1.94,168.001,6.205,1.451,0.485,18.431,3.111,12.238,5.057,3.111,120.382,5,9.998,5.492,4.663,4.365,4.663,4.365,48.512,7.663,2.944,4.663,18.277,0.611,9.443,8.271,1.673,3.714,12.871,13.98,15.065,16.173,17.274,2.628,9.648,1.012,2.418,4.954,11.307
6.9,3.983,6.263,6.654,16.5,32.205,7.348,7.744,3.392,4.075,6.953,4.018,91.973,3.795,3.808,35.75,7.122,2.323,4.825,5.393,5.86,3.069,1.957,167.646,6.277,1.46,0.555,18.783,3.17,12.524,5.116,3.17,123.851,5,10.051,5.792,4.663,4.405,4.663,4.405,49.82,7.663,2.958,4.663,18.277,0.589,9.487,8.343,1.661,3.737,13.06,14.182,15.284,16.408,17.526,2.628,9.74,1.02,2.5,5.002,11.364
6.959,3.986,6.256,6.643,16.5,28.489,7.314,7.704,3.392,4.075,6.932,4.021,89.059,3.753,3.846,33.75,6.224,2.342,4.784,5.361,5.848,3.07,1.956,163.17,6.262,1.0,0.5,17.245,3.17,11.857,5.116,3.17,113.457,5,10.053,5.793,4.663,4.405,4.663,4.405,47.316,7.663,2.828,4.663,16.863,0.635,9.282,8.352,1.69,3.699,13.113,14.231,15.329,16.448,17.563,2.627,9.508,0.769,2.5,4.961,11.367
6.699,3.984,6.208,6.606,16.5,27.481,7.249,7.623,3.392,4.075,6.867,4.009,94.37,3.831,3.817,33.0,6.063,2.36,4.75,5.328,5.805,3.055,1.939,184.932,6.225,1.0,0.443,16.682,3.134,12.071,5.081,3.134,113.457,5,10.023,6.122,4.663,4.366,4.663,4.366,46.676,7.663,2.765,4.663,18.371,0.635,9.169,8.321,1.729,3.747,13.326,14.448,15.555,16.675,17.791,2.627,9.545,0.732,2.378,4.925,11.333
6.444,3.983,6.25,6.611,16.5,28.497,7.274,7.669,3.392,4.075,6.873,4.018,86.284,3.746,3.811,32.75,6.219,2.357,4.759,5.356,5.847,3.012,1.88,173.646,6.211,0.855,0.438,16.108,3.172,11.357,5.119,3.172,107.342,5,10.041,5.796,4.663,4.406,4.663,4.406,44.275,7.663,2.628,4.663,16.741,0.66,9.095,8.336,1.703,3.705,13.037,14.163,15.272,16.4,17.523,2.499,8.873,0.51,2.5,4.903,11.361
6.854,3.982,6.343,6.745,16.5,30.473,7.482,7.89,3.392,4.037,7.067,4.034,100.335,3.891,3.926,35.75,6.23,2.301,4.895,5.468,5.935,3.091,2.053,190.235,6.356,1.315,0.66,19.257,3.182,13.257,5.182,3.182,134.127,5,10.077,6.254,4.663,4.407,4.663,4.407,53.088,7.663,2.923,4.663,18.724,0.569,9.929,8.378,1.659,3.858,13.471,14.602,15.71,16.838,17.957,2.689,10.484,1.0,2.513,5.08,11.383
5.728,3.973,6.38,6.772,16.5,31.603,7.488,7.85,3.392,4.035,7.086,4.035,102.024,4.046,3.846,35.5,6.374,2.314,4.865,5.457,5.961,3.111,2.091,189.607,6.334,1.239,0.59,18.843,3.208,13.257,5.154,3.208,128.127,5,10.075,5.914,4.664,4.427,4.664,4.427,51.523,7.664,3.052,4.664,19.31,0.569,9.657,8.374,1.662,4.021,13.353,14.486,15.601,16.735,17.864,2.825,10.306,1.0,2.516,5.048,11.387
6.737,3.987,6.331,6.729,16.5,30.124,7.443,7.777,3.392,4.076,7.033,4.024,98.373,4.01,3.831,35.25,6.63,2.332,4.841,5.431,5.92,3.111,2.006,163.326,6.266,1.289,0.549,18.739,3.158,12.905,5.104,3.158,124.606,5,10.023,5.883,4.663,4.39,4.663,4.39,51.184,7.663,3.045,4.663,19.31,0.589,9.618,8.304,1.706,4.001,13.003,14.125,15.225,16.348,17.464,2.792,10.386,1.0,2.5,5.002,11.331
5.301,3.969,6.331,6.729,16.5,30.391,7.443,7.777,3.392,4.034,7.033,4.024,97.961,3.99,3.823,35.25,6.671,2.332,4.841,5.431,5.92,3.111,2.006,187.427,6.266,1.255,0.549,18.651,3.159,12.805,5.105,3.159,124.606,5,10.023,5.883,4.663,4.39,4.663,4.39,50.167,7.663,3.044,4.663,19.31,0.589,9.618,8.304,1.672,3.984,13.172,14.299,15.407,16.533,17.654,2.791,9.869,1.0,2.5,5.002,11.331
6.854,3.988,6.38,6.772,16.5,32.711,7.488,7.85,3.392,4.076,7.086,4.033,99.263,4.029,3.831,36.0,6.785,2.314,4.865,5.457,5.961,3.111,2.091,162.971,6.334,1.321,0.59,19.091,3.206,13.19,5.152,3.206,128.127,5,10.075,5.914,4.664,4.427,4.664,4.427,52.518,7.664,3.046,4.664,19.31,0.569,9.657,8.374,1.694,4.019,13.171,14.302,15.415,16.549,17.679,2.8,10.478,1.0,2.516,5.048,11.387
7.201,3.984,6.263,6.654,16.5,31.008,7.348,7.744,3.392,4.075,6.953,4.019,95.371,3.824,3.813,35.25,6.693,2.323,4.825,5.393,5.86,3.069,1.957,167.763,6.277,1.0,0.555,18.797,3.17,12.69,5.116,3.17,127.851,5,10.051,5.792,4.663,4.405,4.663,4.405,49.538,7.663,2.958,4.663,18.277,0.589,9.487,8.343,1.651,3.764,13.047,14.171,15.274,16.399,17.519,2.628,10.124,0.984,2.5,5.002,11.364
6.301,3.982,6.27,6.645,16.5,29.862,7.313,7.709,3.392,4.075,6.918,4.014,91.678,3.836,3.799,33.75,6.241,2.344,4.784,5.37,5.858,3.041,1.901,163.191,6.239,1.0,0.525,17.742,3.153,12.29,5.099,3.153,121.627,5,10.045,5.798,4.663,4.406,4.663,4.406,46.655,7.663,3.005,4.663,18.155,0.611,9.224,8.338,1.666,3.81,12.989,14.109,15.21,16.331,17.447,2.628,9.812,0.857,2.5,4.947,11.362
6.301,3.975,5.968,6.306,13.5,22.684,6.889,7.157,3.087,4.073,6.54,3.977,67.649,3.423,3.749,27.5,5.606,2.238,4.586,5.127,5.583,2.5,1.5,109.984,6.019,0.51,0.303,13.795,2.978,9.39,4.924,2.978,85.484,4,9.916,5.267,4.662,4.195,4.662,4.195,35.115,7.662,2.535,4.662,13.586,0.643,8.632,8.218,1.596,3.272,12.553,13.628,14.675,15.745,16.804,2.357,7.396,0.51,1.0,4.707,11.227
6.301,3.978,6.086,6.475,13.5,25.065,7.095,7.431,3.087,4.074,6.735,3.987,88.663,3.739,3.788,30.5,5.483,2.262,4.683,5.217,5.683,2.713,1.76,111.774,6.155,1.0,0.426,17.298,2.982,11.89,4.982,2.982,111.457,4,9.934,5.475,4.662,4.197,4.662,4.197,44.218,7.662,2.866,4.662,16.699,0.519,9.346,8.235,1.579,3.671,12.604,13.684,14.718,15.789,16.84,2.63,10.04,0.673,2.33,4.888,11.234
6.77,3.989,6.505,6.919,22.5,37.672,7.732,8.172,3.755,4.076,7.289,4.028,103.247,3.955,3.894,41.75,8.202,3.253,5.039,5.612,6.124,3.281,2.535,198.165,6.416,1.46,0.677,19.709,3.156,13.79,5.156,3.156,136.452,8,10.241,6.324,4.663,4.412,4.663,4.412,53.466,7.663,2.991,4.663,20.017,0.75,10.643,8.506,1.671,3.885,13.213,14.329,15.421,16.535,17.641,2.935,10.332,1.0,2.681,5.113,11.511
4.708,3.977,6.063,6.444,13.5,25.049,7.015,7.35,3.087,4.074,6.68,3.984,85.864,3.732,3.763,29.5,5.483,2.252,4.646,5.179,5.649,2.661,1.703,121.821,6.112,0.618,0.369,16.47,2.982,11.39,4.928,2.982,105.342,4,9.929,5.445,4.662,4.197,4.662,4.197,40.32,7.662,2.632,4.662,16.578,0.54,8.98,8.235,1.551,3.693,12.591,13.663,14.705,15.773,16.83,2.585,9.454,0.51,1.618,4.826,11.234
6.77,3.983,6.237,6.613,16.5,29.142,7.288,7.677,3.392,4.076,6.895,4.118,95.622,3.807,3.839,33.75,6.345,2.344,4.776,5.356,5.84,2.85,1.83,155.689,6.215,1.042,0.56,18.313,3.134,12.624,5.081,3.134,121.627,5,10.039,5.791,4.663,4.405,4.663,4.405,48.317,7.663,3.005,4.663,18.346,0.611,9.224,8.326,1.726,3.761,12.928,14.044,15.143,16.259,17.371,2.703,10.443,1.0,2.5,4.933,11.357
6.301,3.981,6.105,6.481,13.5,24.816,7.115,7.402,3.087,4.074,6.701,4.004,81.857,3.711,3.796,29.0,5.579,2.239,4.679,5.244,5.708,2.64,1.681,119.286,6.129,0.516,0.418,15.303,3.134,10.89,5.08,3.134,101.284,5,10.01,5.72,4.663,4.369,4.663,4.369,40.489,7.663,2.627,4.663,16.034,0.563,8.897,8.32,1.62,3.681,12.933,14.047,15.144,16.26,17.37,2.499,8.801,0.51,1.259,4.818,11.336
6.77,3.982,6.292,6.681,16.5,30.784,7.335,7.744,3.392,4.075,6.953,4.016,96.073,3.935,3.804,34.25,6.223,2.337,4.809,5.38,5.873,3.06,1.93,169.482,6.275,1.0,0.475,18.217,3.154,12.79,5.1,3.154,125.851,5,10.055,5.92,4.663,4.407,4.663,4.407,48.433,7.663,3.035,4.663,19.026,0.589,9.283,8.355,1.67,3.912,13.056,14.168,15.263,16.378,17.489,2.629,10.223,0.904,2.5,4.982,11.369
7.398,3.988,6.376,6.767,22.5,36.568,7.545,7.971,3.755,4.077,7.113,4.131,104.659,3.905,3.893,41.5,8.015,3.194,5.006,5.568,6.055,3.08,2.123,187.89,6.391,1.469,0.69,20.03,3.135,14.076,5.135,3.135,140.452,7,10.193,6.021,4.663,4.406,4.663,4.406,55.577,7.663,2.996,4.663,19.337,0.75,10.547,8.447,1.737,3.818,13.038,14.15,15.232,16.342,17.442,2.829,11.028,1.405,2.718,5.101,11.455
6.301,3.982,6.293,6.685,16.5,30.657,7.374,7.77,3.392,4.075,6.976,4.016,86.997,3.748,3.801,34.75,6.725,2.33,4.817,5.398,5.875,3.055,1.921,152.191,6.264,1.0,0.521,18.146,3.153,12.124,5.099,3.153,121.627,5,10.05,5.802,4.663,4.407,4.663,4.407,48.404,7.663,2.668,4.663,17.57,0.611,9.44,8.343,1.669,3.741,13.002,14.12,15.219,16.339,17.454,2.627,9.513,0.939,2.5,4.982,11.364
6.301,3.982,6.278,6.659,16.5,29.94,7.315,7.72,3.392,4.075,6.927,4.014,91.601,3.852,3.8,33.75,6.229,2.344,4.793,5.37,5.864,3.046,1.905,163.191,6.239,0.933,0.463,17.888,3.153,12.29,5.099,3.153,117.627,5,10.046,5.801,4.663,4.407,4.663,4.407,45.973,7.663,3.035,4.663,18.155,0.611,9.224,8.341,1.642,3.831,12.996,14.115,15.215,16.335,17.451,2.629,9.85,0.628,2.5,4.947,11.363
6.301,3.985,6.422,6.854,22.5,35.554,7.656,8.083,3.755,4.075,7.215,4.022,93.164,3.769,3.846,40.75,8.089,3.158,4.958,5.547,6.063,3.073,2.124,193.096,6.341,1.0,0.541,18.716,3.153,12.79,5.153,3.153,123.851,6,10.143,5.802,4.663,4.41,4.663,4.41,49.626,7.663,2.787,4.663,18.277,0.804,10.368,8.383,1.654,3.739,13.005,14.128,15.223,16.344,17.457,2.687,9.499,1.0,2.509,5.051,11.399
