pXC50,Sv,MW,nSK,SCBO,RBN,nBO
5.979,45.233,534.73,38,53.0,11,41
5.523,37.829,484.58,34,49.0,9,36
8.301,59.928,935.42,56,84.0,11,62
6.541,44.667,704.5,42,60.5,12,45
7.456,44.025,643.6,42,60.5,12,45
6.851,44.025,643.6,42,60.5,12,45
7.328,44.71,703.61,42,61.5,12,45
7.509,44.068,642.71,42,61.5,12,45
6.301,45.633,628.76,42,63.5,11,46
6.328,47.16,642.79,43,64.5,11,47
6.319,46.658,707.65,43,64.5,11,47
6.337,46.017,646.75,43,64.5,11,47
7.77,49.194,754.56,46,68.0,12,50
7.745,48.688,755.55,46,68.0,12,50
7.409,49.237,753.67,46,69.0,12,50
7.387,48.732,754.66,46,69.0,12,50
8.046,48.552,693.66,46,68.0,12,50
7.959,48.047,694.65,46,68.0,12,50
7.456,48.595,692.77,46,69.0,12,50
7.42,48.09,693.76,46,69.0,12,50
4.038,28.624,414.26,24,32.0,8,25
5.178,22.207,295.25,20,28.0,4,21
4.0,22.89,298.8,20,32.0,3,22
4.301,44.261,454.76,33,40.0,2,37
4.706,42.492,434.72,32,41.0,1,37
4.611,42.492,434.72,32,41.0,1,37
4.301,43.546,438.76,32,39.0,1,36
6.745,44.104,634.62,41,58.0,13,43
5.757,36.365,483.45,33,44.0,10,34
5.398,40.466,555.53,37,52.0,11,39
5.796,39.705,577.48,38,53.0,11,40
5.046,37.675,536.49,35,47.0,12,36
6.658,42.115,611.58,40,58.5,11,43
5.959,45.63,648.65,42,59.0,13,44
5.638,42.74,589.55,40,57.5,11,43
5.398,39.964,620.39,37,52.0,11,39
5.301,42.33,625.5,41,56.0,12,43
6.0,37.599,547.53,35,49.5,11,37
6.114,42.18,583.54,39,55.0,12,41
6.226,44.729,612.59,41,57.0,13,43
6.201,48.729,660.63,45,65.0,13,48
6.0,39.705,577.48,38,53.0,11,40
5.66,23.373,327.34,22,29.5,3,24
7.192,43.642,625.61,41,59.5,12,44
7.222,45.883,655.64,43,61.5,13,46
7.72,46.656,727.54,43,60.0,13,45
5.538,37.412,527.47,35,50.0,9,37
5.155,36.192,512.46,34,50.0,9,36
4.171,43.639,562.55,39,53.0,13,41
4.921,37.907,540.47,36,53.0,10,38
5.668,34.268,467.46,31,45.0,8,33
5.107,41.105,493.54,37,57.0,9,41
5.101,38.1365,318.94,15,21.0,3,15
6.854,51.658,569.8,42,58.0,19,45
4.959,20.008,264.33,18,26.0,4,19
4.0,38.148,463.53,34,49.0,10,36
4.094,53.067,613.76,46,69.0,13,50
4.0,41.201,491.59,36,51.0,12,38
5.785,34.575,561.19,32,48.0,7,35
4.983,44.034,574.61,41,61.0,7,45
5.658,44.034,574.61,41,61.0,7,45
5.252,45.561,588.64,42,62.0,8,46
5.888,45.561,588.64,42,62.0,8,46
5.62,40.792,532.57,38,57.5,5,42
4.963,43.599,536.64,39,59.0,8,43
5.602,43.599,536.64,39,59.0,8,43
5.292,45.125,550.67,40,60.0,9,44
5.523,45.125,550.67,40,60.0,9,44
5.046,40.357,494.6,36,55.5,6,40
5.227,45.502,472.78,34,40.0,1,38
6.097,32.525,403.41,30,46.0,7,33
5.695,31.466,775.69,28,36.0,6,29
5.611,24.334,640.68,23,31.0,2,24
5.959,33.622,397.45,30,46.5,7,33
4.788,33.928,396.47,30,46.5,7,33
5.108,35.455,410.5,31,47.5,7,34
5.108,33.622,397.45,30,46.5,7,33
5.921,34.094,413.52,30,46.5,7,33
5.538,34.434,395.48,30,46.5,7,33
5.114,35.675,413.5,31,46.0,7,34
5.292,35.675,413.5,31,46.0,7,34
4.398,36.051,441.46,33,50.5,8,36
5.62,34.772,451.42,33,49.5,7,36
5.824,34.388,433.43,32,48.5,7,35
5.854,34.772,451.42,33,49.5,7,36
6.097,35.216,467.87,33,49.5,7,36
5.745,35.244,467.49,33,49.5,7,36
6.222,35.688,483.94,33,49.5,7,36
5.398,36.138,437.48,33,52.0,7,37
6.398,38.763,485.5,36,55.0,8,40
6.523,39.207,501.95,36,55.0,8,40
6.301,37.377,489.53,35,54.0,7,39
6.301,39.235,501.57,36,55.0,8,40
5.469,29.508,398.25,27,42.0,4,30
5.666,32.831,402.43,30,46.0,7,33
5.087,32.766,409.42,30,44.0,7,33
5.122,32.96,441.38,32,48.0,6,35
4.289,38.388,475.62,33,45.0,8,35
4.321,27.095,323.37,24,36.0,4,27
5.121,26.856,387.31,23,34.0,3,25
4.372,29.808,385.49,26,34.0,5,27
4.996,19.309,284.74,18,26.0,4,19
5.081,18.865,268.29,18,26.0,4,19
6.071,46.539,607.58,44,63.5,10,48
4.086,33.808,433.53,30,42.0,6,32
4.402,28.808,373.48,25,32.0,8,25
5.319,37.446,512.62,34,48.0,8,36
4.719,27.59,336.37,25,38.0,3,27
4.708,27.192,305.4,23,34.0,2,25
5.585,58.06,708.76,52,74.0,6,58
4.865,25.831,308.42,22,33.0,3,24
4.983,34.465,390.58,28,40.0,3,31
4.14,28.81,351.38,26,39.0,5,29
4.0,38.1365,320.96,15,20.0,4,15
4.097,27.315,326.37,24,35.0,2,27
5.117,30.094,365.48,26,38.0,4,28
5.602,35.523,461.54,32,45.0,7,34
4.777,34.082,428.56,29,37.0,8,30
4.0,44.47,471.75,34,41.0,18,35
4.0,42.943,457.72,33,40.0,18,34
4.0,44.47,471.75,34,41.0,18,35
4.0,43.771,492.16,34,41.0,18,35
4.077,43.327,475.71,34,41.0,18,35
4.0,43.658,473.72,34,41.0,18,35
4.0,45.185,487.75,35,42.0,19,36
4.0,47.018,500.8,36,43.0,19,37
4.0,44.47,471.75,34,41.0,18,35
4.0,43.771,492.16,34,41.0,18,35
4.0,43.327,475.71,34,41.0,18,35
4.167,43.658,473.72,34,41.0,18,35
4.0,45.185,487.75,35,42.0,19,36
4.0,47.018,500.8,36,43.0,19,37
4.0,43.771,492.16,34,41.0,18,35
4.0,43.327,475.71,34,41.0,18,35
4.0,43.658,473.72,34,41.0,18,35
4.0,45.185,487.75,35,42.0,19,36
