pXC50,O.,nAB,Sp,MW,nC,nBO,SCBO,nSK,Se,nCsp2,nBM,RBN,Si,Sv,RBF
4.0,0.0,6,29.04,291.51,16,21,25.0,20,44.101,7,7,5,50.982,26.046,0.109
4.0,2.2,12,29.33,310.44,18,25,32.0,23,44.687,12,13,4,50.939,27.542,0.085
4.0,0.0,6,24.762,264.44,13,19,23.0,18,37.552,6,7,3,43.235,22.487,0.077
4.0,0.0,12,25.887,304.48,14,22,28.0,20,35.862,8,12,3,40.324,23.621,0.079
4.495,0.0,11,29.881,309.46,18,25,32.5,23,45.461,10,13,3,52.228,27.848,0.063
4.553,2.1,11,30.336,325.46,18,26,33.5,24,46.789,10,13,4,53.438,28.563,0.082
4.0,2.4,17,27.813,309.41,17,25,33.5,23,42.022,12,17,2,47.607,26.509,0.045
4.0,0.0,17,27.358,293.41,17,24,32.5,22,40.694,12,17,2,46.398,25.795,0.047
4.0,0.0,17,25.597,279.38,16,23,31.5,21,37.811,12,17,2,42.983,24.268,0.05
4.0,0.0,11,20.836,229.32,12,18,24.5,17,31.927,9,12,1,36.568,19.741,0.03
4.222,4.9,12,53.552,646.72,30,44,53.0,41,81.029,15,15,13,91.564,49.661,0.155
4.796,3.1,24,66.273,789.94,39,55,70.0,51,95.647,27,27,16,107.604,61.208,0.16
4.222,5.2,24,66.421,819.92,39,57,74.0,53,96.418,27,29,17,107.607,62.111,0.17
4.42,4.7,12,28.773,308.41,19,25,33.0,23,42.811,14,14,4,48.152,27.214,0.089
4.222,3.2,12,62.143,710.86,36,51,60.0,46,93.236,15,15,13,106.016,57.053,0.131
4.222,2.6,12,73.234,787.07,41,53,62.0,51,113.304,15,15,26,130.337,66.268,0.222
4.387,6.6,18,63.569,840.69,38,55,70.0,51,91.694,25,24,16,101.742,59.621,0.168
5.745,3.1,24,64.921,711.05,39,54,69.0,50,95.418,27,27,16,107.762,60.183,0.16
4.456,3.8,18,54.336,652.72,32,45,57.0,42,79.818,21,21,13,89.94,50.419,0.157
4.699,3.6,18,56.097,666.75,33,46,58.0,43,82.701,21,21,14,93.355,51.946,0.163
5.222,0.0,12,41.682,412.63,27,32,44.0,31,61.778,14,16,12,70.806,38.461,0.188
4.638,3.4,12,57.381,660.8,32,44,53.0,42,87.352,15,15,17,99.601,52.526,0.189
4.658,7.1,17,37.699,445.52,24,37,48.5,33,56.771,18,20,4,63.066,36.707,0.067
4.222,3.8,18,53.58,653.71,31,45,57.0,42,79.036,20,21,13,89.023,49.914,0.159
4.883,1.9,26,37.336,409.53,25,35,49.0,31,53.789,21,27,6,60.438,35.563,0.103
5.244,1.7,17,40.017,419.64,25,33,42.5,30,58.196,16,18,7,66.022,36.814,0.113
4.883,2.0,16,36.625,422.62,22,32,43.0,29,50.84,14,18,6,56.779,33.916,0.111
5.032,2.2,16,33.96,429.0,20,31,42.0,28,45.396,14,18,5,49.893,31.69,0.104
4.57,3.8,22,35.54,385.5,24,32,44.0,29,51.796,20,23,6,58.066,33.762,0.109
4.928,2.1,19,36.0,454.65,20,34,46.5,30,48.469,12,21,4,53.45,33.565,0.077
4.955,5.9,17,45.796,528.76,26,39,50.5,36,68.24,16,20,12,76.484,42.694,0.169
4.652,4.4,23,48.438,581.21,29,43,57.5,39,68.352,22,26,10,75.803,45.28,0.139
4.721,5.0,12,28.364,373.27,18,25,33.0,23,40.156,14,14,4,44.579,26.712,0.095
4.796,3.9,24,67.114,688.99,43,56,70.0,51,101.923,26,26,15,115.796,62.588,0.139
5.301,4.3,24,59.83,622.88,38,49,63.0,46,91.272,26,26,20,103.55,56.008,0.211
4.662,0.0,12,31.273,322.51,20,27,33.0,23,44.116,12,12,2,50.069,28.498,0.041
4.522,2.5,18,30.057,353.89,20,26,36.0,24,39.898,19,19,5,43.893,27.965,0.119
6.551,0.0,18,37.989,464.89,23,32,41.0,29,50.913,18,18,5,56.523,34.771,0.093
4.458,2.7,18,28.296,339.86,19,25,35.0,23,37.014,19,19,4,40.478,26.438,0.103
6.523,0.0,6,26.529,235.44,15,17,20.0,17,42.749,6,6,5,50.187,23.628,0.114
4.848,0.0,18,37.034,398.03,23,29,38.0,27,52.149,18,18,8,59.051,33.642,0.145
4.0,0.0,6,29.12,336.33,17,23,26.0,20,43.094,6,6,2,49.613,26.126,0.043
4.753,0.0,0,56.842,520.97,29,38,40.0,37,94.788,2,2,22,111.782,50.868,0.224
5.444,0.0,24,63.796,632.99,39,50,64.0,47,97.254,26,26,24,112.121,58.761,0.235
5.434,0.0,24,73.342,745.15,43,58,74.0,55,113.428,28,28,30,130.944,67.9,0.254
5.326,0.0,24,70.842,689.11,43,54,68.0,51,108.788,26,26,28,125.782,64.868,0.246
5.78,0.0,24,76.865,773.21,45,60,76.0,57,119.195,28,28,32,137.775,70.954,0.258
5.381,0.0,24,69.819,717.09,41,56,72.0,53,107.661,28,28,28,124.114,64.846,0.25
5.341,0.0,24,65.558,647.02,40,51,65.0,48,100.137,26,26,25,115.536,60.288,0.238
5.562,0.0,24,71.581,731.12,42,57,73.0,54,110.544,28,28,29,127.529,66.373,0.252
5.398,4.5,6,16.119,192.65,11,13,19.0,13,22.069,11,9,3,24.229,15.176,0.136
4.747,3.6,18,39.188,455.04,24,34,45.0,31,56.022,18,20,7,62.553,36.567,0.119
5.046,1.8,12,35.614,364.54,22,30,37.0,27,54.338,13,13,7,62.185,33.122,0.121
4.222,5.2,24,66.773,811.87,41,59,76.0,54,97.341,29,29,14,108.687,62.924,0.137
5.481,4.2,30,80.586,945.08,50,70,90.0,64,117.861,35,35,18,132.262,75.579,0.145
4.714,3.7,22,37.404,434.96,24,34,46.0,31,54.222,20,23,7,60.508,35.611,0.123
4.222,3.8,12,52.097,618.71,29,41,50.0,39,78.701,15,15,13,89.355,47.946,0.16
4.481,6.0,18,56.245,696.73,33,49,61.0,45,83.472,21,21,13,93.359,52.849,0.149
4.854,3.6,18,56.097,666.75,33,46,58.0,43,82.701,21,21,14,93.355,51.946,0.163
6.26,3.5,24,79.137,995.01,45,66,82.0,61,114.941,28,28,18,129.312,73.098,0.15
4.553,3.3,24,61.859,728.82,38,52,67.0,48,89.585,27,27,14,100.77,57.473,0.149
4.328,3.5,12,56.62,658.78,32,45,54.0,42,85.468,15,15,13,97.185,52.0,0.146
4.553,0.0,12,30.512,333.94,18,24,30.0,22,43.382,12,12,4,49.22,27.589,0.087
4.602,3.5,23,59.097,702.78,36,50,64.5,46,85.701,25,26,13,96.355,54.946,0.144
4.09,0.0,12,30.131,332.93,18,24,30.0,22,42.44,12,12,5,48.013,27.325,0.111
4.022,2.9,12,25.296,303.83,16,22,29.0,20,34.014,13,13,2,37.478,23.438,0.056
4.509,7.2,12,70.251,805.15,37,56,68.0,55,111.792,18,18,28,126.466,65.907,0.25
4.097,0.0,11,20.438,232.73,13,18,23.5,16,28.829,9,11,0,32.432,19.031,0.0
4.689,13.6,6,15.409,188.19,11,15,21.0,14,22.516,10,9,0,24.289,15.252,0.0
4.036,7.5,12,66.841,759.05,36,54,66.0,53,107.832,18,18,26,122.131,63.193,0.241
5.022,0.0,22,44.199,425.67,29,35,46.0,32,65.443,20,22,13,75.138,40.493,0.186
6.553,4.7,20,54.319,576.82,32,45,57.0,42,85.708,18,22,19,97.716,50.997,0.213
6.071,5.6,22,46.131,623.61,29,47,60.0,44,74.265,20,24,11,82.18,46.641,0.149
5.155,4.7,16,28.773,308.41,19,26,34.0,23,42.811,14,16,3,48.152,27.214,0.065
4.987,0.0,36,99.24,911.54,64,73,91.0,68,149.635,36,36,37,173.016,89.684,0.233
4.883,3.5,22,39.165,448.99,25,35,47.0,32,57.105,20,23,8,63.923,37.137,0.133
5.409,0.0,18,41.557,438.1,26,33,42.0,30,58.916,18,18,6,66.881,37.696,0.095
4.983,1.5,24,47.773,516.17,31,40,52.0,36,67.127,24,24,9,75.506,43.938,0.125
5.421,0.0,23,41.034,446.07,27,35,46.5,31,56.149,22,23,5,63.051,37.642,0.082
4.967,0.0,18,39.796,424.07,25,32,41.0,29,56.032,18,18,6,63.466,36.169,0.1
5.456,1.7,18,42.108,486.52,26,35,45.0,32,58.683,19,19,7,65.619,38.711,0.113
4.319,9.4,12,55.358,629.77,35,49,63.0,46,85.829,22,20,15,95.644,53.265,0.17
4.301,12.1,6,22.148,258.29,15,20,27.0,19,33.494,11,10,4,36.744,21.547,0.118
4.921,5.5,12,70.546,737.04,44,58,72.0,54,109.345,22,20,20,124.045,66.071,0.175
4.301,7.2,6,43.716,482.64,26,38,46.0,35,69.298,12,11,6,78.268,41.562,0.083
4.678,5.9,12,65.018,681.95,41,53,67.0,50,100.476,22,20,21,113.716,60.996,0.202
4.409,5.2,6,36.285,386.55,21,30,36.0,28,57.876,10,9,8,66.019,34.078,0.133
4.921,6.1,12,63.501,680.92,40,54,68.0,50,97.81,22,20,16,110.384,59.964,0.157
4.796,5.8,12,67.023,708.98,42,56,70.0,52,103.577,22,20,18,117.214,63.018,0.167
4.854,6.5,12,59.978,652.86,38,52,66.0,48,92.043,22,20,14,103.554,56.91,0.146
5.229,6.2,6,50.762,538.76,30,42,50.0,39,80.832,12,11,10,91.929,47.669,0.119
4.426,1.9,16,36.87,403.03,22,29,37.0,27,53.418,13,16,9,60.468,33.621,0.161
4.301,6.5,6,29.989,326.43,19,26,33.0,24,46.022,11,10,3,51.777,28.455,0.063
4.257,2.1,16,33.347,374.97,20,27,35.0,25,47.651,13,16,7,53.637,30.567,0.14
6.324,8.5,12,60.642,671.86,38,52,66.0,49,94.479,22,20,18,105.889,57.845,0.186
4.244,7.9,6,24.466,274.35,15,21,27.0,20,38.254,10,9,5,42.946,23.402,0.128
4.361,7.7,18,29.449,384.86,19,28,40.0,26,39.887,19,21,5,42.98,28.363,0.122
4.732,2.8,12,26.057,305.85,16,21,28.0,20,35.898,13,13,5,39.893,23.965,0.135
5.38,0.0,18,44.08,454.15,27,33,42.0,31,63.683,18,18,9,72.711,39.75,0.134
5.699,5.6,36,61.239,678.84,42,56,76.0,51,89.065,38,38,16,99.099,58.615,0.17
4.6,3.0,12,24.296,291.82,15,20,27.0,19,33.014,13,13,4,36.478,22.438,0.118
4.18,0.0,18,43.319,452.13,27,34,43.0,31,61.8,18,18,6,70.296,39.223,0.091
5.529,0.0,24,75.103,759.18,44,59,75.0,56,116.312,28,28,31,134.36,69.427,0.256
6.022,0.0,24,80.388,801.27,47,62,78.0,59,124.962,28,28,34,144.605,74.007,0.262
5.65,0.0,24,74.365,717.17,45,56,70.0,53,114.555,26,26,30,132.612,67.922,0.25
5.527,0.0,24,69.081,675.08,42,53,67.0,50,105.904,26,26,27,122.366,63.341,0.243
5.295,0.0,24,67.319,661.05,41,52,66.0,49,103.021,26,26,26,118.951,61.814,0.241
5.771,0.0,18,38.75,466.91,23,31,40.0,29,52.796,18,18,8,58.939,35.297,0.145
4.374,0.0,12,30.375,345.93,18,25,32.0,23,42.658,12,13,6,48.096,27.82,0.133
5.171,0.0,12,30.245,314.89,19,24,30.0,22,44.247,12,12,4,50.508,27.665,0.085
4.093,0.0,12,24.085,288.82,15,22,28.0,19,31.905,12,12,1,35.352,22.218,0.029
4.309,7.9,12,27.347,325.41,18,25,34.0,23,38.345,15,15,2,41.953,26.041,0.05
4.391,0.0,12,34.614,407.55,21,31,37.0,28,52.523,12,12,4,59.416,32.723,0.073
4.796,6.9,6,36.733,399.54,22,31,38.0,29,58.101,11,10,7,65.73,34.772,0.117
5.18,1.5,24,46.773,504.16,30,38,50.0,35,66.127,24,24,11,74.506,42.938,0.157
4.42,0.0,16,18.057,194.25,13,17,25.0,15,24.738,13,16,0,27.657,17.15,0.0
5.208,8.8,17,44.892,531.62,28,42,56.5,39,69.076,20,23,10,76.73,43.717,0.141
5.276,0.0,24,46.319,488.16,30,37,49.0,34,64.8,24,24,10,73.296,42.223,0.145
4.158,0.0,12,52.274,508.85,29,38,46.0,37,83.486,14,14,24,97.29,47.707,0.279
4.357,5.0,6,38.04,397.57,23,31,38.0,29,59.658,11,10,8,67.936,35.584,0.129
4.287,7.2,24,55.444,606.77,37,52,64.0,45,83.072,24,24,2,92.727,52.814,0.022
4.367,8.1,16,26.085,343.4,15,26,37.0,24,38.102,14,19,5,41.701,25.546,0.128
4.0,6.3,12,34.733,426.95,22,32,42.0,29,48.538,17,16,5,53.226,32.943,0.098
4.0,3.9,18,36.182,402.55,24,32,43.0,29,50.771,20,20,5,56.487,33.928,0.093
4.57,3.5,6,36.722,403.61,20,30,36.0,28,56.843,10,9,8,64.813,34.045,0.136
4.455,2.1,10,29.847,299.46,18,24,30.0,22,46.352,9,11,5,53.272,27.574,0.102
4.123,0.0,12,30.506,330.93,19,25,31.0,22,42.28,12,12,0,47.722,27.567,0.0
4.345,4.7,6,40.427,425.61,24,34,41.0,31,63.701,10,10,5,72.642,37.869,0.075
4.921,2.9,22,47.211,517.12,30,42,53.0,37,69.64,18,22,7,78.584,44.245,0.093
4.0,5.5,12,37.404,423.58,23,33,42.0,30,55.083,15,15,5,61.61,35.19,0.086
4.117,3.6,6,35.58,354.54,22,30,34.0,26,55.229,7,7,2,63.228,32.848,0.033
4.074,5.5,12,37.404,423.58,23,33,42.0,30,55.083,15,15,5,61.61,35.19,0.086
4.77,0.0,11,29.881,309.46,18,25,32.5,23,45.461,11,13,2,52.228,27.848,0.042
4.0,6.3,18,34.523,412.57,21,30,42.0,28,48.291,19,21,7,53.202,32.303,0.14
4.495,9.3,11,35.154,425.49,21,34,43.5,31,55.098,14,15,5,61.275,34.422,0.088
4.959,5.0,11,51.04,561.76,30,45,55.5,41,80.159,16,16,10,90.969,48.438,0.119
4.228,0.0,12,27.512,284.46,17,22,28.0,20,39.232,12,12,4,44.653,24.971,0.095
4.52,0.0,12,29.086,352.46,18,26,32.0,24,43.654,12,12,4,49.088,27.648,0.089
4.721,0.0,12,40.967,382.66,24,29,35.0,28,64.428,12,12,15,75.052,37.041,0.224
4.469,9.5,6,14.955,172.19,11,14,20.0,13,21.189,10,9,0,23.08,14.537,0.0
4.569,4.2,12,16.898,236.29,8,17,23.0,16,24.898,6,12,3,27.534,16.557,0.12
4.0,0.0,11,17.313,201.26,10,16,22.5,15,26.16,9,12,1,29.737,16.687,0.037
4.367,7.3,12,68.603,773.08,37,55,67.0,54,110.716,18,18,27,125.546,64.72,0.243
4.249,2.0,12,34.25,354.56,21,27,34.0,25,50.211,13,13,6,57.108,31.266,0.113
4.536,0.0,12,32.892,358.97,20,27,33.0,24,46.323,12,12,2,52.428,29.852,0.04
4.451,1.8,12,38.114,428.04,23,33,40.0,29,54.636,13,13,3,61.551,35.115,0.051
4.0,1.9,18,37.495,403.59,24,32,42.0,29,53.429,19,19,6,60.192,34.761,0.105
4.0,4.5,6,28.887,349.86,16,26,32.0,24,44.556,9,9,3,50.176,27.579,0.065
4.435,0.0,12,29.915,315.54,18,23,29.0,21,41.091,12,12,4,46.49,26.664,0.091
4.939,2.2,12,31.483,325.51,20,26,32.0,23,45.225,12,12,2,51.195,28.718,0.041
4.0,3.1,12,42.239,452.68,25,35,43.0,32,63.509,14,14,7,72.145,39.077,0.104
4.104,2.2,12,32.586,372.95,20,28,35.0,25,45.767,13,13,2,51.222,30.04,0.041
5.26,0.0,22,50.489,482.78,32,39,50.0,36,76.196,20,22,15,87.882,46.095,0.185
5.457,0.0,12,48.012,438.78,28,33,39.0,32,75.963,12,12,19,88.712,43.148,0.241
4.709,0.0,12,28.37,318.9,17,23,29.0,21,39.556,12,12,4,44.597,25.799,0.095
4.404,1.8,12,36.83,437.58,22,33,39.0,30,56.734,12,12,6,64.041,34.964,0.102
4.721,1.7,16,37.989,400.01,23,30,38.0,28,57.327,13,16,9,65.461,34.982,0.15
6.456,2.5,20,51.648,530.79,31,42,54.0,39,80.17,18,22,18,91.882,48.04,0.214
6.409,2.6,20,49.887,516.76,30,41,53.0,38,77.287,18,22,17,88.467,46.514,0.21
7.119,2.6,20,52.592,674.54,30,43,55.0,40,77.745,18,22,17,88.15,48.564,0.21
5.155,3.4,16,21.131,258.72,14,20,28.0,18,29.273,13,16,1,32.226,20.219,0.032
5.857,7.9,12,47.694,526.7,28,39,49.0,38,76.392,18,16,17,86.308,45.33,0.221
5.9,2.2,20,56.933,572.88,34,45,57.0,42,88.821,18,22,21,102.128,52.621,0.226
6.125,4.9,22,52.421,680.72,32,51,64.0,48,85.017,20,24,15,94.924,52.243,0.176
5.699,0.0,16,25.586,273.36,18,24,34.0,21,35.607,14,17,1,39.986,24.225,0.026
5.699,0.0,12,42.148,505.52,22,35,45.0,34,64.385,16,16,17,73.438,39.664,0.262
7.119,7.5,12,49.216,530.74,28,39,47.0,38,80.159,14,14,19,91.138,46.384,0.235
4.116,2.4,12,28.824,334.9,17,24,31.0,22,40.883,12,13,4,45.807,26.513,0.093
5.456,0.0,18,54.529,499.86,34,39,48.0,37,83.628,18,18,21,97.045,49.181,0.239
5.441,0.0,18,60.819,556.97,37,43,52.0,41,94.381,18,18,25,109.788,54.782,0.253
4.301,10.5,0,58.358,721.97,27,48,56.0,48,97.13,8,8,10,109.308,55.724,0.105
6.821,0.0,30,86.433,793.35,55,63,78.0,59,131.217,30,30,33,151.94,78.05,0.237
5.86,0.0,18,60.819,556.97,37,43,52.0,41,94.381,18,18,24,109.788,54.782,0.242
5.331,0.0,12,41.722,381.67,25,29,35.0,28,65.21,12,12,16,75.969,37.547,0.235
4.425,0.0,6,35.205,320.59,19,23,26.0,23,57.545,6,6,16,67.636,31.514,0.271
4.851,0.0,6,28.915,263.48,16,19,22.0,19,46.792,6,6,11,54.893,25.913,0.229
4.91,0.0,12,48.012,438.78,28,33,39.0,32,75.963,12,12,21,88.712,43.148,0.266
6.212,0.0,24,73.626,675.16,46,53,65.0,50,112.799,24,24,29,130.864,66.416,0.244
4.943,3.0,22,44.449,491.08,28,38,50.0,35,65.756,20,23,11,74.169,41.718,0.159
5.301,4.8,27,44.023,520.09,28,40,55.5,36,62.291,23,29,9,68.97,41.545,0.136
5.481,5.1,27,42.262,506.06,27,39,54.5,35,59.407,23,29,8,65.554,40.018,0.127
4.81,3.3,22,40.926,463.02,26,36,48.0,33,59.989,20,23,9,67.338,38.664,0.143
5.229,5.4,27,40.5,492.03,26,38,53.5,34,56.523,23,29,7,62.139,38.491,0.117
