pXC50,SaaNH,NaaNH,C.035,Eig02_EA.ed.,SM11_AEA.dm.,Eig02_AEA.ed.,SpMax1_Bh.s.,Eig02_EA.ri.,nN.CO.2,PCR,PCD,Eig01_AEA.dm.,SpMax_AEA.dm.,Eig02_AEA.ri.,nCONN,piID,H.049,MPC09,SpMax2_Bh.s.,N.072,Eig02_EA.bo.,SM12_AEA.ri.,Eig02_EA,SM10_AEA.bo.,TWC,MPC06,Rperim,MWC09,X4A,MWC08,SsssN,MWC10,SM08_EA,SdO,nCIC,TRS,O.058,SM14_EA,SM15_EA,MPC08,SM06_EA,MWC07,SM04_EA.ed.,SM05_AEA.ed.,Eig03_AEA.ed.,SM06_AEA.ed.,SM08_EA.bo.,SaaN,SM13_EA,X5A,SM03_EA.ed.,SM07_AEA.ed.,MPC07,nCIR,SM11_EA,SM12_EA,MATS2e,NdssC,X3A,SM04_AEA.ed.,D.Dtr05,MPC10,SM10_EA,SM08_EA.ed.,SM07_EA,N.075,NaaN,nAB
4.62,0.0,0,0,9.93,9.93,6.454,7.444,2.852,1,1.326,2.252,3.968,3.968,3.933,1,9.161,0,4.745,7.411,2,3.871,3.871,2.971,2.971,12.576,4.554,15,11.144,0.107,10.228,2.235,12.068,10.125,23.934,3,17,2,17.037,18.211,4.71,7.957,9.306,10.793,10.837,5.933,12.646,12.172,8.293,15.857,0.064,7.65,14.476,4.605,4,13.517,14.697,0.139,2,0.176,9.059,39.258,4.644,12.386,19.981,8.885,2,2,11
5.0,0.0,0,0,9.07,9.07,6.141,6.47,2.699,0,1.445,3.263,3.223,3.223,3.769,0,10.598,0,4.97,5.022,0,3.703,3.703,2.819,2.819,12.404,4.543,22,10.983,0.115,10.097,2.24,11.876,9.767,0.0,4,24,0,16.271,17.372,4.836,7.735,9.207,10.446,10.565,6.038,12.32,12.431,9.321,15.143,0.073,7.322,14.101,4.727,5,12.922,14.065,-0.013,0,0.178,8.851,0.0,4.984,11.89,19.222,8.474,2,2,17
5.0,0.0,0,0,6.373,6.373,5.209,5.189,2.209,0,1.437,2.379,3.068,3.068,3.257,0,7.826,1,2.944,4.858,0,3.143,3.143,2.292,2.292,11.569,3.466,10,10.152,0.121,9.295,0.0,11.024,9.064,0.0,2,12,0,15.55,16.644,3.135,7.034,8.423,9.713,9.872,4.753,11.621,12.106,8.357,14.433,0.078,6.629,13.396,3.219,3,12.224,13.357,0.172,0,0.186,8.163,0.0,1.946,11.187,18.514,7.804,2,2,11
8.143,0.0,0,0,9.07,9.07,6.141,6.47,2.7,0,1.445,3.263,3.221,3.221,3.77,0,10.598,0,4.97,5.022,0,3.703,3.703,2.819,2.819,12.404,4.543,22,10.983,0.115,10.097,2.302,11.876,9.767,0.0,4,24,0,16.271,17.372,4.836,7.735,9.207,10.446,10.565,6.038,12.32,12.431,9.365,15.143,0.073,7.322,14.101,4.727,5,12.922,14.065,0.084,0,0.178,8.851,0.0,4.984,11.89,19.222,8.474,2,2,17
8.22,0.0,0,0,8.831,8.831,6.082,6.47,2.683,0,1.492,3.328,3.199,3.199,3.727,0,10.088,0,4.585,5.024,0,3.702,3.702,2.759,2.759,12.243,4.357,16,10.822,0.115,9.937,1.91,11.714,9.666,0.0,3,18,0,16.18,17.284,4.477,7.625,9.047,10.331,10.472,5.88,12.231,12.422,9.028,15.055,0.072,7.239,14.014,4.489,4,12.836,13.972,0.045,0,0.179,8.748,0.0,4.454,11.794,19.093,8.408,2,2,17
8.276,0.0,0,0,8.779,8.779,6.07,6.47,2.664,0,1.513,3.359,3.172,3.172,3.69,0,9.906,0,4.357,5.198,0,3.693,3.693,2.704,2.704,12.128,4.22,16,10.706,0.116,9.827,0.0,11.598,9.523,0.0,3,18,0,16.049,17.155,4.331,7.491,8.937,10.192,10.324,5.223,12.075,12.394,8.545,14.919,0.073,7.081,13.851,4.263,4,12.693,13.835,0.138,0,0.179,8.612,0.0,4.159,11.652,18.978,8.249,2,2,17
6.796,0.0,0,0,9.07,9.07,6.141,6.47,2.698,0,1.445,3.263,3.226,3.226,3.768,0,10.598,0,4.97,5.023,0,3.703,3.703,2.819,2.819,12.404,4.543,22,10.983,0.115,10.097,2.177,11.876,9.767,0.0,4,24,0,16.271,17.372,4.836,7.735,9.207,10.446,10.565,6.038,12.32,12.431,9.278,15.143,0.073,7.322,14.101,4.727,5,12.922,14.065,-0.091,0,0.178,8.851,0.0,4.984,11.89,19.222,8.474,2,2,17
7.319,0.0,0,0,9.137,9.137,6.214,7.428,2.69,0,1.377,2.616,3.629,3.629,3.713,0,9.548,0,4.71,4.951,0,3.682,3.682,2.73,2.73,12.432,4.533,16,11.006,0.111,10.101,2.05,11.916,9.848,12.416,3,18,1,16.664,17.824,4.682,7.738,9.194,10.577,10.595,5.573,12.384,11.937,4.523,15.491,0.07,7.424,14.202,4.625,4,13.17,14.349,0.088,2,0.173,8.847,0.0,4.615,12.068,19.791,8.564,1,1,12
6.538,0.0,0,0,8.813,8.813,6.076,5.114,2.667,0,1.477,3.302,3.244,3.244,3.697,0,10.231,0,4.736,4.768,0,3.696,3.696,2.715,2.715,12.284,4.466,16,10.862,0.115,9.975,0.0,11.757,9.614,0.0,3,18,0,16.15,17.261,4.71,7.587,9.083,10.31,10.416,5.444,12.165,12.417,9.141,15.016,0.073,7.182,13.942,4.615,4,12.781,13.929,0.057,0,0.178,8.708,0.0,4.635,11.742,19.135,8.319,2,2,17
7.265,0.0,0,0,6.83,6.83,5.305,6.47,2.315,0,1.404,2.37,3.171,3.171,3.357,0,8.242,0,3.497,5.005,0,3.236,3.236,2.387,2.387,11.835,3.892,10,10.412,0.119,9.545,0.0,11.301,9.257,0.0,2,12,0,15.781,16.887,3.738,7.232,8.657,9.917,10.069,5.214,11.809,12.204,8.724,14.654,0.073,6.823,13.574,3.738,3,12.428,13.567,0.148,0,0.181,8.364,0.0,2.996,11.383,18.676,8.001,2,2,11
5.0,0.0,0,0,9.088,9.088,6.146,7.432,2.704,0,1.412,3.264,3.683,3.683,3.786,0,11.186,0,5.204,6.47,0,3.703,3.703,2.842,2.842,12.56,4.727,22,11.14,0.118,10.261,4.486,12.027,9.907,11.557,4,24,1,16.336,17.43,5.037,7.912,9.379,10.576,10.742,6.04,12.479,12.454,9.415,15.216,0.073,7.486,14.241,4.905,5,13.015,14.149,0.059,1,0.183,9.044,0.0,5.288,11.998,19.262,8.631,2,2,17
5.155,0.0,0,0,6.373,6.373,5.209,6.47,2.194,0,1.437,2.379,3.108,3.108,3.251,0,7.826,1,2.944,5.02,0,3.143,3.143,2.292,2.292,11.569,3.466,10,10.152,0.121,9.295,0.0,11.024,9.064,0.0,2,12,0,15.55,16.644,3.135,7.034,8.423,9.713,9.872,4.753,11.621,12.106,8.197,14.433,0.078,6.629,13.396,3.219,3,12.224,13.357,0.07,0,0.186,8.163,0.0,1.946,11.187,18.514,7.804,2,2,11
7.301,0.0,0,0,8.806,8.806,6.075,5.09,2.656,0,1.495,3.334,3.248,3.248,3.688,0,10.067,0,4.543,4.74,0,3.693,3.693,2.707,2.707,12.221,4.369,16,10.798,0.114,9.913,0.0,11.693,9.575,0.0,3,18,0,16.124,17.236,4.543,7.542,9.02,10.265,10.373,5.337,12.124,12.408,9.058,14.99,0.073,7.14,13.903,4.466,4,12.753,13.901,0.065,0,0.177,8.662,0.0,4.369,11.709,19.111,8.288,2,2,17
6.678,0.0,0,0,6.83,6.83,5.305,6.47,2.297,0,1.404,2.37,3.168,3.168,3.349,0,8.242,0,3.497,5.196,0,3.236,3.236,2.387,2.387,11.835,3.892,10,10.412,0.119,9.545,0.0,11.301,9.257,0.0,2,12,0,15.781,16.887,3.738,7.232,8.657,9.917,10.069,5.214,11.809,12.204,8.422,14.654,0.073,6.823,13.574,3.738,3,12.428,13.567,0.182,0,0.181,8.364,0.0,2.996,11.383,18.676,8.001,2,2,11
5.721,0.0,0,0,7.603,7.603,5.556,6.47,2.578,0,1.5,3.312,3.194,3.194,3.589,0,9.929,0,4.317,5.009,0,3.49,3.49,2.596,2.596,12.082,4.174,16,10.659,0.119,9.796,0.0,11.545,9.437,0.0,3,18,0,15.874,16.969,4.331,7.451,8.914,10.088,10.267,5.224,11.988,12.335,8.889,14.751,0.075,6.986,13.736,4.174,4,12.544,13.683,0.116,0,0.183,8.583,0.0,4.234,11.528,18.751,8.157,2,2,17
8.066,0.0,0,0,9.078,9.078,6.151,5.13,2.681,0,1.53,4.23,3.325,3.325,3.749,0,12.205,0,5.464,4.791,0,3.887,3.887,2.787,2.787,12.708,4.89,25,11.278,0.108,10.364,0.0,12.197,10.023,0.0,5,29,0,16.803,17.962,5.333,7.934,9.45,10.716,10.755,5.958,12.526,12.929,9.808,15.629,0.068,7.545,14.327,5.118,8,13.312,14.494,0.112,0,0.171,9.029,38.559,5.525,12.225,19.833,8.712,2,2,21
7.262,0.0,0,0,9.16,9.16,6.169,8.201,2.713,0,1.529,4.272,3.329,3.329,3.788,0,12.346,0,5.517,5.126,0,3.921,3.921,2.828,2.828,12.751,4.927,25,11.321,0.108,10.408,0.0,12.241,10.07,0.0,5,29,0,16.832,17.988,5.38,7.988,9.493,10.759,10.812,5.966,12.578,12.961,9.626,15.66,0.068,7.6,14.373,5.153,8,13.35,14.528,0.036,0,0.171,9.088,40.487,5.602,12.265,19.85,8.773,2,2,21
5.64,0.0,0,0,9.092,9.092,6.153,5.251,2.689,0,1.582,4.285,3.305,3.305,3.766,0,11.649,0,5.081,4.96,0,3.907,3.907,2.807,2.807,12.548,4.673,19,11.119,0.106,10.204,0.0,12.038,9.937,0.0,4,23,0,16.737,17.896,4.97,7.827,9.288,10.618,10.666,5.877,12.446,12.945,8.954,15.566,0.067,7.476,14.252,4.796,7,13.251,14.427,0.027,0,0.17,8.925,30.515,5.037,12.152,19.741,8.66,2,2,21
7.567,0.0,0,0,9.116,9.116,6.16,5.147,2.687,0,1.523,4.207,3.342,3.342,3.763,0,12.258,0,5.553,4.875,0,3.922,3.922,2.804,2.804,12.761,4.949,25,11.331,0.107,10.415,0.0,12.252,10.071,0.0,5,29,0,16.847,18.005,5.407,7.988,9.498,10.76,10.812,5.972,12.578,12.965,9.777,15.672,0.068,7.6,14.373,5.182,8,13.357,14.537,0.065,0,0.171,9.088,41.068,5.624,12.269,19.859,8.773,2,2,21
6.547,0.0,0,0,9.113,9.113,6.158,6.476,2.687,0,1.577,4.245,3.339,3.339,3.763,0,11.606,0,5.081,5.091,0,3.921,3.921,2.803,2.803,12.567,4.691,19,11.137,0.105,10.218,0.0,12.059,9.945,0.0,4,23,0,16.765,17.926,5.004,7.829,9.299,10.628,10.668,5.892,12.448,12.951,8.596,15.591,0.067,7.476,14.256,4.852,7,13.269,14.448,0.046,0,0.169,8.925,30.443,5.056,12.167,19.762,8.665,2,2,21
8.777,0.0,0,0,8.813,8.813,6.079,7.43,2.715,0,1.5,3.487,3.533,3.533,3.745,0,10.456,0,4.644,6.47,1,3.778,3.778,2.761,2.761,12.289,4.407,16,10.867,0.116,9.992,0.0,11.758,9.673,11.026,3,18,1,16.131,17.229,4.605,7.668,9.102,10.335,10.503,5.42,12.238,12.466,8.851,15.01,0.073,7.261,13.998,4.489,4,12.803,13.935,0.161,1,0.179,8.803,0.0,4.663,11.775,19.03,8.423,2,2,17
8.167,0.0,0,0,8.8,8.8,6.076,6.47,2.698,0,1.506,3.374,3.176,3.176,3.723,0,10.043,0,4.477,5.122,0,3.764,3.764,2.737,2.737,12.195,4.304,16,10.772,0.114,9.893,0.0,11.665,9.591,0.0,3,18,0,16.087,17.19,4.431,7.57,9.002,10.251,10.408,5.223,12.151,12.443,8.829,14.961,0.072,7.168,13.919,4.317,4,12.744,13.881,0.1,0,0.181,8.7,0.0,4.382,11.708,18.995,8.336,2,2,17
6.42,0.0,0,0,8.803,8.803,6.075,5.058,2.666,0,1.504,3.346,4.359,4.359,3.693,0,9.99,0,4.454,4.738,0,3.693,3.693,2.707,2.707,12.19,4.304,16,10.769,0.114,9.883,0.0,11.662,9.565,0.0,3,18,0,16.115,17.226,4.431,7.528,8.992,10.252,10.363,5.325,12.116,12.407,9.236,14.981,0.073,7.14,13.896,4.394,4,12.745,13.892,0.22,0,0.178,8.649,0.0,4.263,11.7,19.098,8.285,2,2,17
7.523,3.047,1,1,10.721,10.721,6.701,7.444,3.025,1,1.327,2.29,3.968,3.968,4.066,1,9.299,0,4.828,7.411,2,3.984,3.984,3.083,3.083,12.668,4.635,15,11.233,0.108,10.315,2.391,12.164,10.23,24.17,3,17,2,17.18,18.357,4.796,8.043,9.384,10.912,10.928,5.958,12.745,12.305,4.366,15.997,0.061,7.758,14.583,4.691,4,13.647,14.831,0.224,2,0.172,9.142,40.934,4.754,12.507,20.172,8.99,1,1,11
6.623,0.0,0,0,9.097,9.097,6.155,5.25,2.708,0,1.576,4.301,3.304,3.304,3.777,0,11.769,0,5.13,4.914,0,3.91,3.91,2.813,2.813,12.573,4.71,19,11.144,0.107,10.23,0.0,12.062,9.957,0.0,4,23,0,16.746,17.903,4.997,7.851,9.316,10.641,10.692,5.878,12.471,12.949,8.997,15.576,0.067,7.506,14.276,4.844,7,13.264,14.439,-0.079,0,0.172,8.951,33.234,5.136,12.168,19.749,8.679,2,2,21
5.91,0.0,0,0,9.318,9.318,6.234,7.428,2.708,0,1.447,3.285,3.778,3.778,3.79,0,10.629,0,5.075,4.976,1,3.776,3.776,2.835,2.835,12.626,4.71,19,11.194,0.104,10.267,1.653,12.123,10.067,12.474,4,23,1,17.032,18.218,5.004,7.898,9.342,10.766,10.756,5.958,12.566,12.279,4.477,15.838,0.066,7.585,14.401,4.868,7,13.472,14.669,0.057,1,0.169,8.985,29.919,5.037,12.339,20.069,8.781,1,1,17
9.301,3.153,1,1,9.141,9.141,6.196,7.444,2.733,1,1.18,1.18,3.969,3.969,3.79,1,7.723,0,4.394,7.411,2,3.288,3.288,2.822,2.822,12.429,4.382,14,11.0,0.105,10.081,2.545,11.921,9.975,23.809,3,16,2,16.913,18.092,4.489,7.799,9.162,10.639,10.674,5.845,12.487,11.703,4.408,15.729,0.063,7.483,14.321,4.419,4,13.381,14.564,0.273,2,0.177,8.894,74.785,4.094,12.244,19.843,8.733,1,1,5
6.668,0.0,0,0,9.092,9.092,6.153,5.25,2.716,0,1.582,4.285,3.303,3.303,3.774,0,11.649,0,5.081,4.881,0,3.907,3.907,2.807,2.807,12.548,4.673,19,11.119,0.106,10.204,0.0,12.038,9.937,0.0,4,23,0,16.737,17.896,4.97,7.827,9.288,10.618,10.666,5.877,12.446,12.945,9.018,15.566,0.067,7.476,14.252,4.796,7,13.251,14.427,0.13,0,0.17,8.925,30.515,5.037,12.152,19.741,8.66,2,2,21
8.495,0.0,0,0,9.078,9.078,6.151,5.13,2.681,0,1.538,4.235,3.325,3.325,3.749,0,12.11,0,5.438,4.791,0,3.887,3.887,2.788,2.788,12.702,4.875,24,11.272,0.107,10.356,0.0,12.192,10.021,0.0,5,28,0,16.806,17.965,5.313,7.927,9.44,10.714,10.75,5.959,12.523,12.929,9.754,15.633,0.066,7.545,14.326,5.106,8,13.318,14.496,0.104,0,0.17,9.02,89.739,5.485,12.226,19.833,8.726,2,2,21
6.333,0.0,0,0,9.092,9.092,6.153,6.476,2.689,0,1.582,4.285,3.323,3.323,3.766,0,11.649,0,5.081,5.077,0,3.907,3.907,2.807,2.807,12.548,4.673,19,11.119,0.106,10.204,0.0,12.038,9.937,0.0,4,23,0,16.737,17.896,4.97,7.827,9.288,10.618,10.666,5.877,12.446,12.945,8.607,15.566,0.067,7.476,14.252,4.796,7,13.251,14.427,0.046,0,0.17,8.925,30.515,5.037,12.152,19.741,8.66,2,2,21
7.143,0.0,0,0,9.092,9.092,6.154,5.13,2.716,0,1.528,4.262,3.326,3.326,3.776,0,12.336,0,5.529,4.783,0,3.907,3.907,2.81,2.81,12.746,4.934,25,11.316,0.107,10.403,0.0,12.235,10.064,0.0,5,29,0,16.822,17.978,5.371,7.986,9.489,10.751,10.811,5.96,12.576,12.958,9.852,15.65,0.068,7.6,14.37,5.142,8,13.34,14.518,0.135,0,0.172,9.087,41.14,5.595,12.256,19.84,8.768,2,2,21
7.221,0.0,0,0,9.078,9.078,6.15,5.131,2.681,0,1.622,5.023,3.318,3.318,3.749,0,13.094,0,5.389,4.791,0,3.887,3.887,2.786,2.786,12.696,4.86,25,11.268,0.111,10.362,0.0,12.18,10.022,0.0,5,29,0,16.785,17.942,5.252,7.946,9.457,10.71,10.765,5.934,12.53,12.988,9.705,15.611,0.07,7.545,14.328,5.063,8,13.297,14.479,0.062,0,0.175,9.045,44.271,5.468,12.215,19.818,8.708,2,2,27
6.879,0.0,0,0,9.078,9.078,6.15,5.131,2.681,0,1.629,5.051,3.32,3.32,3.749,0,13.075,0,5.434,4.792,0,3.887,3.887,2.786,2.786,12.696,4.868,25,11.268,0.109,10.358,0.0,12.182,10.019,0.0,5,29,0,16.787,17.944,5.283,7.939,9.45,10.708,10.76,5.936,12.527,12.988,9.675,15.613,0.07,7.545,14.326,5.081,8,13.299,14.481,0.048,0,0.174,9.037,41.357,5.497,12.215,19.818,8.708,2,2,27
7.39,0.0,0,0,9.16,9.16,6.169,5.13,2.739,0,1.536,4.276,3.327,3.327,3.796,0,12.251,0,5.493,4.783,0,3.921,3.921,2.828,2.828,12.746,4.913,24,11.315,0.107,10.4,0.0,12.236,10.068,0.0,5,28,0,16.834,17.991,5.361,7.981,9.483,10.757,10.807,5.966,12.575,12.961,9.812,15.664,0.066,7.6,14.372,5.142,8,13.355,14.53,0.13,0,0.17,9.08,94.01,5.565,12.266,19.85,8.786,2,2,21
6.889,0.0,0,0,9.16,9.16,6.168,5.25,2.738,0,1.583,4.295,3.305,3.305,3.794,0,11.66,0,5.056,4.88,0,3.921,3.921,2.825,2.825,12.555,4.663,19,11.125,0.106,10.21,0.0,12.045,9.943,0.0,4,23,0,16.749,17.907,4.984,7.829,9.292,10.627,10.668,5.884,12.448,12.948,9.033,15.578,0.067,7.476,14.256,4.812,7,13.261,14.438,0.13,0,0.169,8.925,29.862,5.043,12.161,19.752,8.665,2,2,21
6.73,0.0,0,0,9.078,9.078,6.151,7.431,2.681,0,1.612,4.989,3.564,3.564,3.749,1,13.148,0,5.421,5.127,2,3.887,3.887,2.787,2.787,12.749,4.913,25,11.321,0.111,10.416,0.0,12.233,10.07,12.546,5,29,1,16.812,17.967,5.308,8.006,9.511,10.756,10.826,5.951,12.585,13.0,9.374,15.64,0.07,7.6,14.375,5.118,8,13.332,14.511,0.248,1,0.176,9.111,49.194,5.481,12.254,19.836,8.766,2,2,27
6.284,0.0,0,0,9.842,9.842,6.421,5.249,2.844,0,1.588,4.328,3.324,3.324,3.895,0,11.692,0,5.05,4.879,0,3.998,3.998,2.921,2.921,12.581,4.673,19,11.151,0.106,10.233,0.0,12.073,10.003,0.0,4,23,0,16.838,17.998,4.984,7.864,9.312,10.695,10.712,5.929,12.508,12.972,9.058,15.667,0.067,7.535,14.33,4.836,7,13.346,14.524,0.13,0,0.168,8.955,29.339,5.037,12.237,19.87,8.724,2,2,21
5.824,0.0,0,0,9.078,9.078,6.151,7.431,2.681,0,1.618,5.015,3.575,3.575,3.749,1,13.13,0,5.438,5.127,2,3.887,3.887,2.787,2.787,12.75,4.913,25,11.321,0.11,10.415,0.0,12.236,10.073,12.542,5,29,1,16.82,17.975,5.323,8.001,9.506,10.762,10.822,5.953,12.584,13.001,9.349,15.649,0.07,7.6,14.376,5.124,8,13.341,14.519,0.278,1,0.173,9.103,46.178,5.521,12.261,19.842,8.77,2,2,27
8.398,3.009,1,0,9.276,9.276,6.228,7.444,2.73,1,1.322,2.211,3.983,3.983,3.792,1,9.08,0,4.691,7.411,2,3.607,3.607,2.827,2.827,12.512,4.511,15,11.082,0.108,10.163,2.492,12.003,10.015,24.53,3,17,2,16.961,18.142,4.71,7.847,9.245,10.702,10.715,5.908,12.526,11.968,4.374,15.773,0.068,7.535,14.361,4.605,4,13.417,14.607,0.282,2,0.174,8.941,40.914,4.575,12.284,19.946,8.748,1,1,11
8.602,3.076,1,1,9.172,9.172,6.204,7.444,2.828,1,1.318,2.225,3.968,3.968,3.854,1,9.231,0,4.796,7.411,2,3.723,3.723,2.871,2.871,12.558,4.564,15,11.13,0.107,10.217,2.463,12.046,10.108,24.103,3,17,2,16.974,18.144,4.691,7.96,9.304,10.765,10.839,5.926,12.642,12.072,4.371,15.797,0.065,7.644,14.466,4.635,4,13.469,14.644,0.305,2,0.179,9.067,44.043,4.82,12.349,19.892,8.872,1,1,11
7.886,3.048,1,1,11.86,11.86,6.998,7.715,3.169,1,1.295,2.33,4.725,4.725,4.292,1,10.222,0,5.215,7.444,2,4.235,4.235,3.342,3.342,12.925,4.89,21,11.495,0.111,10.577,4.016,12.418,10.758,50.694,4,23,4,18.028,19.258,5.1,8.461,9.656,11.395,11.292,6.229,13.17,12.958,4.398,16.795,0.066,8.281,15.079,5.024,5,14.343,15.575,0.171,2,0.172,9.458,67.218,5.357,13.145,21.256,9.475,1,1,11
8.796,3.044,1,1,11.86,11.86,6.998,7.717,3.067,1,1.304,2.338,4.683,4.683,4.281,1,10.029,0,5.124,7.444,2,4.234,4.234,3.339,3.339,12.818,4.82,15,11.387,0.113,10.479,4.602,12.306,10.613,50.079,3,17,4,17.711,18.911,5.011,8.368,9.563,11.228,11.187,6.227,13.036,12.892,4.392,16.506,0.066,8.165,14.912,4.956,4,14.111,15.316,0.26,2,0.176,9.379,74.168,5.247,12.943,20.795,9.355,1,1,11
