pXC50,BIC2,BLTA96,BLTD48,BLTF96,CATS2D_02_LL,MLOGP,nROR,O.059,BIC1,SIC2,C.,CATS2D_03_LL,MATS1p,nCsp2,P_VSA_i_2,SpMin1_Bh.m.,MATS6m,CIC2,CATS2D_01_LL,GATS2e,SpMin1_Bh.e.,SpMin1_Bh.i.,SpMin1_Bh.v.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC
5.71,0.815,-3.05,-3.05,-2.93,2,1.817,0,0,0.716,0.871,33.3,3,0.195,8,50.832,1.98,-0.034,0.652,1,0.465,1.931,1.913,2.068,1.999,8.818,1.051,1.105,76.913,9.979,0.273,3.631,3.708,3.44,3.097,5.093,3.112,4.081,4.177,3.791,3.452,5.822,3.442,4.321,4.45,3.912,3.576,5.794,3.558,4.402,4.523,3.978,3.543,5.929,3.545,4.316,4.454,3.824,3.378,6.012,3.408,4.301,4.444,3.686,3.25,6.149,3.288,4.008,4.157,3.432,3.02,5.614,3.12,4.039,4.149,3.383,2.877,6.03,3.007,0.335,0.491,3.795,2.903,49.934,2.666,0.646,0.718,10.352,5.145,133.311,4.979,0.821,0.857,15.419,5.734,139.444,5.237,0.99,0.813,21.531,6.892,202.494,5.656,0.988,0.713,16.006,5.308,189.256,5.545,1.173,0.635,20.967,5.361,254.617,5.117,0.687,0.51,9.32,3.157,106.542,3.455,0.998,0.44,9.971,3.165,205.951,2.827,85
6.398,0.793,-3.14,-3.13,-3.01,7,1.907,0,0,0.624,0.822,37.1,5,0.003,8,83.97,2.028,-0.205,0.911,6,0.757,1.907,1.881,2.004,1.634,8.222,1.52,2.311,71.867,7.639,0.333,3.609,3.717,3.237,3.165,4.743,3.098,4.122,4.287,3.476,3.48,5.264,3.365,4.282,4.464,3.568,3.563,5.416,3.433,4.354,4.559,3.58,3.54,5.428,3.384,4.255,4.465,3.501,3.455,5.523,3.301,4.286,4.529,3.085,3.354,5.282,3.189,4.028,4.225,2.999,3.179,5.203,3.089,4.118,4.404,2.953,3.08,5.187,2.984,0.028,0.47,7.711,3.658,6.299,4.388,0.296,0.727,17.855,6.258,31.031,7.306,0.34,0.828,19.359,6.577,44.351,7.996,0.36,0.826,25.125,7.841,52.305,8.797,0.41,0.772,20.907,6.769,64.578,8.091,0.353,0.736,24.516,7.167,47.99,8.373,0.173,0.586,12.338,4.522,34.401,6.006,0.236,0.578,15.801,4.929,35.775,6.808,29
5.959,0.839,-1.61,-1.68,-1.71,1,0.381,0,0,0.63,0.849,28.0,0,0.066,2,25.064,1.824,-0.323,0.7,0,0.459,1.668,1.632,1.876,1.743,5.667,0.035,0.001,47.234,7.651,0.0,3.264,3.379,2.88,2.741,4.451,2.662,3.768,3.954,3.113,3.027,5.073,2.879,3.951,4.155,3.093,3.045,5.178,2.913,3.897,4.092,3.166,2.987,5.141,2.889,3.885,4.11,3.062,2.88,5.419,2.769,3.792,4.033,2.297,2.603,5.035,2.453,3.364,3.622,1.618,2.131,4.559,1.967,2.911,3.249,0.644,1.631,3.761,1.327,0.076,0.331,6.029,2.578,12.252,3.093,0.264,0.473,14.302,4.255,43.734,5.097,0.422,0.495,17.577,4.107,61.153,5.176,0.325,0.441,15.469,4.05,54.825,4.969,0.414,0.409,14.553,3.773,80.229,4.95,0.4,0.315,14.469,3.052,65.118,3.906,0.255,0.185,7.711,1.827,45.688,2.575,0.132,0.109,5.109,1.202,23.04,1.831,42
5.022,0.849,-1.66,-1.73,-1.76,2,0.434,0,0,0.765,0.913,37.5,2,-0.005,11,69.103,1.949,-0.001,0.438,2,0.661,1.963,1.976,2.057,2.041,8.0,1.714,2.939,78.161,10.337,0.5,3.616,3.676,3.598,3.179,4.893,3.173,4.088,4.166,3.868,3.525,5.795,3.519,4.292,4.411,3.963,3.626,5.667,3.575,4.336,4.46,4.014,3.566,5.924,3.547,4.308,4.475,3.789,3.459,5.619,3.428,4.202,4.311,3.841,3.303,6.177,3.317,4.011,4.133,3.465,3.162,5.537,3.132,3.846,4.013,3.28,2.943,5.279,2.886,0.232,0.473,5.201,3.107,41.718,2.407,0.557,0.686,9.076,5.068,96.426,4.564,0.708,0.772,17.129,6.566,93.269,5.683,0.811,0.775,15.857,6.182,102.355,5.69,0.762,0.72,20.943,6.45,124.031,6.406,1.038,0.597,18.788,5.658,178.076,5.209,0.767,0.517,14.161,4.69,99.235,3.759,0.539,0.416,12.346,4.155,81.948,3.807,41
4.557,0.743,-2.26,-2.3,-2.26,6,1.027,0,0,0.678,0.792,40.9,3,0.066,8,58.287,2.019,0.044,0.926,6,0.469,1.903,1.878,2.005,1.65,6.308,0.708,0.501,45.77,8.145,0.462,3.188,3.284,2.781,2.687,4.518,2.701,3.606,3.736,3.05,2.967,5.108,2.951,3.833,4.014,2.975,2.974,5.205,2.932,3.699,3.894,2.768,2.73,5.071,2.717,3.472,3.644,2.709,2.546,5.235,2.54,3.319,3.531,2.355,2.405,4.636,2.35,3.15,3.347,2.128,2.067,4.607,2.055,2.71,2.929,1.48,1.464,4.138,1.447,0.093,0.293,3.791,1.905,15.822,2.148,0.235,0.425,6.426,2.856,37.812,3.531,0.358,0.466,10.008,3.464,56.442,4.369,0.313,0.39,9.203,2.691,56.231,3.345,0.347,0.305,7.092,2.224,70.672,2.841,0.168,0.258,6.249,2.151,28.109,2.8,0.192,0.189,5.603,1.655,33.514,2.008,0.157,0.105,3.96,0.944,28.609,1.148,14
4.365,0.807,-1.74,-1.8,-1.82,4,0.508,0,0,0.731,0.855,37.5,2,0.156,8,51.568,2.009,0.156,0.667,4,0.483,1.906,1.881,2.011,1.731,7.0,-0.039,0.002,50.471,8.092,0.429,3.282,3.397,2.857,2.735,4.635,2.759,3.689,3.828,3.155,3.036,5.191,3.031,3.928,4.104,3.103,3.08,5.332,3.048,3.879,4.095,2.865,2.883,5.202,2.846,3.634,3.841,2.79,2.663,5.282,2.638,3.403,3.605,2.596,2.494,4.899,2.463,3.348,3.545,2.302,2.204,4.832,2.22,2.961,3.192,1.765,1.759,4.309,1.735,0.122,0.339,4.392,1.867,21.35,2.246,0.256,0.476,7.165,2.966,42.0,3.863,0.388,0.524,10.638,3.485,60.925,4.599,0.374,0.448,11.239,3.043,65.76,4.215,0.389,0.341,8.862,2.55,80.045,3.608,0.199,0.282,6.529,2.24,33.819,3.026,0.279,0.221,6.873,1.548,48.512,1.97,0.191,0.142,4.885,0.995,38.212,1.408,21
5.796,0.756,-3.75,-3.71,-3.53,14,2.52,0,0,0.596,0.789,37.7,10,-0.048,14,120.176,2.093,-0.14,1.252,11,0.599,1.979,1.981,2.087,1.75,14.939,4.14,17.141,126.481,8.099,0.343,4.195,4.299,3.94,3.752,5.258,3.706,4.764,4.92,4.237,4.144,6.025,4.068,5.056,5.263,4.316,4.28,6.138,4.181,5.095,5.308,4.265,4.189,6.433,4.102,4.996,5.217,4.197,4.071,6.226,3.99,4.875,5.077,4.075,4.037,6.059,3.933,4.846,5.023,3.98,4.023,6.067,3.92,4.776,4.969,3.887,3.992,5.955,3.883,0.14,0.881,14.561,6.075,22.254,7.283,0.596,1.384,26.088,10.558,75.565,13.12,0.586,1.713,42.392,13.904,85.9,17.593,1.08,1.674,43.913,13.426,164.385,17.036,0.911,1.504,40.682,11.653,127.638,14.619,0.709,1.37,39.702,11.63,107.335,13.301,0.807,1.271,41.789,11.572,129.91,12.904,0.668,1.228,32.451,10.845,102.505,13.108,38
3.569,0.865,-0.99,-1.09,-1.19,0,-0.24,1,1,0.761,0.918,26.7,0,-0.206,5,31.886,1.885,0.041,0.4,0,0.876,1.803,1.754,1.98,2.019,8.167,-2.027,4.109,62.961,9.107,0.526,3.556,3.672,3.475,2.991,4.778,2.977,4.069,4.217,3.667,3.275,5.68,3.292,4.222,4.39,3.533,3.29,5.644,3.282,4.149,4.388,3.345,3.273,5.242,3.181,4.107,4.342,3.11,3.087,5.246,2.99,3.887,4.113,3.066,2.945,5.084,2.816,3.796,4.047,3.196,2.864,5.072,2.756,3.601,3.748,3.142,2.661,5.329,2.63,0.314,0.453,7.641,2.801,40.068,2.497,0.74,0.623,15.316,4.363,94.235,4.221,0.891,0.645,13.733,4.002,93.799,4.898,0.53,0.606,15.935,4.736,51.268,5.908,0.675,0.47,16.693,3.886,72.294,4.917,0.536,0.394,12.108,3.633,59.23,4.31,0.485,0.352,13.816,3.008,45.597,3.691,0.483,0.274,8.118,2.653,56.088,2.567,22
4.403,0.802,-2.66,-2.67,-2.6,4,1.426,0,0,0.693,0.845,33.3,4,-0.096,7,60.698,1.953,-0.094,0.758,3,0.437,1.95,1.962,2.054,1.971,8.294,2.058,4.235,65.432,9.226,0.353,3.49,3.583,3.428,3.064,4.604,3.004,4.016,4.161,3.674,3.393,5.525,3.306,4.241,4.432,3.719,3.452,5.506,3.351,4.195,4.374,3.557,3.245,5.858,3.192,3.975,4.155,3.437,3.077,5.362,3.018,3.879,4.03,3.377,2.957,5.466,2.926,3.693,3.872,2.82,2.869,4.971,2.755,3.612,3.822,2.737,2.73,4.892,2.593,0.121,0.444,6.978,3.004,20.032,3.212,0.429,0.639,11.945,5.069,54.396,5.807,0.47,0.707,22.749,6.484,67.125,7.137,0.737,0.622,21.636,5.422,118.906,5.633,0.448,0.505,18.458,4.602,74.109,4.473,0.571,0.432,15.275,3.733,86.983,3.52,0.319,0.377,13.442,3.814,50.403,4.021,0.35,0.32,10.03,3.151,54.423,3.912,32
5.456,0.686,-4.46,-4.39,-4.14,15,3.23,0,0,0.556,0.708,39.4,13,0.046,7,74.196,2.095,-0.039,1.471,12,0.315,1.964,1.938,2.063,1.252,7.067,3.582,12.831,60.732,6.252,0.4,3.524,3.648,2.902,3.071,4.591,3.001,4.055,4.252,3.213,3.441,5.135,3.333,4.333,4.553,3.23,3.589,5.322,3.446,4.458,4.735,3.102,3.524,5.43,3.352,4.236,4.496,2.882,3.317,5.254,3.142,4.038,4.338,2.431,3.011,4.879,2.791,3.609,3.913,2.211,2.662,4.289,2.464,3.467,3.698,2.234,2.561,4.468,2.43,0.035,0.409,7.678,3.527,7.296,4.7,0.162,0.652,13.109,5.695,35.357,7.85,0.116,0.819,17.332,7.124,25.94,9.886,0.196,0.844,19.688,7.338,44.979,10.402,0.14,0.683,15.756,5.93,34.743,8.372,0.133,0.531,12.767,4.652,26.62,6.705,0.052,0.356,8.094,3.141,9.569,4.557,0.094,0.302,7.378,2.575,21.19,3.553,34
4.284,0.771,-2.17,-2.22,-2.19,5,0.942,0,0,0.675,0.833,41.7,2,-0.085,14,98.303,2.016,0.047,0.866,6,0.582,2.022,2.033,2.12,1.851,8.522,1.0,1.001,85.374,9.205,0.48,3.726,3.802,3.63,3.312,4.95,3.298,4.216,4.33,3.956,3.687,5.689,3.666,4.452,4.571,4.093,3.844,5.849,3.817,4.58,4.703,4.109,3.751,6.15,3.771,4.54,4.675,3.86,3.602,6.307,3.616,4.341,4.538,3.575,3.47,5.667,3.422,4.165,4.354,3.488,3.384,5.536,3.324,4.051,4.246,3.204,3.279,5.316,3.181,0.157,0.564,7.307,3.418,24.758,3.139,0.433,0.879,10.483,5.33,50.605,5.443,0.456,1.07,18.555,7.741,54.05,7.34,0.791,1.091,21.419,7.574,123.686,6.627,1.133,0.984,21.576,6.967,193.558,5.992,0.595,0.844,17.515,6.076,90.771,6.716,0.461,0.752,14.328,5.137,54.417,5.517,0.362,0.636,14.349,5.326,49.125,5.831,26
6.301,0.666,-4.6,-4.53,-4.26,16,3.374,0,0,0.547,0.711,48.5,14,0.085,14,109.712,2.077,-0.083,1.456,14,0.406,1.979,1.961,2.062,1.346,7.842,3.336,11.128,72.516,7.706,0.6,3.569,3.658,3.144,3.198,4.807,3.168,4.03,4.157,3.473,3.555,5.331,3.501,4.31,4.478,3.551,3.664,5.563,3.6,4.359,4.536,3.449,3.573,5.684,3.51,4.249,4.443,3.346,3.471,5.509,3.404,4.119,4.314,3.174,3.344,5.352,3.259,3.988,4.19,2.985,3.152,5.462,3.051,3.744,3.97,2.664,2.927,4.88,2.801,0.03,0.378,5.908,3.195,9.492,3.774,0.131,0.606,10.22,5.171,36.567,6.439,0.121,0.794,15.094,6.76,32.105,8.372,0.267,0.809,17.187,6.774,62.183,7.951,0.215,0.732,15.59,6.192,53.491,7.557,0.161,0.646,13.454,5.496,39.801,6.812,0.361,0.558,12.362,4.735,83.744,5.978,0.07,0.451,9.339,3.906,17.007,5.172,19
4.959,0.814,-2.25,-2.29,-2.26,4,1.019,0,0,0.724,0.865,39.1,2,0.135,8,48.811,1.994,-0.022,0.609,4,0.534,1.894,1.875,1.996,1.695,6.357,0.44,0.194,47.464,8.487,0.429,3.253,3.337,2.862,2.704,4.649,2.743,3.651,3.764,3.166,2.994,5.21,3.011,3.904,4.057,3.161,3.024,5.369,3.033,3.833,3.993,3.033,2.823,5.448,2.853,3.647,3.815,2.82,2.637,5.382,2.65,3.449,3.645,2.492,2.475,4.793,2.449,3.299,3.483,2.47,2.156,5.127,2.18,2.884,3.075,1.552,1.547,4.39,1.557,0.163,0.304,3.854,1.958,27.583,2.035,0.29,0.437,6.158,2.918,46.388,3.414,0.474,0.482,10.135,3.519,77.666,4.158,0.528,0.419,10.005,2.907,90.555,3.468,0.49,0.341,8.566,2.418,95.222,2.971,0.289,0.276,7.171,2.288,51.944,2.87,0.371,0.205,6.556,1.818,65.889,2.403,0.264,0.112,4.804,0.987,48.111,1.074,21
5.678,0.809,-4.44,-4.37,-4.12,14,3.208,0,0,0.67,0.854,43.5,12,0.079,15,99.801,2.056,-0.205,0.805,10,0.552,1.963,1.956,2.056,1.676,10.75,3.346,11.193,100.561,8.779,0.4,3.943,4.022,3.616,3.495,5.204,3.501,4.454,4.567,4.032,3.893,5.802,3.879,4.77,4.919,4.175,4.06,6.029,4.032,4.856,5.011,4.236,4.029,6.316,4.007,4.792,4.938,4.281,3.903,6.404,3.915,4.654,4.803,3.949,3.793,6.168,3.777,4.596,4.75,3.855,3.698,6.101,3.69,4.443,4.592,3.845,3.613,5.897,3.604,0.194,0.59,7.081,4.317,29.163,4.538,0.497,0.953,14.026,7.298,70.682,8.349,0.725,1.23,24.224,9.89,95.225,11.17,1.064,1.26,29.843,10.559,170.591,11.899,1.251,1.14,31.212,9.342,195.49,9.871,0.933,1.009,27.02,8.533,128.199,9.368,0.966,0.932,23.327,7.744,163.138,8.028,0.726,0.8,22.162,7.077,109.813,7.491,51
