pXC50,H.050,nHDon,CATS2D_08_DA,ATSC8s,Hy,CATS2D_08_AP,Eig10_EA.bo.,Eig11_EA.bo.,DLS_07,P_VSA_MR_5,ATS8s,DBI,PHI,Eig13_EA.bo.,GGI9,CATS2D_09_DL,CATS2D_02_DP,GGI8,S2K,Uindex,CATS2D_09_DA,CATS2D_03_DA,Eig04_EA.dm.,RBN,Eig04_AEA.dm.,Eig06_AEA.dm.,S3K,BAC,SAdon,Eig05_EA.dm.,Eig09_EA.dm.,CATS2D_02_DA,IC3,GGI10,DLS_02,TPSA.NO.,TPSA.Tot.,TIE,IAC,IDDE,TIC0,LLS_02,Eig08_EA.dm.,ON0V,SpMax6_Bh.v.,SpMin6_Bh.i.,SpMin6_Bh.p.,SpMin6_Bh.v.,SsNH2,Eig07_EA.dm.,S1K,SpMax7_Bh.e.,SpMax7_Bh.i.,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMin7_Bh.p.,SpMin8_Bh.e.,SpMin8_Bh.i.,SpMin8_Bh.v.,TIC2,VvdwZAZ,ATSC5s,SpMin6_Bh.e.,Chi1_EA.ed.,Eig09_EA.bo.,Eig10_EA.dm.,Eig11_EA.dm.,Eta_F,Eta_FL
4.252,0,0,0,76.361,-0.74,0,1.136,0.048,1.0,0.0,5.662,3.606,4.451,-0.624,0.118,0,0,0.174,6.537,39.486,0,0,0.0,4,2.588,2.231,4.076,19.0,0.0,0.0,0.0,0,4.715,0.065,1.0,73.58,81.96,49.038,59.45,4.054,59.45,1.0,0.0,7.167,2.752,0.844,1.087,1.107,0.0,0.0,16.342,2.854,2.925,2.775,2.83,1.062,0.827,0.772,1.044,154.402,299.78,58.671,0.886,4.476,1.5,0.0,0.0,25.846,7.055
4.553,2,2,0,44.679,0.16,0,1.349,1.223,1.0,47.248,5.824,3.391,6.377,0.604,0.25,3,0,0.342,8.986,44.995,1,1,0.0,7,2.858,1.997,4.574,11.0,59.469,0.0,0.0,0,5.052,0.118,1.0,48.49,48.49,49.238,84.842,4.306,84.842,1.0,0.0,10.376,2.981,1.107,1.456,1.465,0.0,0.0,20.579,3.111,3.206,3.109,3.197,1.376,1.096,1.026,1.393,263.498,377.93,64.946,1.177,5.343,1.5,0.0,0.0,21.797,6.257
4.252,2,2,0,44.561,0.225,0,1.849,1.655,1.0,42.101,5.659,3.082,5.353,1.433,0.183,2,0,0.26,8.445,43.794,0,1,0.0,4,2.694,2.271,4.015,5.0,60.694,0.0,0.0,2,5.336,0.163,1.0,105.82,105.82,50.812,83.921,4.761,83.921,0.75,0.0,9.533,3.139,1.186,1.491,1.449,0.0,0.0,19.652,3.25,3.335,3.049,3.096,1.385,0.993,0.944,1.206,251.315,355.6,61.085,1.229,6.07,1.913,0.0,0.0,32.069,8.196
4.501,2,2,0,106.805,0.342,0,1.5,1.476,1.0,33.098,5.76,4.062,5.826,1.0,0.261,1,0,0.321,8.382,47.251,2,0,0.149,5,2.887,2.51,4.113,27.0,60.694,0.0,0.0,2,5.028,0.218,0.83,129.56,166.18,81.975,90.699,4.031,90.699,0.88,0.0,8.467,3.067,1.092,1.385,1.386,0.0,0.0,20.853,3.207,3.243,3.111,3.206,1.376,0.95,0.943,1.156,219.672,356.33,170.257,1.15,5.365,1.909,0.0,0.0,32.137,7.495
4.262,3,3,1,42.382,1.012,0,1.5,0.788,1.0,68.246,5.428,3.937,5.416,0.134,0.162,3,0,0.222,7.911,44.774,0,3,0.313,6,2.9,2.242,4.55,19.0,52.685,0.149,0.0,2,4.708,0.077,1.0,113.18,113.18,52.052,71.419,4.239,71.419,1.0,0.0,7.783,2.861,0.936,1.279,1.238,0.0,0.0,17.799,2.913,2.985,2.854,2.925,1.14,0.886,0.821,1.107,177.722,302.94,74.87,0.99,4.955,1.534,0.0,0.0,27.595,7.65
4.262,2,2,0,93.244,0.296,0,1.263,0.867,1.0,54.027,6.047,4.0,6.213,0.641,0.231,1,0,0.36,8.846,44.419,0,1,0.0,9,3.277,2.666,5.801,17.0,36.022,0.0,0.0,2,4.604,0.166,1.0,84.23,109.53,78.244,92.006,4.651,92.006,1.0,0.0,8.819,3.083,1.064,1.376,1.429,0.0,0.0,20.367,3.058,3.101,2.896,2.956,1.376,0.971,0.947,1.229,219.438,354.86,102.602,1.153,5.359,1.736,0.0,0.0,24.88,5.874
4.262,1,1,0,37.867,-0.338,0,0.311,-0.273,1.0,34.856,5.189,3.162,5.918,-1.0,0.066,2,0,0.136,7.692,39.066,0,1,0.079,5,2.178,1.662,4.371,22.0,42.683,0.0,0.0,0,4.698,0.037,1.0,43.78,43.78,45.852,65.367,3.785,65.367,1.0,0.0,8.6,2.825,0.821,1.239,1.308,0.0,0.0,16.155,2.874,3.009,2.854,2.925,1.162,0.867,0.761,1.107,197.191,296.06,75.206,0.934,3.924,0.371,0.0,0.0,14.106,3.945
4.262,0,0,0,126.123,-0.545,0,-0.969,-1.329,1.0,11.804,4.804,3.873,4.746,-1.735,0.0,0,0,0.0,6.074,41.026,0,0,0.729,6,2.721,1.461,3.03,51.0,0.0,0.211,0.0,0,3.896,0.0,1.0,111.31,111.31,58.019,50.658,3.239,50.658,1.0,0.0,5.733,2.457,0.559,0.968,0.872,0.0,0.0,14.063,2.648,2.724,2.531,2.558,0.863,0.407,0.388,0.673,107.096,217.2,101.645,0.57,3.0,-0.132,0.0,0.0,19.426,5.28
4.262,1,1,0,154.62,-0.365,0,2.063,1.832,1.0,58.717,6.488,4.243,7.995,1.527,0.467,0,0,0.551,11.188,64.132,0,0,1.109,8,3.13,2.794,6.207,55.0,18.011,0.771,0.0,2,5.176,0.433,0.67,53.93,53.93,104.051,103.703,4.811,103.703,0.75,0.0,11.721,3.111,1.188,1.55,1.553,0.0,0.359,26.44,3.231,3.303,3.153,3.224,1.416,1.13,1.064,1.367,273.571,454.0,133.359,1.247,6.735,2.082,0.0,0.0,44.937,9.883
4.262,2,2,0,24.31,0.321,0,1.083,0.263,1.0,52.646,5.19,3.0,4.582,-0.523,0.14,0,0,0.181,6.797,36.984,1,0,0.0,3,2.465,1.899,3.513,10.0,60.572,0.0,0.0,1,4.879,0.091,1.0,74.58,74.58,38.791,60.264,4.437,60.264,1.0,0.0,6.243,2.728,0.789,1.065,1.065,0.0,0.0,15.504,2.775,2.836,2.737,2.776,0.944,0.69,0.642,0.936,151.119,276.34,38.306,0.846,4.375,1.485,0.0,0.0,22.544,6.728
4.262,0,0,0,42.308,-0.836,0,1.692,1.5,1.0,47.148,5.959,3.808,7.32,1.143,0.414,0,0,0.435,10.183,51.552,0,0,0.0,8,2.874,2.257,5.264,27.0,0.0,0.0,0.0,0,4.877,0.174,1.0,44.34,44.34,61.032,91.766,4.75,91.766,1.0,0.0,13.033,3.239,1.311,1.609,1.598,0.0,0.0,23.005,3.177,3.262,3.15,3.235,1.434,1.15,1.077,1.431,293.985,422.09,65.9,1.351,6.045,1.994,0.0,0.0,26.443,6.4
4.252,0,0,0,38.106,-0.737,0,1.778,1.5,1.0,30.071,5.974,3.606,6.738,1.5,0.257,0,0,0.317,10.416,51.689,0,0,0.0,8,2.625,2.139,4.748,10.0,0.0,0.0,0.0,0,4.331,0.261,0.5,90.44,90.44,45.58,87.576,3.929,87.576,0.63,0.0,11.55,3.316,1.256,1.584,1.638,0.0,0.0,22.64,3.306,3.407,3.117,3.177,1.455,1.034,0.963,1.316,228.581,404.1,52.126,1.351,6.818,2.013,0.0,0.0,40.808,10.143
4.262,2,2,0,38.287,0.425,0,-0.045,-0.305,1.0,18.011,5.161,3.24,4.525,-1.262,0.106,0,0,0.188,6.348,39.332,1,0,0.0,4,2.702,1.926,3.565,30.0,60.694,0.0,0.0,1,4.43,0.078,1.0,104.38,104.38,53.869,56.533,3.821,56.533,1.0,0.0,6.15,2.715,0.821,1.062,1.107,0.0,0.0,14.97,2.778,2.847,2.735,2.755,0.978,0.55,0.524,0.921,130.549,249.07,88.194,0.886,3.705,0.633,0.0,0.0,23.423,6.567
4.252,2,2,1,30.103,0.273,0,1.5,1.07,1.0,21.135,5.4,2.739,5.071,0.0,0.166,4,0,0.177,7.6,41.875,0,0,0.4,4,2.659,1.867,3.845,10.0,36.022,0.113,0.0,3,4.384,0.111,1.0,83.96,83.96,53.799,64.053,4.244,64.053,1.0,0.0,7.033,2.828,0.87,1.229,1.165,0.0,0.0,16.681,2.854,2.925,2.854,2.925,1.062,0.886,0.821,1.107,150.148,308.71,52.751,0.907,4.931,1.5,0.0,0.0,28.078,7.761
4.262,2,2,1,152.152,0.162,0,2.37,1.886,1.0,66.238,6.475,4.796,8.673,1.5,0.447,0,0,0.685,12.138,70.522,1,1,1.197,9,3.532,2.94,6.294,75.0,36.022,0.86,0.149,2,5.256,0.299,0.67,126.81,126.81,119.14,107.431,4.702,107.431,0.75,0.357,13.067,3.29,1.384,1.684,1.649,0.0,0.45,27.868,3.361,3.419,3.247,3.304,1.567,1.182,1.12,1.499,315.355,487.9,135.714,1.422,6.993,2.58,0.127,0.0,49.335,10.843
4.262,0,0,0,30.711,-0.763,0,-0.694,-1.0,1.0,6.249,4.595,2.739,2.301,-1.357,0.031,0,0,0.054,3.737,25.585,0,0,0.0,1,2.566,1.764,1.509,19.0,0.0,0.0,0.0,0,4.257,0.0,1.0,41.79,41.79,29.927,46.884,3.725,46.884,1.0,0.0,6.233,2.573,0.804,1.142,1.126,0.0,0.0,11.087,2.745,2.773,2.528,2.6,0.977,0.41,0.357,0.728,119.697,223.88,48.786,0.934,3.232,-0.029,0.0,0.0,17.114,5.065
4.262,3,3,1,124.358,0.962,0,2.246,1.5,0.5,33.925,5.91,3.937,7.401,1.401,0.282,1,0,0.452,10.318,59.868,1,1,0.4,7,3.309,2.867,5.638,51.0,52.426,0.113,0.0,6,5.147,0.222,0.67,155.91,192.53,103.851,105.578,4.629,105.578,0.75,0.0,9.66,3.091,1.112,1.423,1.391,0.0,0.0,25.104,3.239,3.271,3.084,3.098,1.267,0.907,0.874,1.148,247.668,420.22,128.647,1.153,6.15,2.31,0.0,0.0,42.891,9.575
4.262,0,0,0,28.917,-0.844,0,0.13,-0.249,1.0,91.381,5.263,3.606,5.374,-0.914,0.066,0,0,0.193,7.255,39.251,0,0,0.172,4,2.992,1.883,3.631,32.0,0.0,0.0,0.0,0,4.743,0.045,1.0,50.82,50.82,39.902,56.36,4.107,56.36,1.0,0.0,8.6,2.982,1.074,1.298,1.356,0.0,0.0,15.556,2.968,3.087,2.912,2.981,1.285,0.812,0.729,1.079,188.705,309.76,38.899,1.132,3.841,0.791,0.0,0.0,13.752,3.747
4.532,2,2,3,49.689,0.337,0,0.636,0.312,1.0,34.796,5.427,2.55,4.603,-0.492,0.143,0,0,0.222,6.673,39.291,0,1,0.449,3,3.118,2.395,3.328,27.0,74.355,0.0,0.0,1,4.865,0.091,1.0,75.31,103.55,54.984,68.402,4.252,68.402,1.0,0.0,6.96,2.715,0.821,1.108,1.107,0.0,0.0,16.555,2.854,2.925,2.825,2.858,1.062,0.774,0.714,1.011,164.343,292.97,68.459,0.886,4.245,1.5,0.0,0.0,25.246,6.802
5.677,2,2,0,64.058,0.296,0,1.691,1.555,1.0,1.519,5.661,3.742,5.088,0.892,0.239,3,0,0.289,7.559,44.651,1,0,0.0,5,3.444,2.624,3.745,27.0,59.088,0.0,0.0,3,4.97,0.164,1.0,105.47,142.09,71.824,77.978,4.513,77.978,1.0,0.0,7.65,3.065,1.12,1.389,1.357,0.0,0.0,19.521,2.882,2.929,2.865,2.926,1.043,0.863,0.806,1.042,172.7,346.35,129.912,1.119,5.233,2.022,0.0,0.0,35.598,8.519
4.67,0,0,0,34.838,-0.778,0,1.463,1.334,1.0,43.009,5.663,4.743,7.372,0.472,0.191,0,0,0.346,9.731,62.092,0,0,0.8,7,2.982,2.472,5.701,54.0,0.0,0.616,0.0,0,4.696,0.149,1.0,73.64,73.64,76.364,77.634,3.995,77.634,1.0,0.0,10.517,3.028,1.155,1.508,1.539,0.0,0.0,21.212,2.939,3.009,2.874,2.961,1.239,0.886,0.821,1.112,210.725,372.97,91.09,1.249,4.966,1.5,0.0,0.0,31.498,7.851
5.013,3,3,3,58.456,0.94,0,1.5,1.5,1.0,53.672,5.761,4.472,7.358,1.026,0.307,1,0,0.244,9.984,58.781,1,1,0.0,6,2.809,2.541,6.838,37.0,52.426,0.0,0.0,4,5.133,0.091,0.83,113.33,153.8,74.151,92.616,4.478,92.616,1.0,0.0,9.617,3.174,1.217,1.465,1.484,0.0,0.0,22.845,3.088,3.158,3.013,3.098,1.354,1.024,0.988,1.253,231.255,389.22,88.791,1.26,5.694,2.139,0.0,0.0,35.255,8.789
4.262,1,1,0,107.218,-0.329,0,1.572,1.5,1.0,31.748,6.085,3.391,6.558,1.0,0.178,1,0,0.316,9.69,49.492,1,1,0.657,6,2.812,2.337,5.078,11.0,18.011,0.293,0.0,0,4.926,0.148,1.0,94.29,94.29,59.772,86.316,4.349,86.316,1.0,0.0,9.55,3.072,1.152,1.482,1.485,0.0,0.0,20.978,3.168,3.206,3.111,3.2,1.376,1.059,1.032,1.294,230.79,376.65,86.816,1.203,6.03,1.851,0.0,0.0,34.441,8.947
4.516,1,1,0,55.794,-0.288,0,1.313,1.0,1.0,48.376,5.611,2.449,5.134,0.862,0.225,0,0,0.26,7.718,42.385,0,0,0.86,3,3.142,2.516,3.678,17.0,18.011,0.8,0.0,3,4.985,0.149,1.0,97.54,97.54,60.319,77.552,4.28,77.552,1.0,0.0,8.817,2.985,1.128,1.418,1.46,0.0,0.0,18.627,3.111,3.201,3.073,3.094,1.376,0.931,0.91,1.161,216.801,336.51,71.498,1.207,5.262,1.867,0.0,0.0,29.811,7.518
4.262,3,3,1,51.854,1.05,0,1.5,1.136,1.0,69.847,5.486,4.0,5.321,-0.295,0.226,0,0,0.272,7.497,44.451,0,1,0.0,6,2.898,2.023,4.268,28.0,49.18,0.0,0.0,3,4.967,0.1,1.0,106.55,114.93,58.385,78.815,4.133,78.815,1.0,0.0,7.126,2.879,0.953,1.294,1.29,5.263,0.0,18.453,2.855,2.925,2.854,2.921,1.062,0.813,0.748,1.053,183.66,313.21,76.384,1.015,4.72,1.639,0.0,0.0,28.354,7.332
4.262,1,1,0,146.377,-0.316,0,1.925,1.833,1.0,52.119,6.247,4.472,7.528,1.0,0.308,2,0,0.436,10.274,59.931,0,0,0.86,6,3.194,2.615,5.096,74.0,18.011,0.555,0.0,1,5.211,0.239,0.67,105.25,113.63,101.04,108.989,4.651,108.989,0.75,0.0,12.983,3.178,1.266,1.572,1.579,0.0,0.149,25.645,3.302,3.343,3.247,3.314,1.523,1.191,1.115,1.517,324.401,452.95,150.673,1.32,5.887,2.057,0.0,0.0,36.999,8.088
4.262,1,1,1,31.153,-0.341,0,1.573,1.507,1.0,66.364,5.8,3.162,5.752,1.5,0.252,1,0,0.358,9.144,45.472,1,0,0.0,5,2.737,2.186,4.474,2.0,17.888,0.0,0.0,1,5.069,0.165,1.0,90.63,90.63,45.17,82.179,4.75,82.179,0.88,0.0,9.217,3.117,1.136,1.511,1.469,0.0,0.0,20.13,3.022,3.068,2.911,2.95,1.371,0.886,0.821,1.107,229.32,365.41,47.504,1.208,6.475,1.898,0.0,0.0,36.531,9.706
4.747,0,0,0,16.529,-0.762,0,1.0,0.013,1.0,31.725,4.944,2.646,4.771,-0.823,0.112,0,0,0.123,6.781,34.643,0,0,0.793,3,2.978,2.31,3.687,11.0,0.0,0.14,0.0,0,4.321,0.082,1.0,36.44,64.68,31.091,66.849,3.914,66.849,1.0,0.0,8.35,2.898,1.064,1.376,1.411,0.0,0.0,15.479,2.874,3.009,2.864,2.925,1.239,0.886,0.804,1.107,176.31,299.14,24.308,1.153,4.192,1.134,0.0,0.0,16.163,4.697
4.654,1,1,0,63.584,-0.284,0,1.408,0.114,1.0,21.135,5.451,2.739,4.217,-0.805,0.063,0,0,0.142,6.306,36.602,0,0,0.113,2,2.885,2.168,3.149,17.0,18.011,0.0,0.0,2,4.418,0.049,1.0,54.86,86.95,50.837,61.433,4.176,61.433,1.0,0.0,6.176,2.715,0.821,1.062,1.107,0.0,0.0,15.379,2.854,2.925,2.782,2.766,1.062,0.787,0.764,0.959,127.69,281.54,77.324,0.886,4.304,1.5,0.0,0.0,24.765,6.784
4.262,1,1,0,18.365,-0.32,0,0.445,-0.485,1.0,13.274,4.779,2.646,3.365,-0.794,0.0,0,0,0.03,5.175,29.58,0,2,0.0,3,2.331,1.488,2.177,11.0,42.683,0.0,0.0,0,4.663,0.0,1.0,47.28,47.28,28.086,54.117,4.022,54.117,1.0,0.0,7.017,2.772,1.01,1.306,1.326,0.0,0.0,13.005,2.845,2.9,2.618,2.674,1.068,0.641,0.589,0.874,154.343,236.68,47.421,1.08,3.632,0.895,0.0,0.0,19.088,5.723
4.252,1,1,1,23.787,-0.238,0,1.071,1.038,1.0,30.267,5.139,2.646,4.444,0.302,0.181,0,0,0.195,6.881,36.182,0,1,0.0,5,2.612,1.933,3.263,9.0,18.011,0.0,0.0,3,4.561,0.061,1.0,82.3,110.54,27.854,70.586,4.244,70.586,1.0,0.0,7.85,2.95,0.984,1.329,1.281,0.0,0.0,16.148,2.854,2.925,2.786,2.856,1.215,0.917,0.876,1.107,160.215,274.74,27.329,1.037,4.691,1.5,0.0,0.0,24.371,7.398
4.262,0,0,0,10.343,-0.818,0,-0.414,-0.602,1.0,18.332,4.334,2.236,2.792,-1.5,0.007,0,0,0.029,4.327,25.616,0,0,0.0,1,2.562,1.43,2.029,5.0,0.0,0.0,0.0,0,3.851,0.0,1.0,37.38,37.38,34.101,49.435,3.017,49.435,1.0,0.0,6.2,2.715,0.821,1.062,1.107,0.0,0.0,11.613,2.854,2.925,2.668,2.722,1.016,0.422,0.348,0.762,119.16,235.46,79.292,0.886,3.338,0.221,0.0,0.0,12.534,3.57
4.262,3,3,0,40.746,0.974,0,1.313,0.674,1.0,53.952,5.647,3.606,5.762,-0.315,0.242,6,1,0.292,8.214,44.065,1,0,0.86,5,3.134,2.551,4.551,25.0,50.908,0.0,0.0,3,4.973,0.149,1.0,94.31,119.61,45.751,73.622,3.979,73.622,1.0,0.0,7.95,2.908,1.04,1.374,1.391,4.959,0.0,18.239,2.998,3.05,2.854,2.925,1.137,0.886,0.821,1.107,189.29,318.96,48.62,1.113,4.981,1.5,0.0,0.0,27.385,7.36
5.623,1,1,0,18.322,-0.249,0,-0.454,-0.939,1.0,1.519,4.67,2.449,2.952,-1.233,0.049,2,0,0.077,4.629,27.709,0,0,0.0,2,2.702,1.828,2.082,11.0,42.683,0.0,0.0,1,4.566,0.0,1.0,59.3,87.54,31.764,48.019,3.932,48.019,1.0,0.0,5.067,2.673,0.775,0.99,1.032,0.0,0.0,12.117,2.592,2.643,2.441,2.457,0.847,0.47,0.429,0.746,103.851,226.64,47.808,0.833,3.508,0.891,0.0,0.0,18.425,5.567
4.262,3,3,2,140.747,0.869,1,1.883,1.5,1.0,83.611,6.375,4.472,8.75,1.238,0.378,4,0,0.522,11.537,67.017,0,2,1.012,9,3.376,2.87,6.62,67.0,50.908,0.735,0.0,4,5.132,0.248,0.67,127.49,127.49,112.602,101.331,4.558,101.331,0.88,0.106,11.043,3.079,1.126,1.406,1.399,6.245,0.296,25.786,3.179,3.236,3.101,3.149,1.385,0.968,0.91,1.308,282.282,443.07,166.249,1.17,6.196,2.055,0.0,0.0,37.131,8.303
4.262,1,1,0,25.92,-0.229,0,-1.225,-1.416,1.0,33.486,4.718,3.391,5.432,-1.656,0.016,0,0,0.033,6.904,34.274,0,1,0.149,5,1.935,1.151,4.739,21.0,18.011,0.0,0.0,1,4.236,0.0,1.0,47.56,47.56,24.002,47.202,3.281,47.202,1.0,0.0,6.0,2.635,0.797,1.062,1.107,0.0,0.0,12.588,2.644,2.737,2.515,2.607,0.913,0.456,0.357,0.834,123.706,217.07,30.75,0.886,3.319,-0.689,0.0,0.0,12.87,4.394
4.262,0,0,0,27.812,-0.884,0,1.5,1.5,1.0,11.719,5.437,2.121,4.401,1.132,0.184,0,0,0.248,7.197,37.775,0,0,0.0,3,2.88,1.996,3.46,2.0,0.0,0.0,0.0,0,4.788,0.077,1.0,35.53,35.53,38.476,60.788,4.379,60.788,0.75,0.0,8.667,2.963,1.066,1.265,1.285,0.0,0.0,17.122,3.006,3.057,2.854,2.925,1.229,0.886,0.821,1.107,188.794,343.89,40.028,1.105,5.513,1.636,0.0,0.0,27.732,7.75
4.262,1,1,0,33.847,-0.392,0,1.731,1.5,1.0,63.005,5.746,3.162,7.303,1.23,0.184,1,0,0.402,10.569,50.415,0,0,0.8,4,2.983,2.435,5.385,11.0,18.011,0.566,0.0,1,4.852,0.202,0.83,37.88,69.97,43.823,97.082,4.536,97.082,0.75,0.0,12.667,3.18,1.308,1.603,1.639,0.0,0.0,23.493,3.251,3.311,3.111,3.206,1.404,1.153,1.064,1.429,273.83,441.91,47.654,1.394,6.469,1.77,0.0,0.0,30.62,8.041
