pXC50,AMW,H.,N.,nN,RBF,RBN,Si,Mp,Mv,nAT,nBT
5.489,7.57,43.9,4.9,2,0.093,4,45.946,0.67,0.644,41,43
5.446,7.877,40.0,13.3,4,0.063,2,33.654,0.702,0.673,30,32
5.243,7.581,42.9,3.6,2,0.05,3,62.192,0.692,0.66,56,60
5.662,8.103,40.6,9.4,3,0.152,5,36.199,0.662,0.651,32,33
4.902,9.651,32.1,14.3,4,0.069,2,32.883,0.655,0.681,28,29
5.841,9.074,39.4,9.1,3,0.086,3,36.411,0.761,0.699,33,35
5.35,9.509,37.8,8.1,3,0.105,4,41.478,0.715,0.686,37,38
6.543,7.367,45.2,7.1,3,0.067,3,47.235,0.667,0.636,42,45
6.065,10.102,37.0,7.4,2,0.071,2,30.486,0.73,0.696,27,28
5.58,7.799,42.1,10.5,4,0.1,4,42.903,0.671,0.649,38,40
5.76,8.182,37.9,10.3,3,0.065,2,32.365,0.707,0.686,29,31
4.91,9.69,32.1,10.7,3,0.1,3,31.079,0.745,0.724,28,30
7.553,9.234,32.3,0.0,0,0.03,1,34.332,0.695,0.707,31,33
5.89,11.372,23.1,19.2,5,0.148,4,29.688,0.71,0.743,26,27
5.327,9.954,37.0,7.4,2,0.107,3,30.276,0.75,0.706,27,28
5.589,8.79,38.5,5.1,2,0.071,3,43.475,0.707,0.685,39,42
6.322,7.057,47.6,9.5,4,0.068,3,47.524,0.656,0.619,42,44
5.213,8.034,45.2,7.1,3,0.186,8,47.574,0.657,0.627,42,43
6.405,7.471,43.6,2.6,1,0.073,3,43.239,0.692,0.658,39,41
5.52,9.677,33.3,11.1,4,0.158,6,40.621,0.694,0.693,36,38
6.428,8.887,37.5,12.5,4,0.029,1,35.783,0.724,0.69,32,35
5.537,6.898,48.9,4.4,2,0.085,4,50.567,0.656,0.616,45,47
7.654,9.477,38.7,9.7,3,0.094,3,34.644,0.735,0.691,31,32
5.998,7.729,40.6,9.4,3,0.0,0,35.571,0.713,0.678,32,35
6.339,7.241,46.2,10.3,4,0.073,3,44.109,0.662,0.628,39,41
6.135,10.636,25.0,12.5,4,0.057,2,35.581,0.75,0.756,32,35
4.976,8.171,40.5,5.4,2,0.132,5,41.871,0.666,0.656,37,38
6.264,8.327,36.6,7.3,3,0.091,4,45.405,0.719,0.699,41,44
5.169,9.249,45.5,3.0,1,0.088,3,36.663,0.713,0.658,33,34
4.038,8.388,37.8,10.8,4,0.132,5,41.697,0.681,0.672,37,38
5.865,7.576,43.3,10.0,3,0.097,3,33.78,0.676,0.647,30,31
6.316,7.855,47.3,9.1,5,0.103,6,62.132,0.679,0.63,55,58
5.833,7.873,40.9,4.5,2,0.064,3,48.946,0.692,0.668,44,47
5.385,9.039,33.3,6.1,2,0.086,3,37.041,0.701,0.703,33,35
6.234,9.736,33.3,12.5,3,0.08,2,26.894,0.734,0.716,24,25
5.375,7.947,45.2,6.5,2,0.061,2,34.617,0.699,0.649,31,33
6.067,10.121,35.7,10.7,3,0.069,2,31.545,0.741,0.702,28,29
5.573,10.442,23.3,16.7,5,0.125,4,33.954,0.702,0.74,30,32
5.647,7.848,41.9,9.7,3,0.094,3,34.99,0.669,0.649,31,32
5.834,7.77,41.3,2.2,1,0.102,5,50.863,0.7,0.672,46,49
5.184,8.216,38.2,14.7,5,0.114,4,38.362,0.692,0.674,34,35
5.931,9.047,36.8,13.2,5,0.075,3,42.93,0.7,0.684,38,40
5.583,8.955,38.9,11.1,4,0.105,4,40.827,0.675,0.66,36,38
5.374,8.186,42.5,7.5,3,0.119,5,44.74,0.698,0.659,40,42
5.664,7.474,44.2,2.3,1,0.111,5,47.863,0.68,0.649,43,45
4.037,8.009,40.0,6.7,2,0.031,1,33.491,0.691,0.67,30,32
5.471,9.319,40.6,15.6,5,0.152,5,36.456,0.705,0.669,32,33
5.283,9.198,32.4,10.8,4,0.154,6,41.701,0.685,0.696,37,39
5.029,7.815,41.7,13.9,5,0.079,3,40.777,0.675,0.652,36,38
5.203,10.214,36.0,12.0,3,0.154,4,27.999,0.74,0.698,25,26
5.468,9.987,32.0,12.0,3,0.077,2,28.103,0.723,0.716,25,26
4.92,9.833,33.3,17.9,7,0.119,5,43.783,0.745,0.713,39,42
5.482,10.902,34.5,3.4,1,0.065,2,31.835,0.761,0.728,29,31
5.247,8.24,38.5,7.7,3,0.071,3,43.614,0.691,0.676,39,42
4.038,8.511,40.0,10.0,4,0.071,3,44.823,0.704,0.672,40,42
5.947,9.668,32.3,3.2,1,0.061,2,34.147,0.743,0.73,31,33
6.423,8.137,38.3,8.5,4,0.12,6,52.318,0.708,0.685,47,50
5.251,8.113,39.6,6.3,3,0.12,6,53.654,0.686,0.67,48,50
5.952,8.522,41.7,11.1,4,0.108,4,40.847,0.677,0.653,36,37
4.726,8.819,43.4,7.5,4,0.088,5,59.406,0.696,0.657,53,57
4.523,9.067,42.0,8.0,4,0.093,5,55.99,0.703,0.666,50,54
4.602,9.29,41.3,8.7,4,0.102,5,51.575,0.704,0.669,46,49
4.62,9.007,42.9,8.2,4,0.096,5,54.99,0.697,0.659,49,52
6.625,10.618,30.3,6.1,2,0.086,3,36.544,0.746,0.73,33,35
5.47,7.928,40.5,8.1,3,0.051,2,41.405,0.689,0.666,37,39
5.476,8.705,39.5,10.5,4,0.05,2,42.847,0.694,0.671,38,40
5.854,8.252,36.4,0.0,0,0.028,1,35.91,0.742,0.715,33,36
5.387,14.837,22.7,0.0,0,0.043,1,23.796,0.913,0.853,22,23
6.089,7.24,46.2,5.1,2,0.098,4,43.737,0.667,0.633,39,41
8.0,14.635,18.2,0.0,0,0.0,0,23.856,0.881,0.857,22,24
5.569,7.885,37.5,0.0,0,0.0,0,34.491,0.768,0.724,32,36
6.699,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
6.347,12.93,23.8,0.0,0,0.0,0,22.702,0.861,0.824,21,23
7.82,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
7.6,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
5.959,16.2,13.6,0.0,0,0.0,0,23.8,0.92,0.894,22,24
5.19,16.2,13.6,0.0,0,0.0,0,23.8,0.92,0.894,22,24
4.07,12.93,23.8,0.0,0,0.0,0,22.702,0.861,0.824,21,23
5.37,14.837,22.7,0.0,0,0.043,1,23.796,0.913,0.853,22,23
8.824,22.716,18.2,0.0,0,0.0,0,23.446,0.971,0.893,22,24
5.495,11.504,27.3,0.0,0,0.0,0,23.968,0.803,0.781,22,24
6.699,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
6.886,14.837,22.7,0.0,0,0.043,1,23.796,0.913,0.853,22,23
6.638,17.85,9.5,0.0,0,0.0,0,22.534,0.983,0.942,21,23
7.33,17.85,9.5,0.0,0,0.0,0,22.534,0.983,0.942,21,23
6.569,17.85,9.5,0.0,0,0.0,0,22.534,0.983,0.942,21,23
5.886,14.635,18.2,0.0,0,0.0,0,23.856,0.881,0.857,22,24
6.149,13.272,27.3,0.0,0,0.043,1,23.852,0.874,0.816,22,23
6.921,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
4.699,11.131,31.3,9.4,3,0.057,2,35.416,0.76,0.738,32,35
4.886,8.819,43.4,7.5,4,0.088,5,59.406,0.696,0.657,53,57
4.523,9.29,41.3,8.7,4,0.102,5,51.575,0.704,0.669,46,49
5.268,9.007,42.3,9.6,5,0.089,5,58.489,0.695,0.66,52,56
5.284,9.007,42.3,9.6,5,0.089,5,58.489,0.695,0.66,52,56
5.317,9.214,32.4,8.8,3,0.139,5,38.203,0.686,0.698,34,36
7.77,26.302,13.6,0.0,0,0.0,0,23.288,1.033,0.939,22,24
6.796,10.763,32.4,8.1,3,0.075,3,41.041,0.744,0.726,37,40
5.744,9.065,38.5,11.5,3,0.074,2,29.309,0.707,0.681,26,27
4.992,8.736,37.9,10.3,3,0.097,3,32.076,0.749,0.702,29,31
6.423,7.933,41.0,7.7,3,0.098,4,43.95,0.686,0.663,39,41
4.917,6.729,50.9,12.3,7,0.1,6,65.265,0.629,0.591,57,60
5.946,7.471,43.6,7.7,3,0.098,4,43.611,0.687,0.653,39,41
5.461,7.799,42.1,10.5,4,0.125,5,42.903,0.671,0.649,38,40
6.933,10.265,38.7,16.1,5,0.061,2,34.994,0.723,0.685,31,33
5.0,7.702,41.0,0.0,0,0.024,1,42.74,0.718,0.683,39,42
6.481,8.797,33.3,0.0,0,0.028,1,36.25,0.74,0.726,33,36
6.569,8.171,37.8,0.0,0,0.05,2,40.535,0.721,0.698,37,40
6.347,8.541,34.4,3.1,1,0.029,1,34.993,0.741,0.721,32,35
5.77,8.743,33.3,6.7,2,0.03,1,33.076,0.732,0.719,30,33
6.699,9.342,30.3,0.0,0,0.028,1,36.589,0.738,0.738,33,36
5.0,7.954,38.9,0.0,0,0.026,1,39.325,0.729,0.698,36,39
