pXC50,nS,nHM,N.,SCBO
7.319,1,1,10.8,36.0
6.553,2,2,28.6,14.5
6.244,2,3,12.5,23.0
7.102,1,2,10.5,17.0
7.886,3,3,17.2,30.5
5.143,0,0,6.7,11.0
4.311,0,0,0.0,11.0
7.602,1,1,4.5,26.0
6.122,1,1,2.8,30.0
5.153,0,0,0.0,16.0
6.194,0,0,8.3,7.0
4.996,0,0,15.0,6.0
5.387,0,0,0.0,15.0
5.025,0,0,0.0,19.0
4.155,0,0,0.0,15.0
7.284,1,2,6.3,30.5
7.886,1,1,4.8,30.0
6.075,1,1,6.5,24.0
8.569,1,2,5.3,34.0
4.076,0,1,0.0,14.0
8.187,1,1,4.2,19.0
7.465,1,3,19.2,28.0
4.279,1,1,4.8,20.0
6.161,0,0,0.0,15.0
6.182,1,1,4.1,30.0
6.91,1,1,5.7,56.5
7.194,1,1,6.9,52.5
8.0,1,1,9.8,40.5
7.06,1,1,7.0,56.5
7.26,1,1,9.8,40.5
7.947,1,1,7.7,24.0
7.959,1,1,7.0,56.5
5.003,1,1,4.9,20.0
4.312,1,1,6.5,18.0
5.629,2,2,4.7,42.0
7.963,1,1,8.7,38.5
7.149,1,1,8.1,50.5
6.097,3,3,5.3,58.0
7.678,4,4,8.8,55.5
5.305,1,2,7.5,35.0
7.108,1,1,9.3,41.5
6.108,1,1,5.0,19.0
6.167,2,2,11.1,26.0
5.495,1,1,9.1,17.0
4.303,0,0,0.0,14.0
7.237,1,1,8.0,40.5
4.465,0,0,0.0,14.0
6.081,0,0,0.0,17.0
5.228,1,1,6.1,20.0
7.167,1,1,3.3,24.0
5.187,0,0,0.0,15.0
6.373,2,2,15.4,29.5
5.987,1,1,3.6,32.0
8.237,1,1,7.7,20.0
5.076,1,1,6.1,20.0
5.069,1,1,3.2,24.0
6.678,1,1,6.5,39.0
6.131,0,0,0.0,17.0
5.413,1,1,4.5,34.0
5.154,1,2,4.5,35.0
5.272,1,1,6.5,39.0
5.152,1,1,4.3,35.0
5.047,1,2,4.5,35.0
5.517,1,1,6.7,38.0
5.513,1,1,6.5,35.0
5.099,1,1,4.4,24.0
7.886,2,2,2.2,34.0
6.066,0,0,0.0,16.0
6.051,0,0,0.0,16.0
6.066,0,0,0.0,17.0
6.108,0,0,0.0,16.0
6.26,0,0,0.0,17.0
5.046,0,0,0.0,19.0
5.267,0,0,0.0,32.0
8.252,1,2,4.8,36.0
5.116,1,1,6.1,20.0
5.092,1,1,3.3,29.0
5.159,1,1,4.5,35.0
5.176,1,1,6.5,35.0
4.377,0,0,0.0,11.0
5.149,0,0,0.0,29.0
6.108,0,0,0.0,25.0
7.337,0,0,4.5,19.0
5.076,0,0,0.0,29.0
7.377,0,0,0.0,24.0
7.387,0,0,0.0,25.0
7.319,0,0,0.0,23.0
5.215,0,0,0.0,25.0
5.495,0,0,0.0,23.0
5.42,0,0,0.0,23.0
5.066,0,0,0.0,21.0
5.06,0,0,0.0,22.0
5.108,1,1,0.0,21.0
5.208,0,0,0.0,19.0
5.141,0,0,0.0,25.0
7.337,1,1,5.9,30.0
5.066,0,0,0.0,22.0
7.398,0,0,9.8,31.0
6.325,0,0,5.6,23.0
4.917,0,0,14.3,9.0
5.05,0,0,0.0,33.0
7.319,0,0,0.0,17.0
7.051,1,1,17.2,27.0
4.536,0,0,7.1,14.0
7.319,2,2,10.0,22.0
5.175,0,0,0.0,17.0
5.187,1,1,10.5,16.0
7.824,1,2,10.5,17.0
6.611,2,2,23.5,15.0
5.487,1,1,4.2,18.0
5.319,1,1,10.5,16.0
6.745,1,1,10.5,17.0
5.416,1,1,4.8,17.0
5.538,1,1,8.0,18.0
7.678,1,2,10.5,17.0
7.119,2,2,7.5,34.0
9.046,3,4,17.2,32.5
5.839,1,1,14.3,17.0
7.086,1,1,5.1,25.0
7.481,3,3,14.8,29.5
5.28,1,1,9.1,22.0
6.983,2,3,8.3,38.0
8.387,2,2,7.7,36.0
5.086,0,0,0.0,21.0
6.971,1,1,5.6,34.5
4.92,0,0,2.2,29.0
6.33,0,0,10.3,54.0
6.187,0,0,0.0,15.0
