pXC50,MSD,Yindex,IDE,Eig07_EA,SM15_AEA.bo.,DECC,AECC,Eig07_AEA.ri.,UNIP,Eig08_EA.ri.,HVcpx,Eig07_EA.ed.,SM02_AEA.ri.,Vindex,Chi0_EA.dm.,Eig07_EA.ri.,SpMax3_Bh.i.,Eig08_EA.ed.,SM03_AEA.ri.,RDCHI,Eig08_AEA.ri.,X4sol,Eig06_EA,SM14_AEA.bo.,SpMax8_Bh.e.,Eig08_AEA.ed.,CSI,Xindex,ICR,Eig09_EA.ri.,X0v,ECC,IDMT,Eig11_AEA.ri.,Eig07_AEA.ed.,GMTI,X4v,SpMax5_Bh.m.,CATS2D_08_DP,SMTI,AMR,MDDD,SpMax3_Bh.v.,IDET,SpMax8_Bh.v.,SpMin3_Bh.v.,Eta_alpha,Xu,Eig06_AEA.ed.,SpMax8_Bh.m.,X2sol,SpAD_AEA.ed.,SpMax3_Bh.p.,SpMax8_Bh.p.,SpMax7_Bh.p.,Eig11_EA.ri.,Eig10_EA.ri.,MW,Eig11_EA.ed.,SM06_AEA.ri.,SpMin3_Bh.p.,CATS2D_04_DL,Psi_i_1,SMTIV,X1sol,X3sol,Eig09_AEA.ed.,ATSC5m,Eig12_EA.ed.
5.276,7.427,0.507,3.759,2.109,2.109,1.841,12.294,3.061,146.0,1.78,3.565,5.602,5.602,0.183,32.664,1.976,3.824,5.126,5.126,4.437,2.828,9.78,2.218,2.218,2.999,4.644,888.0,0.285,3.067,1.431,19.603,418.0,32537.3,2.222,4.945,16064.0,3.6,3.449,0,15557.0,129.707,41.059,3.61,2108.56,2.791,1.907,16.0,31.382,5.056,3.013,14.94,55.654,3.6,2.804,2.928,1.19,1.217,485.99,3.096,3.096,1.902,2,18.934,27786.0,16.263,11.446,4.415,28.054,2.489
5.7,4.772,0.731,3.087,1.218,1.218,1.08,7.895,2.197,54.0,0.853,3.009,2.642,2.642,0.256,13.8,1.189,3.474,2.08,2.08,3.209,1.851,5.78,1.274,1.274,2.608,3.329,325.0,0.391,2.394,0.368,10.499,150.0,5151.62,0.433,3.499,3281.0,1.942,2.958,0,3185.0,74.095,11.296,3.255,527.8,2.471,1.566,9.033,18.846,3.594,2.495,7.942,31.277,3.237,2.474,2.608,-0.497,0.041,251.31,-1.238,-1.238,1.571,3,10.469,5300.0,9.365,6.828,2.858,14.098,-1.478
5.0,6.335,0.554,3.537,1.879,1.879,1.745,10.857,2.707,108.0,1.441,3.35,5.104,5.104,0.198,19.118,1.664,3.805,4.741,4.741,3.842,2.703,10.128,1.934,1.934,2.885,4.646,659.0,0.308,2.901,1.347,16.195,304.0,17189.3,1.813,4.841,9437.0,4.053,3.535,0,9030.0,108.721,25.98,3.668,1337.15,2.733,1.848,13.867,26.455,4.913,2.916,12.874,49.211,3.66,2.733,2.824,0.8,1.309,436.28,2.117,2.117,1.849,0,15.489,18837.0,13.617,11.159,4.127,12.655,0.971
5.0,5.899,0.705,3.426,1.639,1.639,1.556,10.0,2.592,93.0,1.248,3.28,4.574,4.574,0.246,9.931,1.549,3.833,3.618,3.618,3.627,2.273,8.641,2.002,2.002,2.789,4.324,566.0,0.377,2.718,1.113,15.587,270.0,14929.7,1.471,4.652,7608.0,3.917,3.24,0,7624.0,98.861,22.217,3.723,1202.48,2.613,1.906,12.819,25.434,4.959,2.808,13.071,46.895,3.767,2.594,2.723,0.489,0.956,413.86,1.353,1.353,1.88,2,15.038,15673.0,13.035,9.888,3.878,17.657,0.807
5.7,6.802,0.504,3.676,1.979,1.979,2.258,11.893,2.903,117.0,1.336,3.505,5.686,5.686,0.185,29.266,1.813,3.845,3.747,3.747,3.975,2.379,7.989,2.037,2.037,2.917,4.206,725.0,0.291,3.067,1.211,15.115,333.0,18222.0,1.969,4.942,10193.0,3.061,3.097,0,9651.0,100.648,30.352,3.641,1389.44,2.737,1.927,12.671,26.866,4.996,2.866,11.297,47.877,3.638,2.733,2.786,0.963,1.022,388.41,2.136,2.136,1.936,1,15.806,17723.0,12.704,9.763,3.955,21.053,1.223
5.0,6.261,0.465,3.537,1.618,1.618,1.675,10.731,2.603,97.0,1.355,3.413,4.36,4.36,0.169,6.656,1.592,3.934,3.804,3.804,3.943,2.372,9.73,1.824,1.824,2.742,4.245,634.0,0.266,2.902,1.312,14.629,279.0,14195.1,1.707,4.413,8952.0,3.598,3.218,0,8108.0,103.098,22.385,3.678,1149.49,2.6,1.778,12.633,25.09,4.952,2.736,12.401,46.067,3.65,2.633,2.822,0.714,1.093,359.45,1.789,1.789,1.802,0,15.124,13651.0,13.167,11.046,4.017,16.434,1.65
5.7,7.274,0.595,3.74,1.823,1.823,1.969,11.656,2.769,136.0,1.522,3.521,5.319,5.319,0.216,24.987,1.722,3.82,3.782,3.782,4.117,2.533,8.42,1.977,1.977,2.979,4.244,768.0,0.338,2.977,1.394,17.993,373.0,27365.6,2.05,4.866,12885.0,2.918,3.46,0,12946.0,115.911,36.977,3.638,1854.85,2.798,1.933,14.6,29.842,5.234,2.878,14.551,53.484,3.637,2.795,2.919,1.043,1.327,440.5,2.556,2.556,1.922,4,17.382,23852.0,15.096,11.144,4.212,23.973,2.321
5.0,6.401,0.473,3.497,2.404,2.404,1.508,10.955,3.376,177.0,2.182,3.332,8.417,8.417,0.153,30.107,2.342,3.972,7.954,7.954,4.64,3.265,18.819,2.514,2.514,3.321,5.919,1118.0,0.227,2.771,2.106,24.444,482.0,52353.2,2.697,6.05,27782.0,8.371,3.666,0,24898.0,162.643,42.955,3.858,3308.49,3.151,2.005,20.767,36.54,6.172,3.228,20.482,87.152,3.858,3.132,3.234,1.668,1.842,586.69,5.186,5.186,2.019,4,28.583,39485.0,21.346,19.562,5.707,60.228,4.93
7.4,6.994,0.611,3.651,1.98,1.98,1.672,11.25,2.945,136.0,1.637,3.455,5.595,5.595,0.22,34.859,1.867,3.884,4.478,4.478,4.082,2.67,9.499,2.061,2.061,3.191,4.617,744.0,0.344,2.854,1.355,17.41,360.0,26520.7,2.016,4.963,12596.0,2.878,3.259,1,12588.0,115.249,31.25,3.7,1810.85,2.889,1.919,14.4,29.626,5.118,2.976,13.517,53.456,3.66,2.868,2.906,1.01,1.089,440.46,2.373,2.373,1.962,3,16.182,24162.0,15.371,11.106,3.787,29.422,2.304
5.921,4.958,0.703,3.132,1.535,1.535,1.18,8.043,2.519,67.0,1.315,3.012,4.303,4.303,0.236,11.643,1.51,3.655,3.836,3.836,3.409,2.346,8.025,1.741,1.741,2.874,4.369,405.0,0.354,2.442,0.964,12.778,185.0,8611.62,1.432,4.427,5166.0,2.792,3.032,0,4956.0,89.221,16.246,3.404,792.445,2.57,1.876,10.733,21.866,4.818,2.499,10.627,42.338,3.413,2.618,2.676,0.449,0.737,308.38,1.177,1.177,1.885,1,13.421,8299.0,11.042,9.012,3.854,18.105,-0.674
7.8,6.975,0.432,3.693,1.865,1.865,1.922,11.759,2.808,124.0,1.692,3.502,5.552,5.552,0.16,23.019,1.749,3.871,4.854,4.854,4.104,2.707,11.161,2.047,2.047,2.999,4.716,766.0,0.254,2.962,1.611,16.638,341.0,20251.6,2.179,4.88,11869.0,5.009,3.39,1,10917.0,117.722,28.775,3.757,1499.32,2.792,1.896,14.167,27.622,5.104,2.921,13.856,51.727,3.769,2.811,2.983,1.178,1.261,401.53,2.588,2.588,1.914,10,17.456,17910.0,14.489,11.878,4.483,27.29,2.221
5.101,10.427,0.32,4.34,2.227,2.227,3.243,18.659,3.164,251.0,1.765,4.128,6.538,6.538,0.125,40.814,2.072,3.928,5.225,5.225,5.231,2.813,12.161,2.342,2.342,3.299,4.801,1652.0,0.205,3.647,1.695,24.473,765.0,67410.3,2.446,5.196,33017.0,5.441,3.478,0,31085.0,160.828,71.748,3.696,3558.6,3.065,2.011,19.233,37.724,5.34,3.216,17.611,67.682,3.701,3.02,3.221,1.41,1.585,562.79,3.39,3.39,2.017,0,24.38,46350.0,19.996,14.504,4.415,52.247,3.134
6.796,9.572,0.374,4.193,2.282,2.282,2.793,16.351,3.225,211.0,1.799,3.948,6.721,6.721,0.146,38.907,2.133,3.921,5.645,5.645,4.817,2.867,11.676,2.427,2.427,3.19,4.901,1286.0,0.239,3.422,1.581,22.73,605.0,48931.0,2.301,5.274,24047.0,5.495,3.664,0,23005.0,147.876,54.171,3.71,2792.67,2.989,1.942,17.733,34.67,5.354,3.055,18.598,59.67,3.706,2.976,3.207,1.278,1.361,524.76,3.011,3.011,1.937,3,21.758,35731.0,18.393,13.49,4.679,44.316,2.545
6.377,7.218,0.457,3.752,1.508,1.508,2.265,12.286,2.495,124.0,1.397,3.561,3.78,3.78,0.172,7.851,1.488,3.903,3.193,3.193,4.104,2.422,9.367,1.796,1.796,2.919,3.877,746.0,0.274,3.067,1.309,16.033,344.0,19263.3,1.959,4.209,10784.0,3.829,3.342,0,10198.0,114.788,31.077,3.77,1418.13,2.775,1.933,13.767,27.141,4.823,2.789,12.52,47.116,3.767,2.789,2.85,0.956,1.109,386.51,2.136,2.136,1.928,4,15.861,17078.0,14.15,11.07,3.634,21.084,1.809
5.347,8.626,0.452,4.01,2.011,2.011,2.451,14.281,2.936,169.0,1.597,3.763,5.825,5.825,0.177,27.261,1.806,3.871,4.786,4.786,4.301,2.71,7.83,2.195,2.195,2.947,4.578,952.0,0.289,3.254,1.315,17.213,457.0,31334.0,2.075,4.965,15376.0,2.808,3.387,0,15123.0,110.459,37.637,3.741,1989.05,2.774,1.924,14.671,30.681,5.211,2.861,12.882,52.202,3.731,2.786,2.805,1.069,1.089,464.86,2.48,2.48,1.931,4,16.414,31467.0,14.229,10.512,4.063,18.246,2.275
5.7,6.204,0.504,3.529,1.34,1.34,1.625,10.75,2.322,90.0,1.061,3.403,3.367,3.367,0.186,12.138,1.314,3.859,2.619,2.619,3.78,2.067,7.361,1.741,1.741,2.854,3.504,572.0,0.294,2.892,1.0,13.347,258.0,11541.2,1.733,4.042,7092.0,2.549,3.091,0,6617.0,98.445,21.382,3.731,973.943,2.715,1.931,11.5,23.639,4.635,2.687,10.446,40.832,3.723,2.735,2.735,0.742,1.0,315.41,1.854,1.854,1.93,2,13.847,10312.0,11.793,8.951,3.414,18.259,1.242
5.7,5.802,0.606,3.403,1.414,1.414,1.545,9.5,2.338,77.0,1.14,3.243,2.983,2.983,0.222,13.497,1.228,3.735,2.848,2.848,3.493,2.16,7.574,1.499,1.499,2.735,3.604,447.0,0.35,2.704,0.719,13.357,209.0,8790.84,0.66,3.868,5193.0,3.091,3.094,0,5040.0,89.112,17.545,3.54,785.996,2.575,1.692,10.981,21.872,4.197,2.637,10.623,37.014,3.537,2.596,2.738,-0.114,0.525,332.84,-0.366,-0.366,1.687,1,12.032,9323.0,11.328,9.095,3.467,17.508,-0.876
5.35,8.272,0.419,3.973,1.879,1.879,2.349,14.515,2.799,165.0,1.638,3.77,5.178,5.178,0.16,32.957,1.722,3.859,5.104,5.104,4.446,2.782,11.004,2.175,2.175,3.148,4.717,1026.0,0.258,3.242,1.433,20.08,479.0,32631.5,2.079,4.841,16711.0,4.619,3.369,0,15991.0,130.334,39.278,3.706,2097.49,2.958,1.898,16.014,31.192,5.139,2.993,15.485,55.262,3.722,2.957,3.035,1.051,1.3,488.07,2.808,2.808,1.911,2,18.825,27529.0,16.62,12.975,4.254,45.193,2.275
5.0,5.937,0.678,3.393,1.49,1.49,1.462,9.462,2.48,90.0,1.027,3.228,3.199,3.199,0.238,24.833,1.474,3.791,2.828,2.828,3.729,2.039,7.521,1.826,1.826,2.874,3.675,513.0,0.365,2.676,1.0,15.476,246.0,13859.0,1.556,3.925,7233.0,2.723,3.143,0,7195.0,106.143,24.935,3.548,1102.79,2.715,1.913,12.233,24.877,4.958,2.717,10.91,42.947,3.55,2.735,2.871,0.572,0.867,354.51,1.222,1.222,1.9,3,14.826,11124.0,12.618,9.128,3.61,30.377,0.791
5.0,5.818,0.728,3.374,1.573,1.573,1.317,9.815,2.483,89.0,1.305,3.224,3.971,3.971,0.25,18.997,1.404,3.663,3.664,3.664,3.693,2.342,8.532,1.796,1.796,2.877,4.163,553.0,0.38,2.658,1.223,16.435,265.0,14907.7,1.578,4.334,7560.0,3.189,3.38,0,7581.0,102.384,23.923,3.42,1184.36,2.65,1.766,13.433,25.445,4.883,2.813,12.426,46.09,3.385,2.615,2.789,0.587,0.858,457.71,1.493,1.493,1.788,0,14.449,15494.0,13.356,10.171,3.809,17.834,0.903
5.7,6.187,0.598,3.495,1.577,1.577,1.565,10.621,2.525,101.0,1.376,3.328,4.209,4.209,0.208,16.683,1.463,3.845,3.484,3.484,3.931,2.414,8.762,1.91,1.91,2.898,4.131,661.0,0.317,2.86,1.241,16.233,308.0,18614.6,1.949,4.508,9839.0,3.902,3.371,0,9519.0,107.681,28.145,3.65,1418.97,2.733,1.892,13.667,27.074,4.846,2.8,12.369,50.33,3.637,2.733,2.808,0.939,0.983,415.89,2.275,2.275,1.906,2,16.748,17925.0,13.958,10.842,3.923,29.916,2.136
8.167,5.059,0.616,3.062,2.236,2.236,0.986,8.057,3.181,112.0,2.039,2.956,7.654,7.654,0.19,28.268,2.107,3.888,7.069,7.069,4.034,3.06,15.835,2.389,2.389,3.221,5.654,655.0,0.273,2.248,1.703,19.884,282.0,24785.1,2.428,5.844,14300.0,7.334,3.401,0,12834.0,131.874,25.211,3.707,1821.68,2.985,2.003,16.6,29.807,6.05,3.042,16.322,71.374,3.692,2.985,3.066,1.418,1.508,466.58,4.264,4.264,2.019,3,23.506,19467.0,17.08,15.926,5.264,52.426,3.045
5.0,5.347,0.888,3.209,1.67,1.67,1.059,8.84,2.639,87.0,1.059,3.119,4.385,4.385,0.309,20.781,1.59,3.727,2.385,2.385,3.435,2.065,6.874,1.953,1.953,2.962,3.478,450.0,0.471,2.263,0.974,14.527,221.0,11543.2,1.017,4.542,5756.0,2.819,3.179,0,5898.0,93.603,13.965,3.524,962.774,2.754,1.868,11.5,23.641,4.653,2.772,10.686,39.682,3.529,2.762,2.797,0.032,0.411,348.43,0.078,0.078,1.854,4,13.872,10459.0,11.901,8.022,3.375,36.719,-0.247
5.7,4.498,0.679,3.002,1.253,1.253,1.136,7.222,2.216,49.0,0.963,2.924,2.868,2.868,0.236,0.0,1.203,3.5,2.336,2.336,3.202,1.966,6.331,1.532,1.532,2.265,3.431,299.0,0.358,2.281,0.389,9.408,130.0,4207.15,0.39,3.594,3145.0,2.071,2.804,0,2870.0,68.032,10.617,3.32,459.265,2.02,1.604,8.5,17.872,4.254,2.045,8.06,32.0,3.309,2.031,2.165,-0.574,0.322,235.27,-1.591,-1.591,1.653,1,10.547,4824.0,8.899,7.274,3.034,8.33,-2.096
5.7,5.633,0.53,3.374,1.291,1.291,1.601,9.381,2.247,71.0,1.0,3.236,2.979,2.979,0.195,9.487,1.223,3.77,2.359,2.359,3.562,2.0,7.562,1.495,1.495,2.453,3.432,446.0,0.307,2.701,0.979,11.893,197.0,7553.57,1.35,3.578,5126.0,2.951,2.888,0,4697.0,85.95,16.653,3.658,708.442,2.262,1.601,10.433,21.045,4.194,2.48,9.78,35.705,3.716,2.262,2.735,0.377,0.552,292.39,0.981,0.981,1.65,3,12.314,7767.0,10.836,8.61,3.274,17.168,-0.288
5.7,6.098,0.484,3.495,1.37,1.37,1.727,10.182,2.33,81.0,1.0,3.339,3.113,3.113,0.182,9.712,1.305,3.802,2.376,2.376,3.694,2.006,7.617,1.533,1.533,2.655,3.435,505.0,0.29,2.777,0.999,12.6,224.0,9097.63,1.426,3.629,6023.0,3.082,3.094,0,5521.0,92.27,18.942,3.681,807.332,2.461,1.618,10.933,22.127,4.213,2.521,10.122,37.213,3.742,2.458,2.735,0.468,0.582,306.42,1.24,1.24,1.654,4,12.973,8961.0,11.336,8.945,3.281,17.698,0.953
5.7,5.375,0.574,3.237,1.534,1.534,1.258,8.56,2.501,78.0,1.397,3.103,4.064,4.064,0.196,9.487,1.474,3.906,3.099,3.099,3.797,2.411,8.762,1.548,1.548,2.921,3.699,488.0,0.296,2.504,1.207,13.943,214.0,11459.3,2.0,4.338,7343.0,3.757,3.131,0,6653.0,98.492,19.373,3.71,971.075,2.775,1.987,11.9,23.787,4.513,2.801,11.036,44.065,3.721,2.773,2.933,0.998,1.0,332.45,2.136,2.136,1.99,5,15.766,9971.0,12.382,9.909,3.609,21.919,1.891
5.7,4.847,0.699,3.068,1.534,1.534,1.136,7.409,2.497,62.0,1.208,2.925,4.047,4.047,0.235,9.487,1.464,3.706,2.89,2.89,3.423,2.222,7.498,1.547,1.547,2.824,3.616,361.0,0.351,2.244,0.998,12.408,163.0,7601.44,1.364,4.333,4785.0,2.59,3.071,0,4518.0,86.645,15.215,3.451,708.695,2.57,1.862,10.4,21.144,4.509,2.499,9.926,38.95,3.459,2.57,2.618,0.384,0.672,292.38,0.989,0.989,1.843,4,12.91,7223.0,10.72,8.322,3.492,15.872,-0.513
5.7,6.25,0.508,3.469,1.534,1.534,1.486,10.034,2.517,100.0,1.361,3.299,4.232,4.232,0.178,13.2,1.507,3.875,3.88,3.88,4.139,2.417,9.339,2.051,2.051,2.933,4.343,651.0,0.272,2.738,1.19,16.014,291.0,18930.3,2.0,4.423,11033.0,3.837,3.223,0,10142.0,111.013,28.54,3.662,1408.59,2.797,1.963,13.619,27.26,5.032,2.824,12.082,50.284,3.644,2.799,2.941,1.0,1.084,391.49,2.275,2.275,1.96,1,17.452,16678.0,13.882,10.71,3.792,29.558,2.159
7.076,7.755,0.45,3.863,1.917,1.917,2.219,13.219,2.883,148.0,1.753,3.644,5.55,5.55,0.169,27.43,1.826,3.888,5.012,5.012,4.303,2.782,9.845,2.109,2.109,3.111,4.775,916.0,0.27,3.082,1.619,18.127,423.0,28585.6,2.242,4.912,15023.0,4.152,3.409,0,14279.0,119.219,36.0,3.629,1916.02,2.91,1.861,14.719,30.254,4.967,2.879,13.63,55.242,3.614,2.941,2.947,1.188,1.306,442.54,3.007,3.007,1.871,3,18.613,24393.0,14.936,11.413,4.706,38.43,2.188
5.7,5.851,0.597,3.403,1.435,1.435,1.402,9.923,2.366,89.0,1.0,3.259,3.569,3.569,0.208,3.956,1.329,3.865,2.918,2.918,3.812,2.009,8.128,1.774,1.774,2.854,3.91,562.0,0.318,2.724,1.0,14.925,258.0,13579.8,1.984,4.205,7722.0,3.211,3.37,0,7361.0,104.37,23.663,3.745,1105.88,2.715,1.924,12.819,24.817,4.673,2.687,11.037,44.422,3.744,2.735,2.735,0.983,0.998,361.47,2.204,2.204,1.918,4,14.936,12768.0,12.905,9.839,3.457,19.303,2.136
5.0,5.368,0.606,3.233,1.255,1.255,1.338,8.217,2.216,76.0,1.073,3.049,3.132,3.132,0.213,6.822,1.202,3.828,2.231,2.231,3.584,2.076,7.808,1.548,1.548,2.775,3.404,419.0,0.326,2.392,0.945,12.813,189.0,9238.71,1.618,3.907,5727.0,3.656,3.202,0,5381.0,87.719,17.149,3.616,817.862,2.571,1.793,10.9,22.279,4.13,2.583,9.78,39.513,3.603,2.544,2.671,0.618,0.681,306.41,1.372,1.372,1.751,1,14.166,8528.0,11.365,8.732,3.312,22.816,1.129
6.721,8.962,0.444,4.088,2.168,2.168,2.538,15.75,3.114,206.0,1.986,3.876,6.092,6.092,0.166,36.005,2.037,3.874,5.27,5.27,4.906,3.064,11.592,2.239,2.239,3.247,4.806,1326.0,0.264,3.383,1.744,23.197,630.0,56274.5,2.36,5.063,26029.0,4.067,3.546,0,25305.0,155.746,59.85,3.749,3188.76,3.062,1.93,19.114,36.24,5.227,3.244,17.384,65.003,3.747,3.05,3.205,1.314,1.473,557.1,3.72,3.72,1.928,2,21.684,43287.0,19.66,13.969,4.641,38.318,3.122
8.15,7.009,0.491,3.698,1.869,1.869,1.916,11.767,2.796,126.0,1.354,3.52,4.921,4.921,0.181,23.489,1.589,3.875,4.026,4.026,4.095,2.425,10.096,1.948,1.948,2.939,4.349,762.0,0.285,2.94,1.34,17.92,353.0,22407.8,1.984,4.634,12062.0,4.308,3.538,0,11474.0,118.112,28.804,3.689,1608.53,2.829,1.932,14.548,28.367,4.891,2.927,13.459,51.655,3.681,2.811,2.847,0.983,1.09,450.38,2.429,2.429,1.934,1,17.484,20405.0,14.602,11.538,4.116,39.648,2.136
5.0,9.307,0.395,4.149,2.236,2.236,2.684,16.316,3.181,213.0,1.918,3.936,6.727,6.727,0.152,41.542,2.021,3.898,6.17,6.17,4.757,3.005,11.929,2.39,2.39,3.209,5.138,1314.0,0.248,3.422,1.633,23.306,620.0,50851.9,2.127,5.299,24501.0,4.71,3.603,0,23569.0,150.96,50.942,3.688,2916.68,2.957,1.946,18.229,35.081,5.394,3.193,16.691,64.294,3.66,2.952,3.03,1.106,1.381,560.54,2.699,2.699,1.957,2,21.034,40289.0,18.915,15.194,4.799,58.945,2.275
