pXC50,ATSC1i,Eig12_EA.bo.,Eig12_EA.ri.,ATS7e,ATSC6i,ATSC2i,ATSC7i,Eig06_AEA.dm.,Eig15_AEA.bo.,ATS8i,Eta_betaS,Chi1_EA.ed.,ATSC8i,Eig06_EA,SM14_AEA.bo.,SpMaxA_AEA.bo.,Chi0_EA.bo.,S1K,Chi0_EA.ed.,Uindex,ATS7i,GMTI,RDCHI,Eig15_EA.ri.,ATS6v,CENT,S2K,Eig12_EA,Eig12_EA.ed.,SM06_AEA.dm.,SM07_AEA.ri.,SpMaxA_EA.bo.,Eig14_EA.ri.,ATS6e,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.ri.,ATS5m,ATS8v,LPRS,ATS1s,IDMT,SMTI,ATS7v,ATSC8m,Xu,X1,ATS6i,SpMaxA_EA.ri.,Eta_epsi,ATS4m,ATS8p,SpMax8_Bh.s.,X0,Dz,IDDM,XMOD,TIC1,SpMin3_Bh.v.,Se,ATS1i,CID,GMTIV,SMTIV,ATS3s
6.155,0.758,0.405,0.304,4.464,1.433,1.185,1.35,2.628,0.999,4.54,17.25,4.577,1.03,2.002,2.002,0.163,15.102,19.589,9.968,46.765,4.621,7608.0,3.627,-0.439,3.736,1117.0,7.451,0.338,0.807,0.338,0.807,0.157,-0.283,4.493,17.508,17.508,17.508,17.508,17.508,17.991,4.176,3.479,131.774,5.092,14929.7,7624.0,3.635,20.115,25.434,12.731,4.637,0.112,29.781,4.268,3.524,4.502,19.767,61.833,4.726,92.697,173.644,1.906,42.898,3.929,4.011,31568.0,15673.0,6.08
5.0,0.691,1.029,0.659,4.165,0.988,1.1,0.968,2.209,0.929,4.213,17.5,5.066,0.762,1.824,1.824,0.153,15.07,15.354,10.553,33.97,4.358,8952.0,3.943,-0.456,3.567,988.0,6.114,0.694,1.65,0.694,1.65,0.151,-0.025,4.228,18.049,18.049,18.049,18.049,18.049,18.546,3.827,3.387,127.048,5.026,14195.1,8108.0,3.485,8.904,25.09,12.759,4.422,0.098,25.167,3.875,3.445,3.743,17.51,55.5,4.673,84.097,142.505,1.778,39.44,3.94,4.022,24672.0,13651.0,5.552
5.0,1.064,2.113,1.604,5.835,3.852,1.884,3.83,2.917,2.712,5.922,30.5,7.961,3.326,2.514,2.514,0.099,26.829,26.371,17.014,51.439,6.046,27782.0,4.64,1.287,5.016,3014.0,9.005,1.648,4.93,1.648,4.93,0.102,1.383,5.807,30.299,30.299,30.299,30.299,30.299,30.897,5.019,4.751,241.215,5.543,52353.2,24898.0,4.938,67.314,36.54,21.346,5.998,0.069,45.233,4.955,4.855,4.462,30.068,95.0,5.428,133.695,278.685,2.005,74.531,4.549,4.548,69378.0,39485.0,6.415
5.602,0.657,-0.366,-0.263,4.498,1.06,1.031,1.019,1.815,0.591,4.618,15.75,4.155,0.775,1.741,1.741,0.183,13.109,14.182,8.753,31.647,4.765,5166.0,3.409,-0.837,3.617,675.0,5.047,-0.288,-0.674,-0.288,-0.674,0.183,-0.685,4.411,15.378,15.378,15.378,15.378,15.378,15.732,3.686,3.239,104.624,4.998,8611.62,4956.0,3.508,18.592,21.866,11.042,4.62,0.124,24.067,3.845,3.372,3.737,16.137,50.0,4.496,69.379,156.115,1.876,39.356,3.94,3.883,14062.0,8299.0,5.636
4.0,0.741,1.225,0.852,4.55,1.33,1.207,1.161,2.252,1.182,4.61,19.0,5.51,0.948,2.047,2.047,0.145,16.962,18.226,11.495,39.843,4.787,11869.0,4.104,-0.207,3.799,1232.0,7.213,0.893,2.221,0.893,2.221,0.143,0.066,4.658,19.756,19.756,19.756,19.756,19.756,20.177,3.973,3.52,147.745,5.142,20251.6,10917.0,3.633,19.142,27.622,14.081,4.885,0.099,29.033,4.158,3.641,3.857,19.957,61.5,4.829,91.156,184.775,1.896,48.098,4.111,4.121,31373.0,17910.0,5.778
5.0,1.222,1.584,1.271,5.334,2.283,1.928,2.115,2.595,2.252,5.433,28.0,7.968,1.914,2.342,2.342,0.102,26.004,29.679,16.851,66.785,5.596,33017.0,5.231,0.988,4.371,4089.0,14.388,1.387,3.134,1.387,3.134,0.101,1.0,5.395,28.093,28.093,28.093,28.093,28.093,29.056,4.34,4.223,239.147,5.494,67410.3,31085.0,4.276,42.617,37.724,19.996,5.648,0.068,46.767,4.362,4.308,4.286,28.606,89.0,5.318,126.469,277.832,2.011,82.825,4.634,4.448,72394.0,46350.0,6.247
5.0,1.121,1.5,1.105,5.106,1.832,1.759,1.916,2.666,1.628,5.315,24.0,6.843,1.843,2.427,2.427,0.122,21.673,27.337,14.205,65.257,5.353,24047.0,4.817,0.6,4.205,2967.0,11.782,1.114,2.545,1.114,2.545,0.118,0.861,5.038,24.159,24.159,24.159,24.159,24.159,24.832,4.201,4.136,209.085,5.369,48931.0,23005.0,4.205,41.493,34.67,17.571,5.252,0.08,41.667,4.288,4.27,4.255,26.468,80.0,5.176,118.193,265.024,1.942,72.923,4.497,4.33,57016.0,35731.0,6.197
5.0,0.663,1.189,0.763,4.533,1.195,1.04,1.168,1.95,1.36,4.634,17.25,5.468,1.051,1.796,1.796,0.147,16.609,18.33,11.647,42.629,4.753,10784.0,4.104,0.0,3.818,1178.0,8.322,0.775,1.809,0.775,1.809,0.146,0.248,4.549,19.438,19.438,19.438,19.438,19.438,19.808,3.866,3.601,142.529,5.11,19263.3,10198.0,3.752,18.187,27.141,13.742,4.75,0.097,27.633,4.008,3.705,3.826,19.347,59.0,4.775,89.029,162.004,1.933,45.996,4.041,4.076,29751.0,17078.0,5.68
6.602,0.902,1.5,1.0,4.507,1.273,1.686,1.129,2.575,1.444,4.577,21.0,5.698,1.053,2.195,2.195,0.134,18.374,23.544,12.092,61.745,4.685,15376.0,4.301,0.108,3.752,1830.0,10.003,1.0,2.275,1.0,2.275,0.119,0.183,4.604,20.806,20.806,20.806,20.806,20.806,21.506,4.034,3.582,172.898,5.316,31334.0,15123.0,3.67,16.236,30.681,15.151,4.799,0.087,35.129,4.278,3.61,4.739,23.303,73.833,4.974,100.132,184.065,1.924,50.32,4.1,4.178,65351.0,31467.0,6.089
4.0,0.391,-1.393,-0.91,3.319,0.518,0.607,0.341,1.494,-0.312,2.979,11.0,3.285,0.184,1.135,1.135,0.245,10.062,9.713,7.166,23.587,3.575,2258.0,2.965,-1.695,2.91,285.0,3.823,-0.93,-2.166,-0.93,-2.166,0.243,-1.339,3.709,11.991,11.991,11.991,11.991,11.991,12.148,3.1,1.73,68.635,4.651,3381.02,2219.0,2.426,3.276,16.719,8.398,3.945,0.161,15.9,3.331,1.841,3.151,11.665,36.0,4.06,52.188,74.587,1.611,25.174,3.468,3.591,6779.0,3942.0,5.163
5.0,0.941,1.055,0.965,4.818,1.578,1.487,1.499,2.486,1.58,4.975,22.75,6.184,1.324,2.175,2.175,0.121,19.929,23.984,13.115,54.607,5.046,16711.0,4.446,0.248,4.032,2001.0,10.847,1.025,2.275,1.025,2.275,0.111,0.566,4.913,22.195,22.195,22.195,22.195,22.195,23.048,4.247,3.791,178.143,5.289,32631.5,15991.0,3.938,32.202,31.192,15.923,5.139,0.079,36.186,4.28,3.905,4.037,23.372,71.833,5.014,107.355,228.043,1.898,59.603,4.31,4.224,48685.0,27529.0,5.982
4.0,0.411,-1.5,-1.0,3.439,0.408,0.604,0.366,1.0,-0.5,3.56,10.25,3.398,0.329,1.0,1.0,0.236,9.326,10.49,6.985,26.108,3.654,2157.0,2.997,-1.771,2.756,270.0,5.167,-1.0,-2.347,-1.0,-2.347,0.207,-1.624,3.599,10.983,10.983,10.983,10.983,10.983,11.148,2.939,2.574,65.731,4.618,3298.79,2151.0,2.681,5.643,16.574,7.843,3.803,0.151,16.467,3.032,2.709,3.237,11.217,34.5,3.976,48.908,71.853,1.535,27.167,3.525,3.509,6182.0,3732.0,5.145
5.0,0.803,0.612,0.467,4.764,1.314,1.233,1.397,1.937,0.735,5.132,17.5,4.846,1.421,1.826,1.826,0.166,15.891,18.617,10.529,43.987,4.999,7233.0,3.729,-0.481,3.838,1070.0,8.475,0.505,0.791,0.505,0.791,0.165,-0.302,4.671,17.74,17.74,17.74,17.74,17.74,18.162,3.806,3.9,126.185,5.088,13859.0,7195.0,3.896,30.375,24.877,12.618,4.9,0.108,29.167,3.89,4.031,3.748,18.518,56.0,4.667,79.084,184.307,1.913,51.774,4.18,3.986,16884.0,11124.0,5.757
5.0,0.679,0.561,0.405,4.586,1.235,1.037,1.128,2.668,0.797,4.749,18.0,4.957,1.017,1.796,1.796,0.163,15.746,20.044,10.554,46.543,4.746,7560.0,3.693,-0.264,3.842,1213.0,8.541,0.471,0.903,0.471,0.903,0.161,-0.236,4.562,17.922,17.922,17.922,17.922,17.922,18.585,4.164,3.674,131.576,5.143,14907.7,7581.0,3.784,26.345,25.445,12.918,4.689,0.109,29.167,4.414,3.728,4.248,19.552,60.583,4.72,94.181,181.216,1.766,43.64,3.977,4.016,31134.0,15494.0,5.974
6.721,0.917,1.957,1.378,5.533,3.117,1.627,2.864,2.678,2.126,5.575,24.75,6.255,2.232,2.389,2.389,0.122,21.802,20.312,13.618,39.627,5.767,14300.0,4.034,0.876,4.761,1554.0,6.65,1.381,3.045,1.381,3.045,0.126,1.044,5.585,24.479,24.479,24.479,24.479,24.479,25.037,4.778,4.21,176.229,5.286,24785.1,12834.0,4.58,47.876,29.807,17.08,5.797,0.086,36.2,4.757,4.389,4.076,23.637,75.0,5.104,106.923,227.775,2.003,61.109,4.37,4.332,32464.0,19467.0,6.149
4.0,0.566,-0.136,-0.108,3.842,0.706,0.87,0.605,1.534,0.5,3.82,13.25,4.271,0.455,1.495,1.495,0.186,12.321,12.155,8.859,28.192,4.085,5126.0,3.562,-0.935,3.184,537.0,5.058,-0.109,-0.288,-0.109,-0.288,0.183,-0.883,3.959,14.74,14.74,14.74,14.74,14.74,14.909,3.323,2.938,95.579,4.836,7553.57,4697.0,3.039,7.02,21.045,10.382,4.187,0.123,20.6,3.419,3.045,3.449,14.071,44.5,4.365,64.73,113.754,1.646,34.043,3.796,3.808,12956.0,7597.0,5.303
4.0,0.489,-0.136,-0.108,3.846,0.622,0.766,0.575,1.534,0.5,3.81,13.25,4.271,0.433,1.495,1.495,0.186,12.321,12.215,8.859,28.192,4.061,5126.0,3.562,-0.936,3.204,537.0,5.095,-0.109,-0.288,-0.109,-0.288,0.183,-0.885,3.967,14.74,14.74,14.74,14.74,14.74,14.842,3.321,2.94,95.579,4.837,7553.57,4697.0,3.053,7.02,21.045,10.382,4.152,0.125,20.567,3.419,3.049,3.466,14.071,44.5,4.365,64.609,109.225,1.631,34.051,3.769,3.808,12986.0,7603.0,5.307
4.0,0.478,-1.25,-0.799,3.547,0.494,0.754,0.457,1.532,0.054,3.551,12.75,3.573,0.333,1.532,1.532,0.216,10.46,9.656,7.46,22.733,3.77,3145.0,3.202,-1.298,2.923,316.0,3.57,-0.833,-2.096,-0.833,-2.096,0.213,-0.934,3.585,12.671,12.671,12.671,12.671,12.671,12.957,2.998,2.408,75.274,4.673,4207.15,2870.0,2.761,5.727,17.872,8.899,3.783,0.142,17.3,3.221,2.5,3.122,11.949,38.5,4.147,55.785,90.382,1.604,27.276,3.597,3.667,8503.0,4824.0,5.149
5.0,0.935,1.179,0.946,4.95,1.624,1.484,1.529,2.546,1.511,5.134,21.25,5.9,1.494,2.109,2.109,0.132,19.391,22.679,12.368,52.053,5.189,15023.0,4.303,0.108,4.026,1848.0,9.549,1.0,2.188,1.0,2.188,0.124,0.457,5.032,21.223,21.223,21.223,21.223,21.223,21.716,4.098,3.912,169.78,5.304,28585.6,14279.0,3.982,32.436,30.254,15.329,5.27,0.092,36.281,4.121,3.971,4.083,22.828,71.5,4.969,97.458,230.856,1.861,59.832,4.306,4.192,43244.0,24393.0,6.128
7.056,0.775,1.515,1.0,4.608,1.222,1.216,1.272,2.12,1.978,4.69,21.25,5.838,1.114,2.027,2.027,0.139,17.601,19.432,12.227,43.693,4.804,13863.0,4.254,0.465,3.888,1593.0,7.619,1.021,2.51,1.021,2.51,0.134,0.693,4.551,20.988,20.988,20.988,20.988,20.988,21.465,4.09,3.71,161.151,5.201,24587.4,12807.0,3.836,18.447,29.119,14.993,4.717,0.088,31.467,4.177,3.767,3.945,21.424,68.0,4.927,102.813,175.781,1.87,48.087,4.094,4.179,43466.0,22886.0,5.904
5.0,0.682,0.618,0.42,4.166,1.111,1.111,0.763,1.721,0.693,4.274,15.5,4.518,0.743,1.548,1.548,0.176,14.344,14.267,9.756,31.766,4.425,5727.0,3.584,-0.705,3.543,634.0,6.043,0.447,1.129,0.447,1.129,0.174,-0.505,4.555,16.215,16.215,16.215,16.215,16.215,16.506,3.712,3.326,106.314,4.917,9238.71,5381.0,3.28,11.964,22.279,11.365,4.837,0.118,23.9,3.794,3.408,3.345,15.648,49.0,4.498,70.932,153.03,1.793,40.912,3.964,3.888,13930.0,8528.0,5.519
5.0,0.996,1.766,1.232,5.143,1.956,1.527,1.965,2.787,2.5,5.3,26.0,7.659,1.79,2.239,2.239,0.108,23.885,29.007,16.333,73.126,5.327,26029.0,4.906,0.909,4.382,3800.0,13.884,1.414,3.122,1.414,3.122,0.106,0.956,5.11,27.101,27.101,27.101,27.101,27.101,27.862,4.401,4.271,227.222,5.504,56274.5,25305.0,4.376,42.208,36.24,19.372,5.304,0.073,42.086,4.384,4.344,4.416,28.485,86.333,5.283,124.66,277.11,1.93,69.52,4.436,4.412,75280.0,43287.0,6.189
4.0,0.689,0.877,0.729,4.554,1.261,1.105,1.096,2.224,0.988,4.726,17.5,5.213,1.042,1.824,1.824,0.147,16.321,18.268,10.973,42.677,4.777,10620.0,4.008,-0.42,3.795,1156.0,7.49,0.749,1.781,0.749,1.781,0.137,-0.177,4.703,18.809,18.809,18.809,18.809,18.809,18.934,3.832,3.594,141.958,5.123,18829.6,10012.0,3.692,19.684,27.006,13.508,4.939,0.103,28.633,3.917,3.708,3.897,19.673,59.5,4.779,83.474,162.418,1.889,48.912,4.104,4.07,27319.0,16183.0,5.816
4.7,0.689,0.874,0.726,4.425,1.135,1.105,0.96,2.311,0.972,4.509,17.5,5.17,0.852,1.873,1.873,0.147,16.321,18.268,10.91,42.813,4.652,11068.0,4.048,-0.332,3.682,1176.0,7.49,0.747,1.771,0.747,1.771,0.136,0.009,4.585,18.809,18.809,18.809,18.809,18.809,18.937,3.752,3.444,143.126,5.123,19576.9,10424.0,3.543,16.203,27.2,13.508,4.825,0.103,28.633,3.884,3.521,3.876,19.673,59.5,4.781,83.474,162.418,1.872,48.912,4.104,4.07,28055.0,16739.0,5.816
5.0,1.016,1.54,1.0,4.947,1.685,1.668,1.669,2.445,2.169,5.025,23.75,7.021,1.47,2.311,2.311,0.108,21.675,24.572,14.579,54.839,5.191,23949.0,4.888,0.951,4.129,2730.0,11.297,1.058,2.587,1.058,2.587,0.1,0.965,4.875,24.549,24.549,24.549,24.549,24.549,25.183,4.21,4.011,201.777,5.339,45020.9,22116.0,4.063,28.205,33.937,17.53,5.072,0.072,37.633,4.202,4.113,3.913,24.907,76.0,5.137,113.333,239.381,1.962,65.618,4.407,4.323,56104.0,34149.0,6.005
5.0,0.996,1.524,1.015,5.207,1.978,1.633,2.119,2.444,2.064,5.421,23.75,6.91,1.941,2.14,2.14,0.118,21.627,24.262,14.482,54.555,5.442,20863.0,4.645,0.965,4.362,2470.0,10.668,1.04,2.583,1.04,2.583,0.116,1.0,5.107,24.499,24.499,24.499,24.499,24.499,24.952,4.277,4.158,197.391,5.374,39940.0,19451.0,4.337,40.207,33.139,17.491,5.294,0.08,38.033,4.24,4.318,4.131,25.07,76.5,5.14,108.85,232.217,1.995,66.65,4.422,4.321,47913.0,29678.0,6.091
7.06,1.298,1.966,1.453,5.379,2.488,2.065,2.589,2.927,2.581,5.485,30.75,8.624,2.366,2.519,2.519,0.093,28.666,32.235,18.361,71.162,5.593,46200.0,5.607,1.232,4.482,5294.0,14.37,1.553,3.9,1.553,3.9,0.088,1.33,5.335,31.349,31.349,31.349,31.349,31.349,32.28,4.478,4.315,277.171,5.635,94747.1,42766.0,4.422,45.289,41.253,22.341,5.522,0.072,51.429,4.48,4.361,4.624,32.097,103.0,5.488,142.653,328.286,1.991,83.418,4.625,4.557,129162.0,71800.0,6.516
5.0,1.213,1.65,1.106,5.089,2.313,2.299,2.187,2.775,2.256,5.291,25.5,6.836,2.434,2.388,2.388,0.111,22.511,26.826,14.351,59.042,5.295,22818.0,4.667,0.933,4.284,2898.0,10.776,1.18,3.021,1.18,3.021,0.109,0.965,5.122,25.004,25.004,25.004,25.004,25.004,25.903,4.449,4.253,210.842,5.432,45852.4,21602.0,4.281,41.697,34.394,18.096,5.328,0.073,42.143,4.486,4.302,4.62,27.026,85.0,5.218,118.894,255.404,1.963,67.265,4.42,4.366,68915.0,37959.0,6.175
5.0,1.005,1.264,1.0,5.238,2.01,1.619,2.071,2.54,2.052,5.509,22.25,6.375,1.991,2.146,2.146,0.12,21.126,24.198,13.561,56.78,5.501,16678.0,4.449,0.629,4.276,2378.0,10.994,1.0,2.474,1.0,2.474,0.11,0.983,5.159,22.955,22.955,22.955,22.955,22.955,23.298,4.146,4.207,182.986,5.32,33647.9,16131.0,4.27,44.144,31.59,16.44,5.396,0.083,37.333,4.177,4.347,4.207,24.079,73.0,5.051,102.775,248.469,1.895,65.752,4.401,4.253,41855.0,25792.0,6.129
5.0,0.839,1.005,0.692,4.901,1.573,1.287,1.482,2.549,1.771,5.018,22.75,6.209,1.381,2.15,2.15,0.124,20.546,24.198,13.636,57.09,5.101,17564.0,4.459,0.481,4.08,2118.0,10.994,0.772,1.833,0.772,1.833,0.122,0.486,4.963,23.281,23.281,23.281,23.281,23.281,24.349,4.236,3.962,184.239,5.365,34684.5,16807.0,4.024,29.803,31.799,16.516,5.171,0.082,36.7,4.256,4.041,4.234,24.079,75.0,5.058,110.101,220.499,1.836,58.956,4.273,4.254,54100.0,29673.0,5.969
5.0,0.685,0.944,0.709,4.418,0.972,1.109,0.962,1.838,0.7,4.446,16.0,4.96,0.767,1.546,1.546,0.162,15.36,15.915,10.451,36.262,4.68,8527.0,3.92,-0.734,3.589,873.0,7.116,0.709,1.681,0.709,1.681,0.16,-0.378,4.405,17.413,17.413,17.413,17.413,17.413,17.65,3.498,3.309,123.075,4.988,13891.0,7883.0,3.496,14.848,24.812,12.31,4.635,0.107,25.867,3.663,3.439,3.674,17.062,53.0,4.618,76.418,151.914,1.942,44.803,4.039,3.97,20263.0,12265.0,5.672
5.0,0.806,0.035,0.027,4.198,1.1,1.202,0.9,2.528,1.0,4.363,17.75,4.596,0.783,1.879,1.879,0.166,14.707,18.92,9.764,47.186,4.384,8604.0,3.742,-0.569,3.466,1064.0,7.042,0.029,0.078,0.029,0.078,0.161,-0.303,4.269,17.264,17.264,17.264,17.264,17.264,17.762,3.837,3.266,134.659,5.175,16517.3,8515.0,3.355,13.325,26.005,12.664,4.458,0.107,29.695,4.082,3.28,4.741,19.767,63.0,4.727,90.536,149.218,1.716,41.229,3.929,4.01,38044.0,18059.0,6.069
5.5,0.782,1.225,0.852,4.623,1.488,1.276,1.233,2.254,1.187,4.683,19.5,5.607,1.008,2.065,2.065,0.14,17.385,19.164,11.671,41.852,4.857,12924.0,4.152,-0.205,3.862,1324.0,7.458,0.893,2.222,0.893,2.222,0.139,0.066,4.801,20.204,20.204,20.204,20.204,20.204,20.624,4.011,3.59,154.735,5.176,22553.6,11942.0,3.687,20.615,28.408,14.474,5.058,0.096,30.333,4.211,3.712,3.966,20.828,63.5,4.879,93.519,196.158,1.896,50.982,4.166,4.151,33110.0,19299.0,5.824
4.0,0.464,-0.132,-0.098,4.251,0.71,0.717,0.735,2.147,0.5,4.238,14.75,4.178,0.618,1.898,1.898,0.183,13.37,17.208,8.886,39.008,4.376,5529.0,3.424,-0.93,3.628,834.0,6.707,-0.11,-0.275,-0.11,-0.275,0.181,-0.592,4.229,15.637,15.637,15.637,15.637,15.637,16.004,4.084,3.362,111.842,4.959,10210.3,5513.0,3.562,17.647,22.899,11.38,4.334,0.12,24.371,4.18,3.504,4.004,17.43,51.667,4.557,80.564,137.588,1.71,36.884,3.784,3.901,20720.0,10836.0,5.726
4.0,0.837,1.409,0.83,4.83,1.83,1.393,1.68,2.224,1.221,4.881,19.5,5.382,1.506,2.165,2.165,0.144,16.742,18.469,11.275,39.327,5.074,10126.0,3.949,-0.079,4.124,1331.0,7.047,0.953,2.253,0.953,2.253,0.143,0.273,4.887,19.602,19.602,19.602,19.602,19.602,20.211,4.189,3.823,144.105,5.145,17994.0,9509.0,3.988,25.086,26.851,14.008,5.095,0.096,29.681,4.084,3.921,4.023,20.121,62.0,4.828,91.636,190.411,1.911,49.167,4.134,4.116,27443.0,15853.0,5.811
