pXC50,ATSC6v,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m
5.0,7.339,1.606,8.043,2.744,7.527,89.221,7.907,0.769,3.809,3.94,3.427,3.316,4.998,3.326,4.295,4.466,3.836,3.718,5.44,3.717,4.504,4.699,3.871,3.811,5.636,3.793,4.592,4.824,3.845,3.812,5.701,3.771,4.484,4.702,3.686,3.731,5.562,3.674,4.411,4.62,3.621,3.669,5.521,3.617,4.498,4.765,3.399,3.616,5.519,3.508,4.324,4.618,3.148,3.372,5.26,3.239,0.1,0.657,7.475,2.975,11.951,3.847,0.171,1.031,13.36
5.0,25.38,1.513,18.659,4.674,21.849,160.828,6.781,0.378,4.504,4.634,3.996,3.959,5.494,3.939,5.097,5.3,4.334,4.349,6.041,4.305,5.358,5.586,4.406,4.521,6.247,4.445,5.406,5.651,4.362,4.536,6.305,4.436,5.403,5.647,4.34,4.538,6.32,4.425,5.395,5.648,4.265,4.494,6.233,4.371,5.334,5.596,4.214,4.386,6.216,4.276,5.196,5.433,4.174,4.308,6.094,4.223,0.024,1.222,19.498,7.398,11.437,10.634,0.525,1.928,37.858
6.456,17.495,1.604,16.351,5.318,28.281,147.876,7.188,0.45,4.371,4.497,4.019,3.889,5.369,3.842,4.938,5.128,4.328,4.271,6.08,4.207,5.195,5.411,4.346,4.419,6.197,4.302,5.303,5.572,4.288,4.382,6.295,4.254,5.17,5.392,4.201,4.294,6.317,4.214,5.038,5.252,4.156,4.306,6.029,4.205,5.106,5.353,4.197,4.337,6.073,4.205,5.076,5.315,4.098,4.27,6.039,4.136,0.096,1.121,19.611,6.83,18.6,9.228,0.49,1.759,33.291
5.0,10.807,1.585,12.286,4.493,20.186,114.788,8.402,0.71,3.933,4.041,3.653,3.596,5.11,3.55,4.385,4.525,4.009,3.968,5.533,3.895,4.58,4.752,4.064,4.071,5.68,3.961,4.574,4.747,4.008,3.986,5.713,3.882,4.522,4.712,3.866,3.941,5.584,3.83,4.549,4.75,3.804,3.926,5.609,3.818,4.533,4.753,3.746,3.841,5.597,3.752,4.411,4.634,3.583,3.705,5.489,3.601,0.044,0.663,7.861,3.899,7.206,4.667,0.109,1.04,14.352
5.796,8.546,1.965,14.281,4.176,17.437,110.459,9.685,0.529,4.003,4.1,3.755,3.517,5.316,3.555,4.496,4.622,4.2,3.853,6.254,3.888,4.687,4.837,4.212,3.955,6.089,3.972,4.729,4.888,4.278,3.87,6.302,3.909,4.633,4.809,4.034,3.794,6.141,3.811,4.604,4.799,3.841,3.776,5.894,3.752,4.507,4.685,3.977,3.684,6.22,3.67,4.383,4.577,3.681,3.61,5.663,3.582,0.311,0.902,5.104,4.001,37.643,3.787,1.055,1.686,11.815
5.0,13.89,1.781,14.515,3.439,11.829,130.334,8.272,0.472,4.186,4.31,3.868,3.71,5.289,3.681,4.723,4.911,4.273,4.092,5.802,4.04,4.941,5.151,4.314,4.218,5.982,4.141,5.006,5.228,4.28,4.257,6.04,4.143,5.048,5.295,4.247,4.219,6.107,4.099,4.913,5.139,4.3,4.148,5.979,4.032,4.818,5.046,4.105,4.07,5.861,3.938,4.729,4.975,3.899,3.905,5.736,3.791,0.095,0.941,11.465,5.069,10.998,6.429,0.43,1.487,24.882
5.0,10.697,1.5,9.462,3.181,10.12,106.143,6.817,0.571,4.034,4.18,3.519,3.496,5.088,3.472,4.572,4.785,3.856,3.869,5.559,3.815,4.81,5.061,3.912,3.985,5.757,3.906,4.882,5.147,3.89,3.981,5.84,3.892,4.843,5.117,3.806,3.913,5.833,3.834,4.671,4.9,3.827,3.894,5.652,3.838,4.764,4.999,3.846,3.969,5.745,3.896,4.877,5.132,3.736,4.031,5.779,3.9,0.052,0.803,12.071,4.161,11.302,6.38,0.304,1.233,21.878
5.0,6.621,2.039,9.815,3.234,10.461,102.384,10.898,0.552,3.88,3.977,3.747,3.406,5.143,3.419,4.367,4.502,4.17,3.789,5.626,3.787,4.575,4.72,4.313,3.908,5.974,3.885,4.605,4.779,4.414,3.873,5.96,3.844,4.549,4.713,4.164,3.765,6.036,3.785,4.562,4.689,4.272,3.821,6.169,3.842,4.586,4.746,4.239,3.795,5.983,3.784,4.555,4.749,4.302,3.728,5.806,3.674,0.255,0.679,3.015,3.461,19.199,3.449,0.538,1.037,9.729
7.018,29.664,1.512,8.057,3.82,14.59,131.874,7.649,0.571,4.263,4.37,3.882,3.832,5.286,3.826,4.873,5.021,4.374,4.318,5.859,4.309,5.178,5.337,4.61,4.573,6.149,4.556,5.369,5.531,4.757,4.756,6.333,4.727,5.532,5.717,4.778,4.847,6.495,4.794,5.585,5.797,4.686,4.848,6.518,4.761,5.533,5.767,4.425,4.709,6.463,4.58,5.314,5.575,3.935,4.389,6.201,4.21,0.027,0.917,12.149,5.573,11.265,6.965,0.37,1.627,25.463
5.0,15.668,1.672,13.219,1.477,2.182,119.219,7.501,0.314,4.185,4.306,3.74,3.66,5.304,3.661,4.749,4.924,4.121,4.065,5.87,4.049,4.994,5.19,4.166,4.207,6.128,4.159,5.082,5.314,4.121,4.214,6.167,4.135,5.078,5.306,4.098,4.128,6.304,4.069,5.032,5.27,4.038,4.095,6.228,4.026,4.95,5.189,4.002,4.053,6.049,3.982,4.921,5.134,3.934,3.971,6.219,3.912,0.129,0.935,12.267,5.279,17.348,6.821,0.457,1.484,24.332
5.0,9.929,1.454,8.217,2.741,7.514,87.719,7.473,0.577,3.83,3.964,3.419,3.379,4.917,3.361,4.393,4.579,3.766,3.812,5.342,3.761,4.662,4.912,3.726,3.893,5.519,3.793,4.671,4.931,3.794,3.896,5.617,3.814,4.649,4.893,3.712,3.876,5.675,3.777,4.555,4.837,3.475,3.656,5.585,3.543,4.166,4.425,3.14,3.392,5.114,3.28,4.06,4.274,3.265,3.408,5.073,3.326,0.041,0.682,8.241,3.401,9.986,4.712,0.131,1.111,15.972
5.0,17.037,1.64,15.75,5.095,25.957,155.746,8.074,0.535,4.323,4.436,3.953,3.866,5.504,3.856,4.823,4.99,4.287,4.211,5.95,4.188,5.034,5.207,4.416,4.356,6.189,4.313,5.116,5.33,4.384,4.375,6.215,4.307,5.087,5.277,4.401,4.408,6.257,4.343,5.11,5.304,4.487,4.433,6.295,4.382,5.143,5.327,4.498,4.435,6.404,4.376,5.1,5.3,4.403,4.344,6.311,4.271,0.063,0.996,12.243,5.847,13.293,7.294,0.342,1.527,24.666
5.0,15.636,1.54,16.667,4.475,20.029,146.666,7.556,0.575,4.28,4.407,3.903,3.864,5.339,3.817,4.812,4.999,4.255,4.246,5.814,4.182,5.037,5.241,4.236,4.383,6.005,4.278,5.175,5.434,4.202,4.381,6.092,4.232,5.086,5.353,4.21,4.309,5.994,4.17,4.875,5.072,4.12,4.257,5.876,4.129,4.947,5.191,3.976,4.197,5.882,4.063,4.807,5.025,3.998,4.113,5.832,4.011,0.043,1.016,13.973,5.934,9.96,7.836,0.303,1.668,27.936
7.032,18.251,1.468,14.139,4.725,22.326,143.007,7.189,0.55,4.296,4.422,3.839,3.839,5.374,3.814,4.829,5.017,4.193,4.236,5.841,4.191,5.082,5.287,4.266,4.404,6.091,4.326,5.194,5.429,4.24,4.417,6.189,4.315,5.191,5.436,4.277,4.386,6.24,4.315,5.107,5.294,4.281,4.439,6.214,4.362,5.207,5.442,4.18,4.463,6.186,4.337,5.154,5.421,3.926,4.318,6.018,4.158,0.05,0.996,14.24,5.91,11.343,8.044,0.309,1.633,26.445
6.77,21.413,1.667,20.217,3.792,14.379,168.034,7.741,0.333,4.52,4.625,4.112,4.011,5.635,4.019,5.08,5.239,4.456,4.378,6.203,4.372,5.337,5.525,4.583,4.5,6.516,4.488,5.359,5.562,4.48,4.493,6.572,4.447,5.34,5.554,4.478,4.514,6.429,4.459,5.335,5.522,4.52,4.524,6.537,4.482,5.379,5.593,4.468,4.472,6.584,4.422,5.262,5.485,4.382,4.361,6.46,4.315,0.166,1.298,15.93,7.845,19.124,9.393,0.692,2.065,32.94
5.0,17.04,1.781,14.0,5.126,26.275,142.371,8.237,0.5,4.305,4.42,3.979,3.839,5.432,3.824,4.882,5.053,4.445,4.25,6.339,4.225,5.081,5.26,4.476,4.406,6.175,4.345,5.233,5.449,4.486,4.459,6.363,4.371,5.253,5.486,4.449,4.41,6.462,4.328,5.122,5.328,4.368,4.368,6.288,4.284,5.089,5.295,4.428,4.346,6.281,4.281,5.093,5.291,4.487,4.302,6.332,4.253,0.146,1.213,12.176,6.276,25.48,7.263,1.048,2.299,27.961
5.0,20.777,1.503,13.5,3.328,11.073,132.718,6.979,0.297,4.265,4.401,3.774,3.783,5.32,3.752,4.844,5.048,4.12,4.201,5.813,4.138,5.129,5.356,4.19,4.389,6.129,4.279,5.226,5.479,4.177,4.391,6.2,4.275,5.188,5.43,4.146,4.364,6.187,4.261,5.159,5.396,4.153,4.392,6.14,4.276,5.238,5.501,4.101,4.409,6.093,4.27,5.236,5.509,4.051,4.347,6.12,4.207,0.035,1.005,14.504,5.794,10.727,8.282,0.316,1.619,27.893
5.0,15.044,1.725,13.882,3.467,12.019,127.926,8.286,0.595,4.179,4.273,3.865,3.695,5.365,3.691,4.676,4.82,4.21,4.029,5.836,4.019,4.81,4.952,4.267,4.128,5.969,4.117,4.908,5.054,4.256,4.189,6.087,4.155,5.014,5.2,4.236,4.199,6.198,4.144,4.963,5.171,4.112,4.147,6.037,4.08,4.901,5.101,4.059,4.096,5.988,4.024,4.825,5.018,4.052,4.041,5.849,3.962,0.12,0.839,10.643,5.373,9.758,5.983,0.542,1.287,23.313
5.721,10.165,1.472,11.68,2.724,7.42,100.285,7.388,0.571,3.911,4.039,3.483,3.483,4.988,3.457,4.433,4.608,3.812,3.874,5.459,3.825,4.685,4.91,3.823,3.981,5.672,3.893,4.685,4.917,3.663,3.874,5.729,3.773,4.528,4.765,3.498,3.747,5.542,3.635,4.405,4.635,3.443,3.711,5.33,3.589,4.418,4.68,3.334,3.628,5.309,3.496,4.195,4.446,3.138,3.439,5.085,3.309,0.056,0.685,9.145,3.907,6.95,5.242,0.163,1.109,16.808
6.538,4.437,2.109,11.074,2.35,5.521,95.039,10.113,0.586,3.831,3.929,3.765,3.35,5.175,3.377,4.294,4.403,4.067,3.692,5.973,3.726,4.516,4.664,4.096,3.74,6.069,3.787,4.554,4.712,4.082,3.625,6.416,3.691,4.417,4.611,3.837,3.475,5.937,3.54,4.269,4.458,3.821,3.419,5.905,3.466,4.198,4.384,3.609,3.348,5.662,3.355,4.157,4.363,3.564,3.28,5.69,3.266,0.28,0.806,5.893,3.296,51.983,2.568,0.606,1.202,9.485
5.0,17.129,1.681,17.459,3.771,14.22,139.919,7.577,0.55,4.307,4.435,3.872,3.771,5.458,3.774,4.827,5.009,4.192,4.127,5.96,4.108,5.066,5.289,4.202,4.231,6.134,4.185,5.098,5.335,4.193,4.241,6.171,4.167,5.13,5.377,4.134,4.209,6.206,4.136,5.077,5.331,4.092,4.138,6.191,4.06,4.929,5.166,3.994,4.054,5.984,3.995,4.815,5.039,3.982,4.027,5.903,3.96,0.144,1.088,13.616,5.607,16.068,7.417,0.443,1.651,25.778
5.0,13.766,1.567,8.696,1.372,1.883,87.831,7.266,0.4,3.858,3.998,3.408,3.334,4.964,3.324,4.432,4.643,3.762,3.746,5.408,3.709,4.697,4.92,3.855,3.924,5.691,3.859,4.853,5.103,3.837,3.998,5.874,3.897,4.905,5.183,3.72,4.009,5.772,3.869,4.827,5.104,3.663,3.916,5.78,3.789,4.681,4.945,3.517,3.743,5.755,3.62,4.465,4.769,3.189,3.443,5.493,3.305,0.02,0.693,9.09,3.332,9.916,4.976,0.278,1.085,18.121
5.0,9.409,1.634,11.429,4.169,17.383,107.914,8.162,0.71,3.95,4.077,3.584,3.517,5.182,3.516,4.409,4.555,3.957,3.901,5.658,3.881,4.647,4.824,4.0,4.007,5.876,3.969,4.721,4.936,3.93,3.963,5.904,3.912,4.667,4.882,3.863,3.86,6.017,3.812,4.591,4.828,3.641,3.733,5.779,3.668,4.397,4.639,3.447,3.569,5.514,3.493,4.231,4.463,3.433,3.458,5.408,3.397,0.108,0.782,7.914,3.697,11.726,4.413,0.223,1.204,13.556
5.0,7.587,1.675,7.885,2.637,6.954,95.202,8.659,0.793,3.843,3.954,3.515,3.384,5.164,3.411,4.25,4.376,3.905,3.754,5.605,3.767,4.496,4.657,3.98,3.858,5.801,3.863,4.507,4.696,3.942,3.821,5.799,3.817,4.496,4.674,3.931,3.849,5.791,3.846,4.514,4.684,3.954,3.893,5.791,3.878,4.559,4.734,3.901,3.861,5.867,3.837,4.566,4.771,3.675,3.667,5.923,3.619,0.151,0.65,6.242,2.923,22.572,3.025,0.206,0.992,9.428
6.143,20.833,1.547,7.727,3.097,9.588,120.91,8.139,0.6,4.166,4.257,3.825,3.754,5.256,3.76,4.761,4.88,4.355,4.261,5.837,4.266,5.105,5.244,4.581,4.502,6.247,4.5,5.272,5.421,4.66,4.645,6.369,4.624,5.354,5.532,4.675,4.696,6.412,4.657,5.343,5.511,4.583,4.661,6.447,4.604,5.32,5.527,4.257,4.47,6.426,4.363,5.075,5.343,3.604,4.018,6.113,3.844,0.099,0.784,9.631,4.91,17.601,5.507,0.341,1.418,19.436
5.0,34.924,1.495,10.884,5.28,27.873,161.613,7.818,0.588,4.432,4.533,4.067,4.023,5.496,4.016,5.025,5.167,4.544,4.493,6.056,4.483,5.333,5.485,4.773,4.738,6.359,4.721,5.534,5.691,4.914,4.904,6.564,4.88,5.692,5.865,4.973,5.013,6.721,4.969,5.784,5.982,4.947,5.063,6.789,4.989,5.803,6.024,4.802,5.003,6.787,4.902,5.655,5.887,4.571,4.828,6.63,4.71,0.025,1.045,13.58,6.639,11.439,8.089,0.432,1.864,28.35
5.0,12.223,1.715,12.633,5.087,25.882,118.666,8.804,0.515,4.096,4.21,3.809,3.624,5.183,3.608,4.654,4.831,4.207,4.022,5.692,3.985,4.896,5.087,4.303,4.185,5.942,4.112,5.0,5.239,4.249,4.119,5.993,4.028,4.9,5.149,4.082,4.02,5.885,3.947,4.725,4.904,4.108,4.046,5.806,3.985,4.877,5.093,4.17,4.064,5.938,3.991,4.807,5.035,4.136,4.001,5.805,3.888,0.058,0.853,9.037,4.983,7.077,6.16,0.356,1.361,21.772
5.0,8.387,1.437,7.316,1.761,3.1,76.664,7.093,0.714,3.69,3.839,3.224,3.19,4.767,3.172,4.205,4.411,3.589,3.567,5.202,3.531,4.386,4.615,3.648,3.681,5.395,3.624,4.446,4.695,3.586,3.681,5.378,3.609,4.341,4.568,3.465,3.618,5.314,3.534,4.36,4.611,3.224,3.548,5.303,3.415,4.271,4.552,2.73,3.342,5.081,3.119,4.082,4.442,2.203,2.933,4.749,2.65,0.039,0.587,7.979,2.761,7.893,4.178,0.141,0.905,14.364
5.0,11.17,1.716,14.769,5.084,25.849,140.252,8.681,0.674,4.236,4.35,3.921,3.781,5.478,3.8,4.739,4.893,4.349,4.15,6.333,4.161,4.908,5.077,4.326,4.265,6.178,4.25,5.037,5.246,4.309,4.247,6.287,4.228,5.006,5.216,4.393,4.231,6.329,4.226,4.99,5.176,4.366,4.232,6.37,4.24,5.048,5.25,4.376,4.214,6.634,4.208,4.881,5.068,4.22,4.165,6.205,4.141,0.17,1.169,8.678,4.973,20.21,5.501,0.955,2.17,18.501
5.0,9.633,1.805,12.382,6.167,38.036,123.999,9.732,0.632,4.038,4.122,3.816,3.667,5.347,3.681,4.508,4.617,4.228,4.057,5.92,4.061,4.792,4.932,4.383,4.222,6.131,4.224,4.87,5.039,4.381,4.18,6.355,4.184,4.817,4.98,4.353,4.193,6.118,4.187,4.846,5.019,4.384,4.181,6.209,4.165,4.792,4.977,4.335,4.091,6.219,4.054,4.613,4.797,4.07,3.902,6.046,3.858,0.191,0.819,4.764,3.856,24.096,3.682,0.415,1.332,8.932
5.0,11.286,1.588,12.778,3.127,9.779,106.122,7.479,0.621,3.994,4.11,3.552,3.474,5.177,3.477,4.473,4.635,3.859,3.811,5.61,3.797,4.61,4.764,3.924,3.939,5.724,3.903,4.754,4.963,3.786,3.943,5.791,3.858,4.764,5.007,3.693,3.901,5.695,3.8,4.633,4.857,3.695,3.83,5.638,3.746,4.618,4.854,3.676,3.765,5.626,3.681,4.53,4.751,3.531,3.647,5.563,3.56,0.069,0.705,10.086,4.218,12.468,5.389,0.345,1.035,18.562
5.0,8.047,1.58,9.16,4.187,17.527,93.158,8.497,0.821,3.793,3.892,3.47,3.418,5.047,3.416,4.233,4.354,3.825,3.783,5.498,3.769,4.469,4.641,3.834,3.853,5.686,3.817,4.469,4.667,3.758,3.797,5.606,3.755,4.441,4.651,3.757,3.818,5.496,3.768,4.394,4.568,3.776,3.841,5.609,3.782,4.432,4.607,3.713,3.845,5.621,3.768,4.486,4.72,3.503,3.718,5.586,3.604,0.063,0.605,5.82,3.203,9.196,3.519,0.097,0.963,9.518
5.0,17.233,1.692,14.556,4.883,23.847,142.137,8.162,0.436,4.273,4.384,3.916,3.784,5.376,3.77,4.831,5.013,4.276,4.168,5.83,4.139,5.047,5.227,4.462,4.366,6.1,4.306,5.171,5.39,4.438,4.411,6.182,4.3,5.173,5.417,4.323,4.353,6.121,4.252,5.067,5.27,4.381,4.327,6.127,4.251,5.082,5.292,4.382,4.291,6.218,4.216,4.969,5.165,4.319,4.22,6.095,4.143,0.069,0.928,12.114,5.76,11.444,7.328,0.459,1.455,27.478
7.886,8.452,1.706,11.8,2.284,5.216,101.699,7.767,0.37,3.979,4.1,3.665,3.55,4.99,3.47,4.551,4.736,4.127,3.973,5.51,3.851,4.782,4.99,3.999,4.025,5.719,3.878,4.895,5.161,3.92,3.959,5.827,3.792,4.614,4.87,3.825,3.766,5.612,3.614,4.288,4.455,3.875,3.739,5.319,3.56,4.388,4.617,3.622,3.732,5.218,3.493,4.129,4.299,3.55,3.559,5.096,3.378,0.023,0.759,11.51,5.054,7.549,6.286,0.278,1.247,28.591
5.0,22.641,1.463,13.769,4.534,20.558,151.757,7.583,0.578,4.333,4.449,3.937,3.93,5.403,3.909,4.891,5.057,4.336,4.371,5.922,4.332,5.159,5.356,4.405,4.538,6.128,4.466,5.263,5.477,4.438,4.597,6.268,4.508,5.31,5.525,4.491,4.613,6.325,4.532,5.321,5.528,4.488,4.613,6.389,4.535,5.332,5.549,4.383,4.562,6.387,4.469,5.254,5.487,4.229,4.439,6.266,4.338,0.024,1.003,13.098,5.962,8.409,7.762,0.268,1.73,25.55
5.0,14.343,1.772,13.382,4.038,16.303,128.881,8.237,0.459,4.189,4.302,3.832,3.687,5.339,3.692,4.727,4.89,4.185,4.051,5.872,4.039,4.974,5.173,4.295,4.187,6.14,4.149,4.987,5.209,4.153,4.174,6.024,4.1,4.981,5.213,4.15,4.173,6.025,4.098,4.966,5.177,4.196,4.161,6.05,4.111,4.953,5.157,4.23,4.162,6.137,4.106,4.887,5.09,4.185,4.122,6.058,4.065,0.126,0.934,10.471,5.109,13.648,6.243,0.499,1.442,22.228
5.0,9.541,1.737,10.667,3.998,15.98,99.425,8.053,0.667,3.969,4.075,3.595,3.442,5.155,3.465,4.486,4.641,3.993,3.812,5.66,3.837,4.673,4.828,4.062,3.886,5.958,3.901,4.729,4.929,3.971,3.855,5.902,3.848,4.586,4.771,3.866,3.781,5.811,3.768,4.608,4.805,3.857,3.815,5.79,3.786,4.648,4.862,3.806,3.755,5.861,3.727,4.533,4.767,3.644,3.611,5.74,3.565,0.152,0.756,8.482,4.074,13.139,4.746,0.381,1.172,16.916
5.721,11.871,1.447,11.889,3.212,10.318,107.094,7.316,0.733,3.988,4.113,3.548,3.566,5.096,3.538,4.486,4.649,3.875,3.946,5.513,3.897,4.722,4.921,3.882,4.052,5.728,3.964,4.797,5.045,3.741,3.999,5.685,3.879,4.677,4.916,3.705,3.912,5.619,3.805,4.661,4.897,3.667,3.85,5.636,3.748,4.59,4.847,3.557,3.746,5.517,3.64,4.42,4.66,3.467,3.656,5.379,3.548,0.07,0.719,10.103,4.355,11.923,5.765,0.115,1.123,17.865
9.066,10.233,1.968,12.033,1.658,2.749,109.44,8.657,0.375,4.056,4.16,3.858,3.537,5.251,3.538,4.617,4.777,4.158,3.908,5.995,3.907,4.88,5.061,4.271,4.064,6.262,4.058,4.97,5.157,4.23,4.054,6.454,4.03,4.944,5.176,4.081,3.955,6.289,3.925,4.789,5.011,4.025,3.819,6.221,3.798,4.649,4.869,3.851,3.69,6.013,3.657,4.55,4.811,3.677,3.553,5.847,3.48,0.25,0.925,11.052,4.708,37.82,5.191,0.752,1.413,22.484
5.0,8.535,1.798,11.517,5.639,31.799,120.773,9.853,0.563,3.925,4.019,3.771,3.606,5.109,3.562,4.407,4.542,4.162,3.993,5.588,3.932,4.606,4.736,4.319,4.134,5.827,4.071,4.7,4.859,4.382,4.114,5.972,4.039,4.663,4.826,4.251,4.029,5.964,3.963,4.617,4.812,4.146,3.951,5.833,3.877,4.534,4.731,3.974,3.865,5.693,3.748,4.302,4.512,3.657,3.654,5.367,3.54,0.062,0.634,4.901,3.483,5.832,3.942,0.276,1.063,15.091
