pXC50,SM03_EA.ri.,SpMin8_Bh.s.,JGI2,SpMAD_AEA.ed.,Eig03_EA.ed.,SM12_AEA.dm.,SpDiam_AEA.ri.,PW2,SpMAD_EA.ed.,StsC,SpMin7_Bh.m.,Eig01_AEA.ri.,SpMax_AEA.ri.,P_VSA_e_2,P_VSA_m_2,SpMin3_Bh.s.,P_VSA_i_2,SpMin3_Bh.m.,SpMin7_Bh.p.,SpMin7_Bh.v.,IVDE,JGI6,CATS2D_08_LL,Eig03_AEA.ed.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,X5A,C.022,nCsp,nR.C.,NtsC,P_VSA_LogP_6,JGT,SaaCH,Eig03_EA,GGI2,GGI4,SM11_AEA.bo.,JGI3,CIC0,Eta_sh_y,ATSC4e,ATSC7e,ATSC7s,DELS,GGI5,GGI6,P_VSA_LogP_4,SPI,ZM1Mad,ZM2Mad,Eig02_EA.ed.,RCI,RFD,SM06_EA.ri.,SM11_AEA.dm.,ATSC2v,SpMax8_Bh.i.,SpMin3_Bh.e.,ATSC3e,ATSC4s,ATSC5e
7.658,4.108,0.12,0.072,1.622,8.451,8.451,5.354,0.597,4.692,0.0,1.181,4.294,4.294,100.853,123.887,0.98,100.853,1.773,1.196,1.165,1.531,0.021,3,6.045,15.605,16.754,17.893,0.066,0,0,0,0,9.177,0.479,11.617,2.629,3.333,2.021,2.629,0.076,3.502,0.431,0.89,1.22,171.975,47.676,1.251,0.908,123.733,16.28,201.611,225.296,11.287,1.1,0.1,7.928,11.287,5.531,2.925,1.658,0.672,121.972,0.905
6.921,4.147,0.107,0.079,1.643,8.452,8.452,5.354,0.602,4.745,0.0,1.145,4.295,4.295,94.877,117.911,0.98,94.877,1.773,1.194,1.164,1.538,0.023,2,6.045,15.609,16.758,17.896,0.066,0,0,0,0,9.177,0.518,9.322,2.632,3.778,2.212,2.632,0.074,3.445,0.444,1.009,1.356,187.684,51.445,1.362,1.055,123.733,18.25,223.13,242.055,11.289,1.1,0.1,7.942,11.289,5.02,2.925,1.658,0.789,134.655,1.011
4.036,3.698,0.008,0.063,1.545,6.967,6.967,5.302,0.581,4.305,0.0,1.057,4.274,4.274,92.301,127.098,0.919,92.301,1.761,1.062,1.107,1.478,0.019,7,5.341,15.185,16.342,17.485,0.072,0,0,0,0,4.901,0.441,13.186,2.519,2.222,1.491,2.519,0.064,3.481,0.351,0.457,0.544,72.854,26.136,0.729,0.477,68.738,11.77,158.908,170.065,8.409,1.133,0.133,7.562,8.409,6.108,2.86,1.64,0.336,48.452,0.526
6.237,4.067,0.121,0.072,1.622,8.451,8.451,5.351,0.597,4.692,0.0,1.16,4.291,4.291,142.054,119.896,0.983,96.862,1.77,1.164,1.162,1.531,0.021,3,6.045,15.501,16.647,17.782,0.066,0,0,0,0,5.185,0.479,12.241,2.629,3.333,2.021,2.629,0.076,3.423,0.415,0.633,0.914,119.195,40.485,1.251,0.908,98.588,16.28,213.21,234.662,11.287,1.1,0.1,7.874,11.287,5.296,2.925,1.66,0.578,77.203,0.757
6.509,4.193,0.177,0.079,1.638,8.549,8.549,5.393,0.6,4.774,0.0,1.181,4.333,4.333,107.572,130.607,1.037,107.572,1.834,1.219,1.17,1.538,0.025,3,6.065,15.803,16.963,18.115,0.065,0,0,0,0,9.177,0.486,11.65,2.632,3.778,2.181,2.632,0.079,3.632,0.451,0.933,1.247,165.237,49.202,1.393,1.204,123.733,17.851,207.944,234.961,11.738,1.1,0.1,8.024,11.738,6.731,2.925,1.678,0.659,124.982,0.985
6.921,3.847,0.008,0.078,1.577,8.397,8.397,5.305,0.587,4.434,0.0,1.056,4.275,4.275,94.9,129.696,0.912,94.9,1.748,1.062,1.107,1.528,0.025,7,6.013,15.304,16.451,17.587,0.071,0,0,0,0,4.901,0.472,11.794,2.621,2.889,1.531,2.621,0.065,3.368,0.384,0.626,0.74,117.426,34.974,0.823,0.736,98.588,13.469,167.456,180.225,8.55,1.133,0.133,7.692,8.55,5.091,2.859,1.638,0.465,79.539,0.668
7.071,4.147,0.115,0.074,1.643,8.455,8.455,5.355,0.601,4.743,0.0,1.078,4.295,4.295,94.877,117.911,0.98,94.877,1.773,1.195,1.165,1.538,0.021,3,6.046,15.611,16.76,17.899,0.066,0,0,0,0,9.177,0.512,9.406,2.635,3.556,2.132,2.635,0.077,3.445,0.444,1.01,1.302,182.762,51.72,1.393,1.004,123.733,18.16,223.13,242.055,11.304,1.1,0.1,7.943,11.304,5.02,2.921,1.658,0.789,134.474,1.02
7.119,4.125,0.0,0.098,1.592,7.861,7.861,5.349,0.604,4.592,1.918,0.892,4.279,4.279,57.145,139.786,0.654,57.145,1.511,1.024,0.982,1.78,0.028,0,5.83,15.712,16.873,18.03,0.071,0,1,0,1,11.771,0.613,2.851,2.607,3.333,1.569,2.607,0.043,3.164,0.341,0.897,0.742,123.284,43.375,0.882,0.732,155.803,15.302,163.357,185.859,10.515,1.2,0.2,7.851,10.515,5.357,2.65,1.431,0.856,154.078,0.677
6.004,4.046,0.008,0.089,1.594,8.408,8.408,5.37,0.599,4.685,0.0,1.055,4.316,4.316,94.368,121.751,0.918,88.561,1.74,1.062,1.107,1.735,0.03,7,6.039,15.589,16.739,17.879,0.07,0,0,0,0,4.901,0.548,10.795,2.622,3.556,1.748,2.622,0.07,3.217,0.323,0.867,1.058,183.809,45.426,1.083,0.996,113.051,15.022,214.096,235.625,11.815,1.133,0.133,7.846,11.815,5.241,2.869,1.649,0.617,123.729,0.847
8.222,4.065,0.0,0.101,1.599,7.831,7.831,5.349,0.612,4.679,0.0,0.774,4.279,4.279,40.858,92.44,0.65,40.858,1.508,0.915,0.888,1.782,0.029,0,5.826,15.664,16.825,17.983,0.071,0,0,0,0,11.771,0.639,2.993,2.594,3.333,1.529,2.594,0.045,3.015,0.347,0.948,0.832,107.283,40.883,0.819,0.671,139.201,14.729,174.182,189.951,10.492,1.2,0.2,7.783,10.492,5.388,2.58,1.39,0.926,134.983,0.785
4.21,3.744,0.256,0.054,1.499,7.03,7.03,4.998,0.579,4.09,6.434,1.381,3.963,3.963,134.096,170.791,1.103,134.096,1.951,1.326,1.347,1.218,0.017,8,5.364,14.233,15.291,16.291,0.082,2,2,2,2,51.165,0.396,12.568,2.547,2.222,1.053,2.547,0.037,4.101,0.304,0.215,0.177,32.562,23.035,0.521,0.418,59.469,10.224,154.4,174.094,7.821,1.095,0.095,7.508,7.821,10.328,2.976,1.789,0.214,45.526,0.184
4.0,3.744,0.271,0.049,1.498,7.123,7.123,4.998,0.578,4.091,6.423,1.391,3.963,3.963,134.096,170.791,1.103,134.096,1.952,1.326,1.351,1.218,0.016,8,5.396,14.25,15.308,16.31,0.081,2,2,2,2,51.165,0.394,12.63,2.562,2.0,0.973,2.562,0.043,4.101,0.304,0.193,0.246,44.222,23.615,0.577,0.418,59.469,10.12,154.4,174.094,7.927,1.095,0.095,7.51,7.927,10.328,2.975,1.789,0.214,43.683,0.253
5.523,3.875,0.0,0.087,1.547,6.652,6.652,5.141,0.6,4.367,0.0,0.721,4.141,4.141,45.186,78.083,0.505,45.186,1.346,0.683,0.689,1.805,0.045,0,5.253,15.162,16.288,17.406,0.084,0,0,0,0,0.0,0.665,5.808,2.342,2.0,0.902,2.342,0.063,2.97,0.264,0.5,0.202,48.467,33.462,0.438,0.363,89.001,11.335,118.178,130.871,9.185,1.0,0.0,7.535,9.185,5.144,2.307,1.31,0.633,87.139,0.614
8.699,4.216,0.0,0.096,1.655,8.408,8.408,5.482,0.613,4.896,0.0,0.819,4.412,4.412,58.681,90.413,0.703,52.873,1.61,1.041,1.023,1.695,0.028,0,6.02,15.691,16.851,18.007,0.068,0,0,0,0,0.0,0.63,1.342,2.695,3.556,2.88,2.695,0.061,3.037,0.409,0.925,1.622,277.997,55.693,1.451,0.975,172.75,17.112,190.746,215.933,10.547,1.2,0.2,7.891,10.547,5.485,2.694,1.44,1.032,148.505,1.235
7.398,4.147,0.0,0.096,1.655,8.408,8.408,5.473,0.613,4.896,0.0,0.805,4.403,4.403,58.086,89.818,0.905,52.278,1.601,0.957,0.974,1.695,0.028,0,6.02,15.551,16.701,17.847,0.068,0,0,0,0,0.0,0.63,1.295,2.695,3.556,2.88,2.695,0.061,3.041,0.395,0.933,1.387,211.414,53.234,1.451,0.975,104.012,17.112,203.94,232.345,10.547,1.2,0.2,7.808,10.547,5.936,2.744,1.517,1.134,136.604,1.208
7.921,4.237,0.141,0.084,1.613,8.409,8.409,5.475,0.603,4.713,0.0,1.09,4.405,4.405,106.478,138.21,0.937,100.67,1.623,1.173,1.141,1.745,0.025,3,6.02,15.604,16.751,17.891,0.068,0,0,0,0,0.0,0.572,8.158,2.696,3.778,3.022,2.696,0.055,3.406,0.36,0.879,1.456,205.228,53.083,1.743,1.242,104.012,18.625,232.715,267.619,10.549,1.125,0.125,7.956,10.549,6.694,2.843,1.67,0.969,102.063,1.157
9.0,4.216,0.0,0.096,1.655,8.408,8.408,5.476,0.613,4.896,0.0,0.819,4.406,4.406,58.681,90.413,0.711,52.873,1.602,1.033,1.019,1.695,0.028,0,6.02,15.618,16.77,17.919,0.068,0,0,0,0,0.0,0.63,1.444,2.695,3.556,2.88,2.695,0.061,3.037,0.409,0.945,1.51,268.174,55.796,1.451,0.975,172.75,17.112,190.746,218.21,10.547,1.2,0.2,7.872,10.547,5.485,2.683,1.444,1.029,158.522,1.321
7.347,4.229,0.0,0.086,1.619,8.408,8.408,5.475,0.609,4.775,0.0,1.05,4.405,4.405,99.472,131.205,0.935,93.665,1.617,1.068,1.076,1.747,0.025,3,6.02,15.596,16.744,17.885,0.067,0,0,0,0,14.96,0.589,6.652,2.696,3.778,2.982,2.696,0.057,3.122,0.375,0.998,1.536,266.498,59.692,1.681,1.242,104.012,18.067,229.668,262.871,10.549,1.125,0.125,7.94,10.549,5.629,2.801,1.669,1.091,145.536,1.221
7.229,4.147,0.0,0.087,1.593,8.408,8.408,5.474,0.609,4.795,0.0,1.029,4.404,4.404,58.922,90.655,0.986,53.115,1.69,1.109,1.098,1.757,0.025,2,6.02,15.564,16.713,17.857,0.065,0,0,0,0,0.0,0.571,1.354,2.695,3.556,2.755,2.695,0.057,3.257,0.363,0.892,1.518,226.838,52.403,1.625,1.112,115.012,15.855,219.38,252.339,10.549,1.133,0.133,7.86,10.549,7.159,2.798,1.578,1.21,111.258,1.276
7.42,4.068,0.0,0.099,1.634,8.407,8.407,5.469,0.599,4.746,0.0,0.906,4.399,4.399,64.736,96.469,0.87,58.929,1.599,0.988,1.01,1.762,0.025,0,6.02,15.536,16.685,17.83,0.066,0,0,0,0,0.0,0.597,1.33,2.695,3.556,2.64,2.695,0.061,3.041,0.35,0.863,1.355,204.449,49.2,1.507,0.912,115.012,16.211,202.051,230.843,10.541,1.2,0.2,7.779,10.541,5.623,2.793,1.431,1.013,115.766,1.331
6.68,4.068,0.02,0.096,1.618,8.407,8.407,5.469,0.595,4.656,0.0,0.997,4.399,4.399,67.27,99.003,0.937,61.463,1.694,1.023,1.032,1.766,0.027,1,6.02,15.536,16.685,17.83,0.067,0,0,0,0,0.0,0.588,1.336,2.695,3.556,2.64,2.695,0.059,3.207,0.335,0.798,1.28,194.539,50.43,1.507,1.034,115.012,16.783,206.715,235.176,10.541,1.2,0.2,7.782,10.541,6.645,2.796,1.518,1.126,104.109,1.336
7.745,4.238,0.0,0.098,1.637,9.949,9.949,5.471,0.623,5.025,0.0,0.729,4.401,4.401,59.555,91.287,0.897,53.747,1.587,0.93,0.939,1.811,0.025,0,6.393,15.562,16.707,17.849,0.065,0,0,0,0,23.542,0.685,1.143,3.068,4.0,2.72,3.068,0.061,2.736,0.335,1.418,2.135,351.704,72.462,1.951,1.157,104.012,19.263,230.854,251.525,10.544,1.2,0.2,7.869,10.544,4.935,2.753,1.488,1.529,252.12,1.499
7.114,4.127,0.03,0.099,1.634,8.407,8.407,5.472,0.599,4.746,0.0,1.074,4.402,4.402,73.246,104.979,0.871,67.439,1.613,1.18,1.151,1.762,0.025,0,6.02,15.598,16.75,17.897,0.066,0,0,0,0,0.0,0.597,1.565,2.695,3.556,2.64,2.695,0.061,3.294,0.357,0.79,1.405,230.205,46.048,1.507,0.912,115.012,16.211,186.531,215.324,10.541,1.2,0.2,7.833,10.541,6.916,2.797,1.444,0.874,105.406,1.228
7.131,4.127,0.0,0.099,1.634,8.407,8.407,5.478,0.599,4.746,0.0,1.055,4.408,4.408,73.246,104.979,0.87,67.439,1.611,1.166,1.139,1.762,0.025,0,6.02,15.673,16.831,17.987,0.066,0,0,0,0,0.0,0.597,1.462,2.695,3.556,2.64,2.695,0.061,3.294,0.357,0.787,1.521,223.92,45.857,1.507,0.912,115.012,16.211,186.531,213.047,10.541,1.2,0.2,7.853,10.541,6.916,2.802,1.442,0.87,95.67,1.099
7.31,4.127,0.162,0.094,1.616,8.534,8.534,5.474,0.588,4.581,0.0,1.245,4.405,4.405,78.315,110.048,0.962,72.508,1.742,1.212,1.216,1.764,0.029,0,6.048,15.619,16.771,17.919,0.066,0,0,0,0,0.0,0.57,1.633,2.713,3.556,2.68,2.713,0.06,3.587,0.327,0.79,1.359,197.707,47.721,1.569,1.218,115.012,17.332,194.531,224.269,10.596,1.2,0.2,7.866,10.596,8.795,2.9,1.536,0.868,89.521,1.054
8.046,3.963,0.0,0.093,1.601,8.163,8.163,5.719,0.599,5.008,0.0,1.057,4.678,4.678,99.912,117.923,0.815,99.912,1.693,0.96,0.997,1.45,0.01,0,5.938,16.783,18.067,19.35,0.062,0,0,0,0,0.0,0.412,17.664,2.468,2.889,1.113,2.468,0.067,3.831,0.298,0.107,0.032,7.356,6.524,0.309,0.069,0.0,4.21,104.387,131.664,9.495,1.438,0.5,8.076,9.495,7.72,2.56,1.465,0.108,17.821,0.109
5.538,3.345,0.0,0.081,1.624,5.884,5.884,5.099,0.6,4.601,0.0,0.254,4.099,4.099,43.814,60.599,0.25,43.814,1.145,0.187,0.256,1.557,0.028,0,5.043,14.346,15.445,16.525,0.07,0,0,0,0,4.901,0.549,4.691,2.085,1.778,1.094,2.085,0.066,2.323,0.429,0.466,0.225,31.419,20.056,0.358,0.193,68.738,8.115,111.521,114.233,7.827,1.222,0.222,7.045,7.827,1.94,1.661,1.003,0.387,57.333,0.275
4.011,3.549,0.354,0.047,1.458,6.95,6.95,4.961,0.564,3.875,6.624,1.462,3.926,3.926,146.462,182.912,1.132,146.462,1.979,1.376,1.424,0.779,0.015,9,5.332,14.223,15.289,16.294,0.084,2,2,2,2,36.205,0.288,18.945,2.475,1.778,0.862,2.475,0.024,4.41,0.228,0.171,0.131,16.536,9.62,0.219,0.336,28.434,0.0,139.19,159.078,7.788,1.095,0.095,7.465,7.788,11.756,3.025,1.802,0.17,23.169,0.148
4.0,3.69,0.346,0.049,1.461,6.951,6.951,5.027,0.568,3.908,6.499,1.465,3.919,3.919,149.995,171.13,1.1,149.995,1.976,1.376,1.412,1.018,0.017,9,5.332,14.085,15.134,16.113,0.083,2,2,2,2,34.061,0.328,16.508,2.476,2.0,1.32,2.476,0.024,4.375,0.252,0.204,0.175,27.631,18.818,0.25,0.422,29.85,7.41,153.893,174.365,7.788,1.091,0.091,7.488,7.788,12.147,3.039,1.801,0.414,31.63,0.198
7.721,3.7,0.26,0.054,1.499,7.03,7.03,4.998,0.579,4.09,6.484,1.377,3.963,3.963,128.476,165.171,1.107,128.476,1.944,1.313,1.341,1.218,0.017,8,5.364,14.21,15.269,16.27,0.082,2,2,2,2,36.205,0.396,13.968,2.547,2.222,1.053,2.547,0.037,4.101,0.294,0.194,0.169,25.957,17.524,0.521,0.418,59.469,10.224,166.089,180.942,7.821,1.095,0.095,7.482,7.821,10.428,2.973,1.79,0.199,35.485,0.182
7.31,3.666,0.229,0.046,1.478,6.974,6.974,5.016,0.572,4.013,6.442,1.294,3.981,3.981,137.94,157.85,1.085,137.94,1.966,1.325,1.354,1.058,0.014,8,5.341,14.354,15.428,16.45,0.082,2,2,2,2,38.897,0.347,16.316,2.483,1.778,0.862,2.483,0.037,4.171,0.273,0.175,0.201,24.984,16.87,0.466,0.336,59.469,6.962,146.889,166.199,7.789,1.095,0.095,7.511,7.789,10.308,2.947,1.792,0.17,32.352,0.184
4.0,3.758,0.393,0.053,1.495,7.128,7.128,4.998,0.574,4.056,6.498,1.458,3.963,3.963,141.101,177.797,1.108,141.101,1.956,1.376,1.429,1.198,0.016,8,5.405,14.256,15.313,16.312,0.081,2,2,2,2,36.205,0.385,14.188,2.572,2.222,1.093,2.572,0.035,4.281,0.292,0.203,0.176,25.201,17.689,0.584,0.418,59.469,10.565,157.448,178.841,7.847,1.095,0.095,7.533,7.847,11.322,3.11,1.791,0.21,35.242,0.2
