pXC50,nH,nCsp3,nAT,nBT,Se,Si,C.,AMW,H.,Me,Mi
4.532,35,16,69,71,69.741,78.232,36.2,6.922,50.7,1.011,1.134
4.0,37,17,72,74,72.625,81.647,36.1,6.828,51.4,1.009,1.134
5.323,45,19,91,94,91.814,102.727,38.5,7.031,49.5,1.009,1.129
5.409,45,19,91,94,91.814,102.727,38.5,7.031,49.5,1.009,1.129
5.015,54,24,104,108,104.123,117.676,37.5,6.682,51.9,1.001,1.132
5.071,43,18,89,92,90.258,100.521,38.2,7.211,48.3,1.014,1.129
5.382,43,18,88,91,88.93,99.312,38.6,7.111,48.9,1.011,1.129
5.343,43,18,88,91,88.93,99.312,38.6,7.111,48.9,1.011,1.129
5.305,43,18,88,91,88.93,99.312,38.6,7.111,48.9,1.011,1.129
5.04,45,19,91,94,91.814,102.727,38.5,7.031,49.5,1.009,1.129
5.921,26,10,60,63,61.378,67.459,38.3,8.825,43.3,1.023,1.124
5.056,28,11,63,66,64.262,70.874,38.1,8.627,44.4,1.02,1.125
4.0,26,9,60,63,61.251,67.285,38.3,8.444,43.3,1.021,1.121
4.188,27,10,62,66,63.025,69.574,38.7,8.35,43.5,1.017,1.122
5.678,29,11,65,69,65.909,72.989,38.5,8.18,44.6,1.014,1.123
5.3,26,9,61,64,62.578,68.494,37.7,8.568,42.6,1.026,1.123
4.918,27,10,63,67,64.353,70.783,38.1,8.471,42.9,1.021,1.124
6.484,29,11,66,70,67.236,74.198,37.9,8.299,43.9,1.019,1.124
4.0,18,7,42,44,43.062,47.205,35.7,8.821,42.9,1.025,1.124
4.569,15,6,38,41,39.069,42.664,36.8,9.302,39.5,1.028,1.123
5.009,17,7,41,44,41.953,46.079,36.6,8.963,41.5,1.023,1.124
4.0,26,11,54,56,54.771,61.235,37.0,7.231,48.1,1.014,1.134
6.0,28,11,64,67,65.589,72.083,37.5,8.742,43.8,1.025,1.126
7.097,71,35,129,132,128.955,146.543,34.9,6.342,55.0,1.0,1.136
5.569,41,16,83,85,83.72,93.687,38.6,7.033,49.4,1.009,1.129
4.86,33,11,77,80,78.793,86.249,40.3,8.657,42.9,1.023,1.12
6.699,42,16,91,95,92.429,102.408,38.5,8.107,46.2,1.016,1.125
4.742,34,14,73,77,73.96,82.315,39.7,7.379,46.6,1.013,1.128
4.0,38,19,73,77,72.745,82.517,38.4,6.612,52.1,0.997,1.13
4.0,34,16,66,69,65.978,74.687,37.9,6.706,51.5,1.0,1.132
4.0,26,11,60,64,61.051,67.249,40.0,8.758,43.3,1.018,1.121
4.0,26,11,61,65,62.378,68.459,39.3,8.877,42.6,1.023,1.122
4.0,33,12,71,73,72.512,80.236,38.0,7.487,46.5,1.021,1.13
4.292,34,13,73,76,74.287,82.524,38.4,7.433,46.6,1.018,1.13
4.625,36,14,76,79,77.171,85.94,38.2,7.325,47.4,1.015,1.131
4.0,25,9,58,60,59.604,65.17,37.9,8.939,43.1,1.028,1.124
5.14,41,16,83,85,83.72,93.687,38.6,7.033,49.4,1.009,1.129
5.07,41,15,85,88,85.385,95.85,40.0,7.103,48.2,1.005,1.128
8.523,79,38,144,147,143.817,163.413,35.4,6.349,54.9,0.999,1.135
4.0,28,12,54,55,54.0,61.232,37.0,6.676,51.9,1.0,1.134
