pXC50,nDB,nBO,nN,nO,N.,O.,MW,Se,nAT,nBT,Si,C.,Sv
7.509,3,33,2,5,3.6,9.1,420.5,55.56,55,57,61.611,43.6,35.412
7.959,3,30,1,4,2.3,9.1,424.27,45.524,44,46,49.3,45.5,30.66
7.387,3,30,1,5,2.4,11.9,426.24,43.967,42,44,47.095,45.2,29.848
6.883,3,28,1,4,2.4,9.5,373.43,43.069,42,44,46.917,45.2,28.665
7.824,3,32,1,4,2.4,9.5,445.39,45.12,42,44,48.276,45.2,30.199
6.167,3,29,1,5,2.2,11.1,371.39,46.203,45,47,50.622,44.4,29.72
6.979,3,31,1,4,2.4,9.5,565.65,43.851,42,44,46.544,45.2,31.543
7.237,3,34,1,5,2.4,11.9,465.3,46.396,42,44,49.245,45.2,30.493
8.398,3,34,1,4,2.4,9.5,481.37,46.145,42,44,48.955,45.2,30.965
6.688,3,32,1,5,2.4,11.9,429.32,45.371,42,44,48.565,45.2,29.726
6.762,3,29,1,4,2.4,9.5,513.22,43.014,42,44,46.261,45.2,30.333
7.959,3,29,1,4,2.3,9.1,373.38,45.389,44,46,49.752,45.5,29.388
4.0,0,25,5,0,13.5,0.0,321.34,38.349,37,39,43.002,40.5,24.418
4.0,0,27,5,0,12.8,0.0,379.4,41.334,39,41,46.016,35.9,25.898
4.0,0,26,5,0,12.5,0.0,335.37,41.232,40,42,46.417,40.0,25.945
4.0,0,28,5,0,11.9,0.0,393.43,44.218,42,44,49.432,35.7,27.425
4.0,0,27,5,0,11.6,0.0,349.4,44.116,43,45,49.832,39.5,27.471
4.0,0,29,5,0,11.1,0.0,407.46,47.101,45,47,52.847,35.6,28.952
4.0,0,27,5,0,11.6,0.0,349.4,44.116,43,45,49.832,39.5,27.471
4.0,0,29,5,0,11.1,0.0,407.46,47.101,45,47,52.847,35.6,28.952
4.0,0,24,5,0,14.3,0.0,299.79,35.251,35,38,39.512,42.9,23.569
4.0,0,24,5,0,14.3,0.0,299.79,35.251,35,38,39.512,42.9,23.569
4.0,0,27,5,0,13.2,0.0,333.35,39.349,38,41,44.002,42.1,25.418
4.0,0,29,5,0,12.5,0.0,391.41,42.334,40,43,47.016,37.5,26.898
4.0,0,24,5,0,14.7,0.0,323.76,35.276,34,36,39.191,41.2,23.335
4.0,0,29,5,0,12.8,0.0,415.38,42.36,39,41,46.696,35.9,26.665
4.0,0,25,5,0,13.5,0.0,337.79,38.16,37,39,42.606,40.5,24.862
4.0,0,25,5,0,13.5,0.0,337.79,38.16,37,39,42.606,40.5,24.862
4.0,0,28,5,0,12.5,0.0,371.35,42.258,40,42,47.096,40.0,26.711
4.0,0,30,5,0,11.9,0.0,429.41,45.243,42,44,50.111,35.7,28.192
4.0,0,27,5,0,14.7,0.0,361.28,37.003,34,36,40.606,41.2,24.041
4.387,0,29,5,0,13.9,0.0,419.34,39.989,36,38,43.62,36.1,25.521
4.0,0,23,5,1,14.3,2.9,303.78,35.578,35,37,39.721,40.0,23.283
4.0,0,23,5,1,14.3,2.9,303.78,35.578,35,37,39.721,40.0,23.283
4.0,0,26,5,1,13.2,2.6,337.34,39.676,38,40,44.211,39.5,25.133
4.0,0,28,5,1,12.5,2.5,395.4,42.661,40,42,47.226,35.0,26.613
6.699,0,33,3,2,7.1,4.8,407.37,43.8,42,45,47.424,52.4,30.805
5.201,0,29,4,1,10.8,2.7,358.8,37.593,37,40,40.807,54.1,27.735
5.004,0,27,5,1,14.3,2.9,313.34,35.487,35,38,38.947,51.4,25.402
5.004,0,28,5,1,13.9,2.8,325.35,36.487,36,39,39.947,52.8,26.402
5.004,0,28,4,1,10.8,2.7,324.36,37.269,37,40,40.863,54.1,26.908
5.244,0,28,4,1,10.8,2.7,324.36,37.269,37,40,40.863,54.1,26.908
5.004,0,29,4,1,10.0,2.5,338.39,40.153,40,43,44.279,52.5,28.434
5.886,0,30,4,1,10.0,2.5,372.83,40.476,40,43,44.223,52.5,29.262
5.004,0,28,5,1,13.2,2.6,327.37,38.371,38,41,42.362,50.0,26.929
5.959,0,30,5,1,11.4,2.3,355.43,44.138,44,47,49.192,47.7,29.983
5.42,5,27,1,5,2.5,12.5,357.41,41.0,40,42,44.372,45.0,27.47
6.959,3,31,1,4,2.3,9.1,547.61,45.658,44,46,49.04,45.5,31.883
5.836,3,29,1,5,2.2,11.1,371.39,46.203,45,47,50.622,44.4,29.72
6.873,3,28,1,4,2.3,9.1,355.39,44.876,44,46,49.412,45.5,29.005
6.444,3,28,1,5,2.4,11.9,357.36,43.32,42,44,47.207,45.2,28.193
6.896,3,29,1,4,2.3,9.1,495.18,44.822,44,46,48.756,45.5,30.672
8.0,2,32,1,4,2.5,10.0,443.37,43.236,40,42,45.861,47.5,29.672
9.0,2,31,1,4,2.5,10.0,425.38,42.723,40,42,45.521,47.5,29.289
6.0,2,25,1,3,2.8,8.3,323.39,36.462,36,38,39.538,50.0,25.514
5.518,2,25,1,3,2.9,8.6,370.21,35.614,35,37,38.459,51.4,25.352
4.86,2,24,1,3,2.9,8.6,291.32,35.385,35,37,38.618,51.4,24.327
8.523,2,30,1,4,2.3,9.3,403.43,44.582,43,45,48.257,46.5,30.049
8.046,2,30,1,4,2.3,9.3,403.43,44.582,43,45,48.257,46.5,30.049
7.921,2,28,1,4,2.5,10.0,387.86,40.996,40,42,44.106,47.5,28.583
6.0,3,31,1,6,2.3,14.0,415.42,44.84,43,45,47.921,46.5,30.568
7.796,2,30,1,5,2.3,11.6,387.36,44.833,43,45,48.546,46.5,29.576
4.523,1,20,3,1,10.3,3.4,257.34,29.244,29,31,32.285,44.8,20.073
4.523,1,21,3,1,9.4,3.1,271.37,32.127,32,34,35.7,43.8,21.6
4.523,1,22,3,1,8.6,2.9,285.4,35.011,35,37,39.116,42.9,23.127
4.523,1,22,3,1,8.6,2.9,285.4,35.011,35,37,39.116,42.9,23.127
4.523,1,23,3,1,9.1,3.0,283.38,33.127,33,36,36.7,45.5,22.6
4.523,1,24,3,1,8.3,2.8,297.41,36.011,36,39,40.116,44.4,24.127
4.523,1,23,3,1,7.9,2.6,299.43,37.894,38,40,42.531,42.1,24.654
4.523,1,25,3,1,7.7,2.6,311.44,38.894,39,42,43.531,43.6,25.654
4.523,1,24,3,1,8.3,2.8,297.41,36.011,36,39,40.116,44.4,24.127
4.523,1,25,3,1,7.7,2.6,311.44,38.894,39,42,43.531,43.6,25.654
4.821,1,26,3,1,7.1,2.4,325.47,41.778,42,45,46.946,42.9,27.181
4.523,1,27,3,1,8.3,2.8,351.38,37.549,36,39,41.135,44.4,25.277
4.523,1,28,3,2,7.5,5.0,363.42,41.247,40,43,45.42,42.5,27.135
5.509,1,25,3,1,8.3,2.8,315.4,36.523,36,39,40.455,44.4,24.51
4.523,1,26,3,1,8.3,2.8,349.84,36.847,36,39,40.399,44.4,25.338
5.252,1,25,3,1,9.1,3.0,335.81,33.964,33,36,36.984,45.5,23.811
5.137,1,25,3,1,8.3,2.8,315.4,36.523,36,39,40.455,44.4,24.51
4.764,1,27,3,1,8.3,2.8,351.38,37.549,36,39,41.135,44.4,25.277
4.827,1,24,3,1,9.1,3.0,301.37,33.64,33,36,37.04,45.5,22.983
8.699,2,32,1,4,2.5,10.0,443.37,43.236,40,42,45.861,47.5,29.672
4.046,2,30,1,3,2.0,5.9,373.48,50.803,51,53,56.694,47.1,32.961
5.553,2,26,1,3,2.6,7.7,317.36,39.269,39,41,43.033,51.3,26.853
5.398,2,27,1,3,2.4,7.1,331.39,42.153,42,44,46.448,50.0,28.38
4.0,0,23,4,0,12.5,0.0,292.29,33.363,32,34,37.088,43.8,21.87
4.0,0,24,5,0,14.7,0.0,275.34,34.043,34,37,38.152,47.1,23.214
4.0,0,24,4,0,11.4,0.0,274.35,34.825,35,38,39.069,48.6,23.72
4.0,0,24,4,0,11.4,0.0,274.35,34.825,35,38,39.069,48.6,23.72
4.0,1,25,5,1,15.2,3.0,321.29,34.909,33,35,38.381,42.4,23.079
4.0,1,21,5,1,16.7,3.3,253.29,30.487,30,32,33.947,43.3,20.402
5.896,1,26,2,2,5.1,5.1,358.87,39.444,39,41,43.186,46.2,27.175
4.886,2,19,2,1,6.9,3.4,242.27,29.462,29,30,32.622,48.3,19.775
4.806,2,23,1,2,2.9,5.9,275.32,34.058,34,36,37.408,52.9,23.612
4.794,1,20,1,2,3.3,6.7,296.16,30.705,30,31,33.296,46.7,21.267
4.751,1,19,1,2,3.0,6.1,241.31,32.942,33,34,36.824,45.5,21.139
4.738,0,21,3,1,11.1,3.7,235.26,27.284,27,30,29.95,51.9,19.359
4.495,0,22,4,1,12.9,3.2,351.25,31.574,31,33,34.625,41.9,22.12
4.201,0,23,4,2,11.4,5.7,302.39,35.556,35,37,39.408,40.0,23.336
5.022,2,24,5,3,15.2,9.1,317.36,34.218,33,35,37.285,39.4,23.019
5.187,0,23,4,1,12.9,3.2,341.24,31.993,31,33,34.671,41.9,22.75
4.745,0,23,4,1,12.9,3.2,341.24,31.993,31,33,34.671,41.9,22.75
7.292,0,23,4,1,12.9,3.2,341.24,31.993,31,33,34.671,41.9,22.75
4.523,0,23,4,1,10.8,2.7,300.42,37.113,37,39,41.614,40.5,24.148
4.886,0,23,4,1,11.8,2.9,320.83,34.553,34,36,38.143,41.2,23.449
7.886,0,24,4,1,11.8,2.9,355.27,34.876,34,36,38.087,41.2,24.277
4.0,0,21,5,0,15.6,0.0,271.38,32.12,32,34,36.072,40.6,21.401
6.959,2,24,3,1,8.6,2.9,307.4,35.127,35,37,38.7,48.6,24.6
6.469,1,24,2,1,6.5,3.2,371.68,31.996,31,33,34.034,48.4,24.061
6.26,2,22,1,1,2.8,2.8,320.23,36.145,36,37,39.917,47.2,24.606
6.108,1,22,1,2,3.0,6.1,263.31,33.058,33,35,36.408,51.5,22.612
6.032,1,19,2,1,6.5,3.2,280.8,31.233,31,32,34.561,41.9,20.933
5.738,1,22,2,1,7.1,3.6,323.21,28.789,28,30,30.675,50.0,21.707
5.562,4,31,2,4,4.5,9.1,372.4,44.698,44,47,48.741,50.0,30.59
5.402,1,21,1,1,3.1,3.1,247.31,31.731,32,34,35.199,53.1,21.897
5.218,3,22,0,4,0.0,12.5,302.72,32.935,32,33,35.273,50.0,22.848
4.0,0,23,5,0,15.6,0.0,340.26,32.767,32,34,35.96,40.6,23.056
4.0,0,29,5,0,11.1,0.0,361.51,44.771,45,48,50.318,44.4,29.982
4.538,0,22,4,1,12.9,3.2,306.8,31.669,31,33,34.727,41.9,21.922
4.337,0,22,4,1,11.8,2.9,286.39,34.229,34,36,38.199,41.2,22.622
4.191,3,22,2,3,6.5,9.7,325.16,32.251,31,32,34.589,45.2,22.476
4.854,4,23,0,4,0.0,7.5,322.49,52.563,53,53,60.066,35.8,29.761
4.893,3,26,1,4,2.2,8.7,339.42,46.247,46,47,51.488,43.5,29.149
6.664,1,24,1,3,2.9,8.8,313.75,34.709,34,36,37.562,50.0,24.154
4.292,1,24,1,3,2.9,8.8,313.75,34.709,34,36,37.562,50.0,24.154
4.293,1,23,1,1,2.9,2.9,340.23,34.843,35,37,38.456,51.4,24.449
4.77,1,24,1,3,2.9,8.8,313.75,34.709,34,36,37.562,50.0,24.154
4.387,1,25,1,3,2.9,8.8,392.64,34.938,34,36,37.403,50.0,25.179
5.398,1,28,1,4,2.9,11.4,383.72,37.574,35,37,39.79,48.6,26.019
8.222,1,30,1,4,2.4,9.5,357.38,42.596,42,45,46.242,52.4,29.568
8.222,1,31,1,4,2.4,9.5,375.37,43.109,42,45,46.582,52.4,29.952
7.745,1,31,1,3,2.4,7.1,391.44,42.858,42,45,46.293,52.4,30.424
8.155,1,30,1,4,2.4,9.5,357.38,42.596,42,45,46.242,52.4,29.568
7.921,1,30,2,2,4.8,4.8,358.39,42.556,42,45,46.662,52.4,29.543
6.506,1,24,1,3,3.2,9.7,317.71,32.338,31,33,34.486,51.6,23.011
4.529,3,28,1,4,2.2,8.9,369.47,45.44,45,47,49.993,44.4,29.809
4.585,1,30,1,3,2.4,7.3,375.82,41.593,41,44,44.977,53.7,29.681
6.676,1,24,1,3,3.2,9.7,378.61,32.055,31,33,33.988,51.6,23.653
4.219,2,27,3,2,6.8,4.5,333.42,44.029,44,46,49.235,45.5,28.708
4.495,1,28,1,3,2.5,7.5,361.34,41.691,40,42,45.467,47.5,27.53
4.921,1,22,1,3,3.2,9.7,265.28,31.502,31,33,34.203,51.6,21.8
5.678,1,24,1,4,3.1,12.5,299.27,33.342,32,34,35.752,50.0,22.898
4.367,1,25,1,4,2.9,11.4,329.75,36.036,35,37,38.771,48.6,24.869
8.0,1,29,1,3,2.4,7.3,341.38,41.269,41,44,45.033,53.7,28.853
4.747,3,20,1,4,2.6,10.3,277.35,39.363,39,39,44.073,38.5,23.622
8.155,1,30,1,2,2.3,4.7,357.4,43.338,43,46,47.578,53.5,30.049
4.907,2,21,0,4,0.0,13.8,254.25,29.727,29,31,31.914,51.7,20.493
4.046,2,30,1,3,2.4,7.1,385.36,43.691,42,44,47.467,50.0,29.53
4.143,1,25,1,3,2.7,8.1,327.78,37.593,37,39,40.977,48.6,25.681
6.301,1,29,3,2,7.5,5.0,347.37,40.774,40,43,44.745,50.0,28.038
6.301,1,32,1,2,2.0,4.1,385.46,49.105,49,52,54.409,51.0,33.102
6.409,1,29,1,2,2.5,5.0,363.43,40.531,40,43,44.083,52.5,28.709
8.097,1,30,1,2,2.3,4.7,357.4,43.338,43,46,47.578,53.5,30.049
6.301,1,28,3,2,7.5,5.0,329.38,40.262,40,43,44.405,50.0,27.655
6.678,1,30,2,2,4.8,4.8,358.39,42.556,42,45,46.662,52.4,29.543
7.77,1,32,1,2,2.3,4.5,369.41,44.338,44,48,48.578,54.5,31.049
6.523,1,28,1,2,2.6,5.1,331.36,39.454,39,42,43.163,53.8,27.522
6.301,1,30,2,2,4.8,4.8,358.39,42.556,42,45,46.662,52.4,29.543
7.201,1,31,1,3,2.3,6.8,373.4,44.665,44,47,48.788,52.3,30.764
8.0,1,30,1,2,2.2,4.3,353.44,45.709,46,49,50.654,52.2,31.192
6.301,1,30,2,1,4.5,2.3,356.42,44.112,44,47,48.867,52.3,30.355
7.495,1,37,2,3,3.7,5.6,440.5,54.534,54,58,60.117,50.0,36.838
6.409,2,34,2,3,4.0,6.0,414.46,50.651,50,53,55.701,50.0,34.312
7.921,1,31,1,2,2.3,4.7,375.39,43.851,43,46,47.918,53.5,30.432
4.301,1,27,2,2,4.8,4.8,370.43,43.425,42,44,48.091,40.5,27.551
5.523,1,21,2,1,6.5,3.2,300.33,32.447,31,32,35.636,41.9,21.255
4.301,1,23,2,1,5.4,2.7,328.39,38.214,37,38,42.467,40.5,24.309
4.301,1,25,3,1,6.5,2.2,329.51,45.545,46,48,51.776,39.1,28.234
5.032,1,21,3,1,10.0,3.3,269.35,30.244,30,32,33.285,46.7,21.073
4.301,1,22,3,1,7.1,2.4,303.47,41.662,42,43,47.361,38.1,25.707
4.456,1,18,3,1,11.5,3.8,243.31,26.36,26,27,28.87,46.2,18.547
6.155,1,22,2,2,6.3,6.3,316.33,33.774,32,33,36.846,40.6,21.97
4.301,1,25,2,1,4.7,2.3,356.45,43.981,43,44,49.297,39.5,27.363
4.301,1,22,3,1,8.1,2.7,287.42,36.894,37,39,41.531,40.5,23.654
6.097,1,24,2,2,6.1,6.1,328.34,34.774,33,35,37.846,42.4,22.97
6.69,1,32,1,3,2.4,7.1,371.38,42.782,42,46,46.373,54.8,30.237
7.469,1,33,1,2,2.3,4.5,387.4,44.851,44,48,48.918,54.5,31.432
6.77,1,32,1,2,2.4,4.8,387.45,42.531,42,46,46.083,54.8,30.709
8.0,1,33,1,2,2.1,4.3,383.44,47.222,47,51,51.994,53.2,32.576
7.569,1,33,1,2,2.2,4.4,401.48,45.414,45,49,49.498,53.3,32.236
6.42,1,32,3,2,7.1,4.8,371.39,42.774,42,46,46.745,52.4,30.038
7.398,1,36,1,2,2.1,4.3,437.41,48.76,47,51,53.013,53.2,33.725
6.74,1,31,1,2,2.4,4.9,375.44,41.531,41,45,45.083,53.7,29.709
