pXC50,N.,nCsp,nTB,Mp,AMW,Mv,nH,Si,nHM,X.,H.,Se,nAT,nBR,nBT,Sp,Mi,Sv,C.
5.2,7.7,0,0,0.688,7.663,0.659,22,58.149,0,0.0,42.3,52.014,52,0,56,35.784,1.118,34.256,46.2
5.2,12.2,0,0,0.73,8.816,0.699,15,45.697,1,0.0,36.6,41.331,41,0,44,29.938,1.115,28.643,46.3
5.2,7.9,0,0,0.698,7.9,0.659,27,70.398,1,0.0,42.9,62.96,63,0,67,43.961,1.117,41.518,44.4
5.2,10.5,0,0,0.629,6.878,0.595,38,86.843,0,0.0,50.0,76.05,76,0,80,47.83,1.143,45.218,35.5
5.2,12.1,0,0,0.675,7.707,0.65,14,37.279,0,0.0,42.4,33.153,33,0,35,22.284,1.13,21.434,42.4
5.2,11.3,0,0,0.7,8.543,0.676,24,69.903,1,1.6,38.7,62.909,62,0,66,43.387,1.127,41.891,43.5
5.2,11.1,0,0,0.644,7.168,0.612,30,72.02,0,1.6,47.6,63.156,63,0,67,40.569,1.143,38.569,38.1
5.2,11.1,0,0,0.668,7.454,0.638,16,40.694,0,0.0,44.4,36.036,36,0,38,24.046,1.13,22.961,41.7
5.7,17.9,0,0,0.726,10.346,0.729,8,31.685,1,3.6,28.6,29.255,28,0,30,20.318,1.132,20.418,42.9
5.2,10.9,0,0,0.655,7.428,0.627,25,62.691,0,1.8,45.5,55.287,55,0,58,36.04,1.14,34.494,40.0
6.9,19.2,0,0,0.765,10.358,0.751,7,29.036,1,0.0,26.9,26.796,26,0,29,19.892,1.117,19.536,46.2
5.2,8.0,0,0,0.704,8.099,0.667,21,55.883,1,2.0,42.0,50.011,50,0,53,35.188,1.118,33.369,46.0
5.2,9.1,0,0,0.631,6.776,0.594,39,87.76,0,0.0,50.6,76.832,77,0,81,48.586,1.14,45.723,36.4
5.2,9.8,0,0,0.71,8.148,0.671,21,56.943,1,0.0,41.2,50.982,51,0,55,36.222,1.117,34.223,45.1
5.2,9.5,0,0,0.746,9.06,0.698,16,46.534,2,0.0,38.1,42.189,42,0,45,31.341,1.108,29.335,45.2
5.7,6.7,0,0,0.732,8.743,0.719,10,33.076,0,0.0,33.3,30.393,30,0,33,21.966,1.103,21.58,53.3
5.3,9.6,0,0,0.669,7.338,0.636,33,82.305,0,0.0,45.2,72.854,73,0,78,48.847,1.127,46.428,42.5
5.2,7.4,0,0,0.664,6.877,0.621,33,76.514,0,0.0,48.5,67.207,68,0,73,45.143,1.125,42.197,42.6
5.2,16.7,0,0,0.744,10.278,0.737,7,26.977,1,4.2,29.2,24.825,24,0,26,17.858,1.124,17.682,45.8
5.2,12.9,0,0,0.733,8.657,0.69,12,34.574,1,0.0,38.7,31.018,31,0,33,22.716,1.115,21.38,45.2
5.2,6.8,0,0,0.698,8.168,0.679,17,49.03,0,0.0,38.6,44.473,44,0,47,30.71,1.114,29.896,47.7
5.2,4.2,0,0,0.678,7.218,0.64,22,53.567,0,0.0,45.8,47.694,48,0,50,32.534,1.116,30.74,45.8
5.2,11.5,0,0,0.721,8.472,0.687,20,58.026,1,0.0,38.5,52.2,52,0,56,37.466,1.116,35.718,46.2
5.2,11.6,0,0,0.696,8.823,0.692,15,48.872,0,4.7,34.9,44.163,43,0,47,29.926,1.137,29.749,46.5
5.2,8.7,0,0,0.687,8.922,0.689,16,52.207,0,4.3,34.8,47.6,46,0,49,31.591,1.135,31.684,45.7
8.2,9.5,0,0,0.686,7.581,0.654,18,47.109,0,0.0,42.9,41.92,42,0,45,28.807,1.122,27.488,45.2
5.2,7.7,1,1,0.659,7.04,0.621,31,73.308,0,0.0,47.7,64.65,65,0,68,42.836,1.128,40.385,41.5
5.2,13.6,0,0,0.682,8.282,0.668,17,50.03,0,2.3,38.6,44.752,44,0,47,29.995,1.137,29.387,43.2
6.0,9.5,0,0,0.702,8.2,0.683,16,46.903,0,0.0,38.1,42.363,42,0,46,29.5,1.117,28.676,47.6
5.2,8.6,0,0,0.677,8.579,0.661,23,65.405,1,0.0,39.7,59.502,58,0,61,39.256,1.128,38.324,39.7
6.5,9.4,0,0,0.652,7.161,0.619,25,60.062,0,0.0,47.2,53.0,53,0,55,34.552,1.133,32.805,39.6
7.1,21.4,0,0,0.812,11.445,0.758,8,31.165,3,0.0,28.6,28.724,28,0,32,22.739,1.113,21.217,39.3
5.2,12.0,0,0,0.672,7.49,0.641,22,56.521,0,0.0,44.0,50.007,50,0,53,33.58,1.13,32.058,42.0
5.8,10.3,0,0,0.729,8.585,0.694,15,43.428,1,2.6,38.5,39.033,39,0,42,28.449,1.114,27.074,48.7
5.2,9.3,1,1,0.681,7.777,0.656,18,48.318,0,0.0,41.9,43.247,43,0,46,29.262,1.124,28.203,44.2
5.2,12.0,0,0,0.688,8.538,0.665,20,56.805,1,4.0,40.0,50.843,50,0,53,34.375,1.136,33.268,42.0
5.2,4.4,0,0,0.682,7.787,0.658,19,50.492,0,2.2,42.2,45.323,45,0,47,30.711,1.122,29.597,46.7
5.5,13.2,0,0,0.659,7.457,0.631,17,43.192,0,0.0,44.7,38.138,38,0,41,25.051,1.137,23.983,39.5
5.2,11.6,0,0,0.629,7.056,0.599,21,49.232,0,0.0,48.8,43.232,43,0,45,27.029,1.145,25.751,34.9
5.2,8.5,0,0,0.689,8.733,0.684,17,53.543,0,6.4,36.2,48.341,47,0,50,32.381,1.139,32.165,46.8
5.2,9.3,0,0,0.722,9.695,0.718,17,61.301,1,7.4,31.5,56.032,54,0,58,38.972,1.135,38.756,48.1
5.9,10.0,0,0,0.684,7.26,0.644,18,44.9,0,0.0,45.0,39.592,40,0,43,27.353,1.122,25.773,45.0
5.2,10.8,0,0,0.696,8.088,0.662,27,72.979,1,0.0,41.5,65.28,65,0,69,45.211,1.123,43.034,43.1
5.2,12.9,1,1,0.722,9.25,0.701,11,34.807,1,3.2,35.5,31.593,31,0,33,22.381,1.123,21.735,45.2
5.2,11.8,0,0,0.704,8.481,0.675,20,57.235,1,0.0,39.2,51.527,51,0,54,35.921,1.122,34.433,43.1
5.2,4.2,0,0,0.678,7.218,0.64,22,53.567,0,0.0,45.8,47.694,48,0,50,32.534,1.116,30.74,45.8
5.2,9.1,0,0,0.705,7.979,0.679,13,36.78,0,0.0,39.4,33.051,33,0,35,23.279,1.115,22.413,48.5
5.2,11.5,0,0,0.719,8.818,0.694,19,58.365,1,1.9,36.5,52.712,52,0,56,37.404,1.122,36.101,46.2
5.2,7.4,0,0,0.702,8.38,0.688,10,30.076,0,0.0,37.0,27.393,27,0,29,18.966,1.114,18.58,48.1
5.2,11.9,0,0,0.666,8.081,0.653,17,47.611,0,0.0,40.5,42.793,42,0,45,27.96,1.134,27.412,40.5
7.5,5.4,0,0,0.719,8.822,0.69,14,41.036,1,0.0,37.8,37.564,37,0,39,26.591,1.109,25.535,45.9
5.2,11.8,0,0,0.725,10.154,0.69,13,38.12,1,2.9,38.2,34.382,34,1,36,24.637,1.121,23.46,44.1
5.2,12.9,1,1,0.637,7.558,0.618,14,35.488,0,0.0,45.2,31.48,31,0,31,19.739,1.145,19.149,35.5
5.2,13.9,0,0,0.727,8.984,0.698,13,40.282,1,0.0,36.1,36.447,36,0,40,26.176,1.119,25.116,44.4
5.2,10.6,0,0,0.657,7.316,0.626,39,96.341,0,0.0,45.9,85.152,85,0,91,55.836,1.133,53.239,40.0
5.2,9.4,0,0,0.686,7.5,0.652,23,59.438,0,0.0,43.4,52.789,53,0,57,36.336,1.121,34.563,45.3
5.2,9.8,0,0,0.665,7.57,0.639,18,46.318,0,0.0,43.9,41.247,41,0,43,27.262,1.13,26.203,41.5
5.4,7.1,0,0,0.753,9.726,0.73,9,31.127,1,3.6,32.1,28.654,28,0,30,21.097,1.112,20.435,50.0
5.2,5.8,0,0,0.68,8.451,0.671,20,59.085,0,5.8,38.5,53.334,52,0,55,35.353,1.136,34.912,46.2
5.7,10.8,0,0,0.681,9.086,0.646,28,73.655,2,1.5,43.1,66.047,65,1,68,44.233,1.133,42.016,36.9
5.2,6.7,0,0,0.689,7.676,0.66,19,50.235,0,0.0,42.2,45.029,45,0,47,31.017,1.116,29.708,46.7
5.2,11.5,0,0,0.671,8.432,0.664,20,59.41,0,3.8,38.5,53.36,52,0,55,34.909,1.142,34.539,42.3
5.2,12.8,0,0,0.676,8.052,0.658,19,53.445,0,2.1,40.4,47.636,47,0,51,31.756,1.137,30.914,42.6
5.2,14.3,0,0,0.671,7.653,0.645,24,63.517,0,0.0,42.9,56.211,56,0,60,37.591,1.134,36.1,41.1
5.2,8.5,0,0,0.676,7.213,0.638,27,66.268,0,0.0,45.8,58.556,59,0,62,39.858,1.123,37.617,44.1
5.4,2.9,0,0,0.744,10.535,0.716,12,37.459,1,2.9,35.3,34.614,34,1,36,25.29,1.102,24.352,50.0
5.2,10.6,0,0,0.697,8.244,0.679,18,52.947,0,2.1,38.3,47.534,47,0,50,32.75,1.127,31.893,46.8
5.2,11.8,0,0,0.666,8.305,0.633,15,38.954,1,2.9,44.1,34.625,34,0,35,22.631,1.146,21.532,35.3
5.2,16.7,0,0,0.708,8.843,0.702,8,27.033,0,0.0,33.3,24.502,24,0,26,17.0,1.126,16.854,45.8
5.2,14.6,0,0,0.708,9.825,0.709,13,46.899,1,7.3,31.7,42.705,41,0,44,29.029,1.144,29.071,43.9
5.2,8.9,2,1,0.736,8.493,0.7,21,61.943,1,0.0,37.5,55.982,56,0,60,41.222,1.106,39.223,50.0
7.3,10.4,0,0,0.663,8.696,0.665,18,55.251,0,6.3,37.5,49.771,48,0,51,31.841,1.151,31.901,41.7
5.2,6.6,0,0,0.694,7.583,0.661,26,67.979,0,0.0,42.6,60.781,61,0,65,42.307,1.114,40.31,47.5
5.2,7.1,0,0,0.71,7.795,0.678,17,46.611,0,0.0,40.5,41.818,42,0,45,29.801,1.11,28.467,50.0
6.3,13.0,0,0,0.709,7.967,0.68,18,51.481,0,0.0,39.1,45.912,46,0,50,32.603,1.119,31.289,47.8
5.2,4.3,0,0,0.649,6.445,0.599,24,51.773,0,0.0,52.2,45.251,46,0,48,29.841,1.126,27.552,41.3
5.2,8.2,0,0,0.671,7.888,0.636,22,55.278,1,0.0,44.9,49.418,49,0,51,32.887,1.128,31.158,38.8
5.2,11.1,3,2,0.737,8.676,0.72,12,39.863,0,0.0,33.3,36.269,36,0,39,26.523,1.107,25.908,52.8
5.2,8.3,0,0,0.661,7.093,0.624,17,40.611,0,0.0,47.2,35.818,36,0,37,23.801,1.128,22.467,41.7
5.2,11.3,0,0,0.643,6.915,0.606,26,60.351,0,0.0,49.1,52.774,53,0,55,34.103,1.139,32.111,37.7
5.5,5.9,0,0,0.749,9.777,0.712,12,37.541,2,0.0,35.3,34.756,34,0,36,25.477,1.104,24.195,44.1
5.2,10.3,0,0,0.737,9.37,0.714,10,32.309,1,3.4,34.5,29.491,29,0,31,21.375,1.114,20.714,48.3
5.2,7.1,0,0,0.688,7.581,0.657,12,31.282,0,0.0,42.9,27.949,28,0,29,19.273,1.117,18.392,46.4
5.2,12.5,0,0,0.712,8.719,0.686,18,53.82,1,0.0,37.5,48.643,48,0,51,34.159,1.121,32.906,43.8
5.2,11.1,0,0,0.662,7.306,0.63,37,91.716,0,0.0,45.7,80.941,81,0,87,53.62,1.132,50.997,40.7
5.2,4.1,0,0,0.684,7.316,0.648,22,54.567,0,0.0,44.9,48.694,49,0,52,33.534,1.114,31.74,46.9
