pXC50,nCIR,LLS_02,TRS,nCIC,SssNH,ATSC5e,nR.Cs,Eig04_AEA.dm.,DELS,SpMax3_Bh.i.,X1A,CATS2D_04_DL,Eig02_AEA.bo.,C.003,nCrt,ATSC5s,Eig09_EA.bo.,Eig09_AEA.bo.,nHDon,MATS4e,N.067,nRNHR,Hy,MATS4s,ATS8e,CATS2D_03_DL,MATS1v,Eig09_EA.ed.,SM04_AEA.ri.,ATSC8v,H.050,SpMax3_Bh.m.,Eig08_AEA.bo.,Eig11_AEA.ri.,DLS_02,Eig10_EA,SM04_AEA.dm.,ATSC7p,Eig10_AEA.ri.,ATS7s,Eig10_EA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,nCt,ATSC8p,CATS2D_05_DL,ATS4s,NssNH,ATSC7i,ATSC7e,Xindex,MPC10,Eig14_AEA.ed.,Eig11_EA.bo.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,CATS2D_04_DA,CATS2D_07_DD,Vindex,ATS5s,CATS2D_02_DL,Eig12_AEA.ed.,SM02_AEA.bo.,ATS6v
9.0,11,0.88,29,5,6.393,0.64,2,3.31,30.718,3.893,0.424,7,4.558,4,4,92.125,1.755,2.689,2,0.004,0,0,0.129,0.003,5.117,7,0.059,4.515,4.515,19.281,2,3.776,2.974,2.132,1.0,1.242,1.242,15.192,2.228,6.019,1.222,3.056,3.056,4,13.26,4,6.329,2,1.87,0.357,0.273,5.82,3.175,1.256,3.715,5.715,3.715,1,0,0.176,6.365,6,3.532,5.078,4.257
9.0,11,0.88,29,5,6.355,0.612,2,3.31,30.564,3.898,0.421,8,4.558,4,4,93.139,1.737,2.687,4,-0.006,0,0,1.531,0.012,5.087,8,0.094,4.514,4.514,19.14,4,3.775,2.974,2.13,1.0,1.216,1.216,14.453,2.21,5.997,1.208,3.034,3.034,4,12.69,4,6.312,2,1.819,0.358,0.279,5.802,3.175,1.256,3.715,5.715,3.715,0,0,0.181,6.339,8,3.531,5.059,4.225
8.658,12,0.63,35,6,6.493,0.577,2,3.31,29.011,3.917,0.422,7,4.558,4,4,92.382,1.973,2.974,2,-0.037,0,0,0.049,-0.005,5.156,8,0.075,4.518,4.518,21.198,2,3.797,3.19,2.202,0.5,1.593,1.593,16.453,2.59,6.058,1.588,4.503,4.503,4,14.735,5,6.388,2,2.079,0.341,0.221,5.932,3.498,1.656,3.715,5.715,3.715,0,0,0.139,6.426,6,3.977,5.231,4.349
9.699,11,0.75,29,5,6.363,0.636,2,3.31,30.517,3.89,0.421,6,4.558,4,4,96.453,1.659,2.685,2,-0.036,0,0,0.144,-0.006,5.05,8,0.07,4.515,4.515,19.262,2,3.793,2.974,2.0,0.83,1.157,1.157,14.945,2.157,5.995,1.151,3.033,3.033,4,13.514,5,6.282,2,1.781,0.398,0.277,5.796,3.175,1.261,3.715,5.715,3.715,0,0,0.179,6.317,6,3.531,5.059,4.216
9.0,11,0.88,29,5,6.2,0.72,2,3.316,34.396,3.89,0.421,8,4.559,4,4,124.473,1.933,2.82,3,-0.047,0,0,0.801,-0.015,5.102,10,0.086,3.961,3.961,18.865,3,3.773,2.88,2.139,1.0,1.414,1.414,14.549,2.389,6.037,1.37,3.038,3.038,4,13.007,5,6.332,2,1.805,0.362,0.281,5.805,3.175,1.257,3.716,5.716,3.716,0,0,0.182,6.395,6,3.592,5.059,4.223
9.0,11,0.88,29,5,6.265,0.641,2,3.31,33.843,3.89,0.421,8,4.558,4,4,103.505,1.737,2.687,3,0.009,0,0,0.801,0.019,5.076,8,0.086,4.514,4.514,18.747,3,3.774,2.974,2.13,1.0,1.216,1.216,14.508,2.208,5.994,1.203,3.034,3.034,4,12.814,4,6.322,2,1.794,0.356,0.279,5.802,3.175,1.256,3.715,5.715,3.715,0,0,0.181,6.342,8,3.531,5.059,4.218
7.412,10,0.88,23,4,0.0,0.811,2,3.411,33.884,3.845,0.427,0,4.568,5,5,117.302,1.709,2.732,0,-0.029,0,0,-0.831,-0.004,5.509,0,0.032,4.0,4.0,27.165,0,3.694,2.755,2.138,0.83,1.271,1.271,21.355,2.271,6.335,1.27,2.994,2.994,5,17.687,0,6.51,0,2.503,0.553,0.327,5.905,3.173,1.188,3.723,5.723,3.723,0,0,0.214,6.57,0,3.83,5.043,4.5
8.796,12,0.63,35,6,6.393,0.665,2,3.416,39.035,3.919,0.424,7,4.558,4,4,121.415,2.113,2.975,2,-0.049,0,0,0.055,-0.001,5.199,8,0.072,5.323,5.323,22.035,2,3.805,3.251,2.49,0.5,1.595,1.595,17.652,2.593,6.141,1.59,4.515,4.515,4,15.289,4,6.502,2,2.188,0.355,0.213,5.943,3.531,1.659,3.715,5.715,3.715,0,0,0.133,6.501,6,3.981,5.288,4.405
10.0,11,0.63,29,5,5.78,1.138,2,3.416,57.521,3.902,0.42,7,4.568,4,4,210.153,1.971,2.867,2,0.045,0,0,0.162,0.044,5.2,8,0.071,4.515,4.515,19.517,2,3.784,2.975,2.148,0.67,1.45,1.45,15.53,2.439,6.143,1.432,3.659,3.659,4,14.799,4,6.555,2,2.145,0.556,0.272,5.875,3.531,1.616,3.716,5.716,3.716,0,0,0.176,6.562,6,3.946,5.15,4.28
9.699,11,0.63,29,5,6.411,0.602,2,3.311,28.516,3.889,0.421,8,4.558,4,4,88.914,1.737,2.687,2,-0.007,0,0,0.144,0.007,5.053,7,0.068,4.514,4.514,19.912,2,3.814,2.974,2.128,0.67,1.216,1.216,15.682,2.195,5.942,1.159,3.034,3.034,4,14.959,4,6.278,2,1.801,0.328,0.279,5.802,3.175,1.256,3.715,5.715,3.715,0,0,0.181,6.311,6,3.531,5.059,4.226
10.0,12,0.63,35,6,6.585,0.589,2,3.317,29.48,3.913,0.422,9,4.56,4,4,91.873,1.998,2.974,2,-0.033,0,0,0.049,-0.005,5.262,9,0.075,4.515,4.515,24.242,2,3.792,2.979,2.437,0.5,1.533,1.533,18.233,2.53,6.182,1.528,3.789,3.789,4,17.091,6,6.394,2,2.242,0.385,0.235,5.951,3.531,1.658,3.716,5.716,3.716,0,0,0.151,6.464,6,3.949,5.231,4.437
7.609,11,0.75,29,5,3.235,0.576,2,3.353,26.424,3.892,0.422,2,4.567,4,4,83.918,1.66,2.685,1,-0.068,0,0,-0.448,-0.035,5.13,4,0.052,3.964,3.964,20.655,1,3.768,2.916,2.0,1.0,1.16,1.16,16.997,2.16,6.029,1.157,2.855,2.855,4,14.036,2,6.337,1,2.046,0.362,0.286,5.82,3.199,1.309,3.718,5.718,3.718,0,0,0.186,6.367,3,3.531,5.059,4.314
10.0,11,0.75,29,5,6.063,0.777,2,3.322,37.883,3.894,0.421,7,4.559,4,4,144.826,1.933,2.82,2,-0.041,0,0,0.144,-0.012,5.075,8,0.075,3.961,3.961,17.92,2,3.776,2.88,2.139,1.0,1.414,1.414,14.601,2.376,6.068,1.342,3.038,3.038,4,12.941,4,6.342,2,1.977,0.375,0.281,5.805,3.175,1.257,3.716,5.716,3.716,0,0,0.182,6.415,5,3.592,5.059,4.213
8.222,4,0.88,24,4,0.0,0.536,1,2.781,27.912,3.849,0.446,2,4.127,3,2,76.826,1.5,2.5,1,0.023,0,0,-0.465,0.025,5.37,1,0.045,2.88,2.88,27.311,1,3.686,2.732,2.0,0.83,1.164,1.164,21.634,2.179,6.105,1.171,2.845,2.845,3,18.585,2,6.194,0,2.522,0.399,0.265,4.86,3.247,1.317,3.162,5.162,3.162,0,0,0.165,6.278,1,3.414,4.987,4.404
6.585,9,0.75,30,5,0.0,0.358,1,2.92,27.552,3.84,0.422,2,4.196,3,3,54.514,1.745,2.751,1,-0.076,0,0,-0.429,-0.055,4.714,2,0.069,2.957,2.957,14.376,1,3.7,3.0,1.984,1.0,1.0,1.0,12.705,2.0,5.595,1.0,2.487,2.487,3,9.957,1,6.155,0,1.48,0.234,0.247,5.153,3.396,1.183,3.577,5.577,3.577,0,0,0.154,5.9,1,3.414,4.98,3.958
6.081,4,0.88,24,4,0.0,0.404,1,2.868,27.151,3.841,0.445,2,4.195,0,0,73.355,1.758,2.76,1,-0.123,0,0,-0.425,-0.05,4.902,2,0.019,2.88,2.88,18.314,1,3.729,2.781,2.0,1.0,1.142,1.142,14.981,2.145,5.911,1.132,2.808,2.808,0,12.827,1,6.084,0,1.806,0.277,0.272,4.828,3.247,1.5,2.994,4.994,2.994,0,0,0.17,6.069,1,3.414,5.066,4.185
6.886,4,0.88,24,4,0.0,0.769,1,2.895,32.918,3.849,0.446,1,4.264,3,2,89.916,1.686,2.696,1,-0.031,0,0,-0.442,-0.026,5.457,2,0.032,2.952,2.952,29.505,1,3.687,2.786,2.153,0.67,1.259,1.259,22.61,2.268,6.268,1.252,2.88,2.88,3,19.746,1,6.276,0,2.648,0.657,0.273,4.934,3.247,1.317,3.162,5.162,3.162,0,0,0.171,6.338,1,3.414,5.021,4.468
6.367,9,0.88,30,5,0.0,0.347,0,3.012,32.073,3.853,0.422,2,4.17,3,3,57.32,1.744,2.751,1,-0.091,0,0,-0.394,-0.07,4.798,2,0.057,2.957,2.957,14.016,1,3.696,3.0,1.984,1.0,1.0,1.0,12.386,2.0,5.54,1.0,2.487,2.487,3,9.745,0,6.174,0,1.443,0.213,0.247,5.153,3.396,1.145,3.577,5.577,3.577,0,0,0.154,5.897,1,3.414,4.959,3.947
6.678,9,0.75,30,5,0.0,0.652,1,3.06,39.365,3.842,0.422,1,4.331,3,3,129.144,1.94,2.82,1,-0.068,0,0,-0.405,-0.054,4.719,2,0.068,3.736,3.736,14.372,1,3.703,3.0,1.984,0.83,1.246,1.246,12.748,2.253,5.739,1.235,2.927,2.927,3,9.957,1,6.248,0,1.598,0.406,0.247,5.198,3.396,1.187,3.577,5.577,3.577,0,0,0.155,6.176,1,3.414,5.014,3.982
6.276,4,0.88,24,4,0.0,0.372,1,2.906,27.498,3.841,0.445,2,4.195,1,0,76.482,1.758,2.76,1,-0.051,0,0,-0.457,-0.023,4.913,2,0.041,2.88,2.88,18.721,1,3.729,2.781,2.0,1.0,1.142,1.142,15.248,2.155,5.911,1.144,2.808,2.808,1,13.198,1,6.096,0,1.819,0.266,0.272,4.828,3.247,1.5,3.162,5.162,3.162,0,0,0.17,6.091,1,3.414,5.066,4.199
8.155,4,0.88,24,4,0.0,0.634,1,2.923,40.116,3.849,0.445,2,4.259,3,2,99.445,1.717,2.721,1,0.007,0,0,-0.442,0.015,5.373,1,0.044,3.638,3.638,27.491,1,3.688,2.832,2.173,0.67,1.317,1.317,21.673,2.317,6.208,1.317,2.88,2.88,3,18.565,1,6.287,0,2.629,0.607,0.267,4.905,3.247,1.317,3.162,5.162,3.162,0,0,0.167,6.363,1,3.414,5.021,4.424
10.0,4,0.63,24,4,0.0,3.863,0,3.674,129.402,3.927,0.428,13,5.061,0,7,444.814,2.849,3.606,9,-0.039,0,0,5.135,-0.011,6.079,13,0.062,7.178,7.178,43.45,9,3.861,3.798,2.816,0.33,2.221,2.221,29.225,3.188,7.145,2.138,6.618,6.618,7,31.033,9,7.34,0,3.492,2.366,0.293,5.846,4.796,2.481,3.983,5.983,3.983,9,2,0.187,7.228,9,5.168,5.541,4.899
6.331,7,1.0,24,4,0.0,0.604,1,3.321,37.173,3.794,0.437,0,4.267,0,0,78.972,1.792,2.762,0,-0.232,0,0,-0.785,-0.19,4.344,0,-0.001,3.421,3.421,7.961,0,3.715,2.929,2.075,1.0,1.146,1.146,8.083,2.135,5.834,1.12,3.033,3.033,0,6.537,0,6.106,0,0.967,0.554,0.284,5.231,2.784,1.466,3.146,5.146,3.146,0,0,0.179,6.007,0,3.457,5.024,3.819
5.456,4,1.0,24,4,0.0,0.581,1,3.031,32.026,3.841,0.446,1,4.348,1,0,90.867,1.908,2.781,1,-0.069,0,0,-0.442,-0.048,5.077,2,0.027,2.952,2.952,22.084,1,3.729,2.884,2.153,1.0,1.259,1.259,16.977,2.268,6.111,1.252,2.88,2.88,1,15.309,1,6.176,0,2.032,0.495,0.273,4.934,3.247,1.5,3.162,5.162,3.162,0,0,0.171,6.247,1,3.414,5.115,4.312
5.959,4,0.88,24,4,0.0,0.303,1,2.954,27.615,3.85,0.446,2,4.196,1,0,66.731,1.772,2.774,1,-0.079,0,0,-0.465,-0.074,4.948,2,0.04,2.919,2.919,18.405,1,3.729,2.781,2.0,0.83,1.221,1.221,13.763,2.226,5.972,1.209,2.88,2.88,1,13.272,1,6.079,0,1.736,0.298,0.26,4.796,3.247,1.5,3.038,5.038,3.038,0,0,0.161,6.068,1,3.414,5.085,4.179
7.959,4,0.88,24,4,0.0,0.856,1,2.909,40.273,3.849,0.444,1,4.263,3,2,147.448,1.686,2.695,1,-0.029,0,0,-0.434,-0.021,5.351,2,0.045,2.933,2.933,26.924,1,3.687,2.784,2.153,0.83,1.256,1.256,21.168,2.263,6.189,1.246,2.88,2.88,3,18.124,1,6.293,0,2.55,0.616,0.273,4.875,3.247,1.317,3.162,5.162,3.162,0,0,0.171,6.41,1,3.414,5.001,4.388
6.387,4,0.88,24,4,0.0,0.705,1,3.049,39.554,3.841,0.444,1,4.33,1,0,147.055,1.908,2.781,1,-0.071,0,0,-0.434,-0.057,4.917,2,0.041,2.933,2.933,18.715,1,3.729,2.823,2.153,0.83,1.256,1.256,15.315,2.263,6.018,1.246,2.88,2.88,1,13.196,1,6.194,0,1.977,0.471,0.273,4.875,3.247,1.5,3.162,5.162,3.162,0,0,0.171,6.325,1,3.414,5.097,4.218
6.53,7,1.0,24,4,0.0,0.227,1,2.708,24.934,3.791,0.433,0,4.249,0,0,48.607,1.5,2.504,0,-0.192,0,0,-0.83,-0.141,4.153,0,0.015,2.771,2.771,6.951,0,3.707,2.758,1.84,1.0,1.0,1.0,6.919,2.0,5.417,1.0,2.136,2.136,0,5.528,0,5.863,0,0.819,0.178,0.306,5.112,2.663,0.977,3.146,5.146,3.146,0,0,0.195,5.755,0,2.846,4.89,3.651
5.319,6,1.0,18,3,0.0,0.22,1,2.662,22.852,3.581,0.44,0,4.238,0,0,44.505,0.934,2.046,0,-0.207,0,0,-0.797,-0.184,3.932,0,-0.001,1.366,1.366,5.215,0,3.415,2.081,0.757,1.0,0.222,0.222,5.675,1.259,5.207,0.227,0.495,0.495,0,3.89,0,5.763,0,0.664,0.173,0.398,4.796,2.0,-0.26,3.145,5.145,3.145,0,0,0.261,5.623,0,2.446,4.668,3.433
5.678,6,1.0,18,3,0.0,0.193,1,2.662,21.724,3.49,0.437,0,4.237,0,0,37.792,0.312,1.561,0,-0.227,0,0,-0.787,-0.213,3.749,0,-0.003,0.531,0.531,4.003,0,3.368,2.056,0.749,1.0,0.169,0.169,4.645,1.119,5.101,0.161,0.259,0.259,0,3.081,0,5.726,0,0.549,0.177,0.413,4.718,2.0,-0.279,3.145,5.145,3.145,0,0,0.274,5.52,0,2.421,4.64,3.315
5.022,7,1.0,24,4,0.0,0.215,1,2.769,25.013,3.798,0.436,0,4.24,0,0,42.735,1.506,2.524,0,-0.198,0,0,-0.836,-0.177,4.272,0,0.016,3.023,3.023,7.873,0,3.719,2.836,1.845,1.0,1.0,1.0,7.044,2.0,5.51,1.0,2.136,2.136,0,6.166,0,5.913,0,0.842,0.185,0.291,5.081,2.745,0.98,3.145,5.145,3.145,0,0,0.184,5.767,0,2.987,4.913,3.678
7.301,6,1.0,18,3,0.0,0.268,1,2.67,23.756,3.674,0.436,0,4.241,0,0,52.239,0.976,2.056,0,-0.144,0,0,-0.807,-0.118,4.087,0,0.0,2.033,2.033,6.432,0,3.489,2.491,0.76,1.0,0.224,0.224,6.697,1.261,5.312,0.23,0.504,0.504,0,4.702,0,5.83,0,0.777,0.183,0.388,4.868,2.107,-0.249,3.145,5.145,3.145,0,0,0.253,5.723,0,2.532,4.714,3.538
8.418,10,1.0,23,4,3.225,0.553,4,3.256,25.586,3.8,0.42,4,4.311,3,3,82.283,1.247,2.318,1,0.054,0,0,-0.408,0.041,5.087,2,0.041,2.998,2.998,18.866,1,3.614,2.566,1.599,1.0,0.941,0.941,14.984,1.944,5.869,0.94,2.556,2.556,4,12.481,2,6.18,1,1.723,0.348,0.337,5.583,2.697,0.619,3.664,5.664,3.664,0,0,0.222,6.173,4,3.026,4.898,4.101
6.257,7,1.0,24,4,0.0,0.221,1,2.774,25.261,3.794,0.432,0,4.25,0,0,47.608,1.5,2.51,0,-0.164,0,0,-0.836,-0.131,4.253,0,0.016,3.202,3.202,7.459,0,3.712,2.82,1.841,1.0,1.0,1.0,7.184,2.0,5.47,1.0,2.275,2.275,0,6.004,0,5.919,0,0.852,0.155,0.298,5.147,2.709,0.978,3.146,5.146,3.146,0,0,0.189,5.798,0,2.874,4.927,3.684
6.234,7,1.0,24,4,0.0,0.435,1,3.321,36.655,3.794,0.437,0,4.257,0,0,72.833,1.784,2.766,0,-0.246,0,0,-0.785,-0.192,4.313,0,-0.001,3.436,3.436,7.146,0,3.716,2.912,2.0,1.0,1.145,1.145,7.919,2.139,5.58,1.124,3.083,3.083,0,6.053,0,6.109,0,0.935,0.288,0.277,5.215,2.79,1.471,3.146,5.146,3.146,0,0,0.173,5.94,0,3.414,5.024,3.78
5.538,10,1.0,23,4,0.0,0.271,3,2.698,19.309,3.547,0.417,2,4.306,1,1,30.685,0.667,1.73,1,-0.09,0,0,-0.37,-0.085,4.04,4,0.07,1.523,1.523,6.366,1,3.391,2.124,0.694,0.83,0.0,0.0,6.743,0.998,5.163,0.0,0.0,0.0,1,4.502,1,5.833,0,0.762,0.18,0.385,5.176,2.362,-0.307,3.606,5.606,3.606,0,0,0.261,5.666,2,2.491,4.654,3.496
5.337,10,1.0,23,4,0.0,0.251,3,2.936,20.806,3.543,0.417,0,4.328,1,1,34.595,0.674,1.749,0,-0.117,0,0,-0.836,-0.11,3.903,0,0.051,1.523,1.523,5.516,0,3.403,2.136,0.75,0.83,0.0,0.0,6.399,1.034,5.142,0.0,0.0,0.0,1,4.011,0,5.814,0,0.713,0.165,0.385,5.176,2.362,-0.316,3.651,5.651,3.651,0,0,0.261,5.633,0,2.491,4.682,3.457
4.0,10,1.0,23,4,0.0,0.279,1,2.603,22.625,3.525,0.418,3,4.481,1,1,37.857,0.725,1.772,1,-0.094,0,0,-0.37,-0.104,3.908,1,0.086,1.676,1.676,5.08,1,3.342,2.231,0.735,0.83,0.0,0.0,5.894,1.001,5.225,0.0,0.0,0.0,1,3.5,3,5.854,0,0.74,0.193,0.396,5.136,2.356,-0.287,3.658,5.658,3.658,1,0,0.271,5.678,2,2.495,4.682,3.468
6.147,10,0.88,23,4,3.331,0.388,2,2.835,18.849,3.826,0.432,3,4.57,7,5,36.96,1.514,2.532,1,-0.037,0,0,-0.52,-0.008,5.685,4,0.057,3.98,3.98,34.393,1,3.61,2.683,2.033,0.83,1.3,1.3,26.098,2.298,6.312,1.298,3.401,3.401,7,23.657,3,6.318,1,3.026,0.389,0.329,5.835,3.137,1.037,3.733,5.733,3.733,0,0,0.216,6.376,3,3.528,4.977,4.63
6.354,11,0.63,29,5,3.481,0.419,0,3.064,20.678,3.886,0.427,3,4.534,7,5,42.388,1.821,2.78,1,-0.049,0,0,-0.538,-0.035,5.778,4,0.067,4.654,4.654,39.993,1,3.762,3.031,2.299,0.67,1.44,1.44,29.731,2.43,6.444,1.424,3.608,3.608,7,27.688,4,6.387,1,3.463,0.399,0.29,6.136,3.415,1.5,3.738,5.738,3.738,0,0,0.191,6.463,3,3.715,5.109,4.772
8.268,10,0.88,23,4,0.0,0.404,2,2.836,18.341,3.829,0.432,0,4.592,7,5,38.457,1.606,2.61,0,-0.073,0,0,-0.929,-0.036,5.758,0,0.038,4.379,4.379,37.111,0,3.614,2.692,2.073,0.83,1.311,1.311,28.015,2.31,6.37,1.31,3.41,3.41,7,25.566,0,6.386,0,3.24,0.407,0.331,5.924,3.21,1.092,3.74,5.74,3.74,0,0,0.217,6.433,0,3.563,5.011,4.696
5.674,10,0.88,23,4,0.0,0.398,2,2.829,18.094,3.829,0.43,0,4.592,7,5,38.246,1.573,2.579,0,-0.078,0,0,-0.927,-0.042,5.643,0,0.039,4.318,4.318,32.214,0,3.614,2.669,1.913,0.83,1.309,1.309,26.009,2.309,6.311,1.309,3.41,3.41,7,22.105,0,6.367,0,2.976,0.377,0.331,5.872,3.191,0.915,3.739,5.739,3.739,0,0,0.217,6.409,0,3.558,4.99,4.633
5.664,11,0.63,29,5,0.0,0.406,2,3.168,20.246,3.884,0.427,0,4.592,7,5,43.447,1.937,2.851,0,-0.078,0,0,-0.935,-0.043,5.823,0,0.049,4.714,4.714,42.545,0,3.771,3.167,2.31,0.67,1.535,1.535,30.657,2.526,6.475,1.517,3.897,3.897,7,29.528,0,6.423,0,3.574,0.402,0.291,6.215,3.443,1.5,3.744,5.744,3.744,0,0,0.192,6.477,0,3.719,5.156,4.806
6.526,10,0.88,23,4,3.325,0.385,2,2.718,18.04,3.826,0.427,3,4.549,7,5,39.89,1.475,2.562,1,-0.031,0,0,-0.507,-0.018,5.355,4,0.06,3.676,3.676,25.133,1,3.612,2.684,1.886,0.83,1.288,1.288,20.748,2.275,6.105,1.269,3.399,3.399,7,17.223,2,6.28,1,2.387,0.33,0.328,5.71,3.096,0.892,3.732,5.732,3.732,0,0,0.214,6.336,3,3.518,4.934,4.449
6.237,10,0.88,23,4,0.0,0.432,0,2.728,17.912,3.831,0.432,0,4.558,7,5,38.636,1.594,2.599,0,-0.077,0,0,-0.929,-0.049,5.786,0,0.039,4.379,4.379,37.504,0,3.616,2.689,2.073,0.83,1.311,1.311,28.707,2.31,6.394,1.31,3.41,3.41,7,25.814,0,6.419,0,3.31,0.416,0.331,5.924,3.21,1.078,3.74,5.74,3.74,0,0,0.217,6.475,0,3.563,4.99,4.721
