pXC50,S.107,C.044,NaaS,nR05,SRW05,CATS2D_04_PL,NaaN,CATS2D_05_AA,TPSA.Tot.,CATS2D_04_AP,nS,CATS2D_01_AA,P_VSA_i_1,CATS2D_02_AL,D.Dtr05,SM13_EA.bo.,MATS2m,SM12_EA.bo.,Eig01_AEA.bo.,SpMax_AEA.bo.,CATS2D_03_AP,SpMax4_Bh.m.,CATS2D_04_AA,CATS2D_03_DA,CATS2D_07_AA,SpDiam_EA.bo.,nThiazoles,SaaN,SpDiam_AEA.dm.,P_VSA_m_4,Eig02_EA.bo.,SM12_AEA.ri.,Eig01_AEA.dm.,SpMax_AEA.dm.,C.034,SaaS,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,NaaaC,JGI5,SpMax1_Bh.m.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,nHM,SpMax2_Bh.m.,D.Dtr09,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,P_VSA_MR_8,Eig01_AEA.ed.,SpMax_AEA.ed.,CATS2D_07_DA,TRS,P_VSA_MR_7,SM15_EA.bo.,Rperim,CATS2D_04_DL,SRW09,SpDiam_EA.ed.,X2sol,SpMin1_Bh.v.,DLS_06,X5v,SRW07
6.456,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.378,0.089,18.882,4.843,4.843,1,3.713,0,0,0,7.704,0,0.0,6.684,5.807,4.214,4.214,4.684,4.684,0,0.0,4.704,4.704,4.704,0,0.04,4.73,3.377,3.377,3.377,1,4.028,0.0,12.24,12.24,12.24,0.0,7.248,7.248,0,18,7.707,23.423,18,3,0.0,19.754,16.071,2.138,1.0,3.196,0.0
7.796,1,1,1,1,2.398,1,1,2,149.08,0,2,0,37.085,4,96.1,20.605,0.165,19.108,4.837,4.837,3,3.745,0,1,2,7.748,1,4.0,6.665,37.085,4.241,4.241,4.665,4.665,1,0.974,4.748,4.748,4.748,2,0.024,4.784,3.355,3.355,3.355,2,4.155,169.441,11.786,11.786,11.786,31.278,7.132,7.132,1,23,24.492,23.651,21,0,6.862,19.001,17.672,2.116,0.83,3.784,4.727
6.921,0,0,0,0,0.0,3,0,0,98.72,0,1,0,5.807,1,0.0,20.284,0.081,18.8,4.801,4.801,2,3.736,0,0,2,7.66,0,0.0,6.661,5.807,4.214,4.214,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.042,4.728,3.313,3.313,3.313,1,4.028,0.0,11.657,11.657,11.657,0.0,7.111,7.111,1,18,7.707,23.309,18,2,0.0,18.878,16.498,2.135,1.0,3.157,0.0
6.538,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.341,0.052,18.844,4.843,4.843,1,3.704,0,0,0,7.704,0,0.0,6.684,5.807,4.152,4.152,4.684,4.684,0,0.0,4.704,4.704,4.704,0,0.03,4.73,3.377,3.377,3.377,1,4.004,0.0,12.24,12.24,12.24,0.0,7.248,7.248,0,18,7.707,23.389,18,3,0.0,19.754,14.21,2.121,1.0,2.504,0.0
7.108,0,0,0,0,0.0,2,0,0,101.52,0,1,0,62.589,0,0.0,20.24,0.029,18.745,4.809,4.809,1,3.681,0,0,0,7.671,0,0.0,6.662,5.807,4.076,4.076,4.662,4.662,0,0.0,4.671,4.671,4.671,0,0.023,10.695,3.327,3.327,3.327,2,4.727,0.0,11.698,11.698,11.698,56.782,7.118,7.118,0,12,7.707,23.273,12,1,0.0,18.712,13.884,2.103,1.0,2.716,0.0
7.921,1,2,1,1,2.398,1,2,2,210.09,1,3,1,42.893,2,109.663,20.877,0.21,19.357,4.864,4.864,2,3.961,4,2,4,7.717,0,6.812,6.687,42.893,4.661,4.661,4.687,4.687,0,0.492,4.717,4.717,4.717,0,0.026,4.796,3.402,3.402,3.402,3,4.717,0.0,12.511,12.511,12.511,31.278,7.309,7.309,2,17,63.245,23.943,17,2,6.605,19.873,18.816,2.105,0.67,3.643,4.595
7.125,0,0,0,0,0.0,3,0,0,98.72,0,1,0,5.807,1,0.0,20.243,0.046,18.759,4.801,4.801,2,3.726,0,0,2,7.66,0,0.0,6.661,5.807,4.152,4.152,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.032,4.728,3.313,3.313,3.313,1,4.004,0.0,11.657,11.657,11.657,0.0,7.111,7.111,1,18,7.707,23.27,18,2,0.0,18.533,14.637,2.117,1.0,2.458,0.0
8.0,1,0,0,1,2.398,1,0,4,202.46,1,3,1,43.834,3,112.963,20.898,0.259,19.374,4.89,4.89,2,3.825,4,1,4,7.761,0,0.0,7.233,43.834,4.628,4.628,5.233,5.233,0,0.0,4.761,4.761,4.761,0,0.025,4.774,3.417,3.417,3.417,3,4.713,0.0,12.534,12.534,12.534,32.22,7.313,7.313,2,17,13.514,23.973,17,0,6.823,19.941,19.319,2.104,0.5,4.104,4.727
7.409,0,0,0,0,0.0,2,0,0,101.52,0,1,0,5.807,0,0.0,20.336,0.099,18.852,4.809,4.809,1,3.742,0,0,0,7.671,0,0.0,6.663,5.807,4.214,4.214,4.663,4.663,0,0.0,4.671,4.671,4.671,0,0.037,4.729,3.327,3.327,3.327,1,4.029,0.0,11.698,11.698,11.698,0.0,7.118,7.118,0,18,7.707,23.358,18,1,0.0,18.919,16.157,2.137,1.0,3.152,0.0
7.215,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.256,0.032,18.772,4.801,4.801,1,3.742,0,0,0,7.66,0,0.0,6.661,5.807,4.173,4.173,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.034,4.728,3.313,3.313,3.313,1,4.015,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,18,7.707,23.283,18,4,0.0,18.578,15.373,2.128,1.0,3.063,0.0
7.444,1,2,1,1,2.398,1,2,1,155.54,1,2,1,37.085,2,98.534,20.315,0.243,18.824,4.811,4.811,2,3.755,3,2,2,7.673,0,7.22,6.663,37.085,4.214,4.214,4.663,4.663,0,0.723,4.673,4.673,4.673,0,0.039,4.776,3.328,3.328,3.328,2,4.048,0.0,11.699,11.699,11.699,31.278,7.118,7.118,1,17,41.033,23.344,17,0,6.605,18.919,16.519,2.136,0.83,3.323,4.595
7.155,0,0,0,0,0.0,2,0,0,101.52,0,1,0,5.807,0,0.0,20.24,0.115,18.745,4.809,4.809,1,3.432,0,0,0,7.671,0,0.0,6.663,44.956,4.076,4.076,4.663,4.663,0,0.0,4.671,4.671,4.671,0,0.023,4.73,3.327,3.327,3.327,2,3.982,0.0,11.698,11.698,11.698,0.0,7.118,7.118,0,12,46.855,23.273,12,1,0.0,18.712,13.143,2.103,1.0,2.148,0.0
7.301,1,1,1,1,2.398,1,1,0,142.65,0,2,0,37.085,2,63.508,20.565,0.256,19.059,4.837,4.837,2,3.552,0,1,1,7.748,1,3.992,6.665,37.085,4.242,4.242,4.665,4.665,1,0.975,4.748,4.748,4.748,2,0.023,4.784,3.355,3.355,3.355,2,4.157,112.548,11.786,11.786,11.786,31.278,7.132,7.132,2,17,24.492,23.618,15,1,6.862,19.001,14.57,2.102,0.83,3.116,4.727
8.046,1,2,1,1,2.398,1,2,2,210.09,1,3,1,42.893,2,137.223,20.914,0.156,19.402,4.864,4.864,2,3.98,4,2,4,7.717,0,6.871,6.687,42.893,4.661,4.661,4.687,4.687,0,0.494,4.717,4.717,4.717,0,0.029,4.796,3.402,3.402,3.402,3,4.717,0.0,12.511,12.511,12.511,31.278,7.309,7.309,2,23,63.245,23.975,23,2,6.605,19.873,21.251,2.129,0.5,4.692,4.595
6.462,0,0,0,0,0.0,2,0,0,101.52,0,1,0,5.807,0,0.0,20.295,0.089,18.809,4.805,4.805,1,3.721,0,0,2,7.665,0,0.0,6.662,5.807,4.214,4.214,4.662,4.662,0,0.0,4.665,4.665,4.665,0,0.039,4.728,3.32,3.32,3.32,1,4.029,0.0,11.69,11.69,11.69,0.0,7.116,7.116,1,18,7.707,23.322,18,2,0.0,18.91,16.168,2.138,1.0,3.162,0.0
7.125,0,0,0,0,0.0,2,0,0,101.52,0,1,0,62.589,0,0.0,20.336,0.029,18.852,4.809,4.809,1,3.764,0,0,0,7.671,0,0.0,6.662,5.807,4.214,4.214,4.662,4.662,0,0.0,4.671,4.671,4.671,0,0.037,10.695,3.327,3.327,3.327,2,4.727,0.0,11.698,11.698,11.698,56.782,7.118,7.118,0,18,7.707,23.358,18,1,0.0,18.919,17.799,2.137,0.83,4.027,0.0
7.444,0,0,0,0,0.0,2,0,0,101.52,0,1,0,5.807,0,0.0,20.297,0.062,18.814,4.809,4.809,1,3.725,0,0,0,7.671,0,0.0,6.663,5.807,4.152,4.152,4.663,4.663,0,0.0,4.671,4.671,4.671,0,0.027,4.729,3.327,3.327,3.327,1,4.005,0.0,11.698,11.698,11.698,0.0,7.118,7.118,0,18,7.707,23.321,18,1,0.0,18.712,14.295,2.12,1.0,2.459,0.0
7.066,0,0,0,0,0.0,2,0,0,156.07,0,2,0,11.615,0,0.0,20.865,0.091,19.349,4.861,4.861,1,3.749,0,0,4,7.713,0,0.0,6.687,11.615,4.657,4.657,4.687,4.687,0,0.0,4.713,4.713,4.713,0,0.027,4.752,3.399,3.399,3.399,2,4.711,0.0,12.51,12.51,12.51,0.0,7.308,7.308,2,18,29.919,23.931,18,4,0.0,19.876,18.465,2.111,0.83,3.289,0.0
7.721,1,2,1,1,2.398,1,2,1,184.64,1,2,1,37.085,3,119.357,20.289,0.19,18.798,4.81,4.81,2,3.753,3,2,2,7.673,0,6.998,6.663,37.085,4.173,4.173,4.663,4.663,0,0.66,4.673,4.673,4.673,0,0.03,4.776,3.327,3.327,3.327,2,4.03,0.0,11.699,11.699,11.699,31.278,7.118,7.118,2,17,41.033,23.32,17,0,6.605,18.726,17.076,2.127,0.67,3.312,4.595
6.475,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.353,0.047,18.856,4.843,4.843,1,3.708,0,0,0,7.704,0,0.0,6.684,5.807,4.173,4.173,4.684,4.684,0,0.0,4.704,4.704,4.704,0,0.031,4.73,3.377,3.377,3.377,1,4.015,0.0,12.24,12.24,12.24,0.0,7.248,7.248,0,18,7.707,23.4,18,3,0.0,19.754,14.592,2.129,1.0,2.934,0.0
7.301,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.243,0.042,18.759,4.801,4.801,1,3.727,0,0,0,7.66,0,0.0,6.661,5.807,4.152,4.152,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.032,4.728,3.313,3.313,3.313,1,4.004,0.0,11.657,11.657,11.657,0.0,7.111,7.111,2,18,7.707,23.27,18,4,0.0,18.533,14.637,2.12,1.0,2.543,0.0
6.81,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.244,0.052,18.76,4.801,4.801,1,3.711,0,0,0,7.66,0,0.0,6.661,5.807,4.152,4.152,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.03,4.728,3.314,3.314,3.314,1,4.005,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,18,7.707,23.271,18,2,0.0,18.536,14.295,2.12,1.0,2.385,0.0
6.77,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.258,0.047,18.774,4.801,4.801,1,3.717,0,0,0,7.66,0,0.0,6.661,5.807,4.173,4.173,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.031,4.728,3.314,3.314,3.314,1,4.016,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,18,7.707,23.284,18,2,0.0,18.578,14.677,2.129,1.0,2.816,0.0
6.372,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.286,0.122,18.777,4.843,4.843,1,3.406,0,0,0,7.704,0,0.0,6.684,5.807,4.076,4.076,4.684,4.684,0,0.0,4.704,4.704,4.704,0,0.028,4.729,3.377,3.377,3.377,1,3.959,0.0,12.24,12.24,12.24,0.0,7.248,7.248,0,12,7.707,23.344,12,3,0.0,19.754,12.157,2.106,1.0,1.885,0.0
7.26,0,0,0,0,0.0,2,0,0,101.52,0,1,0,5.807,0,0.0,20.309,0.033,18.826,4.809,4.809,1,3.756,0,0,0,7.671,0,0.0,6.662,5.807,4.174,4.174,4.662,4.662,0,0.0,4.671,4.671,4.671,0,0.028,6.88,3.327,3.327,3.327,2,4.726,0.0,11.698,11.698,11.698,45.954,7.118,7.118,0,18,7.707,23.333,18,1,0.0,18.713,15.949,2.128,0.83,3.533,0.0
7.77,1,1,1,1,2.398,1,1,1,139.85,0,2,0,37.085,4,81.069,20.606,0.196,19.109,4.837,4.837,3,3.744,0,1,3,7.748,1,3.989,6.665,37.085,4.242,4.242,4.665,4.665,1,0.933,4.748,4.748,4.748,2,0.026,4.784,3.355,3.355,3.355,2,4.156,142.614,11.786,11.786,11.786,31.278,7.132,7.132,1,23,24.492,23.652,21,0,6.862,19.001,16.623,2.117,1.0,3.638,4.727
7.456,0,0,0,0,0.0,2,0,0,101.52,0,1,0,5.807,0,0.0,20.297,0.03,18.814,4.809,4.809,1,3.751,0,0,0,7.671,0,0.0,6.662,5.807,4.152,4.152,4.662,4.662,0,0.0,4.671,4.671,4.671,0,0.027,6.88,3.327,3.327,3.327,2,4.726,0.0,11.698,11.698,11.698,45.954,7.118,7.118,0,18,7.707,23.321,18,1,0.0,18.712,15.567,2.12,1.0,3.103,0.0
7.149,0,0,0,0,0.0,3,0,0,101.52,0,1,0,5.807,0,0.0,20.182,0.095,18.685,4.801,4.801,1,3.491,0,0,0,7.66,0,0.0,6.661,5.807,4.076,4.076,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.033,4.728,3.313,3.313,3.313,1,3.96,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,12,7.707,23.22,12,4,0.0,18.533,12.938,2.103,1.0,2.015,0.0
7.509,0,0,0,0,0.0,2,0,0,170.06,0,2,0,11.615,0,0.0,21.031,0.03,19.505,4.944,4.944,1,3.981,0,0,0,7.836,0,0.0,6.75,89.912,4.598,4.598,4.75,4.75,0,0.0,4.836,4.836,4.836,0,0.039,4.781,3.505,3.505,3.505,4,4.681,0.0,12.81,12.81,12.81,0.0,7.379,7.379,0,18,91.811,24.118,18,2,0.0,20.871,19.791,2.122,0.67,4.23,0.0
7.481,0,0,0,0,0.0,3,0,0,170.06,0,2,0,11.615,0,0.0,21.007,0.078,19.484,4.946,4.946,1,3.764,0,0,0,7.817,0,0.0,6.769,11.615,4.603,4.603,4.769,4.769,0,0.0,4.817,4.817,4.817,0,0.038,4.773,3.556,3.556,3.556,2,4.68,0.0,13.202,13.202,13.202,0.0,7.494,7.494,0,18,13.514,24.087,18,2,0.0,21.319,19.097,2.133,0.67,4.316,0.0
7.602,1,1,1,1,2.398,1,1,2,149.08,0,2,0,37.085,4,102.576,20.614,0.158,19.117,4.837,4.837,3,3.751,0,1,2,7.748,1,4.014,6.665,37.085,4.241,4.241,4.665,4.665,1,0.978,4.748,4.748,4.748,2,0.026,4.784,3.355,3.355,3.355,2,4.155,180.489,11.786,11.786,11.786,31.278,7.132,7.132,1,23,24.492,23.66,21,0,6.862,19.001,18.054,2.125,0.5,4.219,4.727
7.409,1,1,1,1,2.398,1,1,1,139.85,0,2,0,37.085,4,92.807,20.635,0.218,19.138,4.837,4.837,3,3.758,0,1,3,7.748,1,4.028,6.665,37.085,4.242,4.242,4.665,4.665,1,0.941,4.748,4.748,4.748,2,0.037,4.784,3.355,3.355,3.355,2,4.157,162.266,11.786,11.786,11.786,31.278,7.132,7.132,1,23,24.492,23.679,21,0,6.862,19.006,18.484,2.135,0.83,4.338,4.727
7.481,1,1,1,1,2.398,1,1,2,149.08,0,2,0,37.085,4,77.514,20.564,0.225,19.057,4.837,4.837,3,3.55,0,1,2,7.748,1,3.982,6.665,37.085,4.241,4.241,4.665,4.665,1,0.975,4.748,4.748,4.748,2,0.02,4.784,3.355,3.355,3.355,2,4.155,137.315,11.786,11.786,11.786,31.278,7.132,7.132,1,17,24.492,23.617,15,0,6.862,19.001,15.619,2.098,0.83,3.165,4.727
7.523,1,1,1,1,2.398,1,1,0,142.65,0,2,0,37.085,2,86.938,20.616,0.179,19.119,4.837,4.837,2,3.752,0,1,1,7.748,1,4.039,6.665,37.085,4.242,4.242,4.665,4.665,1,0.981,4.748,4.748,4.748,2,0.028,4.784,3.355,3.355,3.355,2,4.158,152.44,11.786,11.786,11.786,31.278,7.132,7.132,2,23,24.492,23.661,21,1,6.862,19.001,17.005,2.128,0.83,4.165,4.727
8.097,1,0,0,1,2.398,1,0,4,202.46,1,3,1,43.834,3,133.327,20.928,0.205,19.411,4.89,4.89,2,3.827,4,1,4,7.761,0,0.0,7.233,43.834,4.628,4.628,5.233,5.233,0,0.0,4.761,4.761,4.761,0,0.027,4.774,3.417,3.417,3.417,3,4.713,0.0,12.534,12.534,12.534,32.22,7.313,7.313,2,23,13.514,23.997,23,0,6.823,19.941,21.372,2.12,0.5,4.722,4.727
7.076,0,0,0,0,0.0,3,0,0,98.72,0,1,0,5.807,1,0.0,20.256,0.037,18.772,4.801,4.801,2,3.742,0,0,0,7.66,0,0.0,6.661,5.807,4.173,4.173,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.034,4.728,3.313,3.313,3.313,1,4.015,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,18,7.707,23.283,18,2,0.0,18.578,15.373,2.126,1.0,2.982,0.0
7.77,1,2,1,1,2.398,1,2,1,155.54,1,2,1,37.085,2,86.579,20.275,0.227,18.784,4.811,4.811,2,3.739,3,2,2,7.673,0,7.093,6.663,37.085,4.152,4.152,4.663,4.663,0,0.71,4.673,4.673,4.673,0,0.027,4.776,3.328,3.328,3.328,2,4.038,0.0,11.699,11.699,11.699,31.278,7.118,7.118,1,17,41.033,23.307,17,0,6.605,18.727,14.658,2.117,0.83,2.63,4.595
7.013,0,0,0,0,0.0,3,0,0,98.72,0,1,0,5.807,1,0.0,20.256,0.041,18.772,4.801,4.801,2,3.732,0,0,2,7.66,0,0.0,6.661,5.807,4.173,4.173,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.033,4.728,3.313,3.313,3.313,1,4.015,0.0,11.657,11.657,11.657,0.0,7.111,7.111,1,18,7.707,23.283,18,2,0.0,18.578,15.019,2.126,1.0,2.893,0.0
7.301,0,0,0,0,0.0,3,2,0,139.33,0,1,0,5.807,2,0.0,20.28,0.052,18.809,4.801,4.801,1,3.743,2,0,0,7.66,0,8.433,6.661,5.807,4.152,4.152,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.026,4.728,3.314,3.314,3.314,1,4.008,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,24,41.278,23.296,24,3,0.0,18.536,17.43,2.118,1.0,2.778,0.0
7.201,0,0,0,0,0.0,3,0,0,156.07,0,2,0,11.615,0,0.0,20.898,0.045,19.39,4.858,4.858,1,3.775,0,0,0,7.709,0,0.0,6.686,11.615,4.657,4.657,4.686,4.686,0,0.0,4.709,4.709,4.709,0,0.031,4.749,3.394,3.394,3.394,2,4.715,0.0,12.508,12.508,12.508,0.0,7.308,7.308,0,24,29.919,23.956,24,4,0.0,19.853,20.888,2.129,0.67,4.196,0.0
6.478,0,0,0,0,0.0,2,0,0,94.84,0,1,0,5.807,3,0.0,20.028,0.037,18.507,4.801,4.801,0,3.279,0,0,2,7.66,0,0.0,6.661,5.807,3.434,3.434,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.034,4.728,3.313,3.313,3.313,1,3.779,0.0,11.657,11.657,11.657,0.0,7.111,7.111,1,6,5.807,23.097,6,2,0.0,18.533,10.363,2.07,1.0,1.626,0.0
6.903,0,0,0,0,0.0,1,0,0,97.64,0,1,0,5.807,1,0.0,20.095,0.064,18.577,4.809,4.809,0,3.279,0,0,0,7.671,0,0.0,6.663,44.956,3.755,3.755,4.663,4.663,0,0.0,4.671,4.671,4.671,0,0.029,4.73,3.327,3.327,3.327,2,3.954,0.0,11.698,11.698,11.698,0.0,7.118,7.118,0,6,44.956,23.158,6,3,0.0,18.718,10.922,2.06,1.0,1.952,0.0
8.523,1,2,1,1,2.398,0,2,2,177.11,1,3,1,42.893,2,61.286,20.798,0.13,19.263,4.863,4.863,1,3.721,4,2,4,7.717,0,6.738,6.687,42.893,4.661,4.661,4.687,4.687,0,0.539,4.717,4.717,4.717,0,0.035,4.796,3.402,3.402,3.402,3,4.717,0.0,12.511,12.511,12.511,31.278,7.309,7.309,2,11,61.346,23.883,11,2,6.605,19.869,13.283,2.071,0.83,2.745,4.595
7.886,1,1,1,1,2.398,0,1,2,145.2,0,2,0,37.085,6,69.529,20.461,0.18,18.937,4.837,4.837,1,3.5,0,1,2,7.748,1,3.98,6.665,37.085,4.241,4.241,4.665,4.665,1,0.988,4.748,4.748,4.748,2,0.018,4.784,3.355,3.355,3.355,2,4.155,123.898,11.786,11.786,11.786,31.278,7.132,7.132,1,11,22.593,23.537,9,0,6.862,19.001,13.397,1.995,0.67,2.972,4.727
6.959,0,0,0,0,0.0,1,0,0,97.64,0,1,0,5.807,1,0.0,20.095,0.064,18.577,4.809,4.809,0,3.279,0,0,0,7.671,0,0.0,6.663,5.807,3.755,3.755,4.663,4.663,0,0.0,4.671,4.671,4.671,0,0.029,4.729,3.327,3.327,3.327,1,3.818,0.0,11.698,11.698,11.698,0.0,7.118,7.118,0,6,5.807,23.158,6,3,0.0,18.718,10.021,2.065,1.0,1.651,0.0
6.921,1,2,1,1,2.398,0,2,1,206.21,1,3,1,99.675,3,85.345,20.786,0.001,19.254,4.844,4.844,1,4.023,3,2,2,7.697,0,6.809,6.683,42.893,4.673,4.673,4.683,4.683,0,0.599,4.697,4.697,4.697,0,0.036,10.695,3.374,3.374,3.374,4,4.778,0.0,12.404,12.404,12.404,88.06,7.293,7.293,2,11,44.941,23.868,11,2,6.605,19.555,16.56,2.059,0.67,3.188,4.595
