pXC50,N.,nH,Si,nAT,Se,nN,nBT,H.,Sp,AMW,nCsp3,Sv,Mp,nAB,RBN,RBF,Mv,Me,nDB,nBM,nHet,nC
4.301,10.0,22,56.591,50,50.44,5,53,44.0,33.648,7.998,6,32.105,0.673,16,4,0.075,0.642,1.009,1,17,8,20
5.538,6.8,18,50.67,44,45.451,3,46,40.9,28.591,8.304,6,28.385,0.65,12,4,0.087,0.645,1.033,1,13,8,18
5.032,6.0,20,57.085,50,51.334,3,53,40.0,33.353,8.309,6,32.912,0.667,17,4,0.075,0.658,1.027,1,18,8,22
7.638,0.0,36,69.371,61,59.93,0,60,59.0,37.995,6.074,13,33.746,0.623,0,16,0.267,0.553,0.982,5,5,4,21
8.523,0.0,28,51.71,45,44.396,0,44,62.2,26.949,5.92,13,23.639,0.599,0,12,0.273,0.525,0.987,1,1,4,13
5.481,13.3,6,17.036,15,15.298,2,15,40.0,9.989,8.143,0,9.811,0.666,6,1,0.067,0.654,1.02,1,7,3,6
4.481,1.5,39,73.806,65,63.545,1,64,60.0,39.381,5.564,14,35.46,0.606,0,16,0.25,0.546,0.978,5,5,3,23
5.256,2.8,34,80.687,72,71.978,2,75,47.2,47.466,7.148,9,45.046,0.659,18,13,0.173,0.626,1.0,3,21,7,31
5.656,3.9,37,85.6,76,75.963,3,79,48.7,49.233,6.996,12,46.594,0.648,18,15,0.19,0.613,1.0,2,20,8,31
5.061,3.2,30,69.856,62,62.211,2,64,48.4,39.943,7.074,9,37.992,0.644,12,12,0.188,0.613,1.003,3,15,7,25
5.614,4.5,31,75.355,67,67.312,3,70,46.3,43.949,7.308,9,42.013,0.656,18,12,0.171,0.627,1.005,2,20,8,28
4.105,3.2,12,34.352,31,31.382,1,33,38.7,22.341,8.83,2,21.439,0.721,15,2,0.061,0.692,1.012,1,16,4,15
5.167,2.5,40,90.932,81,80.629,2,84,49.4,52.75,6.874,12,49.626,0.651,18,16,0.19,0.613,0.995,3,21,7,34
5.136,1.5,37,74.391,66,64.661,1,66,56.1,41.62,5.995,11,37.933,0.631,6,15,0.227,0.575,0.98,5,11,3,26
6.481,0.0,7,20.818,19,19.404,0,20,36.8,13.75,8.524,0,31.873,0.724,10,1,0.05,0.638,1.021,0,10,4,8
7.444,0.0,6,22.043,19,20.498,0,19,31.6,12.869,9.997,1,31.873,0.677,6,1,0.053,0.638,1.079,0,6,6,7
5.12,1.7,37,68.391,60,58.661,1,59,61.7,35.62,5.393,15,31.933,0.594,0,16,0.271,0.532,0.978,3,3,3,20
5.631,1.8,33,62.351,55,53.567,1,54,60.0,33.643,5.519,11,30.165,0.612,0,14,0.259,0.548,0.974,5,5,2,20
5.54,1.6,37,70.391,62,60.661,1,61,59.7,37.62,5.606,13,33.933,0.607,0,16,0.262,0.547,0.978,5,5,3,22
5.65,6.5,34,71.059,62,61.97,4,63,54.8,37.262,6.364,16,34.847,0.601,0,11,0.175,0.562,1.0,4,4,8,20
5.0,7.0,21,48.441,43,42.585,3,45,48.8,28.324,6.87,5,26.52,0.659,12,3,0.067,0.617,0.99,1,13,4,18
8.131,9.4,20,60.666,53,54.654,5,56,37.7,35.603,8.594,5,35.428,0.672,18,4,0.071,0.668,1.031,2,20,10,23
5.42,1.5,39,73.806,65,63.545,1,65,60.0,39.381,5.564,17,35.46,0.606,5,16,0.246,0.546,0.978,2,7,3,23
7.097,2.1,23,53.484,48,47.476,1,50,47.9,32.29,6.947,6,30.246,0.673,17,9,0.18,0.63,0.989,1,18,3,22
7.268,1.5,37,74.6,66,64.989,1,67,56.1,41.074,6.055,15,37.648,0.622,10,17,0.254,0.57,0.985,2,12,4,25
7.796,4.5,37,75.972,67,65.981,3,68,55.2,41.87,6.144,15,38.449,0.625,11,17,0.25,0.574,0.985,2,13,5,25
6.215,1.5,37,74.6,66,64.989,1,67,56.1,41.074,6.055,15,37.648,0.622,10,17,0.254,0.57,0.985,2,12,4,25
8.0,3.0,36,74.474,66,64.879,2,67,54.5,41.864,6.192,15,38.428,0.634,11,15,0.224,0.582,0.983,1,13,4,26
7.229,2.9,40,79.304,70,68.647,2,71,57.1,43.387,5.895,17,39.482,0.62,11,18,0.254,0.564,0.981,1,12,4,26
7.854,4.5,37,75.972,67,65.981,3,68,55.2,41.87,6.144,15,38.449,0.625,11,17,0.25,0.574,0.985,2,13,5,25
5.523,6.5,14,34.907,31,31.16,2,32,45.2,20.489,7.429,4,19.633,0.661,11,5,0.156,0.633,1.005,1,12,4,13
7.31,5.0,20,45.152,40,39.811,2,41,50.0,25.773,6.809,7,24.214,0.644,11,8,0.195,0.605,0.995,1,12,4,16
4.301,1.1,53,100.341,88,86.712,1,88,60.2,52.075,5.634,26,47.292,0.592,0,23,0.261,0.537,0.985,3,3,6,29
7.658,3.4,30,66.228,59,58.229,2,61,50.8,38.58,6.62,10,35.848,0.654,17,13,0.213,0.608,0.987,1,18,4,25
9.854,3.2,34,70.059,62,60.996,2,63,54.8,39.103,6.171,15,35.901,0.631,10,14,0.222,0.579,0.984,1,12,4,24
5.886,6.1,14,36.907,33,33.16,2,34,42.4,22.489,7.706,4,21.633,0.681,11,6,0.176,0.656,1.005,1,13,4,15
7.678,3.1,36,72.474,64,62.879,2,65,56.3,39.864,6.01,15,36.428,0.623,11,16,0.246,0.569,0.982,1,12,4,24
7.886,3.4,32,65.643,58,57.112,2,59,55.2,36.341,6.148,13,33.374,0.627,11,14,0.237,0.575,0.985,1,12,4,22
7.658,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
7.921,3.1,36,73.683,65,64.207,2,66,55.4,40.319,6.163,15,37.143,0.62,10,17,0.258,0.571,0.988,2,12,5,24
8.292,5.0,18,44.737,40,39.927,2,42,45.0,27.012,7.359,5,25.687,0.675,16,7,0.167,0.642,0.998,1,17,4,18
8.046,4.3,24,51.983,46,45.578,2,47,52.2,29.296,6.531,9,27.267,0.637,11,10,0.213,0.593,0.991,1,12,4,18
7.387,2.9,38,76.889,68,66.763,2,69,55.9,42.626,6.039,15,38.955,0.627,11,17,0.246,0.573,0.982,2,13,4,26
8.337,4.5,20,49.362,44,44.138,2,46,45.5,29.228,7.373,6,27.928,0.664,16,9,0.196,0.635,1.003,1,17,5,19
5.0,10.4,20,54.282,48,48.494,5,51,41.7,33.159,8.282,5,31.607,0.691,17,3,0.059,0.658,1.01,1,18,8,20
5.0,8.7,19,51.784,46,46.392,4,49,41.3,32.154,8.315,5,30.585,0.699,17,4,0.082,0.665,1.009,1,18,7,20
7.444,4.5,18,49.543,44,44.88,2,47,40.9,30.517,9.575,6,29.337,0.694,12,1,0.021,0.667,1.02,1,13,7,19
5.0,9.6,21,58.232,52,52.232,5,57,40.4,36.029,7.913,5,34.751,0.693,22,3,0.053,0.668,1.004,1,23,7,24
6.108,9.1,23,61.647,55,55.116,5,60,41.8,37.79,7.737,6,36.278,0.687,22,3,0.05,0.66,1.002,1,23,7,25
7.222,8.6,25,65.062,58,58.0,5,63,43.1,39.551,7.579,7,37.805,0.682,22,4,0.063,0.652,1.0,1,23,7,26
5.0,10.5,24,64.145,57,57.218,6,62,42.1,38.796,7.729,7,37.299,0.681,22,4,0.065,0.654,1.004,1,23,8,25
8.0,10.5,24,64.145,57,57.218,6,62,42.1,38.796,7.729,7,37.299,0.681,22,4,0.065,0.654,1.004,1,23,8,25
5.0,10.5,24,64.145,57,57.218,6,62,42.1,38.796,7.729,7,37.299,0.681,22,4,0.065,0.654,1.004,1,23,8,25
5.0,9.1,23,61.647,55,55.116,5,60,41.8,37.79,7.737,6,36.278,0.687,22,3,0.05,0.66,1.002,1,23,7,25
5.0,8.6,25,65.062,58,58.0,5,63,43.1,39.551,7.579,7,37.805,0.682,22,3,0.048,0.652,1.0,1,23,7,26
5.0,10.5,24,64.145,57,57.218,6,62,42.1,38.796,7.729,7,37.299,0.681,22,4,0.065,0.654,1.004,1,23,8,25
6.523,8.6,25,65.062,58,58.0,5,63,43.1,39.551,7.579,7,37.805,0.682,22,4,0.063,0.652,1.0,1,23,7,26
6.244,10.5,24,64.145,57,57.218,6,62,42.1,38.796,7.729,7,37.299,0.681,22,4,0.065,0.654,1.004,1,23,8,25
6.699,11.9,25,66.644,59,59.32,7,64,42.4,39.801,7.722,7,38.321,0.675,22,4,0.063,0.65,1.005,1,23,9,25
6.658,11.1,24,60.936,54,53.891,6,58,44.4,36.341,7.417,7,34.584,0.673,18,4,0.069,0.64,0.998,1,19,7,23
5.523,9.1,24,62.193,55,55.185,5,59,43.6,37.034,7.591,7,35.473,0.673,18,4,0.068,0.645,1.003,1,19,7,24
5.921,9.1,24,62.193,55,55.185,5,59,43.6,37.034,7.591,7,35.473,0.673,18,4,0.068,0.645,1.003,1,19,7,24
6.921,9.1,24,62.193,55,55.185,5,59,43.6,37.034,7.591,7,35.473,0.673,18,4,0.068,0.645,1.003,1,19,7,24
6.796,9.1,24,61.797,55,54.996,5,59,43.6,37.955,7.891,7,35.917,0.69,18,4,0.068,0.653,1.0,1,19,7,24
6.553,8.6,27,65.268,58,57.556,5,62,46.6,38.858,7.131,8,36.617,0.67,18,4,0.065,0.631,0.992,1,19,6,25
6.469,9.6,22,58.302,52,52.189,5,56,42.3,36.841,8.462,7,34.578,0.708,17,4,0.071,0.665,1.004,1,18,8,22
7.523,11.1,23,61.276,54,54.403,6,58,42.6,36.279,7.75,7,34.968,0.672,18,4,0.069,0.648,1.007,1,19,8,23
5.745,11.8,22,57.441,51,51.083,6,55,43.1,35.228,7.972,7,33.245,0.691,17,4,0.073,0.652,1.002,1,18,8,21
6.553,11.8,21,57.385,51,51.407,6,55,41.2,36.086,8.647,7,34.072,0.708,17,4,0.073,0.668,1.008,1,18,9,21
7.0,11.8,18,58.404,51,52.945,6,55,35.3,35.898,9.705,7,35.222,0.704,17,4,0.073,0.691,1.038,1,18,12,21
7.341,10.5,24,63.856,57,56.967,6,62,42.1,39.989,8.011,7,37.771,0.702,22,4,0.065,0.663,0.999,1,23,8,25
7.184,12.5,24,63.774,56,56.505,7,60,42.9,37.284,7.742,7,35.989,0.666,18,4,0.067,0.643,1.009,1,19,9,23
6.921,9.3,23,60.148,54,53.538,5,59,42.6,38.529,7.881,6,36.035,0.713,26,3,0.051,0.667,0.991,0,26,6,25
7.081,10.9,22,61.231,55,54.756,6,60,40.0,39.773,8.193,6,37.53,0.723,26,4,0.067,0.682,0.996,0,27,7,26
7.125,9.3,23,60.148,54,53.538,5,59,42.6,38.529,7.881,6,36.035,0.713,26,3,0.051,0.667,0.991,0,26,6,25
7.125,8.3,27,66.979,60,59.305,5,65,45.0,42.052,7.561,8,39.089,0.701,26,4,0.062,0.651,0.988,0,26,6,27
7.745,10.3,24,64.647,58,57.64,6,63,41.4,41.534,8.011,7,39.057,0.716,26,4,0.063,0.673,0.994,0,27,7,27
7.276,8.2,27,68.188,61,60.632,5,66,44.3,42.506,7.699,8,39.804,0.697,26,5,0.076,0.653,0.994,0,26,7,27
7.409,8.2,27,68.188,61,60.632,5,66,44.3,42.506,7.699,8,39.804,0.697,26,5,0.076,0.653,0.994,0,26,7,27
5.0,8.2,27,68.188,61,60.632,5,66,44.3,42.506,7.699,8,39.804,0.697,26,5,0.076,0.653,0.994,0,26,7,27
7.328,4.3,39,78.387,69,67.865,3,70,56.5,42.631,5.995,16,38.976,0.618,10,17,0.243,0.565,0.984,2,12,5,25
8.0,3.6,28,62.813,56,55.345,2,58,50.0,36.819,6.724,9,34.321,0.657,17,12,0.207,0.613,0.988,1,18,4,24
4.635,2.9,40,78.095,69,67.319,2,70,58.0,42.932,5.749,16,38.767,0.622,11,17,0.243,0.562,0.976,1,12,3,26
7.638,4.8,20,47.152,42,41.811,2,43,47.6,27.773,7.057,7,26.214,0.661,11,9,0.209,0.624,0.995,1,13,4,18
8.357,4.0,20,55.362,50,50.138,2,54,40.0,35.228,7.929,4,33.928,0.705,23,5,0.093,0.679,1.003,1,24,5,25
7.602,3.8,20,58.78,53,53.793,2,57,37.7,37.136,8.311,4,36.358,0.701,23,6,0.105,0.686,1.015,2,25,7,26
7.252,2.9,38,76.889,68,66.763,2,69,55.9,42.626,6.039,15,38.955,0.627,11,17,0.246,0.573,0.982,2,13,4,26
8.108,3.8,26,59.398,53,52.461,2,55,49.1,35.057,6.84,8,32.794,0.661,17,11,0.2,0.619,0.99,1,18,4,23
7.796,4.5,37,75.972,67,65.981,3,68,55.2,41.87,6.144,15,38.449,0.625,11,17,0.25,0.574,0.985,2,13,5,25
7.678,5.0,16,44.322,40,40.043,2,42,40.0,28.25,7.909,3,27.16,0.706,17,5,0.119,0.679,1.001,1,19,4,20
4.0,1.3,43,88.636,79,77.312,1,81,54.4,50.904,6.149,15,46.514,0.644,17,18,0.222,0.589,0.979,2,19,3,33
7.921,2.2,21,50.279,45,44.92,1,47,46.7,29.983,7.187,6,28.434,0.666,16,9,0.191,0.632,0.998,1,17,4,20
4.0,9.1,8,24.661,22,22.509,2,23,36.4,15.205,8.555,1,15.053,0.691,11,2,0.087,0.684,1.023,1,12,4,10
6.31,1.4,39,77.806,69,67.545,1,70,56.5,43.381,5.937,15,39.46,0.629,11,17,0.243,0.572,0.979,2,13,3,27
6.699,4.4,22,50.291,45,44.472,2,46,48.9,31.591,7.256,7,28.625,0.702,11,6,0.13,0.636,0.988,1,13,5,18
7.108,2.9,38,76.889,68,66.763,2,69,55.9,42.626,6.039,15,38.955,0.627,11,17,0.246,0.573,0.982,2,13,4,26
5.481,4.1,24,54.983,49,48.578,2,51,49.0,32.296,6.867,7,30.267,0.659,17,9,0.176,0.618,0.991,0,17,4,21
4.975,2.9,40,79.304,70,68.647,2,71,57.1,43.387,5.895,16,39.482,0.62,11,17,0.239,0.564,0.981,1,12,4,26
6.733,4.3,22,52.567,47,46.694,2,49,46.8,31.534,7.116,6,29.74,0.671,17,9,0.184,0.633,0.993,1,18,4,21
5.229,6.3,23,54.066,48,47.796,3,50,47.9,31.54,7.03,7,29.762,0.657,17,9,0.18,0.62,0.996,0,17,5,20
4.319,8.0,10,28.076,25,25.393,2,26,40.0,16.966,8.089,2,16.58,0.679,11,3,0.115,0.663,1.016,1,12,4,11
7.796,3.1,36,73.394,65,63.956,2,66,55.4,41.512,6.411,15,37.615,0.639,10,17,0.258,0.579,0.984,2,12,5,24
5.367,6.3,23,54.066,48,47.796,3,50,47.9,31.54,7.03,7,29.762,0.657,17,9,0.18,0.62,0.996,0,17,5,20
8.125,4.0,24,55.983,50,49.578,2,52,48.0,33.296,6.97,7,31.267,0.666,17,10,0.192,0.625,0.992,1,18,4,22
5.066,2.9,40,79.304,70,68.647,2,71,57.1,43.387,5.895,16,39.482,0.62,10,17,0.239,0.564,0.981,2,12,4,26
6.699,5.7,14,38.907,35,35.16,2,37,40.0,24.489,7.952,2,23.633,0.7,17,5,0.135,0.675,1.005,1,18,4,17
8.237,4.5,20,49.072,44,43.887,2,46,45.5,30.421,7.738,6,28.401,0.691,16,9,0.196,0.645,0.997,1,17,5,19
8.658,3.8,28,58.813,52,51.345,2,53,53.8,32.819,6.317,11,30.321,0.631,11,12,0.226,0.583,0.987,1,12,4,20
7.824,4.7,22,48.567,43,42.694,2,44,51.2,27.534,6.661,8,25.74,0.64,11,9,0.205,0.599,0.993,1,12,4,17
8.276,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
8.638,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
4.879,1.5,37,74.311,66,64.738,1,67,56.1,42.268,6.298,15,38.12,0.64,10,17,0.254,0.578,0.981,2,12,4,25
7.26,2.2,21,49.989,45,44.669,1,47,46.7,31.176,7.544,6,28.906,0.693,16,9,0.191,0.642,0.993,1,17,4,20
8.679,4.3,22,52.567,47,46.694,2,49,46.8,31.534,7.116,6,29.74,0.671,17,9,0.184,0.633,0.993,1,18,4,21
6.77,5.4,18,41.737,37,36.927,2,38,48.6,24.012,6.982,6,22.687,0.649,11,7,0.184,0.613,0.998,1,12,4,15
9.538,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
6.027,5.9,16,38.322,34,34.043,2,35,47.1,22.25,7.186,5,21.16,0.654,11,6,0.171,0.622,1.001,1,12,4,14
8.523,4.5,37,75.972,67,65.981,3,68,55.2,41.87,6.144,15,38.449,0.625,11,17,0.25,0.574,0.985,2,13,5,25
6.051,1.5,37,74.311,66,64.738,1,67,56.1,42.268,6.298,15,38.12,0.64,10,17,0.254,0.578,0.981,2,12,4,25
7.046,3.4,34,66.059,58,56.996,2,58,58.6,35.103,5.768,15,31.901,0.605,5,16,0.276,0.55,0.983,2,7,4,20
5.167,6.8,19,49.365,44,44.433,3,46,43.2,30.12,8.124,5,28.61,0.685,17,8,0.174,0.65,1.01,2,19,7,18
5.155,6.5,21,51.571,46,45.989,3,48,45.7,31.426,7.728,6,29.422,0.683,17,9,0.188,0.64,1.0,1,18,6,19
7.921,3.1,36,73.683,65,64.207,2,66,55.4,40.319,6.163,15,37.143,0.62,10,17,0.258,0.571,0.988,2,12,5,24
4.0,3.2,38,71.68,63,61.436,2,63,60.3,38.171,5.502,16,34.24,0.606,5,16,0.254,0.543,0.975,2,7,3,22
5.347,1.6,37,69.391,61,59.661,1,61,60.7,36.62,5.501,17,32.933,0.6,0,16,0.262,0.54,0.978,3,3,3,21
8.143,3.1,36,72.474,64,62.879,2,65,56.3,39.864,6.01,15,36.428,0.623,10,16,0.246,0.569,0.982,2,12,4,24
7.959,3.1,36,72.474,64,62.879,2,65,56.3,39.864,6.01,15,36.428,0.623,10,16,0.246,0.569,0.982,2,12,4,24
8.523,6.5,20,51.595,46,46.236,3,48,43.5,31.637,8.041,4,30.063,0.688,18,7,0.146,0.654,1.005,0,18,6,20
5.658,3.1,36,73.603,65,64.283,2,66,55.4,40.966,6.472,15,37.33,0.63,10,17,0.258,0.574,0.989,2,12,6,23
8.337,4.5,20,49.362,44,44.138,2,46,45.5,29.228,7.373,6,27.928,0.664,16,9,0.196,0.635,1.003,1,17,5,19
5.0,4.4,20,50.491,45,45.542,2,47,44.4,30.33,8.01,6,28.83,0.674,16,9,0.191,0.641,1.012,2,18,7,18
9.48,3.8,24,59.192,53,52.905,2,55,45.3,35.75,7.33,4,33.982,0.675,18,9,0.164,0.641,0.998,2,20,5,24
4.398,2.2,21,51.408,46,46.323,1,48,45.7,31.085,7.815,6,29.336,0.676,16,9,0.188,0.638,1.007,2,18,6,19
4.097,4.7,20,48.072,43,42.887,2,45,46.5,29.421,7.639,6,27.401,0.684,16,9,0.2,0.637,0.997,0,16,5,18
4.886,4.5,37,75.892,67,66.058,3,68,55.2,42.518,6.443,15,38.636,0.635,11,17,0.25,0.577,0.986,2,13,6,24
4.699,4.5,20,49.282,44,44.214,2,46,45.5,29.875,7.829,6,28.116,0.679,16,9,0.196,0.639,1.005,1,17,6,18
4.523,2.2,21,50.199,45,44.996,1,47,46.7,30.631,7.633,6,28.621,0.681,16,9,0.191,0.636,1.0,1,17,5,19
5.481,2.4,19,46.783,42,42.113,1,44,45.2,28.87,7.844,5,27.094,0.687,16,7,0.159,0.645,1.003,2,18,5,18
5.481,6.4,21,52.78,47,47.316,3,49,44.7,31.881,7.904,6,30.137,0.678,17,9,0.184,0.641,1.007,2,19,7,19
5.31,7.0,19,48.155,43,43.105,3,45,44.2,29.665,7.941,5,27.895,0.69,17,8,0.178,0.649,1.002,1,18,6,18
5.097,2.9,38,76.809,68,66.839,2,69,55.9,43.273,6.334,15,39.142,0.636,11,17,0.246,0.576,0.983,2,13,5,25
5.097,7.5,17,44.74,40,40.222,3,42,42.5,27.904,8.186,4,26.369,0.698,17,7,0.167,0.659,1.006,1,18,6,17
4.959,4.3,22,52.487,47,46.771,2,49,46.8,32.182,7.543,6,29.928,0.685,17,9,0.184,0.637,0.995,1,18,5,20
4.796,4.2,22,53.697,48,48.098,2,50,45.8,32.637,7.719,6,30.642,0.68,17,9,0.18,0.638,1.002,2,19,6,20
8.368,4.3,22,52.777,47,47.022,2,49,46.8,30.989,7.201,6,29.455,0.659,12,5,0.102,0.627,1.0,2,14,5,20
5.731,1.8,27,62.315,56,55.243,1,59,48.2,37.813,6.885,7,35.299,0.675,18,6,0.102,0.63,0.986,1,19,3,26
7.209,2.2,23,51.484,46,45.476,1,48,50.0,30.29,6.727,7,28.246,0.658,12,4,0.083,0.614,0.989,1,13,3,20
5.228,4.3,22,52.777,47,47.022,2,49,46.8,30.989,7.201,6,29.455,0.659,12,5,0.102,0.627,1.0,2,14,5,20
6.809,2.2,23,51.484,46,45.476,1,48,50.0,30.29,6.727,7,28.246,0.658,12,4,0.083,0.614,0.989,1,13,3,20
6.248,1.9,25,58.9,53,52.36,1,56,47.2,36.052,7.01,6,33.773,0.68,18,5,0.089,0.637,0.988,1,19,3,25
7.47,4.5,20,49.152,44,43.811,2,46,45.5,29.773,7.282,6,28.214,0.677,12,4,0.087,0.641,0.996,1,14,4,20
8.041,2.1,23,53.694,48,47.803,1,50,47.9,31.745,7.03,7,29.961,0.661,12,5,0.1,0.624,0.996,2,14,4,21
6.837,2.2,20,52.503,46,47.014,1,48,43.5,30.103,7.9,7,29.396,0.654,12,4,0.083,0.639,1.022,1,13,6,20
6.959,1.9,27,58.315,52,51.243,1,54,51.9,33.813,6.49,9,31.299,0.65,12,6,0.111,0.602,0.985,1,13,3,22
7.187,2.3,20,48.409,43,43.105,1,45,46.5,28.466,7.288,6,27.102,0.662,12,4,0.089,0.63,1.002,1,13,4,19
6.377,1.9,25,60.109,54,53.687,1,57,46.3,36.506,7.176,6,34.487,0.676,18,6,0.105,0.639,0.994,1,19,4,25
5.52,4.5,33,75.561,67,66.869,3,70,49.3,43.256,6.92,12,40.825,0.646,12,6,0.086,0.609,0.998,3,15,7,27
8.063,2.3,21,49.279,44,43.92,1,46,47.7,28.983,7.077,6,27.434,0.659,12,4,0.087,0.623,0.998,1,13,4,19
6.444,4.4,22,50.567,45,44.694,2,47,48.9,29.534,6.898,6,27.74,0.656,12,4,0.085,0.616,0.993,1,13,4,19
7.015,2.3,20,48.409,43,43.105,1,45,46.5,28.466,7.288,6,27.102,0.662,12,4,0.089,0.63,1.002,1,13,4,19
7.19,4.4,22,50.567,45,44.694,2,47,48.9,29.534,6.898,6,27.74,0.656,12,4,0.085,0.616,0.993,1,13,4,19
7.577,4.2,22,53.906,48,48.425,2,50,45.8,32.091,7.802,6,30.357,0.669,12,5,0.1,0.632,1.009,3,15,7,19
5.573,7.0,20,48.385,43,42.909,3,45,46.5,29.182,7.671,5,27.348,0.679,12,3,0.067,0.636,0.998,1,13,5,18
7.728,2.0,25,56.109,50,49.687,1,52,50.0,32.506,6.789,8,30.487,0.65,12,6,0.115,0.61,0.994,1,13,4,21
4.674,4.2,24,53.983,48,47.578,2,50,50.0,31.296,6.76,7,29.267,0.652,12,5,0.1,0.61,0.991,1,13,4,20
6.079,0.0,7,20.339,18,18.778,0,18,38.9,12.54,9.678,1,12.107,0.697,6,2,0.111,0.673,1.043,2,8,4,7
5.097,2.6,42,85.719,76,74.53,2,77,55.3,48.148,6.089,13,44.008,0.634,10,17,0.221,0.579,0.981,5,15,4,30
6.432,2.9,40,78.643,69,68.378,2,69,58.0,41.944,6.213,18,38.098,0.608,5,18,0.261,0.552,0.991,3,8,7,22
6.538,2.8,42,82.058,72,71.261,2,72,58.3,43.705,6.149,19,39.625,0.607,5,19,0.264,0.55,0.99,3,8,7,23
5.699,3.5,32,64.982,57,56.843,2,57,56.1,34.898,6.537,14,31.991,0.612,5,14,0.246,0.561,0.997,3,8,7,18
5.62,3.3,34,68.397,60,59.727,2,60,56.7,36.66,6.444,15,33.518,0.611,5,15,0.25,0.559,0.995,3,8,7,19
5.854,2.7,43,83.266,73,72.203,2,73,58.9,44.086,6.079,19,39.888,0.604,5,18,0.247,0.546,0.989,3,8,7,23
5.721,2.6,45,86.681,76,75.087,2,76,59.2,45.847,6.023,20,41.415,0.603,5,19,0.25,0.545,0.988,3,8,7,24
6.255,5.9,24,57.425,51,51.003,3,54,47.1,34.159,7.567,9,32.116,0.67,12,4,0.074,0.63,1.0,1,13,6,21
5.439,5.9,25,57.481,51,50.68,3,54,49.0,33.302,6.892,9,31.289,0.653,12,4,0.074,0.614,0.994,1,13,5,21
6.333,5.9,23,57.765,51,51.516,3,54,45.1,34.097,7.92,9,32.499,0.669,12,4,0.074,0.637,1.01,1,13,7,21
6.146,5.5,26,62.05,55,55.214,3,58,47.3,36.375,7.563,10,34.358,0.661,12,5,0.086,0.625,1.004,1,13,7,22
