pXC50,SsssCH,CATS2D_09_AA,CATS2D_07_AA,CATS2D_04_DL,MATS7e,MATS5e,GATS8s,Eig02_AEA.dm.,SpAD_EA.dm.,ATSC8s,MATS7s,SpMAD_EA.dm.,ATSC6e,GATS8e,SpMax4_Bh.e.,MATS3i,ATSC6s,CATS2D_06_AL,ATSC5s,SpMin2_Bh.e.,SsssN,CATS2D_06_AA,SpMin5_Bh.s.,SpMax4_Bh.v.,SaaS,SpMaxA_EA,SpMax4_Bh.m.,SssssC,SM08_EA.dm.,SM10_EA.dm.,GATS7e,ATSC7s,SpMaxA_EA.ed.,SaaaC,SM06_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Eig05_EA.ri.,MATS8p,MATS5s,ATS7m,Eig10_EA.ri.,HDcpx,IDM,Psi_e_0,Psi_e_1,Eig09_EA.bo.,GATS7s,C.008,MATS8i,Eig11_EA.ri.,MAXDP,SM02_EA.dm.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,ON1,SpMax4_Bh.p.,GATS4v,Eig09_AEA.bo.,IDE
8.0,-0.009,0,1,5,-0.034,0.002,1.238,3.538,9.725,79.739,-0.012,0.198,0.53,1.146,3.889,-0.068,76.289,8,119.975,1.933,4.732,0,1.188,3.731,1.494,0.071,3.804,-0.867,5.486,6.773,1.084,75.495,0.284,2.159,4.259,4.082,6.082,4.082,2.475,0.022,0.039,4.463,1.677,1.825,9.631,16.459,7.114,2.289,1.127,1,0.047,1.434,7.037,2.464,24.219,24.219,24.219,24.219,24.219,9.625,3.711,0.936,3.113,4.175
8.2,-0.017,0,1,5,0.0,0.014,1.173,3.538,10.302,98.564,0.005,0.202,0.655,1.16,3.89,-0.054,90.014,10,121.59,1.934,4.936,0,1.188,3.785,1.489,0.069,3.804,-0.876,5.487,6.773,0.857,80.298,0.272,2.148,4.265,4.082,6.082,4.082,2.475,0.028,0.047,4.528,1.777,1.834,9.751,17.25,7.491,2.473,0.842,1,0.043,1.684,7.062,2.509,25.197,25.197,25.197,25.197,25.197,10.014,3.787,0.946,3.387,4.287
7.9,0.007,0,1,5,-0.008,0.003,1.215,3.538,10.302,78.576,-0.002,0.206,0.597,1.163,3.889,-0.008,76.534,9,116.378,1.933,5.022,1,1.188,3.779,1.499,0.07,3.804,-0.859,5.487,6.773,1.056,72.138,0.278,2.167,4.265,4.082,6.082,4.082,2.475,0.034,0.067,4.496,1.689,1.83,9.691,16.849,7.261,2.289,1.107,1,0.049,1.44,7.059,2.509,24.731,24.731,24.731,24.731,24.731,9.847,3.777,0.955,3.175,4.239
8.2,0.008,0,2,5,-0.015,0.027,1.219,3.538,10.302,76.249,-0.009,0.206,0.582,1.136,3.889,-0.069,77.132,9,113.558,1.933,5.049,0,1.188,3.782,1.5,0.07,3.804,-0.858,5.487,6.773,1.114,74.901,0.278,2.168,4.265,4.082,6.082,4.082,2.475,0.011,0.075,4.496,1.689,1.83,9.691,16.846,7.257,2.289,1.134,1,0.02,1.436,7.06,2.509,24.731,24.731,24.731,24.731,24.731,9.847,3.782,0.929,3.175,4.239
8.4,0.009,0,1,5,-0.025,0.032,1.246,3.538,10.302,79.012,-0.007,0.206,0.541,1.194,3.889,-0.048,74.313,10,116.079,1.933,5.065,0,1.188,3.782,1.5,0.07,3.804,-0.858,5.487,6.773,1.123,75.499,0.278,2.168,4.265,4.082,6.082,4.082,2.475,0.039,0.074,4.498,1.689,1.83,9.691,16.845,7.255,2.289,1.124,1,0.084,1.434,7.06,2.509,24.731,24.731,24.731,24.731,24.731,9.847,3.783,0.951,3.175,4.239
7.7,0.02,0,1,5,-0.007,0.013,1.249,3.538,10.302,73.361,0.002,0.21,0.555,1.201,3.889,-0.075,71.588,10,111.392,1.933,5.119,0,1.188,3.784,3.343,0.071,3.804,-0.85,5.487,6.773,1.104,69.648,0.284,2.175,4.265,4.082,6.082,4.082,2.475,0.035,0.082,4.485,1.688,1.825,9.629,16.496,7.132,2.289,1.137,1,0.064,1.433,7.045,2.509,24.231,24.231,24.231,24.231,24.231,9.597,3.788,0.924,3.158,4.195
8.2,0.02,0,1,5,-0.013,0.026,1.268,3.538,10.302,72.275,0.002,0.21,0.552,1.193,3.889,-0.066,72.674,9,110.975,1.933,5.114,0,1.188,3.785,3.273,0.071,3.804,-0.85,5.487,6.773,1.134,69.48,0.284,2.175,4.265,4.082,6.082,4.082,2.475,0.033,0.08,4.493,1.688,1.825,9.629,16.496,7.132,2.289,1.14,1,0.052,1.432,7.045,2.509,24.231,24.231,24.231,24.231,24.231,9.597,3.788,0.919,3.158,4.195
8.2,0.008,0,2,5,-0.014,0.018,1.215,3.538,10.302,74.725,-0.008,0.21,0.602,0.998,3.89,-0.069,78.018,9,113.304,1.933,5.021,0,1.188,3.78,1.499,0.071,3.804,-0.858,5.487,6.773,1.072,75.841,0.284,2.167,4.265,4.082,6.082,4.082,2.475,0.019,0.073,4.471,1.689,1.825,9.629,16.477,7.122,2.289,1.134,1,0.041,1.433,7.038,2.509,24.231,24.231,24.231,24.231,24.231,9.597,3.772,0.924,3.158,4.195
8.0,0.007,0,1,5,-0.008,-0.003,1.224,3.538,10.302,77.086,-0.001,0.21,0.615,1.114,3.89,-0.016,77.377,8,116.154,1.933,4.994,1,1.188,3.758,1.498,0.071,3.804,-0.858,5.487,6.773,1.047,73.073,0.284,2.166,4.265,4.082,6.082,4.082,2.475,0.04,0.065,4.47,1.689,1.825,9.629,16.473,7.12,2.289,1.111,1,0.055,1.433,7.037,2.509,24.231,24.231,24.231,24.231,24.231,9.597,3.738,0.952,3.158,4.195
7.9,-0.009,0,3,5,-0.022,-0.023,1.161,3.538,10.302,83.234,-0.019,0.206,0.735,1.0,3.889,0.037,84.576,8,120.381,1.933,4.883,2,1.188,3.703,1.494,0.07,3.804,-0.869,5.487,6.773,1.015,74.323,0.278,2.157,4.265,4.082,6.082,4.082,2.475,0.016,0.047,4.501,1.695,1.83,9.691,16.822,7.25,2.36,1.125,1,0.012,1.594,7.049,2.509,24.714,24.714,24.714,24.714,24.714,9.764,3.685,0.976,3.268,4.239
7.2,0.02,0,2,5,-0.025,0.047,1.178,3.538,11.445,73.356,-0.005,0.238,0.67,0.962,3.865,0.01,77.749,9,111.769,1.933,5.106,0,1.188,3.687,1.502,0.073,3.75,-0.851,5.488,6.773,1.114,72.917,0.289,2.174,4.271,4.082,6.082,4.082,2.449,-0.02,0.103,4.499,1.525,1.825,9.624,16.513,7.003,2.223,1.153,1,-0.009,1.43,7.033,2.583,23.696,23.696,23.696,23.696,23.696,9.847,3.681,0.969,3.03,4.247
8.1,0.081,0,1,5,-0.038,0.053,1.052,3.82,14.836,91.13,-0.01,0.291,0.579,1.056,3.889,-0.031,76.863,10,152.312,1.933,4.487,0,1.198,3.745,1.487,0.069,3.804,-0.883,6.127,7.415,1.007,87.686,0.272,2.145,4.887,4.082,6.082,4.082,2.475,0.057,0.032,4.525,1.692,1.835,9.756,17.317,7.556,2.289,0.938,1,0.088,1.443,7.069,2.942,25.176,25.176,25.176,25.176,25.176,10.069,3.737,0.957,3.132,4.248
8.2,-0.045,0,1,5,-0.01,-0.076,1.04,3.715,11.11,91.75,-0.008,0.218,0.585,1.075,3.89,-0.009,79.582,9,147.959,1.933,4.362,1,1.188,3.785,1.484,0.069,3.804,-0.89,5.511,6.782,0.941,87.379,0.272,2.139,4.32,4.082,6.082,4.082,2.475,0.079,-0.037,4.506,1.694,1.835,9.757,17.257,7.507,2.422,0.939,1,0.104,1.459,7.066,2.615,25.143,25.143,25.143,25.143,25.143,10.014,3.787,0.979,3.367,4.234
7.9,0.818,0,0,2,-0.053,0.121,1.463,2.921,8.312,39.292,-0.003,0.297,0.304,1.359,3.636,0.004,32.348,5,58.384,1.858,4.538,0,0.825,3.471,0.0,0.101,3.495,0.0,5.385,6.67,1.144,38.987,0.307,0.0,4.149,3.719,5.719,3.719,2.022,0.167,0.089,3.507,0.965,1.683,8.051,9.725,4.029,1.37,1.046,1,0.197,0.963,5.487,2.315,13.86,13.86,13.86,13.86,13.86,5.861,3.476,1.037,2.382,3.848
8.3,-0.041,0,1,5,-0.042,0.038,1.055,3.794,15.4,92.824,-0.011,0.302,0.556,1.043,3.882,-0.024,77.17,8,153.725,1.933,6.296,0,1.188,3.696,1.485,0.069,3.796,-0.887,5.81,7.041,0.988,90.086,0.272,2.141,4.643,4.082,6.082,4.082,2.475,0.059,0.022,4.526,1.692,1.835,9.756,17.296,7.518,2.289,0.935,1,0.089,1.442,7.065,2.91,25.176,25.176,25.176,25.176,25.176,10.069,3.68,0.957,3.132,4.248
8.4,-0.088,0,1,5,-0.048,0.029,0.947,3.605,11.445,108.555,-0.017,0.22,0.554,0.982,3.89,-0.039,85.316,8,199.837,1.934,5.451,0,1.194,3.784,1.47,0.068,3.804,-0.916,5.487,6.773,0.931,106.353,0.267,2.113,4.267,4.082,6.082,4.082,2.475,0.051,-0.023,4.564,1.696,1.839,9.818,17.908,8.046,2.289,0.847,1,0.086,1.515,7.07,2.558,25.663,25.663,25.663,25.663,25.663,10.181,3.788,0.977,3.176,4.256
7.9,-0.081,0,1,5,-0.047,-0.015,0.976,3.569,9.725,98.234,-0.016,0.203,0.58,0.994,3.89,-0.126,89.5,8,151.36,1.933,5.105,0,1.188,3.784,1.469,0.073,3.804,-0.91,5.485,6.772,0.952,98.913,0.289,2.114,4.256,4.082,6.082,4.082,2.475,-0.011,-0.024,4.492,1.677,1.825,9.634,16.72,7.438,2.289,0.874,1,0.018,1.431,7.002,2.436,23.629,23.629,23.629,23.629,23.629,9.514,3.788,0.911,3.03,4.149
7.8,-0.09,0,1,5,-0.058,-0.006,0.925,3.538,8.925,108.09,-0.039,0.194,0.542,0.958,3.89,-0.025,86.366,8,164.401,1.933,3.561,0,1.188,3.78,1.463,0.076,3.804,-0.915,5.485,6.772,0.946,97.525,0.302,2.105,4.255,4.082,6.082,4.082,2.475,0.018,-0.027,4.462,1.558,1.815,9.503,15.971,7.181,2.289,0.908,1,0.041,1.418,6.939,2.408,22.705,22.705,22.705,22.705,22.705,9.014,3.788,0.984,3.03,4.079
7.9,-0.479,0,1,5,-0.044,-0.001,0.972,4.082,8.925,96.647,-0.016,0.186,0.6,1.003,3.89,-0.08,89.203,10,150.374,1.934,3.931,0,1.188,3.785,1.472,0.073,3.804,-0.906,5.485,6.772,0.967,96.509,0.289,2.118,4.255,4.705,6.705,4.705,2.475,-0.012,-0.014,4.49,1.675,1.825,9.634,16.733,7.474,2.289,0.877,2,0.015,1.433,7.006,2.408,23.629,23.629,23.629,23.629,23.629,9.514,3.788,0.925,3.03,4.149
8.0,-0.071,0,1,5,-0.048,0.003,0.954,4.082,8.925,98.223,-0.024,0.19,0.582,0.985,3.89,-0.018,86.551,9,151.798,1.934,3.908,0,1.188,3.785,1.471,0.075,3.804,-0.904,5.485,6.772,0.963,92.995,0.296,2.119,4.255,4.505,6.505,4.505,2.475,0.003,-0.011,4.476,1.557,1.82,9.569,16.332,7.275,2.289,0.898,1,0.026,1.419,6.98,2.408,23.081,23.081,23.081,23.081,23.081,9.389,3.788,0.976,3.03,4.119
8.0,-0.007,0,1,5,-0.019,0.015,1.198,3.538,14.975,89.984,0.017,0.283,0.625,1.183,3.887,-0.025,76.499,8,121.489,1.933,7.368,0,1.189,3.709,1.499,0.066,3.804,-0.868,5.543,6.801,1.031,92.759,0.262,2.165,4.372,4.082,6.082,4.082,2.475,0.107,0.065,4.586,1.692,1.845,9.881,18.004,7.697,2.289,0.978,1,0.128,1.464,7.139,2.814,26.161,26.161,26.161,26.161,26.161,10.653,3.692,0.954,3.15,4.279
7.8,-0.021,0,1,5,-0.036,0.009,1.048,3.538,11.11,85.448,-0.024,0.253,0.499,1.049,3.85,-0.032,73.85,8,129.836,1.933,4.219,0,1.188,3.668,1.484,0.08,3.742,-0.872,5.511,6.782,1.01,77.754,0.316,2.145,4.32,4.082,6.082,4.082,2.447,0.022,0.021,4.404,1.434,1.804,9.366,14.995,6.484,2.269,1.0,1,0.041,1.405,6.914,2.615,21.658,21.658,21.658,21.658,21.658,8.847,3.66,0.947,3.03,4.009
8.2,0.782,0,1,5,-0.063,0.03,0.985,3.537,11.445,71.433,-0.032,0.234,0.759,0.905,3.888,-0.013,86.904,11,116.651,1.915,5.208,1,1.198,3.74,0.0,0.071,3.784,-0.911,5.488,6.773,1.095,80.141,0.284,1.553,4.271,4.082,6.082,4.082,2.464,0.036,0.086,4.46,1.532,1.825,9.627,16.531,7.168,2.207,1.111,1,0.055,1.511,6.991,2.583,24.247,24.247,24.247,24.247,24.247,9.681,3.739,0.951,3.032,4.209
8.6,0.0,0,0,0,-0.074,0.071,0.745,3.305,8.105,38.777,-0.067,0.238,0.493,0.746,3.609,-0.131,70.079,6,60.078,1.913,4.239,1,0.827,3.433,0.0,0.101,3.518,-0.355,6.463,8.0,0.995,47.143,0.382,1.935,4.963,3.962,5.962,3.962,2.192,-0.103,0.057,3.748,1.119,1.722,8.474,11.195,4.933,1.817,0.874,0,-0.103,1.0,5.59,2.458,16.793,16.793,16.793,16.793,16.793,6.417,3.425,1.053,2.72,3.872
7.3,0.0,0,0,0,-0.372,-0.148,1.644,3.675,11.389,21.935,-0.228,0.393,0.186,1.677,3.508,-0.153,24.733,11,19.908,1.899,1.666,0,0.332,3.403,0.0,0.116,3.631,0.0,10.891,13.446,1.82,30.04,0.417,0.0,8.339,4.595,6.595,4.595,1.924,-0.072,-0.03,3.519,1.0,1.682,7.988,9.223,4.085,1.5,2.026,0,0.033,0.938,6.064,3.414,14.348,14.348,14.348,14.348,14.348,5.389,3.441,0.773,2.5,3.358
