pXC50,nHet,Me,nS,nN,O.,nDB,nH,nC,nBT,N.,nO,nAB,H.,nCsp3,nHM
8.208,5,0.987,0,0,6.1,5,46,31,85,0.0,5,0,56.1,22,0
8.174,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
7.959,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
8.036,4,0.986,0,0,5.6,5,40,28,75,0.0,4,0,55.6,19,0
8.201,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.056,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
8.201,5,0.986,0,0,5.7,5,50,33,91,0.0,5,0,56.8,24,0
8.201,6,0.989,0,0,6.7,5,50,33,92,0.0,6,0,56.2,24,0
8.056,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
8.174,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
8.032,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
7.991,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.056,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
8.056,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
8.076,6,0.99,0,0,7.0,5,48,32,89,0.0,6,0,55.8,23,0
8.167,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.174,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
8.222,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
8.032,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
7.979,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
8.523,3,0.977,0,0,3.2,4,54,36,98,0.0,3,0,58.1,28,0
8.066,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.174,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
8.076,5,0.986,0,0,5.9,5,48,32,88,0.0,5,0,56.5,23,0
7.31,4,0.99,0,0,6.3,2,34,26,65,0.0,4,12,53.1,10,0
8.662,9,1.037,0,0,5.0,2,26,25,61,0.0,3,12,43.3,9,0
8.301,10,1.046,0,0,6.9,2,24,24,59,0.0,4,12,41.4,8,0
8.658,4,0.986,0,0,5.3,0,40,31,77,0.0,4,18,53.3,13,0
9.301,3,0.982,0,0,4.1,0,40,31,76,0.0,3,18,54.1,13,0
7.959,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
7.804,4,0.979,0,0,4.3,3,56,33,95,0.0,4,0,60.2,27,0
7.564,4,0.98,0,0,4.4,3,54,32,92,0.0,4,0,60.0,26,0
7.68,4,0.98,0,0,4.6,3,52,31,89,0.0,4,0,59.8,25,0
8.086,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.076,5,0.986,0,0,5.9,5,48,32,88,0.0,5,0,56.5,23,0
8.174,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
8.208,5,0.987,0,0,6.1,5,46,31,85,0.0,5,0,56.1,22,0
8.201,6,0.989,0,0,6.7,5,50,33,92,0.0,6,0,56.2,24,0
8.201,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.056,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
8.032,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
7.977,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
8.032,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
8.215,6,0.991,0,0,7.2,5,46,31,86,0.0,6,0,55.4,22,0
8.076,6,0.99,0,0,7.0,5,48,32,89,0.0,6,0,55.8,23,0
8.201,6,0.989,0,0,6.7,5,50,33,92,0.0,6,0,56.2,24,0
7.523,4,0.987,0,0,2.6,3,44,28,78,0.0,2,0,57.9,22,0
7.301,6,0.999,0,0,2.5,4,44,30,82,0.0,2,0,55.0,22,0
9.301,4,0.985,0,0,3.9,3,45,28,79,0.0,3,0,58.4,22,0
10.155,4,0.985,0,0,3.9,3,45,28,79,0.0,3,0,58.4,22,0
8.658,4,0.985,0,0,3.9,3,45,28,79,0.0,3,0,58.4,22,0
4.523,3,0.98,0,2,2.0,1,28,18,50,4.1,1,6,57.1,11,0
4.523,4,0.981,0,2,2.0,1,27,18,50,4.1,1,6,55.1,11,1
4.523,3,0.977,0,2,1.7,2,34,22,60,3.4,1,6,57.6,13,0
4.523,3,0.976,0,2,1.6,1,36,22,62,3.3,1,6,59.0,15,0
4.523,4,0.984,0,2,3.5,2,32,21,58,3.5,2,6,56.1,12,0
4.523,4,0.983,0,2,3.3,2,34,22,61,3.3,2,6,56.7,13,0
4.523,4,0.983,0,2,3.4,1,34,21,60,3.4,2,6,57.6,14,0
4.523,4,0.983,0,3,2.0,1,29,18,52,5.9,1,6,56.9,11,0
4.523,5,0.984,0,3,2.0,1,28,18,52,5.9,1,6,54.9,11,1
4.523,4,0.98,0,3,1.6,2,35,22,62,4.9,1,6,57.4,13,0
4.602,4,0.979,0,3,1.6,1,37,22,64,4.8,1,6,58.7,15,0
4.523,4,0.978,0,3,1.5,1,39,23,67,4.5,1,6,59.1,16,0
4.62,4,0.982,0,3,1.6,1,33,24,63,4.9,1,12,54.1,11,0
4.854,6,0.99,0,3,4.3,2,37,27,72,4.3,3,12,52.9,13,0
4.523,6,0.993,0,3,4.7,2,33,25,66,4.7,3,12,51.6,11,0
4.699,8,0.997,0,3,6.4,2,41,29,80,3.8,5,12,52.6,15,0
7.398,5,0.984,0,0,5.7,1,38,27,72,0.0,4,12,54.3,14,1
4.222,11,1.021,1,4,10.7,6,26,19,58,7.1,6,6,46.4,11,1
4.222,10,1.019,1,3,10.9,6,25,20,58,5.5,6,6,45.5,12,1
4.301,10,1.029,1,3,12.5,6,19,19,50,6.3,6,12,39.6,5,1
4.222,10,1.035,1,3,13.6,6,17,17,45,6.8,6,12,38.6,3,1
4.222,10,1.026,1,3,12.0,6,21,19,51,6.0,6,12,42.0,5,1
4.222,10,1.024,1,3,11.1,6,21,23,56,5.6,6,18,38.9,3,1
4.222,10,1.03,1,3,12.8,6,19,18,48,6.4,6,12,40.4,4,1
4.222,11,1.041,1,3,12.8,6,18,18,48,6.4,6,12,38.3,4,1
4.222,11,1.041,1,3,12.8,6,18,18,48,6.4,6,12,38.3,4,1
4.222,10,1.021,1,3,10.5,6,23,24,59,5.3,6,18,40.4,4,1
4.432,10,1.022,1,3,11.1,6,23,21,56,5.6,6,12,42.6,7,1
4.222,10,1.024,1,3,12.2,6,23,16,49,6.1,6,6,46.9,8,1
4.222,11,1.026,1,4,11.3,6,22,20,55,7.5,6,12,41.5,6,1
4.222,12,1.036,1,4,11.3,6,21,20,55,7.5,6,12,39.6,6,1
4.292,12,1.036,1,4,11.3,6,21,20,55,7.5,6,12,39.6,6,1
4.222,14,1.05,1,4,10.7,6,21,21,58,7.1,6,12,37.5,7,1
4.222,10,1.032,1,3,13.6,6,19,15,45,6.8,6,6,43.2,7,1
4.222,10,1.028,1,3,12.8,6,21,16,48,6.4,6,6,44.7,8,1
4.222,11,1.033,1,4,13.0,6,20,15,47,8.7,6,6,43.5,7,1
4.357,10,1.016,1,3,10.3,6,27,21,61,5.2,6,6,46.6,13,1
4.222,10,1.025,1,3,11.8,6,21,20,53,5.9,6,12,41.2,6,1
4.222,10,1.03,1,3,12.8,6,19,18,48,6.4,6,12,40.4,4,1
4.398,10,1.022,1,3,11.3,6,23,20,54,5.7,6,12,43.4,6,1
4.222,10,1.026,1,3,12.0,6,21,19,51,6.0,6,12,42.0,5,1
4.222,11,1.036,1,3,12.0,6,20,19,51,6.0,6,12,40.0,5,1
4.222,11,1.036,1,3,12.0,6,20,19,51,6.0,6,12,40.0,5,1
4.42,10,1.018,1,3,10.0,6,25,25,62,5.0,6,18,41.7,5,1
4.222,10,1.019,1,3,10.5,6,25,22,59,5.3,6,12,43.9,8,1
4.222,10,1.02,1,3,11.5,6,25,17,52,5.8,6,6,48.1,9,1
4.222,11,1.023,1,4,10.7,6,24,21,58,7.1,6,12,42.9,7,1
4.222,11,1.02,1,4,10.2,6,26,22,61,6.8,6,12,44.1,8,1
4.18,12,1.032,1,4,10.7,6,23,21,58,7.1,6,12,41.1,7,1
4.222,12,1.032,1,4,10.7,6,23,21,58,7.1,6,12,41.1,7,1
4.222,14,1.046,1,4,10.2,6,23,22,61,6.8,6,12,39.0,8,1
4.222,10,1.028,1,3,12.8,6,21,16,48,6.4,6,6,44.7,8,1
4.222,10,1.024,1,3,12.0,6,23,17,51,6.0,6,6,46.0,9,1
4.222,10,1.029,1,3,12.5,6,19,19,50,6.3,6,12,39.6,5,1
4.222,10,1.029,1,3,12.5,6,19,19,50,6.3,6,12,39.6,5,1
4.26,10,1.025,1,3,11.8,6,21,20,53,5.9,6,12,41.2,6,1
4.222,10,1.025,1,3,11.8,6,21,20,53,5.9,6,12,41.2,6,1
4.222,10,1.014,1,3,9.8,6,29,22,64,4.9,6,6,47.5,14,1
4.222,10,1.022,1,3,11.1,6,23,21,56,5.6,6,12,42.6,7,1
4.222,10,1.026,1,3,12.0,6,21,19,51,6.0,6,12,42.0,5,1
4.222,10,1.019,1,3,10.7,6,25,21,57,5.4,6,12,44.6,7,1
4.222,10,1.022,1,3,11.3,6,23,20,54,5.7,6,12,43.4,6,1
4.222,11,1.032,1,3,11.3,6,22,20,54,5.7,6,12,41.5,6,1
4.222,11,1.032,1,3,11.3,6,22,20,54,5.7,6,12,41.5,6,1
4.222,10,1.015,1,3,9.5,6,27,26,65,4.8,6,18,42.9,6,1
4.222,10,1.016,1,3,10.0,6,27,23,62,5.0,6,12,45.0,9,1
4.222,11,1.02,1,4,10.2,6,26,22,61,6.8,6,12,44.1,8,1
4.222,11,1.017,1,4,9.7,6,28,23,64,6.5,6,12,45.2,9,1
4.222,12,1.028,1,4,10.2,6,25,22,61,6.8,6,12,42.4,8,1
4.187,12,1.028,1,4,10.2,6,25,22,61,6.8,6,12,42.4,8,1
5.155,14,1.042,1,4,9.7,6,25,23,64,6.5,6,12,40.3,9,1
4.222,10,1.024,1,3,12.0,6,23,17,51,6.0,6,6,46.0,9,1
4.222,10,1.02,1,3,11.3,6,25,18,54,5.7,6,6,47.2,10,1
4.222,10,1.025,1,3,11.8,6,21,20,53,5.9,6,12,41.2,6,1
4.222,10,1.025,1,3,11.8,6,21,20,53,5.9,6,12,41.2,6,1
4.222,10,1.022,1,3,11.1,6,23,21,56,5.6,6,12,42.6,7,1
4.222,10,1.016,1,3,10.3,6,27,21,61,5.2,6,6,46.6,13,1
4.222,10,1.025,1,3,11.8,6,21,20,53,5.9,6,12,41.2,6,1
4.222,10,1.022,1,3,11.3,6,23,20,54,5.7,6,12,43.4,6,1
4.222,10,1.026,1,3,12.0,6,21,19,51,6.0,6,12,42.0,5,1
4.222,11,1.036,1,3,12.0,6,20,19,51,6.0,6,12,40.0,5,1
4.222,11,1.036,1,3,12.0,6,20,19,51,6.0,6,12,40.0,5,1
4.222,10,1.018,1,3,10.0,6,25,25,62,5.0,6,18,41.7,5,1
4.222,10,1.019,1,3,10.5,6,25,22,59,5.3,6,12,43.9,8,1
4.222,11,1.023,1,4,10.7,6,24,21,58,7.1,6,12,42.9,7,1
4.222,11,1.02,1,4,10.2,6,26,22,61,6.8,6,12,44.1,8,1
4.222,12,1.032,1,4,10.7,6,23,21,58,7.1,6,12,41.1,7,1
4.222,12,1.032,1,4,10.7,6,23,21,58,7.1,6,12,41.1,7,1
4.222,14,1.046,1,4,10.2,6,23,22,61,6.8,6,12,39.0,8,1
4.222,10,1.028,1,3,12.8,6,21,16,48,6.4,6,6,44.7,8,1
4.222,10,1.024,1,3,12.0,6,23,17,51,6.0,6,6,46.0,9,1
4.222,10,1.029,1,3,12.5,6,19,19,50,6.3,6,12,39.6,5,1
4.222,10,1.029,1,3,12.5,6,19,19,50,6.3,6,12,39.6,5,1
4.222,10,1.025,1,3,11.8,6,21,20,53,5.9,6,12,41.2,6,1
4.222,10,1.011,1,3,9.2,6,31,24,69,4.6,6,6,47.7,16,1
4.222,10,1.018,1,3,10.3,6,25,23,61,5.2,6,12,43.1,9,1
4.222,10,1.015,1,3,9.4,6,27,27,67,4.7,6,18,42.2,7,1
4.222,10,1.019,1,3,10.5,6,25,22,59,5.3,6,12,43.9,8,1
4.222,11,1.028,1,3,10.5,6,24,22,59,5.3,6,12,42.1,8,1
4.222,11,1.028,1,3,10.5,6,24,22,59,5.3,6,12,42.1,8,1
4.222,10,1.012,1,3,9.0,6,29,28,70,4.5,6,18,43.3,8,1
4.222,10,1.013,1,3,9.4,6,29,25,67,4.7,6,12,45.3,11,1
4.222,10,1.014,1,3,10.2,6,29,20,60,5.1,6,6,49.2,12,1
4.222,11,1.017,1,4,9.5,6,28,24,66,6.3,6,12,44.4,10,1
4.222,11,1.014,1,4,9.1,6,30,25,69,6.1,6,12,45.5,11,1
4.222,12,1.025,1,4,9.5,6,27,24,66,6.3,6,12,42.9,10,1
4.222,12,1.025,1,4,9.5,6,27,24,66,6.3,6,12,42.9,10,1
4.222,10,1.02,1,3,11.1,6,25,19,56,5.6,6,6,46.3,11,1
4.222,10,1.017,1,3,10.5,6,27,20,59,5.3,6,6,47.4,12,1
4.222,10,1.021,1,3,10.9,6,23,22,58,5.5,6,12,41.8,8,1
4.222,10,1.021,1,3,10.9,6,23,22,58,5.5,6,12,41.8,8,1
4.222,10,1.018,1,3,10.3,6,25,23,61,5.2,6,12,43.1,9,1
7.201,3,0.981,0,0,4.2,3,40,29,75,0.0,3,6,55.6,17,0
7.328,3,0.979,0,0,3.9,3,44,29,78,0.0,3,0,57.9,21,0
7.071,3,0.978,0,0,3.8,4,46,29,80,0.0,3,0,59.0,21,0
6.611,4,0.987,0,0,5.8,5,38,27,72,0.0,4,0,55.1,18,0
6.523,4,0.987,0,0,5.8,5,38,27,72,0.0,4,0,55.1,18,0
8.406,5,0.989,0,0,6.7,0,42,28,76,0.0,5,12,56.0,16,0
6.881,5,0.989,0,0,6.7,0,42,28,76,0.0,5,12,56.0,16,0
9.745,3,0.978,0,0,3.9,3,46,28,79,0.0,3,0,59.7,22,0
10.137,4,0.984,0,0,5.1,3,44,31,82,0.0,4,6,55.7,19,0
10.051,4,0.981,1,0,3.8,3,44,31,82,0.0,3,6,55.7,19,1
9.699,3,0.976,0,0,3.5,3,52,31,88,0.0,3,0,60.5,25,0
7.71,5,0.989,0,0,3.6,3,48,30,85,0.0,3,0,57.8,24,0
6.523,4,0.987,0,0,5.8,5,38,27,72,0.0,4,0,55.1,18,0
6.155,5,0.985,0,1,4.7,4,47,34,90,1.2,4,6,54.7,21,0
5.658,5,0.984,0,1,4.3,4,51,36,96,1.1,4,6,55.4,23,0
6.0,5,0.985,0,1,4.9,4,47,30,85,1.2,4,0,57.3,23,0
8.222,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
8.086,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.201,4,0.987,0,0,5.8,5,38,27,72,0.0,4,0,55.1,18,0
8.222,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
8.032,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
8.167,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.032,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
8.076,5,0.986,0,0,5.9,5,48,32,88,0.0,5,0,56.5,23,0
8.201,5,0.986,0,0,5.7,5,50,33,91,0.0,5,0,56.8,24,0
8.174,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
8.222,4,0.984,0,0,5.1,5,44,30,81,0.0,4,0,56.4,21,0
8.201,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.056,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
8.215,6,0.991,0,0,7.2,5,46,31,86,0.0,6,0,55.4,22,0
8.032,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
8.201,5,0.986,0,0,5.7,5,50,33,91,0.0,5,0,56.8,24,0
8.215,6,0.991,0,0,7.2,5,46,31,86,0.0,6,0,55.4,22,0
8.208,5,0.987,0,0,6.1,5,46,31,85,0.0,5,0,56.1,22,0
8.066,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.076,5,0.986,0,0,5.9,5,48,32,88,0.0,5,0,56.5,23,0
8.056,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
8.076,6,0.99,0,0,7.0,5,48,32,89,0.0,6,0,55.8,23,0
8.201,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.222,4,0.987,0,0,5.8,5,38,27,72,0.0,4,0,55.1,18,0
8.174,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
8.222,4,0.984,0,0,5.1,5,44,31,83,0.0,4,0,55.7,22,0
8.215,6,0.991,0,0,7.2,5,46,31,86,0.0,6,0,55.4,22,0
8.201,6,0.989,0,0,6.7,5,50,33,92,0.0,6,0,56.2,24,0
8.086,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
7.959,4,0.986,0,0,5.6,5,40,28,75,0.0,4,0,55.6,19,0
8.959,4,0.985,0,0,3.9,3,45,28,79,0.0,3,0,58.4,22,0
