pXC50,SpMax4_Bh.p.,SpMin3_Bh.s.,SpMax4_Bh.v.,SpMin4_Bh.s.,nCrs,NssNH,SsssN,MATS6m,SssNH,ATSC5v,SM11_EA.dm.,ON1V,Eig04_EA.ri.,ATSC2v,C.008,SpMin4_Bh.i.,ATSC5p,X1Kup,ATSC1p,SM09_EA.dm.,nCONN,X1MulPer,Eig04_AEA.ri.,CATS2D_04_DA,SM15_EA.dm.,X1Per,ATSC4v,Eig04_EA,SM12_AEA.bo.,ATSC3v,ATSC4p,SpMin8_Bh.s.,ATSC2p,ATS1v,Hy,ATSC3i,SM07_EA.dm.,CATS2D_07_AL,SpMax3_Bh.m.,ATS2v,Sp,C.041,ATS2p,P_VSA_p_1,CATS2D_02_DD,CATS2D_05_LL,P_VSA_e_1,P_VSA_m_1,P_VSA_s_2,P_VSA_v_1,Psi_i_1,NRS,C.031,ATSC3p,nBT,X1v,ATS3e,ATSC5i,ATS3p,SpMin5_Bh.s.,SpMin1_Bh.e.,ISIZ,nAT,P_VSA_LogP_7,ATSC4i,P_VSA_e_3,SpMin7_Bh.i.,SpMin8_Bh.m.
8.08,3.371,1.165,3.361,1.042,1,1,2.511,0.139,3.43,15.532,0.082,3.211,2.21,10.926,0,1.529,10.621,8.918,4.724,0.125,0,8.742,3.274,0,0.035,7.244,16.396,2.31,2.31,15.31,11.296,0.226,7.628,3.481,-0.396,1.455,0.188,6,3.694,3.821,32.847,0,3.901,282.506,0,8,282.506,282.506,282.506,282.506,14.679,3,0,10.629,52,9.015,4.844,1.252,4.078,0.931,1.99,282.193,50,282.506,1.432,52.194,0.821,1.181
5.15,2.975,0.665,2.996,0.587,4,2,0.0,-0.054,5.508,8.096,3.009,1.924,1.538,6.306,2,1.27,4.663,5.696,2.166,2.361,0,5.592,2.589,2,4.356,4.648,7.18,1.659,1.659,7.622,4.142,0.0,4.171,3.035,1.306,0.733,1.747,1,3.518,3.356,21.296,1,3.38,153.024,1,0,153.024,153.024,153.024,153.024,9.692,2,0,4.534,35,5.831,4.36,0.702,3.414,0.441,1.676,172.974,34,129.482,0.728,117.437,0.693,0.764
7.44,3.318,1.072,3.314,0.932,0,0,2.418,0.141,0.0,13.588,0.082,2.878,2.21,9.485,0,1.429,9.52,8.273,4.462,0.125,0,8.112,3.274,0,0.035,6.682,13.775,2.311,2.311,12.91,9.78,0.218,7.145,3.424,-0.823,1.235,0.188,6,3.682,3.758,30.534,0,3.816,258.964,0,8,258.964,258.964,258.964,258.964,13.852,3,0,9.415,48,8.385,4.707,1.115,3.951,0.825,1.99,254.084,46,258.964,1.205,34.184,0.838,1.181
8.07,3.372,1.183,3.362,0.947,2,1,2.499,0.139,3.346,14.958,0.082,3.128,2.214,10.928,1,1.558,10.189,8.814,4.724,0.125,0,8.584,3.278,0,0.035,7.141,15.525,2.313,2.313,14.822,10.702,0.222,7.632,3.481,-0.396,1.393,0.188,6,3.715,3.832,32.847,0,3.909,282.506,0,8,282.506,282.506,282.506,282.506,14.722,3,0,10.353,52,8.913,4.804,1.252,4.039,0.9,1.99,282.193,50,282.506,1.36,52.194,1.037,1.181
4.35,2.975,0.665,2.996,0.587,4,2,0.0,-0.054,5.508,8.096,3.009,1.924,1.538,6.306,2,1.27,4.663,5.696,2.166,2.361,0,5.592,2.589,2,4.356,4.648,7.18,1.659,1.659,7.622,4.142,0.0,4.171,3.035,1.306,0.733,1.747,1,3.518,3.356,21.296,1,3.38,153.024,1,0,153.024,153.024,153.024,153.024,9.692,2,0,4.534,35,5.831,4.36,0.702,3.414,0.441,1.676,172.974,34,129.482,0.728,117.437,0.693,0.764
7.52,3.382,1.149,3.37,0.934,3,0,2.311,0.152,0.0,14.153,0.082,3.111,2.214,10.763,1,1.48,10.0,8.792,4.82,0.125,0,8.616,3.277,0,0.035,7.121,15.303,2.313,2.313,14.871,10.753,0.221,7.889,3.479,-0.396,1.38,0.188,7,3.711,3.831,32.296,0,3.904,270.735,0,9,270.735,270.735,270.735,270.735,14.747,3,0,10.709,51,8.883,4.829,1.177,4.043,0.776,1.99,275.121,49,270.735,1.349,34.184,0.941,1.181
6.62,2.532,0.58,2.525,0.418,4,0,0.0,0.007,0.0,4.748,0.0,1.478,0.891,5.292,2,1.037,2.661,4.16,1.962,0.0,0,4.121,1.891,1,0.0,3.382,5.261,0.938,0.938,6.388,3.122,0.0,3.478,2.738,1.555,0.515,0.0,0,3.073,3.097,15.279,0,3.138,117.711,0,0,117.711,117.711,117.711,117.711,7.09,2,0,4.039,26,4.241,4.122,0.395,3.117,0.155,1.663,116.096,25,94.169,0.458,66.468,0.0,0.51
5.785,2.532,0.58,2.525,0.418,4,0,0.0,0.007,0.0,4.748,0.0,1.478,0.891,5.292,2,1.037,2.661,4.16,1.962,0.0,0,4.121,1.891,1,0.0,3.382,5.261,0.938,0.938,6.388,3.122,0.0,3.478,2.738,1.555,0.515,0.0,0,3.073,3.097,15.279,0,3.138,117.711,0,0,117.711,117.711,117.711,117.711,7.09,2,0,4.039,26,4.241,4.122,0.395,3.117,0.155,1.663,116.096,25,94.169,0.458,66.468,0.0,0.51
6.7,2.532,0.58,2.525,0.418,4,0,0.0,0.007,0.0,4.748,0.0,1.478,0.891,5.292,2,1.037,2.661,4.16,1.962,0.0,0,4.121,1.891,1,0.0,3.382,5.261,0.938,0.938,6.388,3.122,0.0,3.478,2.738,1.555,0.515,0.0,0,3.073,3.097,15.279,0,3.138,117.711,0,0,117.711,117.711,117.711,117.711,7.09,2,0,4.039,26,4.241,4.122,0.395,3.117,0.155,1.663,116.096,25,94.169,0.458,66.468,0.0,0.51
7.31,3.006,0.697,3.026,0.663,0,1,0.0,-0.241,2.74,6.207,8.539,2.304,1.448,7.088,1,1.213,3.843,5.529,2.854,6.93,0,5.363,2.475,0,11.71,4.547,7.435,1.512,1.512,8.161,4.54,0.0,4.512,2.974,0.512,0.673,5.289,0,3.391,3.245,21.017,1,3.324,200.109,0,0,200.109,200.109,200.109,200.109,8.341,1,0,5.0,35,5.63,4.353,0.495,3.354,0.452,1.72,179.525,35,176.567,0.602,51.582,0.505,0.951
8.328,3.092,0.776,3.112,0.665,0,1,0.0,-0.151,2.744,7.357,8.539,2.512,1.466,7.944,0,1.249,4.444,6.0,3.195,6.93,0,5.817,2.497,0,11.71,4.941,8.556,1.542,1.542,9.429,5.121,0.122,5.139,3.049,0.468,0.755,5.289,0,3.445,3.331,22.779,1,3.423,223.651,0,0,223.651,223.651,223.651,223.651,9.017,1,0,5.912,38,6.103,4.45,0.577,3.471,0.524,1.763,199.421,38,200.109,0.695,51.582,0.681,1.006
7.284,3.317,1.087,3.313,0.739,0,1,0.0,-0.033,2.849,9.329,8.539,3.054,1.56,9.536,1,1.309,5.833,7.029,3.877,6.93,0,6.832,2.574,0,11.71,5.804,10.527,1.594,1.594,11.265,6.576,0.152,6.186,3.184,0.393,0.901,5.289,2,3.478,3.466,26.302,1,3.577,270.735,0,1,270.735,270.735,270.735,270.735,10.341,1,0,7.077,44,7.13,4.632,0.756,3.636,0.664,1.788,240.215,44,247.193,0.839,51.582,0.929,1.161
7.131,3.317,1.087,3.313,0.739,0,1,0.0,-0.033,2.849,9.329,8.539,3.054,1.56,9.536,1,1.309,5.833,7.029,3.877,6.93,0,6.832,2.574,0,11.71,5.804,10.527,1.594,1.594,11.265,6.576,0.152,6.186,3.184,0.393,0.901,5.289,2,3.478,3.466,26.302,1,3.577,270.735,0,1,270.735,270.735,270.735,270.735,10.341,1,0,7.077,44,7.13,4.632,0.756,3.636,0.664,1.788,240.215,44,247.193,0.839,51.582,0.929,1.161
5.89,3.402,0.917,3.393,0.878,0,2,0.0,-0.078,6.339,11.193,3.477,2.925,1.65,9.479,0,1.394,6.703,8.089,3.503,2.631,0,7.959,2.67,2,5.198,6.675,11.249,1.697,1.697,12.002,6.763,0.169,6.168,3.358,1.039,1.132,1.844,3,3.647,3.638,30.131,1,3.722,235.422,1,1,235.422,235.422,235.422,235.422,12.882,2,0,7.205,48,8.203,4.673,1.063,3.775,0.575,1.866,261.066,47,200.109,1.089,134.223,0.928,1.172
5.82,3.411,1.193,3.399,0.887,5,2,0.0,-0.036,6.491,14.065,3.477,3.767,1.653,12.794,0,1.403,8.289,9.206,4.569,2.631,0,9.06,2.671,2,5.198,7.599,15.618,1.697,1.697,16.491,9.511,0.445,8.386,3.436,0.998,1.344,1.844,4,3.638,3.764,33.171,1,3.893,317.82,1,1,317.82,317.82,317.82,317.82,14.135,2,0,10.183,55,9.304,4.941,1.182,3.999,0.825,1.908,310.764,54,294.278,1.28,117.437,1.064,1.355
6.11,3.362,0.754,3.355,0.698,0,1,0.0,-0.29,2.793,8.277,1.481,2.249,2.035,8.047,0,1.316,6.253,6.878,3.612,1.302,0,6.579,3.148,4,1.851,5.53,9.642,2.231,2.231,9.728,7.391,0.167,6.152,3.281,1.959,1.049,1.12,2,3.73,3.598,26.915,1,3.668,176.567,1,0,176.567,176.567,176.567,176.567,12.044,2,0,7.163,42,8.299,4.493,0.871,3.732,0.474,1.97,219.66,41,153.024,0.999,99.659,0.867,1.068
6.57,3.258,1.011,3.286,0.631,0,2,0.0,-0.224,5.746,9.525,3.009,2.838,1.717,9.287,0,1.304,5.436,7.033,3.312,2.361,0,6.807,2.733,1,4.356,5.817,10.548,1.752,1.752,11.089,5.925,0.231,5.879,3.197,1.152,0.942,1.747,4,3.489,3.477,26.887,1,3.589,247.193,1,0,247.193,247.193,247.193,247.193,10.602,1,0,6.411,44,7.131,4.599,0.859,3.648,0.52,1.776,240.215,44,223.651,0.896,117.437,0.871,1.244
5.49,3.159,0.881,3.188,0.527,0,2,0.0,-0.06,5.666,8.083,3.009,2.388,1.604,7.599,1,1.264,4.369,6.069,2.622,2.361,0,5.874,2.627,1,4.356,5.001,8.389,1.658,1.658,8.721,4.708,0.023,4.685,3.064,1.251,0.78,1.747,1,3.417,3.33,23.364,1,3.422,200.109,1,0,200.109,200.109,200.109,200.109,9.256,1,0,4.759,38,6.165,4.42,0.758,3.458,0.469,1.754,199.421,38,176.567,0.755,117.437,0.804,0.969
6.19,3.391,0.916,3.385,0.876,0,2,0.0,-0.084,6.349,11.134,3.477,2.914,1.646,9.493,0,1.388,6.586,8.078,3.503,2.631,0,7.944,2.668,2,5.198,6.668,11.596,1.697,1.697,12.268,6.966,0.165,6.202,3.358,1.039,1.137,1.844,3,3.647,3.643,30.131,1,3.727,235.422,1,0,235.422,235.422,235.422,235.422,12.891,2,0,7.499,48,8.193,4.67,1.063,3.79,0.55,1.875,261.066,47,188.338,1.101,134.223,0.922,1.172
5.54,3.11,0.877,3.126,0.527,0,2,0.0,-0.075,5.605,7.578,3.009,2.254,1.182,6.775,0,1.252,4.167,5.678,2.275,2.361,0,5.556,2.204,1,4.356,4.701,7.073,1.272,1.272,7.725,3.938,0.003,4.148,2.99,1.309,0.686,1.747,1,3.395,3.237,21.603,1,3.325,176.567,1,0,176.567,176.567,176.567,176.567,8.58,1,0,4.157,35,5.775,4.306,0.665,3.337,0.374,1.75,179.525,35,153.024,0.67,117.437,0.632,0.944
6.55,3.434,1.017,3.431,0.99,0,2,0.0,-0.068,6.414,12.993,3.477,3.253,1.73,11.031,0,1.447,7.939,8.745,4.161,2.631,0,8.589,2.746,2,5.198,7.219,13.444,1.764,1.764,14.16,8.369,0.234,7.386,3.434,0.966,1.267,1.844,5,3.656,3.725,32.648,1,3.829,270.735,1,1,270.735,270.735,270.735,270.735,13.741,2,0,8.913,52,8.844,4.772,1.193,3.898,0.631,1.925,289.294,51,247.193,1.233,117.437,0.992,1.221
6.74,3.425,1.016,3.412,0.987,0,2,0.0,-0.003,6.384,11.935,3.477,3.003,1.726,10.481,0,1.42,7.803,8.471,4.305,2.631,0,8.226,2.744,2,5.198,6.891,12.254,1.764,1.764,13.391,8.753,0.218,7.893,3.429,1.005,1.273,1.844,5,3.657,3.714,32.535,1,3.846,247.193,1,0,247.193,247.193,247.193,247.193,13.617,2,0,9.665,50,9.468,4.696,1.186,3.895,0.622,1.88,275.121,49,255.87,1.203,117.437,0.99,1.181
6.38,3.054,0.668,3.053,0.595,0,2,0.0,-0.091,5.534,8.195,3.009,2.104,1.269,6.8,0,1.255,4.707,5.597,2.275,2.361,0,5.463,2.292,1,4.356,4.639,7.745,1.352,1.352,8.02,4.396,0.0,4.203,2.99,1.309,0.7,1.747,2,3.44,3.244,21.603,1,3.333,176.567,1,0,176.567,176.567,176.567,176.567,8.607,1,0,4.492,35,5.699,4.301,0.647,3.369,0.455,1.771,179.525,35,153.024,0.685,117.437,0.635,0.866
6.92,3.142,0.959,3.143,0.621,0,2,0.0,-0.073,5.637,8.667,3.009,2.504,1.276,7.613,0,1.27,4.896,6.178,2.622,2.361,0,6.046,2.299,1,4.356,5.118,8.177,1.357,1.357,8.803,4.669,0.048,4.719,3.064,1.251,0.761,1.747,2,3.451,3.317,23.364,1,3.417,200.109,1,0,200.109,200.109,200.109,200.109,9.247,1,0,4.881,38,6.275,4.412,0.741,3.442,0.462,1.771,199.421,38,176.567,0.745,117.437,0.717,1.023
6.47,3.194,1.007,3.212,0.622,0,2,0.0,-0.061,5.698,9.18,3.009,2.637,1.691,8.429,1,1.279,5.101,6.569,2.967,2.361,0,6.365,2.712,1,4.356,5.418,9.459,1.734,1.734,9.795,5.427,0.13,5.253,3.133,1.2,0.856,1.747,2,3.468,3.404,25.125,1,3.505,223.651,1,0,223.651,223.651,223.651,223.651,9.923,1,0,5.481,41,6.665,4.516,0.834,3.551,0.469,1.774,219.66,41,200.109,0.83,117.437,0.804,1.087
6.11,3.385,0.916,3.381,0.875,0,2,0.0,-0.086,6.356,11.481,3.477,2.914,1.645,9.493,0,1.384,6.789,8.078,3.503,2.631,0,7.945,2.667,2,5.198,6.666,11.863,1.697,1.697,12.282,7.26,0.218,6.202,3.358,1.039,1.137,1.844,4,3.647,3.643,30.131,1,3.727,235.422,1,0,235.422,235.422,235.422,235.422,12.891,2,0,7.533,48,8.193,4.67,1.074,3.795,0.536,1.878,261.066,47,188.338,1.106,134.223,0.875,1.181
6.19,3.431,0.988,3.42,0.883,0,2,0.0,-0.011,5.83,14.196,3.009,3.199,1.839,11.037,0,1.411,8.667,8.655,4.161,2.361,0,8.446,2.844,1,4.356,7.108,13.983,1.849,1.849,13.987,8.791,0.256,7.396,3.434,0.966,1.294,1.747,3,3.648,3.738,32.648,1,3.838,270.735,1,2,270.735,270.735,270.735,270.735,13.755,2,0,8.84,52,8.753,4.761,1.279,3.928,0.708,1.941,289.294,51,247.193,1.302,117.437,1.045,1.217
6.6,2.921,0.525,2.938,0.359,0,2,0.0,-0.066,4.996,5.607,2.461,1.667,1.175,5.378,0,1.201,2.981,4.69,1.63,1.896,0,4.626,2.197,2,3.71,3.902,6.187,1.27,1.27,6.495,3.487,0.0,3.385,2.834,2.35,0.563,1.407,1,3.373,3.09,18.08,1,3.161,117.711,3,0,117.711,117.711,117.711,117.711,7.431,1,0,3.489,29,4.779,4.135,0.459,3.179,0.153,1.747,140.881,29,94.169,0.516,132.324,0.262,0.682
5.68,2.938,0.646,2.972,0.52,0,2,0.0,-0.098,5.502,7.121,3.009,1.854,1.176,5.95,0,1.221,3.985,5.097,1.928,2.361,0,4.973,2.198,1,4.356,4.223,6.631,1.27,1.27,6.917,3.66,0.0,3.627,2.91,1.372,0.625,1.747,1,3.384,3.158,19.841,1,3.233,153.024,1,0,153.024,153.024,153.024,153.024,7.94,1,0,3.762,32,5.199,4.182,0.572,3.256,0.352,1.748,160.0,32,129.482,0.61,117.437,0.503,0.753
5.54,3.445,1.068,3.437,0.884,0,2,0.0,-0.078,6.408,12.93,3.477,3.253,1.696,11.031,0,1.419,7.884,8.745,4.161,2.631,0,8.589,2.709,2,5.198,7.219,13.444,1.726,1.726,14.16,8.369,0.296,7.386,3.434,0.966,1.267,1.844,3,3.658,3.725,32.648,1,3.829,270.735,1,3,270.735,270.735,270.735,270.735,13.741,2,0,8.913,52,8.844,4.772,1.193,3.898,0.745,1.927,289.294,51,247.193,1.233,117.437,1.068,1.192
5.72,3.351,0.996,3.344,0.717,0,2,0.0,-0.057,6.339,10.853,3.477,2.753,1.616,9.25,0,1.345,6.684,7.745,3.508,2.631,0,7.608,2.627,2,5.198,6.386,11.169,1.645,1.645,11.89,6.93,0.218,6.228,3.33,1.032,1.115,1.844,4,3.639,3.617,29.125,1,3.706,223.651,1,1,223.651,223.651,223.651,223.651,12.408,2,0,7.477,46,7.844,4.621,1.04,3.764,0.565,1.925,247.133,45,200.109,1.08,117.437,0.932,1.181
5.47,3.222,0.884,3.253,0.55,0,2,0.0,-0.246,5.714,8.448,3.009,2.587,1.624,8.46,0,1.285,4.714,6.533,2.967,2.361,0,6.317,2.646,1,4.356,5.401,9.506,1.674,1.674,10.034,5.212,0.149,5.312,3.133,1.2,0.866,1.747,3,3.458,3.41,25.125,1,3.512,223.651,1,0,223.651,223.651,223.651,223.651,9.935,1,0,5.698,41,6.631,4.512,0.784,3.564,0.5,1.76,219.66,41,200.109,0.819,117.437,0.804,1.213
8.42,3.293,0.995,3.305,0.591,0,2,0.0,0.002,6.183,10.158,5.81,2.578,1.89,8.944,0,1.332,5.993,7.498,3.295,4.721,0,7.377,2.935,3,7.969,6.174,10.439,1.957,1.957,10.955,6.352,0.169,5.942,3.315,2.718,1.052,3.628,3,3.646,3.605,28.58,2,3.676,200.109,1,1,200.109,200.109,200.109,200.109,12.245,2,0,6.691,46,7.613,4.598,0.999,3.72,0.535,1.925,247.133,45,176.567,1.013,119.275,0.943,1.181
6.335,3.351,0.996,3.345,0.718,0,2,0.0,-0.077,6.244,11.219,5.81,2.828,1.899,9.833,0,1.359,6.663,7.998,3.62,4.721,0,7.867,2.944,2,7.969,6.59,11.465,1.965,1.965,12.108,6.893,0.218,6.514,3.369,2.661,1.128,3.628,4,3.659,3.661,30.341,2,3.742,223.651,1,1,223.651,223.651,223.651,223.651,12.912,2,0,7.403,49,8.113,4.678,1.076,3.793,0.566,1.925,268.078,48,200.109,1.089,119.275,0.976,1.181
5.64,3.405,0.997,3.395,0.882,0,2,0.0,-0.071,6.382,11.869,3.477,3.003,1.653,10.147,0,1.395,7.229,8.245,3.834,2.631,0,8.099,2.671,2,5.198,6.802,12.318,1.697,1.697,13.036,7.652,0.218,6.808,3.383,0.998,1.191,1.844,4,3.649,3.672,30.887,1,3.77,247.193,1,1,247.193,247.193,247.193,247.193,13.074,2,0,8.198,49,8.344,4.699,1.116,3.833,0.576,1.925,268.078,48,223.651,1.156,117.437,0.933,1.181
5.82,3.342,0.904,3.348,0.868,0,2,0.0,-0.001,6.348,10.658,3.477,2.753,1.638,9.25,0,1.352,6.387,7.745,3.508,2.631,0,7.608,2.659,2,5.198,6.386,11.241,1.687,1.687,11.89,6.989,0.218,6.228,3.33,1.032,1.115,1.844,4,3.635,3.617,29.125,1,3.706,223.651,1,0,223.651,223.651,223.651,223.651,12.408,2,0,7.477,46,7.844,4.621,1.041,3.764,0.527,1.92,247.133,45,200.109,1.08,117.437,0.856,1.181
6.14,3.395,0.996,3.371,0.88,0,2,0.0,-0.005,6.352,10.747,3.477,2.753,1.637,9.566,0,1.368,7.076,7.971,3.974,2.631,0,7.735,2.662,2,5.198,6.474,11.058,1.697,1.697,12.215,8.0,0.218,7.299,3.378,1.039,1.196,1.844,4,3.65,3.661,30.773,1,3.787,223.651,1,0,223.651,223.651,223.651,223.651,12.95,2,0,8.933,47,8.968,4.617,1.109,3.829,0.527,1.88,254.084,46,232.328,1.126,117.437,0.86,1.181
6.77,3.412,1.035,3.403,0.882,0,2,0.0,0.019,6.412,12.437,3.477,2.996,2.011,10.004,0,1.428,7.728,8.721,3.748,2.631,0,8.58,3.027,2,5.198,7.16,12.572,2.04,2.04,13.098,7.992,0.305,6.816,3.455,1.735,1.301,1.844,3,3.649,3.783,32.131,1,3.854,223.651,1,1,223.651,223.651,223.651,223.651,14.593,2,0,8.406,51,8.838,4.727,1.223,3.919,0.598,1.94,275.121,49,188.338,1.293,134.223,1.112,1.205
6.11,3.402,0.973,3.394,0.881,0,2,0.0,-0.065,5.716,11.725,3.009,2.97,1.982,9.797,0,1.386,7.223,8.309,3.861,2.361,0,8.179,3.061,1,4.356,6.833,11.634,2.113,2.113,12.287,7.455,0.218,6.856,3.396,1.005,1.283,1.747,2,3.651,3.692,30.824,1,3.767,250.382,1,0,235.422,235.422,235.422,235.422,13.434,2,0,8.027,49,8.432,4.703,1.108,3.82,0.544,1.918,268.078,48,211.88,1.181,117.437,0.936,1.214
6.51,3.39,1.067,3.396,0.76,0,2,0.0,-0.082,6.269,12.29,5.81,3.078,1.906,10.711,0,1.392,7.321,8.498,3.946,4.721,0,8.358,2.949,2,7.969,7.007,12.592,1.969,1.969,13.239,7.606,0.218,7.085,3.42,2.607,1.204,3.628,3,3.667,3.714,32.103,2,3.803,247.193,1,3,247.193,247.193,247.193,247.193,13.578,2,0,8.112,52,8.613,4.752,1.153,3.86,0.701,1.927,289.294,51,223.651,1.165,119.275,1.109,1.188
6.57,3.376,0.988,3.383,0.712,0,2,0.0,-0.127,4.997,10.125,1.481,2.471,2.006,9.117,0,1.332,7.732,7.433,3.93,1.302,0,7.157,3.124,4,1.851,5.966,10.743,2.218,2.218,11.189,7.789,0.192,7.078,3.337,1.908,1.122,1.12,4,3.818,3.65,28.676,1,3.738,200.109,3,0,200.109,200.109,200.109,200.109,12.803,2,0,7.921,45,9.048,4.648,0.998,3.787,0.503,1.938,240.215,44,176.567,1.054,99.659,0.925,1.106
