pXC50,Hy,ATSC8s,H.050,nHDon,CATS2D_05_DL,SpMin2_Bh.s.,Eig05_EA.dm.,MCD,CATS2D_04_DL,SsssCH,ATSC5m,Eta_C_A,CATS2D_06_DL,CATS2D_09_DA,BAC,ATS5i,ATSC5v,SpMin4_Bh.s.,CATS2D_03_DA,ATSC6m,X3A,Eig04_EA.dm.,Eig09_EA.dm.,CATS2D_03_DD,CATS2D_05_DA,SsNH2,CATS2D_08_DL,ATSC7m,PW4,SpMAD_EA.ed.,CATS2D_09_AP,nCsp3,SdssC,ATS8s,H.046,ATSC5s,TPSA.Tot.,CATS2D_07_DP,DBI,TPSA.NO.,ATSC2m,ATSC1v,ATSC2v,ATSC8m,NdssC,CATS2D_09_DL,DLS_05,X5A,CATS2D_02_DA,ATSC4v,CATS2D_04_PL,SpMAD_AEA.ri.,ATSC8v,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,NsNH2,RBF,ATS7s,CATS2D_07_DD,X4A,CATS2D_02_DP,P_VSA_e_3,NsssCH
6.102,4.052,187.836,7,7,8,1.238,0.884,0.324,9,-3.789,48.194,1.101,5,5,90.0,5.37,16.392,0.83,3,45.515,0.196,1.2,0.0,2,2,10.672,4,49.244,0.164,4.064,4,9,-1.756,6.53,6,218.953,201.03,2,5.612,172.79,25.574,7.085,12.566,51.86,4,4,1.0,0.083,4,16.688,2,1.471,20.362,2,2,2,2,0.188,6.379,2,0.128,2,135.387,4
4.421,2.621,93.143,5,5,3,1.161,0.135,0.407,5,-0.708,31.832,0.924,1,4,42.0,4.919,10.766,0.667,1,30.912,0.201,0.31,0.0,0,0,5.243,1,30.226,0.153,3.921,2,5,-0.681,5.906,0,124.903,149.2,1,4.472,120.96,15.578,4.558,8.479,26.164,3,6,0.5,0.085,1,11.597,1,1.455,10.528,1,1,1,1,0.213,5.902,2,0.13,2,117.376,1
5.921,4.005,172.642,7,7,7,1.237,0.566,0.314,10,-2.165,49.262,1.173,4,5,90.0,5.466,18.344,0.836,2,54.037,0.198,1.2,0.0,1,3,10.718,4,62.232,0.157,3.998,4,10,-1.272,6.526,6,192.423,192.83,2,5.701,164.59,28.385,7.823,13.926,56.086,4,5,1.0,0.084,5,18.501,2,1.466,21.387,2,2,2,2,0.176,6.359,2,0.13,2,199.352,4
6.147,3.932,180.715,7,7,10,1.297,0.33,0.333,10,-0.077,62.761,1.38,3,5,109.0,5.763,24.874,1.03,2,56.321,0.181,1.2,0.0,1,3,10.763,4,52.945,0.167,4.512,4,18,-1.05,6.591,19,197.804,192.83,2,5.788,164.59,36.344,10.272,18.192,59.008,4,5,1.0,0.073,5,26.811,2,1.508,24.082,2,2,2,2,0.139,6.389,2,0.116,2,153.398,7
5.48,3.932,180.715,7,7,10,1.297,0.33,0.333,10,-0.077,62.761,1.38,3,5,109.0,5.763,24.874,1.03,2,56.321,0.181,1.2,0.0,1,3,10.763,4,52.945,0.167,4.512,4,18,-1.05,6.591,19,197.804,192.83,2,5.788,164.59,36.344,10.272,18.192,59.008,4,5,1.0,0.073,5,26.811,2,1.508,24.082,2,2,2,2,0.139,6.389,2,0.116,2,153.398,7
4.903,4.005,172.642,7,7,7,1.237,0.566,0.314,10,-2.165,49.262,1.173,4,5,90.0,5.466,18.344,0.836,2,54.037,0.198,1.2,0.0,1,3,10.718,4,62.232,0.157,3.998,4,10,-1.272,6.526,6,192.423,192.83,2,5.701,164.59,28.385,7.823,13.926,56.086,4,5,1.0,0.084,5,18.501,2,1.466,21.387,2,2,2,2,0.176,6.359,2,0.13,2,199.352,4
5.764,4.023,168.833,7,7,8,1.237,0.566,0.324,10,-2.114,48.909,1.084,3,5,73.0,5.466,18.389,0.835,2,47.895,0.197,1.2,0.0,1,3,10.709,3,48.432,0.161,3.936,4,10,-1.251,6.503,6,189.878,192.83,2,5.657,164.59,28.823,8.072,13.965,51.65,4,5,1.0,0.086,5,18.264,2,1.456,21.409,2,2,2,2,0.176,6.347,2,0.132,2,153.398,4
5.229,2.562,142.36,5,5,3,1.162,0.811,0.517,4,-0.874,30.217,0.884,0,5,31.0,5.013,11.047,0.653,1,31.656,0.185,1.033,0.0,0,0,5.25,1,29.299,0.176,4.1,2,6,-1.148,6.188,0,180.611,167.66,1,4.416,139.42,19.122,4.808,8.413,28.524,3,5,1.0,0.077,1,11.384,1,1.472,10.776,1,1,1,1,0.176,6.053,2,0.119,2,117.376,1
6.02,4.052,197.508,7,7,6,1.238,0.884,0.324,8,-4.017,45.425,1.065,5,5,90.0,5.378,16.017,0.83,3,45.083,0.197,1.2,0.0,2,2,10.645,2,47.723,0.16,4.054,4,9,-1.922,6.501,6,251.572,201.03,2,5.612,172.79,25.554,7.088,12.382,48.599,4,4,1.0,0.083,4,16.184,2,1.469,19.903,2,2,2,2,0.188,6.392,2,0.128,2,135.387,4
6.366,4.072,171.783,7,7,7,1.238,0.884,0.333,9,-3.544,45.047,1.05,5,5,73.0,5.371,16.497,0.83,3,44.948,0.198,1.2,0.0,2,2,10.67,3,47.662,0.16,3.987,4,9,-1.622,6.466,6,201.904,201.03,2,5.568,172.79,26.213,7.357,12.754,48.489,4,4,1.0,0.084,4,16.602,2,1.461,20.304,2,2,2,2,0.188,6.366,2,0.129,2,135.387,4
5.648,2.502,82.645,5,5,5,1.28,0.0,0.536,6,-0.702,30.816,0.812,1,4,22.0,5.02,12.277,0.703,1,30.229,0.187,0.135,0.0,0,0,5.283,2,28.595,0.175,4.028,2,4,-0.639,6.002,0,106.578,149.2,1,4.359,120.96,18.029,5.265,9.377,27.913,3,7,0.5,0.079,1,12.327,1,1.463,12.167,1,1,1,1,0.176,5.934,2,0.121,2,117.376,1
5.854,1.697,56.139,4,4,5,1.158,0.0,0.586,5,-0.924,32.322,0.973,7,4,52.0,5.151,20.1535,0.778,0,24.376,0.183,0.0,0.0,0,0,5.463,2,32.191,0.161,4.666,2,7,-0.893,5.687,0,63.117,119.55,0,4.359,119.55,21.304,8.222,14.5405,26.496,2,4,1.0,0.075,1,19.93,1,1.533,23.442,1,1,1,1,0.125,5.973,0,0.115,2,151.6455,1
5.229,2.038,33.606,4,4,4,1.098,0.0,0.579,4,0.0,21.341,0.962,0,0,39.0,4.813,20.1535,0.469,0,15.05,0.182,0.0,0.0,0,0,5.279,4,17.215,0.147,4.902,0,6,-0.08,4.932,0,36.61,80.36,0,3.391,80.36,16.295,8.222,14.5405,12.155,1,0,1.0,0.073,0,19.93,2,1.541,23.442,1,1,1,1,0.075,5.012,0,0.112,2,151.6455,0
4.658,4.518,24.978,6,6,6,0.712,0.0,0.429,8,0.0,11.888,0.598,4,0,23.0,4.151,20.1535,0.102,0,7.11,0.21,0.0,0.0,0,0,5.111,0,7.5,0.125,3.803,0,1,-0.087,4.174,0,39.269,102.36,0,3.0,102.36,8.21,8.222,14.5405,5.667,1,0,0.5,0.089,0,19.93,1,1.455,23.442,1,1,1,1,0.154,4.723,2,0.136,2,151.6455,0
5.137,1.921,29.209,4,4,2,1.22,0.0,0.524,2,0.0,25.33,1.04,4,0,41.0,5.024,20.1535,0.771,0,17.537,0.188,0.0,0.0,0,0,10.618,0,20.253,0.137,4.693,0,8,0.129,5.052,0,35.038,82.86,0,3.674,82.86,19.339,8.222,14.5405,17.179,1,0,1.0,0.073,2,19.93,2,1.519,23.442,2,2,2,2,0.087,5.334,0,0.114,2,151.6455,0
4.585,4.052,217.141,7,7,7,1.295,1.2,0.147,8,-2.635,52.775,1.259,4,5,164.0,5.536,20.131,0.85,3,56.353,0.195,1.38,0.031,2,3,10.694,4,58.474,0.155,3.961,4,14,-1.65,6.669,13,226.276,209.9,2,6.205,181.66,32.168,8.866,15.014,62.674,5,3,1.0,0.087,5,20.138,2,1.454,26.189,2,2,2,2,0.197,6.504,2,0.129,2,153.398,5
6.866,4.625,224.956,8,8,10,1.295,1.2,0.268,12,-2.906,59.344,1.225,8,5,117.0,5.669,22.66,1.15,3,62.16,0.198,1.38,0.129,2,4,10.773,7,66.82,0.157,3.899,4,14,-1.881,6.815,13,236.418,221.93,2,6.403,193.69,36.283,10.278,17.705,70.461,5,5,1.0,0.088,6,23.348,2,1.45,30.959,2,2,2,2,0.19,6.669,2,0.13,2,171.408,5
5.585,4.567,218.5,8,8,12,1.253,1.2,0.372,10,-3.114,56.412,1.133,12,6,73.0,5.634,21.684,0.965,4,58.864,0.197,1.38,0.129,2,3,10.795,4,64.623,0.161,3.903,4,11,-1.842,6.802,6,209.884,235.07,2,6.205,206.83,33.23,9.365,16.216,68.338,5,8,1.0,0.085,5,21.477,2,1.451,29.037,2,2,2,2,0.205,6.68,3,0.13,2,171.163,4
6.036,4.673,212.327,8,8,10,1.291,1.2,0.268,9,-2.733,55.571,1.205,6,5,133.0,5.55,20.281,1.017,3,59.019,0.202,1.38,0.129,2,4,10.709,6,62.197,0.151,3.975,4,12,-2.094,6.689,7,231.931,221.93,2,6.245,193.69,32.177,8.73,15.674,59.244,5,4,1.0,0.086,6,20.547,2,1.459,23.742,2,2,2,2,0.192,6.614,2,0.129,2,171.408,4
7.032,5.303,241.763,9,9,15,1.253,1.2,0.362,11,-3.235,62.342,1.195,15,7,109.0,5.691,22.874,1.15,4,63.913,0.2,1.38,0.129,3,2,10.817,9,68.604,0.156,3.957,4,11,-2.105,6.852,6,219.607,233.96,2,6.364,205.72,33.844,9.553,17.085,74.27,5,12,1.0,0.085,6,23.09,2,1.46,29.364,2,2,2,2,0.193,6.763,3,0.128,2,189.174,4
6.469,4.477,246.922,8,8,13,1.312,1.2,0.37,13,-2.739,69.111,1.357,9,5,112.0,5.784,25.735,1.15,3,71.666,0.195,1.38,0.129,2,4,10.874,9,76.112,0.161,3.991,4,17,-1.844,6.921,17,246.672,221.93,2,6.285,193.69,39.597,11.035,20.092,81.014,5,6,1.0,0.084,6,27.226,2,1.463,35.873,2,2,2,2,0.174,6.798,2,0.125,2,171.408,5
5.0,0.972,65.076,3,3,4,1.014,0.0,0.548,4,0.0,22.929,0.908,1,1,55.0,4.839,9.066,0.642,1,34.991,0.183,0.657,0.0,0,1,0.0,3,22.365,0.189,4.274,0,3,-1.018,5.98,0,80.088,120.59,0,3.937,92.35,13.782,3.934,7.107,29.809,2,3,0.0,0.077,3,9.385,0,1.485,9.415,0,0,0,0,0.14,6.105,0,0.117,0,70.818,0
6.259,9.098,1847.42,15,15,10,1.064,3.302,0.336,15,-17.537,61.549,1.321,10,11,1801.0,6.191,20.62,1.061,10,84.454,0.172,3.302,3.302,0,20,0.0,0,74.039,0.152,4.958,0,6,-12.401,8.31,0,1549.76,961.68,0,10.173,877.88,27.178,5.565,12.068,89.066,5,0,0.0,0.07,30,17.101,0,1.545,28.737,0,0,0,0,0.25,8.281,0,0.107,0,0.0,5
5.328,4.162,259.67,8,8,17,1.288,1.416,0.737,16,-2.437,82.774,1.1,10,9,66.0,6.024,32.916,1.2,4,78.133,0.191,1.924,0.578,2,3,5.583,8,78.912,0.166,4.164,1,12,-1.696,7.089,0,303.818,227.3,1,4.796,218.92,42.882,11.969,21.109,86.2,5,6,1.0,0.082,6,34.86,2,1.48,40.739,1,1,1,1,0.073,6.926,4,0.124,1,159.266,2
5.472,4.112,239.144,8,8,17,1.288,1.416,0.746,16,-2.438,87.468,1.144,10,7,66.0,6.091,37.704,1.201,2,83.851,0.193,1.907,0.578,2,3,5.592,8,86.432,0.162,4.119,1,14,-1.58,7.068,0,275.398,227.3,1,4.796,218.92,46.357,13.076,23.056,87.578,5,10,1.0,0.083,6,36.985,2,1.477,41.915,1,1,1,1,0.07,6.999,4,0.125,1,159.266,2
4.081,0.182,152.074,2,2,4,1.159,0.78,0.685,4,0.0,41.933,0.892,2,0,73.0,5.571,17.213,1.048,0,42.797,0.173,1.257,0.0,0,0,0.0,0,45.245,0.183,4.533,0,5,0.084,6.67,0,172.41,244.45,0,5.196,227.69,24.384,7.093,12.659,46.602,4,0,0.0,0.071,6,16.871,0,1.512,21.772,0,0,0,0,0.146,6.491,0,0.111,0,74.8,0
4.041,0.182,166.486,2,2,4,1.159,0.78,0.685,4,0.0,40.887,0.897,2,1,73.0,5.57,17.05,1.048,0,44.401,0.172,1.257,0.0,0,0,0.0,0,46.555,0.184,4.53,0,5,-0.047,6.665,0,176.516,244.45,0,5.196,227.69,24.384,7.093,12.659,50.942,4,3,0.0,0.07,6,16.921,0,1.512,22.204,0,0,0,0,0.146,6.649,0,0.111,0,74.8,0
4.331,0.172,157.327,2,2,4,1.16,0.78,0.673,4,0.0,45.41,0.913,2,0,73.0,5.614,18.865,1.048,0,46.606,0.173,1.257,0.0,0,0,0.0,0,47.105,0.182,4.505,0,6,0.161,6.673,2,168.893,244.45,0,5.292,227.69,26.531,7.682,13.742,50.716,4,0,0.0,0.071,6,18.516,0,1.51,23.142,0,0,0,0,0.152,6.502,0,0.111,0,74.8,0
4.352,0.162,157.462,2,2,4,1.169,0.78,0.661,4,0.0,48.77,0.934,2,0,73.0,5.655,20.523,1.069,0,49.86,0.174,1.257,0.0,0,0,0.0,0,50.609,0.181,4.469,0,7,0.222,6.682,4,165.545,244.45,0,5.385,227.69,28.644,8.268,14.811,52.589,4,0,0.0,0.071,6,20.115,0,1.505,24.337,0,0,0,0,0.158,6.52,0,0.112,0,74.8,0
4.046,0.172,158.969,2,2,4,1.168,0.78,0.673,4,0.0,47.906,0.927,2,0,73.0,5.653,19.837,1.048,0,47.601,0.173,1.257,0.0,0,0,0.0,0,49.303,0.183,4.513,0,6,0.146,6.717,2,168.58,244.45,0,5.292,227.69,26.531,7.682,13.742,52.652,4,0,0.0,0.07,6,18.713,0,1.51,25.022,0,0,0,0,0.152,6.553,0,0.111,0,74.8,0
5.0,3.24,744.624,7,7,7,1.321,1.979,0.486,7,-14.828,122.371,1.596,11,13,437.0,6.405,45.534,1.251,10,125.45,0.187,2.035,1.062,3,8,0.0,16,149.242,0.175,4.339,0,25,-7.916,7.825,17,668.955,313.86,0,6.481,305.48,58.775,16.197,27.81,177.91,9,19,1.0,0.076,9,41.944,0,1.484,74.011,0,0,0,0,0.109,7.671,1,0.12,0,96.302,11
4.824,0.243,75.419,2,2,2,1.21,0.0,0.733,3,-0.252,28.016,0.878,4,1,17.0,4.963,11.82,0.882,0,28.205,0.185,0.293,0.0,1,2,0.0,3,29.413,0.181,4.273,0,5,-0.505,5.873,2,104.801,108.44,0,3.464,80.2,19.353,5.192,9.515,30.134,3,1,0.5,0.079,2,11.973,0,1.501,12.023,0,0,0,0,0.094,5.808,0,0.12,0,39.146,2
4.959,0.276,77.456,2,2,2,1.111,0.293,0.733,3,-0.696,25.121,0.83,4,1,17.0,4.893,10.179,0.809,2,26.009,0.185,0.86,0.0,1,2,0.0,3,26.36,0.181,4.273,0,4,-0.682,5.862,0,119.126,117.67,0,3.464,89.43,17.588,4.508,7.824,27.353,3,1,0.5,0.079,2,10.543,0,1.499,9.315,0,0,0,0,0.098,5.824,0,0.12,0,39.146,2
6.071,3.323,149.316,6,6,6,1.295,0.303,0.167,6,-1.238,45.175,1.203,2,4,112.0,5.376,17.312,0.836,2,45.552,0.202,1.2,0.0,1,2,10.664,2,47.257,0.146,3.861,4,13,-0.852,6.398,15,168.689,180.8,2,5.701,152.56,29.368,8.225,13.909,49.416,4,2,1.0,0.09,4,18.028,2,1.443,20.688,2,2,2,2,0.203,6.226,2,0.131,2,135.387,4
6.319,4.033,179.899,7,7,8,1.236,0.566,0.314,8,-1.971,47.277,1.112,3,5,90.0,5.358,16.339,0.83,2,46.948,0.2,1.2,0.0,1,3,10.693,4,48.012,0.154,3.986,4,9,-1.39,6.478,6,191.051,192.83,2,5.568,164.59,25.822,7.002,12.726,50.739,4,4,1.0,0.086,5,16.62,2,1.462,19.846,2,2,2,2,0.185,6.357,2,0.129,2,153.398,3
7.921,4.477,251.74,8,8,9,1.246,1.2,0.37,12,-3.668,61.966,1.226,9,6,109.0,5.734,24.063,1.186,3,68.575,0.196,1.38,0.129,2,5,10.824,7,80.535,0.161,3.988,4,12,-2.094,6.92,6,253.306,234.82,2,6.403,206.58,34.91,9.865,17.52,77.287,5,6,1.0,0.083,6,23.943,2,1.463,31.036,2,2,2,2,0.182,6.774,2,0.129,2,234.148,5
8.097,6.36,306.211,10,10,6,1.24,1.38,0.256,10,-4.285,59.695,1.247,7,5,161.0,5.681,22.196,1.093,3,65.532,0.196,1.655,0.188,2,6,16.08,10,77.227,0.157,4.023,4,12,-3.461,6.972,6,308.741,265.02,2,6.595,236.78,33.292,9.099,16.373,74.094,6,7,1.0,0.084,7,21.924,2,1.467,27.777,3,3,3,3,0.195,6.708,2,0.129,2,250.26,5
5.036,4.551,262.917,8,8,10,1.298,1.2,0.25,12,-2.835,65.77,1.364,9,5,186.0,5.723,23.71,1.15,3,67.928,0.195,1.38,0.129,2,4,10.805,9,73.166,0.152,4.169,4,15,-2.067,6.93,16,260.81,221.93,2,6.708,193.69,37.567,10.34,18.4,80.649,5,4,1.0,0.084,6,26.764,2,1.476,34.815,2,2,2,2,0.184,6.763,2,0.126,2,171.408,4
7.201,4.591,247.228,8,8,10,1.295,1.2,0.256,11,-3.071,62.378,1.297,8,5,161.0,5.668,22.559,1.15,3,64.932,0.198,1.38,0.129,2,4,10.776,8,69.422,0.155,4.016,4,14,-2.038,6.853,13,251.025,221.93,2,6.481,193.69,35.761,9.806,17.496,73.58,5,4,1.0,0.085,6,23.639,2,1.464,31.152,2,2,2,2,0.19,6.711,2,0.128,2,171.408,5
7.553,4.477,292.559,8,8,9,1.246,1.2,0.37,12,-3.944,62.003,1.161,8,6,109.0,5.736,23.969,1.182,3,63.459,0.196,1.38,0.129,2,5,10.802,6,68.511,0.161,3.988,4,12,-2.277,6.968,6,265.218,234.82,2,6.403,206.58,34.942,9.866,17.255,72.886,5,6,1.0,0.083,6,23.357,2,1.46,30.964,2,2,2,2,0.182,6.808,2,0.129,2,188.194,5
5.638,4.52,269.942,8,8,12,1.255,0.343,0.37,12,-3.599,67.517,1.199,12,7,130.0,5.655,21.558,1.15,5,63.589,0.195,1.2,0.0,2,2,10.79,4,69.827,0.156,4.177,4,10,-1.741,6.882,6,272.175,247.38,2,6.442,210.76,32.812,8.935,16.104,79.093,4,7,1.0,0.081,6,21.939,2,1.482,30.013,2,2,2,2,0.202,6.746,3,0.125,2,169.558,4
8.0,4.455,260.99,8,8,11,1.297,1.2,0.37,13,-2.986,71.568,1.405,12,5,109.0,5.855,27.955,1.199,3,76.84,0.196,1.38,0.129,2,4,10.851,9,88.954,0.161,3.988,4,18,-1.782,6.955,17,251.585,221.93,2,6.403,193.69,42.187,11.818,21.209,87.724,5,7,1.0,0.083,6,28.95,2,1.464,35.239,2,2,2,2,0.168,6.807,2,0.129,2,217.363,6
7.032,4.477,253.886,8,8,12,1.254,1.2,0.37,11,-3.327,61.265,1.183,11,5,109.0,5.669,22.789,1.15,3,62.358,0.198,1.38,0.129,2,4,10.813,9,67.855,0.159,3.984,4,11,-2.15,6.9,6,248.248,221.93,2,6.285,193.69,32.975,9.395,16.942,71.429,5,6,1.0,0.084,6,22.806,2,1.461,30.294,2,2,2,2,0.186,6.774,2,0.127,2,171.408,4
6.3,5.453,158.551,8,8,5,1.235,0.296,0.192,6,-1.865,37.182,1.022,1,5,92.0,5.161,13.186,0.573,2,37.474,0.197,1.2,0.0,1,3,15.674,1,37.71,0.154,3.907,5,8,-1.646,6.216,6,186.649,206.82,2,5.244,178.58,22.361,5.75,10.061,35.836,4,3,1.0,0.09,5,12.946,3,1.449,13.128,3,3,3,3,0.196,6.043,2,0.131,3,168.284,3
6.273,4.477,292.559,8,8,9,1.246,1.2,0.37,12,-3.944,62.003,1.161,8,6,109.0,5.736,23.969,1.182,3,63.459,0.196,1.38,0.129,2,5,10.802,6,68.511,0.161,3.988,4,12,-2.277,6.968,6,265.218,234.82,2,6.403,206.58,34.942,9.866,17.255,72.886,5,6,1.0,0.083,6,23.357,2,1.46,30.964,2,2,2,2,0.182,6.808,2,0.129,2,188.194,5
7.523,7.131,317.458,11,11,8,1.29,1.38,0.239,12,-3.806,66.745,1.301,7,8,170.0,5.789,25.14,1.198,3,72.874,0.199,1.629,0.188,2,4,15.933,7,84.543,0.152,3.932,5,14,-2.97,7.014,6,286.098,277.05,3,6.819,248.81,37.98,10.259,18.339,82.976,6,9,1.0,0.085,8,24.534,3,1.456,31.763,3,3,3,3,0.2,6.795,4,0.131,3,268.27,5
6.449,3.784,231.411,7,7,8,1.295,1.2,0.268,9,-3.042,58.255,1.22,6,5,117.0,5.634,21.633,1.133,3,60.296,0.198,1.38,0.129,2,4,10.766,5,66.027,0.157,3.899,4,14,-2.199,6.82,13,246.778,219.13,2,6.403,190.89,35.982,10.089,17.306,68.58,5,5,1.0,0.088,6,22.721,2,1.45,29.866,2,2,2,2,0.205,6.671,2,0.13,2,153.398,5
