pXC50,RBN,Se,nBT,Si,Sv,nCsp2,Sp,nH,nHet,nC,nCsp3,nAT,nS,MW,nBO,nAB,nSK,nO,nDB,SCBO,Mv,nBM,RBF,N.,O.,nN,X.,H.,Mp,C.
6.347,9,52.469,54,59.026,32.993,14,35.262,26,3,24,8,53,0,362.5,28,12,27,3,2,38.0,0.623,15,0.167,0.0,5.7,0,0.0,49.1,0.665,45.3
6.319,5,40.934,42,45.365,26.886,14,28.216,18,3,20,4,41,0,306.38,24,12,23,3,2,34.0,0.656,15,0.119,0.0,7.3,0,0.0,43.9,0.688,48.8
5.121,8,48.029,49,53.405,30.654,14,32.193,22,4,22,6,48,0,350.44,27,12,26,4,2,37.0,0.639,15,0.163,0.0,8.3,0,0.0,45.8,0.671,45.8
4.607,4,29.611,29,32.329,19.02,8,19.386,12,4,13,3,29,0,232.25,17,6,17,4,2,24.0,0.656,9,0.138,0.0,13.8,0,0.0,41.4,0.668,44.8
6.184,6,65.527,69,71.983,43.158,22,43.614,24,12,28,6,64,0,540.58,45,22,40,6,4,60.0,0.674,26,0.087,9.4,9.4,6,0.0,37.5,0.681,43.8
4.699,6,64.218,65,70.18,42.151,21,41.148,20,14,27,6,61,0,573.52,45,22,41,4,3,59.0,0.691,25,0.092,8.2,6.6,5,8.2,32.8,0.675,44.3
5.921,10,66.414,66,71.91,41.426,19,41.352,26,12,26,7,64,0,530.52,40,12,38,12,5,51.0,0.647,17,0.152,0.0,18.8,0,0.0,40.6,0.646,40.6
6.174,11,69.414,70,74.91,44.426,23,44.352,26,12,29,6,67,0,566.55,44,18,41,12,4,57.0,0.663,22,0.157,0.0,17.9,0,0.0,38.8,0.662,43.3
5.747,13,75.182,76,81.741,47.48,23,47.875,30,12,31,8,73,0,594.61,46,18,43,12,4,59.0,0.65,22,0.171,0.0,16.4,0,0.0,41.1,0.656,42.5
5.759,1,36.92,37,39.166,23.879,13,23.204,12,8,15,2,35,0,320.27,25,12,23,8,1,32.0,0.682,13,0.027,0.0,22.9,0,0.0,34.3,0.663,42.9
8.086,10,55.101,55,62.73,31.772,9,33.733,29,7,19,10,55,0,363.51,26,6,26,4,3,32.0,0.578,9,0.182,5.5,7.3,3,0.0,52.7,0.613,34.5
8.046,7,38.44,38,42.993,22.809,7,24.324,19,6,13,6,38,1,285.4,19,6,19,4,3,25.0,0.6,9,0.184,2.6,10.5,1,0.0,50.0,0.64,34.2
4.886,13,83.021,85,92.149,51.925,22,54.245,37,12,33,11,82,1,635.8,48,18,45,8,6,63.0,0.633,24,0.153,3.7,9.8,3,0.0,45.1,0.662,40.2
4.319,21,97.076,96,108.102,58.187,19,60.148,44,18,33,14,95,1,732.9,52,12,51,11,9,67.0,0.612,21,0.219,6.3,11.6,6,0.0,46.3,0.633,34.7
5.299,6,48.676,51,54.026,31.939,18,32.722,19,8,21,3,48,0,389.45,32,17,29,3,3,43.5,0.665,20,0.118,10.4,6.3,5,0.0,39.6,0.682,43.8
5.385,7,50.08,52,55.156,32.841,17,33.824,19,10,20,3,49,1,425.51,33,17,30,4,4,45.5,0.67,21,0.135,10.2,8.2,5,0.0,38.8,0.69,40.8
5.442,7,58.443,62,64.857,38.993,24,40.245,23,8,27,3,58,0,465.55,39,23,35,3,3,53.5,0.672,26,0.113,8.6,5.2,5,0.0,39.7,0.694,46.6
5.22,7,59.225,63,65.773,39.498,25,41.0,24,7,28,3,59,0,464.56,39,23,35,3,3,53.5,0.669,26,0.111,6.8,5.1,4,0.0,40.7,0.695,47.5
5.22,7,58.669,62,64.568,39.686,26,40.693,22,8,28,2,58,0,478.54,40,23,36,4,4,55.5,0.684,27,0.113,6.9,6.9,4,0.0,37.9,0.702,48.3
5.299,6,53.669,56,59.568,34.686,18,35.693,22,8,23,5,53,0,418.49,34,17,31,4,3,45.5,0.654,20,0.107,7.5,7.5,4,0.0,41.5,0.673,43.4
6.107,6,57.669,61,63.568,38.686,24,39.693,22,8,27,3,57,0,466.53,39,23,35,4,3,53.5,0.679,26,0.098,7.0,7.0,4,0.0,38.6,0.696,47.4
