pXC50,Sp,nAT,nBT,nH,nCsp3,nHM,nS,SCBO,nBM,nN,nDB,nC,Sv,nSK,nBO,Se,MW,nO,nHet,Me,nAB,O.
7.125,115.489,180.0,186.0,85,34,3,2,119.0,29,10,7,61,109.934,95,101,183.69,1485.6,21,34,1.021,22,11.7
6.384,109.728,167.0,172.0,77,29,4,3,115.0,31,10,9,58,103.87,90,95,170.25,1425.56,18,32,1.019,22,10.8
6.959,127.569,201.0,208.0,95,40,3,2,131.0,29,10,7,67,122.142,106,113,205.745,1647.76,26,39,1.024,22,12.9
7.301,91.023,137.0,141.0,63,21,3,2,97.0,30,10,8,49,85.706,74,78,139.025,1175.26,12,25,1.015,22,8.8
6.283,103.103,158.0,163.0,73,27,3,2,109.0,30,10,8,55,97.914,85,90,161.079,1337.42,17,30,1.019,22,10.8
6.678,115.182,179.0,185.0,83,33,3,2,121.0,30,10,8,61,110.122,96,102,183.134,1499.58,22,35,1.023,22,12.3
6.485,127.262,200.0,207.0,93,39,3,2,133.0,30,10,8,67,122.33,107,114,205.188,1661.74,27,40,1.026,22,13.5
6.509,109.728,167.0,172.0,77,29,4,3,115.0,31,10,9,58,103.87,90,95,170.25,1425.56,18,32,1.019,22,10.8
5.0,39.16,58.0,63.0,28,9,0,0,45.5,21,4,0,26,36.407,30,35,57.01,396.58,0,4,0.983,21,0.0
7.678,35.824,56.0,58.0,29,10,0,0,36.0,13,3,1,22,33.342,27,29,55.447,367.54,2,5,0.99,12,3.6
6.0,35.069,55.0,57.0,28,9,0,0,36.0,13,4,1,21,32.837,27,29,54.665,368.53,2,6,0.994,12,3.6
6.0,41.523,63.0,66.0,30,9,0,0,46.0,19,3,1,27,39.252,33,36,62.843,447.6,2,6,0.998,18,3.2
7.959,43.16,66.0,69.0,30,10,0,0,49.0,19,3,1,28,41.546,36,39,66.752,497.61,2,8,1.011,18,3.0
6.181,34.944,55.0,57.0,26,9,0,0,38.0,13,4,1,21,33.603,29,31,55.69,404.51,2,8,1.013,12,3.6
6.0,43.052,67.0,70.0,33,11,0,0,46.5,18,5,1,26,40.627,34,37,66.861,463.64,3,8,0.998,17,4.5
8.398,39.802,63.0,65.0,33,12,0,0,39.0,13,3,1,24,37.111,30,32,62.541,411.6,3,6,0.993,12,4.8
6.0,38.898,60.0,62.0,30,11,1,0,39.0,13,3,1,23,36.411,30,32,59.981,432.01,3,7,1.0,12,5.0
6.0,47.591,74.0,77.0,34,12,0,0,53.0,19,3,1,30,46.029,40,43,75.174,557.67,4,10,1.016,18,5.4
6.0,44.745,69.0,72.0,33,10,0,0,49.0,19,4,1,28,42.515,36,39,69.156,492.65,3,8,1.002,18,4.3
6.0,42.506,68.0,70.0,35,13,0,0,42.0,13,4,1,25,40.042,33,35,68.039,458.64,3,8,1.001,12,4.4
6.0,46.569,72.0,75.0,36,11,0,0,49.0,19,4,1,29,43.659,36,39,71.527,488.69,3,7,0.993,18,4.2
6.0,44.597,67.0,70.0,31,10,1,0,49.0,19,3,1,28,42.321,36,39,67.378,512.07,3,8,1.006,18,4.5
6.0,45.5,70.0,73.0,34,11,0,0,49.0,19,3,1,29,43.021,36,39,69.938,491.66,3,7,0.999,18,4.3
6.0,45.563,70.0,73.0,35,11,0,0,48.0,19,3,1,29,42.637,35,38,69.425,473.67,3,6,0.992,18,4.3
6.0,46.506,72.0,75.0,35,11,0,0,50.0,19,4,1,29,44.042,37,40,72.039,506.68,3,8,1.001,18,4.2
6.0,50.506,76.0,80.0,35,9,0,0,58.0,25,4,1,33,48.042,41,45,76.039,554.72,3,8,1.001,24,3.9
6.0,38.983,62.0,64.0,31,11,0,0,40.0,13,4,1,23,36.988,31,33,62.272,430.58,3,8,1.004,12,4.8
7.745,36.682,56.0,58.0,28,10,1,0,37.0,13,3,1,22,34.17,28,30,55.771,401.98,2,6,0.996,12,3.6
6.196,36.682,56.0,58.0,28,10,1,0,37.0,13,3,1,22,34.17,28,30,55.771,401.98,2,6,0.996,12,3.6
7.658,39.739,63.0,65.0,32,12,0,0,40.0,13,3,1,24,37.494,31,33,63.054,429.59,3,7,1.001,12,4.8
6.0,37.978,60.0,62.0,30,11,0,0,39.0,13,3,1,23,35.967,30,32,60.17,415.56,3,7,1.003,12,5.0
7.658,37.586,59.0,61.0,31,11,0,0,37.0,13,3,1,23,34.869,28,30,58.33,381.57,2,5,0.989,12,3.4
6.0,47.262,73.0,76.0,36,12,0,0,50.0,19,3,1,30,44.547,37,40,72.821,505.69,3,7,0.998,18,4.1
6.0,34.455,54.0,56.0,26,9,0,0,37.0,13,3,1,21,32.914,28,30,54.403,387.5,3,7,1.007,12,5.6
7.553,87.683,139.0,143.0,68,22,0,0,94.0,30,10,8,51,83.639,71,75,139.915,981.29,10,20,1.007,22,7.2
7.538,102.421,158.0,164.0,74,21,0,0,116.0,43,10,9,63,97.934,84,90,158.894,1147.47,11,21,1.006,34,7.0
7.91,102.421,158.0,164.0,74,21,0,0,116.0,43,10,9,63,97.934,84,90,158.894,1147.47,11,21,1.006,34,7.0
7.783,92.444,145.0,150.0,70,22,0,0,101.5,35,10,8,55,88.166,75,80,145.799,1031.35,10,20,1.006,27,6.9
6.379,93.444,146.0,151.0,70,21,0,0,103.0,36,10,8,56,89.166,76,81,146.799,1043.36,10,20,1.005,28,6.8
6.793,93.444,146.0,151.0,70,21,0,0,103.0,36,10,8,56,89.166,76,81,146.799,1043.36,10,20,1.005,28,6.8
8.31,107.183,164.0,171.0,76,21,0,0,123.5,48,10,9,67,102.461,88,95,164.777,1197.53,11,21,1.005,39,6.7
5.432,43.444,66.0,70.0,34,11,0,0,46.5,21,4,0,28,39.988,32,36,64.661,426.66,0,4,0.98,21,0.0
6.699,46.989,74.0,77.0,38,13,0,0,47.5,17,2,0,29,44.099,36,39,73.745,494.69,5,7,0.997,17,6.8
7.155,46.086,71.0,74.0,35,12,1,0,47.5,17,2,0,28,43.4,36,39,71.185,515.1,5,8,1.003,17,7.0
7.0,48.228,74.0,78.0,36,11,0,0,53.0,22,2,0,31,45.572,38,42,73.861,516.69,5,7,0.998,22,6.8
6.796,43.466,68.0,71.0,34,11,0,0,45.5,17,2,0,27,41.046,34,37,67.978,466.63,5,7,1.0,17,7.4
6.796,45.228,71.0,74.0,36,12,0,0,46.5,17,2,0,28,42.572,35,38,70.861,480.66,5,7,0.998,17,7.0
7.155,47.54,73.0,76.0,35,12,1,0,50.5,18,2,1,29,45.115,38,41,73.512,543.11,6,9,1.007,17,8.2
7.301,47.54,73.0,76.0,35,12,1,0,50.5,18,2,1,29,45.115,38,41,73.512,543.11,6,9,1.007,17,8.2
6.699,48.444,76.0,79.0,38,13,0,0,50.5,18,2,1,30,45.814,38,41,76.072,522.7,6,8,1.001,17,7.9
6.745,48.444,76.0,79.0,38,13,0,0,50.5,18,2,1,30,45.814,38,41,76.072,522.7,6,8,1.001,17,7.9
6.699,49.682,76.0,80.0,36,11,0,0,56.0,23,2,1,32,47.287,40,44,76.189,544.7,6,8,1.002,22,7.9
5.222,46.972,70.0,73.0,33,11,2,1,49.5,18,2,1,28,44.06,37,40,70.378,545.15,5,9,1.005,17,7.1
5.0,57.154,92.0,94.0,49,20,1,1,55.0,15,5,5,31,53.172,43,45,91.988,619.92,6,12,1.0,10,6.5
6.381,58.29,92.0,95.0,47,17,0,0,60.0,20,5,4,35,54.744,45,48,91.701,617.87,5,10,0.997,16,5.4
6.547,56.836,90.0,93.0,47,17,0,0,57.0,19,5,3,34,53.029,43,46,89.374,589.86,4,9,0.993,16,4.4
6.0,78.171,122.0,125.0,58,20,2,2,83.0,24,10,8,42,74.379,64,67,123.65,927.24,10,22,1.014,16,8.2
5.0,41.165,64.0,66.0,29,8,0,0,48.0,19,5,3,25,39.866,35,37,65.003,485.59,3,10,1.016,16,4.7
6.0,78.171,122.0,125.0,58,20,2,2,83.0,24,10,8,42,74.379,64,67,123.65,927.24,10,22,1.014,16,8.2
5.638,49.035,71.0,76.0,32,8,1,1,60.0,31,6,1,31,45.879,39,44,70.501,536.76,1,8,0.993,30,1.4
5.301,34.108,47.0,51.0,19,1,0,0,46.0,28,3,0,25,32.279,28,32,46.374,361.47,0,3,0.987,28,0.0
5.0,44.387,67.0,71.0,32,9,0,0,51.5,23,6,2,28,41.692,35,39,66.425,468.66,1,7,0.991,21,1.5
5.301,65.109,100.0,105.0,51,16,0,0,68.0,28,3,0,42,60.567,49,54,98.821,661.96,4,7,0.988,28,4.0
6.367,32.267,47.0,50.0,19,3,0,0,44.0,24,5,2,21,31.224,28,31,47.349,373.45,2,7,1.007,22,4.3
5.796,44.79,67.0,71.0,33,12,1,1,49.0,21,5,1,27,41.384,34,38,66.283,475.72,1,7,0.989,20,1.5
5.301,31.114,45.0,48.0,20,3,0,0,39.0,22,4,0,21,29.3,25,28,44.476,328.45,0,4,0.988,22,0.0
6.222,34.762,48.0,52.0,20,3,1,1,45.0,26,4,0,23,32.487,28,32,47.552,384.54,0,5,0.991,26,0.0
7.486,88.217,137.0,141.0,66,22,2,2,93.0,29,10,7,49,83.487,71,75,138.185,1019.39,10,22,1.009,22,7.3
6.0,117.791,175.0,183.0,79,20,2,2,136.0,55,11,9,73,111.669,96,104,175.588,1334.77,10,23,1.003,46,5.7
5.924,32.12,47.0,50.0,21,3,0,0,40.5,22,5,1,21,30.321,26,29,46.578,343.47,0,5,0.991,21,0.0
5.627,37.881,54.0,58.0,23,2,0,0,49.5,28,5,1,26,35.848,31,35,53.461,405.54,0,5,0.99,27,0.0
5.648,37.756,54.0,58.0,21,2,0,0,51.5,28,5,1,26,36.615,33,37,54.487,441.52,0,7,1.009,27,0.0
5.0,37.307,56.0,59.0,26,6,0,0,44.5,22,4,1,24,35.31,30,33,55.781,402.54,2,6,0.996,21,3.6
5.947,39.909,58.0,62.0,22,3,0,0,54.5,28,5,1,27,39.24,36,40,59.21,489.54,1,9,1.021,27,1.7
5.728,44.927,66.0,70.0,31,6,0,0,53.5,28,5,1,30,41.955,35,39,64.996,461.66,0,5,0.985,27,0.0
6.0,100.393,151.0,157.0,69,21,3,2,112.5,41,12,8,58,95.169,82,88,152.268,1177.98,9,24,1.008,33,6.0
6.793,100.393,151.0,157.0,69,21,3,2,112.5,41,12,8,58,95.169,82,88,152.268,1177.98,9,24,1.008,33,6.0
6.996,98.637,149.0,155.0,68,21,3,2,111.0,40,13,8,56,93.664,81,87,150.486,1166.96,9,25,1.01,32,6.0
5.562,103.592,160.0,165.0,76,22,1,0,114.0,42,11,8,62,98.595,84,89,160.875,1170.94,10,22,1.005,34,6.3
5.736,108.353,166.0,172.0,78,22,1,0,121.5,47,11,8,66,103.122,88,94,166.759,1221.0,10,22,1.005,39,6.0
6.538,103.745,156.0,163.0,71,20,2,2,119.0,46,11,8,62,98.562,85,92,157.054,1194.58,10,23,1.007,38,6.4
7.666,108.353,166.0,172.0,78,22,1,0,121.5,47,11,8,66,103.122,88,94,166.759,1221.0,10,22,1.005,39,6.0
5.93,101.427,158.0,163.0,75,21,0,0,113.0,42,11,8,61,96.956,83,88,158.995,1138.47,11,22,1.006,34,7.0
6.46,138.774,219.0,224.0,104,35,2,2,149.0,43,18,15,76,132.993,115,120,222.199,1638.12,19,39,1.015,28,8.7
6.854,98.631,148.0,154.0,67,20,3,2,111.5,41,12,8,57,93.642,81,87,149.385,1163.95,9,24,1.009,33,6.1
7.397,100.393,151.0,157.0,69,21,3,2,112.5,41,12,8,58,95.169,82,88,152.268,1177.98,9,24,1.008,33,6.0
6.975,101.296,154.0,160.0,72,22,2,2,112.5,41,12,8,59,95.868,82,88,154.828,1157.57,9,23,1.005,33,5.8
8.854,138.774,219.0,224.0,104,35,2,2,149.0,43,18,15,76,132.993,115,120,222.199,1638.12,19,39,1.015,28,8.7
7.032,100.393,151.0,157.0,69,21,3,2,112.5,41,12,8,58,95.169,82,88,152.268,1177.98,9,24,1.008,33,6.0
7.053,100.393,151.0,157.0,69,21,3,2,112.5,41,12,8,58,95.169,82,88,152.268,1177.98,9,24,1.008,33,6.0
6.951,102.154,154.0,160.0,71,22,3,2,113.5,41,12,8,59,96.696,83,89,155.152,1192.01,9,24,1.007,33,5.8
8.223,100.393,151.0,157.0,69,21,3,2,112.5,41,12,8,58,95.169,82,88,152.268,1177.98,9,24,1.008,33,6.0
6.0,100.393,151.0,157.0,69,21,3,2,112.5,41,12,8,58,95.169,82,88,152.268,1177.98,9,24,1.008,33,6.0
6.504,97.024,148.0,154.0,68,21,2,2,110.0,40,14,8,55,92.331,80,86,149.381,1133.51,9,25,1.009,32,6.1
6.754,102.541,155.0,162.0,71,21,2,2,117.5,45,13,8,60,97.363,84,91,156.046,1182.58,9,24,1.007,37,5.8
6.0,93.347,139.0,145.0,61,17,3,2,108.5,41,12,8,54,89.062,78,84,140.734,1121.86,9,24,1.012,33,6.5
6.0,95.109,142.0,148.0,63,18,3,2,109.5,41,12,8,55,90.589,79,85,143.617,1135.89,9,24,1.011,33,6.3
6.116,104.916,158.0,164.0,73,22,3,2,116.0,42,12,8,61,99.223,85,91,159.035,1218.05,9,24,1.007,34,5.7
9.585,138.774,219.0,224.0,104,35,2,2,149.0,43,18,15,76,132.993,115,120,222.199,1638.12,19,39,1.015,28,8.7
8.509,138.774,219.0,224.0,104,35,2,2,149.0,43,18,15,76,132.993,115,120,222.199,1638.12,19,39,1.015,28,8.7
6.255,136.223,216.0,220.0,103,35,2,2,144.0,39,17,15,74,130.686,113,117,219.424,1615.08,20,39,1.016,24,9.3
7.387,136.223,216.0,220.0,103,35,2,2,144.0,39,17,15,74,130.686,113,117,219.424,1615.08,20,39,1.016,24,9.3
7.161,140.529,221.0,226.0,105,35,2,2,150.5,44,17,15,78,134.498,116,121,223.981,1649.14,19,38,1.013,29,8.6
8.62,140.529,221.0,226.0,105,35,2,2,150.5,44,17,15,78,134.498,116,121,223.981,1649.14,19,38,1.013,29,8.6
6.0,142.541,225.0,230.0,107,36,2,2,152.5,44,19,15,78,136.541,118,123,228.184,1679.18,19,40,1.014,29,8.4
6.0,142.541,225.0,230.0,107,36,2,2,152.5,44,19,15,78,136.541,118,123,228.184,1679.18,19,40,1.014,29,8.4
7.796,93.217,142.0,147.0,66,20,2,2,103.0,36,10,8,54,88.487,76,81,143.185,1079.44,10,22,1.008,28,7.0
8.222,94.972,144.0,149.0,67,20,2,2,104.5,37,9,8,56,89.992,77,82,144.966,1090.46,10,21,1.007,29,6.9
6.0,96.984,148.0,153.0,69,21,2,2,106.5,37,11,8,56,92.035,79,84,149.17,1120.5,10,23,1.008,29,6.8
6.0,96.984,148.0,153.0,69,21,2,2,106.5,37,11,8,56,92.035,79,84,149.17,1120.5,10,23,1.008,29,6.8
8.076,41.154,58.0,62.0,25,6,2,1,50.0,26,6,0,25,38.411,33,37,57.847,477.08,0,8,0.997,26,0.0
7.292,37.642,53.0,56.0,24,6,2,1,42.5,21,5,0,22,34.587,29,32,52.651,470.48,0,7,0.993,21,0.0
7.469,42.057,61.0,65.0,28,7,1,1,50.0,26,6,0,26,39.11,33,37,60.407,456.67,0,7,0.99,26,0.0
7.252,39.54,57.0,61.0,25,6,1,1,49.0,26,7,0,24,37.078,32,36,56.741,443.63,0,8,0.995,26,0.0
7.569,41.052,59.0,63.0,27,6,1,1,49.0,26,5,0,26,38.089,32,36,58.305,441.65,0,6,0.988,26,0.0
7.194,39.296,57.0,61.0,26,6,1,1,47.5,25,6,0,24,36.583,31,35,56.523,430.63,0,7,0.992,25,0.0
7.284,41.154,58.0,62.0,25,6,2,1,50.0,26,6,0,25,38.411,33,37,57.847,477.08,0,8,0.997,26,0.0
8.032,47.035,69.0,73.0,32,9,1,1,55.0,27,6,1,29,43.879,37,41,68.501,512.74,1,8,0.993,26,1.4
8.57,264.098,427.0,434.0,207,77,3,3,275.0,62,41,34,137,254.04,220,227,434.507,3149.06,39,83,1.018,28,9.1
5.886,44.574,65.0,69.0,31,8,1,1,51.0,26,5,0,28,41.142,34,38,64.072,469.71,0,6,0.986,26,0.0
8.0,40.296,58.0,62.0,26,6,1,1,49.0,26,6,0,25,37.583,32,36,57.523,442.64,0,7,0.992,26,0.0
7.237,39.938,56.0,60.0,25,6,2,2,47.5,25,5,0,24,36.749,31,35,55.498,447.68,0,7,0.991,25,0.0
6.387,41.052,59.0,63.0,27,6,1,1,49.0,26,5,0,26,38.089,32,36,58.305,441.65,0,6,0.988,26,0.0
7.119,77.024,121.0,125.0,60,20,0,0,82.0,28,8,6,46,72.872,61,65,121.079,837.14,7,15,1.001,22,5.8
6.9,75.262,118.0,122.0,58,19,0,0,81.0,28,8,6,45,71.345,60,64,118.196,823.11,7,15,1.002,22,5.9
7.276,75.262,118.0,122.0,58,19,0,0,81.0,28,8,6,45,71.345,60,64,118.196,823.11,7,15,1.002,22,5.9
6.607,75.262,118.0,122.0,58,19,0,0,81.0,28,8,6,45,71.345,60,64,118.196,823.11,7,15,1.002,22,5.9
6.708,77.024,121.0,125.0,60,20,0,0,82.0,28,8,6,46,72.872,61,65,121.079,837.14,7,15,1.001,22,5.8
6.863,77.024,121.0,125.0,60,20,0,0,82.0,28,8,6,46,72.872,61,65,121.079,837.14,7,15,1.001,22,5.8
6.58,78.785,124.0,128.0,62,21,0,0,83.0,28,8,6,47,74.398,62,66,123.963,851.17,7,15,1.0,22,5.6
6.554,103.83,154.0,161.0,70,18,2,2,119.0,48,10,8,64,98.111,84,91,154.297,1171.58,8,20,1.002,40,5.2
6.742,103.83,154.0,161.0,70,18,2,2,119.0,48,10,8,64,98.111,84,91,154.297,1171.58,8,20,1.002,40,5.2
5.658,43.444,66.0,70.0,34,11,0,0,46.5,21,4,0,28,39.988,32,36,64.661,426.66,0,4,0.98,21,0.0
6.0,37.853,56.0,61.0,26,8,0,0,45.5,21,4,0,25,35.595,30,35,55.454,398.55,1,5,0.99,21,1.8
5.609,106.603,160.0,167.0,74,21,2,2,120.5,47,12,8,64,100.68,86,93,160.384,1203.64,8,22,1.002,39,5.0
6.818,94.984,146.0,151.0,69,22,2,2,103.5,35,11,8,54,90.035,77,82,147.17,1096.48,10,23,1.008,27,6.8
6.91,94.984,146.0,151.0,69,22,2,2,103.5,35,11,8,54,90.035,77,82,147.17,1096.48,10,23,1.008,27,6.8
6.658,87.154,135.0,139.0,63,20,2,2,95.0,30,11,8,48,83.169,72,76,136.847,1034.36,11,24,1.014,22,8.1
6.0,94.37,144.0,149.0,65,19,2,2,107.0,37,11,9,54,90.411,79,84,146.057,1124.44,12,25,1.014,28,8.3
6.175,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
7.757,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
6.639,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
5.0,48.12,74.0,78.0,37,12,0,0,52.0,19,5,3,30,44.965,37,41,73.301,499.72,2,7,0.991,16,2.7
5.921,47.148,71.0,75.0,34,9,0,0,55.0,27,6,1,30,44.218,37,41,70.309,494.7,1,7,0.99,26,1.4
6.102,34.12,49.0,53.0,21,3,0,0,45.0,26,5,0,23,32.321,28,32,48.578,367.49,0,5,0.991,26,0.0
6.0,144.12,222.0,229.0,105,33,2,2,156.5,53,13,12,85,137.037,117,124,223.686,1645.17,17,32,1.008,41,7.7
