pXC50,LOC,MATS3p,Chi1_EA.ed.,Eig11_EA.bo.,Eig12_AEA.bo.,Eig12_AEA.ri.,Eig15_EA.bo.,Vindex,Xindex,Eig05_AEA.ed.,Eig05_EA.ed.,SM14_AEA.dm.,JGI5,GNar,HNar,IVDE,X0A,SpMax5_Bh.e.,Eig12_EA,Eig12_EA.bo.,Eig12_EA.ri.,Eig13_AEA.bo.,SM06_AEA.dm.,SpMAD_AEA.ed.,ZM2V,PDI,Yindex,CIC5,SIC5,MATS3v,JGT,D.Dtr06,Eig14_AEA.bo.,Eig14_EA.bo.,Eig15_AEA.bo.,Eta_beta,Eta_betaP,Eta_FL,NaaCH,nAB,nBM,nCar,nCsp2,piPC01,piPC02,piPC03,SaaCH,SCBO,SM02_AEA.bo.,SM02_EA.bo.,SM03_AEA.bo.,SpAD_EA.bo.,SpMax4_Bh.e.,SpMax4_Bh.i.,SpMax4_Bh.p.,SpMax4_Bh.v.,SpMax5_Bh.v.,SpMin4_Bh.e.,SpMin4_Bh.i.,SpMin4_Bh.p.
7.602,1.187,0.07,6.388,1.45,2.278,1.967,0.898,0.214,0.325,5.683,7.512,7.512,0.029,2.023,1.862,1.51,0.717,3.459,1.06,1.185,0.965,2.06,1.06,1.605,525.0,0.949,0.626,0.589,0.902,0.088,0.431,403.591,2.028,1.0,2.0,43.25,20.0,8.875,7,17,19,16,18,3.922,4.522,5.175,13.038,49.5,5.178,5.209,6.389,72.99,3.608,3.627,3.477,3.487,3.234,1.551,1.53,1.732
6.77,1.175,0.069,6.57,1.704,2.361,1.984,0.692,0.226,0.338,5.894,7.981,7.981,0.029,1.992,1.814,1.549,0.725,3.384,1.09,1.22,0.983,2.168,1.09,1.632,583.0,0.917,0.68,1.174,0.81,0.082,0.467,439.564,2.0,1.0,1.858,47.0,21.5,9.919,5,17,19,16,18,3.98,4.595,5.264,8.603,52.5,5.248,5.283,6.471,77.76,3.636,3.637,3.488,3.509,3.154,1.549,1.545,1.747
8.208,1.193,0.085,6.443,1.597,2.374,2.04,0.966,0.217,0.328,5.774,7.68,7.68,0.031,2.007,1.835,1.536,0.721,3.46,1.122,1.264,1.005,2.068,1.122,1.617,560.0,0.949,0.638,0.589,0.902,0.101,0.45,414.748,2.041,1.0,2.0,44.0,20.0,8.963,6,17,19,16,18,3.942,4.554,5.212,10.644,50.5,5.205,5.242,6.425,74.705,3.611,3.626,3.485,3.493,3.236,1.549,1.531,1.728
4.0,1.187,0.102,6.419,1.565,2.423,2.06,0.681,0.217,0.328,5.705,7.644,7.644,0.029,2.023,1.862,1.51,0.717,3.458,1.119,1.322,1.043,2.05,1.119,1.603,538.0,0.947,0.642,0.723,0.88,0.09,0.437,403.377,2.0,1.0,1.858,43.75,20.0,8.957,6,17,19,15,17,3.922,4.522,5.166,10.509,49.5,5.178,5.209,6.389,72.978,3.635,3.646,3.48,3.499,3.229,1.548,1.535,1.752
7.921,1.22,0.075,6.615,1.519,2.312,1.996,0.93,0.214,0.325,5.709,7.597,7.597,0.029,2.007,1.839,1.529,0.721,3.46,1.084,1.211,0.978,2.062,1.084,1.608,561.0,0.941,0.63,0.623,0.898,0.085,0.452,431.383,2.033,1.0,2.0,45.25,20.5,9.359,6,17,19,16,18,3.961,4.564,5.216,10.843,51.5,5.222,5.252,6.437,76.014,3.627,3.639,3.483,3.498,3.236,1.553,1.538,1.746
4.0,1.291,0.091,5.38,1.15,1.866,1.515,0.35,0.28,0.415,5.761,7.664,7.664,0.03,1.942,1.752,1.569,0.736,3.331,0.592,0.726,0.54,1.576,0.592,1.647,520.0,0.932,0.856,1.147,0.804,0.071,0.487,266.14,1.543,0.441,1.472,42.75,21.5,9.376,5,17,19,16,18,3.839,4.489,5.178,8.272,45.5,5.095,5.176,6.341,67.316,3.403,3.428,3.137,3.171,3.096,1.271,1.238,1.605
4.481,1.124,0.087,6.823,1.713,2.426,2.114,1.0,0.188,0.284,5.894,7.989,7.989,0.028,2.081,1.932,1.462,0.706,3.462,1.163,1.323,1.094,2.188,1.163,1.598,575.0,0.954,0.553,0.71,0.883,0.072,0.421,399.448,2.05,1.013,2.0,46.75,21.0,9.823,6,17,19,16,18,3.98,4.585,5.243,10.697,52.5,5.248,5.273,6.457,78.217,3.646,3.652,3.488,3.51,3.239,1.552,1.541,1.754
6.638,1.363,0.01,5.677,1.151,2.167,1.824,0.441,0.28,0.416,5.843,7.8,7.8,0.031,1.93,1.736,1.57,0.739,3.363,0.855,1.037,0.811,1.848,0.855,1.651,538.0,0.922,0.858,1.282,0.786,0.027,0.492,286.076,1.576,0.452,1.543,44.25,21.5,9.715,5,17,19,16,18,3.882,4.522,5.211,8.575,47.5,5.143,5.209,6.386,70.329,3.528,3.566,3.281,3.308,3.111,1.436,1.379,1.703
4.886,1.133,0.068,4.74,0.615,1.576,1.27,-0.162,0.272,0.407,5.658,7.42,7.42,0.03,1.973,1.794,1.556,0.729,3.277,0.396,0.452,0.342,1.497,0.396,1.631,428.0,0.929,0.817,1.181,0.795,0.054,0.484,229.544,1.398,0.322,1.178,37.5,19.0,8.113,5,17,17,16,16,3.701,4.369,5.07,9.18,39.5,4.951,5.056,6.193,59.028,3.303,3.355,3.078,3.088,3.026,1.227,1.173,1.558
8.796,0.646,-0.136,5.843,1.245,2.215,1.984,0.447,0.162,0.253,5.316,6.786,6.786,0.025,2.16,2.044,1.332,0.689,3.399,1.014,1.188,0.983,2.0,1.014,1.538,490.0,0.99,0.446,0.462,0.919,-0.09,0.413,322.259,1.908,0.796,1.607,41.0,19.5,7.897,6,17,18,14,15,3.818,4.431,5.009,11.348,44.5,5.077,5.118,6.279,67.085,3.494,3.539,3.307,3.328,3.186,1.387,1.34,1.596
5.678,1.367,0.066,5.54,1.15,1.877,1.548,0.36,0.28,0.415,5.777,7.7,7.7,0.03,1.944,1.759,1.568,0.735,3.349,0.647,0.764,0.576,1.576,0.647,1.645,538.0,0.919,0.855,1.255,0.788,0.077,0.48,276.108,1.544,0.441,1.481,43.5,21.5,9.627,5,17,19,16,18,3.861,4.5,5.194,8.348,46.5,5.113,5.187,6.353,68.174,3.425,3.435,3.145,3.184,3.1,1.286,1.259,1.623
5.62,1.254,0.093,6.948,1.703,2.169,2.026,0.841,0.213,0.322,5.713,7.656,7.656,0.027,2.007,1.846,1.513,0.72,3.455,1.108,1.15,1.008,2.117,1.108,1.597,558.0,0.924,0.624,1.161,0.815,0.059,0.442,458.964,2.0,1.0,1.932,46.5,20.0,10.056,5,17,18,16,17,3.98,4.575,5.227,9.467,52.5,5.238,5.263,6.443,77.304,3.64,3.654,3.488,3.506,3.231,1.565,1.547,1.764
6.409,1.17,0.116,6.533,1.616,2.169,1.952,0.664,0.229,0.342,5.892,7.968,7.968,0.028,2.007,1.839,1.529,0.721,3.375,1.09,1.15,0.946,2.137,1.09,1.617,580.0,0.936,0.695,1.225,0.799,0.1,0.438,424.154,2.0,1.0,1.851,46.75,21.5,10.135,5,17,19,16,18,3.961,4.575,5.254,8.669,51.5,5.222,5.263,6.442,76.161,3.62,3.622,3.447,3.468,3.133,1.528,1.517,1.739
4.523,1.244,0.097,6.846,1.709,2.426,2.112,1.0,0.217,0.327,5.895,7.991,7.991,0.029,1.992,1.818,1.544,0.724,3.461,1.163,1.323,1.089,2.09,1.163,1.621,582.0,0.933,0.64,0.881,0.859,0.084,0.46,459.034,2.049,1.01,2.0,48.0,21.5,10.28,5,17,19,16,18,3.998,4.605,5.264,8.569,53.5,5.264,5.293,6.482,79.09,3.644,3.652,3.487,3.509,3.236,1.556,1.545,1.76
7.31,1.244,0.098,6.846,1.709,2.426,2.111,1.0,0.217,0.327,5.895,7.991,7.991,0.029,1.992,1.818,1.544,0.724,3.46,1.163,1.323,1.089,2.09,1.163,1.621,598.0,0.93,0.64,0.877,0.858,0.095,0.46,459.034,2.049,1.01,2.0,47.5,21.0,10.13,5,17,19,16,18,3.998,4.605,5.264,8.546,53.5,5.264,5.293,6.482,79.09,3.643,3.65,3.488,3.509,3.236,1.555,1.544,1.758
7.678,1.193,0.052,6.472,1.451,2.307,1.968,0.939,0.215,0.326,5.689,7.524,7.524,0.029,2.007,1.835,1.536,0.721,3.46,1.061,1.209,0.965,2.064,1.061,1.613,559.0,0.949,0.632,0.589,0.902,0.068,0.458,416.942,2.037,1.0,2.0,44.0,20.0,8.948,6,17,19,16,18,3.942,4.554,5.2,10.635,50.5,5.205,5.242,6.425,74.705,3.613,3.626,3.493,3.499,3.235,1.546,1.531,1.724
4.0,1.367,0.1,5.54,1.15,1.877,1.557,0.36,0.28,0.415,5.777,7.7,7.7,0.03,1.944,1.759,1.568,0.735,3.357,0.647,0.764,0.583,1.576,0.647,1.645,528.0,0.927,0.855,1.136,0.808,0.11,0.48,276.108,1.544,0.441,1.481,43.5,21.5,9.573,5,17,19,16,18,3.861,4.5,5.194,8.5,46.5,5.113,5.187,6.353,68.174,3.465,3.512,3.195,3.228,3.104,1.356,1.298,1.667
4.0,1.075,0.017,5.22,1.151,1.859,1.495,0.342,0.237,0.352,5.77,7.665,7.665,0.032,2.008,1.811,1.546,0.724,3.303,0.564,0.699,0.518,1.783,0.564,1.672,523.0,0.96,0.722,1.173,0.797,0.03,0.484,218.509,1.576,0.452,1.525,42.75,21.5,9.103,5,17,19,16,18,3.839,4.511,5.227,8.791,45.5,5.119,5.198,6.372,68.322,3.384,3.428,3.151,3.178,3.079,1.461,1.413,1.686
4.0,1.231,0.083,7.411,1.97,2.482,2.116,1.005,0.197,0.303,5.885,7.971,7.971,0.029,1.993,1.83,1.523,0.723,3.477,1.176,1.348,1.095,2.418,1.176,1.597,617.0,0.923,0.563,1.093,0.828,0.071,0.452,522.984,2.144,1.074,2.05,51.25,23.0,11.13,5,17,20,16,20,4.069,4.654,5.305,8.812,57.5,5.324,5.342,6.533,83.826,3.658,3.665,3.512,3.531,3.312,1.578,1.568,1.769
4.0,1.195,0.075,6.112,1.305,2.118,1.9,0.658,0.217,0.328,5.673,7.51,7.51,0.029,2.042,1.889,1.484,0.713,3.457,0.978,1.011,0.887,2.05,0.978,1.587,502.0,0.948,0.639,0.746,0.875,0.081,0.415,289.442,2.0,0.927,1.844,40.25,18.0,8.328,6,16,18,14,16,3.871,4.463,5.12,11.147,47.0,5.124,5.15,6.33,69.081,3.631,3.641,3.481,3.499,3.228,1.467,1.43,1.672
4.0,1.185,0.126,6.674,1.377,2.182,1.968,0.761,0.211,0.32,5.745,7.562,7.562,0.029,2.007,1.843,1.522,0.721,3.446,1.111,1.164,0.965,2.067,1.111,1.609,548.0,0.916,0.615,1.144,0.816,0.102,0.447,449.347,2.0,1.0,1.937,45.75,20.0,9.822,5,17,18,16,17,3.961,4.564,5.232,9.065,51.5,5.222,5.252,6.432,76.293,3.629,3.648,3.485,3.5,3.229,1.561,1.542,1.754
4.284,1.244,0.109,6.863,1.757,2.427,2.114,0.999,0.218,0.329,5.906,8.018,8.018,0.031,1.992,1.818,1.544,0.724,3.46,1.163,1.323,1.092,2.084,1.163,1.622,574.0,0.928,0.646,1.033,0.835,0.088,0.46,457.269,2.047,1.0,2.0,47.25,21.0,10.099,5,17,19,16,18,3.998,4.605,5.264,8.94,53.5,5.264,5.293,6.482,79.054,3.643,3.651,3.487,3.508,3.235,1.556,1.545,1.759
6.108,1.185,0.062,6.283,1.553,2.168,1.926,0.583,0.232,0.345,5.893,7.972,7.972,0.028,2.007,1.835,1.536,0.721,3.375,1.09,1.15,0.904,1.921,1.09,1.616,560.0,0.943,0.705,1.243,0.796,0.09,0.444,300.744,1.803,0.618,1.618,45.75,21.5,9.637,5,17,19,16,18,3.942,4.564,5.248,8.763,50.5,5.205,5.252,6.43,74.743,3.626,3.628,3.478,3.497,3.137,1.577,1.507,1.751
6.495,1.19,0.046,6.709,1.708,2.394,2.004,0.712,0.222,0.333,5.895,7.99,7.99,0.03,1.992,1.818,1.544,0.724,3.405,1.09,1.262,0.985,2.168,1.09,1.624,584.0,0.92,0.662,1.154,0.815,0.076,0.46,455.691,2.0,1.0,1.86,47.5,21.5,9.966,5,17,19,16,18,3.998,4.605,5.274,8.664,53.5,5.264,5.293,6.482,79.0,3.644,3.646,3.498,3.52,3.184,1.558,1.554,1.753
5.678,1.17,0.075,6.533,1.616,2.169,1.984,0.664,0.229,0.342,5.892,7.968,7.968,0.028,2.007,1.839,1.529,0.721,3.381,1.09,1.15,0.983,2.137,1.09,1.617,564.0,0.941,0.695,1.219,0.802,0.11,0.438,424.154,2.0,1.0,1.851,46.25,21.5,9.637,5,17,19,16,18,3.961,4.575,5.254,8.794,51.5,5.222,5.263,6.442,76.161,3.634,3.636,3.488,3.507,3.152,1.551,1.545,1.746
7.62,1.244,0.081,6.846,1.709,2.426,2.111,1.0,0.217,0.327,5.895,7.991,7.991,0.029,1.992,1.818,1.544,0.724,3.46,1.163,1.323,1.089,2.09,1.163,1.621,598.0,0.933,0.64,0.877,0.858,0.093,0.46,459.034,2.049,1.01,2.0,47.25,21.0,9.859,5,17,19,16,18,3.998,4.605,5.264,8.822,53.5,5.264,5.293,6.482,79.09,3.643,3.65,3.489,3.509,3.236,1.555,1.544,1.758
5.244,1.059,0.02,5.056,1.065,1.701,1.373,0.327,0.234,0.349,5.696,7.54,7.54,0.026,2.048,1.875,1.522,0.714,3.303,0.464,0.546,0.415,1.576,0.464,1.637,482.0,0.961,0.707,1.188,0.792,0.002,0.458,203.669,1.532,0.42,1.407,39.75,20.0,8.501,5,17,18,16,17,3.773,4.443,5.149,9.327,42.5,5.039,5.13,6.281,63.959,3.315,3.355,3.096,3.111,3.052,1.278,1.26,1.563
4.886,1.143,0.091,4.898,0.618,1.576,1.284,0.321,0.273,0.408,5.694,7.52,7.52,0.029,1.974,1.8,1.549,0.728,3.303,0.403,0.456,0.35,1.576,0.403,1.624,434.0,0.903,0.824,1.139,0.804,0.082,0.47,238.794,1.441,0.356,1.395,37.5,18.5,8.187,5,17,17,16,16,3.726,4.382,5.089,9.16,40.5,4.972,5.069,6.207,60.218,3.306,3.355,3.114,3.124,3.026,1.247,1.203,1.558
4.268,1.193,0.062,6.522,1.637,2.424,2.107,0.682,0.218,0.329,5.755,7.843,7.843,0.029,2.007,1.835,1.536,0.721,3.459,1.161,1.322,1.084,2.05,1.161,1.612,558.0,0.945,0.646,0.835,0.861,0.049,0.46,415.819,2.0,1.0,1.858,44.25,20.0,9.203,6,17,19,16,18,3.942,4.554,5.192,10.173,50.5,5.205,5.242,6.425,74.815,3.639,3.648,3.487,3.507,3.234,1.554,1.543,1.753
4.0,1.22,0.085,6.69,1.616,2.553,2.094,1.0,0.216,0.326,5.887,7.975,7.975,0.029,2.007,1.839,1.529,0.721,3.486,1.147,1.557,1.074,2.423,1.147,1.609,576.0,0.935,0.637,0.72,0.881,0.082,0.444,430.115,2.05,1.013,2.0,48.0,23.0,10.084,7,17,21,16,18,3.998,4.605,5.232,10.881,53.5,5.254,5.293,6.473,78.693,3.65,3.657,3.488,3.51,3.241,1.558,1.546,1.766
5.0,1.204,0.085,6.506,1.823,2.5,2.0,0.683,0.231,0.345,5.99,8.33,8.33,0.031,1.992,1.814,1.549,0.725,3.379,1.111,1.5,1.0,2.184,1.111,1.64,614.0,0.946,0.701,1.12,0.817,0.096,0.457,428.758,1.959,0.835,1.863,51.75,26.0,11.188,8,18,21,18,22,4.007,4.62,5.277,13.765,54.0,5.27,5.308,6.499,79.29,3.598,3.608,3.401,3.437,3.133,1.478,1.468,1.729
6.42,1.17,-0.013,6.559,1.83,2.5,2.0,0.745,0.23,0.343,5.984,8.307,8.307,0.029,2.007,1.839,1.529,0.721,3.378,1.116,1.5,1.0,2.202,1.116,1.618,586.0,0.945,0.698,1.112,0.817,0.005,0.438,421.089,2.007,0.847,1.955,49.75,25.0,10.824,9,18,21,18,22,3.989,4.59,5.232,16.102,53.0,5.244,5.278,6.466,77.533,3.617,3.626,3.422,3.458,3.141,1.503,1.491,1.741
7.585,1.185,0.155,6.33,1.37,2.173,1.952,0.504,0.238,0.352,5.99,8.329,8.329,0.029,2.007,1.835,1.536,0.721,3.36,1.104,1.152,0.946,2.0,1.104,1.631,585.0,0.931,0.729,1.262,0.792,0.132,0.434,398.065,1.958,0.831,1.649,44.0,19.0,9.641,4,12,15,12,16,3.912,4.489,5.133,6.709,49.0,5.187,5.176,6.398,72.089,3.579,3.584,3.374,3.405,3.109,1.459,1.45,1.716
6.046,1.282,0.076,5.063,0.813,1.61,1.302,0.264,0.274,0.409,5.745,7.574,7.574,0.032,1.957,1.771,1.565,0.732,3.303,0.429,0.48,0.369,1.576,0.429,1.643,504.0,0.908,0.83,1.195,0.792,0.072,0.491,247.495,1.469,0.357,1.42,41.0,20.5,8.931,4,17,18,15,16,3.773,4.431,5.13,6.593,42.5,5.026,5.118,6.27,62.974,3.367,3.396,3.071,3.111,3.055,1.246,1.202,1.574
7.854,0.973,-0.011,7.426,2.087,2.852,2.372,1.492,0.183,0.278,5.537,7.131,7.131,0.027,2.061,1.907,1.48,0.71,3.57,1.414,1.883,1.342,2.536,1.414,1.596,647.0,0.972,0.535,0.622,0.898,-0.015,0.423,599.342,2.5,1.5,2.5,58.25,31.5,12.191,13,24,27,23,27,4.111,4.727,5.345,21.854,60.0,5.361,5.416,6.585,88.36,3.833,3.852,3.746,3.751,3.418,1.801,1.779,1.91
6.237,1.2,0.075,6.08,1.191,2.14,1.923,0.478,0.239,0.354,5.99,8.33,8.33,0.029,2.007,1.831,1.542,0.722,3.361,1.015,1.091,0.904,1.958,1.015,1.631,547.0,0.934,0.735,1.262,0.792,0.111,0.441,287.546,1.618,0.618,1.576,42.75,19.0,8.841,4,12,15,12,16,3.892,4.477,5.127,6.871,48.0,5.17,5.165,6.386,70.679,3.585,3.591,3.39,3.423,3.112,1.577,1.507,1.751
4.276,1.193,0.114,6.458,1.693,2.425,2.11,0.7,0.217,0.327,5.882,7.965,7.965,0.03,2.007,1.835,1.536,0.721,3.459,1.162,1.322,1.087,2.051,1.162,1.616,559.0,0.945,0.639,0.712,0.882,0.087,0.462,417.901,2.0,1.0,1.869,44.25,20.0,9.218,6,17,19,16,18,3.942,4.554,5.2,10.263,50.5,5.205,5.242,6.425,74.822,3.64,3.648,3.488,3.507,3.234,1.554,1.543,1.753
9.658,0.973,-0.021,7.426,2.087,2.852,2.368,1.492,0.183,0.278,5.537,7.131,7.131,0.027,2.061,1.907,1.48,0.71,3.569,1.414,1.883,1.33,2.536,1.414,1.596,655.0,0.991,0.535,0.631,0.896,0.002,0.423,599.342,2.5,1.5,2.5,57.5,31.0,11.753,13,24,27,23,27,4.111,4.727,5.345,22.569,60.0,5.361,5.416,6.585,88.36,3.832,3.85,3.752,3.754,3.423,1.803,1.78,1.899
7.013,1.165,0.034,6.136,1.53,2.5,2.0,0.452,0.235,0.349,5.534,6.974,6.974,0.03,2.007,1.831,1.542,0.722,3.353,1.034,1.5,1.0,2.183,1.034,1.637,569.0,0.961,0.716,0.803,0.865,0.035,0.455,385.529,1.791,0.602,1.644,49.0,25.5,10.472,9,18,21,18,22,3.951,4.57,5.214,15.102,51.0,5.212,5.257,6.444,75.023,3.579,3.587,3.391,3.423,3.111,1.468,1.458,1.71
5.678,1.023,-0.042,7.717,2.121,2.913,2.473,1.5,0.184,0.279,5.787,7.602,7.602,0.03,2.044,1.883,1.503,0.713,3.652,1.491,2.071,1.462,2.55,1.491,1.595,657.0,0.978,0.54,0.797,0.872,-0.035,0.427,635.176,2.5,1.5,2.5,59.75,31.5,12.523,13,24,27,23,27,4.143,4.754,5.373,22.77,62.0,5.398,5.442,6.62,91.637,3.835,3.855,3.748,3.752,3.477,1.803,1.78,1.914
8.638,0.981,-0.047,7.769,2.087,2.861,2.376,1.5,0.179,0.273,5.444,7.123,7.123,0.026,2.074,1.938,1.418,0.706,3.58,1.419,1.957,1.352,2.555,1.419,1.571,665.0,0.966,0.521,0.557,0.909,-0.035,0.39,627.58,2.5,1.5,2.5,58.75,30.5,12.448,12,24,27,21,25,4.127,4.718,5.333,20.703,61.0,5.366,5.407,6.574,88.966,3.83,3.853,3.722,3.734,3.418,1.779,1.758,1.913
8.921,0.985,0.013,8.047,2.107,2.935,2.519,1.5,0.173,0.266,5.518,7.4,7.4,0.026,2.057,1.913,1.451,0.709,3.596,1.542,2.031,1.484,2.668,1.542,1.574,681.0,0.962,0.497,0.602,0.904,0.007,0.409,672.852,2.558,1.531,2.5,59.75,30.5,12.523,11,24,27,21,25,4.159,4.754,5.359,19.487,63.0,5.403,5.442,6.613,91.939,3.845,3.86,3.73,3.746,3.43,1.786,1.77,1.926
6.602,1.189,0.047,6.387,1.828,2.641,2.148,0.516,0.237,0.351,5.99,8.332,8.332,0.029,1.992,1.81,1.552,0.725,3.363,1.162,1.686,1.143,2.181,1.162,1.647,606.0,0.952,0.726,1.008,0.833,0.048,0.46,410.866,1.959,0.832,1.733,51.0,26.0,10.972,8,18,21,18,22,3.989,4.61,5.261,13.236,53.0,5.255,5.298,6.489,78.085,3.592,3.596,3.397,3.433,3.116,1.472,1.465,1.719
7.959,0.981,0.008,7.769,2.087,2.861,2.394,1.5,0.179,0.273,5.444,7.123,7.123,0.026,2.074,1.938,1.418,0.706,3.582,1.419,1.957,1.376,2.555,1.419,1.571,667.0,0.966,0.521,0.586,0.904,0.005,0.39,627.58,2.5,1.5,2.5,58.75,30.5,12.453,12,24,27,21,25,4.127,4.718,5.333,20.817,61.0,5.366,5.407,6.574,88.966,3.831,3.853,3.722,3.734,3.422,1.78,1.759,1.914
5.0,1.206,0.036,6.626,1.827,2.5,2.131,0.832,0.228,0.341,5.991,8.335,8.335,0.031,1.978,1.791,1.559,0.728,3.437,1.184,1.5,1.116,2.443,1.184,1.65,624.0,0.94,0.688,1.251,0.797,0.037,0.472,444.492,2.18,1.158,1.959,52.5,26.0,11.327,8,18,21,18,22,4.025,4.64,5.292,13.959,55.0,5.296,5.328,6.528,81.357,3.607,3.627,3.407,3.443,3.212,1.493,1.475,1.745
