pXC50,CATS2D_09_LL,IC3,Eig04_EA.bo.,SM14_AEA.ri.,P_VSA_e_2,X1A,P_VSA_p_3,P_VSA_v_3,LOC,SpMin2_Bh.p.,nBnz,SpMin2_Bh.e.,Eig04_AEA.bo.,SpMax1_Bh.m.,D.Dtr06,SpMaxA_AEA.dm.,SpMax7_Bh.s.,GGI10,Eig06_AEA.bo.,SpMax2_Bh.p.,C.024,SpMin6_Bh.i.,ATSC5m,Eig08_EA.ed.,SM03_AEA.ri.,SpDiam_EA.bo.,ATSC6p,SpMin5_Bh.v.,ATSC5p,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,GGI9,NaaCH,ZM1V,SpMin6_Bh.e.,CATS2D_06_AP,RBN,NRS,SpMin5_Bh.p.,SpMax2_Bh.m.,ATSC5i,SpMin2_Bh.v.,ZM1MulPer,D.Dtr09,IC2,ATSC6v,ATS8m,ZM1Kup,ATSC4i,ATSC3i,ATSC7p,SpMax3_Bh.m.,ATSC6i,D.Dtr05,SpMin2_Bh.i.,SpMAD_AEA.ri.,ATS3p,X3v,RBF,Eig04_EA,SM12_AEA.bo.,C.034,nH,MSD,ATS4p,SaaaC,RDCHI,SpMax4_Bh.p.,SpMax6_Bh.s.,IC5,Eig12_EA.bo.,IDE,GGI8,Eig12_EA,SM06_AEA.dm.,SpMax4_Bh.v.,P_VSA_m_2,CATS2D_04_AP,SpMax2_Bh.v.,GMTI,ATSC4p,IC4,HVcpx,ATSC7v,P_VSA_p_1,ATS7i,Eig10_AEA.ri.,ATS5p,NsOH,SpMin4_Bh.e.,NaaaC,piPC02,SM02_EA.bo.,CSI,Hypnotic.80,GMTIV,SpMax4_Bh.m.,SpMin4_Bh.p.,SpMax2_Bh.i.,SMTI,PJI2,Depressant.80,ATSC1m,SpMin6_Bh.s.,Eig12_EA.ed.,SM07_AEA.ri.,ATS3v,SpMax1_Bh.p.,SpMaxA_EA,ATS4v,nPyrroles,CATS2D_08_LL,SpMin6_Bh.p.,Eig03_EA.bo.,SM13_AEA.ri.,SpMax4_Bh.i.,C.019,MW,SpMin4_Bh.v.,Chi0_EA.ri.,XMOD,P_VSA_LogP_7,UNIP,CIC0,SpMaxA_AEA.ri.,ECC,Eig13_EA.ed.,SM08_AEA.ri.,Chi0_EA.ed.,ATSC3v,CID,S2K,ATS6e,X1,Eig13_AEA.ri.,P_VSA_s_4,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.
6.719,7,4.34,2.099,2.099,102.519,0.466,102.519,102.519,0.463,1.972,2,1.863,2.93,3.862,131.369,0.164,3.598,0.033,2.585,3.805,9,0.821,15.401,1.671,1.671,6.773,4.98,1.133,5.326,3.773,3.773,3.773,0.049,9,218.0,0.883,0,6,2,1.151,3.82,0.685,1.973,231.822,0.0,3.697,7.183,2.673,240.218,0.759,0.826,4.415,3.404,0.635,0.0,1.845,1.399,3.522,2.574,0.167,1.547,1.547,0,17,5.864,3.362,0.0,3.282,2.986,3.674,4.729,-1.178,3.397,0.115,-0.901,-0.901,2.979,120.53,0,3.807,3327.0,5.939,4.672,3.25,6.279,176.567,4.265,0.621,3.26,1,1.149,0,3.738,4.419,363.0,1,8383.0,3.013,1.383,3.905,3284.0,1.0,1,7.718,0.188,-2.011,-2.011,3.42,3.858,0.147,3.23,0,4,1.062,2.136,2.136,3.23,0,243.33,1.404,12.682,55.147,176.567,65.0,3.717,0.197,173.0,-2.347,-2.347,7.944,8.9,3.623,6.915,4.089,8.86,0.0,85.286,9.411,9.411,9.411
6.721,6,5.095,3.113,3.113,135.812,0.444,135.812,135.812,0.688,2.043,2,1.931,3.776,3.969,438.649,0.106,4.582,0.14,3.444,3.875,7,1.117,33.847,4.819,4.819,7.088,11.812,1.681,12.618,4.088,4.088,4.088,0.189,7,484.0,1.159,0,8,3,1.671,3.908,1.51,2.029,518.171,0.0,4.682,16.28,3.615,580.848,1.691,1.757,10.243,3.714,1.452,0.0,1.91,1.475,4.234,5.962,0.131,2.53,2.53,0,26,9.172,4.178,0.0,4.505,3.476,4.602,5.237,1.164,4.118,0.172,0.989,0.989,3.487,138.937,0,3.879,17565.0,13.333,5.237,3.944,14.057,309.238,5.091,2.003,4.093,1,1.586,0,4.331,5.017,1122.0,0,52928.0,3.542,1.779,3.977,16564.0,0.909,0,11.453,0.825,2.275,2.275,4.184,3.917,0.089,4.097,0,7,1.413,3.33,3.33,3.656,0,439.52,1.789,22.2,98.433,282.506,182.0,4.309,0.118,518.0,2.225,2.225,12.8,16.371,4.199,10.286,4.923,15.546,1.932,80.992,17.16,17.16,17.16
7.819,4,4.958,2.826,2.826,126.589,0.454,126.589,126.589,1.055,1.851,1,1.663,3.524,4.716,83.237,0.187,4.044,0.091,2.792,3.91,5,0.83,23.262,1.605,1.605,7.449,7.191,1.494,7.767,4.449,4.449,4.449,0.105,6,392.0,0.903,0,8,2,1.434,4.216,0.965,1.878,427.458,0.0,4.661,8.022,3.258,435.704,1.057,1.115,6.313,3.849,0.901,73.297,1.688,1.448,3.638,4.127,0.2,2.226,2.226,1,17,6.591,3.578,0.0,3.533,3.332,4.305,4.958,-0.556,3.587,0.125,-0.478,-0.478,3.333,123.92,0,3.821,5400.0,7.868,4.958,3.366,7.027,191.527,4.44,1.173,3.551,0,1.448,0,4.039,4.723,479.0,1,19994.0,3.418,1.592,3.892,5422.0,0.857,1,9.477,0.241,-1.236,-1.236,3.547,3.97,0.138,3.477,0,4,1.158,3.479,3.479,3.603,0,344.47,1.618,14.87,80.095,196.073,86.0,3.373,0.178,233.0,-2.251,-2.251,8.686,8.319,3.803,7.902,4.345,10.438,0.0,62.221,11.399,11.399,11.399
4.699,2,4.875,2.812,2.812,152.963,0.443,152.963,152.963,0.674,1.959,2,1.887,3.541,4.022,295.866,0.141,3.928,0.09,3.396,3.88,8,1.16,36.92,3.257,3.257,7.146,11.307,1.519,12.707,4.146,4.146,4.146,0.142,8,416.0,1.22,0,7,3,1.573,3.973,1.541,1.968,442.173,136.863,4.223,14.308,3.541,445.002,1.586,1.574,9.318,3.718,1.373,70.866,1.868,1.48,4.16,6.112,0.123,2.269,2.269,0,25,8.056,4.136,0.0,4.227,3.359,4.306,4.926,1.0,3.898,0.266,0.914,0.914,3.355,132.731,0,3.864,12971.0,12.133,4.926,3.68,12.302,294.278,4.921,2.086,4.053,0,1.524,0,4.22,4.905,857.0,0,34005.0,3.489,1.766,3.989,12156.0,0.889,0,11.61,0.652,2.21,2.21,4.079,3.924,0.103,4.016,0,1,1.405,2.835,2.835,3.603,0,411.57,1.762,20.602,94.379,326.497,145.0,4.143,0.134,392.0,1.439,1.439,11.84,14.57,4.107,9.204,4.83,14.169,1.605,94.988,15.711,15.711,15.711
6.0,1,4.596,2.102,2.102,57.975,0.437,57.975,57.975,1.085,1.884,1,1.681,2.939,3.993,57.903,0.184,3.311,0.0,2.448,3.607,3,0.755,25.39,1.444,1.444,7.058,7.859,1.395,9.949,4.058,4.058,4.058,0.016,3,168.0,0.832,0,2,1,1.363,3.642,1.155,1.905,177.806,43.114,4.221,11.58,1.946,179.795,1.218,1.189,4.852,3.311,0.898,25.018,1.609,1.504,3.904,4.449,0.05,1.65,1.65,0,21,4.054,3.913,0.0,2.91,3.206,3.514,4.807,-0.974,2.849,0.057,-0.933,-0.933,3.183,61.099,0,3.608,2176.0,9.873,4.807,2.78,7.154,235.422,4.443,0.592,3.799,1,1.439,0,3.651,4.331,251.0,1,3897.0,3.152,1.642,3.794,2175.0,0.8,1,9.547,0.425,-2.111,-2.111,3.764,3.987,0.171,3.743,0,2,1.12,2.498,2.498,3.415,0,231.37,1.681,11.924,51.005,235.422,42.0,3.97,0.223,116.0,-3.44,-3.44,6.949,13.47,3.589,4.432,4.567,8.309,-0.408,40.378,9.335,9.335,9.335
8.404,4,4.958,2.826,2.826,120.969,0.454,160.117,160.117,1.055,1.851,1,1.663,3.524,4.717,83.237,0.187,3.98,0.091,2.792,3.91,5,0.837,25.481,1.605,1.605,7.449,7.658,1.494,8.164,4.449,4.449,4.449,0.105,6,392.0,0.904,0,8,2,1.431,4.216,0.854,1.877,427.458,0.0,4.661,8.668,3.326,375.797,0.857,0.961,6.7,3.984,0.8,73.297,1.689,1.45,3.708,4.457,0.2,2.226,2.226,1,17,6.591,3.671,0.0,3.533,3.335,4.188,4.958,-0.556,3.587,0.125,-0.478,-0.478,3.335,118.299,0,3.821,5400.0,8.349,4.958,3.366,7.516,176.567,4.424,1.13,3.612,0,1.448,0,4.039,4.723,479.0,0,19994.0,3.482,1.59,3.892,5422.0,0.857,1,8.71,0.242,-1.236,-1.236,3.585,3.976,0.138,3.517,0,4,1.157,3.479,3.479,3.6,0,360.92,1.617,14.931,82.404,196.073,86.0,3.373,0.178,233.0,-2.251,-2.251,8.686,8.71,3.803,8.152,4.335,10.438,0.0,62.221,11.399,11.399,11.399
8.276,1,4.753,2.189,2.189,87.985,0.442,87.985,87.985,1.168,1.857,1,1.665,3.074,3.998,62.457,0.177,3.389,0.0,2.483,3.611,3,0.989,27.203,1.419,1.419,7.085,8.961,1.523,10.68,4.085,4.085,4.085,0.016,3,188.0,1.076,0,3,1,1.498,3.646,1.25,1.869,197.042,46.387,4.58,13.068,2.073,203.381,1.263,1.173,6.16,3.33,1.05,26.784,1.603,1.486,3.922,4.481,0.073,1.89,1.89,0,21,4.148,3.973,0.0,2.982,3.213,3.523,4.856,-0.795,2.869,0.057,-0.634,-0.634,3.197,91.109,0,3.611,2471.0,10.311,4.856,2.792,9.133,247.193,4.671,0.674,3.902,0,1.42,0,3.701,4.382,268.0,1,4737.0,3.196,1.601,3.79,2484.0,0.8,1,9.568,0.564,-1.365,-1.365,3.796,3.989,0.164,3.822,0,3,1.305,2.607,2.607,3.431,0,243.38,1.639,12.932,54.771,247.193,45.0,4.006,0.213,125.0,-2.225,-2.225,7.485,13.086,3.643,4.868,4.648,8.847,-0.005,51.912,9.779,9.779,9.779
6.703,1,4.725,2.105,2.105,71.858,0.437,71.858,71.858,1.085,1.856,1,1.665,2.945,3.993,57.903,0.184,3.317,0.0,2.451,3.609,3,0.723,24.222,1.444,1.444,7.058,7.18,1.36,9.543,4.058,4.058,4.058,0.016,3,176.0,0.783,0,2,1,1.332,3.645,1.111,1.868,187.03,43.114,4.538,10.477,1.894,187.795,1.185,1.133,4.206,3.327,0.828,25.018,1.602,1.504,3.873,4.302,0.053,1.65,1.65,0,19,4.054,3.886,0.0,2.91,3.206,3.535,4.837,-1.07,2.849,0.057,-0.933,-0.933,3.183,74.982,0,3.61,2176.0,9.664,4.837,2.78,6.132,211.88,4.248,0.592,3.746,1,1.419,0,3.676,4.357,251.0,1,4428.0,3.153,1.595,3.787,2175.0,0.8,1,8.71,0.26,-2.111,-2.111,3.743,3.987,0.171,3.723,0,2,1.084,2.509,2.509,3.413,0,229.35,1.635,11.924,51.005,211.88,42.0,3.87,0.223,116.0,-3.44,-3.44,6.949,12.573,3.589,4.282,4.436,8.309,-0.408,41.029,9.335,9.335,9.335
5.0,0,4.236,2.059,2.059,59.524,0.437,59.524,59.524,0.0,1.727,1,1.534,2.924,3.908,62.238,0.208,3.351,0.0,2.088,3.591,4,0.636,11.838,1.372,1.372,6.822,3.171,1.092,3.936,3.822,3.822,3.822,0.0,4,218.0,0.694,0,1,2,1.075,3.687,0.512,1.723,227.864,0.0,4.014,4.748,1.466,247.449,0.548,0.673,2.064,3.234,0.435,32.589,1.488,1.485,3.283,2.514,0.034,1.618,1.618,0,12,3.893,3.11,0.0,2.87,2.748,3.467,4.459,-1.483,2.781,0.01,-1.299,-1.299,2.748,94.32,0,3.608,1766.0,3.75,4.31,2.729,3.124,129.482,3.565,0.312,3.029,0,1.032,0,3.597,4.277,210.0,1,4338.0,2.8,1.354,3.832,1688.0,1.0,0,5.582,0.059,-3.129,-3.129,3.25,3.841,0.176,3.07,0,0,0.879,2.156,2.156,2.956,0,204.25,1.334,10.921,47.229,129.482,36.0,3.151,0.231,94.0,-4.31,-4.31,6.407,6.167,3.476,3.738,3.749,7.433,-0.709,37.905,8.426,8.426,8.426
7.432,7,4.991,2.608,2.608,134.88,0.445,134.88,134.88,0.805,2.036,2,1.904,3.528,3.953,416.316,0.109,3.838,0.165,3.091,3.838,8,1.144,42.188,3.246,3.246,6.962,16.083,1.801,14.745,3.962,3.962,3.962,0.151,8,350.0,1.189,0,6,4,1.769,3.872,1.981,2.039,369.764,0.0,4.256,23.525,3.633,384.406,1.962,1.924,16.386,3.675,2.091,0.0,1.876,1.48,4.351,6.226,0.087,2.407,2.407,0,35,7.458,4.365,0.0,4.261,3.534,4.262,5.112,1.0,3.787,0.23,1.0,1.0,3.538,144.253,0,3.842,13590.0,15.013,5.112,3.61,24.694,411.989,5.589,2.29,4.391,0,1.68,0,4.22,4.905,838.0,0,26905.0,3.586,1.865,3.96,12930.0,1.0,0,15.953,0.825,2.275,2.275,4.238,3.918,0.091,4.239,0,5,1.426,2.934,2.934,3.763,0,421.64,1.878,21.647,93.841,411.989,141.0,4.674,0.12,389.0,2.136,2.136,12.829,20.466,4.17,10.517,5.23,15.114,1.967,102.833,16.82,16.82,16.82
5.538,1,4.91,3.027,3.027,93.879,0.436,93.879,93.879,0.731,2.012,1,1.842,3.929,3.942,361.598,0.129,4.571,0.19,3.303,3.859,4,1.179,45.293,3.656,3.656,6.89,9.952,1.75,12.4,3.89,3.89,3.89,0.193,4,514.0,1.225,0,6,3,1.735,3.891,1.774,2.002,554.383,0.0,4.29,13.999,3.68,674.475,2.103,2.07,8.759,3.679,1.52,106.319,1.808,1.515,4.322,6.92,0.092,2.784,2.784,0,30,8.743,4.292,0.0,4.39,3.396,4.715,4.91,1.0,4.018,0.29,1.0,1.0,3.416,105.866,0,3.858,16816.0,15.228,4.91,3.757,11.37,398.013,5.112,2.19,4.118,0,1.577,0,4.182,4.868,1000.0,0,49359.0,3.523,1.751,4.001,15883.0,1.0,0,13.347,0.825,2.275,2.275,4.242,3.898,0.098,4.188,0,4,1.501,3.21,3.21,3.667,0,453.56,1.793,21.66,97.577,353.133,174.0,4.282,0.126,462.0,1.88,1.88,12.201,19.441,4.192,9.606,5.004,15.257,1.78,49.892,17.258,17.258,17.258
