pXC50,GATS5s,GATS6s,nDB,SRW07,SRW09,SdO,GATS4p,SaaN,PW5,MATS4p,nImidazoles,GATS5e,SpMAD_EA.dm.,SM06_EA.dm.,SM04_EA.dm.,SpMaxA_EA.dm.,SM08_EA.dm.,SM12_EA.dm.,SM10_EA.dm.,SM02_EA.dm.,Eig01_EA.dm.,SM14_EA.dm.,SpMax_EA.dm.,X4A,SpAD_EA.dm.,GATS4v,NdssC,SpDiam_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Eig02_EA.dm.,Eig03_EA.dm.,C.032,SpMin1_Bh.i.,MATS7p,MATS4v,C.034,O.058,GATS6e,X3A,SdssC,NdO,D.Dtr05,nR05,C.028,GATS4i,GATS7v,SRW05,SpMin1_Bh.e.,Eig02_AEA.dm.,X5A,F.084,SM07_EA.dm.,nPyrimidines,Eig04_EA.dm.,SM05_EA.dm.,SM09_EA.dm.,SM11_EA.dm.,SM13_EA.dm.,SM15_EA.dm.,SM03_EA.dm.,MATS7v,P_VSA_LogP_6,Eig03_AEA.dm.,JGI6,N.075,NaaN,GATS7p
5.0,0.81,0.832,2,4.443,6.26,12.571,0.796,8.683,0.091,0.164,0,0.691,0.231,1.815,1.903,0.029,1.774,1.786,1.767,2.082,1.058,1.825,1.058,0.116,8.534,0.778,1,2.117,3.499,5.499,3.499,0.916,0.86,0,1.989,0.042,0.224,0,1,0.848,0.185,-0.287,1,86.25,1,1,0.859,0.957,2.398,2.013,3.312,0.072,1,0.384,1,0.86,0.393,0.351,0.312,0.273,0.236,0.325,-0.026,17.288,3.241,0.017,2,2,0.891
5.1,1.159,0.85,0,0.0,0.0,0.0,1.088,8.536,0.103,-0.16,0,1.138,0.12,0.597,0.763,0.041,0.47,0.283,0.367,1.029,0.86,0.217,0.86,0.12,2.52,1.091,0,1.72,3.116,5.116,3.116,0.4,0.0,0,1.984,-0.004,-0.164,0,0,0.721,0.185,0.0,0,0.0,0,1,1.146,0.958,0.0,2.012,2.886,0.08,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,2.328,2.447,0.01,2,2,1.012
5.1,1.027,0.672,1,4.595,6.605,11.722,1.174,13.266,0.101,-0.231,1,1.164,0.194,1.481,1.626,0.031,1.36,1.169,1.257,1.824,0.98,1.094,0.98,0.114,6.2,1.147,1,1.96,3.539,5.539,3.539,0.86,0.86,0,1.932,0.08,-0.254,0,1,0.716,0.175,-0.585,1,64.597,1,1,1.143,0.893,2.398,1.957,3.232,0.071,0,0.0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,14.099,3.136,0.015,3,3,0.901
5.05,0.786,0.908,5,0.0,0.0,12.431,1.072,0.0,0.112,-0.058,0,0.753,0.335,7.985,5.574,0.109,10.413,15.272,12.843,3.31,3.37,17.702,3.37,0.11,10.391,1.004,4,6.74,4.62,6.62,4.62,1.208,0.618,0,1.939,-0.04,-0.098,0,1,0.972,0.174,0.593,1,0.0,0,0,0.954,1.233,0.0,1.952,3.709,0.071,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.072,29.92,3.398,0.021,0,0,1.059
5.0,1.299,1.408,3,4.727,6.843,36.519,1.031,3.99,0.098,0.018,0,1.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.836,1,0.0,4.459,6.459,4.459,0.0,0.0,0,1.935,0.019,0.084,0,3,1.309,0.174,-0.961,3,58.129,1,0,1.098,1.024,2.398,1.941,3.72,0.069,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.127,41.691,3.21,0.025,1,1,0.882
6.0,0.681,0.819,2,0.0,0.0,12.611,0.835,8.719,0.103,0.077,0,0.804,0.233,1.991,1.913,0.039,2.144,2.601,2.352,1.968,1.2,2.879,1.2,0.115,7.226,0.891,2,2.293,3.782,5.782,3.782,0.86,0.86,1,1.876,-0.18,0.056,0,1,0.76,0.183,-0.596,1,0.0,0,0,0.786,1.144,0.0,1.901,3.282,0.073,2,1.001,1,0.4,0.653,1.37,1.754,2.143,2.535,0.325,-0.133,34.147,2.974,0.024,2,2,1.193
5.0,0.899,1.244,0,5.352,7.391,0.0,1.032,21.742,0.103,-0.01,0,1.069,0.197,7.185,5.027,0.098,9.348,13.675,11.511,2.913,2.95,15.838,2.95,0.111,5.9,1.045,0,5.9,4.573,6.573,4.573,0.0,0.0,0,2.006,-0.089,-0.067,0,0,1.42,0.174,0.0,0,115.387,2,2,1.017,0.948,3.045,2.027,3.285,0.072,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055,11.771,2.928,0.013,5,5,1.113
6.9,0.981,0.783,4,4.844,7.034,46.873,0.621,4.443,0.095,0.282,1,0.945,0.376,6.44,4.717,0.077,8.237,11.925,10.071,3.198,2.612,13.793,2.612,0.111,12.799,0.714,2,4.612,4.017,6.017,4.017,2.443,1.058,0,1.906,-0.019,0.222,1,2,0.738,0.183,-0.954,4,76.913,1,1,0.753,1.007,2.398,1.929,3.783,0.072,0,7.069,0,0.286,5.082,9.001,10.91,12.807,14.701,2.946,0.012,2.144,3.579,0.018,1,1,1.028
5.0,0.93,0.812,2,6.043,8.367,27.482,0.977,0.0,0.143,-0.017,0,1.141,0.234,2.976,2.709,0.026,3.306,4.1,3.684,2.554,1.336,4.548,1.336,0.088,12.18,0.916,2,2.493,4.043,6.043,4.043,1.2,1.157,0,2.027,-0.089,-0.001,4,2,0.947,0.147,-0.393,2,121.185,3,0,1.095,1.084,3.434,2.034,3.795,0.052,0,2.195,0,0.947,1.63,2.759,3.324,3.89,4.456,1.025,-0.083,32.119,3.694,0.023,0,0,1.081
7.2,1.036,0.685,3,0.0,0.0,34.61,1.185,8.199,0.101,-0.208,0,1.339,0.41,5.959,4.233,0.077,7.796,11.563,9.67,2.955,2.612,13.468,2.612,0.119,13.944,1.127,1,4.612,3.805,5.805,3.805,0.98,0.86,1,1.898,0.02,-0.209,0,1,0.795,0.179,-0.694,3,0.0,0,0,1.196,0.818,0.0,1.925,3.537,0.076,0,6.556,1,0.86,4.506,8.548,10.509,12.452,14.386,2.361,0.209,4.227,3.375,0.017,2,2,0.929
6.495,0.84,1.004,0,5.476,7.662,0.0,0.904,13.105,0.118,0.033,0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.903,0,0.0,3.382,5.382,3.382,0.0,0.0,0,1.9,-0.011,0.036,2,0,1.131,0.164,0.0,0,79.825,2,1,0.927,1.057,3.045,1.919,3.022,0.065,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.078,7.229,2.672,0.023,3,3,0.955
5.1,1.498,1.351,1,4.844,7.081,12.384,1.228,8.557,0.112,-0.183,0,1.551,0.115,3.244,2.415,0.05,4.156,6.091,5.111,1.758,1.656,7.083,1.656,0.107,3.806,1.092,1,2.912,3.565,5.565,3.565,0.247,0.0,0,1.986,0.067,-0.098,1,1,1.394,0.168,-0.259,1,44.233,1,0,1.229,0.97,2.398,2.006,3.431,0.067,0,3.407,1,0.0,2.324,4.464,5.504,6.531,7.551,1.195,-0.026,7.962,2.917,0.015,2,2,0.79
5.05,1.335,0.935,1,0.0,0.0,12.911,1.02,9.132,0.1,-0.023,0,0.931,0.29,3.483,2.805,0.038,4.385,6.411,5.379,2.549,1.701,7.458,1.701,0.119,13.04,1.003,1,2.972,3.691,5.691,3.691,0.86,0.86,0,1.984,0.029,-0.015,0,1,0.939,0.184,-0.113,1,0.0,0,1,1.046,0.94,0.0,2.006,3.34,0.076,0,3.619,1,0.86,2.523,4.719,5.808,6.887,7.96,1.494,0.017,6.604,3.106,0.017,2,2,0.917
8.0,0.897,0.874,0,5.687,7.703,0.0,0.98,18.055,0.101,0.006,1,0.79,0.134,0.925,1.132,0.026,0.765,0.525,0.634,1.459,0.916,0.433,0.916,0.111,4.698,0.976,0,1.776,3.378,5.378,3.378,0.86,0.4,0,1.836,-0.09,0.016,1,0,0.865,0.172,0.0,0,224.822,3,2,1.075,1.045,3.434,1.883,3.272,0.069,0,0.384,0,0.172,0.393,0.351,0.312,0.273,0.236,0.325,-0.029,28.627,2.985,0.014,4,4,1.298
5.721,1.055,0.804,0,5.687,7.687,0.0,1.037,17.466,0.1,-0.104,1,1.205,0.258,7.185,5.027,0.113,9.348,13.675,11.511,2.93,2.95,15.838,2.95,0.108,6.7,0.977,0,5.9,4.332,6.332,4.332,0.4,0.0,0,1.819,-0.222,-0.066,1,0,0.944,0.173,0.0,0,153.805,3,1,1.174,1.227,3.434,1.86,3.234,0.067,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.245,29.749,2.883,0.015,4,4,1.346
5.1,0.813,0.699,3,4.595,6.555,12.778,1.14,4.157,0.094,-0.17,1,1.026,0.612,8.445,5.9,0.098,11.174,16.733,13.948,3.909,4.032,19.521,4.032,0.114,25.109,1.155,4,6.067,4.437,6.437,4.437,2.035,2.035,0,1.949,0.101,-0.159,1,1,0.751,0.18,0.171,1,118.433,1,0,0.87,0.907,2.398,1.967,4.116,0.072,0,9.76,0,1.704,6.962,12.549,15.337,18.126,20.915,4.09,0.176,2.757,4.057,0.02,1,1,0.864
5.0,2.326,0.964,2,4.443,6.26,25.467,1.079,8.979,0.083,0.021,0,1.818,0.123,0.74,0.977,0.022,0.571,0.334,0.439,1.406,0.86,0.252,0.86,0.124,4.92,0.835,0,1.72,4.691,6.691,4.691,0.8,0.4,1,1.975,0.011,0.154,0,2,1.125,0.187,0.0,2,129.463,1,0,0.95,1.012,2.398,1.972,3.18,0.079,0,0.188,1,0.4,0.268,0.125,0.082,0.054,0.035,0.325,-0.004,4.227,3.08,0.02,2,2,0.961
5.0,1.032,0.77,2,4.727,6.823,12.075,1.247,8.709,0.096,-0.148,0,0.966,0.259,7.187,5.043,0.095,9.348,13.675,11.511,3.027,2.95,15.838,2.95,0.118,8.017,1.084,1,5.9,4.574,6.574,4.574,1.058,0.0,0,1.944,0.003,-0.136,1,1,0.836,0.184,-0.092,1,63.273,1,2,1.148,0.942,2.398,1.957,3.57,0.078,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,2.757,3.158,0.015,2,2,0.893
5.05,1.013,1.056,2,0.0,0.0,23.764,1.179,3.94,0.088,-0.189,0,0.873,0.45,8.067,5.479,0.113,10.736,16.1,13.417,3.38,3.825,18.783,3.825,0.123,15.294,1.061,2,5.335,4.475,6.475,4.475,1.656,1.058,0,1.889,0.031,-0.097,0,2,1.047,0.189,-1.095,2,0.0,0,1,1.107,1.007,0.0,1.911,3.563,0.081,0,9.391,0,0.86,6.701,12.075,14.758,17.441,20.124,3.949,0.014,4.276,3.555,0.026,1,1,0.919
5.1,0.965,1.272,0,4.727,6.843,0.0,0.971,13.069,0.103,-0.04,0,1.311,0.049,0.149,0.317,0.024,0.067,0.013,0.03,0.623,0.657,0.006,0.657,0.115,1.315,0.963,0,1.315,3.177,5.177,3.177,0.0,0.0,0,1.913,0.044,-0.019,0,0,1.372,0.183,0.0,0,52.882,1,0,1.152,0.98,2.398,1.945,2.848,0.076,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032,2.328,2.603,0.01,3,3,0.9
7.0,1.143,0.726,0,4.727,6.804,0.0,1.447,12.635,0.092,-0.322,0,1.084,0.096,1.731,1.506,0.048,1.968,2.468,2.214,1.294,1.151,2.727,1.151,0.122,2.302,1.291,0,2.302,3.273,5.273,3.273,0.0,0.0,1,1.849,0.033,-0.331,1,0,0.881,0.187,0.0,0,60.645,1,2,1.247,0.981,2.398,1.867,3.145,0.08,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008,3.257,2.673,0.013,3,3,0.926
5.1,0.84,1.223,0,4.727,6.843,0.0,0.968,13.014,0.103,-0.045,0,1.097,0.049,0.149,0.317,0.024,0.067,0.013,0.03,0.623,0.657,0.006,0.657,0.115,1.315,0.976,0,1.315,3.178,5.178,3.178,0.0,0.0,0,1.901,-0.084,-0.037,0,0,1.216,0.183,0.0,0,52.882,1,0,1.17,1.106,2.398,1.934,2.973,0.076,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.168,2.328,2.716,0.01,3,3,1.013
5.1,1.17,1.578,2,5.352,7.413,12.653,0.946,19.138,0.1,-0.014,0,1.189,0.063,1.019,1.045,0.032,0.993,0.942,0.967,1.072,0.98,0.917,0.98,0.114,1.96,0.892,1,1.96,3.615,5.615,3.615,0.0,0.0,0,1.893,-0.04,0.035,1,1,1.401,0.179,-0.551,1,160.973,2,1,1.044,1.011,3.045,1.919,3.223,0.073,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.122,7.413,2.74,0.014,5,5,0.957
5.05,0.99,1.435,1,4.595,6.581,12.693,1.061,13.38,0.095,-0.095,0,1.031,0.17,1.472,1.5,0.029,1.501,1.626,1.556,1.701,1.058,1.706,1.058,0.121,6.117,1.089,1,2.117,3.598,5.598,3.598,0.8,0.8,0,1.888,-0.117,-0.103,1,1,1.204,0.185,-0.267,1,97.808,1,0,1.051,1.059,2.398,1.911,3.209,0.077,0,0.346,1,0.4,0.479,0.237,0.158,0.104,0.068,0.57,-0.054,6.014,3.187,0.016,3,3,1.304
5.1,1.182,1.203,1,4.595,6.581,11.939,1.027,3.904,0.091,-0.077,0,1.003,0.101,1.338,1.255,0.05,1.422,1.599,1.51,1.176,1.058,1.69,1.058,0.122,2.117,1.012,1,2.117,3.577,5.577,3.577,0.0,0.0,0,1.922,-0.027,-0.018,1,1,1.139,0.186,-0.345,1,43.374,1,0,1.005,1.01,2.398,1.946,2.947,0.08,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,17.104,2.879,0.017,1,1,1.035
6.585,1.294,0.944,0,4.727,6.862,0.0,0.986,13.75,0.095,-0.045,1,1.466,0.076,0.157,0.354,0.023,0.069,0.013,0.03,0.781,0.657,0.006,0.657,0.116,2.115,0.96,0,1.315,3.293,5.293,3.293,0.4,0.0,1,1.885,-0.025,-0.012,0,0,1.376,0.183,0.0,0,59.154,1,1,1.092,1.046,2.398,1.918,2.838,0.073,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.111,4.227,2.769,0.019,3,3,0.969
6.9,1.116,1.432,2,5.533,7.711,12.152,1.031,4.316,0.113,-0.069,0,0.984,0.088,1.338,1.255,0.044,1.422,1.599,1.51,1.176,1.058,1.69,1.058,0.107,2.117,1.067,2,2.117,3.655,5.655,3.655,0.0,0.0,0,1.926,-0.15,-0.107,1,1,1.091,0.168,0.513,1,73.372,2,1,0.956,1.012,3.045,1.947,3.19,0.072,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.085,13.915,2.754,0.019,1,1,1.091
5.0,1.342,1.494,1,4.727,6.823,12.504,0.893,4.044,0.102,0.006,1,1.119,0.226,5.14,3.697,0.072,6.612,9.57,8.09,2.425,2.095,11.049,2.095,0.111,6.542,0.94,1,4.191,4.038,6.038,4.038,0.776,0.4,0,1.936,-0.059,-0.021,1,1,1.29,0.179,-0.679,1,66.456,1,1,1.14,1.005,2.398,1.956,3.489,0.069,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.131,17.104,3.223,0.019,1,1,0.902
7.0,0.954,0.767,1,4.727,6.862,11.739,1.049,12.726,0.104,-0.095,0,0.965,0.175,4.455,3.202,0.064,5.791,8.56,7.166,2.181,2.035,9.966,2.035,0.11,5.612,1.039,1,3.579,3.728,5.728,3.728,0.642,0.129,0,1.904,-0.105,-0.08,1,1,0.825,0.176,-0.27,1,81.259,1,2,1.07,1.103,2.398,1.926,3.41,0.069,1,4.821,1,0.0,3.285,6.307,7.764,9.206,10.639,1.668,-0.092,17.717,3.155,0.014,3,3,1.095
4.597,0.808,0.587,0,4.844,7.05,0.0,0.88,17.244,0.11,0.027,1,1.296,0.214,6.039,4.271,0.081,7.818,11.38,9.599,2.601,2.436,13.161,2.436,0.111,6.431,0.891,0,4.873,4.043,6.043,4.043,0.4,0.379,2,1.893,-0.042,0.018,1,0,0.825,0.175,0.0,0,53.684,1,1,0.955,1.048,2.398,1.923,3.37,0.071,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103,5.942,2.824,0.013,4,4,1.013
5.62,0.793,0.852,1,6.009,8.32,13.322,0.967,0.0,0.152,0.007,0,1.163,0.203,2.286,2.149,0.028,2.465,2.888,2.668,2.133,1.157,3.12,1.157,0.086,8.536,0.905,1,2.315,4.031,6.031,4.031,1.081,0.86,0,2.028,-0.156,0.025,4,1,0.983,0.142,0.004,1,83.28,3,0,1.078,1.171,3.434,2.036,3.722,0.051,0,0.0,0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,-0.163,20.348,3.378,0.024,0,0,1.151
5.1,0.971,0.961,3,6.33,8.304,24.114,0.738,4.258,0.108,0.184,0,0.971,0.179,2.951,2.346,0.042,3.628,5.048,4.332,1.953,1.437,5.769,1.437,0.102,6.073,0.751,3,2.873,3.797,5.797,3.797,0.8,0.8,0,1.933,-0.142,0.205,0,2,1.001,0.164,-3.189,2,68.052,1,0,0.827,1.106,4.263,1.956,3.512,0.061,3,0.346,0,0.0,0.479,0.237,0.158,0.104,0.068,0.57,-0.201,61.307,3.419,0.026,1,1,1.133
7.0,0.982,1.034,0,5.687,7.695,0.0,1.042,17.831,0.089,-0.047,1,0.886,0.09,0.537,0.697,0.028,0.438,0.309,0.366,1.038,0.916,0.262,0.916,0.111,2.978,1.017,0,1.605,3.583,5.583,3.583,0.4,0.172,0,1.836,-0.495,-0.016,1,0,0.994,0.177,0.0,0,226.552,3,2,1.108,1.369,3.434,1.882,3.275,0.069,0,0.384,0,0.0,0.393,0.351,0.312,0.273,0.236,0.325,-0.294,28.627,2.912,0.018,4,4,2.03
7.0,0.906,0.482,0,6.009,8.032,0.0,0.924,17.475,0.095,0.071,1,0.999,0.182,3.236,2.518,0.046,4.018,5.643,4.826,1.999,1.51,6.465,1.51,0.109,5.998,0.862,0,3.02,4.015,6.015,4.015,0.916,0.4,0,1.836,-0.424,0.163,1,0,0.618,0.171,0.0,0,289.757,4,2,0.925,1.309,3.714,1.882,3.276,0.069,0,0.384,0,0.172,0.393,0.351,0.312,0.273,0.236,0.325,-0.306,28.627,3.002,0.014,4,4,1.696
7.0,0.906,0.482,0,6.009,8.032,0.0,0.924,17.475,0.095,0.071,1,0.999,0.182,3.236,2.518,0.046,4.018,5.643,4.826,1.999,1.51,6.465,1.51,0.109,5.998,0.862,0,3.02,4.015,6.015,4.015,0.916,0.4,0,1.836,-0.424,0.163,1,0,0.618,0.171,0.0,0,289.757,4,2,0.925,1.309,3.714,1.882,3.276,0.069,0,0.384,0,0.172,0.393,0.351,0.312,0.273,0.236,0.325,-0.306,28.627,3.002,0.014,4,4,1.696
5.3,1.063,1.187,0,5.283,7.273,0.0,0.982,12.482,0.092,-0.01,0,1.045,0.057,0.18,0.356,0.028,0.087,0.019,0.041,0.655,0.68,0.009,0.68,0.118,1.36,0.984,0,1.36,3.134,5.134,3.134,0.0,0.0,0,1.921,0.141,0.008,1,0,1.362,0.181,0.0,0,99.611,2,1,1.061,0.887,3.045,1.947,2.933,0.076,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,13.915,2.697,0.016,3,3,0.799
5.7,1.126,1.178,0,5.283,7.273,0.0,1.018,12.486,0.092,-0.048,0,1.38,0.043,0.039,0.138,0.022,0.011,0.001,0.003,0.434,0.522,0.0,0.522,0.118,1.043,1.004,0,1.043,3.053,5.053,3.053,0.0,0.0,0,1.931,0.154,-0.012,1,0,1.277,0.181,0.0,0,99.611,2,1,1.117,0.898,3.045,1.953,2.897,0.076,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,13.915,2.642,0.016,3,3,0.787
5.8,1.013,0.961,0,5.352,7.391,0.0,1.054,12.558,0.095,-0.094,0,1.267,0.042,0.039,0.138,0.021,0.011,0.001,0.003,0.434,0.522,0.0,0.522,0.115,1.043,1.045,0,1.043,3.131,5.131,3.131,0.0,0.0,0,1.925,0.119,-0.069,0,0,1.074,0.18,0.0,0,104.757,2,2,1.141,0.915,3.045,1.946,2.959,0.075,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,11.771,2.69,0.016,3,3,0.806
5.1,1.115,1.266,0,5.283,7.273,0.0,0.997,8.183,0.092,0.0,0,1.251,0.057,0.18,0.356,0.028,0.087,0.019,0.041,0.655,0.68,0.009,0.68,0.118,1.36,0.997,0,1.36,3.079,5.079,3.079,0.0,0.0,0,1.934,0.133,0.007,2,0,1.517,0.181,0.0,0,99.611,2,1,1.006,0.907,3.045,1.953,2.927,0.076,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,7.593,2.644,0.016,2,2,0.825
5.1,1.451,1.202,0,5.283,7.273,0.0,0.931,8.051,0.091,0.024,0,1.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.934,0,0.0,3.041,5.041,3.041,0.0,0.0,0,1.931,-0.128,0.016,2,0,1.394,0.179,0.0,0,77.301,2,1,0.972,1.128,3.045,1.95,2.819,0.074,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.176,7.593,2.413,0.013,2,2,1.07
