pXC50,MW,Sv,SCBO,Sp,nSK,nBO,nBM,nBT,Se,nAT,Si,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBR,nCL,nCsp,nCsp2
5.0,413.86,28.677,40.0,29.091,27,29,19,43,42.898,41,46.573,17,10.094,41.5,34.1,1.046,1.136,0.71,0.699,7.3,16,0,0,1,0,14
5.1,388.41,30.211,39.0,30.353,28,31,14,49,47.483,46,52.622,19,8.444,41.3,39.1,1.032,1.144,0.66,0.657,8.7,12,0,0,0,0,13
5.0,359.45,27.917,43.0,28.972,26,30,26,43,39.44,39,43.654,18,9.217,46.2,33.3,1.011,1.119,0.743,0.716,17.9,26,0,0,0,0,17
5.1,440.5,35.642,46.0,36.364,32,34,20,58,57.207,56,63.402,22,7.866,39.3,42.9,1.022,1.132,0.649,0.636,7.1,16,0,0,0,0,15
6.398,586.69,49.508,69.0,51.193,44,52,32,82,74.531,74,82.438,35,7.928,47.3,40.5,1.007,1.114,0.692,0.669,5.4,30,0,0,0,0,26
7.8,440.46,34.105,46.0,34.091,32,34,21,54,53.76,52,59.153,20,8.47,38.5,38.5,1.034,1.138,0.656,0.656,11.5,18,0,0,0,0,17
5.208,308.38,25.477,36.0,26.296,23,26,20,42,39.356,39,44.275,16,7.907,41.0,41.0,1.009,1.135,0.674,0.653,15.4,20,0,0,0,0,13
5.3,401.53,32.697,45.0,34.461,29,33,23,52,48.098,48,53.527,22,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,0,0,0,0,19
5.05,562.79,49.47,54.5,52.557,41,45,18,87,82.825,83,94.301,31,6.781,37.3,50.6,0.998,1.136,0.633,0.596,7.2,17,0,0,0,0,15
5.509,524.76,44.362,51.0,47.466,37,40,20,76,72.923,73,82.766,27,7.188,37.0,49.3,0.999,1.134,0.65,0.608,8.2,18,0,0,0,0,16
5.0,386.51,31.675,44.0,33.455,28,31,24,49,45.996,46,51.029,22,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,22,0,0,0,0,21
5.05,464.86,33.422,45.0,33.148,32,34,20,50,50.32,48,54.906,21,9.685,43.8,33.3,1.048,1.144,0.691,0.696,8.3,18,0,0,1,0,19
5.1,315.41,27.268,38.0,28.597,24,27,22,44,40.811,41,45.983,19,7.693,46.3,41.5,0.995,1.122,0.697,0.665,12.2,22,0,0,0,0,17
5.3,332.84,24.449,32.5,25.79,22,24,17,37,35.553,35,39.143,15,9.51,42.9,37.1,1.016,1.118,0.737,0.699,11.4,17,0,0,1,0,13
5.1,335.82,26.569,38.0,27.693,24,27,22,41,38.251,38,42.512,18,8.837,47.4,36.8,1.007,1.119,0.729,0.699,13.2,22,0,0,1,0,17
5.1,375.39,28.676,44.0,28.483,28,31,24,44,42.338,41,46.734,17,9.156,41.5,31.7,1.033,1.14,0.695,0.699,22.0,22,0,0,0,0,17
5.05,488.07,37.862,45.5,40.068,33,36,18,62,59.603,59,66.923,22,8.272,37.3,44.1,1.01,1.134,0.679,0.642,11.9,17,0,0,1,0,14
5.1,255.27,20.27,30.0,20.455,19,21,17,31,29.68,29,32.705,14,8.802,48.3,34.5,1.023,1.128,0.705,0.699,10.3,16,0,0,0,0,14
5.0,354.51,31.111,36.0,33.103,26,28,16,54,51.774,52,59.351,19,6.817,36.5,50.0,0.996,1.141,0.637,0.598,11.5,16,0,0,0,0,11
5.8,275.33,23.413,34.0,24.279,21,24,18,37,34.051,34,37.78,17,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,16,0,0,0,0,16
5.0,457.71,29.154,38.0,29.864,27,29,17,44,43.64,42,47.653,17,10.898,40.5,35.7,1.039,1.135,0.711,0.694,9.5,16,0,1,1,0,14
5.1,415.89,31.962,41.5,32.824,29,32,18,51,49.069,48,54.516,20,8.664,41.7,39.6,1.022,1.136,0.684,0.666,10.4,17,0,0,1,0,14
9.155,466.58,40.025,55.0,41.762,35,42,25,68,61.109,61,68.189,28,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,24,0,0,0,0,19
5.9,275.34,23.214,34.5,24.074,21,24,21,37,34.043,34,38.152,16,8.098,47.1,38.2,1.001,1.122,0.708,0.683,14.7,21,0,0,0,0,15
5.1,275.33,23.413,34.5,24.279,21,24,21,37,34.051,34,37.78,17,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,21,0,0,0,0,16
5.1,235.27,19.161,31.0,19.551,18,21,20,30,27.276,27,30.322,13,8.714,48.1,33.3,1.01,1.123,0.724,0.71,18.5,20,0,0,0,0,13
5.1,292.39,23.38,34.5,24.716,21,24,21,36,33.018,33,36.574,16,8.86,48.5,36.4,1.001,1.108,0.749,0.708,12.1,21,0,0,0,0,16
5.1,306.42,24.907,35.5,26.478,22,25,21,39,35.902,36,39.989,17,8.512,47.2,38.9,0.997,1.111,0.735,0.692,11.1,21,0,0,0,0,16
5.1,332.45,28.816,39.0,30.364,25,29,20,49,44.796,45,50.896,19,7.388,42.2,44.4,0.995,1.131,0.675,0.64,13.3,20,0,0,0,0,13
5.3,292.38,24.762,35.0,25.841,22,25,20,41,38.029,38,43.066,16,7.694,42.1,42.1,1.001,1.133,0.68,0.652,15.8,20,0,0,0,0,13
5.1,391.49,32.946,43.5,34.273,29,33,21,55,51.301,51,57.777,22,7.676,43.1,43.1,1.006,1.133,0.672,0.646,9.8,21,0,0,0,0,16
6.357,442.54,36.65,43.5,37.915,32,35,14,62,59.832,59,67.153,23,7.501,39.0,45.8,1.014,1.138,0.643,0.621,6.8,11,0,0,0,0,14
5.1,210.25,17.865,25.0,18.512,16,18,13,28,26.065,26,28.867,13,8.087,50.0,38.5,1.003,1.11,0.712,0.687,7.7,12,0,0,0,0,13
5.1,361.47,29.322,40.5,30.932,26,29,23,45,42.08,42,46.661,21,8.606,50.0,38.1,1.002,1.111,0.736,0.698,7.1,23,0,0,0,0,20
5.1,496.57,40.729,57.0,41.705,37,43,24,67,61.872,61,68.564,27,8.14,44.3,39.3,1.014,1.124,0.684,0.668,9.8,20,0,0,0,0,20
6.18,306.41,26.289,35.5,27.603,23,26,16,44,40.912,41,46.481,17,7.473,41.5,43.9,0.998,1.134,0.673,0.641,14.6,15,0,0,0,1,9
5.0,557.1,45.422,58.5,47.392,40,43,26,72,69.52,69,77.544,30,8.074,43.5,42.0,1.008,1.124,0.687,0.658,8.7,23,0,0,1,1,23
6.2,450.38,34.128,41.5,35.75,30,33,17,55,52.832,52,59.081,21,8.661,40.4,42.3,1.016,1.136,0.688,0.656,9.6,17,0,0,2,0,14
5.1,371.47,32.235,42.0,33.779,28,31,20,52,48.912,49,54.651,23,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,0,0,0,0,20
5.1,371.47,32.235,42.0,33.779,28,31,20,52,48.912,49,54.651,23,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,0,0,0,0,20
5.1,357.44,30.708,41.0,32.017,27,30,20,49,46.029,46,51.235,22,7.77,47.8,41.3,1.001,1.114,0.696,0.668,6.5,18,0,0,0,0,20
5.0,498.71,42.352,52.5,45.273,36,40,24,70,65.618,66,74.102,28,7.556,42.4,45.5,0.994,1.123,0.686,0.642,9.1,23,0,0,0,0,21
5.854,481.65,42.385,53.0,44.836,36,40,24,71,66.65,67,75.308,29,7.189,43.3,46.3,0.995,1.124,0.669,0.633,7.5,22,0,0,0,0,22
5.0,634.74,52.097,63.5,53.569,46,51,21,87,83.418,82,92.987,34,7.741,41.5,43.9,1.017,1.134,0.653,0.635,4.9,17,0,0,0,0,21
5.0,543.67,42.722,53.5,44.296,38,42,22,70,67.265,66,75.247,27,8.237,40.9,42.4,1.019,1.14,0.671,0.647,7.6,21,0,0,0,0,18
5.638,460.64,40.406,47.5,42.841,34,37,15,69,65.752,66,74.806,26,6.979,39.4,48.5,0.996,1.133,0.649,0.612,9.1,11,0,0,0,1,13
5.0,480.59,38.115,49.0,39.557,34,37,23,61,58.956,58,65.112,24,8.286,41.4,41.4,1.016,1.123,0.682,0.657,6.9,22,0,0,0,0,19
6.357,332.44,29.015,38.0,30.569,25,28,18,48,44.803,45,50.524,20,7.388,44.4,44.4,0.996,1.123,0.679,0.645,8.9,16,0,0,0,0,16
5.921,394.4,27.334,40.5,26.966,27,29,20,41,41.229,39,44.878,15,10.113,38.5,30.8,1.057,1.151,0.691,0.701,15.4,17,0,0,0,0,15
4.523,554.6,42.995,46.5,46.176,36,38,14,71,69.469,69,78.156,25,8.038,36.2,47.8,1.007,1.133,0.669,0.623,7.2,11,0,0,2,0,13
5.5,375.49,30.17,42.0,31.699,27,30,23,47,44.214,44,49.112,20,8.534,45.5,38.6,1.005,1.116,0.72,0.686,11.4,22,0,0,0,0,19
5.6,356.46,31.015,42.0,32.569,27,30,23,50,46.803,47,52.524,22,7.584,46.8,42.6,0.996,1.118,0.693,0.66,8.5,22,0,0,0,0,20
6.6,425.54,35.761,42.0,37.222,31,33,15,60,58.538,58,65.896,22,7.337,37.9,46.6,1.009,1.136,0.642,0.617,8.6,12,0,0,0,0,14
5.1,411.34,28.568,42.5,27.222,29,32,21,43,42.887,40,47.021,18,10.283,45.0,27.5,1.072,1.176,0.681,0.714,12.5,21,0,0,0,0,15
5.1,346.34,26.111,36.5,25.858,25,27,18,40,39.574,38,43.713,17,9.114,44.7,34.2,1.041,1.15,0.68,0.687,10.5,17,0,0,0,0,15
5.1,278.32,19.998,28.5,20.318,19,20,14,30,30.116,29,32.787,11,9.597,37.9,34.5,1.038,1.131,0.701,0.69,13.8,11,0,0,0,0,10
5.5,415.56,34.223,46.0,36.222,30,34,23,55,50.982,51,56.943,23,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,0,0,0,0,19
5.8,426.44,32.681,46.0,32.631,31,34,23,51,49.661,48,55.125,21,8.884,43.8,35.4,1.035,1.148,0.68,0.681,12.5,22,0,0,0,0,19
5.1,288.32,21.15,31.0,21.551,20,22,17,31,29.982,29,32.336,14,9.942,48.3,31.0,1.034,1.115,0.743,0.729,6.9,16,0,0,0,0,14
5.1,343.44,27.083,36.5,28.358,24,26,19,43,41.549,41,45.95,17,8.377,41.5,41.5,1.013,1.121,0.692,0.661,7.3,17,0,0,0,0,14
5.5,362.47,31.256,40.0,32.784,27,30,18,52,49.014,49,55.149,21,7.397,42.9,44.9,1.0,1.125,0.669,0.638,8.2,16,0,0,0,0,16
5.1,379.28,26.475,36.0,27.852,24,26,18,38,36.884,36,39.715,17,10.536,47.2,33.3,1.025,1.103,0.774,0.735,5.6,16,0,0,2,0,16
5.1,405.54,32.892,45.5,34.705,29,33,25,53,49.167,49,55.073,22,8.276,44.9,40.8,1.003,1.124,0.708,0.671,10.2,25,0,0,0,0,18
5.6,234.28,19.666,30.0,20.307,18,20,17,30,28.058,28,31.239,14,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,16,0,0,0,1,12
6.6,418.52,32.906,46.0,34.159,30,33,24,51,48.643,48,53.82,21,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,0,0,0,20
5.9,444.52,34.773,50.5,35.847,32,36,28,53,49.836,49,54.578,24,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,0,0,0,0,24
5.1,408.45,32.297,45.0,32.694,30,34,22,52,49.149,48,54.785,21,8.509,43.8,37.5,1.024,1.141,0.681,0.673,12.5,22,0,0,0,0,16
5.1,375.48,31.552,42.5,32.824,28,31,22,52,49.225,49,55.604,20,7.663,40.8,42.9,1.005,1.135,0.67,0.644,14.3,21,0,0,0,0,16
6.5,442.48,34.933,46.0,35.358,32,35,22,56,54.436,53,60.583,23,8.349,43.4,39.6,1.027,1.143,0.667,0.659,7.5,22,0,0,0,0,18
6.1,376.5,32.783,41.0,34.546,28,31,18,55,51.898,52,58.564,22,7.24,42.3,46.2,0.998,1.126,0.664,0.63,7.7,16,0,0,0,0,16
5.7,467.67,42.197,51.0,45.143,35,40,22,73,67.207,68,76.514,29,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,22,0,0,0,0,18
6.0,427.57,35.223,48.0,37.222,31,34,24,55,51.982,52,57.943,24,8.222,46.2,40.4,1.0,1.114,0.716,0.677,9.6,22,0,0,0,2,20
5.1,293.35,24.655,33.0,25.495,22,24,15,39,37.262,37,41.405,17,7.928,45.9,40.5,1.007,1.119,0.689,0.666,8.1,12,0,0,0,0,15
5.1,267.36,23.467,29.0,24.801,20,22,13,39,36.818,37,41.611,16,7.226,43.2,45.9,0.995,1.125,0.67,0.634,8.1,12,0,0,0,0,12
5.1,477.59,37.894,51.0,39.347,34,37,23,60,57.847,57,63.986,24,8.379,42.1,40.4,1.015,1.123,0.69,0.665,8.8,18,0,0,0,0,21
6.4,256.34,21.961,28.5,23.046,19,21,15,37,35.036,35,39.694,14,7.324,40.0,45.7,1.001,1.134,0.658,0.627,11.4,15,0,0,0,0,10
5.9,444.52,34.773,50.5,35.847,32,36,28,53,49.836,49,54.578,24,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,0,0,0,0,24
6.5,400.54,33.202,46.0,35.216,29,33,26,53,48.88,49,54.444,23,8.174,46.9,40.8,0.998,1.111,0.719,0.678,8.2,26,0,0,0,0,20
5.1,325.42,27.904,34.5,29.262,24,27,13,47,44.098,44,49.781,19,7.396,43.2,45.5,1.002,1.131,0.665,0.634,6.8,11,0,0,0,0,12
5.5,411.94,31.723,41.0,33.523,28,30,20,48,46.429,46,51.099,21,8.955,45.7,39.1,1.009,1.111,0.729,0.69,6.5,18,0,0,1,0,20
5.1,323.41,25.116,36.0,26.176,23,27,17,40,36.447,36,40.282,16,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,0,0,0,0,12
5.1,350.3,24.968,36.5,24.034,25,27,18,37,37.203,35,40.637,16,10.009,45.7,28.6,1.063,1.161,0.687,0.713,11.4,17,0,0,0,0,15
5.6,367.88,27.954,39.5,29.546,25,28,22,42,39.334,39,43.06,19,9.433,48.7,35.9,1.009,1.104,0.758,0.717,7.7,21,0,0,1,0,18
6.8,454.6,37.245,51.5,39.228,33,37,28,59,55.083,55,61.441,25,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,0,0,0,0,23
5.5,398.5,34.256,46.0,35.784,30,34,23,56,52.014,52,58.149,24,7.663,46.2,42.3,1.0,1.118,0.688,0.659,7.7,22,0,0,0,0,20
6.2,361.46,28.643,41.0,29.938,26,29,23,44,41.331,41,45.697,19,8.816,46.3,36.6,1.008,1.115,0.73,0.699,12.2,22,0,0,0,0,19
5.1,497.67,41.518,56.0,43.961,36,40,30,67,62.96,63,70.398,28,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,28,0,0,0,0,24
5.1,522.73,45.218,50.0,47.83,38,42,14,80,76.05,76,86.843,27,6.878,35.5,50.0,1.001,1.143,0.629,0.595,10.5,12,0,0,0,0,12
5.1,254.32,21.434,29.5,22.284,19,21,16,35,33.153,33,37.279,14,7.707,42.4,42.4,1.005,1.13,0.675,0.65,12.1,15,0,0,0,0,11
6.5,529.65,41.891,57.5,43.387,38,42,29,66,62.909,62,69.903,27,8.543,43.5,38.7,1.015,1.127,0.7,0.676,11.3,27,0,0,0,0,24
6.5,451.61,38.569,45.0,40.569,33,37,14,67,63.156,63,72.02,24,7.168,38.1,47.6,1.002,1.143,0.644,0.612,11.1,12,0,0,0,0,13
5.4,268.35,22.961,30.0,24.046,20,22,16,38,36.036,36,40.694,15,7.454,41.7,44.4,1.001,1.13,0.668,0.638,11.1,16,0,0,0,0,12
5.1,289.7,20.418,30.0,20.318,20,22,14,30,29.255,28,31.685,12,10.346,42.9,28.6,1.045,1.132,0.726,0.729,17.9,12,0,0,1,0,12
5.1,408.53,34.494,43.5,36.04,30,33,21,58,55.287,55,62.691,22,7.428,40.0,45.5,1.005,1.14,0.655,0.627,10.9,21,0,0,0,0,15
5.1,404.93,33.369,44.0,35.188,29,32,23,53,50.011,50,55.883,23,8.099,46.0,42.0,1.0,1.118,0.704,0.667,8.0,22,0,0,1,0,20
5.1,521.74,45.723,50.0,48.586,38,42,14,81,76.832,77,87.76,28,6.776,36.4,50.6,0.998,1.14,0.631,0.594,9.1,12,0,0,0,0,12
6.0,415.56,34.223,46.0,36.222,30,34,23,55,50.982,51,56.943,23,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,0,0,0,0,19
5.2,380.53,29.335,41.0,31.341,26,29,22,45,42.189,42,46.534,19,9.06,45.2,38.1,1.004,1.108,0.746,0.698,9.5,20,0,0,0,0,17
5.7,467.67,42.197,51.0,45.143,35,40,22,73,67.207,68,76.514,29,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,22,0,0,0,0,18
5.1,246.67,17.682,26.0,17.858,17,19,13,26,24.825,24,26.977,11,10.278,45.8,29.2,1.034,1.124,0.744,0.737,16.7,12,0,0,1,0,11
5.1,268.37,21.38,29.5,22.716,19,21,17,33,31.018,31,34.574,14,8.657,45.2,38.7,1.001,1.115,0.733,0.69,12.9,17,0,0,0,0,13
5.7,359.41,29.896,41.5,30.71,27,30,23,47,44.473,44,49.03,21,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,23,0,0,0,0,21
6.1,440.57,35.718,50.5,37.466,32,36,28,56,52.2,52,58.026,24,8.472,46.2,38.5,1.004,1.116,0.721,0.687,11.5,27,0,0,0,0,23
5.1,379.4,29.749,44.5,29.926,28,32,25,47,44.163,43,48.872,20,8.823,46.5,34.9,1.027,1.137,0.696,0.692,11.6,25,0,0,0,0,17
6.2,410.41,31.684,45.0,31.591,30,33,23,49,47.6,46,52.207,21,8.922,45.7,34.8,1.035,1.135,0.687,0.689,8.7,22,0,0,0,0,20
5.1,318.41,27.488,38.0,28.807,24,27,21,45,41.92,42,47.109,19,7.581,45.2,42.9,0.998,1.122,0.686,0.654,9.5,20,0,0,0,0,15
5.7,457.63,40.385,49.0,42.836,34,37,19,68,64.65,65,73.308,27,7.04,41.5,47.7,0.995,1.128,0.659,0.621,7.7,16,0,0,0,1,15
5.1,364.42,29.387,41.0,29.995,27,30,22,47,44.752,44,50.03,19,8.282,43.2,38.6,1.017,1.137,0.682,0.668,13.6,22,0,0,0,0,16
5.7,344.4,28.676,41.0,29.5,26,30,19,46,42.363,42,46.903,20,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,16,0,0,0,0,17
5.1,497.58,38.324,52.0,39.256,35,38,22,61,59.502,58,65.405,23,8.579,39.7,39.7,1.026,1.128,0.677,0.661,8.6,16,0,0,0,0,18
6.5,379.51,32.805,39.0,34.552,28,30,15,55,53.0,53,60.062,21,7.161,39.6,47.2,1.0,1.133,0.652,0.619,9.4,12,0,0,0,0,14
5.1,320.46,21.217,33.0,22.739,20,24,18,32,28.724,28,31.165,11,11.445,39.3,28.6,1.026,1.113,0.812,0.758,21.4,18,0,0,0,0,8
5.8,374.49,32.058,42.5,33.58,28,31,22,53,50.007,50,56.521,21,7.49,42.0,44.0,1.0,1.13,0.672,0.641,12.0,21,0,0,0,0,16
5.4,334.41,28.203,38.0,29.262,25,28,17,46,43.247,43,48.318,19,7.777,44.2,41.9,1.006,1.124,0.681,0.656,9.3,16,0,0,0,1,13
5.1,426.92,33.268,44.0,34.375,30,33,22,53,50.843,50,56.805,21,8.538,42.0,40.0,1.017,1.136,0.688,0.665,12.0,22,0,0,1,0,16
5.1,350.42,29.597,38.0,30.711,26,28,19,47,45.323,45,50.492,21,7.787,46.7,42.2,1.007,1.122,0.682,0.658,4.4,18,0,0,0,0,18
5.1,283.37,23.983,31.5,25.051,21,24,15,41,38.138,38,43.192,15,7.457,39.5,44.7,1.004,1.137,0.659,0.631,13.2,15,0,0,0,0,9
5.1,303.41,25.751,30.0,27.029,22,24,11,45,43.232,43,49.232,15,7.056,34.9,48.8,1.005,1.145,0.629,0.599,11.6,10,0,0,0,0,7
5.2,410.43,32.165,45.0,32.381,30,33,23,50,48.341,47,53.543,22,8.733,46.8,36.2,1.029,1.139,0.689,0.684,8.5,22,0,0,0,0,20
6.8,523.55,38.756,56.0,38.972,37,41,29,58,56.032,54,61.301,26,9.695,48.1,31.5,1.038,1.135,0.722,0.718,9.3,28,0,0,0,0,25
7.1,290.4,25.773,35.0,27.353,22,25,20,43,39.592,40,44.9,18,7.26,45.0,45.0,0.99,1.122,0.684,0.644,10.0,20,0,0,0,0,14
5.1,525.69,43.034,57.5,45.211,38,42,29,69,65.28,65,72.979,28,8.088,43.1,41.5,1.004,1.123,0.696,0.662,10.8,27,0,0,0,0,24
5.1,286.74,21.735,30.5,22.381,20,22,13,33,31.593,31,34.807,14,9.25,45.2,35.5,1.019,1.123,0.722,0.701,12.9,11,0,0,1,1,11
5.1,432.55,34.433,47.0,35.921,31,34,24,54,51.527,51,57.235,22,8.481,43.1,39.2,1.01,1.122,0.704,0.675,11.8,22,0,0,0,0,20
5.1,346.46,30.74,38.0,32.534,26,28,19,50,47.694,48,53.567,22,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,18,0,0,0,0,18
5.1,263.32,22.413,31.5,23.279,20,22,18,35,33.051,33,36.78,16,7.979,48.5,39.4,1.002,1.115,0.705,0.679,9.1,17,0,0,0,0,16
7.4,458.56,36.101,51.5,37.404,33,37,28,56,52.712,52,58.365,24,8.818,46.2,36.5,1.014,1.122,0.719,0.694,11.5,27,0,0,0,0,23
5.1,226.25,18.58,27.0,18.966,17,19,16,29,27.393,27,30.076,13,8.38,48.1,37.0,1.015,1.114,0.702,0.688,7.4,16,0,0,0,0,13
5.1,339.39,27.412,37.5,27.96,25,28,17,45,42.793,42,47.611,17,8.081,40.5,40.5,1.019,1.134,0.666,0.653,11.9,15,0,0,0,0,12
5.1,326.4,25.535,34.0,26.591,23,25,15,39,37.564,37,41.036,17,8.822,45.9,37.8,1.015,1.109,0.719,0.69,5.4,12,0,0,0,0,16
5.1,345.22,23.46,32.0,24.637,21,23,17,36,34.382,34,38.12,15,10.154,44.1,38.2,1.011,1.121,0.725,0.69,11.8,16,0,1,0,0,14
5.1,234.29,19.149,23.0,19.739,17,17,8,31,31.48,31,35.488,11,7.558,35.5,45.2,1.015,1.145,0.637,0.618,12.9,6,0,0,0,1,6
5.1,323.41,25.116,36.0,26.176,23,27,17,40,36.447,36,40.282,16,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,0,0,0,0,12
5.1,621.82,53.239,67.0,55.836,46,52,28,91,85.152,85,96.341,34,7.316,40.0,45.9,1.002,1.133,0.657,0.626,10.6,26,0,0,0,0,21
6.8,397.52,34.563,47.0,36.336,30,34,26,57,52.789,53,59.438,24,7.5,45.3,43.4,0.996,1.121,0.686,0.652,9.4,26,0,0,0,0,20
5.1,310.39,26.203,34.5,27.262,23,25,17,43,41.247,41,46.318,17,7.57,41.5,43.9,1.006,1.13,0.665,0.639,9.8,15,0,0,0,0,12
5.1,272.32,20.435,30.0,21.097,19,21,17,30,28.654,28,31.127,14,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,16,0,0,0,0,14
5.1,439.47,34.912,46.0,35.353,32,35,20,55,53.334,52,59.085,24,8.451,46.2,38.5,1.026,1.136,0.68,0.671,5.8,18,0,0,0,0,20
7.8,590.56,42.016,52.0,44.233,37,40,21,68,66.047,65,73.655,24,9.086,36.9,43.1,1.016,1.133,0.681,0.646,10.8,18,0,1,0,0,17
5.1,345.43,29.708,39.0,31.017,26,28,20,47,45.029,45,50.235,21,7.676,46.7,42.2,1.001,1.116,0.689,0.66,6.7,18,0,0,0,0,20
5.1,438.48,34.539,47.0,34.909,32,35,23,55,53.36,52,59.41,22,8.432,42.3,38.5,1.026,1.142,0.671,0.664,11.5,22,0,0,0,0,17
5.1,378.45,30.914,42.5,31.756,28,32,21,51,47.636,47,53.445,20,8.052,42.6,40.4,1.014,1.137,0.676,0.658,12.8,21,0,0,0,0,15
5.1,425.58,37.617,47.0,39.858,32,35,21,62,58.556,59,66.268,26,7.213,44.1,45.8,0.992,1.123,0.676,0.638,8.5,18,0,0,0,0,21
5.1,387.45,31.893,44.5,32.75,29,32,24,50,47.534,47,52.947,22,8.244,46.8,38.3,1.011,1.127,0.697,0.679,10.6,23,0,0,0,0,21
5.1,282.38,21.532,26.5,22.631,19,20,12,35,34.625,34,38.954,12,8.305,35.3,44.1,1.018,1.146,0.666,0.633,11.8,11,0,0,0,0,8
5.1,212.23,16.854,25.0,17.0,16,18,13,26,24.502,24,27.033,11,8.843,45.8,33.3,1.021,1.126,0.708,0.702,16.7,12,0,0,0,0,11
5.1,475.61,39.223,56.0,41.222,35,39,30,60,55.982,56,61.943,28,8.493,50.0,37.5,1.0,1.106,0.736,0.7,8.9,28,0,0,0,2,25
5.1,417.43,31.901,42.5,31.841,30,33,18,51,49.771,48,55.251,20,8.696,41.7,37.5,1.037,1.151,0.663,0.665,10.4,17,0,0,0,0,15
5.2,462.59,40.31,54.0,42.307,35,39,29,65,60.781,61,67.979,29,7.583,47.5,42.6,0.996,1.114,0.694,0.661,6.6,28,0,0,0,0,26
6.1,327.41,28.467,40.0,29.801,25,28,23,45,41.818,42,46.611,21,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,22,0,0,0,0,20
6.7,366.46,31.289,45.5,32.603,28,32,27,50,45.912,46,51.481,22,7.967,47.8,39.1,0.998,1.119,0.709,0.68,13.0,27,0,0,0,0,21
