pXC50,Eig11_AEA.bo.,Eig12_AEA.bo.,SpMax8_Bh.m.,Eig11_EA.bo.,nCrs,CATS2D_05_DA,ATS3m,Eig12_AEA.ri.,ZM2Per,ZM1Mad,SpMax4_Bh.e.,ATSC8s,X4sol,SM04_AEA.bo.,ATSC5m,CATS2D_05_AA,Eig10_AEA.bo.,MPC03,Eig15_AEA.bo.,MWC03,ZM2,ATS8s,MWC04,MWC05,Eig01_AEA.bo.,SpMax_AEA.bo.,Eig14_AEA.bo.,piPC02,SM02_EA.bo.,Eig12_AEA.ed.,Eig13_AEA.bo.,O.058,MAXDP,MATS4e,SM04_EA.bo.,Eta_B,ATSC7m,NdO,Eig03_AEA.dm.,Eig09_AEA.bo.,MAXDN,Eig09_EA.bo.,MWC06,Eig12_AEA.dm.,Eta_C_A,TIC1,Eig11_EA.ed.,SM06_AEA.ri.,Eig11_EA,SM05_AEA.dm.,nCs,GATS1p,Eig04_AEA.dm.,X4,X0sol,ATSC8e,X1sol,Eig01_AEA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpDiam_EA.ed.,SpMax_AEA.ed.,SpMax_EA.ed.,SM15_EA.ed.,SM11_EA.bo.
6.301,2.953,2.917,3.238,2.087,2,3,4.588,2.496,1021.55,282.853,3.827,186.439,13.767,7.871,41.221,2,2.992,4.466,2.5,6.279,266.0,6.544,7.146,8.005,4.388,4.388,2.5,4.71,5.398,4.04,2.785,3,6.198,0.047,7.492,1.048,44.179,3,3.58,3.232,2.913,2.481,8.874,1.829,0.922,266.95,3.596,3.596,1.516,1.516,4,0.913,3.411,13.02,32.053,1.481,21.873,6.65,10.618,10.618,17.769,6.65,10.618,36.022,16.192
5.854,2.5,2.433,3.121,1.5,8,3,4.463,2.104,838.51,248.853,3.792,191.112,11.526,7.624,43.128,2,2.876,4.277,2.0,6.107,224.0,6.407,6.967,7.815,4.328,4.328,2.038,4.419,5.106,3.59,2.396,3,5.885,0.063,7.109,0.945,44.255,3,3.578,2.917,2.88,2.087,8.676,1.769,1.062,255.841,3.042,3.042,1.391,1.391,10,1.038,3.411,10.779,28.07,1.517,18.89,6.642,10.577,10.577,17.677,6.642,10.577,35.64,15.643
5.921,2.404,2.038,3.072,1.302,2,3,4.344,1.852,783.37,220.187,3.62,155.011,9.705,7.524,33.412,2,2.5,4.127,1.454,5.953,192.0,6.158,6.815,7.665,4.328,4.328,1.862,4.317,5.004,3.414,1.929,3,5.509,-0.023,7.052,0.877,33.015,3,3.569,2.905,2.896,1.89,8.527,1.658,0.916,214.897,2.275,2.275,1.0,1.0,4,1.006,3.411,8.958,24.957,1.254,16.372,6.637,10.55,10.55,17.586,6.637,10.55,35.606,15.635
5.678,2.405,2.157,3.107,1.306,2,3,4.361,2.0,792.1,224.52,3.631,172.994,10.072,7.534,34.811,2,2.5,4.143,1.82,5.974,196.0,6.229,6.834,7.683,4.328,4.328,1.88,4.331,5.017,3.414,2.038,3,5.598,0.002,7.057,0.877,36.074,3,3.571,2.915,2.893,1.91,8.545,1.66,0.953,226.402,2.318,2.318,1.112,1.112,4,1.024,3.411,9.325,25.665,1.364,16.872,6.638,10.559,10.559,17.613,6.638,10.559,35.616,15.636
5.824,2.5,2.402,3.121,1.5,2,3,4.397,2.0,804.08,232.52,3.683,177.891,10.333,7.554,39.717,2,2.609,4.174,1.866,6.014,204.0,6.328,6.868,7.713,4.328,4.328,1.937,4.357,5.043,3.414,2.038,3,5.723,0.031,7.068,0.877,40.499,3,3.571,2.916,2.889,1.929,8.571,1.754,1.008,246.883,2.682,2.682,1.124,1.124,6,1.056,3.411,9.586,27.079,1.428,17.872,6.638,10.559,10.559,17.615,6.638,10.559,35.616,15.636
5.959,2.5,2.405,3.122,1.5,2,3,4.42,2.078,813.4,238.52,3.729,182.046,10.465,7.59,42.696,2,2.909,4.19,1.881,6.043,210.0,6.368,6.899,7.739,4.328,4.328,2.038,4.382,5.069,3.534,2.136,3,5.775,0.069,7.085,1.021,42.223,3,3.571,2.918,2.89,2.087,8.598,1.771,1.052,257.932,2.779,2.779,1.138,1.138,5,1.071,3.411,9.717,27.949,1.456,18.228,6.638,10.559,10.559,17.616,6.638,10.559,35.616,15.637
5.824,2.421,2.321,3.088,1.338,2,3,4.381,2.0,801.33,226.548,3.634,149.362,9.843,7.563,35.976,3,2.5,4.159,1.797,5.989,199.0,6.164,6.853,7.706,4.328,4.328,1.878,4.344,5.03,3.414,2.038,3,5.625,-0.013,7.076,1.004,37.692,3,3.611,2.917,2.892,2.032,8.57,1.76,0.949,223.102,2.583,2.583,1.12,1.12,4,1.064,3.411,9.096,25.828,1.234,16.745,6.703,10.744,10.744,17.981,6.703,10.744,35.827,15.659
5.18,2.5,2.402,3.118,1.5,2,3,4.384,2.0,804.41,230.853,3.661,190.278,10.321,7.57,36.318,2,2.783,4.159,1.849,6.004,202.0,6.298,6.868,7.713,4.328,4.328,1.896,4.357,5.043,3.438,2.038,3,5.679,0.051,7.075,1.021,39.189,3,3.576,2.917,2.894,2.087,8.578,1.767,1.002,235.717,2.691,2.691,1.124,1.124,5,1.041,3.411,9.574,26.535,1.467,17.228,6.641,10.572,10.572,17.66,6.641,10.572,35.631,15.639
5.921,2.5,2.403,3.12,1.5,2,3,4.412,2.0,820.96,239.186,3.708,206.719,10.52,7.659,37.911,2,2.867,4.174,1.852,6.043,210.0,6.363,6.921,7.759,4.328,4.328,1.901,4.394,5.081,3.509,2.038,3,5.759,0.106,7.132,1.231,42.343,3,3.601,2.917,2.897,2.087,8.635,1.769,1.062,244.129,2.711,2.711,1.124,1.124,4,1.056,3.411,9.773,27.457,1.565,17.519,6.674,10.727,10.727,17.91,6.674,10.727,36.039,15.686
6.523,2.5,2.403,3.12,1.5,5,3,4.375,2.0,821.24,236.853,3.783,178.711,10.339,7.611,34.687,2,2.87,4.19,1.856,6.052,212.0,6.25,6.921,7.776,4.328,4.328,1.908,4.382,5.069,3.506,2.038,3,5.695,0.014,7.101,0.945,36.187,3,3.579,2.917,2.884,2.087,8.644,1.769,0.959,231.715,2.719,2.719,1.124,1.124,7,0.989,3.411,9.592,25.949,1.403,17.39,6.642,10.579,10.579,17.683,6.642,10.579,35.644,15.647
6.222,2.917,2.908,3.209,2.087,2,3,4.574,2.46,1046.57,299.698,3.826,173.393,14.036,7.842,36.509,3,3.032,4.419,2.402,6.229,253.0,6.39,7.102,7.964,4.464,4.464,2.5,4.675,5.364,4.04,2.788,3,5.974,0.028,7.516,1.065,35.789,3,3.579,3.232,2.915,2.481,8.838,1.829,0.943,260.608,3.954,3.954,1.532,1.532,4,0.861,3.411,12.406,30.286,1.447,20.764,6.642,10.581,10.581,17.69,6.642,10.581,35.78,16.709
6.155,2.649,2.5,3.122,1.685,2,3,4.452,2.104,911.29,270.802,3.805,161.964,11.979,7.679,37.48,2,2.915,4.277,2.038,6.107,224.0,6.338,6.965,7.812,4.328,4.328,2.118,4.503,5.19,3.562,2.403,3,5.828,-0.003,7.242,0.945,37.582,3,3.573,2.923,2.898,2.087,8.671,1.771,0.963,248.603,2.867,2.867,1.287,1.287,4,0.888,3.411,10.667,28.424,1.38,19.344,6.638,10.56,10.56,17.62,6.638,10.56,35.619,15.766
6.222,2.925,2.916,3.268,2.087,2,3,4.562,2.496,997.85,280.241,3.839,184.622,13.535,7.858,44.67,2,3.046,4.454,2.406,6.263,262.0,6.475,7.132,7.991,4.523,4.523,2.5,4.694,5.382,4.04,2.669,3,5.996,0.02,7.53,1.048,43.331,3,3.572,3.232,2.902,2.481,8.86,1.829,0.967,286.791,3.77,3.77,1.546,1.546,5,0.948,3.411,12.787,31.346,1.468,21.373,6.638,10.559,10.559,17.616,6.638,10.559,36.023,16.826
5.523,2.906,2.886,3.169,2.024,2,4,4.546,2.477,1033.65,281.827,3.827,181.968,13.177,7.809,41.085,2,2.917,4.431,2.224,6.244,257.0,6.468,7.112,7.97,4.328,4.328,2.404,4.62,5.308,4.04,2.5,3,5.965,-0.029,7.389,1.065,39.849,3,3.573,3.232,2.917,2.481,8.838,1.991,0.943,264.384,4.15,4.15,1.534,1.534,4,1.005,3.411,12.43,30.639,1.704,20.856,6.638,10.56,10.56,17.62,6.638,10.56,35.719,16.067
6.222,2.862,2.765,3.121,1.987,2,3,4.502,2.355,949.09,258.684,3.802,223.662,11.526,7.732,34.975,2,2.917,4.317,2.038,6.142,232.0,6.49,7.006,7.858,4.328,4.328,2.402,4.549,5.236,3.738,2.5,3,5.888,-0.047,7.315,1.035,34.855,3,3.582,2.963,2.955,2.087,8.722,1.828,0.913,245.768,3.519,3.519,1.414,1.414,4,0.942,3.411,11.051,28.07,1.754,18.89,6.644,10.586,10.586,17.701,6.644,10.586,35.682,15.93
6.155,2.862,2.765,3.232,1.987,2,3,4.55,2.325,949.09,270.372,3.801,185.464,12.052,7.732,36.437,2,2.917,4.317,2.038,6.142,232.0,6.42,7.006,7.858,4.328,4.328,2.402,4.549,5.236,3.738,2.5,3,5.887,-0.023,7.315,1.035,36.107,3,3.582,2.963,2.923,2.087,8.722,1.828,0.938,240.259,3.519,3.519,1.414,1.414,4,0.889,3.411,11.051,29.441,1.595,19.589,6.644,10.586,10.586,17.701,6.644,10.586,35.682,15.93
5.553,2.863,2.5,3.15,1.846,2,3,4.517,2.104,945.48,270.372,3.801,181.362,11.835,7.731,34.879,2,2.917,4.304,2.038,6.138,231.0,6.388,7.0,7.849,4.328,4.328,2.403,4.549,5.236,3.753,2.5,3,5.873,-0.006,7.309,1.052,34.787,3,3.578,3.232,2.918,2.481,8.711,1.829,0.93,240.259,3.596,3.596,1.51,1.51,4,0.889,3.411,10.921,29.441,1.569,19.572,6.642,10.577,10.577,17.677,6.642,10.577,35.641,15.829
6.222,2.917,2.775,3.121,2.051,2,3,4.518,2.38,953.1,261.731,3.802,185.908,12.187,7.742,39.18,3,2.917,4.344,2.038,6.163,237.0,6.461,7.027,7.881,4.328,4.328,2.402,4.559,5.247,3.75,2.5,3,5.944,-0.019,7.324,0.997,39.228,3,3.581,2.968,2.92,2.094,8.746,1.829,0.928,257.048,3.596,3.596,1.509,1.509,4,0.997,3.411,11.44,29.648,1.701,19.839,6.644,10.589,10.589,17.708,6.644,10.589,35.72,15.952
5.824,2.79,2.5,3.121,1.802,2,3,4.446,2.104,892.22,248.853,3.799,172.654,11.526,7.688,35.324,2,2.917,4.277,2.038,6.107,224.0,6.361,6.967,7.815,4.328,4.328,2.402,4.516,5.204,3.59,2.5,3,5.846,0.026,7.26,0.945,35.672,3,3.578,2.959,2.906,2.087,8.676,1.769,0.895,235.837,3.042,3.042,1.391,1.391,4,0.943,3.411,10.779,28.07,1.428,18.89,6.642,10.577,10.577,17.677,6.642,10.577,35.64,15.743
6.046,2.917,2.792,3.235,2.075,2,3,4.583,2.383,1083.94,289.87,3.809,280.696,11.798,7.848,39.423,2,2.959,4.394,2.402,6.229,253.0,6.64,7.109,7.964,4.541,4.541,2.5,4.61,5.298,4.04,2.583,3,5.892,-0.016,7.392,1.323,35.976,3,3.76,3.232,5.99,2.481,8.843,1.829,0.965,260.552,3.596,3.596,1.51,1.51,4,0.959,3.578,11.938,28.941,2.321,19.301,7.248,12.243,12.243,19.784,7.248,12.243,37.708,16.147
6.699,2.562,2.5,3.121,1.562,2,3,4.428,2.094,935.87,270.024,3.755,162.753,11.973,7.67,34.147,3,2.906,4.263,2.038,6.089,220.0,6.285,6.952,7.802,4.328,4.328,2.118,4.491,5.179,3.536,2.401,3,5.783,0.017,7.238,0.945,34.192,3,3.578,2.917,2.912,2.087,8.665,1.769,0.926,244.298,2.774,2.774,1.175,1.175,4,0.887,3.411,10.602,27.717,1.41,18.844,6.642,10.577,10.577,17.678,6.642,10.577,35.64,15.775
5.824,2.832,2.5,3.121,1.819,2,3,4.461,2.104,983.04,281.642,3.757,174.411,12.342,7.714,34.036,4,2.917,4.29,2.038,6.12,227.0,6.331,6.987,7.838,4.328,4.328,2.208,4.525,5.212,3.743,2.403,3,5.824,0.004,7.289,1.052,34.472,3,3.578,3.109,2.92,2.251,8.705,1.829,0.966,251.336,3.596,3.596,1.51,1.51,4,0.902,3.411,10.895,28.587,1.519,19.192,6.642,10.578,10.578,17.681,6.642,10.578,35.645,15.896
6.301,2.917,2.803,3.121,2.077,2,3,4.555,2.384,1006.3,268.515,3.804,275.553,11.526,7.775,34.499,2,2.961,4.357,2.038,6.176,240.0,6.604,7.045,7.901,4.36,4.36,2.403,4.58,5.268,3.989,2.5,3,5.909,-0.026,7.368,1.124,33.858,3,3.59,3.232,3.004,2.481,8.77,1.829,0.931,251.437,3.596,3.596,1.51,1.51,4,0.942,3.411,11.475,28.07,2.068,18.89,6.651,10.61,10.61,17.73,6.651,10.61,35.849,16.133
6.155,2.917,2.803,3.243,2.077,2,3,4.644,2.384,1006.3,291.892,3.802,199.885,12.939,7.775,37.226,2,2.961,4.357,2.038,6.176,240.0,6.475,7.045,7.901,4.36,4.36,2.403,4.58,5.268,3.989,2.5,3,5.927,-0.031,7.368,1.124,35.952,3,3.591,3.232,2.94,2.481,8.77,1.829,0.985,243.437,3.596,3.596,1.51,1.51,4,0.841,3.411,11.475,30.811,1.752,20.289,6.651,10.61,10.61,17.73,6.651,10.61,35.849,16.133
6.398,2.917,2.803,3.24,2.077,2,3,4.653,2.33,1025.5,293.279,3.793,203.665,12.939,7.775,36.731,2,2.961,4.357,2.038,6.176,240.0,6.478,7.045,7.901,4.36,4.36,2.403,4.58,5.268,3.989,2.5,3,5.917,-0.011,7.368,1.124,34.874,3,3.591,3.232,2.947,2.481,8.77,1.829,0.976,252.31,3.596,3.596,1.51,1.51,4,0.858,3.411,11.475,30.811,1.804,20.289,6.651,10.61,10.61,17.73,6.651,10.61,35.849,16.133
6.0,2.96,2.917,3.43,2.11,2,3,4.676,2.519,1105.4,311.377,3.857,231.924,14.403,7.996,51.463,4,3.232,4.543,2.585,6.375,293.0,6.774,7.255,8.115,4.543,4.543,2.666,4.777,5.466,4.463,2.899,3,6.437,0.068,7.573,1.46,59.114,3,3.597,3.435,2.92,2.682,8.995,1.991,1.098,328.04,4.544,4.544,1.688,1.688,4,1.019,3.549,13.655,35.424,1.67,23.461,7.133,11.788,11.788,19.007,7.133,11.788,37.254,16.357
5.585,3.232,2.918,3.412,2.481,2,3,4.694,2.628,1126.54,313.71,3.838,240.324,14.482,8.023,51.054,4,3.282,4.564,2.5,6.389,297.0,6.777,7.274,8.141,4.583,4.583,2.65,4.794,5.483,4.55,2.909,3,6.47,0.067,7.614,1.549,54.141,3,3.601,3.436,2.923,2.691,9.027,2.107,1.115,332.412,5.104,5.104,1.879,1.879,4,1.019,3.551,13.735,35.587,1.767,23.372,7.139,11.837,11.837,19.073,7.139,11.837,37.359,16.523
5.469,2.5,2.406,3.119,1.5,2,3,4.458,2.077,867.89,248.092,3.719,186.449,11.359,7.616,40.996,4,2.773,4.277,2.0,6.094,221.0,6.327,6.957,7.813,4.328,4.328,2.038,4.407,5.094,3.559,2.212,3,5.861,0.005,7.111,0.929,41.677,3,3.622,2.917,2.892,2.087,8.679,1.828,0.99,244.269,2.862,2.862,1.179,1.179,4,1.083,3.411,10.611,27.363,1.626,18.407,6.729,10.864,10.864,18.219,6.729,10.864,35.976,15.669
5.146,1.904,1.46,2.709,0.882,3,0,4.105,1.097,660.42,160.37,3.426,62.019,8.768,7.471,22.879,4,2.332,4.174,0.719,5.866,176.0,5.63,6.815,7.769,4.93,4.93,1.033,4.19,4.875,3.06,1.457,2,5.174,-0.005,7.035,0.639,24.092,2,3.691,2.5,2.592,1.5,8.734,1.157,0.788,131.66,2.344,2.344,0.872,0.872,3,1.124,2.839,8.768,17.604,0.597,12.119,8.103,15.874,15.874,24.246,8.103,15.874,41.473,16.479
6.475,0.677,0.618,2.2,-1.076,0,0,3.344,0.0,408.21,95.254,3.338,57.917,3.728,6.847,13.839,1,0.989,3.219,-0.474,5.153,86.0,5.062,5.958,6.746,4.232,4.232,0.073,3.726,4.407,1.336,0.089,1,4.12,-0.177,6.483,0.37,10.819,3,3.031,1.0,2.567,-0.418,7.561,-0.43,0.576,106.419,-1.922,-1.922,-0.797,-0.797,0,1.241,2.01,3.728,13.38,0.435,8.63,6.14,9.043,9.043,15.154,6.14,9.043,33.029,15.057
5.615,2.281,1.35,2.687,0.717,0,0,3.943,0.811,586.6,148.658,3.478,136.978,6.839,7.411,17.717,0,2.5,3.784,0.717,5.631,139.0,6.054,6.482,7.318,4.424,4.424,0.84,4.205,4.89,2.493,1.0,1,5.286,0.079,7.053,0.668,13.151,3,3.513,2.596,2.622,1.5,8.169,1.0,0.672,143.601,0.741,0.741,0.407,0.407,1,0.81,3.013,6.495,18.897,0.643,12.207,6.369,9.583,9.583,16.049,6.369,9.583,34.282,15.976
4.927,2.5,2.5,3.113,1.5,0,0,4.297,2.0,908.04,238.456,3.62,67.309,10.233,7.634,23.977,2,2.665,4.19,1.901,5.999,201.0,5.918,6.878,7.747,4.561,4.561,2.064,4.469,5.156,3.414,2.438,1,5.742,-0.14,7.325,0.818,28.717,1,3.49,2.809,4.247,1.901,8.634,1.347,0.857,197.663,2.657,2.657,1.08,1.08,0,0.905,3.124,9.807,22.648,0.844,15.827,6.734,11.002,11.002,18.147,6.734,11.002,36.177,16.364
4.786,2.291,2.0,2.866,1.274,2,1,4.06,1.952,646.78,171.071,3.654,61.431,9.08,7.477,29.149,2,2.5,4.111,1.401,5.9,182.0,5.866,6.783,7.657,4.488,4.488,1.472,4.277,4.963,3.414,1.935,3,6.135,0.064,7.05,0.733,28.317,3,3.317,2.545,1.948,1.505,8.546,1.244,0.829,181.007,2.275,2.275,1.0,1.0,2,1.142,3.099,9.08,20.38,0.507,14.025,6.772,11.054,11.054,18.185,6.772,11.054,36.43,15.84
4.042,1.348,1.0,2.624,-0.093,0,0,3.818,0.641,518.09,133.204,3.466,156.847,5.47,7.187,16.958,0,1.564,3.555,0.548,5.442,115.0,6.05,6.267,7.083,4.423,4.423,0.717,3.961,4.644,2.199,0.819,1,4.894,0.043,6.782,0.51,14.635,3,3.481,2.242,2.625,0.75,7.916,0.686,0.727,151.322,-0.124,-0.124,-0.067,-0.067,1,1.031,2.947,5.126,17.742,0.77,11.278,6.369,9.581,9.581,15.937,6.369,9.581,34.084,15.861
4.724,2.5,2.5,2.842,1.5,0,0,4.314,2.0,750.76,197.3,3.688,91.241,11.272,7.717,26.826,0,2.781,4.394,1.474,6.071,216.0,5.927,7.033,8.003,5.057,5.057,2.176,4.437,5.124,3.543,2.365,1,6.081,-0.034,7.3,0.721,37.452,1,3.672,2.803,2.149,1.908,8.987,1.38,0.852,162.529,2.709,2.709,1.0,1.0,0,0.881,3.036,11.106,21.38,0.477,14.911,8.591,17.915,17.915,26.771,8.591,17.915,43.285,16.699
4.308,2.781,2.5,3.038,1.556,1,0,4.468,2.0,872.43,222.836,3.688,135.571,12.551,7.825,31.603,6,2.803,4.511,2.29,6.184,242.0,6.363,7.152,8.13,5.082,5.082,2.374,4.527,5.215,3.689,2.5,2,6.504,-0.041,7.378,0.845,48.031,2,3.788,2.972,2.586,2.183,9.122,1.461,0.926,188.725,3.058,3.058,1.209,1.209,1,0.949,3.643,12.385,24.535,0.917,16.787,8.625,18.126,18.126,27.094,8.625,18.126,43.461,16.745
6.481,2.458,2.408,3.109,1.437,10,3,4.314,2.0,678.13,200.03,3.727,235.462,9.165,7.583,55.821,2,2.5,4.174,1.643,6.023,206.0,6.594,6.88,7.725,4.55,4.55,2.027,4.297,4.984,3.618,2.24,4,6.075,-0.176,6.952,0.974,64.297,4,3.724,2.716,2.719,1.689,8.584,1.61,1.176,258.976,2.86,2.86,1.179,1.179,12,1.139,3.536,9.165,26.131,1.389,17.198,7.614,13.808,13.808,21.127,7.614,13.808,39.38,15.24
6.476,1.0,0.719,2.209,-0.826,0,0,3.78,0.309,493.83,121.035,3.024,13.925,7.698,7.328,13.378,0,1.077,3.989,0.487,5.659,143.0,2.996,6.624,7.586,4.989,4.989,0.5,4.06,4.745,2.499,0.718,2,5.34,0.096,6.958,0.526,10.268,2,3.174,2.301,2.315,1.212,8.561,-0.21,0.604,84.881,-1.341,-1.341,-0.579,-0.579,0,0.765,2.508,7.698,13.035,0.071,9.232,8.309,16.596,16.596,24.98,8.309,16.596,42.138,16.573
6.699,2.828,2.584,3.281,1.81,6,6,4.612,2.345,964.23,284.878,3.705,547.534,12.623,7.74,64.923,8,3.032,4.331,2.37,6.192,244.0,7.207,7.059,7.904,4.282,4.282,2.393,4.46,5.147,3.986,2.5,7,6.426,-0.179,7.042,1.323,85.854,7,3.855,3.382,3.059,2.6,8.771,2.454,1.267,282.354,3.894,3.894,1.654,1.654,9,0.942,3.728,11.18,32.388,3.107,21.474,6.734,10.886,10.886,18.284,6.734,10.886,35.941,14.947
7.204,2.434,2.376,3.078,1.413,11,3,4.305,2.0,647.12,196.03,3.712,240.238,8.988,7.536,57.719,2,2.5,4.159,1.618,6.004,202.0,6.581,6.864,7.711,4.549,4.549,1.991,4.241,4.927,3.618,2.065,4,6.018,-0.185,6.864,0.974,65.424,4,3.724,2.616,2.736,1.582,8.571,1.421,1.203,238.132,2.769,2.769,1.134,1.134,13,1.167,3.63,8.988,25.424,1.472,16.698,7.614,13.808,13.808,21.127,7.614,13.808,39.38,15.078
