pXC50,nROH,SsOH,NsOH,O.057,Eig10_AEA.dm.,ATS5s,nArNHR,nPyrimidines,IC4,C.035,Eig08_AEA.bo.,nDB,nTriazoles,SpMax8_Bh.v.,Eig12_AEA.bo.,CATS2D_02_AA,SpMin3_Bh.i.,CATS2D_04_AN,nCconj,nBnz,IC5,NdO,O.058,Eig12_EA.bo.,Eig12_EA.ri.,Eig12_AEA.ri.,Eig12_EA.ed.,SM07_AEA.ri.,SpMax3_Bh.p.,ATS1s,ATS5m,C.044,P_VSA_i_2,CATS2D_03_DA,CATS2D_01_AN,CATS2D_01_DN,CATS2D_02_NL,CATS2D_01_AA,H.051,SpAD_AEA.ed.,Eig10_AEA.ri.,ATS3v,ATS6v,P_VSA_e_5,Eig06_AEA.dm.,CATS2D_03_AA,Eig10_EA.ri.,N.075,NaaN,Eig08_AEA.dm.,SpAD_AEA.dm.,CATS2D_09_NL,SpMax7_Bh.m.,CATS2D_08_NL,Eig11_AEA.bo.,P_VSA_i_3,Eig10_EA,SM04_AEA.dm.,nCbH,RDSQ,CATS2D_03_NL,ATS5v,Pol,MPC01,MWC01,nBO
7.886,1,9.833,1,1,1.596,6.078,0,0,5.164,0,3.046,1,0,2.715,2.403,0,1.767,1,1,3,5.164,1,1,1.355,0.924,1.931,2.275,2.275,3.754,5.141,4.259,0,142.656,0,1,1,2,0,0,52.48,2.371,4.168,3.932,67.828,2.777,0,1.366,1,1,2.417,54.553,2,2.958,1,2.5,244.395,1.375,1.375,10,280.775,1,4.079,54,3.526,3.526,33
7.699,1,9.864,1,1,1.598,6.196,0,0,5.403,0,3.046,1,0,2.786,2.393,0,1.771,1,1,3,5.403,1,1,1.339,0.927,1.928,2.474,2.474,3.735,5.206,4.188,0,152.576,0,1,1,2,0,0,54.059,2.43,4.196,4.05,78.828,2.388,0,1.419,1,1,2.046,53.549,1,3.063,1,2.618,278.937,1.435,1.435,10,295.056,2,4.191,57,3.555,3.555,34
6.796,1,9.842,1,1,1.544,6.159,0,0,5.368,0,3.046,1,0,2.768,2.391,0,1.755,1,1,2,5.368,1,1,1.337,0.906,1.907,2.455,2.455,3.719,5.213,4.17,0,142.242,0,1,1,2,0,2,53.869,2.395,4.154,3.987,78.828,2.522,0,1.381,2,2,2.055,53.618,2,3.049,1,2.597,267.166,1.412,1.412,7,293.05,2,4.123,56,3.555,3.555,34
6.662,1,9.829,1,1,1.522,6.02,0,0,5.164,0,3.046,1,0,2.715,2.403,0,1.779,1,1,3,5.164,1,1,1.355,0.906,1.916,2.275,2.275,3.755,5.141,4.194,0,142.656,0,1,1,1,0,0,52.48,2.362,4.169,3.938,67.828,2.752,0,1.349,1,1,2.421,54.935,2,2.971,1,2.5,244.395,1.375,1.375,10,280.775,2,4.071,54,3.526,3.526,33
7.398,1,9.843,1,1,1.444,6.111,0,0,5.198,0,3.046,1,0,2.715,2.403,0,1.79,1,1,3,5.198,1,1,1.355,0.948,1.949,2.275,2.275,3.756,5.152,4.1,0,148.461,0,1,1,2,0,0,52.48,2.373,4.184,3.972,67.828,2.444,0,1.371,1,1,2.054,51.98,2,2.954,1,2.5,267.937,1.375,1.375,10,280.775,2,4.106,54,3.526,3.526,33
6.523,1,9.86,1,1,1.317,6.131,0,0,5.187,0,2.977,1,0,2.715,2.399,0,1.757,1,1,3,5.187,1,1,1.35,0.938,1.939,2.136,2.136,3.72,5.118,4.154,0,145.926,0,1,1,2,0,0,50.406,2.275,4.139,4.019,67.828,2.299,0,1.274,1,1,1.688,50.395,2,2.849,2,2.5,244.395,1.277,1.277,11,273.259,2,4.154,53,3.497,3.497,32
7.602,1,9.858,1,1,1.544,6.166,0,0,5.403,0,3.046,1,0,2.782,2.391,0,1.771,1,1,3,5.403,1,1,1.337,0.926,1.927,2.455,2.455,3.735,5.206,4.164,0,152.576,0,1,1,2,0,0,53.869,2.4,4.191,4.025,78.828,2.522,0,1.389,1,1,2.055,53.618,2,3.049,1,2.597,278.937,1.412,1.412,10,293.05,2,4.159,56,3.555,3.555,34
7.284,1,9.798,1,1,1.076,6.047,0,0,5.26,0,3.046,1,0,2.659,2.118,0,1.565,1,1,2,5.26,1,1,0.927,0.634,1.636,1.591,1.591,3.753,5.063,4.102,0,123.319,0,1,1,2,0,0,48.539,1.992,4.063,3.861,67.828,2.33,0,0.983,1,1,1.792,48.879,1,2.82,1,2.293,220.853,1.028,1.028,6,257.736,2,4.031,49,3.466,3.466,31
6.432,1,9.82,1,1,1.64,6.267,0,0,5.198,0,3.167,1,0,2.718,2.5,0,1.786,1,1,3,5.198,1,1,1.5,1.0,2.0,2.516,2.516,3.756,5.276,4.183,0,147.395,0,1,1,2,0,0,57.646,2.432,4.218,3.993,67.828,2.614,0,1.419,1,1,2.094,56.824,2,3.098,1,2.692,232.624,1.439,1.439,10,317.653,2,4.134,60,3.611,3.611,36
6.745,1,9.79,1,1,1.076,6.04,0,0,5.222,0,3.046,1,0,2.662,2.118,0,1.53,1,1,2,5.222,1,1,0.927,0.634,1.636,1.591,1.591,3.707,5.074,4.103,0,112.985,0,1,1,2,0,0,48.539,2.004,4.039,3.838,67.828,2.33,0,0.998,2,2,1.792,48.879,1,2.778,0,2.293,209.081,1.028,1.028,6,257.736,2,4.005,49,3.466,3.466,31
7.319,1,9.765,1,1,1.201,6.133,0,0,5.154,0,3.046,1,0,2.715,2.389,0,1.74,2,1,3,5.154,1,1,1.335,0.909,1.912,2.136,2.136,3.702,5.137,4.102,0,147.507,0,1,1,2,0,0,50.198,2.163,4.079,3.837,78.828,2.354,0,1.162,1,1,1.844,50.496,2,2.81,1,2.5,231.852,1.166,1.166,11,268.802,1,3.998,52,3.497,3.497,32
5.481,0,0.0,0,0,0.726,4.938,0,0,4.56,0,2.5,1,0,2.511,1.086,0,1.345,0,1,2,4.56,0,0,-0.291,-0.144,0.599,-0.517,-0.517,3.682,4.77,3.539,1,160.621,0,0,0,0,0,0,33.721,1.485,3.546,3.147,0.0,1.448,1,0.536,1,1,1.0,33.881,0,2.687,0,1.234,129.482,0.687,0.687,9,149.38,0,3.218,26,3.178,3.178,23
6.87,1,9.833,1,1,1.516,6.034,0,0,5.342,0,3.046,1,0,2.779,2.391,0,1.777,1,1,3,5.342,1,1,1.337,0.889,1.897,2.451,2.451,3.753,5.141,4.213,0,142.656,0,1,1,1,0,0,52.488,2.375,4.169,3.965,67.828,2.776,0,1.363,1,1,2.358,55.068,2,2.968,1,2.595,244.395,1.385,1.385,10,281.579,2,4.096,54,3.526,3.526,33
6.857,1,9.796,1,1,1.457,6.326,0,0,5.187,0,3.177,3,0,2.715,2.5,1,1.824,1,1,3,5.187,3,3,1.5,1.0,2.0,2.343,2.343,3.843,5.164,4.425,0,140.122,0,1,1,2,0,0,54.429,2.163,4.192,4.041,112.141,2.736,0,1.161,1,1,1.925,55.886,2,2.842,1,2.623,265.166,1.168,1.168,11,302.635,1,4.164,58,3.555,3.555,34
5.26,1,9.367,1,1,1.0,5.786,0,0,5.071,0,2.5,2,0,2.542,1.008,0,1.528,1,1,1,5.071,2,2,-0.292,-0.238,0.717,-0.577,-0.577,3.435,5.018,3.705,0,104.837,0,1,1,1,0,2,36.737,1.407,3.742,3.657,92.973,1.654,0,0.409,1,1,1.295,36.492,0,2.733,1,1.355,293.082,0.417,0.417,3,170.648,1,3.725,33,3.219,3.219,24
7.0,1,9.449,1,1,1.0,5.791,0,0,5.037,0,2.532,2,0,2.545,1.008,0,1.385,1,1,1,5.037,2,2,-0.268,-0.221,0.726,-0.554,-0.554,3.749,5.026,3.751,0,98.546,0,1,1,1,0,1,40.042,1.956,3.777,3.73,92.973,2.278,0,0.953,1,1,1.389,40.287,0,2.747,1,1.384,293.082,1.0,1.0,3,188.009,1,3.767,35,3.296,3.296,26
6.155,1,9.034,1,1,0.463,5.647,0,0,4.696,0,2.532,2,0,2.332,0.723,0,1.223,0,1,2,4.696,2,2,-0.672,-0.341,0.231,-1.348,-1.348,3.141,4.897,3.534,0,87.22,0,1,1,1,0,0,33.809,0.746,3.56,3.141,92.973,2.25,0,-0.229,0,0,1.312,34.085,3,2.674,0,1.0,253.668,-0.262,-0.262,7,149.94,2,3.282,29,3.135,3.135,22
6.301,1,9.115,1,1,0.996,5.621,0,0,5.155,0,2.719,2,0,2.625,1.368,0,1.51,1,2,2,5.209,1,1,0.0,0.0,0.959,0.0,0.0,3.635,5.023,3.602,0,128.246,0,1,1,1,0,0,39.554,1.904,3.7,3.29,77.336,1.717,1,0.903,0,0,1.374,39.459,1,2.757,1,2.168,245.966,0.918,0.918,8,184.189,2,3.461,34,3.296,3.296,26
4.783,0,0.0,0,0,0.254,5.156,1,0,4.106,1,1.284,0,0,1.891,0.0,0,1.282,0,0,1,4.106,0,0,-1.118,-0.864,-0.3,-3.0,-3.0,3.059,4.704,2.984,0,74.993,1,0,0,0,0,3,27.379,0.042,3.234,2.721,0.0,1.0,0,-0.7,1,1,0.51,26.506,0,2.218,0,0.36,94.169,-0.91,-0.91,4,111.677,0,2.883,21,2.944,2.944,18
4.648,0,0.0,0,0,0.51,5.258,1,0,4.165,0,1.427,0,0,2.027,0.034,0,1.275,0,0,1,4.165,0,0,-1.101,-0.834,-0.216,-3.0,-3.0,3.061,4.759,3.084,0,77.527,0,0,0,0,0,3,29.981,0.067,3.382,2.917,0.0,1.367,0,-0.7,1,1,0.564,28.476,0,2.575,0,0.419,117.711,-0.882,-0.882,4,122.908,0,3.034,25,2.996,2.996,19
4.65,0,0.0,0,0,0.278,5.384,1,0,4.134,0,1.793,0,0,1.593,0.322,0,1.251,0,0,1,4.134,0,0,-1.068,-0.8,-0.012,-2.344,-2.344,2.935,4.852,3.22,0,82.769,0,0,0,0,0,3,30.5,0.557,3.293,2.925,0.0,2.105,0,-0.345,1,1,1.212,32.087,0,2.37,0,0.514,58.856,-0.373,-0.373,2,126.116,0,2.945,27,2.996,2.996,19
5.208,0,0.0,0,0,0.51,5.371,1,0,4.477,1,2.344,0,0,2.264,0.5,0,1.324,0,0,1,4.477,0,0,-0.922,-0.7,0.149,-2.062,-2.062,3.274,4.802,3.222,0,70.015,1,0,0,0,0,2,33.62,0.924,3.587,3.108,0.0,1.706,0,-0.023,1,1,1.0,33.079,0,2.64,0,0.63,141.253,-0.024,-0.024,4,149.757,0,3.212,29,3.135,3.135,22
6.301,0,0.0,0,0,0.51,5.636,1,0,4.254,0,2.406,0,0,2.102,0.5,0,1.259,0,0,1,4.254,0,0,-1.0,-0.7,0.0,-2.644,-2.644,2.997,4.902,3.383,0,89.42,0,0,0,0,0,3,32.324,0.654,3.357,3.011,11.0,1.898,0,-0.228,1,1,1.0,33.006,0,2.672,0,0.609,93.398,-0.254,-0.254,4,140.163,0,3.176,26,3.091,3.091,21
4.301,0,0.0,0,0,0.51,5.654,1,0,4.468,0,2.406,0,0,2.04,0.358,0,1.253,0,0,1,4.468,0,0,-1.0,-0.7,-0.039,-2.581,-2.581,3.017,4.841,3.377,0,85.304,0,0,0,0,0,3,31.55,0.444,3.393,3.09,0.0,1.493,0,-0.494,1,1,1.317,31.901,0,2.512,0,0.61,82.398,-0.516,-0.516,4,136.761,0,3.181,28,3.045,3.045,20
5.398,0,0.0,0,0,0.51,5.629,1,0,4.197,0,2.42,0,0,2.488,0.5,0,1.378,0,0,1,4.197,0,0,-1.0,-0.7,0.0,-2.0,-2.0,3.311,4.927,3.369,0,94.129,0,0,0,0,0,1,34.816,0.932,3.571,3.122,0.0,1.923,0,-0.006,1,1,1.131,35.219,0,2.687,0,0.745,129.482,-0.007,-0.007,4,153.587,0,3.322,31,3.135,3.135,22
4.301,0,0.0,0,0,0.933,5.671,1,0,4.386,1,2.5,0,0,2.635,1.31,0,1.507,0,0,1,4.386,0,0,-0.009,-0.006,0.933,-0.015,-0.015,3.567,4.966,3.578,0,86.617,1,0,0,0,0,1,38.271,1.618,3.709,3.359,0.0,1.968,0,0.618,1,1,1.377,39.195,0,2.687,0,1.618,153.024,0.618,0.618,4,181.242,0,3.526,33,3.258,3.258,25
4.301,0,0.0,0,0,0.51,5.517,1,0,4.236,1,2.5,0,0,2.298,0.5,0,1.406,0,0,1,4.236,0,0,-1.0,-0.7,0.0,-2.893,-2.893,3.069,4.88,3.302,0,93.7,1,0,0,0,1,3,33.644,0.475,3.488,3.146,0.0,1.951,0,-0.444,1,1,1.0,34.034,0,2.687,0,0.641,117.711,-0.473,-0.473,4,144.749,0,3.269,30,3.091,3.091,21
4.301,0,0.0,0,0,0.51,5.74,1,0,3.965,0,2.5,0,0,2.57,0.5,0,1.402,0,0,1,3.965,0,0,-1.0,-0.7,0.0,-2.858,-2.858,3.392,4.975,3.466,0,102.954,0,0,0,0,0,0,36.66,0.935,3.698,3.211,0.0,1.965,0,-0.004,1,1,1.277,37.578,0,2.687,0,0.754,153.024,-0.004,-0.004,4,166.152,0,3.441,33,3.178,3.178,23
4.301,0,0.0,0,0,1.0,5.675,1,0,4.477,1,2.534,0,0,2.609,1.346,0,1.475,0,0,1,4.477,0,0,0.0,0.0,0.939,0.0,0.0,3.549,5.041,3.617,0,116.712,1,0,0,0,0,0,39.931,1.984,3.66,3.337,0.0,1.968,0,0.983,2,2,1.392,41.03,0,2.687,0,2.399,94.169,1.0,1.0,4,191.495,0,3.485,36,3.296,3.296,26
4.301,0,0.0,0,0,1.0,5.668,1,0,4.712,1,2.534,0,0,2.533,1.346,0,1.481,0,0,1,4.712,0,0,0.0,0.0,0.939,0.0,0.0,3.558,5.041,3.619,0,116.712,1,0,0,0,0,0,39.931,1.955,3.655,3.336,0.0,1.968,0,0.952,2,2,1.392,41.03,0,2.687,0,2.399,94.169,1.0,1.0,4,191.495,0,3.469,36,3.296,3.296,26
4.301,0,0.0,0,0,0.905,5.645,1,0,4.601,1,2.5,0,0,2.318,1.329,0,1.407,0,0,1,4.601,0,0,-0.009,-0.006,0.933,-0.015,-0.015,3.535,5.011,3.562,0,112.62,1,0,0,0,0,0,38.271,1.618,3.549,3.227,9.507,1.968,1,0.618,1,1,1.363,39.314,0,2.687,0,2.118,91.905,0.618,0.618,4,181.242,0,3.398,33,3.258,3.258,25
5.569,1,9.168,1,0,0.51,5.453,1,0,4.325,0,1.681,0,0,2.037,0.389,0,1.276,0,0,1,4.325,0,0,-1.0,-0.7,0.0,-3.0,-3.0,3.061,4.851,3.178,0,68.702,0,0,0,0,0,3,31.404,0.439,3.426,2.996,42.683,1.718,0,-0.472,1,1,0.799,29.484,0,2.575,0,0.5,148.623,-0.503,-0.503,4,132.72,0,3.121,27,3.045,3.045,20
4.301,0,0.0,0,0,0.51,5.687,1,0,4.496,0,2.383,1,0,2.405,0.652,1,1.388,0,1,1,4.496,1,1,-0.769,-0.619,0.386,-1.194,-1.194,3.277,4.976,3.487,0,89.311,0,0,0,0,0,3,36.052,1.056,3.554,3.356,36.145,1.813,0,0.094,1,1,1.037,34.602,0,2.687,0,0.832,177.398,0.1,0.1,4,163.32,0,3.399,32,3.178,3.178,23
4.301,0,0.0,0,0,0.51,5.389,1,0,4.468,0,2.406,0,0,2.054,0.422,0,1.271,0,0,1,4.468,0,0,-1.0,-0.7,0.042,-2.545,-2.545,3.068,4.851,3.428,0,124.837,0,0,0,0,0,3,33.652,0.562,3.488,3.007,0.0,1.886,0,-0.166,1,1,1.374,33.949,0,2.611,0,0.756,70.627,-0.275,-0.275,3,145.124,0,3.103,30,3.091,3.091,21
4.301,0,0.0,0,0,0.51,5.351,1,0,4.208,1,2.406,0,0,1.991,0.408,0,1.215,0,0,1,4.208,0,0,-1.0,-0.7,0.0,-3.0,-3.0,3.046,4.881,3.141,0,76.05,1,0,0,0,0,0,31.404,0.437,3.339,2.869,0.0,1.751,0,-0.471,1,1,1.0,31.867,0,2.498,0,0.5,47.084,-0.503,-0.503,4,132.72,0,2.995,27,3.045,3.045,20
4.301,0,0.0,0,0,0.51,5.552,1,0,4.468,0,2.406,0,0,2.108,0.365,0,1.263,0,0,1,4.468,0,0,-1.0,-0.7,-0.037,-2.705,-2.705,3.04,4.84,3.342,0,85.304,0,0,0,0,0,3,31.34,0.391,3.38,3.01,0.0,1.724,0,-0.555,1,1,1.176,32.056,0,2.48,0,0.644,82.398,-0.576,-0.576,4,134.365,0,3.101,27,3.045,3.045,20
4.301,0,0.0,0,0,0.905,5.588,1,0,4.601,1,2.5,0,0,2.318,1.329,0,1.412,0,0,1,4.601,0,0,-0.009,-0.006,0.931,-0.015,-0.015,3.599,4.97,3.65,0,104.439,1,0,0,0,0,0,38.271,1.463,3.579,3.251,0.0,1.968,0,0.507,1,1,1.363,39.314,0,2.687,0,2.118,82.398,0.618,0.618,4,181.242,0,3.426,33,3.258,3.258,25
4.301,0,0.0,0,0,-0.744,4.839,1,0,4.134,0,1.319,0,0,1.583,-0.032,0,1.253,0,0,1,4.134,0,0,-1.973,-1.362,-0.451,-3.493,-3.493,2.936,4.582,2.806,0,83.835,0,0,0,0,0,3,24.22,0.0,3.163,2.774,0.0,1.345,0,-0.954,1,1,0.521,25.97,0,2.228,0,0.354,94.169,-1.0,-1.0,5,93.738,0,2.844,19,2.833,2.833,16
4.301,0,0.0,0,0,0.51,5.596,0,0,4.236,1,2.407,0,0,2.274,0.5,0,1.338,0,0,1,4.236,0,0,-1.0,-0.7,0.0,-3.0,-3.0,3.143,4.885,3.32,0,93.7,0,0,0,0,0,3,33.989,0.475,3.516,3.113,0.0,1.788,1,-0.467,1,1,1.013,33.845,0,2.687,0,0.722,117.711,-0.488,-0.488,4,145.977,0,3.329,31,3.091,3.091,21
5.495,0,0.0,0,0,0.211,5.019,1,0,4.21,0,2.406,0,0,2.035,0.44,0,1.272,0,0,1,4.21,0,0,-1.5,-1.0,0.0,-3.0,-3.0,3.074,4.732,2.943,0,94.146,0,0,0,0,0,3,27.673,0.432,3.296,2.864,0.0,1.875,0,-0.507,1,1,1.0,31.16,0,2.532,0,0.5,82.398,-0.529,-0.529,4,111.533,0,2.939,23,2.944,2.944,18
5.444,0,0.0,0,0,-0.039,5.309,1,0,3.965,0,2.406,0,0,2.57,0.408,0,1.527,0,0,1,3.965,0,0,-1.0,-1.0,0.0,-3.0,-3.0,3.456,4.804,3.125,0,104.02,0,0,0,0,0,3,31.404,0.465,3.653,3.129,0.0,1.602,0,-0.486,1,1,1.0,33.375,0,2.615,0,0.5,188.338,-0.503,-0.503,4,132.72,0,3.343,27,3.045,3.045,20
4.301,0,0.0,0,0,-0.515,4.944,1,0,4.208,0,1.474,0,0,1.902,0.038,0,1.257,0,0,1,4.208,0,0,-1.538,-1.175,-0.311,-3.052,-3.052,2.955,4.692,2.89,0,77.116,0,0,0,0,0,3,26.308,0.149,3.256,2.836,0.0,1.377,0,-0.75,1,1,0.602,27.763,0,2.37,0,0.469,82.398,-0.795,-0.795,4,103.068,0,2.91,21,2.89,2.89,17
4.0,0,0.0,0,0,0.636,5.616,1,1,4.647,1,2.583,0,1,2.339,0.8,4,1.182,0,0,1,4.647,0,0,-0.597,-0.443,0.45,-1.195,-1.195,3.234,4.9,3.718,1,124.431,1,0,0,0,1,3,37.699,1.062,3.6,3.306,0.0,1.978,1,0.138,3,3,1.148,36.972,0,2.581,0,1.074,94.169,0.194,0.194,3,176.423,0,3.359,34,3.219,3.219,24
4.051,0,9.762,1,1,0.397,5.002,0,1,4.478,1,2.199,0,1,2.22,0.75,4,1.302,0,0,1,4.478,0,0,-0.697,-0.526,0.375,-1.345,-1.345,3.361,4.759,3.349,1,74.504,1,0,0,0,1,3,31.771,0.642,3.459,2.951,42.683,2.038,1,-0.236,3,3,1.0,34.116,0,2.666,0,0.778,172.165,-0.264,-0.264,5,137.314,0,3.098,26,3.091,3.091,21
5.166,0,0.0,0,0,0.413,5.265,0,0,4.851,0,2.529,1,0,2.45,0.761,0,1.367,0,1,2,4.851,1,1,-0.923,-0.661,0.308,-1.437,-1.437,3.325,4.788,3.393,1,103.217,0,0,0,0,0,0,33.338,1.241,3.531,3.151,36.145,1.532,0,0.304,1,1,1.227,33.76,0,2.579,0,1.077,165.627,0.347,0.347,8,147.387,0,3.209,28,3.135,3.135,22
4.301,0,0.0,0,0,1.081,5.857,0,0,4.979,0,2.902,2,0,2.715,2.297,0,1.67,0,2,2,4.979,2,2,1.191,0.837,1.843,2.136,2.136,3.679,5.165,3.975,0,140.99,2,0,0,0,1,0,47.356,2.0,3.965,3.919,50.29,2.239,2,1.0,1,1,1.646,48.48,0,3.071,0,2.49,336.632,1.0,1.0,9,243.675,0,3.886,41,3.466,3.466,31
4.301,0,0.0,0,0,1.875,6.214,0,0,5.341,0,3.296,3,0,2.977,2.5,1,1.867,0,3,3,5.341,3,3,1.5,1.0,2.0,2.72,2.72,3.839,5.462,4.244,0,191.692,2,0,0,0,1,0,65.418,2.457,4.285,4.223,86.435,2.709,2,1.453,1,1,2.4,67.326,0,3.213,0,2.645,404.254,1.454,1.454,13,379.089,0,4.238,59,3.784,3.784,43
6.932,1,9.695,1,1,0.569,5.725,0,0,4.289,0,2.5,2,0,2.259,0.5,0,1.138,0,3,1,4.289,1,1,-1.0,-0.7,0.168,-2.07,-2.07,3.409,4.952,3.417,0,81.168,0,0,0,0,0,0,34.995,0.721,3.502,3.086,67.828,2.068,0,-0.271,0,0,1.263,36.178,0,2.687,0,0.586,173.768,-0.276,-0.276,4,150.55,0,3.268,31,3.135,3.135,22
4.301,0,0.0,0,0,1.646,6.101,0,0,5.375,0,3.059,2,0,2.91,2.5,0,1.815,0,2,2,5.375,2,2,1.5,1.0,2.0,2.706,2.706,3.776,5.378,4.215,0,166.133,2,0,0,0,1,0,62.167,2.415,4.258,4.171,50.29,2.72,2,1.39,2,2,2.088,63.392,0,3.279,0,2.5,383.716,1.439,1.439,8,354.258,0,4.188,56,3.738,3.738,41
7.276,1,9.886,1,1,1.0,5.669,0,0,4.619,0,2.623,2,0,2.69,1.31,0,1.625,0,3,2,4.619,1,1,-0.392,-0.251,0.736,-0.466,-0.466,3.683,4.975,3.539,0,123.975,0,0,0,0,0,0,38.361,1.88,3.731,3.407,67.828,2.062,0,0.876,0,0,1.263,40.874,0,2.687,0,1.463,232.624,0.934,0.934,9,174.582,0,3.589,34,3.258,3.258,25
